,Y5Z2,Y2Z5,Y5Z4,Y4Z5,Y1Z0,Y0Z1,Y3Z1,Y1Z3,Y4Z0,Y0Z4,Y1Z4,Y4Z1,Y3Z0,Y0Z3,Y0Z2,Y2Z0,Y1Z2,Y2Z1,Y1Z5,Y5Z1,Y4Z2,Y2Z4,Y3Z5,Y5Z3,Y5Z0,Y0Z5,Y3Z2,Y2Z3,Y4Z3,Y3Z4,X4Y3,Y0,X3Y1,standard_y,Y1,X3Y2,X3Y0,X2Y1,X1Y5,X1Y4,Y2,X5Y4,X5Y3,X5Y0,X2Y4,X2Y0,X4Y1,standard_x,Y5,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5Y1,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1Y2,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0Y3,X0Y2,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9938380127773296,0.9938380127773296,0.9500391079535002,0.9500391079535002,0.9056396761745209,0.9056396761745205,0.9049456946664789,0.9049456946664789,0.9046162378132735,0.9046162378132735,0.8721303740697108,0.8721303740697105,0.7665092563626443,0.7665092563626442,0.6862541570267027,0.6862541570267024,0.6357258696059892,0.6357258696059891,0.5729406692492219,0.5729406692492218,0.4115230620409567,0.4115230620409567,0.31913914884928973,0.3191391488492897,0.2598274474889769,0.2598274474889769,0.1693780871255699,0.1693780871255699,0.10324779991117991,0.10324779991117987,2.220446049250313e-16,1.6653345369377348e-16,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0028449860911972866,0.0028449860911972866,0.0027196062270429186,0.5385177320545961,0.9056396761745209,0.9056396761745207,0.9049456946664789,0.9049456946664789,0.9046162378132736,0.9046162378132737,0.8721303740697108,0.8721303740697106,0.7665092563626443,0.7665092563626443,0.42642777413416266,0.0019644886859491867,0.0627875478785592,0.0018198451192151816,0.06278259558386057,0.001640114600306102,0.5385121532974289,0.0011780364331624264,0.14976175572010017,0.0009135758825479701,0.0007437886906254334,0.4264238977342095,0.14975975410820777,0.00048486604037132334,0.10324779991117997,0.10324779991117994,1.1102230246251565e-16,5.551115123125783e-17,2.7755575615628914e-17,2.2215302514227986e-16,5.551115123125783e-17,1.0842021724855044e-19,0.0,3.2526065174565133e-19,5.421010862427522e-20,8.326672684688674e-17,1.0842021724855044e-19,0.0,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.6653345369377348e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.168404344971009e-19,2.4088227356483213e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,1.1102230246251565e-16,0.0,3.528646614032809e-18,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00029246772054364355,0.00029246772054364355,0.0002795785316703624,0.5385160637317707,0.0005174267795662148,0.0005174267795662148,0.13843656340874783,0.0005170302812388652,0.03248600608730361,0.0005168420498671126,0.0004982816264443434,0.03248571609768004,0.13843629060417972,0.0004379362195158379,0.00024363398674244883,1.4869549364332909e-05,3.587161397228455e-05,1.4869485868650903e-05,3.587158407066951e-05,9.214330853293508e-05,0.5385160047752071,0.00012110344981665049,0.1497610690579057,9.391661236558352e-05,9.214326853446427e-05,0.00024363396333701223,0.14976104790477865,4.984476586201683e-05,0.10324779991117997,0.10324779991117997,0.0,0.0,0.0,3.5575383784680614e-20,5.421010862427522e-20,1.5246593050577406e-20,0.0,1.3234889800848443e-23,4.963083675318166e-24,0.0,5.082197683525802e-21,1.6940658945086007e-21,3.3881317890172014e-21,0.0,1.6940658945086007e-20,0.0,2.710505431213761e-20,0.0,1.3552527156068805e-20,0.0,1.3877787807814457e-17,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0328790734103208e-20,1.734723475976807e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,3.308722450212111e-24,1.2832507914053955e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,1.2832513873544684e-17,0.0,0.0,0.0,0.0,0.0,0.0
3,4.360064532241925e-08,3.724428013616325e-05,4.167914454444303e-08,0.00036938086212660024,0.00031466970037716724,0.00031466970037716724,0.13843648457243823,0.00031442857252141196,2.2282856517652655e-05,0.00046247847178416664,0.0003248417735722274,2.2282782952824178e-05,0.13843638367882738,0.0002663280379397587,0.0004624784327276479,3.23174049622844e-06,0.0003248417076575947,3.2317353924072047e-06,0.0003248417074184259,1.3736583865820084e-08,0.00036938086021636726,3.724425899100056e-05,0.04651328644757405,1.400094649085782e-08,1.3736581660506298e-08,0.00046247843269817926,0.04651328565955315,1.083325075047231e-05,7.082010197046087e-05,0.046513226928348486,6.776263578034403e-21,0.0,0.0,1.3824425559318048e-17,6.776263578034403e-20,0.0,0.0,8.271806125530277e-25,4.0389678347315804e-28,1.3234889800848443e-23,8.470329472543003e-22,1.6940658945086007e-21,8.271806125530277e-25,0.0,0.0,1.6543612251060553e-24,6.617444900424222e-24,0.0,8.271806125530277e-25,0.0,1.5246593050577406e-20,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.481541837659083e-24,1.5246593050577406e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,2.541098841762901e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,1.6543612251060553e-24,1.2695945016479169e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,1.6543612251060553e-24,1.2695944696593576e-17,0.0,0.0,0.0,0.0,0.0,0.0
4,1.1737248452700415e-09,8.434099567983032e-06,1.1219982438255431e-09,4.3910517979795176e-05,3.716990933896309e-07,0.0002462704008327633,3.209964193498614e-05,3.7141426455079495e-07,1.1067800656877021e-05,0.00235603710316719,3.837147161835472e-07,1.106758688735795e-05,3.209903479178104e-05,0.00024627032126685387,0.002356037100361045,3.185077723200934e-06,3.837147150937538e-07,3.1850515708588064e-06,3.83714715079266e-07,7.11614209615911e-12,4.39105179681502e-05,8.43409950031578e-06,1.0785065902221078e-05,7.116162168751006e-12,7.117092374147631e-12,0.0023560371003533464,1.0785065892851025e-05,3.185051617133673e-06,1.1067587042468145e-05,1.07850657071955e-05,2.0679515313825692e-25,8.131516293641283e-20,1.3552527156068805e-20,8.127545018907462e-20,3.970466940254533e-23,1.0339757656912846e-25,5.293955920339377e-23,4.0389678347315804e-28,0.0,1.6155871338926322e-27,8.470329472543003e-22,1.0587911840678754e-22,0.0,5.048709793414476e-29,2.5849394142282115e-26,2.0679515313825692e-25,1.6155871338926322e-27,0.0,8.077935669463161e-27,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,5.169878828456423e-26,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,3.618915179919496e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-20,4.0389678347315804e-28,3.7510686324878124e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,1.3234889800848443e-23,5.293955920339377e-23,8.271806125530277e-25,3.7511036552291838e-22,0.0,0.0,0.0,0.0,0.0,0.0
5,7.048663299922231e-13,4.6152597866935545e-07,4.869948892386223e-13,6.133716758277631e-14,1.1931852213685147e-08,1.1341331074027966e-06,3.6818962699819655e-07,3.7187540151932756e-07,1.3892657266757503e-12,2.1794225679610963e-07,1.193185233343689e-08,1.5935637537801696e-12,3.3026093107095853e-07,1.1341331074026945e-06,2.1794225679580578e-07,4.615259786688791e-07,1.1931852333545722e-08,1.672838172565222e-07,1.1931852333511722e-08,1.7833105502848593e-13,6.133716758276604e-14,4.6152597866885385e-07,3.30260931118064e-07,1.7833105502843277e-13,4.869948892607322e-13,2.1794225679581356e-07,3.3026093111803233e-07,1.672838172564977e-07,1.5935637537800321e-12,3.302609311184625e-07,4.81482486096809e-35,0.0,2.7755575615628914e-17,6.617684714139409e-24,6.617444900424222e-24,1.8932661725304283e-29,0.0,6.310887241768095e-30,1.2037062152420224e-35,7.222237291452134e-35,1.3234889800848443e-23,1.262177448353619e-29,0.0,4.81482486096809e-35,4.81482486096809e-35,1.262177448353619e-29,4.81482486096809e-35,1.7630732620945475e-08,3.7865323450608567e-29,2.3612839991077806e-14,2.0194839173657902e-28,1.3301511406413294e-20,2.1837211087751275e-19,0.0,1.9029116505259205e-07,1.3101919691649351e-19,5.401537119202481e-14,5.2192397242378223e-20,1.982107719848609e-19,0.0708628015038311,2.7561482568588697e-14,5.975238916172564e-20,2.5822860025359225e-07,8.513202594345432e-14,1.1933904659691925e-14,1.510616315391348e-13,3.1554436208840472e-30,1.262177448353619e-29,3.1554436208840472e-30,6.310887241768095e-30,3.1554436208840472e-30,1.0587911840678754e-22,3.76158192263132e-36,1.0928846461292655e-13,3.7865323450608567e-29,0.0,3.7865323450608567e-29,2.524354896707238e-29,2.524354896707238e-29,0.0,2.407412430484045e-35,1.0587911840678754e-22,2.3612839991239737e-14,2.5533072284035057e-13,0.0,0.0,0.0,1.3234889800848443e-23,1.3234889800848443e-23,0.0,9.62964972193618e-35,9.040373140403425e-20,2.188227422656791e-19,6.07674180789187e-08,6.617444900424222e-24,3.308722450212111e-24,6.617444900424222e-24,6.617444900424222e-24,3.308722450212111e-24,5.293955920339377e-23,1.262177448353619e-29,1.902911650526012e-07,1.3989240132148183e-19,5.6358065298084813e-14,6.692833072441797e-08,3.308722450212111e-24,1.6543612251060553e-24,9.305781891221561e-25,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,2.727116801252326e-30,8.159452464071706e-20,1.3574825259093949e-19,0.07086280150383632,4.238486174841654e-14,3.378038085635628e-08,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,0.0,6.617444900424222e-24,4.81482486096809e-35,0.0,3.6484816866471796e-30,0.0,4.0275046997025876e-30,6.100290703135737e-20,2.582286002605523e-07,9.126899713055653e-14,8.505677704699969e-15,1.4543953362274877e-13,4.525056545098995e-08
6,4.95537223040288e-10,1.7417376013881004e-05,7.909786368837683e-10,2.838245177339016e-10,1.075641836629996e-06,4.8083305483524836e-05,1.0862138198370986e-07,1.0756325240487954e-06,1.6820845726570914e-10,4.8074849413823344e-05,1.0756418286466716e-06,5.149893070410733e-10,1.0863928983602774e-07,4.808330547679998e-05,4.807484943084172e-05,1.7417376022963187e-05,1.075641827408846e-06,1.741595538575523e-05,1.0756418278477467e-06,7.785250489521444e-10,2.8382451809610416e-10,1.741737601387508e-05,1.0863929969055814e-07,7.785250489455694e-10,7.909786352217995e-10,4.8074849431633675e-05,1.0863930004502618e-07,1.741595538588494e-05,5.149893070496432e-10,1.086392998567248e-07,1.5777218104420236e-30,3.3881317890172014e-21,2.710505431213761e-20,3.3352956273903767e-21,5.293955920339377e-23,0.0,0.0,3.2311742677852644e-27,4.930380657631324e-32,2.9582283945787943e-31,0.0,1.2924697071141057e-26,3.944304526105059e-31,0.0,0.0,1.0339757656912846e-25,1.1832913578315177e-30,7.487502721081294e-05,1.0339757656912846e-25,6.426088977127661e-10,0.0,3.904060537099674e-15,2.0964939472136786e-14,0.0,4.902909364249856e-05,4.3796056351293484e-14,3.5796187843928086e-10,1.5597574271363797e-15,1.0626965704249431e-14,3.5470199450172636e-05,4.996889282897093e-11,1.1051691820272062e-14,2.7794734430277314e-05,8.657556583873332e-11,5.911759059655986e-10,9.156785197456212e-10,6.462348535570529e-27,6.462348535570529e-27,6.462348535570529e-27,6.462348535570529e-27,6.462348535570529e-27,0.0,9.860761315262648e-32,9.478793572342101e-11,0.0,5.169878828456423e-26,2.0679515313825692e-25,0.0,0.0,0.0,6.310887241768095e-30,0.0,6.426088984777085e-10,5.785902570348684e-10,5.293955920339377e-23,0.0,5.293955920339377e-23,0.0,0.0,3.944304526105059e-31,1.5777218104420236e-30,1.2119369000250674e-14,2.0589166225189735e-14,9.242268725966264e-07,0.0,0.0,3.3881317890172014e-21,3.3881317890172014e-21,3.3881317890172014e-21,8.470329472543003e-22,1.2924697071141057e-26,4.9029093638102244e-05,4.966712775891872e-14,3.580419178603387e-10,1.7097145149281028e-05,8.470329472543003e-22,0.0,4.235164736271502e-22,4.235164736271502e-22,0.0,2.710505431213761e-20,1.6155871338926322e-27,3.1253725359183738e-27,1.4348904812369192e-15,2.503296910414953e-16,3.547019945178332e-05,1.99800417068584e-11,9.18105843000803e-06,6.776263578034403e-21,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,1.2924697071141057e-26,0.0,2.325845156589865e-27,1.7734436034300004e-15,2.7794734377583788e-05,9.653542740621787e-11,2.8716952278586777e-10,1.0059752392357953e-09,4.76719233807345e-05
7,8.066328370215066e-10,3.3023182948744355e-08,8.066260014023146e-10,1.920302182017537e-09,2.2079033119432704e-08,3.3878058648429334e-07,3.3463384943343647e-09,2.2079033030757036e-08,1.920237332887884e-09,3.387805793769559e-07,2.20790331096885e-08,1.9202576184400593e-09,3.3463392062444026e-09,3.387805864842761e-07,3.387805797803415e-07,3.30231833570482e-08,2.207903310968677e-08,3.3023181479010974e-08,2.2079033109686802e-08,8.066262537247136e-10,1.9203021820175405e-09,3.302318335704713e-08,3.3463392051736305e-09,8.066262537247635e-10,8.066260014021951e-10,3.387805797803415e-07,3.346339205173691e-09,3.3023181479011034e-08,1.920257618440061e-09,3.3463392051740755e-09,0.0,0.0,0.0,8.737095220091355e-24,2.481541837659083e-24,0.0,1.5777218104420236e-30,9.860761315262648e-32,0.0,5.238529448733282e-32,6.617444900424222e-24,7.888609052210118e-31,3.0814879110195774e-33,1.9721522630525295e-31,0.0,7.888609052210118e-31,4.930380657631324e-32,1.1826166426291194e-07,5.169878828456423e-26,5.212681888590633e-15,0.0,8.57926400023035e-18,1.487737806603371e-18,4.1359030627651384e-25,5.025251031726219e-07,1.508453130618076e-16,1.4394905563078763e-14,2.3517455690997445e-16,1.2577215854167944e-16,4.975906896106845e-08,1.7676015094963477e-15,1.4797116979910127e-15,2.8484134989024425e-07,6.1191786245394666e-15,7.485101151806695e-15,1.189066823179017e-13,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,9.860761315262648e-32,5.60137772342587e-09,0.0,1.6543612251060553e-24,8.271806125530277e-25,1.6543612251060553e-24,1.6543612251060553e-24,3.944304526105059e-31,4.930380657631324e-32,1.3234889800848443e-23,5.211726028741452e-15,8.539152702517235e-09,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,9.244463733058732e-33,6.162975822039155e-33,5.262477798423727e-18,5.2014587936801675e-18,1.1913447874410325e-08,0.0,6.617444900424222e-24,0.0,0.0,0.0,6.617444900424222e-24,7.888609052210118e-31,5.025251031993269e-07,1.0616259385016422e-16,1.4396375436439634e-14,4.0322574248308807e-08,0.0,0.0,0.0,2.6469779601696886e-23,0.0,6.617444900424222e-24,4.930380657631324e-32,3.5947482411987757e-31,1.3491275280868409e-16,2.0632938480482822e-16,4.975906912921947e-08,7.5364731388439135e-16,1.8150536790249803e-07,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,2.6469779601696886e-23,9.860761315262648e-32,6.617444900424222e-24,1.5777218104420236e-30,3.944304526105059e-31,6.133846131630298e-31,1.774023839451381e-15,2.84841348579844e-07,6.935013469590644e-15,6.457039692509828e-15,1.3182352373775473e-13,2.572173753655684e-07
8,2.262399378341198e-09,2.1832276454105165e-08,2.262399732833043e-09,5.308846037216136e-09,1.7621307746963458e-09,1.588200770380097e-08,3.0582295580436697e-09,1.7621310245193565e-09,5.3088466882418945e-09,1.5882012886248654e-08,1.762130774696341e-09,5.308846943974039e-09,3.058229527134258e-09,1.588200770380094e-08,1.588201309944838e-08,2.183227646351283e-08,1.7621307746963418e-09,2.1832274783810436e-08,1.7621307746963373e-09,2.2623996680887797e-09,5.308846037216131e-09,2.1832276463512835e-08,3.058229527134279e-09,2.262399668088783e-09,2.2623997328330425e-09,1.588201309944838e-08,3.0582295271342703e-09,2.1832274783810436e-08,5.308846943974039e-09,3.0582295271342455e-09,6.162975822039155e-33,3.308722450212111e-24,1.9852334701272664e-23,1.5509636485369269e-24,9.305781891221561e-25,1.9721522630525295e-31,9.860761315262648e-32,1.5407439555097887e-33,0.0,9.244463733058732e-33,1.6543612251060553e-24,4.930380657631324e-32,1.5407439555097887e-33,6.162975822039155e-33,2.465190328815662e-32,2.465190328815662e-32,0.0,1.1141538271469136e-08,2.0679515313825692e-25,5.0865705275917054e-17,8.271806125530277e-25,1.6663056655755334e-17,3.5847079509818247e-17,0.0,5.024267697673155e-09,3.2795270835343937e-16,1.2278590962755863e-15,1.4660593197428172e-16,5.683511611952447e-17,8.3930071140792e-10,1.1055912810291613e-16,2.092423108431611e-17,1.1240128850237796e-07,8.012738023505672e-17,2.007488244126774e-16,1.1483334496316846e-15,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,2.465190328815662e-32,7.692206230307295e-09,1.6543612251060553e-24,8.271806125530277e-25,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,4.930380657631324e-32,2.465190328815662e-32,3.308722450212111e-24,4.703992163711671e-17,1.1206755562934395e-08,4.1359030627651384e-25,1.2407709188295415e-24,0.0,1.2407709188295415e-24,1.2407709188295415e-24,1.5407439555097887e-33,1.5407439555097887e-33,1.541423633237838e-17,3.6379580659207394e-17,5.684254580568581e-09,1.6543612251060553e-24,3.308722450212111e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,0.0,5.02426767240795e-09,2.864988171437338e-16,1.22686259725003e-15,1.6722328943190484e-08,3.308722450212111e-24,4.1359030627651384e-24,0.0,2.481541837659083e-24,4.963083675318166e-24,1.3234889800848443e-23,1.232595164407831e-32,3.4185256512873436e-32,1.1758265133444822e-16,4.9145819900002496e-17,8.393006638564536e-10,1.8297547333255115e-16,2.8565513057515277e-08,0.0,8.271806125530277e-25,0.0,8.271806125530277e-25,0.0,0.0,3.308722450212111e-24,1.9721522630525295e-31,4.930380657631324e-32,3.5822296965602587e-32,8.193070951794693e-19,1.1240128841932677e-07,1.108719605797803e-16,6.450083947389526e-16,1.2490523993936498e-15,9.56308735542636e-09
9,3.335064331520487e-09,1.8616461403743546e-08,3.3350646760169475e-09,7.636757932729909e-09,9.10612873994408e-10,1.4631116391353919e-08,3.9840057874531355e-09,9.106125847517565e-10,7.636758685713438e-09,1.4631122254657107e-08,9.106128972903687e-10,7.636758925118138e-09,3.9840057610503146e-09,1.4631116391353896e-08,1.4631122460010969e-08,1.8616461414497536e-08,9.106128972903627e-10,1.8616459922313427e-08,9.106128972903727e-10,3.33506461107666e-09,7.636757932729905e-09,1.8616461414497546e-08,3.984005761583355e-09,3.3350646110766644e-09,3.3350646760169455e-09,1.4631122460010967e-08,3.984005761583343e-09,1.8616459922313424e-08,7.636758925118138e-09,3.984005761583322e-09,7.703719777548943e-34,1.6543612251060553e-24,1.3234889800848443e-23,6.72084247699335e-25,5.686866711302065e-25,5.9164567891575885e-31,4.930380657631324e-32,2.465190328815662e-32,1.232595164407831e-32,4.622231866529366e-33,3.308722450212111e-24,4.930380657631324e-32,1.5407439555097887e-33,0.0,0.0,4.930380657631324e-32,6.162975822039155e-33,1.5332432837004878e-08,0.0,9.319510247550706e-17,0.0,2.1454298468603582e-17,4.283017519425277e-17,4.1359030627651384e-25,1.0249698381255969e-08,4.324376843947947e-16,3.7353102340915326e-16,2.336528587703898e-16,8.540960571359674e-17,1.2324272379699061e-08,1.2501622490731067e-16,8.902324428732879e-19,1.1220619305622769e-07,1.1050849800293792e-16,1.6542610181937236e-16,9.140094069608046e-16,0.0,4.1359030627651384e-25,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,1.232595164407831e-32,7.289735753473868e-09,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,4.930380657631324e-32,2.465190328815662e-32,3.308722450212111e-24,9.890228734686888e-17,9.766982307972406e-09,8.271806125530277e-25,4.1359030627651384e-25,8.271806125530277e-25,0.0,0.0,0.0,1.1555579666323415e-33,2.0035839604541703e-17,4.284925312593268e-17,5.0760972290726546e-09,0.0,3.308722450212111e-24,0.0,0.0,0.0,3.308722450212111e-24,3.944304526105059e-31,1.0249698356304795e-08,3.9061639231552156e-16,3.7253510741720464e-16,2.0240773886696158e-08,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.3234889800848443e-23,1.232595164407831e-32,1.219595137283217e-31,2.0070027593337294e-16,4.4171855538832153e-17,1.2324272326302756e-08,1.4717534196578178e-16,2.86063251542868e-08,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,2.481541837659083e-24,4.930380657631324e-32,2.465190328815662e-32,9.282982331946477e-32,1.932835427537435e-17,1.1220619296884142e-07,1.415060204039509e-16,6.060757044600485e-16,1.0104240058726017e-15,1.1381850913459151e-08
