,Y3Z0,Y0Z3,Y2Z3,Y3Z2,Y3Z1,Y1Z3,Y4Z2,Y2Z4,Y5Z4,Y4Z5,Y1Z4,Y4Z1,Y5Z3,Y3Z5,Y5Z1,Y1Z5,Y2Z0,Y0Z2,Y0Z5,Y5Z0,Y3Z4,Y4Z3,Y1Z2,Y2Z1,Y0Z4,Y4Z0,Y5Z2,Y2Z5,Y1Z0,Y0Z1,standard_y,X2Y3,Y3,X5Y2,X5Y3,X4Y5,X4Y3,X3Y2,X2Y4,X1Y5,X0Y4,X2Y1,Y1,X5Y0,X5Y1,X4Y2,X3Y0,X1Y4,X1Y3,Y0,X4Y0,X3Y1,X4Y1,X2Y0,X1Y0,standard_x,Y5,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y3,X0Y2,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9894469617774092,0.9894469617774091,0.9760813786842278,0.9760813786842277,0.7396024817061558,0.7396024817061557,0.7029155842610357,0.7029155842610357,0.6920158923238119,0.6920158923238119,0.6854638158208641,0.6854638158208639,0.6336380170811049,0.6336380170811049,0.59872749543935,0.59872749543935,0.5943619291362376,0.5943619291362376,0.5439742924257338,0.5439742924257336,0.3799488555146331,0.379948855514633,0.37434043218889557,0.3743404321888955,0.3439841546037822,0.3439841546037821,0.34282963896183855,0.3428296389618385,0.07342665480233153,0.07342665480233151,1.734723475976807e-16,1.6653345369377348e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.204170427930421e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0026654838187213908,0.0026654838187213916,0.3817216062435199,0.0026294781035705213,0.0019924245800225495,0.666176093339022,0.7029155842610356,0.7029155842610357,0.6920158923238118,0.6920158923238118,0.6854638158208639,0.6854638158208639,0.08966569851484518,0.0017069655541944535,0.5987274954393498,0.5987274954393498,0.3817159077492259,0.001601159198802083,0.0014654193001477933,0.08966142544303621,0.0010235490788679576,0.03596594908818543,0.37434043218889557,0.37434043218889557,0.0009266633113369502,0.0359633222323755,0.3428296389618385,0.34282963896183843,0.6661731431899323,0.0001978050040063549,2.805373121306243e-17,2.168404344971009e-19,2.168404344971009e-19,2.7755575615628914e-17,0.0,0.0,2.168404344971009e-19,1.0842021724855044e-19,0.0,1.0408340855860843e-17,0.0,8.326672684688674e-17,5.551115123125783e-17,4.0657581468206416e-20,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1.0842021724855044e-19,8.131516293641283e-20,1.3552527156068805e-20,2.710505431213761e-20,0.0,8.131516293641283e-20,1.8126505071242027e-19,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,5.551115123125783e-17,0.0,8.300922883092143e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0010518209909616935,0.0010518209909616935,4.9832698082693166e-05,0.0006337122947387063,0.0007862264934630253,0.6661758683918244,9.176411972828809e-05,9.176411972828811e-05,0.34918625628335187,9.034118835740324e-05,0.31112338682186214,8.948582884319148e-05,0.08966403201521853,0.0006735821047345674,0.59872749543935,0.5987274954393502,4.98325822421061e-05,0.0002661614135774879,0.000578266042971223,0.08966336663315055,0.000633712282455036,4.695139828393017e-06,0.31112337779087706,4.88693393739927e-05,0.0002661614050774311,4.695086428932826e-06,0.34918624746504934,4.475567300043969e-05,0.6661754090088816,7.805541863351034e-05,5.5440000463688466e-17,6.617444900424222e-24,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.0816681711721685e-17,0.0,1.0164395367051604e-20,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,5.551115123125783e-17,4.235164736271502e-22,0.0,6.776263578034403e-21,8.271806125530277e-25,3.3881317890172014e-21,3.3881317890172014e-21,3.308722450212111e-24,1.0873659197193857e-20,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,1.8867759879334118e-20,0.0,0.0,0.0,0.0,0.0,0.0
3,2.9201961304720735e-08,0.0002540926483928631,3.95320665282149e-09,1.7593908058315766e-08,2.182819684731266e-08,7.087961912898325e-05,3.7657604258838206e-07,3.7657604258838195e-07,0.3491862533620225,3.707367029193557e-07,3.3102832540381133e-05,3.4795899668059045e-07,0.5090637464672935,1.870082335971777e-08,0.5090637503637545,6.370326713305485e-05,3.953182000259524e-09,6.945168280264034e-05,0.00015089170786378267,0.5090637687381114,1.7593908058310022e-08,3.479589944929405e-07,3.3102832540364945e-05,3.953204360155795e-09,6.945168280260297e-05,3.47958995285819e-07,0.34918625336187403,1.8366562303206756e-07,7.087961580098858e-05,0.0002540926467240656,5.551452530097643e-17,7.888609052210118e-31,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,1.5777218104420236e-30,7.888609052210118e-31,5.551115123125783e-17,8.470329472543003e-22,0.0,4.8467614016778965e-27,3.3881317890172014e-21,2.710505431213761e-20,3.3881317890172014e-21,5.551115123125783e-17,0.0,1.4136387421560532e-27,4.0657581468206416e-20,0.0,0.0,0.0,1.6155871338926322e-27,2.5849394142282115e-26,3.0915689776518576e-25,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.075334796318936e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-21,0.0,1.9387045606711586e-26,2.565605379462171e-25,0.0,0.0,0.0,0.0,0.0,0.0
4,3.4561611174360344e-09,9.372817847345422e-08,7.798338425287351e-08,5.790550115667644e-09,7.18414961361401e-09,6.402537111620943e-05,1.5652309542629557e-07,1.5652309542629557e-07,0.0001861829936047678,9.467528144448745e-09,1.5748074371140606e-05,9.467482598956498e-09,0.0002714282531458992,3.456158876373146e-09,0.00027142825361609394,6.40253704311837e-05,7.798338075424509e-08,2.561892193443895e-08,5.5660031957786975e-08,0.0002714282588293152,5.790550115667319e-09,9.46748300215004e-09,1.5748074371139278e-05,7.798338393940864e-08,2.5618921934436574e-08,9.467485681850386e-09,0.00018618299360475415,7.798339137216995e-08,6.40253709164741e-05,9.372817833413651e-08,3.0471679405228433e-20,0.0,8.271806125530277e-25,6.058451752097371e-28,0.0,0.0,0.0,4.930380657631324e-32,0.0,2.0679515313825692e-25,3.944304526105059e-31,1.2116903504194741e-27,3.3881317890172014e-21,0.0,0.0,0.0,0.0,8.077935669463161e-28,2.0328790734103208e-20,6.617444900424222e-24,0.0,2.0328790734103208e-20,0.0,3.1554436208840472e-30,5.528160269871006e-29,0.0,2.710505431213761e-20,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,9.860761315262648e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,1.160937197261728e-28,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0077344154826476e-18,3.575074789761707e-12,1.0935270713733716e-08,1.0088761750945388e-17,1.2541014683705058e-17,2.3092550466682038e-09,2.207069403834157e-08,2.203065104450377e-08,7.803327113228792e-09,1.3283922218942973e-09,5.594035202064708e-10,1.3283922218942862e-09,1.1391808607104344e-08,6.007733350028476e-18,1.1391808607104964e-08,2.309255046667461e-09,1.0935270713733716e-08,6.00331211381435e-13,3.5749973062577567e-12,1.1391808607117623e-08,1.0088761750945375e-17,1.3283922218942862e-09,5.5940352020647e-10,1.0935270713733716e-08,6.003312113814338e-13,1.328392221894287e-09,7.803327113228779e-09,1.0935270713733723e-08,2.3092550466682038e-09,3.575074789761707e-12,6.203854578740268e-25,6.887662211849341e-41,1.5407439555097887e-33,0.0,9.4039548065783e-38,0.0,0.0,0.0,0.0,1.262177448353619e-29,0.0,3.0814879110195774e-33,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,3.0814879110195774e-33,0.0,1.3109337710349812e-38,4.041028575633166e-09,1.6543612251060553e-24,8.009003329261525e-17,2.0679515313825692e-25,2.0202048609560209e-22,1.1323264946245176e-25,6.781700559860975e-17,0.009465935434982396,6.75365870425402e-26,8.271806125530277e-25,1.638997080786307e-14,1.3523009374202051e-17,1.4784328818158933e-09,1.5911382180361598e-17,1.0517739537979551e-09,1.500952702579107e-20,2.2175516043127372e-14,2.4811672255792004e-20,1.7356633767953647e-22,0.0,1.0339757656912846e-25,0.0,1.0339757656912846e-25,1.0339757656912846e-25,4.930380657631324e-32,8.544280483665611e-10,0.0,1.0339757656912846e-25,2.5849394142282115e-26,1.0339757656912846e-25,1.0339757656912846e-25,9.064175985327666e-17,1.5596477760019827e-09,1.925929944387236e-34,9.62964972193618e-35,0.0,1.925929944387236e-34,9.62964972193618e-35,2.350988701644575e-38,0.0,2.473844187054911e-22,1.4407686174760026e-25,1.755778964703934e-18,2.0679515313825692e-25,1.0339757656912846e-25,0.0,0.0,0.0,0.0,8.666310854606413e-17,0.009465935434982403,8.092710887795716e-26,1.9380585255256635e-09,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,1.6394124401447745e-14,1.5819063826233428e-17,1.4784328818158933e-09,1.7606216476555504e-17,3.11647163995249e-10,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,6.018531076210112e-36,3.392234175429459e-38,1.0517739538030303e-09,2.4070054443683925e-20,2.2175516043127372e-14,2.7884180398438256e-20,1.7372944066902007e-22,5.413914899869614e-13
6,1.3266272592145986e-12,2.416378781192052e-12,2.924178610638124e-07,6.942541607211355e-13,6.94118360351652e-13,3.976117487396844e-07,8.501311114794035e-07,2.926700845930016e-07,1.4930440397167361e-06,8.500155727067256e-07,3.9024390645845824e-07,8.500155737030962e-07,1.473273548527202e-06,1.3266272650528708e-12,1.4732735440441568e-06,3.9761177211452504e-07,2.9241786106381e-07,2.3234010898039026e-12,2.288889679251898e-12,1.4732735485266331e-06,6.942541607222047e-13,8.500155735343227e-07,3.9024390645103013e-07,2.924178611095011e-07,2.323401089800004e-12,8.500155735343297e-07,1.4930440396833541e-06,2.924178617767104e-07,3.976117487396828e-07,2.416378781551844e-12,7.940954075348239e-23,2.407412430484045e-35,0.0,0.0,1.5407439555097887e-33,3.2311742677852644e-27,3.851859888774472e-34,2.407412430484045e-35,1.3552527156068805e-20,1.0339757656912846e-25,4.81482486096809e-35,2.4233807008389483e-27,2.6469779601696886e-23,8.271806125530277e-25,1.0339757656912846e-25,1.3552527156068805e-20,5.169878828456423e-26,4.0389678347315804e-28,2.5849394142282115e-26,2.0194839173657902e-28,1.925929944387236e-34,0.0,4.0389678347315804e-28,0.0,3.4404051253433115e-33,1.2926806521446307e-06,0.0,6.386119449237752e-12,5.293955920339377e-23,2.820230802086507e-17,5.863549092807483e-19,1.4383955257123906e-11,1.4026384865664477e-05,1.8428297266721284e-20,0.0,3.2056614590535234e-10,5.148387465227351e-12,1.3190027068338148e-08,1.7596010995237476e-11,2.5645517669957138e-08,8.160446055139819e-18,1.369096073797951e-10,3.8182015502107796e-17,3.3744253484622605e-17,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,0.0,8.554639656767323e-07,0.0,0.0,0.0,0.0,0.0,4.596862572907453e-13,4.801275423360346e-07,0.0,1.5146129380243427e-28,5.048709793414476e-29,0.0,0.0,7.703719777548943e-34,3.851859888774472e-34,5.2690891526621114e-17,1.7485895133270626e-20,1.859297975298447e-14,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.7141947773631335e-11,1.4026384873119627e-05,3.5108861992943935e-19,1.808093895572021e-07,1.3234889800848443e-23,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,1.6155871338926322e-27,2.766580475380016e-10,5.203662223948769e-12,1.3190027068681904e-08,1.7584660298873332e-11,1.3789040407948405e-07,8.077935669463161e-28,8.077935669463161e-28,8.077935669463161e-28,0.0,0.0,4.1359030627651384e-25,5.169878828456423e-26,6.162975822039155e-33,5.8951550806769544e-34,2.5645518566659876e-08,1.0342094868778813e-17,1.3690960737979593e-10,3.9825854208654404e-17,1.0223509464831847e-16,8.11101660205391e-12
7,1.802659788969047e-15,3.3237548501691122e-12,1.8870454373306364e-08,1.002710800107638e-15,1.0024651176067222e-15,6.387037595253752e-10,5.365946348909702e-08,1.8870516876981652e-08,2.4542195607147307e-11,5.3659434357563236e-08,6.386554902016701e-10,5.365943435756281e-08,2.4540844010998377e-11,1.80265983195977e-15,2.4540843999634957e-11,6.387037595259934e-10,1.8870454373306212e-08,3.323720268998667e-12,3.323752961282429e-12,2.4540843460442846e-11,1.0027108001076436e-15,5.365943435756278e-08,6.386554902016244e-10,1.887045437330637e-08,3.3237202689986407e-12,5.3659434357563236e-08,2.454219560714535e-11,1.8870454373306212e-08,6.387037595253725e-10,3.323754850169113e-12,5.351622520258029e-26,2.938735877055719e-39,9.860761315262648e-32,3.0814879110195774e-33,0.0,3.0814879110195774e-33,1.1754943508222875e-38,2.938735877055719e-39,0.0,1.0097419586828951e-28,3.009265538105056e-36,4.930380657631324e-31,5.169878828456423e-26,0.0,1.0097419586828951e-28,0.0,0.0,0.0,2.0679515313825692e-25,2.0194839173657902e-28,0.0,2.0679515313825692e-25,0.0,0.0,3.294952471132737e-36,1.6536419100471377e-08,1.6155871338926322e-27,2.7578620399200332e-19,0.0,6.195125131984177e-20,1.2666065150332989e-22,1.6400321527160187e-17,7.213323858711728e-09,3.320138198696054e-24,0.0,6.492459267053497e-13,4.411566988011951e-16,1.2977204319575055e-08,1.1282510446625848e-15,2.5243953249791302e-08,4.2002895750319505e-19,2.1885231182434802e-13,2.7784822511618766e-18,9.803922428666961e-20,0.0,0.0,1.6155871338926322e-27,0.0,0.0,3.0814879110195774e-33,1.4802630851339178e-11,0.0,0.0,0.0,0.0,0.0,7.032958542438827e-18,2.571460521095711e-08,1.9721522630525295e-31,1.9721522630525295e-31,9.860761315262648e-32,9.860761315262648e-32,1.9721522630525295e-31,7.052966104933725e-38,0.0,6.558376287085922e-20,6.804809348030191e-23,1.824089932747987e-16,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,1.9059682056779468e-17,7.213323858712998e-09,3.655482823004704e-23,9.043058390534892e-09,6.462348535570529e-27,0.0,0.0,6.462348535570529e-27,6.462348535570529e-27,0.0,6.492447663802699e-13,4.5029294933440495e-16,1.2977204319575055e-08,1.1270994784680197e-15,1.1247509222940142e-10,0.0,0.0,0.0,1.6155871338926322e-27,0.0,4.1359030627651384e-25,0.0,9.62964972193618e-35,3.294934893244801e-36,2.524395324980644e-08,6.508680849553725e-19,2.188523118243474e-13,2.7639778536049158e-18,9.804152157313651e-20,7.850179279096452e-12
8,3.2471974430137366e-15,2.4560121250025698e-12,5.8129089593172126e-08,1.6995847593554346e-15,1.6992196551190844e-15,9.19070424453702e-10,1.8140876166535098e-07,5.81289166955326e-08,2.51409369820893e-10,1.8140883683435175e-07,9.190122415868721e-10,1.8140883683435704e-07,2.513975895337646e-10,3.2471974615756874e-15,2.513975895087973e-10,9.190704244630729e-10,5.812908959317129e-08,2.4559799843307982e-12,2.4559894559353343e-12,2.5139758892434425e-10,1.6995847593550313e-15,1.814088368343565e-07,9.190122415879616e-10,5.812908959317219e-08,2.4559799843300704e-12,1.8140883683435175e-07,2.51409369821298e-10,5.8129089593171306e-08,9.19070424453698e-10,2.4560121250025726e-12,1.6517965002525234e-23,2.350988701644575e-38,1.9721522630525295e-31,0.0,1.88079096131566e-37,1.9721522630525295e-31,0.0,0.0,5.293955920339377e-23,4.0389678347315804e-28,2.407412430484045e-35,2.3665827156630354e-30,0.0,4.1359030627651384e-25,4.0389678347315804e-28,5.293955920339377e-23,0.0,0.0,2.5849394142282115e-26,2.0194839173657902e-28,2.407412430484045e-35,2.5849394142282115e-26,9.860761315262648e-32,0.0,8.744688272248823e-37,3.645335618228516e-08,2.5849394142282115e-26,2.599707320438691e-16,1.3234889800848443e-23,9.662594887797441e-20,6.735617162937025e-22,6.073445646104912e-16,1.2867268308403788e-08,1.8043666086622637e-23,3.308722450212111e-24,7.1024634053635e-13,2.405124445116151e-15,1.3879192050430939e-08,8.525160754830689e-15,2.6548761983951477e-08,2.3298356471889703e-19,1.7616144976917984e-13,3.8962796400525216e-17,1.6613425118873884e-19,0.0,1.2924697071141057e-26,1.2924697071141057e-26,1.2924697071141057e-26,1.2924697071141057e-26,1.9721522630525295e-31,1.4620981407268122e-10,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,2.2014632788692871e-16,7.208952611935854e-08,0.0,9.860761315262648e-32,9.860761315262648e-32,1.9721522630525295e-31,0.0,3.76158192263132e-37,9.4039548065783e-38,1.0212699214135799e-19,1.2160490300940383e-22,4.145618735806931e-17,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,5.144852212252543e-16,1.2867262273267598e-08,1.215463283357542e-22,3.581528475278733e-08,1.2924697071141057e-26,1.2924697071141057e-26,1.2924697071141057e-26,2.5849394142282115e-26,2.5849394142282115e-26,7.888609052210118e-31,7.102286454133812e-13,2.51397140988111e-15,1.3879192050430939e-08,8.529732515283587e-15,3.16769284505764e-10,8.077935669463161e-28,0.0,0.0,0.0,0.0,4.1359030627651384e-25,1.0097419586828951e-28,0.0,8.736950638440453e-37,2.6548761984109383e-08,9.56000862059615e-19,1.7616144976917855e-13,3.8912620093227566e-17,1.6616298266443433e-19,8.55538673705226e-12
9,1.6458387269104032e-15,1.4914253384312042e-12,6.892974141021036e-08,8.086626035123781e-16,8.085045095316773e-16,3.706344966924052e-10,1.9353451658158877e-08,6.892976477596134e-08,1.3334140232447253e-09,1.9353361030663027e-08,3.7061033224900146e-10,1.9353361030658934e-08,1.333349964284453e-09,1.6458387129521265e-15,1.3333499642889993e-09,3.7063449667126803e-10,6.892974141020938e-08,1.4915215233672632e-12,1.491566047703592e-12,1.3333499649735884e-09,8.086626035123946e-16,1.935336103065896e-08,3.7061033224907156e-10,6.892974141021039e-08,1.4915215233667789e-12,1.9353361030662845e-08,1.3334140232442499e-09,6.892974141020954e-08,3.706344966924034e-10,1.4914253384312046e-12,8.258881428459136e-24,5.877471754111438e-39,0.0,0.0,1.1754943508222875e-38,0.0,0.0,5.877471754111438e-39,0.0,1.0097419586828951e-28,4.81482486096809e-35,1.9721522630525295e-31,1.2924697071141057e-26,4.1359030627651384e-25,0.0,5.293955920339377e-23,0.0,9.860761315262648e-32,2.0679515313825692e-25,0.0,2.407412430484045e-35,0.0,1.4791141972893971e-31,1.5407439555097887e-33,1.4709207790133101e-36,5.267493420020176e-08,0.0,2.40747212053948e-15,1.6543612251060553e-24,4.372478292056879e-20,3.036791440301756e-22,1.168320993246865e-15,2.6669319559403046e-08,6.1364267323455606e-24,6.617444900424222e-24,1.9293717377340037e-13,1.4658975379936649e-15,1.4584223928955547e-08,8.767906454991366e-16,2.830727997290826e-08,1.216580380780287e-18,9.965604910542198e-15,3.563187180556922e-17,8.130684133790937e-20,5.169878828456423e-26,5.169878828456423e-26,0.0,5.169878828456423e-26,5.169878828456423e-26,0.0,7.471959272585164e-10,6.617444900424222e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,1.6755784669960388e-15,1.0494324142759207e-07,0.0,1.4791141972893971e-31,4.930380657631324e-32,1.9721522630525295e-31,0.0,1.88079096131566e-37,9.4039548065783e-38,4.614487373382053e-20,2.5635994213091817e-22,1.8123249980742853e-16,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,5.185895836799457e-16,2.6669316056304292e-08,8.248389128913194e-23,5.322228894107467e-08,6.462348535570529e-27,0.0,6.462348535570529e-27,0.0,1.9387045606711586e-26,3.944304526105059e-31,1.929775020042545e-13,1.496752403128404e-15,1.4584223928955547e-08,8.787187009100882e-16,1.9746009176701443e-10,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,1.4960668893790278e-36,2.830727997204762e-08,1.2336252637724488e-18,9.965604910541403e-15,3.5562213875980157e-17,8.126221174248717e-20,9.325875891334633e-12
