Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.6971637656162238,-1.0310690283990265e-17,
1,0.8084794727150985,0.36757723964367905,Y4Z2,0.7858055789807431,nan
2,0.9054573832889531,0.6878094297288228,Y3Z0,0.785398158576675,nan
3,0.9382939107119481,0.7962394116621678,Y1Z0,0.7853981539829247,nan
4,0.9761582586342363,0.9212718338864635,Y5Z3,0.7853981308341484,nan
5,0.9761584117968239,0.9212723396469054,Y4Z2,-0.0004074247023414694,nan
6,0.9761584117968299,0.921272339646925,Y5Z3,2.7360580540768834e-08,3.67433941940368e-08
7,0.9761584117968299,0.921272339646925,Y4Z2,-7.992370869186336e-09,-1.691443652078155e-09
8,0.9761584117968299,0.921272339646925,Y2Z4,-6.487625061801055e-09,-1.691443652078155e-09
9,0.9761584117968299,0.921272339646925,Y1Z5,0.0,-1.691443652078155e-09
10,0.9761584117968299,0.9212723396469257,Y4Z2,-2.660177535497158e-09,-1.691443652078155e-09
11,0.9761584117968299,0.9212723396469257,Y2Z4,-1.6914407862868918e-09,-1.6914407862868918e-09
12,0.9761584117968299,0.9212723396469257,Y4Z2,-1.6914407862868918e-09,-1.6914407862868918e-09
