Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.7375876968225299,3.7853283790525044e-17,
1,0.8565008074557029,0.45315371723539827,Y2Z1,0.7855923298690756,nan
2,0.9185889617990156,0.6897590653517266,Y3Z0,0.7853981603903498,nan
3,0.9667655520517631,0.8733502677053965,Y4Z0,0.7853981647935345,nan
4,0.99575763088386,0.9838331927856645,Y5Z4,0.7853982591964845,nan
5,0.9957577289379631,0.9838335664499398,Y2Z1,-0.00019417104488973134,nan
6,0.9957577289386462,0.9838335664525428,Y5Z4,-1.0034545447344612e-07,nan
7,0.9957577289386464,0.9838335664525435,Y3Z5,6.162293167224692e-09,nan
8,0.9957577289386464,0.9838335664525435,Y2Z1,0.0,nan
9,0.9957577289386464,0.9838335664525435,Y1Z2,0.0,nan
10,0.9957577289386464,0.9838335664525435,Y2Z1,0.0,nan
11,0.9957577289386464,0.9838335664525435,Y1Z2,0.0,nan
12,0.9957577289386464,0.9838335664525435,Y2Z1,0.0,nan
