Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.6533999878867854,-1.5688759831278002e-17,
1,0.732779522193744,0.22902346085616906,Y4Z1,0.7853981569674566,nan
2,0.7980593145613253,0.4173667675097709,Y0Z3,0.7853981436210661,nan
3,0.8628405640532254,0.6042716931528197,Y5Z2,0.7853562189914671,nan
4,0.8628405649649309,0.6042716957832449,Y2Z5,4.1946864303725406e-05,nan
5,0.862840564964931,0.6042716957832455,Y3Z0,6.622738308376736e-09,nan
6,0.862840564964931,0.6042716957832455,Y0Z3,0.0,nan
7,0.862840564964931,0.6042716957832455,Y3Z0,0.0,nan
8,0.862840564964931,0.6042716957832455,Y0Z3,0.0,nan
9,0.862840564964931,0.6042716957832455,Y3Z0,0.0,nan
10,0.862840564964931,0.6042716957832455,Y0Z3,0.0,nan
11,0.862840564964931,0.6042716957832455,Y3Z0,0.0,nan
12,0.862840564964931,0.6042716957832455,Y0Z3,0.0,nan
