,Y0Z2,Y2Z0,Y5Z2,Y2Z5,Y0Z1,Y1Z0,Y3Z2,Y2Z3,Y4Z1,Y1Z4,Y4Z3,Y3Z4,Y1Z2,Y2Z1,Y5Z4,Y4Z5,Y0Z3,Y3Z0,Y3Z1,Y1Z3,Y5Z3,Y3Z5,Y5Z1,Y1Z5,Y4Z2,Y2Z4,Y4Z0,Y0Z4,standard_x,X2X4,X1X2,Y2Y4,X1X3,Y1Y3,Y1Y2,X0X4,X2X3,X1X5,X0X3,X0X5,X0X2,X3X5,Y0Y5,Y2Y3,X2,X1X4,Y0Y3,X2X5,Y3Y5,Y0Y4,X0X1,Y1Y5,X3X4,X4X5,X1,Y0Y1,Y0Y2,Y1Y4,Y3Y4,X3,Y4Y5,X0,X4,Y2Y5,X5,Y5Z0,Y0Z5,standard_y,X5Y0,X3Y0,X2Y3,X0Y3,Y4,Y0,X4Y0,X3Y4,X3Y2,X2Y0,X0Y5,X0Y4,Y3,X5Y1,X4Y3,X3Y5,X2Y5,X2Y1,X1Y3,X1Y2,X2Z5,X1Y0,X0Y1,X4Z1,X3Z1,X2Z1,X1Z0,X1Y5,X4Z0,X1Z3,X0Z4,X0Z5,X2Z3,X2Z0,X1Z4,X5Z4,X5Z2,X4Z2,X3Z2,X3Z0,X2Z4,X0Z3,X5Z3,Y5,Y2,Y1,X5Z1,X5Z0,X5Y4,X5Y3,X5Y2,X4Z5,X4Z3,X4Y5,X4Y2,X4Y1,X3Z5,X3Z4,X3Y1,X2Y4,X1Z5,X1Z2,X1Y4,X0Z2,X0Z1,X0Y2
0,0.8218112376460317,0.821710545289472,0.8018174783870351,0.801675313252975,0.7931985837785993,0.7931512749314501,0.7699829487742331,0.7699053360602253,0.7595987178636976,0.759545859771027,0.7296948572111248,0.7296717451151776,0.6626482208466181,0.662606549336455,0.5382204141559825,0.5381962791592447,0.4849290020449523,0.4849184645662501,0.4701409696247575,0.47012314419105194,0.41393631769334394,0.4139046452787547,0.37309596730566574,0.37305327482376993,0.2726370244227968,0.2726009078180981,0.261562747094488,0.261560146006645,0.10579152595963862,0.03818089430903697,0.035522349974947076,0.034236135642591106,0.03316714269297909,0.032075816909640203,0.030404630533851895,0.030136557513559526,0.029921875746288705,0.029707373275569313,0.02891205898610419,0.028516143061457687,0.02682552654343273,0.026537687174436227,0.025930649859829104,0.024821639043340876,0.024252381551105623,0.023939523142626887,0.023939042724956727,0.02382528428506568,0.023718335299381343,0.023616507269836655,0.023558681008020103,0.022705356250074638,0.022303485101128444,0.02206071009488418,0.020061270674586282,0.019433068639796804,0.019417783990942454,0.018643943621213653,0.018337455209036204,0.0175343053604958,0.016086264852694397,0.016086025573988035,0.015423222310361175,0.014264119347722391,0.012434320489101707,0.00045163063289799243,0.00045160588950461655,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,2.6020852139652106e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,1.3010426069826053e-18,1.3010426069826053e-18,1.0028870095490916e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00018576815077718544,0.00018245300042961214,0.8013760837894137,0.00018260439962458663,0.00017890652823305837,0.13050126465529316,0.28507129466630954,0.00017222200614835275,0.7596271201040941,0.7596715965421608,0.7297224639514401,0.7297619834894702,0.1305010495592959,0.00014454040592233678,0.5382293310082682,0.5382179852203668,0.00010732310016313358,0.2850709190634906,0.4702007153418962,0.4702027810954793,0.41394368768461476,0.4139573795517265,0.3731027355764036,0.3731167158067506,0.01107644402234198,5.9016553860731874e-05,0.01107608850376296,5.7419077931391694e-05,0.041784710444058265,0.0008908917747063342,0.000947523132914223,0.0007520722928594274,0.014353023867410497,0.012625260223218724,0.0009361110506012251,0.0008720376045819005,0.0008165043658238981,0.018212664406228887,0.0009444214179045766,0.0008703241161858975,0.006989715384175348,0.017964345100338938,0.0007022298681292446,0.0007364555867680996,0.0008896443205664943,0.011408718220080813,0.0008621228515938843,0.0008893133278092336,0.014870573229750939,0.0007548005012674637,0.0008134150680736392,0.009102483708439111,0.012612468923715286,0.0195182916181794,0.00908896785901141,0.0008762259544915604,0.006989470949982712,0.010282848956382155,0.010995569948610109,0.00944973994205418,0.01113799060803818,0.0008675656504201323,0.013243541473500922,0.00034586331165596093,0.011759671140478377,0.8013757226295524,9.880691309398825e-08,1.734723475976807e-16,1.3552527156068805e-20,0.0,0.0,0.0,0.0,1.3552527156068805e-20,1.3552527156068805e-20,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,2.710505431213761e-20,2.7755575615628914e-17,4.85722573273506e-17,5.551115123125783e-17,0.0,0.0,2.0328790734103208e-20,0.0,2.0328790734103208e-20,8.131516293641283e-20,5.505714157152952e-21,1.2705494208814505e-21,0.0,8.673617379884035e-19,1.6263032587282567e-19,4.336808689942018e-19,2.7755575615628914e-17,0.0,0.0,0.0,2.625802136488331e-20,0.0,1.6263032587282567e-19,6.505213034913027e-19,4.336808689942018e-19,0.0,8.673617379884035e-19,1.734723475976807e-18,0.0,1.3552527156068805e-20,0.0,8.673617379884035e-19,1.1102230246251565e-16,1.3552527156068805e-20,3.469446951953614e-17,0.0,0.0,5.551115123125783e-17,2.7755575615628914e-17,2.710505431213761e-20,0.0,0.0,5.551115123125783e-17,1.3552527156068805e-20,1.3877787807814457e-17,2.168404344971009e-19,1.3010426069826053e-18,2.0816681711721685e-17,1.3552527156068805e-20,1.0842021724855044e-19,0.0,1.1275702593849246e-17,5.421010862427522e-20,0.0,0.0
2,9.06675844121185e-05,1.8480139419513304e-06,0.007136071886220553,1.8097777211023792e-06,8.888849814288333e-05,0.5035907730877489,0.12886327620416949,1.6884089092711097e-06,0.7596200741340129,0.7596485994772196,0.7297154539820545,0.7297807033566264,0.5035893207644615,1.8109873046383736e-06,0.004791377106943899,0.5271318723571463,6.139904408242338e-05,0.12886580642067436,0.47021291558928024,0.47018852973805536,0.0036846026603334875,0.12889114047765274,0.003320977920882687,0.5035990339859149,0.5271099819744332,1.1410925326914342e-06,0.5271120848523472,3.472810495883542e-05,0.028900136064130975,2.2677601820804576e-05,2.4238821705196955e-05,1.9543478670647606e-05,0.014134045270905,0.012589568533445087,2.430525376454563e-05,0.002406593741162635,2.0725782955247124e-05,0.0005634268951439166,0.0025302782458203246,2.2188662395438432e-05,0.0003331766694092056,0.0006088151439519738,1.763243054303531e-05,1.9122630122433054e-05,2.276673115436169e-05,0.013431987321045724,0.0020544903392474678,0.0016512949825998077,0.0005543865298759276,0.0015601773162947242,0.0019786147530404903,0.0003752493698452779,0.010976905051179112,0.0005379794907943468,0.010852805667582595,0.0021556925265191146,0.00033317953931666854,0.012796958691945684,0.00876998548273105,0.007539667626708038,0.0004831492071069081,0.0026335149746748434,0.013692854907132181,0.0016511525576048995,0.0005744438937713596,0.007136045513394279,9.066373540205549e-05,2.7755575615628914e-17,2.117582368135751e-22,6.776263578034403e-21,0.0,6.776263578034403e-21,0.0,0.0,6.776263578034403e-21,0.0,2.117582368135751e-22,2.168404344971009e-19,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,6.776263578034403e-21,1.0587911840678754e-22,0.0,3.1763735522036263e-22,0.0,6.61445606422652e-23,1.1828981643128066e-21,1.734723475976807e-18,4.336808689942018e-19,1.6940658945086007e-21,8.673617379884035e-19,0.0,1.734723475976807e-18,0.0,0.0,0.0,1.6940658945086007e-21,1.6940658945086007e-21,0.0,0.0,2.710505431213761e-20,0.0,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,5.421010862427522e-20,8.673617379884035e-19,0.0,3.3881317890172014e-21,0.0,0.0,2.168404344971009e-19,2.117582368135751e-22,0.0,2.168404344971009e-19,0.0,5.551115123125783e-17,4.235164736271502e-22,4.336808689942018e-19,8.673617379884035e-19,8.326672684688674e-17,0.0,0.0,1.0842021724855044e-19
3,1.1012425689011875e-05,1.0249810894695572e-06,2.32979628709346e-05,1.1404069528405565e-06,7.176092080691413e-06,0.00045491185301918514,0.12889691662538857,8.42595070991723e-07,0.00067514258360015,0.0006781719352958436,0.0006503699195911102,0.2595712733345332,0.00045496549423082596,4.4127207168230815e-07,2.6739436235861598e-05,0.00047355643867591843,7.449286871589908e-06,0.128896956467615,0.2595692138982695,0.00041623860891136223,2.727919805510192e-05,0.12890156602086023,2.490051242855765e-05,0.0004519632322883507,0.0004748257342988878,6.894866963682416e-07,0.0004747887706394641,6.822925656936893e-06,0.0038199861620133767,6.928025465448135e-08,6.321039102145978e-08,7.137507258498808e-08,0.0007880618100624584,0.0010769271523263161,7.238093555637737e-08,0.0001140192918599859,2.440788189149428e-07,0.0004987347370393883,0.00019320157401290995,2.488746868118197e-07,0.0027626471097296533,0.002803822780138116,2.4319753047690104e-07,1.593722380134453e-07,2.397066046126239e-07,0.00046386432969108956,0.00020705699254143414,0.00019161018322722985,0.002310812549406501,0.00034225024237159615,0.00011908934580699542,0.0019216328521038735,0.000611228458129148,0.0004705742065758667,0.0006290497633017918,0.00034217517629191,0.0027626473151825233,0.00046394932709498257,0.0008213414639877568,0.0007692166322360227,0.001920851314777987,0.00021024398093247098,0.0007696606353575953,0.00019161117736958295,0.0029800087080529285,2.329792693214322e-05,1.1012111582077984e-05,2.777084867845909e-17,1.5881867761018131e-22,0.0,2.6469779601696886e-23,1.0587911840678754e-22,0.0,0.0,4.235164736271502e-22,0.0,1.0587911840678754e-22,0.0,0.0,2.117582368135751e-22,2.7755575615628914e-17,1.6940658945086007e-21,0.0,0.0,0.0,0.0,6.776263578034403e-21,5.293955920339377e-23,0.0,7.87542182222972e-23,8.185614551937105e-23,1.0842021724855044e-19,1.0842021724855044e-19,0.0,5.421010862427522e-20,2.541098841762901e-21,1.0842021724855044e-19,2.710505431213761e-20,0.0,1.0164395367051604e-20,1.6543612251060553e-23,1.3234889800848443e-23,0.0,2.168404344971009e-19,3.2526065174565133e-19,0.0,5.421010862427522e-20,1.0842021724855044e-19,1.3234889800848443e-23,0.0,1.0842021724855044e-19,1.6940658945086007e-21,2.6469779601696886e-23,1.3552527156068805e-20,4.336808689942018e-19,1.0842021724855044e-19,3.3881317890172014e-21,0.0,1.6940658945086007e-21,8.131516293641283e-20,0.0,0.0,1.0587911840678754e-22,1.1275702593849246e-17,1.0842021724855044e-19,1.0842021724855044e-19,2.710505431213761e-20,0.0,8.131516293641283e-20,2.710505431213761e-20,9.540979117872439e-18,6.776263578034403e-21,1.3552527156068805e-20,3.3881317890172014e-21
4,1.9017055741773852e-05,1.1076731464146896e-08,1.846374380665804e-05,2.2532187304509062e-08,2.474863005575306e-05,0.00013328842162805665,0.00031236618120818296,1.2600287655810243e-08,2.3647858010670124e-06,7.550352083416501e-05,2.6892702198528693e-06,0.0006266145159622059,0.0001333471213003805,1.3691663591999401e-08,5.108544781411104e-06,3.4711216359776195e-06,2.5094590083578548e-05,0.0003123364387098444,0.0006266153741351465,7.542791414317485e-05,5.044644078636726e-06,0.0003123632333600845,5.103605260018454e-06,0.00013334546631161507,3.4721523095153476e-06,1.572642914888058e-08,3.472099546126799e-06,2.470672671206802e-05,0.0006962823583931947,3.26602819974384e-09,4.6870787646008664e-09,3.0845349363727084e-09,2.922459627525373e-05,2.9606091165806296e-05,8.543829557205519e-09,6.271918435294914e-07,1.0183571929026842e-09,2.81904024782633e-07,3.263561447140712e-05,2.7935103766838086e-07,6.203444273007719e-05,2.035082052773783e-05,2.8265542710101794e-07,4.050310083621668e-09,2.8076242301738205e-07,0.0006620387471687997,0.0001977641353111341,0.00016552406060984783,4.836845857439013e-05,1.464853891323051e-06,1.9729608036140074e-05,4.499129494341617e-05,0.00012108116234048169,7.029004494644076e-08,0.0001507396178579826,0.00033276656816060566,6.203445930750293e-05,0.0006620342060055946,0.00012113608929323913,0.0007767364762740947,2.037574019981761e-07,0.0001550774772862723,2.9333306419397067e-05,0.00016552405826172933,5.573943331280995e-05,1.846370339170258e-05,1.9017057932914208e-05,5.569407064319535e-20,0.0,0.0,3.308722450212111e-24,1.0587911840678754e-22,2.117582368135751e-22,1.6940658945086007e-21,0.0,0.0,0.0,0.0,3.308722450212111e-24,4.235164736271502e-22,5.421010862427522e-20,1.0587911840678754e-22,0.0,1.0587911840678754e-22,1.6940658945086007e-21,0.0,3.1763735522036263e-22,3.308722450212111e-24,2.6469779601696886e-23,7.855008710173968e-23,1.0737891885429074e-22,0.0,0.0,2.6469779601696886e-23,6.776263578034403e-21,6.617444900424222e-24,3.3881317890172014e-21,6.776263578034403e-21,2.710505431213761e-20,1.3552527156068805e-20,2.6469779601696886e-23,2.6469779601696886e-23,6.776263578034403e-21,3.3881317890172014e-21,3.3881317890172014e-21,0.0,5.421010862427522e-20,0.0,2.6469779601696886e-23,1.3552527156068805e-20,3.3881317890172014e-21,4.235164736271502e-22,1.6543612251060553e-24,0.0,3.3881317890172014e-21,3.3881317890172014e-21,0.0,1.0587911840678754e-22,1.6940658945086007e-21,1.6940658945086007e-21,3.3881317890172014e-21,0.0,0.0,6.776263578034403e-21,1.0842021724855044e-19,0.0,1.0587911840678754e-22,0.0,0.0,1.3552527156068805e-20,0.0,0.0,1.3552527156068805e-20,4.235164736271502e-22
5,1.2369538184261467e-06,1.2898059148565993e-10,3.18354573343784e-06,1.1775503383261316e-10,1.5546007736876299e-06,3.8593937859036375e-07,2.677832573453347e-06,1.423691244077973e-10,1.4564017440809605e-07,2.1273160287392557e-07,1.4566037086041423e-07,5.292286086188704e-06,3.8594710113492775e-07,1.434484387226004e-10,9.59175227520434e-07,9.20202859585042e-08,1.5546841570058675e-06,2.6778365172956914e-06,5.292270577994566e-06,2.126483506245673e-07,9.589818394455282e-07,2.6778525228128147e-06,9.591942589465409e-07,3.859359958205151e-07,9.202723165388815e-08,1.4537916689778432e-10,9.20272621789586e-08,1.554621525239156e-06,5.038421027537444e-06,2.8659051096855905e-12,6.524829262503526e-12,2.7398722936207926e-12,4.404499336741965e-06,4.404513661508537e-06,1.0884985705824419e-11,1.4066397754514756e-10,1.8959373406394725e-12,2.0976934424833695e-08,3.709867411042886e-07,3.194653933959372e-09,5.060836821448223e-06,1.6849625182012747e-06,3.2039048949029887e-09,3.852250082245384e-12,3.201568234280388e-09,9.148363065566812e-06,2.285713504580557e-06,1.951231361095475e-06,3.971891832446312e-06,2.1420022519096045e-10,2.2901237230622034e-07,3.680880035765458e-06,7.236267457766321e-08,1.264388792513411e-10,4.570370170138942e-07,3.842397623917931e-06,5.0608368249665405e-06,9.148359087029101e-06,7.24442546049358e-08,5.294628437937171e-06,2.010742472473149e-10,1.8373145814838557e-06,4.40480551379484e-06,1.9512313559324786e-06,4.544764818975532e-06,3.183545728329777e-06,1.2369538206555772e-06,2.117582368135751e-22,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24,0.0,1.0587911840678754e-22,0.0,1.3234889800848443e-23,1.6155871338926322e-27,0.0,0.0,0.0,4.235164736271502e-22,3.308722450212111e-24,0.0,0.0,0.0,1.6155871338926322e-27,3.308722450212111e-24,4.8467614016778965e-27,0.0,2.4853045485618477e-25,9.65095960521416e-25,4.235164736271502e-22,4.235164736271502e-22,2.0679515313825692e-25,1.3234889800848443e-23,1.1890721305449773e-24,1.0587911840678754e-22,5.293955920339377e-23,2.117582368135751e-22,4.235164736271502e-22,0.0,2.0679515313825692e-25,0.0,4.235164736271502e-22,0.0,1.0587911840678754e-22,8.470329472543003e-22,4.235164736271502e-22,2.0679515313825692e-25,0.0,0.0,1.0587911840678754e-22,0.0,0.0,4.235164736271502e-22,6.352747104407253e-22,0.0,6.617444900424222e-24,1.0587911840678754e-22,3.1763735522036263e-22,0.0,0.0,1.6155871338926322e-27,5.293955920339377e-23,4.235164736271502e-22,4.235164736271502e-22,3.308722450212111e-24,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.0587911840678754e-22,2.117582368135751e-22,1.0587911840678754e-22,0.0
6,6.2709892486214e-08,1.1950718228995565e-12,2.7023016147770372e-08,1.196174918109436e-12,6.270988196056137e-08,5.660570747123586e-07,4.724807564958476e-07,1.1964586562245213e-12,3.6348346130862654e-07,5.660573793449347e-07,3.6348315619690677e-07,4.724806555285274e-07,5.660570752482448e-07,1.1996490898948025e-12,2.7022896484759156e-08,3.63480990512025e-07,6.270990083618975e-08,4.7248075644695255e-07,4.7248021148218365e-07,5.660564784866861e-07,2.7022941289460732e-08,4.724807563313141e-07,2.7022929913028964e-08,5.660570753174972e-07,3.6348099224229755e-07,1.1996896095642563e-12,3.634809921448372e-07,6.27098818553777e-08,3.006586983686543e-08,6.704472525200404e-16,1.3734201155270061e-15,1.2315070560218323e-15,7.115843350645769e-07,7.115844389494747e-07,1.772912666350073e-15,5.4539626156447036e-09,3.565167017498912e-13,1.5885710387713365e-08,5.087111119203935e-08,8.802654337919187e-14,4.488837100216158e-08,5.291312012907325e-08,8.921002994592106e-14,3.561805139678336e-13,5.061163744643725e-13,5.3442063758199864e-08,5.087085106630948e-08,1.4967858310819024e-09,5.2912874741275615e-08,5.453875938264469e-09,2.006429382958804e-09,1.5885809651518244e-08,8.462233975245478e-08,5.192935218710635e-09,1.9990845368728899e-07,2.006493009072009e-09,4.488837104094616e-08,5.344223390459012e-08,8.462271008902182e-08,2.402756950026283e-07,5.192946904746703e-09,1.1596993014713816e-07,2.4437131076740565e-07,1.496785857555505e-09,4.9776531822133596e-08,2.7023016151594583e-08,6.270989249333711e-08,5.293966017758964e-23,0.0,0.0,0.0,1.6543612251060553e-24,2.6469779601696886e-23,0.0,4.1359030627651384e-25,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,3.308722450212111e-24,8.271806125530277e-25,5.169878828456423e-26,8.011868568650901e-32,5.293955920339377e-23,5.546678239835239e-32,5.048709793414476e-29,1.162044868463587e-25,1.162057749083055e-25,0.0,5.293955920339377e-23,5.048709793414476e-29,6.617444900424222e-24,2.0679515313825692e-25,0.0,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,0.0,5.048709793414476e-29,1.3234889800848443e-23,3.308722450212111e-24,0.0,2.6469779601696886e-23,5.293955920339377e-23,5.293955920339377e-23,1.0097419586828951e-28,6.617444900424222e-24,3.308722450212111e-24,0.0,1.0097419586828951e-28,2.6469779601696886e-23,0.0,0.0,0.0,8.271806125530277e-25,5.169878828456423e-26,0.0,5.293955920339377e-23,0.0,9.860761315262648e-32,3.308722450212111e-24,2.6469779601696886e-23,5.293955920339377e-23,7.940933880509066e-23,0.0,0.0,1.3234889800848443e-23,0.0,6.617444900424222e-24,0.0,8.271806125530277e-25
7,2.155408676344823e-08,2.281135462613254e-12,6.520317651983707e-08,2.2796044333433736e-12,2.1554083285888766e-08,1.05956465372738e-08,4.108332851001967e-07,2.2797055609878565e-12,8.005593719682437e-08,1.0595659793447967e-08,8.005594455392243e-08,4.1083332671309377e-07,1.0595646459077654e-08,2.2806344118748428e-12,6.520316547733647e-08,8.005542681155587e-08,2.155409401492372e-08,4.108332851639128e-07,4.108333283647843e-07,1.0595762442311828e-08,6.520321398235086e-08,4.108332805344104e-07,6.520316852276599e-08,1.0595648531898442e-08,8.005543265069906e-08,2.2801831995911093e-12,8.005543261456351e-08,2.1554082067508875e-08,2.7541540609193635e-08,2.187308525717686e-15,3.144047760763573e-15,1.6961656843625307e-15,4.529602408645974e-08,4.529603323091285e-08,3.8162988659869505e-15,1.009376582422209e-08,6.953610171234925e-13,4.791504613805888e-08,1.1476554392317396e-08,1.7054369889219353e-13,8.259176765769999e-08,1.478515500055472e-08,1.6920746957081684e-13,6.948163534290312e-13,9.544115218794573e-13,3.079015679531386e-09,1.1476505386215293e-08,1.6691537432176127e-10,1.478497895240942e-08,1.0093736783122456e-08,3.972027485338503e-09,4.791545056495763e-08,1.0829398661255337e-10,1.850444500823548e-08,3.019630564791605e-08,3.972052954862593e-09,8.25917675994782e-08,3.079020268030412e-09,1.0834008174042064e-10,2.6845366104247135e-08,1.8504499560856032e-08,7.883371002942355e-09,7.015468279359392e-08,1.6691531565625728e-10,8.646095844465441e-08,6.520317652929296e-08,2.15540867421639e-08,8.147749228486496e-23,0.0,1.6543612251060553e-24,5.048709793414476e-29,8.271806125530277e-25,0.0,1.6543612251060553e-24,8.271806125530277e-25,0.0,0.0,8.271806125530277e-25,0.0,0.0,7.940933880509066e-23,8.271806125530277e-25,0.0,1.3234889800848443e-23,5.169878828456423e-26,1.4791141972893971e-31,6.617444900424222e-24,1.9721522630525295e-31,2.0194839173657902e-28,6.526526530218938e-25,6.526528132592652e-25,0.0,1.6543612251060553e-24,2.0194839173657902e-28,0.0,0.0,0.0,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,2.0194839173657902e-28,2.0194839173657902e-28,3.308722450212111e-24,6.617444900424222e-24,1.3234889800848443e-23,6.617444900424222e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.0097419586828951e-28,1.6543612251060553e-24,6.617444900424222e-24,0.0,2.0194839173657902e-28,4.1359030627651384e-25,0.0,0.0,6.617444900424222e-24,1.3234889800848443e-23,2.5849394142282115e-26,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,1.9721522630525295e-31,4.1359030627651384e-25,1.6543612251060553e-24,1.6543612251060553e-24,0.0,0.0,4.963083675318166e-24,4.963083675318166e-24,4.1359030627651384e-25,0.0,0.0,0.0
8,3.733297930169917e-08,1.5746167159527487e-12,4.697039768422988e-08,1.5746349974242478e-12,3.7332979291887035e-08,9.252575611849901e-10,1.2496590278824113e-08,1.5749351233981627e-12,7.329222105646737e-08,9.252496300484093e-10,7.329221960683786e-08,1.2496616273833532e-08,9.252573837912521e-10,1.5764657756096562e-12,4.6970392725821363e-08,7.329175746846506e-08,3.7332978632287874e-08,1.2496590305992741e-08,1.2496613044112306e-08,9.252441053920013e-10,4.6970393621947937e-08,1.2496587580091907e-08,4.697039632274186e-08,9.252561295138816e-10,7.329176019648522e-08,1.576214596986101e-12,7.329176022485995e-08,3.733297864221063e-08,2.4230353117317778e-08,9.440963050476586e-16,1.1026636633032085e-15,1.7000259097697783e-16,4.801991039109686e-08,4.801991318554968e-08,1.3193275326489605e-15,6.763186211865273e-09,4.932147332146556e-13,3.548084322423122e-08,6.382474903412105e-09,1.2160279773108625e-13,5.8187054774559254e-08,2.652021644947632e-09,1.2179508292635167e-13,4.925848778418308e-13,6.481434425392464e-13,4.403744412423818e-09,6.382418222831323e-09,3.3668244566214986e-10,2.6518767859888127e-09,6.7631674454499974e-09,2.8471317145084824e-09,3.54811580787177e-08,2.5111513085106214e-09,1.5817504635022093e-08,4.248154187915081e-08,2.8471491951877624e-09,5.818705475943333e-08,4.4037440693936395e-09,2.5111557357397207e-09,1.2211401843448472e-08,1.581755048210596e-08,3.1457755499500955e-08,5.983917169126343e-08,3.3668249277921756e-10,6.083368844204034e-08,4.697039768515277e-08,3.733297928571459e-08,4.9374362295676205e-24,1.262177448353619e-29,0.0,1.0097419586828951e-28,0.0,6.617444900424222e-24,3.308722450212111e-24,0.0,2.0679515313825692e-25,5.048709793414476e-29,0.0,1.262177448353619e-29,0.0,1.6543612251060553e-24,0.0,2.0679515313825692e-25,0.0,0.0,4.930380657631324e-32,3.308722450212111e-24,4.930380657631324e-32,5.048709793414476e-29,3.451296955516666e-25,3.4513086073928296e-25,6.617444900424222e-24,0.0,5.048709793414476e-29,1.6543612251060553e-24,8.271806125530277e-25,6.617444900424222e-24,1.6543612251060553e-24,3.308722450212111e-24,0.0,5.048709793414476e-29,5.048709793414476e-29,1.6543612251060553e-24,0.0,6.617444900424222e-24,1.3234889800848443e-23,0.0,0.0,1.0097419586828951e-28,0.0,6.617444900424222e-24,0.0,2.0194839173657902e-28,2.5849394142282115e-26,0.0,0.0,0.0,0.0,3.2311742677852644e-27,0.0,1.3234889800848443e-23,0.0,1.9721522630525295e-31,4.1359030627651384e-25,0.0,1.6543612251060553e-24,0.0,0.0,8.271806125530277e-24,3.308722450212111e-24,1.2407709188295415e-24,6.617444900424222e-24,3.308722450212111e-24,0.0
9,3.67475810123827e-08,1.5776381852016034e-12,4.6328924733279857e-08,1.577677198952506e-12,3.6747580999005605e-08,5.881512550023128e-10,1.2449141598589197e-08,1.5779579370080744e-12,7.386320527322177e-08,5.881433809134265e-10,7.38632038654485e-08,1.2449167570078586e-08,5.881510823568861e-10,1.5794776444388986e-12,4.6328918555170716e-08,7.386274602414713e-08,3.674758032889507e-08,1.2449141626129583e-08,1.2449164354583547e-08,5.881378716424339e-10,4.6328919356491056e-08,1.2449138919739137e-08,4.632892207939257e-08,5.881498426509757e-10,7.386274874887131e-08,1.5792495392434418e-12,7.386274877543095e-08,3.6747580343676846e-08,2.4803883132565938e-08,9.220224605942906e-16,1.139465847311975e-15,1.7009889794242164e-16,5.009771421781692e-08,5.0097716988783486e-08,1.3456182490579513e-15,6.560411441537691e-09,5.04919415887107e-13,3.5286856349562726e-08,6.421344839677395e-09,1.2503848197524166e-13,5.816943915407826e-08,3.2940847117771164e-09,1.2524942444222982e-13,5.042897154261217e-13,6.408710831178828e-13,4.423718637440483e-09,6.42128742800759e-09,3.3661873687798296e-10,3.293934625474678e-09,6.560392491516148e-09,2.955704694163634e-09,3.528717171652169e-08,2.5123284075082056e-09,1.7844300729851422e-08,4.2487170876771344e-08,2.955721772743546e-09,5.8169439137734136e-08,4.423718369894807e-09,2.512332999351669e-09,1.226021729533697e-08,1.7844348036350795e-08,3.213678177322885e-08,5.91311148226591e-08,3.366187822531469e-10,6.132375068526246e-08,4.632892473409604e-08,3.6747581000390014e-08,1.9076751902808332e-23,0.0,0.0,5.048709793414476e-29,4.1359030627651384e-25,1.3234889800848443e-23,0.0,4.1359030627651384e-25,1.0339757656912846e-25,5.048709793414476e-29,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,0.0,0.0,1.3234889800848443e-23,0.0,9.860761315262648e-32,3.308722450212111e-24,4.930380657631324e-32,0.0,5.591893797881404e-26,5.591923264609553e-26,6.617444900424222e-24,0.0,5.048709793414476e-29,4.963083675318166e-24,3.308722450212111e-24,6.617444900424222e-24,4.963083675318166e-24,6.617444900424222e-24,3.308722450212111e-24,5.048709793414476e-29,5.048709793414476e-29,0.0,6.617444900424222e-24,6.617444900424222e-24,9.926167350636332e-24,1.6543612251060553e-24,0.0,5.048709793414476e-29,3.308722450212111e-24,0.0,6.617444900424222e-24,1.0097419586828951e-28,5.169878828456423e-26,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,1.2407709188295415e-24,1.6543612251060553e-24,0.0,6.617444900424222e-24,0.0,1.6543612251060553e-24,0.0,1.2407709188295415e-24,0.0,6.617444900424222e-24,0.0
