,Y1Z4,Y4Z1,Y5Z1,Y1Z5,Y3Z4,Y4Z3,Y5Z4,Y4Z5,Y0Z3,Y3Z0,Y0Z5,Y5Z0,Y0Z4,Y4Z0,Y3Z1,Y1Z3,Y2Z1,Y1Z2,Y2Z4,Y4Z2,Y2Z3,Y3Z2,Y0Z1,Y1Z0,Y2Z0,Y0Z2,standard_x,Y2Z5,Y5Z2,Y3Z5,Y5Z3,X0X1,X4X5,X3X5,X0X4,Y0Y1,X1X3,Y3Y5,X1X4,X3X4,X2X4,Y4Y5,Y0Y4,X4,Y1Y4,X1X5,X0X5,X1X2,X1,Y1Y3,X2X5,Y3Y4,X0X3,Y1Y5,X5,X0X2,X2X3,X3,X0,Y2Y4,Y0Y5,Y0Y3,Y2Y5,Y0Y2,Y1Y2,Y2Y3,X2,X3Y4,X5Y3,X1Y3,standard_y,X5Y1,Y5,Y4,X4Y3,X3Y5,X2Y3,X2Y0,X1Y4,X0Y5,X0Y4,Y2,Y0,X4Y2,X4Y1,X4Y0,X3Y1,X3Y0,X0Y2,X2Y1,Y1,X5Y0,X1Y2,X1Y0,X0Y1,X5Z4,X4Z5,X3Z1,X1Z5,X1Z0,X0Z1,X1Z2,X5Z1,X5Z0,X4Z2,X3Z4,X1Z3,X0Z3,X3Z5,X3Z2,X2Z4,X5Z2,X2Z0,X5Z3,X2Z5,Y3,X5Y4,X5Y2,X4Z3,X4Z1,X4Z0,X4Y5,X3Z0,X3Y2,X2Z3,X2Z1,X2Y5,X2Y4,X1Z4,X1Y5,X0Z5,X0Z4,X0Z2,X0Y3
0,0.8881956918345002,0.8881458285055903,0.8177848798041434,0.8177493715076878,0.7314506817273445,0.7313455696863502,0.6789324742592273,0.6788648804874646,0.6593869128693344,0.6593854813074727,0.6343176023021163,0.6342882203536013,0.5860413312449467,0.5859558421755182,0.4511897259933741,0.4511502157280026,0.3548362682505751,0.35475405417064776,0.2728205026658328,0.2727419780634003,0.26471780974033154,0.2646796534673842,0.20363368566063486,0.20361541145141876,0.09268954524035464,0.09267638619493337,0.0833297400433447,0.0742767343795685,0.07426274926930881,0.04103592623187624,0.041034114479625516,0.029766373258937173,0.02820541984914815,0.027813305843888615,0.02746893187861937,0.02739536746958136,0.026670517820331086,0.02607242154714018,0.024538780179333166,0.023782853547602074,0.023388583566061473,0.022970350588079155,0.02238449625194945,0.022032653263476372,0.022030374453748492,0.020308193606120184,0.019656535603788272,0.018617802069217676,0.01829099979437921,0.018230615036520036,0.018131250829863357,0.017747281416562635,0.016065291544471658,0.015544818642547118,0.015396973519852787,0.014982447331009188,0.013897626429981526,0.012454215287426244,0.01230950271196076,0.012271058357525899,0.011969337345549762,0.011424076169477864,0.010901985580095778,0.009076723369372607,0.008828131411368133,0.008477020489231265,0.002845395466249327,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,6.938893903907228e-17,6.245004513516506e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.0408340855860843e-17,6.938893903907228e-18,6.938893903907228e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.0842021724855044e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,3.7947076036992655e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.000360117354830081,0.00035939453919705216,0.13885216717411356,0.0003312113366591414,0.28026223155987845,0.0002958656083445737,0.13885202556865087,0.0002736406773230077,0.6594131145717721,0.6594520881315167,0.6343428812977239,0.6343941969504046,0.38240979313122014,0.00023722535480558252,0.28026209887927567,0.00018199443640708153,0.08201578180292904,0.00014301173307739595,0.08201570806036515,0.00010940900340360428,0.264725536005041,0.26470672807913187,0.38240968213194027,8.202322073778364e-05,0.09269227074535949,0.0926802074143887,0.019929465605872464,0.07427892555670493,0.0742752667789991,0.04104014295614976,0.04104103727707543,0.0003452791284840463,0.00036167704519274167,0.009929103454949167,0.00032787794465342153,0.000282057337545471,0.00035256497960100294,0.007813590773993958,0.0024538632976608635,0.000317941743629723,0.0003449760832302014,0.0002936411625823316,0.00022062188512657945,0.0003393544578504748,0.002453706143652472,0.0003080475843082885,0.0060611341136995525,0.00032217916299993833,0.00032715136035137247,0.00023671159024603523,0.005024403755306925,0.00019301002854916626,0.006917092119483085,0.00026909679861370156,0.004234490670715038,0.010464655921745192,0.005249202910466849,0.005727914294763317,0.009735193637782483,0.00014990669933974418,0.00042609543636697124,0.003060044676127962,0.0016131939609336384,0.0037191953562239707,0.00013579207372387052,0.0007985090417260078,0.0008983728208134753,0.0,5.551115123125783e-17,2.710505431213761e-20,3.474867962816042e-17,1.0164395367051604e-20,2.7755575615628914e-17,5.421010862427522e-20,2.710505431213761e-20,1.3877787807814457e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,1.3877787807814457e-17,0.0,6.938893903907228e-18,2.7755575615628914e-17,1.3552527156068805e-20,1.3877787807814457e-17,1.3552527156068805e-20,6.776263578034403e-21,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,6.3527471044072525e-21,3.8116482626443515e-21,0.0,2.710505431213761e-20,8.673617379884035e-19,8.470329472543003e-21,1.3552527156068805e-20,8.673617379884035e-19,5.082197683525802e-21,0.0,0.0,6.776263578034403e-21,4.336808689942018e-19,1.5246593050577406e-20,4.336808689942018e-19,2.168404344971009e-19,0.0,5.421010862427522e-20,2.710505431213761e-20,2.710505431213761e-20,4.0657581468206416e-20,2.710505431213761e-20,2.7755575615628914e-17,0.0,0.0,1.3552527156068805e-20,2.710505431213761e-20,0.0,0.0,8.673617379884035e-19,0.0,2.710505431213761e-20,0.0,0.0,2.710505431213761e-20,1.0164395367051604e-20,1.3552527156068805e-20,0.0,8.673617379884035e-19,0.0,2.7755575615628914e-17
2,4.1219085329347876e-05,1.6225522124276677e-05,0.13884146344774573,4.587800567790519e-05,0.0001342581917426538,1.324434686531403e-05,0.13883831657009404,3.00572595731195e-05,0.00030816183750984185,0.0003151784171855353,0.0002977497342790184,0.5933408539863438,0.00018397167276439818,1.1043142540134873e-05,0.00013190043183578806,9.740602220911878e-06,0.08201759118963509,3.412104386895122e-05,0.08201431768506177,2.0921462124744516e-05,0.1720326501231953,0.00012187485087204421,0.0001827591562679419,8.715440290662569e-06,0.17203194969512225,3.7373319627834246e-05,0.00019320692467918957,0.07428085938753644,0.0742744472935165,1.8774507217230246e-05,0.5933392828747148,0.0011767808999776693,0.0038346718167613036,0.0010066480109358822,0.001061042624938481,0.001755205439991032,0.0010615621873770508,0.0010837293496944369,0.0008116688682312774,0.0011774421531988045,0.003622533704241553,0.004022516706681118,0.0017552699050920827,0.0035494940218676213,0.0008115373593651553,0.003570103343429792,0.0007992280997198274,0.0037822907877448275,0.0038554561102411436,0.001755368867261113,0.005272019569861147,0.0017552416525620088,0.004733445306671161,0.0037124416275800456,0.004922650852719598,0.0009529330312237373,0.0008526855753593204,0.000951415355769078,0.0008540234273279652,0.001649411594194764,0.00023238727280053213,0.004733512438195662,0.0015890680596741566,0.0008071242300962461,0.0014660663222777017,0.0005603077923784666,0.0004836535716129345,0.0,1.3552527156068805e-20,5.082197683525802e-21,1.387736429134083e-17,0.0,1.3877787807814457e-17,0.0,6.776263578034403e-21,1.3552527156068805e-20,0.0,0.0,6.938893903907228e-18,6.776263578034403e-21,1.3552527156068805e-20,2.7755575615628914e-17,0.0,0.0,6.938893903907228e-18,0.0,0.0,2.0816681711721685e-17,3.3881317890172014e-21,1.6940658945086007e-21,4.235164736271502e-22,2.710505431213761e-20,2.117582368135751e-22,1.2970192004831474e-21,1.7867101231145398e-21,0.0,4.336808689942018e-19,0.0,3.7269449679189215e-20,1.0842021724855044e-19,1.0842021724855044e-19,5.929230630780102e-20,0.0,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-19,4.0657581468206416e-20,6.776263578034403e-21,2.710505431213761e-20,0.0,0.0,0.0,6.505213034913027e-19,4.0657581468206416e-20,0.0,1.3552527156068805e-20,6.938893903907228e-18,2.168404344971009e-19,4.336808689942018e-19,0.0,6.776263578034403e-21,2.710505431213761e-20,3.3881317890172014e-21,2.710505431213761e-20,0.0,1.3877787807814457e-17,0.0,7.115076756936123e-20,1.4823076576950256e-21,2.710505431213761e-20,1.0842021724855044e-19,2.710505431213761e-20,6.938893903907228e-18
3,1.640760215448325e-05,1.5253660430218673e-05,0.0008436841485378254,1.8321873071407226e-05,9.374351548281246e-06,1.4452823849194827e-05,0.0008436532645194169,1.3849424596052161e-05,1.8198351100619872e-06,1.4510330837544599e-05,2.471647773995248e-06,0.003629980231657624,9.160759948011689e-07,1.4429094212673064e-05,9.358232206758185e-06,1.8752947074495518e-05,0.08201518702663566,8.319431336815484e-06,0.0820151666315703,6.437403998912599e-06,0.24630955143667713,8.335941301515047e-06,9.291657424915553e-07,1.87151600034908e-05,0.24630951936969642,7.368116835456305e-07,0.002374771395595501,0.24630735820079566,0.00045149171945250543,1.457477061988142e-05,0.003629969853865736,5.621184597568357e-07,0.00011778242844339272,4.30961618294594e-05,5.046541384168985e-07,8.643363699445095e-07,1.121815656958406e-05,4.198683062389719e-05,0.0007709477106429856,3.430505532074786e-05,0.00015906115048532613,0.00025835904375099664,8.689624294166761e-07,0.00015292611839105624,0.0007709470036958517,7.597790429695841e-05,0.0004736420591661994,0.00014252575740014624,0.00014872188693389855,0.00014438187099280773,0.0020606373088736165,0.00014437658133297513,0.0018284138186287582,0.0002582205968760462,0.002160737567791321,4.329195547997364e-05,0.00039936107802681037,0.0004487826566785004,4.308541780034411e-05,0.00012307008681537666,0.00047349543521112646,0.0018284139719422074,0.00025902394622838426,1.1991407187468574e-05,0.00010759391830554689,0.00010809892488001827,0.0010075499076079792,4.235164736271502e-22,1.0587911840678754e-22,1.0587911840678754e-22,2.081911693144504e-17,1.6940658945086007e-21,0.0,8.470329472543003e-22,4.235164736271502e-22,1.0587911840678754e-22,0.0,1.0587911840678754e-22,0.0,0.0,1.0587911840678754e-22,2.0816681711721685e-17,1.0587911840678754e-22,0.0,0.0,1.0587911840678754e-22,0.0,2.710505431213761e-19,1.6543612251060553e-23,2.541098841762901e-21,0.0,0.0,2.117582368135751e-22,5.312050496238975e-23,5.270691465611323e-23,2.168404344971009e-19,1.3552527156068805e-20,2.710505431213761e-20,1.3552527156068805e-20,2.0328790734103208e-20,3.3881317890172014e-21,3.3881317890172014e-21,2.168404344971009e-19,1.0842021724855044e-19,0.0,2.710505431213761e-20,1.3552527156068805e-20,0.0,5.421010862427522e-20,0.0,0.0,1.3552527156068805e-20,0.0,1.0842021724855044e-19,1.6263032587282567e-19,1.6940658945086007e-21,4.235164736271502e-22,1.6263032587282567e-19,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,4.235164736271502e-22,2.710505431213761e-20,1.0587911840678754e-22,5.421010862427522e-20,1.0842021724855044e-19,1.0842021724855044e-19,3.3881317890172014e-21,6.776263578034403e-21,2.117582368135751e-22,8.470329472543003e-22,3.3881317890172014e-21,0.0,2.168404344971009e-19
4,1.4255075791327483e-05,1.5807886047607653e-05,0.00032888490747964665,9.336447051178357e-06,3.590260973620753e-06,6.9046115945035436e-06,0.0003287099055584988,7.5822614687967275e-06,3.148727619415958e-06,6.958319294910575e-06,3.121169657390424e-06,0.0015933077371678918,1.4368094134079786e-06,7.06689067858031e-06,3.636101569569322e-06,8.650551016321363e-06,0.0005071550241921863,8.296288787155925e-06,0.0005071620457771289,6.193100633087658e-06,0.0015199573819575374,8.457136094621755e-06,1.506382749908653e-06,8.807514386112957e-06,0.0015200429235286569,3.1461333296288736e-06,0.0021859744786619055,0.001520009554735933,0.0015935780551863026,6.9522944079080575e-06,0.0015932783933965845,3.5213128419307837e-07,0.00037842079469826935,3.1531655576017723e-07,3.4507968845911727e-07,7.652623824526784e-07,2.193969991139782e-07,1.2753522760295242e-07,0.0006286792866893871,5.522727013382789e-07,0.00020256941187841247,0.0006226302785047281,7.681895191595275e-07,0.0003318211521249978,0.0006286845338209824,0.0003149678104006735,0.0006190289709859772,0.00023026491028834247,0.00031611896430200624,2.0753415368198213e-06,0.00015961309976122206,2.086464819646883e-06,0.00015960343001271302,0.0006225938992408823,0.0010536707289992998,3.1323395383377026e-07,0.0005937914525883878,0.0003131112591814605,6.811498264881685e-05,0.0001959435052393382,0.000618954570231761,0.0001596042919112307,0.00015272166290314804,6.400411516278019e-07,0.00019610440876703666,0.0005951689947906616,0.0008655898750658789,0.0,2.6469779601696886e-23,2.117582368135751e-22,5.473950421630916e-20,0.0,1.0842021724855044e-19,1.6940658945086007e-21,1.5881867761018131e-22,2.6469779601696886e-23,0.0,3.3087224502121107e-23,0.0,0.0,0.0,1.6263032587282567e-19,1.0587911840678754e-22,1.6940658945086007e-21,1.3877787807814457e-17,0.0,6.617444900424221e-23,2.117582368135751e-22,1.3234889800848443e-23,4.235164736271502e-22,8.470329472543003e-22,1.6940658945086007e-21,4.235164736271502e-22,1.1365453538542931e-23,1.4405786576137128e-23,0.0,1.3552527156068805e-20,2.710505431213761e-20,0.0,0.0,1.3552527156068805e-20,2.710505431213761e-20,1.0842021724855044e-19,2.710505431213761e-20,4.0657581468206416e-20,2.710505431213761e-20,5.421010862427522e-20,0.0,1.3552527156068805e-20,4.0657581468206416e-20,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,0.0,1.0842021724855044e-19,4.235164736271502e-22,1.6940658945086007e-21,2.117582368135751e-22,0.0,5.421010862427522e-20,0.0,0.0,1.3552527156068805e-20,8.470329472543003e-22,1.3552527156068805e-19,5.421010862427522e-20,0.0,0.0,2.710505431213761e-20,1.6940658945086007e-21,6.776263578034403e-21,0.0,3.3881317890172014e-21,0.0
5,3.005407112916169e-06,3.022499954233027e-06,1.2660562757788903e-06,2.381272295202679e-06,4.532108788426365e-08,1.8488539650362864e-06,1.2659947894401345e-06,1.8489704346490774e-06,4.0973250920749344e-08,7.8563828996054e-08,4.100510313912935e-08,6.618958521037745e-06,2.3621822424895e-08,1.8488127397684545e-06,4.5300819928651244e-08,2.3813134678842764e-06,3.9338736722104105e-06,2.3813736608933533e-06,3.933872807937164e-06,1.8489159767906868e-06,1.179457509770862e-05,7.849957629757767e-08,2.359061705301792e-08,2.3812718633498954e-06,1.1794560362355692e-05,4.097250216193122e-08,3.3872396886988127e-06,1.179456066404195e-05,6.618936423682652e-06,7.85627941081839e-08,6.618946841165219e-06,1.0995069661753372e-11,7.987308064166899e-06,1.7033897203714036e-10,1.0650067375970054e-11,4.6340339791978417e-11,4.499702879656642e-11,1.587934283365754e-10,0.0005038488789480596,9.767936032808219e-11,4.325509096848693e-06,1.315504659805047e-05,4.95758641753404e-11,4.646414852336464e-06,0.0005038488903996604,6.644067866940076e-06,5.5486885471255065e-06,4.908320689785559e-06,4.324896862009849e-06,3.322787868424539e-10,9.208493162140648e-07,3.398254260850267e-10,9.209670016617605e-07,1.3157194289130933e-05,9.318408182898751e-06,1.7061103434894178e-10,5.634937997628392e-06,4.653906132445744e-06,2.370565402106546e-06,4.161470527405798e-06,5.548677798277314e-06,9.209670705435283e-07,9.21261943247797e-07,8.101104516368674e-11,4.1604384112187654e-06,5.634778225895432e-06,3.984328314405915e-06,6.462348535570529e-27,6.462348535570529e-27,5.427363027920561e-28,3.259091613458929e-22,5.293955920339377e-23,0.0,6.352747104407253e-22,4.8467614016778965e-27,6.462348535570529e-27,1.3234889800848443e-23,0.0,6.938893903907228e-18,2.6469779601696886e-23,5.169878828456423e-26,8.470329472543003e-22,1.6543612251060553e-24,5.293955920339377e-23,2.0816681711721685e-17,5.169878828456423e-26,0.0,2.481541837659083e-24,1.9387045606711586e-26,6.617444900424222e-24,1.0587911840678754e-22,0.0,2.6469779601696886e-23,8.005173265792233e-26,7.841011465490136e-26,8.470329472543003e-22,5.293955920339377e-22,4.235164736271502e-22,4.235164736271502e-22,2.117582368135751e-22,2.117582368135751e-22,4.235164736271502e-22,8.470329472543003e-22,8.470329472543003e-22,2.117582368135751e-22,4.235164736271502e-22,1.0587911840678754e-21,2.117582368135751e-22,1.0587911840678754e-22,2.117582368135751e-22,0.0,8.470329472543003e-22,1.0587911840678754e-21,1.6940658945086007e-21,6.352747104407253e-22,6.617444900424222e-24,1.0587911840678754e-22,4.1359030627651384e-25,3.1763735522036263e-22,0.0,0.0,1.0587911840678754e-22,1.0587911840678754e-22,6.617444900424222e-24,4.235164736271502e-22,8.470329472543003e-22,1.2407709188295415e-24,7.940933880509066e-23,4.235164736271502e-22,7.940933880509066e-23,3.1763735522036263e-22,0.0,3.1763735522036263e-22,1.6543612251060553e-24
6,4.397696337254521e-08,2.1830617535470803e-08,3.808123818782527e-07,4.3976983254711756e-08,1.4913528482015798e-07,2.183059237705356e-08,3.808126731269023e-07,2.183090547532159e-08,7.879656855661852e-08,1.4913479724400843e-07,7.879644990118011e-08,3.808125258376398e-07,7.879653499492032e-08,2.183067619724987e-08,1.4913525680954223e-07,4.3977210767321394e-08,4.732144563542347e-08,4.397727575782787e-08,4.7321442601746386e-08,2.1830562104396657e-08,4.7321405321754336e-08,1.491348664521839e-07,7.879653692686869e-08,4.3977194490838824e-08,4.7321354651165946e-08,7.879657617422689e-08,1.4620326369829248e-07,4.732135261242103e-08,3.8081266911011685e-07,1.4913479669211678e-07,3.8081268067370593e-07,9.813893078298684e-13,8.583017618465124e-07,1.345788700399979e-13,7.546168539355971e-14,9.834892862812918e-13,1.1295435361170378e-13,6.949210959475377e-14,3.739227559062134e-08,1.5138797713285753e-14,8.985951566480587e-10,8.583016614735132e-07,3.7875765861486385e-14,1.2290064247812958e-07,3.739224737738323e-08,2.2858914447597642e-08,3.997654932935365e-07,7.254086019644709e-08,3.1222873949197803e-07,1.212362234189363e-13,1.3323720516008479e-08,2.8174364603678668e-14,8.829617083700756e-09,2.2857018506054226e-08,1.9377299381171032e-07,1.7459235361056674e-13,2.130629174921161e-07,1.4096184791371058e-07,1.8496465230855973e-07,8.985015757721679e-10,3.997655121156323e-07,8.829619368491363e-09,1.332394789552809e-08,1.1305843498469435e-13,7.254079359694653e-08,2.1306285755711418e-07,5.115032006525566e-08,7.573064690121713e-29,1.8932661725304283e-29,2.524354896707238e-29,3.639594695233322e-23,4.1359030627651384e-24,0.0,3.639594695233322e-23,7.573064690121713e-29,6.310887241768095e-30,1.6543612251060553e-23,1.4199496293978212e-29,4.418666483360265e-18,4.632211430296955e-23,0.0,1.9852334701272664e-23,6.617444900424222e-24,4.963083675318166e-24,4.418613543801062e-18,5.048709793414476e-29,2.524354896707238e-29,6.617444900424222e-24,2.3665827156630354e-30,3.970466940254533e-23,1.3234889800848443e-23,2.6469779601696886e-23,0.0,9.856909455373873e-29,9.022596603465323e-29,0.0,5.293955920339377e-23,1.3234889800848443e-23,2.6469779601696886e-23,5.293955920339377e-23,1.3234889800848443e-23,2.6469779601696886e-23,0.0,2.6469779601696886e-23,5.293955920339377e-23,0.0,2.6469779601696886e-23,3.970466940254533e-23,2.6469779601696886e-23,0.0,3.308722450212111e-24,3.970466940254533e-23,9.926167350636332e-24,5.293955920339377e-23,1.6543612251060553e-23,2.6469779601696886e-23,0.0,6.617444900424222e-24,3.970466940254533e-23,3.970466940254533e-23,3.970466940254533e-23,7.940933880509066e-23,1.3234889800848443e-23,9.926167350636332e-24,1.6543612251060553e-23,3.308722450212111e-24,3.308722450212111e-24,5.790264287871194e-24,3.970466940254533e-23,1.2821299494571929e-23,0.0,2.6469779601696886e-23,0.0,6.617444900424222e-24
7,4.657815368650378e-08,1.1584149365084056e-08,7.135703848896684e-08,4.657814104099291e-08,4.7036784072794875e-09,1.1584062138439683e-08,7.135703761460123e-08,1.1584062655512241e-08,5.439758307734869e-09,4.703864222533422e-09,5.439745527162742e-09,7.135712633274927e-08,5.439776874008647e-09,1.1584062101974617e-08,4.703678407279448e-09,4.657812552337154e-08,1.3205045853089447e-08,4.657812564068443e-08,1.3205045848098372e-08,1.1584062227171275e-08,1.320499488514589e-08,4.70386230003746e-09,5.439776874352079e-09,4.657812551284412e-08,1.3204994469030247e-08,5.439756826016179e-09,1.0544520837431841e-07,1.320499371390718e-08,7.135712966110208e-08,4.703864284410052e-09,7.135713076252123e-08,5.848238857708828e-15,6.997626560631087e-08,1.5339220536356926e-14,1.945340989535696e-15,5.851663336806903e-15,1.5090509058043423e-15,3.3596234138537387e-15,6.386807942340765e-09,6.54243745763854e-16,3.621552730627557e-12,6.99762662179288e-08,7.982876965594912e-17,4.76176888303323e-09,6.386807483809271e-09,9.262699776510997e-11,3.048925226570031e-08,3.2275898713040667e-10,3.607501181749398e-08,6.567354720848604e-16,8.876879587585002e-09,3.651373405295888e-16,5.873082351398239e-09,9.249098446057753e-11,9.974431915068942e-09,1.2602640396342816e-14,2.021902730433667e-08,1.6521848795482838e-08,3.2411862136008625e-08,3.6187083568911636e-12,3.0489250372109915e-08,5.873084307088929e-09,8.876883346125068e-09,9.591983848715096e-15,3.227548915676907e-10,2.0219024371644412e-08,5.700284827230782e-09,9.860761315262648e-32,2.3665827156630354e-30,3.4512664603419266e-31,1.0339757656912846e-23,1.4863401631812216e-24,6.617444900424222e-24,2.481541837659083e-24,1.9721522630525295e-31,1.9721522630525295e-30,2.0679515313825692e-25,1.5777218104420236e-30,1.8188272301942587e-17,3.308722450212111e-24,4.930380657631324e-31,8.271806125530277e-25,5.790264287871194e-24,3.715850407953054e-26,1.8188272301942587e-17,4.930380657631324e-31,1.1339875512552045e-30,0.0,3.1554436208840472e-30,1.0339757656912846e-25,4.963083675318166e-24,3.308722450212111e-24,5.169878828456423e-26,7.161341335580244e-31,6.604635020721402e-31,8.271806125530277e-25,2.895132143935597e-24,1.6543612251060553e-24,1.6543612251060553e-24,4.963083675318166e-24,3.308722450212111e-24,1.6543612251060553e-24,8.271806125530277e-25,1.2407709188295415e-23,2.895132143935597e-24,1.6543612251060553e-24,4.963083675318166e-24,9.926167350636332e-24,3.308722450212111e-24,1.6543612251060553e-24,8.271806125530277e-25,1.406207041340147e-23,4.1359030627651384e-25,1.2407709188295415e-23,8.271806125530277e-25,4.1359030627651384e-25,5.169878828456423e-26,0.0,4.1359030627651384e-24,4.963083675318166e-24,3.308722450212111e-24,5.169878828456423e-26,4.963083675318166e-24,4.1359030627651384e-25,8.271806125530277e-25,4.1359030627651384e-25,0.0,3.877409121342317e-26,4.963083675318166e-24,9.09575556381552e-25,0.0,3.308722450212111e-24,6.617444900424222e-24,0.0
8,4.6709558226249565e-08,1.1564573459033087e-08,6.99645120336873e-08,4.670954582650958e-08,5.7843267394635245e-09,1.1564488151324835e-08,6.996451347498591e-08,1.1564486832246708e-08,5.032708537342802e-09,5.784499597162913e-09,5.032694851243326e-09,6.996460048268949e-08,5.032723771212193e-09,1.1564488081193846e-08,5.7843267379690085e-09,4.6709533175770864e-08,1.1883709991877112e-08,4.670953335396002e-08,1.1883709976564735e-08,1.156448830286562e-08,1.1883662283900568e-08,5.784497847464289e-09,5.032723771704385e-09,4.670953315628422e-08,1.1883663091540651e-08,5.0327072649461326e-09,1.1186394890431192e-07,1.1883662355154877e-08,6.996460300069799e-08,5.784499430668907e-09,6.996460421346442e-08,2.7547873114531232e-15,5.7603174609841466e-08,1.6041019670087218e-14,4.044705836877513e-16,2.73096503731072e-15,1.1822342945196536e-15,4.532110891587044e-15,4.889758885157425e-09,2.874178292716952e-15,6.7238164316615624e-12,5.760317259390949e-08,1.1281244115394401e-16,9.828410025279571e-09,4.889758762698913e-09,1.7264528818070566e-10,3.294954815236642e-08,6.555052413388425e-10,3.5313067340919715e-08,1.963138917046244e-15,8.472107926761147e-09,3.0399589737195462e-15,5.595438364574743e-09,1.7253696242002479e-10,2.5130965704214385e-08,2.9406937565018714e-15,2.1300055525774116e-08,7.1870172071756154e-09,3.415057003140342e-08,6.721425960329098e-12,3.294954378612489e-08,5.595439785461515e-09,8.47211131538649e-09,4.855339180165445e-15,6.555075189433056e-10,2.1300053888823434e-08,2.539185953192175e-10,9.860761315262648e-31,3.1554436208840472e-30,3.697785493223493e-31,1.3234889800848443e-23,3.371730348433923e-24,6.617444900424222e-24,6.617444900424222e-24,3.944304526105059e-31,3.944304526105059e-30,1.2407709188295415e-24,2.3665827156630354e-30,9.303531959955417e-18,3.308722450212111e-24,0.0,8.271806125530277e-25,4.963083675318166e-24,9.693522803355793e-26,9.303545194845218e-18,5.9164567891575885e-31,1.232595164407831e-30,3.308722450212111e-24,3.1554436208840472e-30,3.101927297073854e-25,1.6543612251060553e-24,6.617444900424222e-24,1.0339757656912846e-25,9.589205193104047e-31,9.126019041478917e-31,3.308722450212111e-24,4.1359030627651384e-24,1.3648480107124957e-23,3.308722450212111e-24,4.963083675318166e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,0.0,6.617444900424222e-24,1.4475660719677984e-23,1.6543612251060553e-24,6.617444900424222e-24,2.0679515313825692e-24,2.0679515313825692e-24,1.111523948118131e-24,1.6543612251060553e-24,2.5849394142282115e-25,0.0,2.3264454728053903e-25,2.481541837659083e-24,1.550963648536927e-25,3.308722450212111e-24,5.790264287871194e-24,7.444625512977249e-24,4.1359030627651384e-24,4.1359030627651384e-25,1.2407709188295415e-24,0.0,1.809457589959748e-25,1.0856745539758488e-24,6.617444900424222e-24,9.693522803355793e-26,3.308722450212111e-24,2.006559220294649e-24,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,1.6543612251060553e-24
