,Y0Z3,Y3Z0,Y2Z3,Y3Z2,Y1Z3,Y3Z1,Y4Z2,Y2Z4,Y5Z4,Y4Z5,Y1Z4,Y4Z1,Y5Z3,Y3Z5,Y1Z5,Y5Z1,Y0Z2,Y2Z0,Y5Z0,Y0Z5,Y4Z3,Y3Z4,Y1Z2,Y2Z1,Y4Z0,Y0Z4,Y5Z2,Y2Z5,standard_x,Y1Z0,Y0Z1,X3X4,Y3Y4,X3X5,X2X5,X1X3,Y2Y5,X1X2,X0X1,X0X4,X2X3,Y3Y5,X0X2,Y0Y1,X3,Y1Y2,Y0Y2,X0X3,X0X5,X2X4,Y2Y3,X1X5,Y0Y4,X4X5,X1X4,Y0Y5,Y1Y5,Y0Y3,Y4Y5,Y1Y3,Y2Y4,X2,Y1Y4,X0,X4,X5,X1,standard_y,Y3,X2Y4,X1Y4,X0Y1,Y5,Y4,X5Y2,X4Y3,X4Y2,X3Y5,X3Y4,X2Y3,X0Y5,X0Y4,X0Y3,X0Y2,X1Y0,X3Y1,X5Y0,X3Y2,X2Y0,X1Y5,X1Y3,X1Y2,X4Y1,X3Y0,X5Y1,Y0,Y1,X2Y1,X3Z2,X3Z1,X2Z1,X0Z1,X2Z5,X4Z2,X3Z0,X2Z4,X5Z0,X3Z4,X1Z5,X1Z4,X1Z3,X1Z2,X0Z5,X0Z4,X0Z3,X0Z2,Y2,X5Z4,X5Z3,X5Z2,X5Z1,X5Y4,X5Y3,X4Z5,X4Z3,X4Z1,X4Z0,X4Y5,X4Y0,X3Z5,X2Z3,X2Z0,X2Y5,X1Z0
0,0.9892838242080982,0.9890949542465043,0.9758731034894407,0.9757315622266446,0.739474218009177,0.7393074137811163,0.7027704956667715,0.7027333604688791,0.6918775260447851,0.6918720014496305,0.6853396528625675,0.6853206687135869,0.6335064199994089,0.633376005559448,0.5986123751395739,0.5986005730951203,0.5942267427817896,0.594199477694032,0.5438555738983528,0.5438474468207087,0.3798571437882401,0.3797819775965154,0.3742602831715832,0.37423013977301933,0.3439002285190936,0.3438978354681661,0.3427487042469993,0.34272785598520883,0.11711959408406905,0.0734099443901827,0.07340740005093051,0.04439955712491201,0.03942381361565658,0.038728868271291204,0.03474056292781091,0.03450778665660781,0.033037824720693984,0.032976201797321,0.032612020118593425,0.03220107343618286,0.03176195674530928,0.03156220244421412,0.03102512598792671,0.030307660097797846,0.030242311018563034,0.02904541097560895,0.028424964150996275,0.02818001086577241,0.02811887780124673,0.0277459510468743,0.026978195420384977,0.024557963504923744,0.02440350808750425,0.02399621787235163,0.022863122172582025,0.022249657480610426,0.02222118035571266,0.022191787279053694,0.02158084627410245,0.02155090977350283,0.021378184166119373,0.02057586156863883,0.01967099737729028,0.017517820366089697,0.017054020533622805,0.01652182117240223,0.015207759424752446,2.42861286636753e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.594483210025203e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.160802341031001e-17,3.8163916471489756e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.734723475976807e-17,1.3877787807814457e-17,6.938893903907228e-18,3.469446951953614e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0027066128609799806,0.002689195930778831,0.3816904510083384,0.0026570524468494533,0.6660881827931504,0.0020171318833251623,0.7028221289370136,0.7028707847281662,0.6919632063180092,0.6919230308998295,0.6853743445427114,0.6853711592607306,0.0896608590116249,0.0017171998234916373,0.5986440463125291,0.5986760234120441,0.0016178127346863991,0.38168302230784573,0.08965504409724145,0.001479985505566953,0.0359648424246968,0.001027578971756699,0.3742817592648827,0.37430593119260863,0.03596050095375805,0.0009345518381077196,0.3427939169347738,0.34279774430024046,0.03753782374726554,0.6660833705638171,0.00019930936739303984,0.0023305477302158475,0.0017279473012457827,0.002278435373766532,0.014222611064416725,0.0022674025700905277,0.01302577787325183,0.01783012900852464,0.002009240162454297,0.001968941606087472,0.002071342379880523,0.0017494855240945714,0.002194584706519018,0.0017758821668358584,0.002309393410461892,0.016360705258040766,0.002221203160154263,0.004990556727218371,0.0019974018731741686,0.011832808204155956,0.0018132396824644473,0.014705718486655238,0.0017310404956211345,0.01287907295793379,0.017051761718159787,0.0018218707886949667,0.011437459034970808,0.004984821185549569,0.011639437504571089,0.0010460227814647724,0.008903924684769571,0.0077739362465291196,0.012280220019790214,0.0019204502115608849,0.012884514280308755,0.008548772443404556,0.01256044439904589,1.1083256708233069e-16,2.168404344971009e-19,1.1102230246251565e-16,5.204170427930421e-18,5.632769099241097e-20,0.0,5.551115123125783e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.0842021724855044e-19,1.0842021724855044e-19,2.168404344971009e-19,0.0,1.0842021724855044e-19,5.551115123125783e-17,0.0,4.531626267810507e-20,0.0,1.2197274440461925e-19,0.0,8.131516293641283e-20,2.0816681711721685e-17,3.2526065174565133e-19,0.0,5.551115123125783e-17,0.0,0.0,2.710505431213761e-20,0.0,0.0,5.421010862427522e-20,0.0,8.673617379884035e-19,0.0,6.505213034913027e-19,8.673617379884035e-19,0.0,4.336808689942018e-19,0.0,8.131516293641283e-20,2.168404344971009e-19,1.3010426069826053e-18,4.336808689942018e-19,2.168404344971009e-19,0.0,2.710505431213761e-20,4.0657581468206416e-20,1.3552527156068805e-20,5.551115123125783e-17,4.336808689942018e-19,0.0,2.168404344971009e-19,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.710505431213761e-20,1.6263032587282567e-19,4.336808689942018e-19,8.673617379884035e-19,0.0,2.168404344971009e-18
2,0.00031192407113433344,0.00032597348135306084,0.0005638948865626341,0.0001761595604919669,0.6660759262384945,0.00024326874710488917,0.0010151201050779815,0.0010410946191796418,0.3491487002414223,0.001002564419242034,0.3110521336486946,0.0009924125483184941,0.08965889602556457,0.00022280020164055378,0.5986300772516027,0.5986881680034357,6.695728078285815e-05,0.0005620905972392128,0.08965678267942784,0.00018846506163297782,5.246421738868567e-05,0.00017767652600533536,0.31104774648669775,0.0005470711504143146,5.1806580586330204e-05,6.863955488056895e-05,0.3491442001460617,0.0005006170415053802,0.018849104285257445,0.6660731226828096,2.6382268587366614e-05,0.001224742390762341,0.001569113113860616,0.0017468396943845091,0.002317909892285054,0.0017489226874196745,0.002504577159968895,0.002316878267230849,0.001932819905017466,0.0009048451990369564,0.0009053496566545269,0.0019313010901209102,0.0012258365152012268,0.0019245052241371784,0.001825142780049015,0.0025450376211717937,0.0015715214443292073,0.00688953058268664,0.001934802786027247,0.004720307553860468,0.0015703667438936603,0.008911734780214085,0.0015706092785657748,0.0022846741697089357,0.002301717656346472,0.002071869374508391,0.0042848360731254,0.006889723403451255,0.0018642627947152162,0.0009010107060203364,0.0047173153620317515,0.001992995717448112,0.0019685194177596083,0.0018610045672374804,0.002596709033349698,0.006390178157934273,0.011555368723811858,2.7633602871224294e-17,4.0657581468206416e-20,5.551115123125783e-17,2.286988957586611e-20,6.882969877053743e-21,0.0,1.0842021724855044e-19,5.421010862427522e-20,3.3881317890172014e-21,0.0,2.710505431213761e-20,0.0,3.3881317890172014e-21,2.710505431213761e-20,1.6940658945086007e-21,1.1102230246251565e-16,3.3881317890172014e-21,4.2268929301459714e-22,8.470329472543003e-21,6.776263578034403e-21,3.3881317890172014e-21,1.6940658945086007e-21,0.0,1.3552527156068805e-20,0.0,1.0842021724855044e-19,5.551115123125783e-17,0.0,0.0,2.7755575615628914e-17,8.131516293641283e-20,0.0,0.0,2.168404344971009e-19,0.0,5.421010862427522e-20,0.0,0.0,0.0,2.168404344971009e-19,8.131516293641283e-20,4.336808689942018e-19,2.168404344971009e-19,8.673617379884035e-19,4.336808689942018e-19,0.0,1.7787691892340307e-20,5.421010862427522e-20,3.134021904840911e-20,5.421010862427522e-20,0.0,2.168404344971009e-19,4.336808689942018e-19,4.336808689942018e-19,0.0,2.710505431213761e-20,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,1.0842021724855044e-19,1.6263032587282567e-19,2.710505431213761e-19,0.0,8.673617379884035e-19
3,6.664290122996314e-05,1.3902290459107875e-06,4.352107712675652e-06,3.7586721469028785e-07,0.0006600912700120668,1.332879082151049e-06,4.070784108527783e-05,3.415707821243106e-05,0.3491713090803023,3.892122093734747e-05,0.0003084647066317805,2.995491894363945e-05,0.509047775188078,9.42300835957498e-07,0.0005914002205202629,0.5090483106679946,1.8528800561075998e-05,4.294437876185149e-06,0.5090478173106077,3.7565510678999194e-05,3.0369268478357242e-05,5.031718183207443e-07,0.00030790231138616195,4.751083078338588e-06,3.0404901641841222e-05,1.8751053645720702e-05,0.34917086820956994,2.1548331803836374e-05,0.0037140065518375086,0.0006600831706412032,6.660549797629532e-05,1.456508311835243e-07,2.214341275772351e-07,3.813552591702323e-05,0.001042324228833103,0.00018373194504288804,0.0008478128399413028,0.0005685806554534137,3.8169052760002896e-05,5.085546673937696e-05,1.2972364029475195e-07,2.5376001839906868e-05,0.00016673644894795597,3.817800757309427e-05,3.8163247302172115e-05,0.0007295252222397688,0.0002855675924555611,0.0008446181547958815,0.0002502512831403217,0.006226108743770842,2.3113805229509349e-07,0.000830968694031528,0.0002855730523341774,0.0006316213172699473,0.00021911998627019736,0.0001939438002984608,0.000750532054566511,0.0008446165795920814,0.000498674131270376,0.00018370758496478768,0.006226117014877734,0.0008723728592891201,0.0007293373559971541,0.00033265616841293,0.0008018329918345712,0.00368400575624047,0.0013333872310056273,8.576208590949791e-21,1.0587911840678754e-22,5.551115123125783e-17,2.541098841762901e-21,4.7478874690836674e-23,0.0,5.082197683525802e-21,1.6940658945086007e-21,5.293955920339377e-23,5.551115123125783e-17,1.0587911840678754e-22,0.0,0.0,0.0,8.470329472543003e-22,0.0,4.235164736271502e-22,4.0292743119282247e-23,0.0,0.0,0.0,4.235164736271502e-22,3.3881317890172014e-21,1.0164395367051604e-20,1.6940658945086007e-21,0.0,0.0,8.131516293641283e-20,1.3552527156068805e-20,0.0,1.6940658945086007e-21,8.470329472543003e-22,3.3881317890172014e-21,5.421010862427522e-20,5.421010862427522e-20,1.3552527156068805e-20,8.131516293641283e-20,3.3881317890172014e-21,2.710505431213761e-20,2.168404344971009e-19,8.470329472543003e-22,5.421010862427522e-20,1.3552527156068805e-20,0.0,0.0,0.0,3.3881317890172014e-21,0.0,3.3881317890172014e-21,0.0,2.168404344971009e-19,0.0,2.168404344971009e-19,2.168404344971009e-19,0.0,1.0587911840678754e-22,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,1.6940658945086007e-21,5.421010862427522e-20,5.421010862427522e-20,1.6940658945086007e-21,5.421010862427522e-20
4,5.870868241564565e-06,1.2655981152317584e-06,1.5290617514125443e-05,1.2183292845201932e-06,2.0655810755590505e-06,1.3351244661613284e-06,1.448523456291841e-05,1.968842156239215e-05,9.396890993775778e-05,7.220137404300318e-07,3.1177170417815316e-06,9.212903545063606e-07,0.00014744014522582327,1.3399826821277988e-06,2.760577465847222e-06,0.00014745006858435096,2.1011449960044413e-06,1.5066625559248842e-05,0.0001473239659028965,6.4802900907536635e-06,9.290176639322791e-07,1.4911122599419012e-06,3.4787283421934385e-06,1.5127504698751493e-05,1.0103385308301278e-06,2.743054184666935e-06,9.38118562949735e-05,1.3154646364002275e-05,0.0018290807881231484,2.0682136463945887e-06,5.8645928316494274e-06,3.1712371454666225e-08,3.845585845166262e-08,1.1829518323496503e-08,0.0003823881902071509,0.0002658659859663845,0.000676860907055217,1.913524843170838e-07,1.126758778908006e-08,0.0003232097660332572,3.565333135952961e-08,3.5293447705936304e-09,0.00042441730171722907,1.7324877891618004e-08,4.466108946195657e-05,1.1655140736888296e-07,0.0007129261791791097,0.00021457873773716863,0.0002659177957243901,0.002749246568518517,4.4763842592534684e-08,1.987415224605669e-05,0.0007131865015788377,0.0005539043230769903,2.410856746919354e-07,0.0002660845389352894,1.989309117892826e-05,0.00021457880437035281,0.0006764579698455257,0.00026586571617084724,0.0027492599413467796,0.0009071508014179212,1.328820567678338e-08,0.0007546229982346889,0.0008174499458289929,0.0028094263105687594,5.502886289534227e-05,1.6093625997831706e-20,0.0,2.7755575615628914e-17,4.235164736271502e-22,2.4991113477401654e-27,1.3552527156068805e-20,2.117582368135751e-22,1.6940658945086007e-21,2.6469779601696886e-23,2.7755575615628914e-17,1.0587911840678754e-22,0.0,6.617444900424221e-23,4.235164736271502e-22,1.6940658945086007e-21,3.3881317890172014e-21,0.0,1.2513605876212284e-23,1.2705494208814505e-21,0.0,2.6469779601696886e-23,0.0,2.541098841762901e-21,8.470329472543003e-22,8.470329472543003e-22,0.0,1.6940658945086007e-21,8.470329472543003e-22,4.235164736271502e-22,2.117582368135751e-22,0.0,0.0,3.3881317890172014e-21,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,3.3881317890172014e-21,5.421010862427522e-20,2.168404344971009e-19,1.6940658945086007e-21,1.6940658945086007e-21,1.2705494208814505e-21,1.6940658945086007e-21,4.235164736271502e-22,5.421010862427522e-20,1.3552527156068805e-20,1.0842021724855044e-19,2.710505431213761e-20,1.6940658945086007e-21,2.168404344971009e-19,0.0,2.168404344971009e-19,2.168404344971009e-19,0.0,5.293955920339377e-23,5.421010862427522e-20,0.0,0.0,0.0,0.0,1.6940658945086007e-21,3.3881317890172014e-21,0.0,1.0842021724855044e-19,0.0,3.3881317890172014e-21
5,2.3593953917102894e-06,3.420580186247063e-09,5.068138291962724e-08,2.873053557296931e-09,6.384845506374403e-08,3.4236114238360104e-09,1.2283248284903295e-07,1.1509892307076905e-07,1.3137531319946773e-07,1.3739367914831682e-09,2.9561300676672015e-08,1.3740299395393814e-09,7.29287957081192e-08,3.423018626379083e-09,6.387628681658054e-08,7.293230880803959e-08,3.9345975868171154e-07,5.067965480346131e-08,7.292795360551176e-08,2.3593938972688512e-06,1.3740266974509534e-09,2.8730509351176526e-09,2.9561300782792598e-08,5.068137874696098e-08,1.3746536338423154e-09,3.9346050638035063e-07,1.313753149988862e-07,5.068139243221048e-08,7.349488307389944e-06,6.384843566810574e-08,2.3593954911694113e-06,2.858026927845723e-14,1.6586152842627286e-14,3.571679873797659e-12,1.3485632913900823e-09,7.210358713664751e-07,2.388241757657789e-09,3.3521756718216454e-13,3.568924001964927e-12,8.749404180771543e-07,9.395084582809308e-14,3.60454135263684e-12,1.1492484022171015e-06,4.138738290499495e-12,1.2101938847756375e-07,1.4479053592321997e-13,1.9313994322058657e-06,9.344833173027961e-07,7.21255922939434e-07,0.0018790254762041992,4.3962227128020077e-14,1.2365882656605119e-06,1.9322030259812904e-06,1.9552591001502134e-09,3.477266937371731e-13,7.212926108989875e-07,1.2365868286287037e-06,9.344832516913148e-07,2.390298804518331e-09,7.210358718145264e-07,0.0018790254761844069,3.1901679525567295e-07,1.5491014563575124e-13,1.9749766359155535e-06,4.271596986127042e-08,2.506856881192044e-06,2.3849026366878404e-06,2.118616343901442e-22,4.1359030627651384e-25,2.7755575615628914e-17,2.0194839173657902e-28,9.619943035016468e-29,6.617444900424222e-24,2.9985297205047253e-24,6.462348535570529e-27,8.077935669463161e-28,2.7755575615628914e-17,2.0194839173657902e-28,0.0,4.0389678347315804e-28,0.0,0.0,0.0,6.617444900424222e-24,9.075058935150431e-29,2.481541837659083e-24,1.6543612251060553e-24,4.0389678347315804e-28,0.0,0.0,0.0,2.0194839173657902e-28,1.0097419586828951e-28,0.0,1.6543612251060553e-24,2.117582368135751e-22,0.0,5.048709793414476e-29,0.0,1.3234889800848443e-23,2.6469779601696886e-23,2.117582368135751e-22,5.293955920339377e-23,5.293955920339377e-23,1.3234889800848443e-23,5.293955920339377e-23,2.117582368135751e-22,6.617444900424222e-24,2.117582368135751e-22,0.0,3.1763735522036263e-22,7.940933880509066e-23,0.0,5.293955920339377e-23,2.117582368135751e-22,5.293955920339377e-23,9.926167350636332e-24,0.0,4.235164736271502e-22,0.0,2.117582368135751e-22,0.0,4.0389678347315804e-28,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,1.3234889800848443e-23,2.6469779601696886e-23,2.6469779601696886e-23,1.2924697071141057e-26,1.0587911840678754e-22
6,2.660272802047271e-07,1.6297109318204583e-07,3.401268653915181e-07,1.629690266366101e-07,1.963487455561816e-08,1.6297005316343693e-07,4.901239857003854e-07,3.401262998702525e-07,8.665900899332942e-08,4.90122164868233e-07,1.9626729474815155e-08,4.901233939408257e-07,8.665550505597115e-08,1.629716923128091e-07,1.9635500744018472e-08,8.665788357990137e-08,2.6601547219010763e-07,3.4012473525397873e-07,8.665508156766407e-08,2.6602736379786176e-07,4.901240404672958e-07,1.6296896246664853e-07,1.962606614769768e-08,3.401230775510857e-07,4.901247491946255e-07,2.660146173934695e-07,8.666017816958274e-08,3.401218052193247e-07,2.1211209075425844e-06,1.963487936210582e-08,2.6602723219549084e-07,2.343912839143584e-12,1.4170728513245264e-12,1.0626737708689558e-11,1.608651435895457e-08,3.233757964100468e-08,1.6083106411426752e-08,2.3741523139539635e-12,1.9942553373633956e-11,1.417457995620237e-06,3.1466031319429604e-12,1.1632646550244274e-11,1.2556789705504726e-06,1.4577581920464438e-11,2.0396983260076126e-07,2.3846542522540655e-12,1.2556760769895062e-06,1.1695392293121095e-06,6.766745118585275e-08,5.147522436604686e-07,1.569614848555279e-12,1.8803414046896624e-06,1.4174544197264052e-06,1.4855070502467625e-07,4.181564524932938e-12,6.766422912797332e-08,1.8803419104524107e-06,1.1695392534305066e-06,1.485496146788037e-07,3.2337560761827045e-08,5.147523927429972e-07,3.3701967193704905e-07,1.2472143987100474e-12,1.275031734132245e-06,1.1928197540890455e-06,9.216699620052157e-08,1.02091927658583e-07,1.406207041340147e-23,1.3234889800848443e-23,5.293955920339377e-23,6.310887241768095e-30,9.105796777062851e-29,0.0,0.0,1.3234889800848443e-23,1.6155871338926322e-27,1.0587911840678754e-22,4.0389678347315804e-28,1.6155871338926322e-27,0.0,0.0,0.0,2.117582368135751e-22,1.3234889800848443e-23,2.529901574947073e-30,1.9852334701272664e-23,0.0,0.0,6.617444900424222e-24,2.117582368135751e-22,1.3234889800848443e-23,4.0389678347315804e-28,2.0194839173657902e-28,0.0,0.0,2.6469779601696886e-23,8.271806125530277e-25,0.0,1.3234889800848443e-23,1.3234889800848443e-23,2.6469779601696886e-23,1.0587911840678754e-22,2.6469779601696886e-23,2.117582368135751e-22,1.3234889800848443e-23,0.0,6.617444900424222e-24,1.3234889800848443e-23,9.926167350636332e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,1.0587911840678754e-22,1.0587911840678754e-22,0.0,2.117582368135751e-22,5.293955920339377e-23,0.0,0.0,0.0,6.617444900424222e-24,2.117582368135751e-22,4.0389678347315804e-28,0.0,1.0587911840678754e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,0.0,0.0,5.293955920339377e-23,2.6469779601696886e-23,0.0,0.0
7,1.0102061480503388e-08,5.144895969423908e-09,4.212687874884067e-08,5.14489369259206e-09,1.768922706461017e-09,5.144885490021289e-09,2.6259014600321107e-08,4.212687778369186e-08,1.847727824779247e-07,2.625899106946851e-08,1.7689333814499944e-09,2.625902499593243e-08,1.8477277325785746e-07,5.1448875987955254e-09,1.7689177013017575e-09,1.8477278139259285e-07,1.010209883828121e-08,4.2126880888943064e-08,1.8477277294855152e-07,1.0102069232754882e-08,2.6259025148892598e-08,5.144893726029888e-09,1.7689332729869135e-09,4.212687790390421e-08,2.6259023968878565e-08,1.010209692740951e-08,1.8477278314968276e-07,4.2126880588623635e-08,1.6847579945573792e-07,1.7689226759209173e-09,1.010206268824631e-08,2.8544588896548754e-15,7.167672605481823e-16,1.2876802320153273e-13,2.359251232156913e-10,1.182560220952945e-09,2.359510670394674e-10,4.7589991769741186e-14,1.0487699277009999e-15,5.6912156100683693e-08,4.445215932977804e-15,3.933943572351426e-14,5.0283914132526386e-08,7.699970877534242e-15,8.299981106412065e-08,4.8522259510538076e-14,5.028392587827303e-08,3.223271166160914e-08,2.6831780534063335e-09,8.988478681189476e-09,1.3099120009538769e-15,7.291726982030465e-08,5.691216915619997e-08,1.6238511531980373e-09,8.182501907547591e-15,2.6831716622473793e-09,7.291719452865741e-08,3.223271177087792e-08,1.623871125134337e-09,1.1825601894959036e-09,8.988479653818165e-09,3.3362634298027e-08,9.007412512288446e-15,9.005695070053752e-10,1.9905980165867944e-08,4.1506998388293464e-08,7.281380280901038e-08,1.2924697071141057e-24,4.1359030627651384e-25,1.3234889800848443e-23,1.5777218104420236e-30,8.997944700177166e-31,0.0,3.308722450212111e-24,2.0679515313825692e-25,3.1554436208840472e-30,6.617444900424222e-24,0.0,1.5777218104420236e-30,9.860761315262648e-32,0.0,4.1359030627651384e-25,0.0,0.0,9.413945568164809e-31,6.203854594147708e-25,8.271806125530277e-25,1.9721522630525295e-31,0.0,0.0,6.203854594147708e-25,2.7610131682735413e-30,1.5777218104420236e-30,0.0,0.0,1.6543612251060553e-24,5.169878828456423e-26,5.5220263365470826e-30,6.617444900424222e-24,0.0,0.0,2.0679515313825692e-24,0.0,3.308722450212111e-24,0.0,6.617444900424222e-24,9.926167350636332e-24,1.3234889800848443e-23,1.6543612251060553e-23,6.617444900424222e-24,3.308722450212111e-24,9.926167350636332e-24,2.016252743098005e-24,1.9645539548134407e-24,1.9645539548134407e-24,2.016252743098005e-24,6.617444900424222e-24,3.308722450212111e-24,9.926167350636332e-24,3.308722450212111e-24,9.926167350636332e-24,3.308722450212111e-24,0.0,0.0,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,1.3234889800848443e-23,6.617444900424222e-24,0.0,0.0,0.0
8,1.6523736332883523e-08,4.5291062112734985e-09,4.14321771546904e-08,4.5291064511141416e-09,1.6955234439217127e-09,4.529101743336356e-09,1.520182798746192e-08,4.143217808825765e-08,2.4102169997324764e-09,1.5201825204912444e-08,1.6955241023327422e-09,1.5201825252154614e-08,2.410209681765196e-09,4.529101491205374e-09,1.6955236263402246e-09,2.4102096614914453e-09,1.6523752837226486e-08,4.143217782635689e-08,2.4102101884212624e-09,1.6523736729684604e-08,1.5201825229245397e-08,4.529106481641644e-09,1.6955240470618782e-09,4.14321773394742e-08,1.5201825679676297e-08,1.652375152021093e-08,2.4102171995773375e-09,4.1432177085472934e-08,1.0253133024532646e-07,1.6955234193581021e-09,1.652373626325698e-08,1.8646896974253493e-15,8.007792962455874e-16,8.696856666575129e-15,6.510915732506122e-11,1.115382452117641e-09,6.509889489172278e-11,1.9189700749893378e-14,3.8192261339947127e-14,5.95483181193779e-08,9.752276802455983e-16,8.336549462646698e-15,5.241856531017265e-08,3.7208411449093505e-14,6.89159008010521e-08,1.9876722077792606e-14,5.2418570565150775e-08,1.7503467752863843e-09,2.7725953851044594e-09,2.5396878132755944e-08,3.86117115441109e-17,1.996952024323847e-10,5.954832442564385e-08,2.745654409951827e-10,2.5088269387588224e-15,2.7725885953364916e-09,1.9969639233621796e-10,1.7503465464434307e-09,2.7455938995698444e-10,1.1153824826996551e-09,2.5396878201409886e-08,1.8689683048275444e-08,3.1938504476575252e-15,2.9349733164509367e-09,9.374187694385037e-09,5.3075921042433654e-08,5.5692506427596594e-08,1.4217166778255163e-23,1.2407709188295415e-24,3.308722450212111e-24,8.874685183736383e-31,2.277797345226784e-30,1.6957202557337067e-23,1.6543612251060553e-24,1.0339757656912846e-25,7.888609052210118e-31,3.308722450212111e-24,1.5777218104420236e-30,3.944304526105059e-31,9.860761315262648e-32,1.6543612251060553e-24,8.271806125530277e-25,4.1359030627651384e-25,0.0,2.2752936362990804e-30,4.1359030627651384e-25,1.6543612251060553e-24,6.162975822039155e-32,8.271806125530277e-25,8.271806125530277e-25,1.0339757656912846e-24,7.888609052210118e-31,5.9164567891575885e-31,0.0,2.481541837659083e-24,3.308722450212111e-24,1.550963648536927e-25,1.5777218104420236e-30,0.0,6.617444900424222e-24,1.6543612251060553e-24,5.790264287871194e-24,1.6543612251060553e-24,0.0,6.617444900424222e-24,4.963083675318166e-24,6.617444900424222e-24,6.617444900424222e-24,4.963083675318166e-24,3.308722450212111e-24,8.271806125530277e-24,4.963083675318166e-24,5.583469134732937e-24,5.583469134732937e-24,5.790264287871194e-24,5.790264287871194e-24,3.308722450212111e-24,6.617444900424222e-24,0.0,3.308722450212111e-24,6.617444900424222e-24,8.271806125530277e-25,0.0,1.6543612251060553e-24,8.271806125530277e-25,0.0,0.0,8.271806125530277e-25,0.0,6.617444900424222e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.0339757656912846e-25,9.926167350636332e-24
