,Y2Z3,Y3Z2,Y5Z0,Y0Z5,Y0Z1,Y1Z0,Y3Z1,Y1Z3,Y5Z1,Y1Z5,Y0Z3,Y3Z0,Y4Z3,Y3Z4,Y4Z1,Y1Z4,Y2Z5,Y5Z2,Y5Z3,Y3Z5,Y4Z5,Y5Z4,Y4Z2,Y2Z4,Y4Z0,Y0Z4,standard_x,X3X5,X0X3,X1X3,X1X2,Y3Y5,X0X2,X0X4,X0X1,X1X5,Y0Y1,X1X4,X3X4,X4X5,X2X5,X1,Y1Y3,X3,Y0Y4,Y1Y5,Y1Y2,Y0Y3,X0X5,X0,Y0Y2,X2X4,Y0Y5,X2X3,Y3Y4,Y4Y5,Y1Y4,X5,Y2Z1,Y1Z2,Y2Y4,X2,Y2Z0,Y0Z2,X4,Y2Y5,Y2Y3,standard_y,Y4,Y1,X2Y3,X1Y3,X0Y3,X4Y1,Y5,Y3,Y0,X5Y1,X4Y5,X4Y3,X3Y5,X3Y0,X2Y1,X2Y0,X1Y5,X0Y5,X0Y4,X3Y1,X3Y2,X1Y0,X0Y2,X1Y2,Y2,X5Y2,X3Z2,X1Z0,X0Y1,X3Z1,X1Z3,X0Z5,X0Z1,X4Z3,X4Z1,X3Z5,X3Z4,X3Z0,X2Z1,X1Z4,X5Z4,X5Z2,X4Z5,X2Z0,X1Z2,X0Z4,X2Z5,X2Z3,X0Z2,X5Z3,X5Z1,X5Z0,X5Y4,X5Y3,X5Y0,X4Z2,X4Z0,X4Y2,X4Y0,X3Y4,X2Z4,X2Y5,X2Y4,X1Z5,X1Y4,X0Z3
0,0.999740440613412,0.9994820218669168,0.9861439158594081,0.9860697868493817,0.9649742708454685,0.9649115291394008,0.8791773920314221,0.8791761162379639,0.8571520304539126,0.8570318696527119,0.7357586686894886,0.7357118971521592,0.7081111379913518,0.7079223325211628,0.6812680814644692,0.6810854445724563,0.3380221978941086,0.3379817117510938,0.2805009766740506,0.28046206018562886,0.263271944413216,0.263238267686552,0.23967637709107453,0.23967442534833294,0.1579866322558466,0.1579545482503281,0.1252964875780467,0.04706351631510753,0.042821195261744216,0.042517735165859175,0.04075093241019888,0.04007387527836959,0.03642206082107642,0.035381518812239984,0.0351190379568053,0.03404269163159569,0.0320076380974136,0.030933105778332824,0.03009044834737795,0.029486388601116593,0.029131268386298096,0.02904409135804976,0.028997383872280277,0.02894738918318153,0.028820199130172162,0.027672239928015582,0.026866736051091335,0.02497625388237672,0.02495531755287926,0.024711103395896432,0.02246359042561224,0.021742138404344788,0.02158854607080791,0.020674507185013978,0.020577041165823658,0.020390373654966147,0.020098642475780158,0.01970114793515649,0.016877687616303448,0.01687330029316858,0.016206484252974673,0.011717784264115932,0.011652645432480423,0.011650373876771338,0.011174971441646572,0.007390660174612262,0.005759931470354827,3.95516952522712e-16,1.6653345369377348e-16,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.2551405187698492e-17,1.734723475976807e-17,1.5612511283791264e-17,1.0408340855860843e-17,6.938893903907228e-18,6.938893903907228e-18,3.469446951953614e-18,3.469446951953614e-18,3.469446951953614e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.003102130306770915,0.0031430529851912943,0.9861071953452556,0.9859678944588761,0.964872997713302,0.9647880836436942,0.0027492839773462473,0.862181967668174,0.8571121739571859,0.8569156727783525,0.7240186785652677,0.002300682882783872,0.4684149879714957,0.0022221802509634625,0.6812807868733635,0.6809859109721307,0.001059565240124917,0.05748950638319766,0.057485316528447045,0.0008953071341325844,0.26327305646418087,0.2632194503822287,0.4684085532552791,0.0007517712600044993,0.15798687982977663,0.1579323968593094,0.09744293844377533,0.002170692895819579,0.0021363418709819193,0.0021264011933189303,0.001978619757724561,0.0012243080351205774,0.0019837605385145283,0.03771957913234718,0.04088574430852868,0.03753561080254138,0.03723425152032634,0.032339326233441525,0.001997693345347696,0.028687665433739424,0.001960351446820009,0.03391330769031213,0.0007842349472028983,0.0022026381560123764,0.029939975277642493,0.026019691215520443,0.0023414516754828203,0.0006429727481788146,0.026960216340774397,0.028942658200778345,0.0019534086473661115,0.0022232404412148715,0.019943513104317984,0.017788014677352984,0.0009673005106593006,0.017065894971794837,0.01882474390581986,0.020952859683073373,5.297366686004697e-05,0.8621745634694185,0.001823117325456298,0.00205962402117235,3.657399166196167e-05,0.7240125019959613,0.009371850692426738,0.0012402001403576481,0.0177903659110715,3.3290427706167414e-16,5.551115123125783e-17,2.7755575615628914e-16,1.1102230246251565e-16,3.2526065174565133e-19,2.168404344971009e-19,8.326672684688674e-17,0.0,2.168404344971009e-19,0.0,1.6653345369377348e-16,5.551115123125783e-17,0.0,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,2.168404344971009e-19,8.326672684688674e-17,5.551115123125783e-17,1.1102230246251565e-16,6.505213034913027e-19,5.551115123125783e-17,2.1277666158375037e-17,1.3552527156068805e-20,0.0,5.421010862427522e-20,6.776263578034403e-21,0.0,3.469446951953614e-18,2.0016434099913384e-17,0.0,8.673617379884035e-19,1.734723475976807e-18,3.469446951953614e-18,8.673617379884035e-19,0.0,5.421010862427522e-20,0.0,0.0,0.0,1.734723475976807e-18,4.336808689942018e-19,1.0842021724855044e-19,8.673617379884035e-19,1.0842021724855044e-19,8.673617379884035e-19,4.336808689942018e-19,2.710505431213761e-20,2.710505431213761e-20,0.0,1.0842021724855044e-19,1.734723475976807e-18,1.734723475976807e-18,0.0,2.168404344971009e-19,0.0,8.673617379884035e-19,8.673617379884035e-19,4.0657581468206416e-20,5.551115123125783e-17,2.168404344971009e-19,5.421010862427522e-20,2.168404344971009e-19,2.168404344971009e-19,1.734723475976807e-18,0.0,3.469446951953614e-18
2,1.144258067630317e-05,3.710804728317748e-05,0.0003777440879812142,0.00038347895119234985,0.00037532905893383474,0.10787619210330164,2.562596521783739e-05,0.8625110571723302,0.0003268907718749227,0.10787561993741808,0.00029053248723063944,1.360560752665563e-05,0.4684412934184897,2.6752141614427884e-05,0.6813114652183623,0.6812519996983777,7.550059221848827e-06,1.3055817249079951e-05,1.2222185183555565e-05,1.4049421238215577e-05,0.10529097274586172,9.936259960052227e-05,0.4684400245881989,1.1202504084132588e-05,0.10529081219129499,5.978646132441336e-05,0.016705782756938813,0.0005718434597877424,0.00015585211096232648,0.0018510313822749226,0.00168256521146135,0.001057139793663058,0.0005721856300876264,0.00016298878130053702,0.00012887571651355533,0.0005926527442051482,8.718106630887871e-05,0.00997124015161498,0.0016968942013497713,0.0005541261346723649,0.00015613766087561496,0.012561340874104494,0.00031240495711697873,0.0018739245677514963,7.61941966494064e-05,0.00011442848312633033,0.0016710691757616286,0.0010572116341010067,0.006517355184157209,0.00015201920332659903,0.0010577359349145982,0.0018366961100148107,0.0065173133406296775,0.01598185956541847,0.0007710281661523436,4.140666402123641e-05,0.007728859309288348,0.0005597581107089163,8.249674921813146e-07,0.8625093456119372,0.001509141942471523,0.0016599879401049625,7.598457125557861e-06,0.00028971218275750793,0.006966577076655264,0.001057709074287028,0.015981839414975087,6.939444475322944e-17,5.551115123125783e-17,1.3877787807814457e-17,5.551115123125783e-17,1.6940658945086007e-21,0.0,3.469446951953614e-18,0.0,5.082197683525802e-21,0.0,1.3552527156068805e-20,2.710505431213761e-20,0.0,0.0,0.0,2.117582368135751e-22,1.6940658945086007e-21,2.710505431213761e-20,2.0816681711721685e-17,5.421010862427522e-20,4.235164736271502e-22,5.551115123125783e-17,3.63628597278311e-21,1.6940658945086007e-21,3.1763735522036263e-22,4.235164736271502e-22,3.3881317890172014e-21,1.0842021724855044e-19,4.336808689942018e-19,2.9778502051908996e-21,0.0,1.0842021724855044e-19,0.0,4.0657581468206416e-20,0.0,4.336808689942018e-19,0.0,5.421010862427522e-20,1.0842021724855044e-19,0.0,5.421010862427522e-20,1.3552527156068805e-20,0.0,6.505213034913027e-19,0.0,1.0842021724855044e-19,6.776263578034403e-21,1.0842021724855044e-19,1.3552527156068805e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,3.3881317890172014e-21,6.938893903907228e-18,0.0,1.0842021724855044e-18,0.0,5.421010862427522e-20,3.3881317890172014e-21,0.0,8.470329472543003e-22,0.0,4.336808689942018e-19,1.0408340855860843e-17,5.421010862427522e-20
3,8.587751503505222e-06,7.228929188283115e-07,0.00010206271587514028,0.00011527894150133275,3.065756870212084e-05,0.0006210366738478926,1.2203564037493367e-06,0.005088479203362153,9.516870497884651e-05,0.0006235525466592973,2.6328835802882893e-05,1.5462360783268085e-06,0.21285709504666944,7.123608983554711e-07,0.21287932971521806,0.004023631628454389,6.540211054991262e-06,9.518340607813004e-05,9.551723685730744e-05,1.0653022027419546e-06,0.10530136140248023,1.7489375358956307e-05,0.21285723540039433,7.245973763684919e-06,0.10530050714979107,1.0589292730394547e-05,0.002778273587322887,2.1505040877038066e-06,6.190650076905003e-07,0.0009953848541930225,2.5537830077872865e-05,3.9606852023456025e-06,3.6705558025275316e-05,0.001623138698236781,0.002184416132068599,0.0012499228487285407,0.0025553141917557106,0.000632676786326641,2.5507280274526022e-05,0.0014142868907852765,0.00019144736773715038,0.0007350660674205674,0.0009954625455464987,2.485352419940471e-05,0.0007845486460547476,0.002555040762993367,2.560463409512626e-05,3.9531268597086485e-06,0.005181619245186278,0.0015781305412723434,0.0006670280297237088,0.0009874523958400604,0.0051816839419159925,0.00028316725182788853,1.2737748934883999e-05,0.0006161201836427373,0.0008722962524647597,0.001459266076143398,8.610089023359916e-06,0.0050884931047575285,0.0002616859527099541,0.0010385765551004164,5.979602055232489e-06,2.599319286160279e-05,0.0005874870419721083,0.0006670234257081623,0.00028316783994196583,1.4108286648586033e-17,1.3877787807814457e-17,2.439454888092385e-19,4.336808689942018e-19,2.117582368135751e-22,0.0,8.131516293641283e-20,1.3552527156068805e-20,1.0587911840678754e-22,0.0,0.0,2.0328790734103208e-20,2.117582368135751e-22,0.0,5.293955920339377e-23,1.0587911840678754e-22,1.6940658945086007e-21,0.0,0.0,1.6940658945086007e-21,0.0,8.673617379884035e-19,4.897943202079615e-22,0.0,0.0,0.0,1.6940658945086007e-21,1.6940658945086007e-21,0.0,4.703685005100365e-22,0.0,1.0842021724855044e-19,4.0657581468206416e-20,0.0,1.0842021724855044e-19,5.421010862427522e-20,8.470329472543003e-22,0.0,1.6940658945086007e-21,1.0842021724855044e-19,8.131516293641283e-20,5.421010862427522e-20,1.0842021724855044e-19,5.421010862427522e-20,2.710505431213761e-20,5.421010862427522e-20,3.3881317890172014e-20,0.0,0.0,0.0,1.0842021724855044e-19,2.168404344971009e-19,2.168404344971009e-19,8.470329472543003e-22,0.0,5.551115123125783e-17,5.421010862427522e-20,5.421010862427522e-20,0.0,3.3881317890172014e-21,0.0,5.421010862427522e-20,1.6940658945086007e-21,0.0,5.421010862427522e-20,1.0842021724855044e-19,0.0
4,4.531446016615295e-05,4.372947893625004e-09,8.128965659917457e-05,8.331810377943276e-05,6.357883219797759e-06,8.385042807470185e-07,9.229827754214344e-09,3.528996010763686e-06,5.202631994588563e-05,8.527756968862894e-07,6.308844809695857e-06,1.574702858998558e-09,3.7510486194759135e-06,9.10434852997464e-09,3.7596933344161493e-06,3.511640535133172e-06,1.2000119189818231e-05,5.202478679106227e-05,5.2024836539020524e-05,2.2592095928572346e-09,1.1496185852445756e-06,5.199119776261837e-05,3.7510384530356726e-06,4.531796160524136e-05,1.1476135911292465e-06,6.239147801820976e-06,0.00027292056550889943,7.515386996437144e-09,6.402755055786989e-09,2.955994968905522e-06,4.180915685982822e-09,6.210154680683785e-09,1.1243925591195189e-06,2.462994611107163e-05,1.7487101643836635e-07,1.1089486710370175e-07,1.804961797441038e-07,5.117895013674444e-06,4.20591702396955e-09,5.237553083987034e-05,1.287539620954067e-06,0.00011226388014838249,2.95599573490079e-06,2.4791307336926886e-07,5.8582661838396915e-05,1.3090727675035416e-07,3.445842496073006e-09,6.202883879681285e-09,0.007017807959313217,0.00018191055589387498,9.386175010539909e-06,2.9657757191875612e-06,0.007017808496288774,7.756285958828496e-05,4.328269670242742e-09,5.858704592584252e-05,5.110825787718576e-06,0.00018632767317617422,4.531443397965342e-05,3.528995761539264e-06,2.907557562075563e-06,1.641701043187403e-05,1.2001045539371579e-05,6.308795066177352e-06,0.0005455598379358094,9.388158114025954e-06,7.756285914325471e-05,7.544714367096165e-21,0.0,7.940933880509066e-23,5.082197683525802e-21,6.617444900424222e-24,5.169878828456423e-26,8.470329472543003e-22,3.3881317890172014e-21,8.271806125530277e-25,8.470329472543003e-22,1.0587911840678754e-22,0.0,4.1359030627651384e-25,5.169878828456423e-26,0.0,5.169878828456423e-26,2.6469779601696886e-23,5.293955920339377e-23,5.551115123125783e-17,1.0587911840678754e-22,1.6543612251060553e-24,0.0,2.343527984537015e-24,6.617444900424222e-24,4.1359030627651384e-25,3.3881317890172014e-21,1.3234889800848443e-23,5.293955920339377e-23,3.3881317890172014e-21,7.755625617169225e-24,2.6469779601696886e-23,0.0,0.0,2.710505431213761e-20,1.0842021724855044e-19,5.421010862427522e-20,1.3234889800848443e-23,0.0,1.3234889800848443e-23,1.6940658945086007e-21,8.470329472543003e-22,1.3552527156068805e-20,1.3552527156068805e-20,0.0,2.541098841762901e-21,8.470329472543003e-22,0.0,8.470329472543003e-22,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,6.617444900424222e-24,0.0,0.0,0.0,2.6469779601696886e-23,6.617444900424222e-24,6.776263578034403e-21,1.6940658945086007e-21,1.3552527156068805e-20
5,5.312771653144218e-07,1.1141739493876824e-09,4.105990287518885e-05,4.766191737982435e-06,4.7705971372769796e-06,3.3162682053116126e-05,1.3190371891420281e-09,3.316303152081371e-05,4.106035276963355e-05,3.316259331869869e-05,4.7655969003294864e-06,1.0884554140317869e-09,2.4771257044310572e-06,1.3191367984743269e-09,2.477929768787073e-06,3.3162815051181405e-05,5.312619745488695e-07,4.106143681025343e-05,4.106143609604691e-05,1.0823072344945388e-09,2.4771206142897793e-06,4.1060511789540967e-05,2.477125839719477e-06,5.312666362570355e-07,2.477225321979628e-06,4.770656829226613e-06,7.138307831406031e-06,9.62436088182123e-11,3.5807179813913776e-11,2.1303266710539396e-07,6.434447707394166e-11,8.35397641177404e-11,8.232776522003642e-07,9.810340110843308e-07,3.983083889879147e-09,9.9466956361129e-10,4.015670335937599e-09,2.5295342268760596e-05,4.505605888865724e-11,1.7769762191236705e-05,7.579731921941801e-07,1.5329880888245555e-05,2.1303282811566982e-07,1.137940914205721e-08,9.812410262207063e-07,1.4808989820854809e-09,4.682201220954192e-11,6.4698316514119386e-12,6.067378418757104e-06,4.648555537614577e-06,8.232799730321865e-07,2.7454828968410496e-07,6.067421258385388e-06,8.221103753906016e-05,3.940897554563176e-11,1.776868546217841e-05,2.5294724569053762e-05,2.712392675570394e-05,5.312741518213561e-07,3.316303152157701e-05,2.7451732143907644e-07,1.470215540041321e-06,5.31263045814486e-07,4.765597606772076e-06,1.488777447621156e-06,7.579675493113885e-07,8.221103753724271e-05,1.905927528898745e-21,2.117582368135751e-22,1.6940658945086007e-21,1.6940658945086007e-21,6.617444900424222e-24,6.462348535570529e-27,2.117582368135751e-22,3.3881317890172014e-21,1.0339757656912846e-25,0.0,1.0339757656912846e-25,2.117582368135751e-22,0.0,3.2311742677852644e-27,6.462348535570529e-27,9.693522803355793e-27,0.0,1.550963648536927e-25,0.0,2.6469779601696886e-23,3.308722450212111e-24,3.3881317890172014e-21,2.589866713397932e-26,0.0,9.693522803355793e-27,0.0,6.617444900424222e-24,1.6543612251060553e-24,1.6940658945086007e-21,2.6272910759284735e-26,0.0,8.470329472543003e-22,4.235164736271502e-22,8.470329472543003e-22,1.0587911840678754e-22,2.117582368135751e-22,8.271806125530277e-25,8.271806125530277e-25,0.0,0.0,1.6940658945086007e-21,1.6940658945086007e-21,0.0,1.0587911840678754e-22,0.0,8.470329472543003e-22,0.0,0.0,0.0,4.235164736271502e-22,0.0,1.6940658945086007e-21,1.6940658945086007e-21,2.117582368135751e-22,3.2311742677852644e-27,0.0,2.117582368135751e-22,2.117582368135751e-22,2.6469779601696886e-23,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0
6,2.662239524720265e-07,5.870879015570863e-10,3.161986485738934e-07,1.0160789155206047e-07,1.0160890610867503e-07,2.933538199447713e-06,5.870010542514286e-10,2.933534192029636e-06,3.161989399942221e-07,2.9335381925489354e-06,1.016077553553169e-07,5.871354304331964e-10,2.717797874632341e-06,5.870054919045873e-10,2.717805756921497e-06,2.9335298108928027e-06,2.6622297005727593e-07,3.161990098771483e-07,3.161991342246365e-07,5.871578117928447e-10,2.7177955636028534e-06,3.161969757499626e-07,2.7177978988359426e-06,2.6622311624964463e-07,2.717795574815197e-06,1.0160981911246369e-07,1.529168353816167e-06,1.436701358569113e-12,6.128680658593031e-13,8.796560340323538e-08,4.2829051105456145e-12,1.696603056854132e-12,3.3889539633629397e-07,8.570204921401936e-09,9.904419097355697e-12,1.7079959778670427e-11,9.964208207184944e-12,1.350426621395706e-07,3.0700699200604995e-12,1.5470171158481467e-07,3.1201774809633734e-07,1.3052881600061516e-06,8.79656093441931e-08,4.622465036091871e-09,8.56689825703899e-09,1.3761085804286165e-11,3.6341898825047385e-12,5.038911855212374e-13,8.510229889768947e-08,1.0098053333492154e-07,3.388962023296711e-07,1.1329943642489291e-07,8.510226753062554e-08,1.879823352606526e-07,2.97724853185232e-12,1.5469588510844566e-07,1.350423380511224e-07,3.470523069384232e-07,2.662239428626864e-07,2.9335341921876427e-06,1.1328322755508009e-07,6.221011106748275e-07,2.6622292258182383e-07,1.0160763237748649e-07,8.508762221742488e-07,3.120186511282722e-07,1.8798233485563696e-07,4.633245406062646e-22,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,3.308722450212111e-24,0.0,2.6469779601696886e-23,2.6469779601696886e-23,1.0339757656912846e-25,1.3234889800848443e-23,4.0389678347315804e-28,3.308722450212111e-24,2.0194839173657902e-28,0.0,2.524354896707238e-29,1.0097419586828951e-28,3.308722450212111e-24,8.077935669463161e-28,4.235164736271502e-22,0.0,0.0,0.0,2.3496345321524277e-28,6.617444900424222e-24,2.0194839173657902e-28,0.0,6.617444900424222e-24,4.1359030627651384e-25,0.0,2.3711433177713444e-28,4.1359030627651384e-25,1.0587911840678754e-22,0.0,6.617444900424222e-24,1.5881867761018131e-22,5.293955920339377e-23,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,5.293955920339377e-23,1.0587911840678754e-22,0.0,0.0,1.0587911840678754e-22,5.293955920339377e-23,5.293955920339377e-23,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,3.308722450212111e-24,5.048709793414476e-29,6.352747104407253e-22,5.293955920339377e-23,5.293955920339377e-23,3.308722450212111e-24,0.0,0.0,5.293955920339377e-23,0.0,3.308722450212111e-24,1.5881867761018131e-22,2.6469779601696886e-23,0.0
7,2.0712291764742987e-09,5.890063591144327e-11,9.99271729202006e-09,4.930810316017885e-09,4.930802696775995e-09,2.860642156248223e-09,5.891373160213439e-11,2.8606562440310725e-09,9.992717946048539e-09,2.860642214010241e-09,4.930808569169746e-09,5.890097806731416e-11,4.16610482680892e-08,5.891380045868659e-11,4.166102570884757e-08,2.8606521816312136e-09,2.0712289504865023e-09,9.992716481213378e-09,9.992717328959305e-09,5.890113792828274e-11,4.166104982249289e-08,9.99271924075546e-09,4.16610481296037e-08,2.071228441598753e-09,4.166104979793902e-08,4.930803159210832e-09,7.605902926786777e-08,1.1559028409971128e-14,4.96589869565122e-15,7.888774404089329e-09,6.1104565602109794e-15,1.2160115020145111e-14,3.02891683691597e-08,4.1905206308640075e-10,1.874500510232307e-14,1.0358979207335933e-14,1.8933830897389447e-14,4.4301875957423024e-08,1.9137654319817748e-14,7.539136926268303e-09,2.7888644294013154e-08,1.0112759477209764e-07,7.888774463350341e-09,4.110644302748621e-10,4.1904406901379274e-10,1.0159158560371597e-14,2.8793861791547564e-15,4.703063112633316e-15,7.888716916775374e-09,1.9017125498484598e-08,3.0289172427783656e-08,1.0155559069280552e-08,7.888717090865618e-09,4.431560993049983e-08,1.7590974347086693e-14,7.539147579959779e-09,4.4301908985611924e-08,3.173774275712152e-08,2.071229396951825e-09,2.8606561648856465e-09,1.0155575294441678e-08,4.856641509349984e-08,2.0712287359831202e-09,4.930809348022733e-09,1.1188296760907917e-08,2.7888648562523242e-08,4.431560988798183e-08,5.686866711302065e-24,6.617444900424222e-24,1.0339757656912846e-25,3.308722450212111e-24,4.1359030627651384e-25,9.860761315262648e-32,8.271806125530277e-25,8.271806125530277e-25,0.0,4.1359030627651384e-25,3.944304526105059e-31,1.0339757656912846e-25,0.0,0.0,2.2186712959340957e-31,7.888609052210118e-31,2.0679515313825692e-25,3.944304526105059e-31,6.617444900424222e-24,6.462348535570529e-27,0.0,0.0,1.0014835710813626e-32,2.0679515313825692e-25,0.0,2.0679515313825692e-25,4.1359030627651384e-25,0.0,6.617444900424222e-24,6.933347799794049e-33,2.5849394142282115e-26,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,8.271806125530277e-25,8.271806125530277e-25,0.0,2.5849394142282115e-26,2.5849394142282115e-26,0.0,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,8.271806125530277e-25,0.0,3.308722450212111e-24,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,7.888609052210118e-31,1.3234889800848443e-23,8.271806125530277e-25,8.271806125530277e-25,0.0,6.462348535570529e-27,3.944304526105059e-31,3.308722450212111e-24,4.1359030627651384e-25,0.0,6.617444900424222e-24,8.271806125530277e-25,0.0
8,2.8232801956242157e-09,6.557861759812792e-11,1.0511174711653082e-08,4.758801764870201e-09,4.758794168825514e-09,1.408142492596394e-09,6.559175364897804e-11,1.4081566897815132e-09,1.0511175369767814e-08,1.4081425486675097e-09,4.758799972855139e-09,6.557895178894917e-11,4.167305947747325e-08,6.559182826333114e-11,4.1673036787150944e-08,1.4081526267747718e-09,2.823279910191358e-09,1.0511173915068206e-08,1.0511174763774737e-08,6.55791136603699e-11,4.1673061017854106e-08,1.0511176718399982e-08,4.167305933925066e-08,2.8232795039292763e-09,4.167306099306912e-08,4.7587946338324055e-09,7.587209575900288e-08,1.1967127942918686e-14,4.863817422843654e-15,7.939227619707074e-09,6.398217128586084e-15,1.2575432010378487e-14,3.036023687964514e-08,4.1847586973562335e-10,1.8829006149337658e-14,1.0448476180311845e-14,1.9021999679116252e-14,4.4273188405369305e-08,1.933234898634479e-14,7.495403737171101e-09,2.7954139007196572e-08,1.0115824667688711e-07,7.93922767839395e-09,4.100520429981792e-10,4.1846788081649537e-10,1.0183778297091361e-14,3.1798383356333637e-15,4.596485871808757e-15,8.476104261072967e-09,1.9060896098376753e-08,3.0360240954711626e-08,1.0214854808762866e-08,8.476104440225822e-09,4.482095675121831e-08,1.7802102714763185e-14,7.495414288123935e-09,4.4273221238598054e-08,3.1569826108938246e-08,2.8232804167774578e-09,1.4081566120629961e-09,1.0214870962640814e-08,4.8528504556173e-08,2.823279697581857e-09,4.758800753683265e-09,1.1143475670725468e-08,2.795414328926397e-08,4.482095670908483e-08,1.5057272087879332e-24,0.0,5.169878828456423e-26,0.0,2.0679515313825692e-25,4.930380657631324e-32,8.271806125530277e-25,0.0,6.462348535570529e-27,8.271806125530277e-25,9.860761315262648e-32,0.0,3.944304526105059e-31,1.5777218104420236e-30,1.4791141972893971e-31,3.944304526105059e-31,4.1359030627651384e-25,3.944304526105059e-31,6.617444900424222e-24,0.0,4.1359030627651384e-25,3.308722450212111e-24,9.398538128609711e-32,0.0,0.0,6.203854594147708e-25,0.0,0.0,1.3234889800848443e-23,1.1401505270772436e-31,5.169878828456423e-26,3.308722450212111e-24,0.0,3.308722450212111e-24,8.271806125530277e-25,1.6543612251060553e-24,2.5849394142282115e-26,0.0,5.169878828456423e-26,0.0,6.617444900424222e-24,0.0,3.308722450212111e-24,8.271806125530277e-25,0.0,6.617444900424222e-24,0.0,3.308722450212111e-24,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,1.3234889800848443e-23,0.0,1.6543612251060553e-24,4.1359030627651384e-25,6.462348535570529e-27,3.944304526105059e-31,0.0,2.0679515313825692e-25,4.1359030627651384e-25,3.308722450212111e-24,8.271806125530277e-25,0.0
