,Y1Z3,Y3Z1,Y0Z4,Y4Z0,Y5Z4,Y4Z5,Y4Z3,Y3Z4,Y2Z3,Y3Z2,Y5Z1,Y1Z5,Y2Z1,Y1Z2,Y0Z1,Y1Z0,Y5Z3,Y3Z5,Y2Z5,Y5Z2,Y2Z0,Y0Z2,Y0Z3,Y3Z0,standard_x,Y1Z4,Y4Z1,Y2Z4,Y4Z2,X1X4,X0X3,Y1Y4,X3X4,X2X4,X3X5,Y0Y3,Y3Y5,X0X5,X0X1,Y0Y5,X1X5,Y2Y4,X2X3,X1X2,X4X5,X3,Y1Y2,X1X3,X2X5,X4,X0X2,X1,Y2Y3,X0X4,Y1Y3,Y1Y5,X5,Y2Y5,X0,Y3Y4,X2,Y0Y1,Y4Y5,Y0Y2,Y0Z5,Y5Z0,Y0Y4,X0Y5,X0Y2,standard_y,Y3,Y2,Y1,X5Y4,X5Y0,X4Y5,X4Y3,X4Y2,X2Y4,X2Y3,X1Y4,X1Y2,X0Y1,Y4,Y0,X4Y1,X3Y0,X2Y0,X0Y4,X1Y3,X5Y1,X2Y1,X1Y0,X1Y5,X4Z0,X1Z0,X3Z4,X3Z1,X5Z0,X5Z4,X5Z1,X3Z5,X3Z2,X3Z0,X2Z3,X2Z1,X0Z1,X5Z2,X4Z5,X4Z3,X1Z5,X0Z2,X2Z0,X1Z4,X0Z5,X4Z2,X0Z3,X2Z4,Y5,X5Z3,X5Y3,X5Y2,X4Z1,X4Y0,X3Y5,X3Y4,X3Y2,X3Y1,X2Z5,X2Y5,X1Z3,X1Z2,X0Z4,X0Y3
0,0.8981565078965736,0.8981136968206256,0.866480834856304,0.8663955916348272,0.7249750487850304,0.7249099295722776,0.7033274116394748,0.7033141323250633,0.6165886042544915,0.6164972363390184,0.554189313411833,0.5541554862038103,0.5027255779653843,0.5026750430322222,0.46293922901710194,0.4629070099984944,0.45195008611028253,0.45190095767745264,0.3789728744129597,0.3789579105644907,0.37326574482820296,0.37325420058287173,0.1385163234204523,0.1385000808439744,0.08495284330625309,0.08079545269109223,0.08079312686265802,0.040890142761973135,0.040884855389862404,0.033537497949879085,0.029905250075112987,0.029104371616666673,0.026952239624803455,0.026936550756013117,0.026774001229210066,0.025166999025215343,0.024846607770368033,0.023044040898657567,0.02282768850446898,0.02177751111430145,0.021541347449532296,0.021450274388679455,0.020625903135993447,0.019997411547960003,0.019090946478503828,0.019054517936365513,0.018800644206177802,0.018793553186031015,0.01811200273767625,0.01779615166048721,0.017627750303189874,0.01587754088704658,0.014067059464641447,0.01401698871623722,0.013629503026824637,0.013161637197304676,0.011809004300358732,0.011787718496670672,0.011238594610185528,0.010909826460598404,0.009177033911809521,0.007713383656383271,0.007676011985026135,0.007120968207254811,0.006433969286522859,0.006433914225152937,0.003095854928967775,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,7.806255641895632e-18,3.469446951953614e-18,3.469446951953614e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.8973538018496328e-19,1.0842021724855044e-19,8.131516293641283e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0004954225139537391,0.0004956335028611651,0.8665057287082314,0.8664353674806692,0.7250345326312448,0.7249458391991482,0.6225564690695609,0.0003894312640953234,0.11386521993077148,0.0003371963235247143,0.10223835558732955,0.0003010322193571287,0.11386436841913637,0.00027260829896622274,0.32442678922551227,0.0002507435783452545,0.102237689513055,0.00024393689053064357,0.37901040905701533,0.37899148912484293,0.3733027136895375,0.37326872473805567,0.32442628231367077,6.991469637458748e-05,0.03083094088794543,4.348326342218962e-05,0.6225553869287396,0.040894292508190905,0.04088724863592552,0.0013895389924955624,0.001388032080259408,0.001295038221760726,0.0012186642608919464,0.017870213871310173,0.0013081398218294745,0.0009285148955976481,0.0010581278830840745,0.015523165786923015,0.0012163414204850722,0.014903947570366519,0.00129393249566696,0.011992105755833002,0.0012096912870208697,0.0013884818573429956,0.011865615887387984,0.0012568094378714143,0.0011755404232359368,0.004815145501408531,0.006323811773272944,0.01522215097068461,0.009373643083281487,0.0013387048932667713,0.0010874466680764168,0.010709971918081467,0.00481444203723347,0.0009751047036298626,0.006276858158272103,0.00036450429351939323,0.009248003100398507,0.000816850025236912,0.0026794429897283945,0.0006753616077261858,0.0010624350606722771,0.00010976931348558407,0.006434393167348274,0.006434657829190716,0.0035562248820517357,1.3877787807814457e-17,0.0,1.248594326888619e-16,5.421010862427522e-20,1.3877787807814457e-17,1.3552527156068805e-20,0.0,2.7755575615628914e-17,0.0,0.0,1.3877787807814457e-17,5.551115123125783e-17,5.421010862427522e-20,2.710505431213761e-20,1.3552527156068805e-20,9.317362419797304e-21,1.1102230246251565e-16,0.0,1.3552527156068805e-20,1.3552527156068805e-20,0.0,0.0,2.7755575615628914e-17,1.3552527156068805e-20,0.0,2.541098841762901e-21,8.470329472543003e-21,8.673617379884035e-19,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,1.0842021724855044e-19,0.0,1.0842021724855044e-19,0.0,5.421010862427522e-20,2.168404344971009e-19,2.168404344971009e-19,0.0,2.168404344971009e-19,8.673617379884035e-19,8.673617379884035e-19,1.3552527156068805e-20,4.336808689942018e-19,1.0842021724855044e-19,6.776263578034403e-21,1.8295911660692887e-19,0.0,8.673617379884035e-19,9.486769009248164e-20,0.0,4.336808689942018e-19,2.710505431213761e-20,0.0,8.673617379884035e-19,0.0,0.0,1.3552527156068805e-20,0.0,4.163336342344337e-17,0.0,2.0816681711721685e-17,0.0,2.710505431213761e-20,8.673617379884035e-19,5.421010862427522e-20
2,4.604751104712613e-05,4.9323717148403245e-05,9.682327029088164e-05,9.007518194062452e-05,0.7185710516807302,6.962535526747353e-05,4.7064053998854333e-05,3.154784500780357e-05,0.113861940039291,3.8802287767311294e-05,0.10222875946781018,3.557461764950859e-05,0.11386131304121819,3.29484194626547e-05,5.1219616541809934e-05,1.625617580076599e-05,0.1022281790259994,3.290618065851216e-05,0.37900718421401725,0.3789651727103034,0.3324035877601407,5.4775938801261044e-05,5.153115035477522e-05,3.2944625712495273e-05,0.013553882150880214,1.687740980248706e-05,4.733334398994097e-05,0.3324025109063635,2.430095358603103e-05,0.0004861615625448378,0.0004863033466324093,0.0007360497274444069,9.114575549472209e-05,0.001710498716367183,0.0013240163241880817,0.0007361878669439206,0.001120755099086807,0.0029808853022465437,9.123512956147337e-05,0.002342395003626487,0.001152931644472758,0.00169449509671049,0.0012220661915672893,0.0012555924137040465,0.001345100886682638,0.0012737934617900997,0.001071164764909498,0.01088061677866383,0.008014127408295293,0.001357842215505822,0.002615745746490053,0.0012043568417799827,0.000979328140160253,0.018293129454919482,0.010880647183327891,0.001038970429945219,0.008678422355990395,0.005689688650682296,0.002969052378675765,0.0007364470051485245,0.0030267155042783137,0.0007365765905328095,0.0005717419840315217,0.0008760123528496375,9.952815453683398e-07,0.7185663573768063,0.018293115824054358,6.776263578034403e-21,8.470329472543003e-22,2.776912814278498e-17,3.3881317890172014e-21,2.7755575615628914e-17,0.0,6.776263578034403e-21,0.0,1.2705494208814505e-21,0.0,8.470329472543003e-21,6.776263578034403e-21,3.3881317890172014e-21,0.0,3.3881317890172014e-21,6.617444900424222e-24,3.3881317890172014e-21,6.776263578034403e-21,3.3881317890172014e-21,6.776263578034403e-21,3.3881317890172014e-21,0.0,5.551115123125783e-17,6.352747104407253e-22,4.235164736271502e-21,1.9852334701272664e-23,0.0,0.0,5.421010862427522e-20,1.6263032587282567e-19,0.0,2.168404344971009e-19,6.505213034913027e-19,0.0,1.0842021724855044e-19,0.0,5.421010862427522e-20,2.168404344971009e-19,0.0,2.168404344971009e-19,0.0,1.0842021724855044e-19,0.0,6.776263578034403e-21,5.421010862427522e-20,4.336808689942018e-19,5.421010862427522e-20,3.7269449679189215e-20,5.421010862427522e-20,0.0,3.2526065174565133e-19,0.0,0.0,6.776263578034403e-21,1.3877787807814457e-17,2.168404344971009e-19,1.1102230246251565e-16,0.0,1.6940658945086007e-21,3.3881317890172014e-21,2.7755575615628914e-17,0.0,2.7755575615628914e-17,2.0328790734103208e-20,6.776263578034403e-21,4.336808689942018e-19,0.0
3,4.5503307087704984e-05,4.281578474122795e-05,8.383736818127349e-06,3.811177486459233e-06,0.0002795586484088638,5.019484153467541e-06,1.916994816331755e-06,1.2517243473803148e-05,0.11384655312035763,3.952136270254665e-05,4.221570040214854e-05,4.015673486654404e-05,0.1138457909484284,3.683408263525181e-05,1.3867564888955706e-06,4.270585481169481e-05,4.27693391805884e-05,1.5449867442281512e-05,0.7113956185225935,0.00016711100991564156,0.7113952594445336,9.631711385644673e-06,1.909731313950307e-06,1.2800983036423526e-05,0.014422245666984268,4.304729122209834e-05,1.6399277305366836e-06,0.7113952233913547,3.1971630636457834e-06,6.387490682353805e-07,0.0003870773612430805,7.20080414239979e-07,3.4072903986670017e-07,7.85672043460031e-06,0.0007256212991011703,0.0009539307095684864,0.001049254189928115,7.990438120903778e-06,0.00018189469886062808,7.998374525281977e-06,4.468040334389324e-05,3.5892683302211914e-06,0.0012528629857715516,0.0012194333314087618,0.0007051411126503542,0.0013200181090249129,0.0011101635327680742,0.017966070251607482,0.0026960468301300954,7.961855582084143e-06,0.00041186193528679443,0.0011531641090277355,0.0009915027226302068,0.0026338258053291786,0.01796608388739379,0.0010502152882019664,0.004553373919015408,0.00022500849128214044,0.0006273739780211341,5.134573459820985e-07,0.0067603536963129944,0.0009543777936781872,0.0007051366598851856,5.461600547618894e-05,8.411232956296663e-06,0.00027956159826303856,0.0026338271012154376,1.9852334701272664e-23,1.0587911840678754e-22,6.988021814847978e-21,3.3881317890172014e-21,0.0,3.3881317890172014e-21,0.0,0.0,1.6940658945086007e-21,4.235164736271502e-22,3.1763735522036263e-22,4.235164736271502e-22,0.0,4.235164736271502e-22,6.776263578034403e-21,3.76496425682339e-22,2.117582368135751e-22,0.0,4.235164736271502e-22,0.0,5.293955920339377e-23,0.0,2.7755575615628914e-16,0.0,3.3881317890172014e-21,7.201641208039797e-23,8.470329472543003e-22,2.117582368135751e-22,5.421010862427522e-20,1.0842021724855044e-19,0.0,0.0,0.0,0.0,1.6263032587282567e-19,2.168404344971009e-19,5.421010862427522e-20,4.336808689942018e-19,0.0,0.0,1.0842021724855044e-19,2.117582368135751e-22,1.6940658945086007e-21,1.0842021724855044e-19,7.623296525288703e-21,0.0,1.0842021724855044e-19,8.470329472543003e-21,0.0,5.421010862427522e-20,1.5178830414797062e-18,1.3552527156068805e-20,0.0,3.3881317890172014e-21,1.0164395367051604e-20,0.0,2.710505431213761e-20,3.3881317890172014e-21,4.235164736271502e-22,0.0,5.551115123125783e-17,4.336808689942018e-19,6.776263578034403e-21,0.0,8.131516293641283e-20,4.235164736271502e-21,0.0
4,1.774183153144234e-05,1.768230959973743e-05,1.815495941335724e-05,3.4211257476872343e-07,1.844837290672967e-06,3.468903466978083e-07,1.1727028883184242e-07,1.4308487883943573e-05,0.00014682953133129207,1.4335110061286081e-05,2.033923024402594e-07,8.47641010193272e-06,0.00014682947295719753,8.437598213395202e-06,1.3645905415439186e-05,8.471494413161074e-06,2.033297253677192e-07,1.4306651097970212e-05,0.0009620689473171507,2.2612824264414696e-06,0.0009620692478899562,1.7486169329840475e-05,1.3645791779415484e-05,1.4313934946037206e-05,0.002636800495850911,8.474597066618996e-06,1.1731439939738887e-07,0.000962068203237393,3.501386091526828e-07,2.7583921915798606e-10,9.098448898423299e-06,4.673939216098e-10,1.357839544045874e-12,9.315098325276205e-09,1.299730239630199e-08,1.4592323608957805e-05,1.9065024626255954e-08,8.174119508575326e-09,1.1355430094064793e-06,8.843765109512209e-09,1.315792186811026e-09,4.178237913568688e-09,3.0082819974100002e-06,1.1745393966095803e-05,0.00032410569915686043,1.3216317377933759e-05,1.2190427089261052e-05,0.021458326910040675,0.00025160474286449637,7.245844211035314e-06,0.0003238242380827455,1.1795254590796481e-05,1.2099350043915248e-05,0.00020331160786037585,0.021458326905355797,1.8611384086890946e-08,0.00013642067391581643,0.00025153644330790743,0.0008501605754574613,3.992717092376117e-10,0.0033827978135723214,1.4608949526457335e-05,0.0003241057315924541,0.00032437382307967156,1.8155560169201418e-05,1.8443940712299943e-06,0.0002033116010823857,1.3234889800848443e-23,0.0,7.88733257681563e-20,3.3881317890172014e-21,8.131516293641283e-20,0.0,0.0,1.3234889800848443e-23,1.6940658945086007e-21,4.1359030627651384e-25,1.3234889800848443e-23,6.617444900424222e-24,0.0,6.203854594147708e-25,2.6469779601696886e-23,3.746707330884308e-24,6.617444900424222e-24,8.470329472543003e-22,4.1359030627651384e-25,0.0,0.0,8.470329472543003e-22,2.7755575615628914e-16,4.1359030627651384e-25,5.293955920339377e-23,2.2164279727348735e-24,3.308722450212111e-24,0.0,1.2705494208814505e-21,0.0,8.470329472543003e-22,6.776263578034403e-21,0.0,0.0,0.0,1.6940658945086007e-21,8.470329472543003e-22,0.0,6.505213034913027e-19,1.0842021724855044e-19,1.3552527156068805e-20,0.0,0.0,4.235164736271502e-22,0.0,1.0842021724855044e-19,4.235164736271502e-22,0.0,6.352747104407253e-22,1.0842021724855044e-19,0.0,1.0587911840678754e-22,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,5.551115123125783e-17,3.2526065174565133e-19,8.470329472543003e-22,6.352747104407253e-22,4.235164736271502e-22,0.0,0.0
5,4.764303009642563e-06,4.583966875187123e-06,3.907798093668826e-06,2.172379310008095e-08,1.697455973431911e-05,2.1886856060071e-08,2.1718085001068747e-08,4.5840015666208095e-06,3.608845928014735e-05,4.583802387580068e-06,1.6974556755501616e-05,4.764491957575889e-06,3.608863859463283e-05,4.764790534747488e-06,3.90780128379127e-06,4.7642761315215014e-06,1.6974561008467854e-05,4.583793655919464e-06,3.60884587954927e-05,1.6974138565289343e-05,3.6088480426806706e-05,3.907828741671932e-06,3.907848724006241e-06,4.584036987216951e-06,4.027235568462686e-05,4.764306062390354e-06,2.17390621704983e-08,3.608848039557257e-05,2.1891707601669152e-08,2.0097090938319013e-10,4.451174505628489e-06,2.1505277429013345e-10,4.462386440479455e-11,2.6884819631860467e-10,1.9992632547764163e-10,4.4511742848556415e-06,2.422090081944266e-10,7.032468587794058e-11,6.197057497761399e-07,5.0311164203803957e-11,4.816403630876808e-11,2.62876890786754e-10,3.166558604785805e-06,1.3934074484934167e-05,7.225490685696013e-08,1.7470478023852324e-05,1.3934479670365858e-05,5.157709744819645e-08,1.933550234438136e-05,1.31780220464393e-08,8.698394742924498e-08,2.3878852066108656e-05,3.1669272613990574e-06,2.6193008639398363e-06,5.1581495666761095e-08,9.510286147891985e-11,1.3034875989085242e-06,1.933546269893476e-05,5.350775018756897e-06,2.303573393106705e-11,2.9571349924678154e-06,6.196989159268427e-07,7.225481156016924e-08,8.686326940903936e-08,3.907798241378447e-06,1.6974559727652564e-05,2.619300831388999e-06,6.462348535570529e-27,1.0587911840678754e-22,5.717472393966527e-21,8.470329472543003e-22,6.776263578034403e-21,2.117582368135751e-22,1.0587911840678754e-22,0.0,0.0,6.462348535570529e-27,0.0,0.0,2.117582368135751e-22,6.462348535570529e-27,4.235164736271502e-22,8.94115397036454e-24,0.0,0.0,1.2924697071141057e-26,0.0,1.0587911840678754e-22,3.3881317890172014e-21,0.0,1.2924697071141057e-26,1.2705494208814505e-21,8.940969914247172e-24,0.0,0.0,1.6940658945086007e-21,0.0,3.3881317890172014e-21,1.0587911840678754e-22,1.0587911840678754e-22,1.0587911840678754e-22,0.0,0.0,3.3881317890172014e-21,4.235164736271502e-22,6.352747104407253e-22,0.0,1.0587911840678754e-22,8.271806125530277e-25,8.271806125530277e-25,8.470329472543003e-22,4.235164736271502e-22,6.352747104407253e-22,0.0,8.470329472543003e-22,8.271806125530277e-25,4.235164736271502e-22,0.0,1.6940658945086007e-21,1.0587911840678754e-22,5.169878828456423e-26,3.3881317890172014e-21,0.0,3.3881317890172014e-21,0.0,1.2924697071141057e-26,2.117582368135751e-22,1.0587911840678754e-22,0.0,0.0,1.6940658945086007e-21,8.470329472543003e-22,4.235164736271502e-22,0.0
6,5.60365480483269e-09,3.1866994298069728e-09,2.2680908822963057e-08,3.375534475706235e-09,1.4793332518317811e-08,3.3755346276738043e-09,3.3755344927967723e-09,3.1866977730029758e-09,3.146538358515479e-07,3.1866975899799607e-09,1.4793332401939372e-08,5.603655873007237e-09,3.146538360676059e-07,5.6036415940993915e-09,2.268091062730824e-08,5.603654916020323e-09,1.4793332388899771e-08,3.1866968675146784e-09,3.1465384095103513e-07,1.4793320700250944e-08,3.146538405601758e-07,2.2680911203236524e-08,2.2680910751482232e-08,3.186698178129326e-09,2.996219717995363e-08,5.603655082067461e-09,3.3755343484508875e-09,3.1465384054565395e-07,3.3755345569833785e-09,2.456938377155424e-15,9.713734174009993e-09,2.2487009656820186e-15,4.443777478512128e-16,5.669830267924887e-14,7.918740004863025e-15,9.713734498259041e-09,6.792613134069317e-15,7.877046304069518e-16,1.464126420038524e-09,1.6800735527332736e-16,3.489384643126677e-15,2.256839559849903e-14,8.057307034995132e-09,3.490714793192403e-08,9.483952681995655e-10,2.293921010392218e-08,3.4907151834766654e-08,8.601064585978751e-08,1.0868495999611577e-07,1.451388776640311e-07,1.1203560532325495e-09,2.2844493942813713e-08,8.057308480186081e-09,2.1682201238966295e-08,8.601064581674956e-08,1.1484898865042675e-15,7.919953846762828e-08,1.0868497059240466e-07,1.3380340703569718e-09,7.288594079067119e-16,1.9580896918317116e-07,1.4641299807461412e-09,9.483943752750618e-10,1.120358610777938e-09,2.2680908686390456e-08,1.4793332523248856e-08,2.1682200632722844e-08,7.888609052210118e-31,8.271806125530277e-25,2.5022213529729087e-23,2.0679515313825692e-25,2.6469779601696886e-23,1.2407709188295415e-24,8.271806125530277e-25,1.5777218104420236e-30,8.271806125530277e-25,3.944304526105059e-31,0.0,7.888609052210118e-31,8.271806125530277e-25,1.9721522630525295e-31,4.1359030627651384e-24,3.360566900430229e-25,0.0,0.0,1.1832913578315177e-30,0.0,8.271806125530277e-25,8.271806125530277e-25,1.9852334701272664e-23,2.3665827156630354e-30,4.1359030627651384e-24,3.3605625786434336e-25,1.5777218104420236e-30,1.3234889800848443e-23,3.308722450212111e-24,6.617444900424222e-24,4.963083675318166e-24,0.0,0.0,0.0,8.271806125530277e-24,4.963083675318166e-24,4.963083675318166e-24,2.6469779601696886e-23,1.3234889800848443e-23,6.2038545941477076e-24,6.617444900424222e-24,1.3234889800848443e-23,5.293955920339377e-23,8.271806125530277e-25,6.4106497472859645e-24,1.3234889800848443e-23,8.271806125530277e-25,6.307252170716836e-24,0.0,6.307252170716836e-24,6.617444900424221e-23,0.0,6.617444900424222e-24,1.5777218104420236e-30,4.963083675318166e-24,1.3234889800848443e-23,0.0,1.5777218104420236e-30,3.4512664603419266e-31,8.271806125530277e-25,1.9852334701272664e-23,0.0,1.6543612251060553e-24,2.481541837659083e-24,8.271806125530277e-25,6.100457017578579e-24,0.0
7,3.4371780717573405e-08,2.9546463283738723e-08,3.9451289858808495e-08,4.368190553151816e-09,4.715611381221183e-10,4.3681896003399694e-09,4.3681905454847595e-09,2.9546464745744834e-08,5.285892504621563e-08,2.9546463580092043e-08,4.715610804239371e-10,3.4371782265633465e-08,5.285892457443392e-08,3.4371780726193514e-08,3.9451289856355196e-08,3.437178215743987e-08,4.715611266772912e-10,2.9546464542803244e-08,5.285893066209145e-08,4.715625830188419e-10,5.285893047462216e-08,3.945128941357669e-08,3.94512895514905e-08,2.9546464359601268e-08,2.4558085320517894e-07,3.437178207415366e-08,4.368190488517483e-09,5.285893049189646e-08,4.3681895470364044e-09,1.7915490460775188e-15,4.748674744260433e-09,8.382944352607197e-16,1.5208350927104631e-15,7.119471564820405e-15,2.497110491314823e-15,4.7486746148261005e-09,2.7377638120075846e-15,1.0248183646081194e-15,7.945173668514627e-10,8.807448599328655e-16,1.7160211948118088e-15,3.2975732568771756e-15,4.743696795053177e-09,2.021041910901733e-08,1.615617416947273e-09,3.568041621191909e-08,2.0210419466917772e-08,8.832884199203935e-08,7.495352815723881e-08,9.336306183310743e-08,1.8779858178088664e-09,1.875085918666691e-08,4.743697096276349e-09,1.3144770589058504e-08,8.832884204783288e-08,1.2544317494895818e-15,5.164781219857537e-08,7.495352912011582e-08,4.353611200564361e-09,1.1028039791348162e-15,5.049231497547449e-08,7.94516183560522e-10,1.6156172920848136e-09,1.8779849280807565e-09,3.9451289883027384e-08,4.715611780906736e-10,1.3144771303503462e-08,3.944304526105059e-31,1.6543612251060553e-24,2.1558394714663284e-23,3.308722450212111e-24,2.3161057151484775e-23,1.6543612251060553e-24,4.963083675318166e-24,0.0,4.963083675318166e-24,1.9721522630525295e-31,0.0,9.860761315262648e-32,0.0,9.860761315262648e-32,1.6543612251060553e-24,1.2518518908092976e-25,0.0,3.308722450212111e-24,4.930380657631324e-32,1.6543612251060553e-24,3.308722450212111e-24,0.0,2.6469779601696886e-23,3.4512664603419266e-31,8.271806125530277e-25,1.2518545794075e-25,1.9721522630525295e-31,6.617444900424222e-24,8.271806125530277e-25,6.617444900424222e-24,3.308722450212111e-24,0.0,6.617444900424222e-24,0.0,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,0.0,6.617444900424222e-24,0.0,2.481541837659083e-24,4.1359030627651384e-25,0.0,8.271806125530277e-25,4.1359030627651384e-25,6.617444900424222e-24,4.1359030627651384e-25,6.617444900424222e-24,5.169878828456423e-26,6.617444900424222e-24,0.0,8.271806125530277e-25,6.617444900424222e-24,2.0679515313825692e-25,7.888609052210118e-31,9.860761315262648e-32,0.0,6.617444900424222e-24,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,8.271806125530277e-25,3.308722450212111e-24
8,3.925597667330765e-09,3.1637488118118045e-09,1.3860803365038408e-08,4.27416561312585e-09,2.9653226757307363e-08,4.274165637126073e-09,4.274165523061272e-09,3.163748192257929e-09,2.1099297991315773e-08,3.1637485849458054e-09,2.9653226568766855e-08,3.92559841416371e-09,2.1099298048553237e-08,3.925598993274527e-09,1.386080342329028e-08,3.925598118555437e-09,2.9653226552992683e-08,3.1637478554142347e-09,2.109929967951396e-08,2.965322716978392e-08,2.109929962540355e-08,1.386080334766353e-08,1.3860803377317948e-08,3.1637481642070514e-09,2.620038081191395e-07,3.925598087376218e-09,4.274165484839019e-09,2.109929960042201e-08,4.274165665860561e-09,2.0005082233792403e-16,2.669212263544043e-09,3.0010480368944034e-16,1.8065020067111422e-16,2.123288314965893e-15,5.421086723385812e-15,2.6692121818526595e-09,5.021518121431945e-15,4.4819343124189984e-15,5.157076615272308e-10,4.353083016305768e-15,5.861596173504041e-16,7.548379072854829e-16,3.3714037684752665e-09,1.4104864407579115e-08,5.261418943624996e-10,2.829235172658581e-08,1.4104864366956377e-08,5.101437901501871e-08,4.0360256531488926e-09,9.24320672644097e-08,6.047658288550581e-10,3.6130549469617623e-09,3.371403667575729e-09,1.4464893912608125e-10,5.101437900673019e-08,4.3193226276757727e-16,4.9788415414983575e-08,4.036024917755268e-09,4.748032772201629e-08,1.993514227138933e-16,4.039759104418237e-08,5.157070822598083e-10,5.261429379328355e-10,6.047650393864008e-10,1.386080336524878e-08,2.9653226753493868e-08,1.4464871086628928e-10,3.944304526105059e-31,4.1359030627651384e-25,1.819797347616661e-23,6.203854594147708e-25,2.150669592637872e-23,2.0679515313825692e-25,4.1359030627651384e-25,3.944304526105059e-31,0.0,4.930380657631324e-32,1.1832913578315177e-30,3.944304526105059e-31,2.0679515313825692e-25,2.465190328815662e-31,3.308722450212111e-24,1.2274977208831037e-25,4.1359030627651384e-25,8.271806125530277e-25,2.9582283945787943e-31,0.0,8.271806125530277e-25,0.0,1.2407709188295415e-24,1.7256332301709633e-31,1.2407709188295415e-24,1.2274975976235873e-25,1.355854680848614e-31,6.617444900424222e-24,3.7223127564886245e-24,6.617444900424222e-24,4.963083675318166e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,6.617444900424222e-24,4.963083675318166e-24,3.308722450212111e-24,1.3234889800848443e-23,0.0,0.0,6.617444900424222e-24,0.0,3.412120026781239e-24,0.0,1.3234889800848443e-23,3.412120026781239e-24,0.0,6.617444900424222e-24,3.308722450212111e-24,0.0,1.6543612251060553e-24,3.308722450212111e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,1.6543612251060553e-24,0.0,2.465190328815662e-32,0.0,8.271806125530277e-25,3.308722450212111e-24,6.617444900424222e-24,3.618915179919496e-24,3.412120026781239e-24,0.0,1.6543612251060553e-24
