,Y2Z3,Y3Z2,Y5Z4,Y4Z5,Y0Z5,Y5Z0,Y1Z4,Y4Z1,Y3Z4,Y4Z3,Y1Z5,Y5Z1,Y2Z4,Y4Z2,Y2Z5,Y5Z2,Y0Z1,Y1Z0,Y1Z3,Y3Z1,Y1Z2,Y2Z1,Y0Z4,Y4Z0,Y3Z5,Y5Z3,Y0Z2,Y2Z0,Y0Z3,Y3Z0,standard_x,X3X5,X2X5,X2X4,X0X4,X3X4,Y3Y5,X1X5,X1X2,Y2Y4,Y0Y4,X1X3,X0X3,X4X5,Y1Y5,X0X2,X1X4,Y1Y2,X4,Y3Y4,X5,Y1Y4,Y2Y5,Y4Y5,Y1Y3,X0X1,X0X5,X3,Y0Y2,X2,Y0Y1,Y0Y3,X1,Y0Y5,X2X3,Y2Y3,X0,Y4,Y0,X5Y4,Y1,X4Y0,Y5,Y3,Y2,X4Y1,X3Y2,X3Y1,X2Y0,X0Y4,X2Y1,X1Y0,standard_y,X5Y1,X4Y2,X2Y3,X0Y3,X0Y1,X1Y2,X1Y4,X1Y3,X5Z4,X5Z1,X3Z1,X3Z0,X2Z1,X4Z0,X0Z1,X2Z4,X5Z3,X3Z4,X2Z0,X1Z5,X0Z4,X0Z3,X2Z5,X1Z2,X3Z5,X0Z2,X5Z2,X5Z0,X5Y3,X5Y2,X5Y0,X4Z5,X4Z3,X4Z2,X4Z1,X4Y5,X4Y3,X3Z2,X3Y5,X3Y4,X3Y0,X2Z3,X2Y5,X2Y4,X1Z4,X1Z3,X1Z0,X1Y5,X0Z5,X0Y5,X0Y2
0,0.9382623125605829,0.9382508521580366,0.9018148466328522,0.9018076563811261,0.759821656224448,0.7597040868279907,0.6842245499427421,0.6841396057427217,0.6131027834743088,0.6130589338953902,0.5385533473138302,0.5384907807150274,0.4891838650761612,0.48914290318235243,0.4215581935027933,0.42152625512151237,0.40393168714370653,0.40391610981947124,0.38300819392542107,0.38298803592938596,0.2511099706276332,0.2510998216501368,0.24840027080985944,0.24835985396077034,0.21664515261956035,0.2166313850468499,0.20005000626298364,0.2000342064307876,0.1787794429128636,0.1787631394012945,0.08753195781274031,0.03293510821839482,0.029506518672754757,0.02880541615031764,0.027094384641740403,0.026887826065731278,0.025812685952937973,0.024566383166798406,0.02405699840582172,0.023541130328860804,0.023383082011739647,0.023198658569239528,0.02292357353660207,0.022373550136599595,0.022258397451901613,0.021948282358697148,0.021535685082695197,0.020040351942433,0.019588673621465484,0.019218704566367595,0.0190572857172182,0.018876672191165685,0.01863505538095677,0.01792756458535722,0.016881969729506945,0.016791741121276637,0.016252286665767127,0.014821731951717633,0.014221261395000333,0.014007586936670731,0.013959039216473646,0.013187471449632341,0.011313633882395108,0.011294265614695622,0.01121889972554201,0.010466709888489948,0.008743045703273163,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.42861286636753e-17,2.0816681711721685e-17,6.938893903907228e-18,6.938893903907228e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0011104014798489737,0.0011102355879986292,0.90185244618034,0.9018986335984589,0.759833823559184,0.7597372648406588,0.6842499450764168,0.6842106189617202,0.0007232824037793962,0.12392128762262754,0.5385741497043497,0.5385156157455062,0.0005762187313441381,0.12392030748615081,0.0004963364899222535,0.20489656629358916,0.4039395726692968,0.4039321405383677,0.1319009591914283,0.0004515120391579948,0.1319003204091005,0.0002953920899885173,0.24840534518989177,0.24838649807789015,0.0002536380149435805,0.20489592550129926,0.02127035932042246,0.00023527896812753358,0.021269948039531323,0.00021013635589390406,0.04490246665993939,0.0006823141283374886,0.0006025072506168044,0.0006652255988107417,0.01947516377257169,0.0006119643460938524,0.000686841764496541,0.019939618833280905,0.0006480737755482912,0.000734891607225526,0.018346419469585262,0.0006196190080216591,0.000635485913132656,0.013930148154222204,0.01716384334103111,0.0006295793209682118,0.012984063636605342,0.0005585104898072041,0.012975212984491395,0.0006795814846664733,0.016522628558923856,0.01148785252491465,0.000595648781346558,0.010199231728793508,0.0005011371637445145,0.013528350300665154,0.013156511363689415,0.000624493298226771,0.0004052010277743426,0.0006224922151886233,0.011021172757121677,0.00041248411405941194,0.00896930038603434,0.0085559264266367,0.0007185918047900054,0.0007180384172090957,0.007682310243905192,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,5.551115123125783e-17,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,5.421010862427522e-20,2.710505431213761e-20,5.551115123125783e-17,6.776263578034403e-20,8.399756077041204e-18,1.8032992633865152e-16,6.938893903907228e-17,2.710505431213761e-20,0.0,2.710505431213761e-20,6.197917091710802e-18,6.776263578034403e-21,0.0,6.776263578034403e-21,0.0,1.734723475976807e-18,0.0,8.131516293641283e-20,0.0,1.734723475976807e-18,4.336808689942018e-19,2.710505431213761e-20,4.336808689942018e-19,4.0657581468206416e-20,0.0,6.505213034913027e-19,0.0,8.131516293641283e-20,0.0,0.0,1.3552527156068805e-20,5.421010862427522e-20,0.0,1.734723475976807e-18,5.421010862427522e-20,5.421010862427522e-20,2.7755575615628914e-17,8.673617379884035e-19,0.0,1.0842021724855044e-19,0.0,5.551115123125783e-17,2.710505431213761e-20,0.0,0.0,1.0842021724855044e-19,2.710505431213761e-20,1.3552527156068805e-20,5.421010862427522e-20,5.421010862427522e-20,4.336808689942018e-19,2.168404344971009e-19,8.673617379884035e-19,0.0,1.3010426069826053e-18,0.0,0.0
2,4.087125454849927e-05,3.840596397173255e-05,0.0022978410595481244,0.0022844701960974285,0.5114209654323969,0.0019377837066565768,0.14567831791287997,0.0017400516544038907,9.30894436888137e-06,0.0003042935361816338,0.14567311010849454,0.0013833567368305437,9.469918715613246e-06,0.0003064814480765645,8.980543941883406e-06,0.0005351740119360234,0.40395205076078233,0.4039726310269287,0.13191292216970868,2.6095019750755278e-05,0.13191147782060791,2.111840091846402e-05,0.511415506139017,0.0006344170288448308,1.0952362867346196e-05,0.000536136261093264,0.021271082967311818,1.7048908910964454e-05,0.021269207509857453,1.4951257978147492e-05,0.007425152726301297,0.0009301341310649013,0.0006332790961436222,0.0009304673687292185,0.001845186696377294,0.0006332080141791031,0.0016600322369185153,0.0020862321923761406,0.0018274668426875758,0.0016598196479459082,0.0015692926837312612,0.0015014249050994471,0.001570422929631981,0.004675830030155394,0.0016621401747698174,0.001758145250442981,0.0015566545398797349,0.0011353858966096407,0.0016931902651372258,0.0016606026873032653,0.0019600332096883838,0.0014994518247332328,0.001661286954606209,0.0046796180356784645,0.000906394250512331,0.0033953752963913003,0.0017982997648540507,0.0015628415940141245,0.001243882998258298,0.0017663619512247684,0.0013708348731348583,0.001280969244505201,0.002093606115906946,0.000972192908119398,0.0015790722937890586,0.0015790835186369006,0.005007526680807634,0.0,0.0,1.3877787807814457e-17,4.163336342344337e-17,1.0842021724855044e-19,3.2526065174565133e-19,1.6940658945086007e-21,1.6940658945086007e-21,1.0842021724855044e-19,0.0,0.0,3.3881317890172014e-21,0.0,1.6940658945086007e-21,7.044488472183298e-18,4.130810277169772e-17,2.710505431213761e-19,3.3881317890172014e-21,0.0,3.3881317890172014e-21,2.8700454103180886e-18,3.3881317890172014e-21,1.3552527156068805e-19,0.0,0.0,0.0,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,2.168404344971009e-19,4.336808689942018e-19,9.486769009248164e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,8.131516293641283e-20,0.0,1.0842021724855044e-19,4.0657581468206416e-20,0.0,0.0,0.0,1.0842021724855044e-19,5.421010862427522e-20,0.0,1.6940658945086007e-21,0.0,1.0842021724855044e-19,0.0,0.0,0.0,2.7755575615628914e-17,3.3881317890172014e-21,1.0842021724855044e-19,0.0,0.0,0.0,5.421010862427522e-20,1.6940658945086007e-21,1.6940658945086007e-21,2.710505431213761e-20,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,0.0,1.0842021724855044e-19,3.3881317890172014e-21
3,5.1805054631005506e-05,5.425208597681413e-05,5.6836035063362176e-05,0.0004516062051823326,0.0002391699218630708,5.519095579532804e-05,0.5496342950771005,0.00047932022938849484,3.2741439257607695e-05,5.721175902195196e-05,0.5496296683499626,4.067860262301396e-05,7.5123519491535894e-06,6.0789958645287396e-05,2.605357111636977e-06,3.471146229596647e-06,0.00018525825380695055,0.5496300238053813,0.1319088891700585,3.956659614444194e-05,0.13190762168174697,3.2376913196111526e-05,0.00023623903210972605,0.0004489240662945782,3.0726539631322913e-05,3.895411623198633e-06,7.596537427362417e-06,1.7676121641507747e-06,6.725217858290459e-06,2.991629866469114e-05,0.0023934370120931706,1.4569496027740855e-07,1.4631020493824129e-07,0.0010610505686755216,0.0013140471962645624,0.0006692779986580517,9.616872156813251e-08,0.0013139373510196784,0.0022505165975341447,0.0020266657685475108,0.00131397278730993,0.0018257349778235464,0.00010151135034809712,0.0008385156269797472,0.0008612065090258938,5.886379981117544e-05,0.002376390604097685,0.0009458536452854509,0.0035748646905903736,0.0020272065544965938,0.0013147602038932403,0.002027296036540853,1.652298241934953e-07,0.0008378164094250729,0.0006229193007191364,0.0006438689444643109,0.00186359429134786,0.0019124481749483759,0.0007563338440128285,0.0021645411539690093,0.0007028017114654259,0.0007563722898821686,0.004799175632200878,0.0018631509270629464,0.00209640156841743,0.0020963709037505017,0.0017740015791069509,2.710505431213761e-20,1.3552527156068805e-20,6.776263578034403e-21,5.551115123125783e-17,0.0,0.0,0.0,6.776263578034403e-21,6.776263578034403e-21,1.3877787807814457e-17,0.0,8.470329472543003e-22,0.0,1.6940658945086007e-21,2.4565377994846102e-21,5.5463717386211586e-17,3.3881317890172014e-21,0.0,1.3877787807814457e-17,0.0,6.090832157228414e-22,8.470329472543003e-22,2.710505431213761e-20,0.0,0.0,1.0842021724855044e-19,3.2526065174565133e-19,1.6263032587282567e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,0.0,1.6263032587282567e-19,1.0842021724855044e-19,6.505213034913027e-19,1.0842021724855044e-19,0.0,2.168404344971009e-19,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,5.421010862427522e-20,0.0,4.235164736271502e-22,6.776263578034403e-21,4.336808689942018e-19,0.0,2.168404344971009e-19,2.168404344971009e-19,2.0328790734103208e-20,6.776263578034403e-21,0.0,0.0,3.3881317890172014e-21,8.470329472543003e-22,1.0842021724855044e-19,1.0587911840678754e-22,0.0,6.505213034913027e-19,5.421010862427522e-20,2.168404344971009e-19,1.0164395367051604e-20,1.0842021724855044e-19,0.0,8.470329472543003e-22
4,2.824810400487423e-06,2.48014353169627e-06,5.125854672979598e-06,1.2570167886620592e-05,2.646417844331611e-05,4.356545756468356e-06,7.57703479028443e-05,1.2432295728366612e-05,4.604489510187591e-07,3.619522857473788e-06,7.568146962144039e-05,4.764542943092722e-06,8.541216454706732e-07,3.6225678097957284e-06,8.836189673287445e-07,9.96316087203557e-07,2.5272473032015144e-05,7.459506185425127e-05,9.159465694557723e-06,5.977019236341218e-07,9.158066622924574e-06,6.22156912213726e-07,2.6486480224920942e-05,1.2480530681298993e-05,4.3755290650903086e-07,9.977184832741693e-07,1.834959381504774e-06,9.465237998316388e-07,1.839529488328127e-06,3.7250166431056567e-07,0.004688300576311188,2.199753717594118e-08,1.7841246896111816e-08,6.671262294801063e-08,2.709025651430088e-07,5.826706695456759e-08,2.5688542254950993e-08,2.666469748393751e-07,2.4455420934362713e-05,6.025973260388618e-08,2.7914026108684183e-07,3.104043332193477e-05,5.574542294645764e-06,0.0012416389499061114,2.884544161174308e-07,1.0820420586971757e-05,0.0001900764409620116,5.592126809705716e-05,0.0003736531079174988,4.90091816407747e-08,0.0001138355922191815,0.00019001537009429064,2.3101142192479325e-08,0.0012416405083266334,5.5900587070840255e-05,0.0012417270581200515,0.00016830585967411433,0.00011971551682944483,5.5491839128379223e-05,0.00013081103138062595,0.001241901169893987,5.54981471767991e-05,0.003325937312986466,0.00016831239312972273,0.0010593192802250337,0.0010593193441237048,0.0021003785116714734,1.6940658945086007e-21,3.3881317890172014e-21,0.0,6.776263578034403e-21,0.0,0.0,5.293955920339377e-23,5.293955920339377e-23,4.235164736271502e-22,1.3877787807814457e-17,2.117582368135751e-22,1.0587911840678754e-22,4.235164736271502e-22,0.0,9.092283786971641e-23,1.1858461261560205e-20,2.117582368135751e-22,1.0587911840678754e-22,0.0,2.117582368135751e-22,1.7160780893476014e-22,1.0587911840678754e-22,2.117582368135751e-22,1.0587911840678754e-22,6.776263578034403e-21,1.3552527156068805e-20,2.0328790734103208e-20,2.0328790734103208e-20,1.3552527156068805e-20,5.421010862427522e-20,0.0,1.3552527156068805e-20,0.0,6.776263578034403e-21,1.3552527156068805e-20,2.168404344971009e-19,0.0,1.3552527156068805e-20,0.0,0.0,6.776263578034403e-21,1.3552527156068805e-20,0.0,1.3552527156068805e-20,2.6469779601696886e-23,0.0,0.0,0.0,0.0,6.776263578034403e-21,5.421010862427522e-20,1.6940658945086007e-21,1.0587911840678754e-22,0.0,2.6469779601696886e-23,2.117582368135751e-22,0.0,0.0,0.0,2.117582368135751e-22,2.168404344971009e-19,0.0,1.0842021724855044e-19,2.117582368135751e-22,2.168404344971009e-19,8.470329472543003e-22,2.117582368135751e-22
5,2.3216420550008845e-07,1.94962260147531e-07,5.782750099475972e-08,6.079247799000631e-07,1.4943358943957962e-05,5.709493285540579e-08,4.872354187044758e-06,6.079397456047165e-07,6.651707198843107e-08,1.1210839591634967e-07,4.872629635777129e-06,5.759843236336655e-08,5.988248923931826e-08,1.120912646654609e-07,5.9701810537536e-08,1.9609938572781822e-08,1.4943321321930722e-05,4.872930931952854e-06,1.1912036172261947e-06,6.663662826156703e-08,1.1911730298737264e-06,5.995801970288236e-08,1.494343247048826e-05,6.079849968686212e-07,6.637504667990384e-08,1.960203573251459e-08,3.4049692337846286e-07,5.977801644407548e-08,3.4052220441567717e-07,6.645064183464747e-08,2.4099380728277295e-06,3.7909608872241155e-11,2.1843186152442288e-11,7.890813461939585e-11,1.8144816322524783e-10,5.564356001177869e-11,9.56027671076942e-11,1.8288779423625437e-10,1.8357136142269924e-06,1.1774510324805911e-10,1.0496505723012703e-10,2.3311766146910585e-06,4.188186048152866e-07,2.0914970554708193e-05,1.6984582722386016e-10,8.133467624506309e-07,1.5641306738331046e-05,4.2002257511992035e-06,1.4136992659280798e-05,1.130743002444759e-10,4.562574441719576e-06,1.564139473739889e-05,9.783105192764528e-11,2.091497015335899e-05,4.1995539354947315e-06,2.091607126376684e-05,1.3943785024188861e-05,1.4289129920676886e-05,4.168179798190819e-06,1.345619238931848e-05,2.091617900588514e-05,4.168417629509669e-06,1.7681549356733337e-05,1.3943798442330419e-05,0.0006193350369139485,0.0006193350367484441,3.344251537633975e-05,1.5881867761018131e-22,0.0,0.0,4.235164736271502e-22,4.1359030627651384e-25,9.926167350636332e-24,3.970466940254533e-23,3.970466940254533e-23,1.9852334701272664e-23,0.0,6.617444900424222e-24,6.617444900424222e-24,4.1359030627651384e-25,9.926167350636332e-24,3.637308078361545e-23,5.922613185879678e-22,8.271806125530277e-25,1.809457589959748e-25,1.3877787807814457e-17,2.6469779601696886e-23,3.633168837061296e-23,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,8.470329472543003e-22,8.470329472543003e-22,0.0,0.0,8.470329472543003e-22,0.0,6.776263578034403e-21,1.6940658945086007e-21,0.0,8.470329472543003e-22,8.470329472543003e-22,2.541098841762901e-21,3.3881317890172014e-21,0.0,2.541098841762901e-21,4.764560328305439e-22,0.0,1.5881867761018131e-22,0.0,8.470329472543003e-22,1.550963648536927e-25,5.169878828456423e-26,5.293955920339377e-23,0.0,3.3881317890172014e-21,3.1763735522036263e-21,0.0,5.293955920339377e-23,5.169878828456423e-26,2.117582368135751e-21,1.0339757656912846e-25,0.0,1.9852334701272664e-23,1.2705494208814505e-21,7.754818242684634e-26,5.169878828456423e-26,1.6940658945086007e-21,5.823351512373315e-22,3.3881317890172014e-21,4.1359030627651384e-25,6.776263578034403e-21,2.6469779601696886e-23,1.3234889800848443e-23
6,5.550703112387779e-08,6.605867323439663e-07,6.293182493070637e-07,1.632328895047854e-07,4.791140068991802e-07,6.293181765562236e-07,2.7087308218210095e-08,1.6323289560887257e-07,6.6058940657943e-07,1.6323392713810143e-07,2.7087528142515218e-08,6.293181385165514e-07,5.550260155291271e-08,1.6323392589180762e-07,5.550257984614782e-08,6.293162136004442e-07,4.791137081346007e-07,2.70874718973989e-08,2.708700233542312e-08,6.605894443973763e-07,2.7087000103129447e-08,5.5502678296393955e-08,4.791138644457945e-07,1.6323286397292202e-07,6.605894140157682e-07,6.293162133581811e-07,4.791157339905957e-07,5.5502580307942576e-08,4.791157367716068e-07,6.605894014750996e-07,3.5247234501183128e-06,3.7141042322792157e-13,9.57382237660237e-13,7.348766597346458e-13,1.4738847509410174e-12,1.6449257984821948e-13,4.3209630880175317e-13,8.822574670560733e-13,6.627626483699071e-09,8.01729668705608e-13,1.2096268268175377e-12,3.710122393753191e-08,2.6563156583134315e-08,4.1783565220620106e-07,5.816811435662563e-13,3.468998479274299e-09,1.6924701130549516e-07,6.6279239828101236e-09,8.926062932713841e-07,2.6095665458104722e-14,2.2007310669046725e-07,1.692467408643679e-07,7.416594375637426e-13,4.1783556792876697e-07,3.710076258208941e-08,4.3474593975559017e-08,5.417730268995346e-09,5.098090799454884e-07,3.4691687354104774e-09,1.1085881141910607e-06,4.3475133775987784e-08,2.6563331922670925e-08,4.837719449965597e-07,5.418079008953173e-09,5.722889267379261e-07,5.722887743565957e-07,1.329493070914329e-06,2.6469779601696886e-23,5.293955920339377e-23,0.0,1.0836066024444663e-22,2.0194839173657902e-28,1.0587911840678754e-22,1.0587911840678754e-22,6.28657265540301e-23,6.617444900424222e-24,1.2197592077817145e-17,4.963083675318166e-24,1.0339757656912846e-24,4.0389678347315804e-28,2.0679515313825692e-25,2.857661490985507e-23,1.9025154088719637e-23,2.0194839173657902e-28,0.0,1.2197645017376349e-17,3.308722450212111e-24,2.857650384686778e-23,6.203854594147708e-25,1.3234889800848443e-23,6.617444900424222e-24,3.970466940254533e-23,1.3234889800848443e-23,1.0587911840678754e-22,1.0587911840678754e-22,3.1763735522036263e-22,5.293955920339377e-23,1.0587911840678754e-22,2.117582368135751e-22,2.6469779601696886e-23,0.0,3.1763735522036263e-22,0.0,1.0587911840678754e-22,1.0587911840678754e-22,1.0587911840678754e-22,7.940933880509066e-23,1.0587911840678754e-22,1.0587911840678754e-22,1.3234889800848443e-23,1.3234889800848443e-23,1.5146129380243427e-28,1.262177448353619e-28,1.075334796318936e-23,1.0587911840678754e-22,0.0,1.0587911840678754e-22,5.293955920339377e-23,3.970466940254533e-23,3.0292258760486853e-28,1.0587911840678754e-22,5.048709793414476e-29,3.0292258760486853e-28,3.308722450212111e-24,1.0587911840678754e-22,1.0097419586828951e-28,1.5146129380243427e-28,2.6469779601696886e-23,7.940933880509066e-23,7.940933880509066e-23,8.077935669463161e-28,1.0587911840678754e-22,1.1580528575742387e-23,2.0679515313825692e-24
7,1.0757365588499403e-07,8.325548359273782e-08,8.044772429080937e-08,2.759093081250371e-08,1.648946186078873e-07,8.044771940402084e-08,6.901886627119767e-08,2.7590930740442473e-08,8.325512748947018e-08,2.7590876200968237e-08,6.901886517255644e-08,8.044772028763989e-08,1.0757338104720068e-07,2.759087601137724e-08,1.0757338105145292e-07,8.044742209581776e-08,1.6489460776036954e-07,6.90188694298605e-08,6.902056631472058e-08,8.325512266038146e-08,6.902056604672467e-08,1.0757337406456526e-07,1.6489461850012995e-07,2.759093130004216e-08,8.325512773299317e-08,8.044742202119232e-08,1.6489480543899267e-07,1.0757338112880942e-07,1.6489480545880509e-07,8.325512610932826e-08,5.906259101323627e-08,6.175832346487308e-15,1.980496141463128e-14,2.7167455908669146e-14,9.741551084478813e-14,1.1742343749517796e-14,4.9550338564790626e-15,7.674781915284966e-14,2.87915624518725e-09,2.9343155232550854e-14,1.0115230580213885e-13,1.6355488478652422e-08,1.1590156714318826e-08,2.0288685616478858e-07,6.146927622038966e-14,1.52202305841643e-09,3.828864261270627e-09,2.87921004978991e-09,7.97894379489287e-08,1.698739249633921e-14,1.1752199530503639e-08,3.828874938985206e-09,1.7804340041297735e-14,2.028868545800566e-07,1.635551922535396e-08,2.106859561846717e-08,1.550518835238282e-08,1.1344728155081982e-07,1.522064861417704e-09,4.445087457415434e-08,2.1068602071119984e-08,1.1590169710372831e-08,7.979306493161149e-08,1.550518360527474e-08,7.2872539196668494e-09,7.287257044284696e-09,1.3789648738660736e-07,0.0,5.293955920339377e-23,6.617444900424222e-24,9.926167350636332e-24,9.466330862652142e-30,1.3234889800848443e-23,1.9852334701272664e-23,6.617444900424222e-24,4.1359030627651384e-25,1.2140152656081463e-17,1.6543612251060553e-24,1.137373342260413e-24,9.466330862652142e-30,6.203854594147708e-25,7.259933549838877e-24,2.3161057151484775e-23,1.262177448353619e-29,1.5777218104420236e-29,1.214025853519987e-17,2.481541837659083e-24,7.259931995228226e-24,5.169878828456423e-25,8.271806125530277e-25,1.6543612251060553e-24,9.098986738083304e-24,7.444625512977249e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,2.6469779601696886e-23,6.617444900424222e-24,9.926167350636332e-24,6.617444900424222e-24,6.617444900424222e-24,1.3234889800848443e-23,2.6469779601696886e-23,0.0,6.617444900424222e-24,1.3234889800848443e-23,6.617444900424222e-24,0.0,9.098986738083304e-24,7.444625512977249e-24,1.5777218104420236e-30,1.9721522630525295e-31,3.101927297073854e-25,6.617444900424222e-24,1.9852334701272664e-23,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,3.944304526105059e-30,0.0,2.3665827156630354e-30,3.1554436208840472e-30,8.271806125530277e-25,9.926167350636332e-24,5.423418723394456e-31,1.8932661725304283e-29,2.6469779601696886e-23,1.9852334701272664e-23,1.9852334701272664e-23,3.1554436208840472e-30,2.6469779601696886e-23,2.0679515313825692e-25,1.0339757656912846e-25
8,5.782061465424838e-08,7.675077721594705e-08,6.611643806886695e-08,3.5639515835781446e-08,2.7255673040814886e-07,6.611644212357895e-08,6.318639138363648e-08,3.563951421710966e-08,7.6750584346677e-08,3.5639388027121595e-08,6.31863893281091e-08,6.61164406449281e-08,5.7820365893980845e-08,3.5639387898591174e-08,5.7820364952699376e-08,6.611616562528083e-08,2.72556724759381e-07,6.318639321966819e-08,6.318795679348236e-08,7.675058106020448e-08,6.318795640420769e-08,5.782036106652204e-08,2.7255673226422357e-07,3.563951518591081e-08,7.675058472737984e-08,6.611616561517147e-08,2.7255700145136557e-07,5.7820365048678115e-08,2.725570015891532e-07,7.675058366402076e-08,6.326457119206404e-08,1.2765429747886422e-15,1.9377298523144294e-14,2.5114671779202507e-14,1.4107000077575054e-13,1.2938706105564282e-14,2.0640463211105595e-15,6.110691749394489e-14,2.1937105360290614e-09,2.4590121915687505e-14,1.4333136348146558e-13,1.2635824464106638e-08,8.86802428267279e-09,2.8580947781119758e-08,4.5454391187123925e-14,1.169048476015117e-09,1.526457259593386e-08,2.1937561440016155e-09,3.478448250445607e-08,1.7138371095395513e-14,5.2295833859398725e-08,1.5264592816001872e-08,1.654736067108612e-14,2.858094950396245e-08,1.2635852750364476e-08,2.3872403411843952e-08,6.128681260689266e-09,1.408547268097539e-07,1.169080902324022e-09,5.1254838350344314e-08,2.3872432009218884e-08,8.868038318042223e-09,7.036937463682407e-08,6.128675547359669e-09,1.1694788766171726e-08,1.1694791206839529e-08,2.652270601453588e-08,6.617444900424222e-24,0.0,6.617444900424222e-24,3.308722450212111e-24,5.5220263365470826e-30,6.617444900424222e-24,1.3234889800848443e-23,0.0,1.6543612251060553e-24,1.2159157957835481e-18,4.1359030627651384e-25,1.137373342260413e-24,6.310887241768095e-30,2.0679515313825692e-25,1.1645916662989734e-23,2.3161057151484775e-23,1.5777218104420236e-30,0.0,1.216021674901955e-18,4.1359030627651384e-25,1.164591223643235e-23,3.101927297073854e-25,2.481541837659083e-24,1.2407709188295415e-24,1.6543612251060553e-23,1.6543612251060553e-23,1.3234889800848443e-23,1.3234889800848443e-23,9.926167350636332e-24,1.3234889800848443e-23,3.308722450212111e-24,1.3234889800848443e-23,9.926167350636332e-24,1.3234889800848443e-23,9.926167350636332e-24,6.617444900424222e-24,1.6543612251060553e-24,3.308722450212111e-24,1.3234889800848443e-23,1.3234889800848443e-23,3.970466940254533e-23,3.308722450212111e-24,9.926167350636332e-24,1.6543612251060553e-23,1.9721522630525295e-30,3.1554436208840472e-30,0.0,9.926167350636332e-24,3.308722450212111e-24,3.308722450212111e-24,1.3234889800848443e-23,0.0,3.1554436208840472e-30,1.3234889800848443e-23,2.7610131682735413e-30,4.733165431326071e-30,8.271806125530277e-25,3.3087224502121107e-23,3.944304526105059e-31,6.310887241768095e-30,1.3234889800848443e-23,1.3234889800848443e-23,6.617444900424222e-24,1.5777218104420236e-30,0.0,1.0339757656912846e-25,1.0339757656912846e-24
