,Y2Z5,Y5Z2,Y5Z4,Y4Z5,Y0Z1,Y1Z0,Y3Z1,Y1Z3,Y4Z0,Y0Z4,Y4Z1,Y1Z4,Y3Z0,Y0Z3,Y2Z0,Y0Z2,Y2Z1,Y1Z2,Y5Z1,Y1Z5,Y2Z4,Y4Z2,Y3Z5,Y5Z3,Y5Z0,Y0Z5,Y3Z2,Y2Z3,standard_x,Y3Z4,Y4Z3,X0X5,X1X5,Y0Y5,X1X2,X2X4,Y2Y4,X1X4,X0X1,X3X4,Y0Y1,Y1Y5,X0X2,X0X4,X3X5,Y3Y4,X2X3,Y1Y4,Y1Y2,X4X5,X0X3,X1,X1X3,Y2Y3,Y0Y4,X0,Y0Y2,X4,X2X5,X5,Y4Y5,Y0Y3,Y1Y3,X2,Y2Y5,Y3Y5,X3,X2Y1,X3Y0,Y5,Y4,Y3,Y2,X4Y3,X3Y2,X3Y1,standard_y,Y1,X5Y4,X5Y1,X5Y0,X3Y4,X2Y4,X2Y3,X1Y5,X1Y3,X0Y5,X0Y3,X0Y1,X4Y1,X1Y4,X1Y0,X4Z1,X1Z0,X5Z0,X2Z5,X0Z3,X5Z1,X2Z4,X1Z4,X0Z2,X0Z1,X3Z5,X5Z3,X2Z0,X1Z2,X0Z5,X4Z3,X2Z3,X3Z4,X3Z2,Y0,X5Z4,X5Z2,X5Y3,X5Y2,X4Z5,X4Z2,X4Z0,X4Y5,X4Y2,X4Y0,X3Z1,X3Z0,X3Y5,X2Z1,X2Y5,X2Y0,X1Z5,X1Z3,X1Y2,X0Z4,X0Y4,X0Y2
0,0.9936289636675445,0.9935802107041807,0.9497845793247899,0.9497455926725595,0.9053384313574242,0.9052885000060447,0.9048097247405635,0.9045946739100255,0.904329135949242,0.904315165847994,0.871848549105366,0.8717869970332801,0.7663763511383919,0.7662364606309606,0.6860743458600099,0.6860019236971446,0.6355550517755236,0.6354529130725228,0.5727542696157554,0.572690323378878,0.41140282578839865,0.4113657524037016,0.3190683143600169,0.3190280961733183,0.2597361417783129,0.2597214673818416,0.16933925379812187,0.16932621715463275,0.14553087251684665,0.10322394215975167,0.10320669409134126,0.050155069290962,0.048619215820521686,0.04608013482008683,0.04383421158500145,0.04382228566811505,0.04272368342613883,0.04271244411882766,0.04254863097784476,0.04186648030087964,0.04134050518417425,0.03967394498248707,0.038825571346374266,0.037885059098965,0.03731148453470541,0.03709834659209577,0.03550295631350674,0.03436074067710366,0.03404953268580074,0.03243659077437643,0.031365701716317404,0.03131712324815246,0.030414142693502656,0.02921135649751094,0.027956330532665934,0.027641869589957055,0.026712829522889073,0.026612431189592046,0.024729359480747667,0.023876880774265155,0.02352721994236007,0.022237251070438536,0.02149007561171965,0.020606803030715146,0.019747348085632742,0.019675253669620956,0.015475764684164813,1.942890293094024e-16,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,3.469446951953614e-18,3.469446951953614e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,1.0842021724855044e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002860554523332404,0.002860948511417498,0.0027344723202481413,0.5383724294333185,0.9053751206120394,0.9053745210627296,0.9048179736740871,0.9046806016188852,0.9044247631403248,0.9043517948680392,0.8719404793458465,0.8718695543264585,0.7663824170383691,0.766266568837198,0.0019769582521100694,0.42627835018812615,0.0018316024334113792,0.06276790481352204,0.0016514732833506625,0.06276279322534375,0.0011861156878700016,0.5383666652050495,0.14972746119321906,0.0009192526259809774,0.0007516506878692083,0.4262743388988349,0.14972534306829724,0.0004883068616145473,0.08427293618663867,0.10322445292268415,0.1032171766411763,0.0004352193963614589,0.0003748912582221361,0.0004918142479302962,0.00039073071509798126,0.0004580088111827533,0.0005290727033041632,0.028372438223968968,0.03243319904054914,0.033880609639551196,0.030874223929030196,0.0004992313143733952,0.0003406519083811797,0.027167806938272476,0.0003914091065071437,0.032099678360866954,0.000432431071388894,0.018106701814010334,0.0005001669805599345,0.00035546314533618285,0.027337817962411998,0.024640975556806576,0.022613659911040796,0.00033318719897963635,0.013162672476278798,0.0246193008793176,0.00044025542949268335,0.019334092069292548,0.0050872662801864,0.00043760524954386125,0.00044742335084229403,0.017422793461042002,0.015913838952715587,0.00047001286818094544,0.005088599871574723,0.0003222521385539088,0.014770949563497147,0.0,0.0,1.0842021724855044e-19,5.551115123125783e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,2.2215302514227986e-16,2.220446049250313e-16,0.0,1.0842021724855044e-19,0.0,1.1102230246251565e-16,2.168404344971009e-19,2.168404344971009e-19,8.131516293641283e-20,2.7755575615628914e-17,3.2526065174565133e-19,0.0,1.9671383979193014e-17,2.7755575615628914e-17,5.551115123125783e-17,1.2317020414657551e-17,3.469446951953614e-18,0.0,1.3552527156068805e-20,0.0,8.673617379884035e-19,2.710505431213761e-20,1.3552527156068805e-20,3.469446951953614e-18,4.336808689942018e-19,1.734723475976807e-18,2.168404344971009e-19,0.0,4.0657581468206416e-20,4.87890977618477e-19,0.0,1.0842021724855044e-19,6.776263578034403e-21,4.336808689942018e-19,4.336808689942018e-19,1.1102230246251565e-16,2.710505431213761e-20,2.710505431213761e-20,2.168404344971009e-19,0.0,1.734723475976807e-18,2.6020852139652106e-18,3.469446951953614e-18,2.168404344971009e-19,2.168404344971009e-19,0.0,8.673617379884035e-19,8.673617379884035e-19,2.168404344971009e-19,2.710505431213761e-20,0.0,2.168404344971009e-19,4.87890977618477e-19,0.0,0.0,3.469446951953614e-18,1.1102230246251565e-16,1.0842021724855044e-19
2,9.991995604500723e-05,9.649798669580164e-05,9.223530406084025e-05,0.5385074700885133,8.115102588542353e-06,8.975753236097472e-06,0.13843562731441122,8.994357361088196e-06,0.032484525145196515,8.088535810123342e-06,0.0324844940420038,8.574627582749941e-06,0.13843559552768003,6.711521354828556e-06,6.456183227549088e-06,1.0203915769911994e-06,6.475888051128177e-06,2.823550268658435e-06,2.8213363739019633e-05,2.8261316503561377e-06,4.009323365947407e-05,0.5385074228140122,0.1497602232672298,3.045914562194174e-05,2.8193542101117528e-05,9.854403977144018e-07,0.14976019940852411,1.6411381737466513e-05,0.003244545871385101,0.10324709920470596,0.10324329081642986,0.00015989899269950821,0.00011370303802015977,0.00024131473893710916,0.00015995753579647567,0.0002567984948217694,0.000252115114467032,0.00010296943738714583,0.0014846842553686763,0.0032971221141785204,0.001484683737503803,0.00024134947567952756,0.00011376514915395647,0.00014996916819879673,0.00029973361246752206,0.0015048337069660481,0.00021979603218633012,8.552538121184718e-06,0.0002413632510073843,0.0002627042604602728,0.00015538959414085248,0.00010173365579237679,9.745754537947876e-05,0.00011485983506600474,9.79635804603053e-06,0.00015110133610927328,0.0002414046686499766,0.002987001144141253,0.00436959433198128,0.00030447893568537505,0.00015186354432399546,4.305636026153997e-05,3.802451974715059e-05,0.00021499715992425735,0.00436957920902278,8.717511863246731e-05,0.00052418583095183,2.117582368135751e-22,0.0,5.082197683525802e-21,2.7755575615628914e-17,1.3877787807814457e-17,2.541098841762901e-21,0.0,8.470329472543003e-22,1.2705494208814505e-21,4.1625316610444454e-17,4.235164736271502e-22,8.470329472543003e-22,8.470329472543003e-22,8.470329472543003e-22,2.0816681711721685e-17,5.929230630780102e-21,8.470329472543003e-22,4.235164736271502e-22,4.235164736271502e-22,0.0,0.0,1.649559379611639e-17,4.235164736271502e-22,1.2705494208814505e-21,1.6495592555345472e-17,2.168404344971009e-19,3.3881317890172014e-21,2.710505431213761e-20,2.0328790734103208e-20,0.0,2.710505431213761e-20,3.3881317890172014e-21,3.3881317890172014e-21,1.3552527156068805e-20,2.710505431213761e-20,2.710505431213761e-20,6.776263578034403e-21,0.0,6.776263578034403e-21,1.3552527156068805e-20,4.0657581468206416e-20,3.3881317890172014e-21,8.131516293641283e-20,0.0,0.0,1.3552527156068805e-20,1.3552527156068805e-20,0.0,0.0,8.131516293641283e-20,2.710505431213761e-20,2.168404344971009e-19,0.0,2.541098841762901e-21,1.6940658945086007e-21,0.0,0.0,5.082197683525802e-21,0.0,2.7755575615628914e-17,0.0,1.3552527156068805e-20,3.3881317890172014e-21,4.235164736271502e-22,6.776263578034403e-21,8.470329472543003e-22,0.0
3,1.0003379220069288e-06,4.0197351933695505e-05,4.2076266426679514e-05,0.0003784945322600576,0.00014111208546699626,0.00012485538956557852,0.13843727000907297,0.00012677290043242517,1.76449219718214e-05,0.00013654987509457295,1.587224052512663e-05,9.15904402311406e-05,0.13843333698854549,0.0001367217598831092,5.7246935319330084e-06,0.0001412639844027797,6.647370953879663e-06,0.0001005346987088453,1.5218188811226586e-05,9.97910971572224e-05,1.58960151737304e-06,0.00037761527815594986,0.0465142598982666,1.3796862707960521e-05,1.647936360622702e-05,0.00014025961886597916,0.04651348351624564,3.211741895071434e-06,0.005139205618459746,0.046512758247003835,6.808205932674636e-05,7.945516549728676e-07,9.277133077248964e-07,3.943875216751542e-07,0.0003329808748237204,0.0010064283693295144,0.0010063887829591216,0.0014775267609136236,0.002759529753389181,0.0020222530641933498,0.0027596841174855526,2.2828062500576154e-07,8.285533453113473e-06,0.0007835322946676438,0.0010065893801111032,0.0006443302182016679,0.0007337067935384346,0.002533070721385597,0.0012827933520865717,0.0010503449631526613,0.0028875105723839218,0.0029027894043056283,0.0026972288424882683,0.000504649905681682,0.0025340197511744384,0.002681758544263917,0.0012831372447650248,0.001987004616977763,0.0012343326486507534,0.001006549369710387,0.0010496831741516259,0.0029357328088560576,0.002693777061319874,0.0007237731333277894,0.0012343170054186158,0.00014117960916916288,0.00018866021617021264,1.6940658945086007e-21,0.0,1.6940658945086007e-21,1.1858461261560205e-20,1.3877787807814457e-17,4.235164736271502e-22,0.0,4.235164736271502e-22,0.0,1.3843482973450658e-17,6.776263578034403e-21,8.470329472543003e-22,1.6940658945086007e-21,0.0,6.776263578034403e-21,2.964615315390051e-21,4.235164736271502e-22,2.541098841762901e-21,1.3552527156068805e-20,1.6940658945086007e-21,0.0,3.512723632002614e-18,0.0,6.776263578034403e-21,3.512787662567492e-18,2.168404344971009e-19,1.0842021724855044e-19,0.0,5.421010862427522e-20,0.0,0.0,5.421010862427522e-20,0.0,4.336808689942018e-19,0.0,1.3552527156068805e-20,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,6.776263578034403e-20,4.0657581468206416e-20,1.2705494208814505e-21,5.421010862427522e-20,3.2526065174565133e-19,2.168404344971009e-19,2.168404344971009e-19,1.6940658945086007e-21,3.8116482626443515e-21,3.3881317890172014e-21,1.3552527156068805e-20,1.3552527156068805e-20,0.0,1.0842021724855044e-19,0.0,8.470329472543003e-22,2.710505431213761e-19,2.168404344971009e-19,0.0,2.168404344971009e-19,0.0,3.3881317890172014e-21
4,1.0850036163542677e-06,8.066851846983536e-06,8.081964645407542e-06,1.0538167182898425e-05,0.00020550395495197947,1.375908446729315e-05,0.0005092013765080479,1.4395429538802984e-05,1.1274619060942795e-06,0.0018632515476005294,1.1696707986544312e-06,1.2226142703248623e-05,0.0005092629834811095,0.00020591554450274528,1.1203901894880991e-06,0.0018633153912098492,1.1327727709293701e-06,1.2151906609893606e-05,1.4231517560371685e-06,1.215021539301246e-05,8.330655541239132e-07,1.0517066589407255e-05,0.00017145686946164852,1.4174787067336705e-06,1.40994306814924e-06,0.0018633199553626202,0.00017145941933554125,1.1812946375819167e-06,0.0018404508725167945,0.0001715935834136235,1.709257384394507e-06,4.101079362362126e-07,5.2219342235552784e-08,3.6774035553853195e-07,3.3675312977753825e-07,0.0001609575622382554,0.0001609579621479712,9.11085019834082e-07,0.0006945364951555929,4.653106413942552e-05,0.0006949162888239947,4.760243838732415e-08,2.4902950063792865e-05,6.910942004540452e-05,6.228577389734358e-07,0.00029219915457035005,5.229206610486859e-06,2.3323647355346027e-06,1.04224783070549e-06,0.00013328734636995577,0.0002934189022130689,0.00029535859051592003,0.00023353554610526408,2.4358029093715372e-05,0.00014142824311101746,0.00029116895074073024,9.983321620857489e-05,0.0011624053558091905,0.001189096172892032,0.00016095206220722273,0.00013327323601520014,0.000296420444424096,0.00023449849388308328,8.829046835222417e-05,0.0011890952236920643,1.3558331618862046e-07,0.0003407605060104003,1.0587911840678754e-22,0.0,2.117582368135751e-22,2.117582368135751e-22,1.0842021724855044e-19,1.0587911840678754e-22,0.0,1.0587911840678754e-22,1.3552527156068805e-20,4.224576824430823e-20,1.2705494208814505e-21,0.0,6.617444900424222e-24,2.117582368135751e-22,4.235164736271502e-22,1.0587911840678754e-22,0.0,6.617444900424222e-24,1.3552527156068805e-20,0.0,0.0,2.6177633426178708e-20,0.0,2.117582368135751e-22,2.6178073690633203e-20,0.0,1.3552527156068805e-20,1.3552527156068805e-20,6.776263578034403e-21,2.710505431213761e-20,1.3552527156068805e-20,3.3881317890172014e-21,0.0,0.0,0.0,1.3552527156068805e-20,1.3552527156068805e-20,2.0328790734103208e-20,0.0,0.0,1.0842021724855044e-19,6.776263578034403e-21,1.3552527156068805e-20,4.0657581468206416e-20,6.776263578034403e-20,6.352747104407253e-22,7.411538288475128e-22,5.293955920339377e-23,4.235164736271502e-22,2.710505431213761e-20,0.0,0.0,2.117582368135751e-22,3.1763735522036263e-22,4.235164736271502e-22,2.710505431213761e-20,2.710505431213761e-20,0.0,2.0328790734103208e-20,4.235164736271502e-22,5.293955920339377e-23,1.3552527156068805e-20,2.710505431213761e-20,2.117582368135751e-22,2.710505431213761e-20,4.235164736271502e-22,2.117582368135751e-22
5,1.8606474477738166e-06,1.474384289546328e-11,4.6729467447406386e-12,1.6659462651626274e-06,4.306378543376631e-06,2.5147198861895686e-07,7.81006870122557e-06,7.782595975355322e-06,1.6659706795067547e-06,4.333929542534537e-06,9.53702162469553e-07,2.5147134702831756e-07,7.02241442292655e-06,4.306376261203288e-06,1.8606491588749023e-06,4.333938396734293e-06,6.506384962295598e-07,2.5146897390755244e-07,6.576868698317671e-13,2.514690653307141e-07,1.8606519229613402e-06,1.665939919504729e-06,7.022417730662599e-06,6.577351616898788e-13,1.1198972414061827e-11,4.333937888620678e-06,7.022419293320211e-06,6.506363630517735e-07,1.208949691443028e-05,7.022419949462623e-06,9.53704835186911e-07,3.4717445793316763e-06,3.114048426933459e-14,3.471744569569886e-06,3.1357477413595427e-07,3.4710281574161827e-06,3.471031156697115e-06,4.1767697555571243e-07,7.304244328683836e-07,7.89477329983766e-07,9.601685673495766e-07,5.701752435006361e-14,2.010974539644836e-06,7.009414302545848e-06,3.321453836251328e-14,1.0368036495920754e-06,6.539800861311719e-07,1.0371495865267923e-06,8.789078536695086e-07,2.0109254957054933e-06,3.6881594972790254e-07,3.4556141762552044e-06,0.0070990064021949646,8.786412446371365e-07,7.009421017129761e-06,1.116821970449601e-05,2.010974438368045e-06,4.747980573631218e-06,7.009791831696388e-06,1.4961642679119002e-11,2.0109249496546585e-06,9.605587070395264e-07,0.007099006403036422,3.7461761160571137e-06,7.009791737575769e-06,2.4051633949743188e-14,3.5361264622523578e-06,0.0,0.0,4.0389678347315804e-28,1.0587911840678754e-22,8.470329472543003e-22,1.5881867761018131e-22,0.0,1.6543612251060553e-24,8.326672684688674e-17,1.83964927842115e-21,3.044024654195142e-22,1.6543612251060553e-24,1.0097419586828951e-28,1.6543612251060553e-24,3.308722450212111e-24,0.0,0.0,1.5146129380243427e-28,2.7755575615628914e-17,4.963083675318166e-24,0.0,1.081966944699165e-24,8.271806125530277e-25,8.271806125530277e-25,1.0599351443000868e-24,4.235164736271502e-22,3.1763735522036263e-22,0.0,2.117582368135751e-22,0.0,0.0,2.117582368135751e-22,0.0,0.0,8.470329472543003e-22,0.0,0.0,2.117582368135751e-22,1.0587911840678754e-22,0.0,0.0,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,4.235164736271502e-22,0.0,0.0,0.0,1.6543612251060553e-24,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,0.0,0.0,0.0,2.117582368135751e-22,2.117582368135751e-22,2.0194839173657902e-28,2.117582368135751e-22,0.0,0.0,3.1763735522036263e-22,8.271806125530277e-24,4.1359030627651384e-25,1.0587911840678754e-22,6.617444900424222e-24,8.271806125530277e-25
6,1.81402591186007e-05,1.1308361143269862e-09,1.1109273005398292e-09,3.505882218194285e-06,2.474832527150218e-05,4.374475287957332e-06,1.2514861011830186e-07,4.375528771450777e-06,3.5060343160062794e-06,2.4750480569551017e-05,3.5060760387231475e-06,4.374678807632697e-06,1.2521048788914953e-07,2.474838108969262e-05,1.8140223463679167e-05,2.4750472592250485e-05,1.8143120243941064e-05,4.374611204351492e-06,1.625292725564933e-09,4.3746638418311174e-06,1.8140636793399006e-05,3.506908552874731e-06,1.251414327417289e-07,1.6252948698209533e-09,1.4915705156924637e-09,2.475051169589821e-05,1.2471286552158354e-07,1.8142942507161896e-05,2.288866049678255e-05,1.251404653051085e-07,3.5060699538362332e-06,3.3621619497564896e-05,1.467078929092242e-10,3.362172118742633e-05,6.551749084212818e-07,4.565600795467651e-05,4.565581000444186e-05,3.247102663795929e-08,1.0891530722090473e-05,4.501384827305645e-07,1.0891543697263238e-05,1.0866413618597897e-10,2.1700700745297077e-05,3.96758152167772e-06,4.993205694052836e-10,4.5019530219938536e-07,1.3766817554000166e-05,3.2463708881815473e-08,6.536207230603268e-07,1.7043428093358118e-05,1.233825976541157e-07,1.748898238378949e-06,3.715214609719817e-05,1.3766776488327531e-05,3.96738640033883e-06,1.5557519556277856e-05,2.170161862228485e-05,2.8019432843268227e-06,6.881025206673655e-06,1.0562330689606314e-09,1.7042713160729775e-05,1.2459253100297012e-07,3.7152059968233314e-05,7.405940080577097e-05,6.8809533661183384e-06,1.8196727582927907e-10,4.01651185084853e-05,0.0,1.3234889800848443e-23,0.0,2.117582368135751e-22,0.0,1.6940658945086007e-21,0.0,0.0,1.0164395367051604e-20,5.082197683525802e-21,2.117582368135751e-22,0.0,4.0389678347315804e-27,1.6940658945086007e-21,3.1763735522036263e-22,0.0,0.0,3.2311742677852644e-27,3.3881317890172014e-21,8.470329472543003e-22,2.6469779601696886e-23,1.9440658111155053e-22,3.308722450212111e-24,6.617444900424222e-24,1.9438540720971184e-22,2.117582368135751e-22,5.293955920339377e-23,0.0,6.776263578034403e-21,1.6940658945086007e-21,0.0,6.776263578034403e-21,1.0587911840678754e-22,1.6940658945086007e-21,0.0,3.3881317890172014e-21,0.0,6.776263578034403e-21,5.293955920339377e-23,3.3881317890172014e-21,0.0,2.0328790734103208e-20,3.3881317890172014e-21,3.3881317890172014e-21,3.3881317890172014e-21,1.0339757656912846e-25,5.169878828456423e-26,1.2924697071141057e-26,1.6940658945086007e-21,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,0.0,1.6940658945086007e-21,1.6940658945086007e-21,3.3881317890172014e-21,3.3881317890172014e-21,6.462348535570529e-27,6.776263578034403e-21,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,3.3881317890172014e-21,6.776263578034403e-21
7,1.36954371593738e-07,1.5601361290853343e-14,1.2699390211179681e-14,2.245067072371614e-07,4.959535568796953e-07,1.7307970737756025e-08,2.042252770690594e-08,1.7307880150844488e-08,2.245067096614032e-07,4.95953549575065e-07,2.2450672463554604e-07,1.730788135166123e-08,2.042252736369728e-08,4.959535528663176e-07,1.3695435782450727e-07,4.959535507472436e-07,1.3695437234219543e-07,1.7307895723684603e-08,1.1554193463515332e-14,1.730788070779712e-08,1.3695435833551007e-07,2.2450671934978668e-07,2.0422532494033714e-08,1.1596913181389982e-14,5.7373612724194454e-15,4.95953550044922e-07,2.0422535232760502e-08,1.3695437431428782e-07,3.8923085678904307e-08,2.042252980621555e-08,2.2450672400830004e-07,1.8062431669813686e-07,5.740502425767124e-15,1.806243171913235e-07,3.4834315085470123e-09,2.435239018048782e-07,2.435238965257396e-07,1.064209763982213e-09,1.567470345549342e-07,1.3215802822904642e-08,1.5674703413949604e-07,2.712321110475904e-15,1.2002141967863274e-07,3.822034074986778e-09,1.5461022726203858e-14,1.321580445337247e-08,7.078884507499064e-08,1.0641819460257075e-09,3.4835055483820425e-09,9.44488679240551e-08,1.894720303837015e-09,4.108553336315294e-09,4.909794013177426e-07,7.078884661065379e-08,3.822003547592517e-09,1.0858749355868456e-08,1.2002140819349315e-07,9.17409899227723e-08,6.531780580295685e-09,3.625288863537472e-14,9.444886443710705e-08,1.8945695197490247e-09,4.909794017966287e-07,9.371037417555053e-08,6.531778381784673e-09,1.1742322455768538e-14,5.585973637097765e-08,0.0,0.0,2.3665827156630354e-30,0.0,0.0,0.0,3.308722450212111e-24,6.617444900424222e-24,0.0,8.271829791357433e-25,8.271806125530277e-25,0.0,4.930380657631324e-32,1.3234889800848443e-23,0.0,0.0,6.617444900424222e-24,0.0,1.6543612251060553e-24,0.0,2.0679515313825692e-25,6.293116011325381e-24,2.0679515313825692e-25,2.0679515313825692e-25,6.293116085281091e-24,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,1.9852334701272664e-23,6.203854594147708e-25,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,1.3234889800848443e-23,6.617444900424222e-24,6.617444900424222e-24,0.0,0.0,3.1554436208840472e-30,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,1.4791141972893971e-31,0.0,3.308722450212111e-24,0.0,0.0,0.0,4.1359030627651384e-25,8.271806125530277e-25,0.0,0.0
8,3.8556708791448156e-09,4.492274405506343e-15,4.794286354492811e-15,9.757857024469902e-08,6.576422822869782e-08,6.016314480276693e-09,6.250595177060118e-08,6.016320445670657e-09,9.75785719171957e-08,6.576423535492026e-08,9.757857045057742e-08,6.016315581750871e-09,6.250595171354372e-08,6.576422752007157e-08,3.8556737076286775e-09,6.576423535625969e-08,3.855668536513125e-09,6.016316592093851e-09,8.095468284596254e-15,6.016315463806087e-09,3.855673728816261e-09,9.757856894172358e-08,6.250595545861613e-08,8.08034069253601e-15,1.7151162129677105e-15,6.57642357385121e-08,6.250595559694251e-08,3.855666974768544e-09,6.833548458519833e-08,6.250595493155148e-08,9.757856983988391e-08,8.336909943152877e-08,1.3397357574818116e-15,8.336909976009959e-08,1.597262646165775e-09,1.1139976959471364e-07,1.1139976945820539e-07,4.3674719343131843e-10,6.330144811440397e-08,4.7554091654193695e-09,6.33014478828502e-08,7.168045404389808e-16,5.704352992767373e-08,5.5686441222453525e-09,3.8828975484831046e-15,4.755409793981743e-09,3.116941733884831e-08,4.367464163961654e-10,1.5972676392105858e-09,4.4971189013253455e-08,8.108982871574279e-10,2.753942219749197e-09,3.1493052454802555e-08,3.1169417450236396e-08,5.568634273502562e-09,1.7564682418033864e-07,5.704352786556458e-08,3.635710867055151e-08,9.390396446382632e-09,1.6282774312310638e-14,4.4971186794378937e-08,8.109002078835774e-10,3.14930523416976e-08,2.0963157665052227e-08,9.390395967202451e-09,2.5770667856449298e-15,5.274499919651147e-08,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,4.963083675318166e-24,6.617444900424222e-24,9.926167350636332e-24,1.3234889800848443e-23,0.0,3.308722450212111e-24,0.0,3.308722450212111e-24,0.0,0.0,3.308722450212111e-24,4.930380657631324e-32,6.617444900424222e-24,3.308722450212111e-24,0.0,1.1496936116407834e-24,0.0,1.0339757656912846e-25,1.1496935376850736e-24,0.0,3.101927297073854e-25,1.5777218104420236e-30,1.6543612251060553e-24,1.3234889800848443e-23,1.5777218104420236e-30,1.6543612251060553e-24,3.101927297073854e-25,1.3234889800848443e-23,0.0,3.308722450212111e-24,0.0,1.6543612251060553e-24,1.0339757656912846e-25,1.3234889800848443e-23,6.617444900424222e-24,0.0,3.308722450212111e-24,9.926167350636332e-24,1.3234889800848443e-23,1.5777218104420236e-30,1.5777218104420236e-30,4.930380657631324e-32,0.0,6.617444900424222e-24,6.617444900424222e-24,0.0,3.308722450212111e-24,0.0,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,2.465190328815662e-32,1.6543612251060553e-24,0.0,6.617444900424222e-24,1.0339757656912846e-25,0.0,0.0,0.0,3.308722450212111e-24,6.617444900424222e-24
9,2.1994660320056174e-08,3.389357087492436e-15,3.4135303714579144e-15,6.039169495338469e-08,8.59022937868388e-09,1.0396083822380145e-08,4.7537549402378194e-08,1.0396085779128456e-08,6.039169598153933e-08,8.590235614086115e-09,6.039169799828438e-08,1.0396081850597009e-08,4.7537549275594925e-08,8.590228155191424e-09,2.199466043757672e-08,8.590235756174782e-09,2.1994654620101745e-08,1.0396082637026565e-08,5.578162525948569e-15,1.0396082049865955e-08,2.19946613494646e-08,6.039169399016859e-08,4.753755283741072e-08,5.581980974376669e-15,6.735087313290456e-15,8.590236159916009e-09,4.7537552565906327e-08,2.1994653992542697e-08,3.1340864579295625e-08,4.753755271141486e-08,6.03916978425061e-08,7.979127443425936e-08,1.1003478967499972e-15,7.979127470182803e-08,1.5195486884412174e-09,1.0549534417696512e-07,1.0549534419755008e-07,2.0981836564610551e-10,6.894858407426235e-08,1.9283202305896902e-09,6.894858402609312e-08,3.687928261595649e-16,5.6255267146636444e-08,4.927410474071032e-09,3.71374482970135e-15,1.928320210182425e-09,2.83396486707806e-08,2.0981705929607702e-10,1.5195574335440136e-09,4.442503004785905e-08,9.439101499379171e-10,1.4915848002822942e-09,1.5291986129463935e-08,2.8339648801482494e-08,4.92740917740779e-09,2.130409318304522e-08,5.625526579960751e-08,1.5481926084438943e-08,8.21016603538088e-09,1.2423044139346643e-14,4.442502821914987e-08,9.43898703966602e-10,1.5291986112814595e-08,9.175348902644094e-09,8.21016555825473e-09,2.7301201078676102e-15,1.3128931213594474e-08,0.0,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,1.6543612251060553e-24,0.0,0.0,9.926167350636332e-24,2.481541837659083e-24,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,3.308722450212111e-24,4.930380657631324e-32,3.308722450212111e-24,0.0,1.0339757656912846e-25,7.062061056799271e-25,5.169878828456423e-26,2.5849394142282115e-26,7.062060871909996e-25,0.0,1.550963648536927e-25,7.888609052210118e-31,1.6543612251060553e-24,0.0,7.888609052210118e-31,0.0,1.0339757656912846e-25,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,8.271806125530277e-25,0.0,0.0,0.0,1.6543612251060553e-24,0.0,1.6543612251060553e-24,0.0,0.0,3.308722450212111e-24,3.308722450212111e-24,8.271806125530277e-25,8.271806125530277e-25,2.465190328815662e-32,0.0,0.0,0.0,5.169878828456423e-26,0.0,1.0339757656912846e-25,0.0,3.308722450212111e-24,0.0
