,Y4Z3,Y3Z4,Y2Z5,Y5Z2,Y1Z3,Y3Z1,Y0Z3,Y3Z0,Y5Z0,Y0Z5,Y4Z0,Y0Z4,Y1Z4,Y4Z1,Y2Z3,Y3Z2,Y2Z0,Y0Z2,Y1Z2,Y2Z1,Y5Z3,Y3Z5,Y5Z4,Y4Z5,Y1Z0,Y0Z1,standard_x,Y1Z5,Y5Z1,Y2Z4,Y4Z2,X3X5,X2X3,X2X4,X4X5,X0X3,X0X1,X0X2,X1X5,Y3Y5,X0X4,Y2Y4,Y0Y1,Y0Y3,X3,X3X4,X0X5,X1X4,X1X3,Y0Y2,X1X2,Y3Y4,Y0Y4,Y2Y3,Y1Y5,X0,Y4Y5,Y0Y5,Y1Y4,X4,Y1Y3,X5,X2,X2X5,X1,Y2Y5,Y1Y2,X4Y3,standard_y,Y3,X2Y4,X1Y4,X2Y0,X5Y4,X5Y3,X4Y5,X3Y4,X0Y4,X0Y3,X1Y0,Y2,Y0,X4Y1,X4Y0,X3Y5,X3Y2,X3Y1,X2Y5,X1Y5,X1Y3,X1Y2,X0Y2,X5Y1,X0Y5,X0Y1,X2Y1,X4Z3,X5Z1,X4Z1,X3Z4,X0Z1,X3Z5,X5Z0,X2Z3,X1Z3,X5Z3,X1Z4,X5Z4,X5Z2,X4Z0,X3Z2,X2Z0,X0Z5,X0Z4,X0Z3,X2Z4,X4Z5,X0Z2,X1Z5,X1Z2,X4Z2,Y5,Y4,Y1,X5Y2,X5Y0,X4Y2,X3Z1,X3Z0,X3Y0,X2Z5,X2Z1,X2Y3,X1Z0
0,0.9469105583545585,0.9468147154000575,0.9328371240948321,0.9328167900378495,0.799934908158701,0.7997774966278977,0.7706150439185997,0.7705461847188511,0.7318202398064264,0.7317944417373154,0.705360325934757,0.7053519583888759,0.5328254563790806,0.532774532132912,0.4558544515113431,0.4557877130606177,0.4548357369382976,0.4548097883825206,0.43344847936649705,0.43342663848493457,0.33527302037535417,0.3352312428406246,0.3093336717202293,0.3093264364429263,0.1456446644360469,0.1456290168096703,0.10319114547104183,0.08014005972248872,0.0801342746624949,0.047876929268979164,0.047874765787788695,0.03846427149027336,0.03510472605644388,0.03246921930562691,0.032055139222961854,0.031184088070390477,0.029523687695043186,0.029168685316766727,0.02747098066265416,0.026925915927426942,0.026366157154345024,0.02544234843471036,0.024964148985173847,0.024745943450719066,0.02451197577092956,0.02433845174874647,0.024047208596014336,0.023480700253547857,0.02310671153636084,0.022620314089712254,0.022389841411508356,0.02191049432468392,0.021113661407082165,0.021107682236074524,0.01888075266660029,0.018556574776365423,0.018423327040982748,0.018254208385806398,0.018117643916532075,0.01776595061170136,0.016827454938288453,0.01620703770527429,0.014754124933796613,0.013553462109031304,0.011395481672974588,0.010708038065590567,0.010624842916445554,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,2.6020852139652106e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,6.505213034913027e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.0657581468206416e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0013598788719414627,0.0013531425456903474,0.9328613123709192,0.9328633102443452,0.26711269604093235,0.001142550524264734,0.06526898546252242,0.0010986097336551628,0.7318605159907381,0.7319209697271726,0.0010086032836993095,0.06526689197399732,0.26711070819271054,0.0007600492733931478,0.40799017185684266,0.0006531262500917925,0.4548520570486509,0.4548906038259459,0.4335063171152589,0.4334423098466739,0.0259437829712823,0.0004758002986233147,0.025942444058303166,0.0004403753511546869,0.1456646721070855,0.14565550727576812,0.032811841348722705,0.08015106250877574,0.08013939975269943,0.40798888209073514,6.808775928967957e-05,0.0015951511431422055,0.0015817268666924926,0.0014415857880625013,0.001432103357283838,0.0015563630709577794,0.009193694971384364,0.016420901704051784,0.015444316294253843,0.0009612490475254188,0.0014536213102255497,0.0010595847220786674,0.004868444033148785,0.0013265048218775223,0.0015829659217750747,0.0020723007699766,0.01019493788859379,0.0015249646470475485,0.0014706657590558025,0.014024742518929715,0.012258732959589902,0.0020700194179360644,0.0013695378633138899,0.0007520501374846207,0.009479203401173808,0.007049395647982898,0.0009695121794880574,0.008045515179969782,0.0011218479381625039,0.001407086848316536,0.0009235400621528557,0.01302736780730911,0.013189255860866042,0.010162389789886987,0.0025358748026562666,0.006878714926868094,0.004432843708826066,2.7755575615628914e-17,5.567378155713065e-17,0.0,0.0,5.421010862427522e-20,4.163336342344337e-17,1.0842021724855044e-19,0.0,0.0,0.0,0.0,1.0842021724855044e-19,8.551955655389736e-19,5.551115123125783e-17,2.7755575615628914e-17,6.776263578034403e-21,1.3552527156068805e-20,1.0842021724855044e-19,0.0,6.776263578034403e-21,2.7755575615628914e-17,5.551115123125783e-17,0.0,1.3877787807814457e-17,5.551115123125783e-17,6.938893903907228e-18,6.938893903907228e-18,9.35270950173292e-18,6.938893903907228e-18,1.0842021724855044e-19,0.0,1.0842021724855044e-19,0.0,4.336808689942018e-19,2.710505431213761e-20,0.0,0.0,0.0,8.131516293641283e-20,0.0,6.776263578034403e-20,4.336808689942018e-19,1.0842021724855044e-19,4.0657581468206416e-20,1.734723475976807e-18,2.168404344971009e-19,6.776263578034403e-21,6.776263578034403e-21,2.168404344971009e-19,5.421010862427522e-20,2.168404344971009e-19,2.0328790734103208e-20,0.0,3.3881317890172014e-21,2.7755575615628914e-17,1.6263032587282567e-19,0.0,5.551115123125783e-17,1.3877787807814457e-17,5.421010862427522e-20,0.0,5.421010862427522e-20,8.131516293641283e-20,8.673617379884035e-19,3.469446951953614e-18,1.0842021724855044e-19,1.0842021724855044e-19
2,4.501939431404161e-05,4.9192331108400666e-05,0.00539011390408887,0.00539378514922402,0.2671101741195525,4.2570211594296555e-05,0.06526990748820907,4.2387125962232445e-05,0.0042398287991909835,0.2770379986356154,3.695577091435644e-05,0.0652697533710202,0.26710995210139954,2.9274640208512385e-05,0.002358915593518994,7.098599843821085e-06,0.002644123794010248,0.2770177256083214,0.3533527182349462,0.002508902504561595,0.00014859995601870587,7.367430814340994e-06,0.00014866666211542847,1.1286877816091846e-05,0.14566349655161803,0.14566788493410515,0.005852389232164777,0.3533429901845253,0.00046568827814810504,0.0023589783557468645,1.1528442314433766e-05,0.00011056722442338909,5.267079509778331e-05,0.00011112261707777246,5.322261797839506e-05,0.0008953352134363627,0.002847533747560807,0.0022737383276315755,0.0023219837201461633,0.00028260502771632284,0.0008392292814988081,0.0002822803789944275,0.0015926380213107424,0.0006860580063366172,0.0009179670601320674,0.0025043420170665544,0.0019667488211138435,0.0008863306897003119,0.0008481602017452578,0.002220424596029947,0.001910006500386739,0.002504370409380119,0.0007163690342190199,0.00028337614318196694,0.0008919806602089601,0.0008254208304382555,0.0002826434374392722,0.0018210368388791541,0.0006774691944780981,0.0008167478264381172,0.0005533981608300812,0.0022925513949776473,0.001951212883491539,0.003770136660386638,0.0025179190098275203,0.0037783132240522387,0.00037049025622637325,2.7755575615628914e-17,6.827085554869661e-18,0.0,0.0,0.0,1.0842021724855044e-19,6.352747104407253e-22,6.352747104407253e-22,8.470329472543003e-22,0.0,0.0,0.0,6.939940028888167e-18,0.0,0.0,8.470329472543003e-22,1.6940658945086007e-21,0.0,4.235164736271502e-22,8.470329472543003e-22,5.551115123125783e-17,4.336808689942018e-19,0.0,1.0842021724855044e-19,2.168404344971009e-19,1.0842021724855044e-19,1.3552527156068805e-19,9.772900450803665e-18,2.710505431213761e-20,0.0,2.168404344971009e-19,0.0,0.0,1.0842021724855044e-19,3.3881317890172014e-20,0.0,8.131516293641283e-20,0.0,3.049318610115481e-20,1.0842021724855044e-19,1.0164395367051604e-20,0.0,0.0,3.049318610115481e-20,2.168404344971009e-19,0.0,0.0,0.0,5.421010862427522e-20,6.776263578034403e-21,0.0,5.421010862427522e-20,0.0,0.0,1.0842021724855044e-19,3.3881317890172014e-21,6.938893903907228e-18,0.0,5.421010862427522e-20,0.0,1.0842021724855044e-19,1.3552527156068805e-19,0.0,1.0842021724855044e-19,0.0,4.235164736271502e-22,1.0842021724855044e-19
3,1.6804447341547306e-05,1.682662232498159e-05,5.066689480321008e-07,0.003064413403902027,5.661161963978426e-05,1.1587383607109063e-05,0.06526659154867749,1.4133019621403958e-05,0.002630344889592872,0.42269193828408125,1.3053535656551177e-05,0.0652665900152197,5.6612136503415944e-05,1.370836217813347e-05,3.096025539854161e-07,1.16061230542453e-05,1.9564728051161948e-07,0.42268521875019405,7.169178182655195e-05,1.9307267600327348e-07,9.289050391701502e-05,1.1608484786219673e-05,9.288986455995752e-05,1.3799604525168552e-05,3.20869448279944e-05,0.42268484003223106,0.004838865421606547,7.169132055936535e-05,0.0030643863487690723,3.094063239441493e-07,1.3797335434151951e-05,2.997235625500615e-07,6.465007980092398e-08,7.46286199322378e-08,2.045068683623224e-06,6.624129779282811e-05,0.0013123438608046213,4.7187758424873225e-06,3.5733836184498525e-06,2.7414735406384686e-05,6.812266742541018e-05,1.1064465080262236e-07,0.00023960513470930523,6.402098770202985e-05,6.852614012581236e-05,0.0005815377444375678,8.353269056308262e-06,1.3949853908125932e-05,1.696191958066246e-05,1.5125170387064383e-06,4.691497705615236e-06,0.0005815384662872485,6.696099830368564e-05,1.1271945416400842e-07,9.493829258752058e-06,0.002870144122734922,2.7423248062238087e-05,1.932886466846359e-05,3.380407967656002e-05,6.596187559598007e-05,3.3803246459142714e-05,1.0758706558608829e-06,6.077077275098189e-06,0.0015726964196660716,0.0018292320765305953,0.001572676096266869,4.690478195666627e-06,0.0,2.210755992333724e-19,0.0,0.0,7.940933880509066e-23,4.963083675318166e-24,0.0,0.0,2.6469779601696886e-23,6.938893903907228e-18,0.0,8.470329472543003e-22,8.460535322642578e-22,0.0,0.0,1.0587911840678754e-22,8.470329472543003e-22,0.0,2.6469779601696886e-23,1.0587911840678754e-22,6.776263578034403e-21,0.0,0.0,5.421010862427522e-20,0.0,1.3234889800848443e-23,4.336808689942018e-19,4.396004608049491e-22,0.0,0.0,3.1763735522036263e-22,6.776263578034403e-21,6.776263578034403e-21,2.168404344971009e-19,0.0,3.1763735522036263e-22,0.0,1.0842021724855044e-19,0.0,0.0,8.470329472543003e-22,1.0587911840678754e-22,1.0164395367051604e-20,6.776263578034403e-21,8.470329472543003e-22,2.168404344971009e-19,5.421010862427522e-20,5.421010862427522e-20,8.470329472543003e-22,0.0,2.168404344971009e-19,8.131516293641283e-20,5.421010862427522e-20,0.0,2.168404344971009e-19,8.470329472543003e-22,5.082197683525802e-21,1.3552527156068805e-20,1.0842021724855044e-19,1.3234889800848443e-23,0.0,3.3881317890172014e-21,8.470329472543003e-22,4.235164736271502e-22,8.470329472543003e-22,1.3234889800848443e-23,1.0842021724855044e-19
4,1.514351964868578e-05,1.3764192903791901e-05,5.754198223103764e-06,6.655965496779828e-05,1.1229157866651933e-05,1.922360725815531e-06,0.0003818647259786974,7.432514788298733e-06,6.709430013738327e-05,0.00248555102072821,1.65359766558341e-05,0.00038151551013019906,1.165188809144331e-05,1.0064188332334601e-05,3.6165837396245934e-06,2.1972133161897374e-06,5.04720692817185e-06,0.0024841557174836368,1.1011163392549458e-05,5.098924499522323e-06,7.270548968003446e-06,2.7840438336835798e-06,7.4768767628068376e-06,1.1784429501011894e-05,1.0190507405090142e-05,0.0024842735050468493,0.0002791404157843295,1.1076153766457758e-05,6.653795871771886e-05,3.7396256003731242e-06,1.1454182625196357e-05,1.3789028155809078e-07,2.3474940504816332e-07,2.995917499707916e-07,3.4238470327890025e-07,0.0011938477237914166,0.00044007065453837823,7.267953015684435e-08,9.17901780256505e-08,4.454465296368455e-06,0.001348148193008355,5.291489295319916e-07,0.0004420213269498384,0.0011792457992145955,0.001101376476006249,0.0008307680080479119,0.0006789338115491057,0.0008058851501863609,0.0009225117168332077,3.0498715253005546e-07,0.0007528104362662254,0.0008308479113395874,0.0011791454896468085,5.358786207889707e-07,8.067122818562844e-09,0.002640681324368738,4.56062275834204e-06,0.0006717326020834313,0.0009370460395491254,0.0010904803232088727,0.0009367205330344954,0.0015988482137620213,9.981156070311618e-05,0.000439570693204263,0.000970694833527192,0.00043957720124910074,0.0007528093577523585,1.3877787807814457e-17,4.1949306712769224e-19,2.117582368135751e-22,0.0,3.3881317890172014e-21,4.235164736271502e-22,1.2705494208814505e-21,8.470329472543003e-22,8.470329472543003e-22,1.3877787807814457e-17,6.776263578034403e-21,0.0,1.685680896309502e-23,0.0,4.336808689942018e-19,5.082197683525802e-21,0.0,0.0,0.0,0.0,8.470329472543003e-22,2.117582368135751e-22,0.0,2.710505431213761e-20,0.0,0.0,2.710505431213761e-20,4.441710988016943e-23,1.3552527156068805e-20,2.371692252312041e-20,2.168404344971009e-19,0.0,1.3552527156068805e-20,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,3.3881317890172014e-21,5.421010862427522e-20,5.082197683525802e-21,1.0842021724855044e-19,1.8634724839594607e-20,1.0842021724855044e-19,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-19,0.0,0.0,3.3881317890172014e-21,2.168404344971009e-19,2.168404344971009e-19,5.421010862427522e-20,5.421010862427522e-20,0.0,1.3552527156068805e-20,8.470329472543003e-22,4.235164736271502e-22,8.470329472543003e-22,2.710505431213761e-20,2.117582368135751e-22,1.0842021724855044e-19,1.0842021724855044e-19,2.0328790734103208e-20,0.0,0.0,0.0,2.710505431213761e-20
5,2.4900971280315327e-05,2.4880587980455447e-05,1.327077487910317e-08,2.291797635779927e-07,6.559335398317215e-07,2.2237469333135084e-06,2.883970768322349e-06,2.2599986931749604e-06,2.3029066883993663e-07,1.1475945431995392e-06,2.7865870648563793e-06,2.8851304404953737e-06,6.545244418263673e-07,2.7569621951637393e-06,9.946843976472657e-09,2.22113746479819e-06,1.3306778883283724e-08,1.1476062025882789e-06,6.112682351452911e-07,1.3536879441486706e-08,7.638851255604007e-08,2.220876547589323e-06,7.70528350619993e-08,2.7535776280865083e-06,6.128721059574719e-07,1.1476098310252604e-06,0.00014499343962099507,6.112697961900826e-07,2.2918093106756812e-07,9.551420309570252e-09,2.754068143023389e-06,3.0105596934653445e-08,3.963742241606316e-12,1.006962123703795e-10,2.852693632498252e-08,6.70054510061858e-05,6.666871351859539e-06,2.2497353784647793e-10,2.1225797364561647e-10,2.264358201878833e-08,7.571397428156922e-05,6.195624392660872e-11,6.667067899785113e-06,6.627370415770043e-05,6.154529109890626e-05,0.0008215867661377292,3.308951708623858e-06,4.562069751043888e-05,5.222317794655776e-05,2.2271880041970835e-10,5.148314554571549e-07,0.0008215871391761795,6.622858373998328e-05,5.3276207477799714e-11,2.1025988079169528e-10,9.285797608313996e-07,1.8530389431884384e-08,3.308963710734968e-06,5.30509195946053e-05,6.0920868205555564e-05,5.302532810891472e-05,5.654692736690528e-06,3.5615477691736017e-07,6.665573493257291e-06,2.760954806930974e-05,6.66557345695487e-06,5.148317448589298e-07,2.7755575615628914e-17,1.3110812708965489e-21,6.352747104407253e-22,0.0,1.0587911840678754e-22,0.0,1.3234889800848443e-23,2.6469779601696886e-23,2.6469779601696886e-23,1.3877787807814457e-17,8.470329472543003e-22,8.470329472543003e-22,1.0875937477876626e-25,8.271806125530277e-25,2.117582368135751e-22,2.117582368135751e-22,4.235164736271502e-22,0.0,5.169878828456423e-26,2.117582368135751e-22,1.3234889800848443e-23,2.0679515313825692e-25,8.470329472543003e-22,3.308722450212111e-24,4.1359030627651384e-25,1.0339757656912846e-25,3.308722450212111e-24,2.273514724142928e-25,1.3234889800848443e-23,8.470329472543003e-22,0.0,6.776263578034403e-21,8.470329472543003e-22,2.752857078576476e-21,0.0,0.0,1.3234889800848443e-23,3.3881317890172014e-21,3.3087224502121107e-23,3.3881317890172014e-21,4.632211430296955e-23,8.470329472543003e-22,6.776263578034403e-21,6.776263578034403e-21,5.293955920339377e-23,1.376428539288238e-21,2.710505431213761e-20,0.0,1.3234889800848443e-23,6.776263578034403e-21,4.235164736271502e-22,0.0,3.3881317890172014e-21,6.776263578034403e-21,1.3234889800848443e-23,4.235164736271502e-22,5.293955920339377e-23,1.3234889800848443e-23,3.308722450212111e-24,7.754818242684634e-26,0.0,0.0,0.0,0.0,5.293955920339377e-23,5.169878828456423e-26,8.470329472543003e-22
6,1.2438286395342708e-06,1.0820090712829598e-06,1.3681094974060065e-08,1.518691624610472e-07,3.82957357347448e-07,1.082016404846884e-06,3.103367557533162e-07,1.0820163903062108e-06,1.51868980319414e-07,3.103370159871453e-07,1.2438350048460527e-06,3.1033675678370696e-07,3.829573573627885e-07,1.2438350105416382e-06,1.3680873014466364e-08,1.0820163898245184e-06,1.3681206495801903e-08,3.1033652556608255e-07,3.8295540400351983e-07,1.368162695755906e-08,1.5186818969358826e-07,1.0820163900181645e-06,1.5186818969399362e-07,1.243835004648704e-06,3.8295546321181487e-07,3.10336536769819e-07,1.9345579127383958e-06,3.829554379163137e-07,1.5186918347165155e-07,1.3680873014111342e-08,1.2438350070961398e-06,2.3682573418996468e-12,8.672303387002772e-14,8.622773434378386e-14,5.738985996844187e-13,1.9524021443124992e-11,1.2550592390505407e-07,5.172339073788512e-12,6.73071428866466e-12,1.8800557285240616e-12,4.582594881440398e-09,8.580919647131757e-14,1.2550505694886174e-07,1.945795267144002e-11,2.5075372137826055e-07,2.485399808456877e-07,9.703872808767606e-08,2.1264791306504138e-10,3.0272071706143594e-09,5.2734412371899394e-12,3.8806457135085324e-09,2.4853998084330305e-07,4.582633080098386e-09,8.648702333572946e-14,4.231557778406052e-12,4.264170268176781e-08,1.1232888519356104e-12,9.703815529626733e-08,2.1747361755555935e-10,2.882228944655692e-07,3.0229857624925614e-09,1.430936516132069e-06,9.198045323812118e-09,5.7599083817584327e-08,1.0760416698081124e-06,5.7599055372203747e-08,3.8806737512073805e-09,0.0,1.4558378780933287e-22,1.0587911840678754e-22,6.310887241768095e-30,3.2311742677852644e-27,2.0194839173657902e-28,0.0,2.524354896707238e-29,1.262177448353619e-29,2.117582368135751e-22,1.2924697071141057e-26,0.0,5.305858126103752e-25,0.0,2.6469779601696886e-23,0.0,1.2924697071141057e-26,0.0,0.0,2.5849394142282115e-26,1.3234889800848443e-23,4.0389678347315804e-28,2.5849394142282115e-26,1.3234889800848443e-23,1.0097419586828951e-28,1.0097419586828951e-28,2.117582368135751e-22,5.30587723903252e-25,2.6469779601696886e-23,0.0,0.0,0.0,2.6469779601696886e-23,6.617444900424222e-24,0.0,0.0,8.271806125530277e-25,1.0587911840678754e-22,1.0587911840678754e-22,2.117582368135751e-22,1.0587911840678754e-22,1.0587911840678754e-22,0.0,2.6469779601696886e-23,8.271806125530277e-25,0.0,0.0,3.308722450212111e-24,2.481541837659083e-24,2.6469779601696886e-23,0.0,5.293955920339377e-23,0.0,5.293955920339377e-23,2.6469779601696886e-23,1.0587911840678754e-22,1.3234889800848443e-23,1.3234889800848443e-23,6.352747104407253e-22,6.310887241768095e-30,0.0,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,1.262177448353619e-29,0.0
7,1.400631992746513e-07,1.1423699757522395e-07,1.9133017428370474e-09,1.3725279099554069e-08,3.1204780888503617e-07,1.1423763044227567e-07,1.3702259161760335e-07,1.1423771453335523e-07,1.3725276587409829e-08,1.3702252524121687e-07,1.400637687363717e-07,1.3702258700940048e-07,3.120478105077486e-07,1.4006374905024329e-07,1.913317543730233e-09,1.1423771103094997e-07,1.9133095027094455e-09,1.3702253327305157e-07,3.1204777100898173e-07,1.9133325825054903e-09,1.3725256965143514e-08,1.1423771186747461e-07,1.3725257025557394e-08,1.400638284342357e-07,3.1204776867083373e-07,1.3702266408141172e-07,2.404732107300716e-07,3.120477706243232e-07,1.372528084486709e-08,1.9133172465748557e-09,1.400638287398222e-07,1.6856325992491148e-13,6.732013080046471e-14,1.608957025528395e-13,9.274504973601665e-14,8.005303728678e-10,8.37132956742177e-08,9.40555249073066e-14,4.789835876758114e-14,1.6395895891230442e-13,1.8812184974392432e-07,1.363286411118714e-13,8.371318993368534e-08,7.994218274093137e-10,1.7220120615244757e-08,4.733925925526255e-09,7.250634922668703e-08,8.860934853672201e-09,1.2457905084380609e-07,9.159895803892203e-14,1.5235471981187897e-08,4.733925710620422e-09,1.881218181196795e-07,5.787257577231767e-14,1.6847616800484816e-13,1.8197998650862284e-07,8.546300135967342e-14,7.250636991951355e-08,8.860178545579022e-09,2.2778209164733884e-08,1.2457902820598848e-07,9.325138438837539e-08,4.135078647004274e-08,3.898287364355308e-08,3.340570347686254e-08,3.898287335080404e-08,1.5235424225337882e-08,1.0587911840678754e-22,1.3028094647710186e-23,0.0,0.0,1.550963648536927e-25,0.0,3.1554436208840472e-30,5.048709793414476e-29,6.310887241768095e-30,1.0587911840678754e-22,0.0,0.0,1.1254906742079146e-23,2.0679515313825692e-25,2.6469779601696886e-23,5.169878828456423e-26,8.271806125530277e-25,0.0,6.310887241768095e-30,1.6543612251060553e-24,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,1.262177448353619e-29,8.835242138475332e-29,0.0,1.1254906732834682e-23,1.6543612251060553e-24,1.6543612251060553e-24,1.3234889800848443e-23,3.308722450212111e-24,1.6543612251060553e-24,0.0,0.0,1.3234889800848443e-23,3.308722450212111e-24,1.6543612251060553e-24,6.617444900424222e-24,3.308722450212111e-24,1.3234889800848443e-23,6.617444900424222e-24,3.308722450212111e-24,1.6543612251060553e-24,3.308722450212111e-24,1.3234889800848443e-23,0.0,1.3234889800848443e-23,6.617444900424222e-24,0.0,0.0,4.963083675318166e-24,1.6543612251060553e-24,3.308722450212111e-24,0.0,1.3234889800848443e-23,0.0,6.617444900424222e-24,1.6543612251060553e-24,3.1554436208840472e-30,3.308722450212111e-24,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,3.308722450212111e-24
8,3.189199807121297e-09,9.157393814653884e-09,4.7180076135944e-09,1.780434167286177e-08,3.647159946087634e-08,9.157328657932762e-09,1.8560877687903998e-07,9.15732444286274e-09,1.7804345174148243e-08,1.856086724973295e-07,3.189239475762933e-09,1.8560876509186395e-07,3.647160044307949e-08,3.189148501709808e-09,4.718022610262886e-09,9.1572867680373e-09,4.718018505390915e-09,1.8560867853626818e-07,3.6471587514442e-08,4.718063944374023e-09,1.780431891591272e-08,9.157284308035881e-09,1.7804319040200744e-08,3.189268278822819e-09,3.6471581588719886e-08,1.8560870078828145e-07,9.358657784815346e-08,3.6471586069852495e-08,1.7804344491597798e-08,4.718021931105081e-09,3.1892722696635427e-09,2.883617348767628e-13,1.1057473004696612e-13,2.7093600275265035e-13,1.967514928140375e-13,1.2441096191788782e-09,8.892001790077118e-08,9.679122627249927e-14,2.309530397843735e-13,2.8328821473935894e-13,2.917249863291585e-07,2.338413480541595e-13,8.892002863004154e-08,1.2424722678548143e-09,3.3698065733099776e-08,4.1635524831936083e-10,7.916542355852477e-08,1.3766773500357583e-08,1.9234331031200168e-07,1.1279170704272889e-13,1.9808042338873935e-08,4.1635418913150545e-10,2.917248926879109e-07,9.625165503469936e-14,2.479297585532547e-13,5.863136633518753e-08,1.75189376068391e-13,7.916543578125573e-08,1.3765621960212018e-08,4.9022839515720324e-08,1.9234327897369287e-07,4.71973231169554e-08,1.1294033867043495e-07,4.198874741172322e-08,1.7977321817625382e-08,4.198874671005846e-08,1.980802460280682e-08,1.0587911840678754e-22,7.444625512977249e-24,0.0,3.7865323450608567e-29,0.0,2.524354896707238e-29,6.310887241768095e-30,1.0097419586828951e-28,1.8932661725304283e-29,1.0587911840678754e-22,0.0,0.0,3.245793748078504e-23,4.1359030627651384e-25,0.0,3.101927297073854e-25,1.6543612251060553e-24,0.0,2.524354896707238e-29,1.6543612251060553e-24,6.617444900424222e-24,2.524354896707238e-29,3.308722450212111e-24,0.0,2.524354896707238e-29,1.262177448353619e-29,3.308722450212111e-24,3.245793904309941e-23,3.308722450212111e-24,0.0,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,8.271806125530277e-25,3.308722450212111e-24,8.271806125530277e-25,3.308722450212111e-24,0.0,0.0,3.308722450212111e-24,1.3234889800848443e-23,6.617444900424222e-24,0.0,3.308722450212111e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,1.6543612251060553e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,4.1359030627651384e-25,9.926167350636332e-24,6.617444900424222e-24,3.308722450212111e-24,1.262177448353619e-29,9.926167350636332e-24,9.926167350636332e-24,1.0097419586828951e-28,1.3234889800848443e-23,1.3234889800848443e-23,2.524354896707238e-29,1.6543612251060553e-24
