,Y0Z3,Y3Z0,Y3Z5,Y5Z3,Y4Z2,Y2Z4,Y1Z2,Y2Z1,Y1Z5,Y5Z1,Y0Z2,Y2Z0,Y0Z1,Y1Z0,Y4Z5,Y5Z4,Y5Z2,Y2Z5,Y4Z1,Y1Z4,Y3Z1,Y1Z3,Y4Z0,Y0Z4,Y3Z2,Y2Z3,standard_x,Y4Z3,Y3Z4,Y0Z5,Y5Z0,X2X3,X0X5,X2X5,Y0Y5,X1X3,X3X4,X0X2,X0X4,Y1Y3,X1X4,X0X1,X1X2,Y2Y3,Y2Y5,X1X5,X4X5,Y1Y4,Y1Y2,X3X5,X2,X5,Y0Y1,X1,Y3Y4,Y0Y4,X2X4,X0X3,Y1Y5,X3,X0,Y0Y2,Y4Y5,Y2Y4,X4,Y3Y5,Y0Y3,standard_y,X4Y3,Y1,X5Y2,X3Y5,X1Y3,X1Y0,Y3,X5Y3,X2Y3,X5Y4,X4Y1,X3Y4,X3Y2,X2Y5,X0Y3,X0Y2,X0Y1,X5Y1,X2Y4,X2Y1,X1Y2,X1Y5,X1Y4,X3Z1,X5Z1,X2Z1,X2Z0,X5Z4,X5Z0,X4Z2,X3Z5,X2Z5,X2Z4,X1Z5,X0Z3,X0Z2,X0Z4,X3Z4,X4Z5,X4Z0,X1Z4,X1Z3,X2Z3,X0Z5,Y5,Y4,Y2,Y0,X5Z3,X5Z2,X5Y0,X4Z3,X4Z1,X4Y5,X4Y2,X4Y0,X3Z2,X3Z0,X3Y1,X3Y0,X2Y0,X1Z2,X1Z0,X0Z1,X0Y5,X0Y4
0,0.9568660382006926,0.9568607692445059,0.917627017291911,0.9176033027865687,0.9095741327090257,0.9094464891524887,0.8240644875414136,0.8240323266518281,0.8146738247530942,0.8146656745916387,0.7012071840050784,0.7011648502273615,0.6483424742746774,0.6483286346695489,0.5729023138405811,0.5728385406673995,0.49102809200073927,0.4910138404936648,0.3723051401593669,0.37226742062991286,0.3329750299862213,0.33296975571319054,0.19636444492443295,0.19634874182827575,0.18328291965867757,0.18327286337324183,0.11483990934655312,0.07132293120694112,0.0713168348426162,0.06535091603284487,0.06534886722865949,0.04113401684851806,0.039417919373982924,0.038705314621648376,0.0372656746595654,0.03698756793440576,0.03235373087252105,0.03160589526817151,0.03131758164419929,0.030915626281257866,0.030737749819674476,0.030431918920444934,0.029278578991464188,0.02921968472306154,0.02813174452628054,0.027653159946243587,0.027613573108651007,0.027350906105116785,0.02509170551119313,0.023031848254443668,0.022734887722545262,0.02080061279474517,0.02046061942678697,0.02013385906614354,0.02008827057503862,0.019699958691435905,0.01956599558467327,0.0194715563676438,0.019321792100712235,0.019078225925516026,0.01871121061322032,0.018410607685888,0.016567582054946767,0.014781789172020412,0.0133811132243828,0.009296079293127021,0.008370396801303602,1.942890293094024e-16,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,9.540979117872439e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.9898639947466563e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.0408340855860843e-17,6.938893903907228e-18,3.469446951953614e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,5.963111948670274e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001615423987640976,0.0016207315232775006,0.0015546225615499678,0.8522735566433153,0.9095878608183234,0.9094978424375451,0.8241299152436397,0.8240801269414275,0.8147385317612095,0.8146988701483415,0.0011808340703927936,0.5178995813201377,0.0010913467872168798,0.3153616504206066,0.5729137328264884,0.5728637544951231,0.4910501304236744,0.4910443685454739,0.3723132782139587,0.3722989230480723,0.0005588095087750109,0.3153599384187788,0.12504300512809338,0.00032976091093360157,0.00030423835267934045,0.5178980305210608,0.06384799400494298,0.1250423376533797,0.00011901497134314911,0.00010973217009140895,0.8522716605406397,0.0009163961380484446,0.0010285053275419132,0.0333453683435715,0.001024733912324163,0.0008302652939328969,0.0007326339032884857,0.0008062032520490963,0.0009755428737153478,0.00102375085844028,0.02494742833266011,0.000883750713476229,0.02155494709231199,0.0010920214808806633,0.013989432805616465,0.021104028822134198,0.0248119398565103,0.02393488520524504,0.01742171089236185,0.0006775316548095523,0.019337419273008864,0.018592786717146627,0.0008558196177318724,0.015126473004558017,0.0006791443019562413,0.0006191597742429627,0.016073300196643388,0.010815198650963921,0.006370148870445565,0.0006990620899610946,0.0009676707660231766,0.0008264586548798615,0.012147049485768693,0.012503405175062059,0.01245804786621375,0.0005704365168233518,0.010813989183752499,1.5276408610320757e-16,0.0,4.163336342344337e-17,0.0,1.0842021724855044e-19,1.0842021724855044e-19,3.8963515573697816e-20,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,0.0,1.3877787807814457e-17,5.421010862427522e-20,1.0842021724855044e-19,1.1102230246251565e-16,2.7755575615628914e-17,0.0,5.251604272976662e-20,0.0,5.551115123125783e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,1.0408340855860843e-17,5.421010862427522e-20,0.0,3.469446951953614e-18,2.6020852139652106e-18,8.673617379884035e-19,0.0,4.336808689942018e-19,2.710505431213761e-20,0.0,2.6020852139652106e-18,4.336808689942018e-19,0.0,5.421010862427522e-20,0.0,6.776263578034403e-21,0.0,0.0,3.2526065174565133e-19,8.673617379884035e-19,1.734723475976807e-18,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,4.336808689942018e-19,0.0,8.673617379884035e-19,0.0,5.551115123125783e-17,0.0,1.0842021724855044e-19,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,8.673617379884035e-19,0.0,0.0,0.0
2,8.04166331037942e-05,7.452513553667038e-05,7.104908361568063e-05,0.8522924254492139,0.0030027016125261014,0.0030207225853237174,0.4518042564614939,0.002736578046234668,0.8147750016194137,0.8147157483021601,5.0753025242565884e-05,0.001723633518214923,6.031670306964728e-05,0.3153681659709554,0.0018993657733849677,0.08182284338739035,0.0818161456537898,0.0016419846336009002,0.001236312734518949,0.4517955568751302,3.5192367557024284e-05,0.31536768919621616,0.0004174252987449638,5.090384221935381e-05,2.0136666516147824e-05,0.001723659196486153,0.028987972651172478,0.00041753816487727,2.033889652211748e-05,6.571307636700791e-06,0.852291669432512,0.0001082634073285326,0.0012979851325298887,0.0021061176676890293,0.0010463491177900301,0.0010932015015960835,5.192410385438607e-05,5.156286588120414e-05,0.00010800774109077007,0.0011946216515762833,0.002012397282280384,0.0011056011596925187,0.0018477474728768092,0.0002674249020625895,0.0015749737859839295,0.012114512152991877,0.001708829837692148,0.0022092098276480913,0.001651508876258455,0.0009014386364397476,0.0020939350645207055,0.01583710396551008,0.0009718154887126079,0.011432294118971061,0.00026947660977653834,0.000269754656697226,0.004612508185070364,0.011574920267551896,0.007055523308205611,0.0009427208783629123,0.0012582040434814881,0.0002687663071671688,0.001474972026564463,0.004617890893084356,0.0018255644240150327,0.00044218549142376566,0.011574971849205253,1.3762591326987872e-17,4.235164736271502e-22,1.3877787807814457e-17,0.0,0.0,6.776263578034403e-21,1.8975523251966455e-21,0.0,0.0,8.470329472543003e-22,0.0,5.421010862427522e-20,0.0,1.2705494208814505e-21,2.168404344971009e-19,0.0,0.0,2.4980854499101436e-22,4.163336342344337e-17,2.7755575615628914e-17,2.168404344971009e-19,1.0842021724855044e-19,0.0,6.776263578034403e-20,1.6263032587282567e-19,1.734723475976807e-18,0.0,5.421010862427522e-20,4.336808689942018e-19,1.734723475976807e-18,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,0.0,6.505213034913027e-19,0.0,0.0,0.0,1.3552527156068805e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-19,2.6020852139652106e-18,1.6263032587282567e-19,4.0657581468206416e-20,0.0,1.0842021724855044e-19,2.168404344971009e-19,6.776263578034403e-21,1.734723475976807e-18,4.336808689942018e-19,0.0,1.6263032587282567e-19,1.0842021724855044e-19,2.168404344971009e-19,0.0,8.470329472543003e-22,2.710505431213761e-20,1.6263032587282567e-19,6.776263578034403e-21,2.7755575615628914e-17,0.0,3.2526065174565133e-19,4.336808689942018e-19,1.0842021724855044e-19,0.0,0.0
3,4.0092524239603945e-06,1.3019129410876598e-07,1.437410490830981e-07,0.00711475156841543,0.00029516250273420037,0.0003202707543250885,0.45180448284468255,0.000284170980618229,1.130186102746591,0.006802079032461465,1.6334483412949742e-06,0.00033821805901204096,2.4696139825825432e-06,1.1301679511087537,0.0002300264699347325,0.000697235773360052,0.0006987622104335691,0.0003382582275216104,0.00013310810461034084,0.4518014151681373,1.578325902412809e-08,1.130167947761151,0.00022940679654379452,1.659522924006069e-06,1.2794722931818267e-07,0.0003382170629556416,0.009372894064795417,0.00022940569740153161,1.222536200197783e-07,4.013260530645157e-06,0.0071147522572209375,1.0897852495428829e-07,1.0008739485722188e-05,4.313974652224651e-05,1.0267572816485785e-05,1.0220042571797467e-05,5.285970929780686e-08,2.007512352938164e-06,3.654816083053696e-06,7.623236411483929e-06,0.002449277641386449,8.274072123068562e-05,0.0021821173372971406,2.8729456193920374e-07,0.0020351866000981773,7.714546066151903e-05,0.00040871446889002036,0.002456208274309402,0.001622755546084942,6.25651426405719e-05,0.002526460414216871,0.0002716244407580215,4.000581413744964e-05,0.014445979934500315,2.8883842180504513e-07,3.266012430247263e-05,0.002551773328260605,0.0002827298896958787,0.0005410556702804346,1.0379190952590616e-05,0.00015040215124014576,3.267413003995955e-05,0.0020366153099372706,0.0025520912355504076,0.0021142196725372694,6.261134180190006e-05,0.00028272984419994276,5.591773035466234e-17,0.0,5.551115123125783e-17,0.0,0.0,6.617444900424222e-24,6.934200952863046e-23,3.308722450212111e-24,4.235164736271502e-22,0.0,3.3881317890172014e-21,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,2.0751348356766393e-22,3.2526065174565133e-19,5.551115123125783e-17,1.3552527156068805e-20,2.710505431213761e-20,2.168404344971009e-19,1.3552527156068805e-20,8.470329472543003e-22,2.710505431213761e-20,2.168404344971009e-19,5.421010862427522e-20,0.0,2.710505431213761e-20,0.0,8.470329472543003e-22,1.6263032587282567e-19,2.168404344971009e-19,1.3010426069826053e-18,6.776263578034403e-21,1.3552527156068805e-20,0.0,1.3234889800848443e-22,1.0842021724855044e-19,5.421010862427522e-20,8.673617379884035e-19,4.336808689942018e-19,1.6263032587282567e-19,6.776263578034403e-21,4.336808689942018e-19,0.0,2.710505431213761e-20,0.0,2.710505431213761e-20,0.0,0.0,5.421010862427522e-20,0.0,1.6940658945086007e-21,0.0,1.9852334701272664e-23,5.293955920339377e-23,4.235164736271502e-22,1.3234889800848443e-23,0.0,0.0,0.0,1.3010426069826053e-18,2.710505431213761e-20,2.6469779601696886e-23,1.3234889800848443e-23
4,2.702975849347255e-06,6.016153763172209e-08,1.5629429686869227e-07,2.6105351075483465e-05,0.00023375084773604235,0.00023066667814244745,0.001500481756621847,5.248381081512205e-05,0.003739486387288717,2.6039726812139905e-05,9.130771294134217e-06,5.006891897450639e-05,2.5446238428007193e-06,0.003738673588253836,8.954007992764352e-05,2.6717319442932674e-06,3.197691289497315e-06,5.14288903313059e-05,8.932814498865355e-05,0.0014995037762060312,8.522965215798264e-08,0.003738722278561822,8.874044299413722e-05,8.971075502064401e-06,4.4473479622874296e-07,5.0068409574487995e-05,0.004486233187741962,8.871190816318194e-05,4.272509016222511e-07,2.683111213455113e-06,2.610642468795386e-05,3.674425710086718e-08,2.785257506251074e-07,7.174909377732509e-07,2.90377501798902e-07,2.8122138863873556e-07,2.993427936341579e-08,5.583561545416235e-05,4.48585694828501e-05,2.5674152084789847e-07,0.0008689632220767395,0.00035268514521945976,0.0007892032775071664,3.842859826672144e-08,5.405986853888001e-06,0.0007135460889761861,1.5842206505264748e-06,0.0011630328991980628,0.0011610328348897088,0.0003529744196267582,0.0012833157101175565,0.0015118178312642462,0.00035409019269081734,0.0003751123389849675,4.130680358032771e-08,0.00019140652568537883,0.00021902129952130215,0.0008240960426423062,0.000711928284381031,4.017910750875039e-05,0.0007278414512731843,0.00019150366953221384,5.400213086955559e-06,0.00021904954275214924,0.0012981914265631916,0.0003529743486736941,0.000824096288624093,1.0036016935983374e-19,5.293955920339377e-23,1.0842021724855044e-19,1.5881867761018131e-22,0.0,1.0587911840678754e-22,8.560157663354808e-23,1.3234889800848443e-23,0.0,5.293955920339377e-23,7.940933880509066e-23,1.6940658945086007e-21,1.0587911840678754e-22,5.293955920339377e-23,1.0587911840678754e-22,2.710505431213761e-20,0.0,1.0498094820137368e-22,4.0657581468206416e-20,0.0,3.3881317890172014e-21,1.6940658945086007e-21,2.710505431213761e-20,1.6940658945086007e-21,6.776263578034403e-21,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,6.776263578034403e-21,1.0842021724855044e-19,5.421010862427522e-20,0.0,1.0842021724855044e-19,2.710505431213761e-20,0.0,5.421010862427522e-20,0.0,0.0,8.470329472543003e-22,1.0842021724855044e-19,2.168404344971009e-19,0.0,1.3552527156068805e-20,1.0842021724855044e-19,0.0,1.6940658945086007e-21,1.3552527156068805e-20,6.776263578034403e-21,4.235164736271502e-22,0.0,6.776263578034403e-21,1.0587911840678754e-22,1.0842021724855044e-19,2.168404344971009e-19,0.0,0.0,0.0,1.2705494208814505e-21,6.776263578034403e-21,5.293955920339377e-23,2.710505431213761e-20,0.0,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,0.0
5,1.131936855694352e-05,2.460676794386728e-08,2.4617057079911235e-08,1.73566538452807e-08,4.297864149202227e-06,4.297920612594984e-06,6.603358147967937e-07,8.703106508937873e-07,1.4524020171183452e-06,1.7356663381508023e-08,3.7023144158421854e-06,8.703115887577972e-07,1.1319368957337267e-05,1.4524023366396918e-06,1.53777009337662e-06,1.6992999581377337e-09,1.699026609190544e-09,8.703110617278789e-07,1.5377722884711112e-06,6.603363496109705e-07,2.46170624633168e-08,1.4524023324326833e-06,1.5377702913472874e-06,3.7023144293908115e-06,3.556069378900648e-09,8.703115846224356e-07,1.9670823967985203e-06,1.537770286088673e-06,3.5560683175969043e-09,1.1319368964334598e-05,1.7356657700246705e-08,6.326100865312921e-12,1.2954146202188077e-11,8.950173321308664e-12,1.2157678394079147e-11,1.2977281186130728e-11,9.314183793985159e-12,4.704316676004312e-09,3.776751145558396e-09,1.2466967805711399e-11,6.20133684287125e-07,3.001735676506794e-08,5.628424275318668e-07,8.731122856192825e-12,5.281699922706443e-12,1.935791706347868e-07,8.365363858339259e-12,8.316355991764506e-07,8.318333970152218e-07,3.002722696878487e-08,8.700453117198119e-07,1.3822740783210239e-06,3.002255274123977e-08,4.642518015175773e-06,8.871509346594146e-12,1.6191234773753587e-08,0.0003963709061481555,9.827827099533892e-08,1.935786487506931e-07,1.5925942729201518e-06,1.9198001533133732e-06,1.619719220870758e-08,5.036318614237063e-12,0.00039637090579275276,8.448865956999323e-07,3.002722722822474e-08,9.827825426892995e-08,1.2672406984312384e-21,2.0194839173657902e-28,1.5881867761018131e-22,2.0194839173657902e-28,1.550963648536927e-25,4.0389678347315804e-28,1.0180721141378752e-25,1.6543612251060553e-24,1.0339757656912846e-25,5.048709793414476e-29,4.0389678347315804e-28,3.308722450212111e-24,2.0194839173657902e-28,1.0097419586828951e-28,8.077935669463161e-28,8.470329472543003e-22,0.0,1.0251986481185309e-25,4.235164736271502e-22,2.7755575615628914e-17,4.963083675318166e-24,1.6543612251060553e-24,2.117582368135751e-22,3.308722450212111e-24,0.0,1.0587911840678754e-22,5.293955920339377e-23,5.293955920339377e-23,1.257314531080602e-22,1.0587911840678754e-22,1.9852334701272664e-22,1.0587911840678754e-22,1.5881867761018131e-22,3.970466940254533e-23,4.235164736271502e-22,0.0,5.293955920339377e-23,5.293955920339377e-23,3.970466940254533e-23,1.5881867761018131e-22,1.5881867761018131e-22,2.117582368135751e-22,1.2705494208814505e-21,5.293955920339377e-23,2.117582368135751e-22,1.6543612251060553e-24,2.117582368135751e-22,5.293955920339377e-23,1.6940658945086007e-21,0.0,8.602678370551488e-23,8.077935669463161e-28,2.117582368135751e-22,1.5881867761018131e-22,8.077935669463161e-28,1.3877787807814457e-17,2.5849394142282115e-26,1.3234889800848443e-23,0.0,1.2116903504194741e-27,8.470329472543003e-22,0.0,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,8.077935669463161e-28,1.0339757656912846e-25
6,1.9935103887006062e-07,2.500579693375661e-07,2.5005850880470797e-07,5.048860179428333e-07,1.8059064100852519e-06,9.16357225782766e-07,3.129163068728128e-06,9.163234058313162e-07,3.1291221604451202e-06,5.048863636477866e-07,1.9935183140130112e-07,9.16319091736562e-07,1.9935164474916682e-07,3.1291216198150215e-06,1.8058913030519069e-06,5.048501745144716e-07,5.048502897474236e-07,9.163196151962368e-07,1.8058931106962087e-06,3.1291640567502943e-06,2.500583363948859e-07,3.129121789782152e-06,1.8058904346466488e-06,1.9935194629237443e-07,2.5005308239868443e-07,9.163194096137334e-07,9.736829983853285e-07,1.8058903834074308e-06,2.5005306492482174e-07,1.9935103980323613e-07,5.048860098798702e-07,2.511279254717062e-13,3.517104295655143e-13,8.38040191174748e-12,2.1178328366335286e-13,7.875246478906741e-12,8.642565772065445e-13,2.914181721595822e-07,1.782158937354714e-08,8.25222803536963e-12,7.990361595488328e-07,3.990838202959363e-07,4.2635469624224125e-08,3.1865928810575134e-13,6.267952805780741e-12,4.191859750098592e-06,2.8990002615580733e-12,7.990371254323017e-07,4.264086255087337e-08,3.1915275169787814e-07,3.434423796401099e-07,1.9643767065866345e-06,3.9908786727515685e-07,3.2561325825327336e-06,8.463631083952385e-13,1.781481923957067e-08,1.341144674857193e-06,3.7614639255290915e-07,4.191860984693679e-06,2.3105101853313755e-07,1.5095978900019953e-06,2.9141714347699274e-07,2.8875858569977257e-12,1.3411446942509774e-06,6.4344962322246e-07,3.19152793040474e-07,3.76146486743598e-07,8.470329472543003e-22,1.0097419586828951e-28,5.293955920339377e-22,4.0389678347315804e-28,0.0,0.0,2.9929839713334953e-24,7.940933880509066e-23,2.6469779601696886e-23,1.0097419586828951e-28,8.077935669463161e-28,2.6469779601696886e-23,2.524354896707238e-29,0.0,1.0097419586828951e-28,1.0587911840678754e-22,1.3234889800848443e-23,2.993422104218032e-24,2.6469779601696886e-23,1.0729366342870222e-17,8.933550615572699e-23,1.0587911840678754e-22,3.3087224502121107e-23,2.6469779601696886e-23,1.3234889800848443e-23,4.235164736271502e-22,0.0,0.0,4.235164736271502e-22,4.235164736271502e-22,1.0587911840678754e-22,0.0,5.293955920339377e-23,2.6469779601696886e-23,4.235164736271502e-22,2.117582368135751e-22,0.0,1.0587911840678754e-22,1.3234889800848443e-23,0.0,0.0,3.1763735522036263e-22,1.0587911840678754e-22,0.0,1.0587911840678754e-22,3.1763735522036263e-22,2.117582368135751e-22,0.0,2.9116757561866574e-22,0.0,2.117582368135751e-22,5.048709793414476e-28,5.293955920339377e-23,0.0,5.048709793414476e-28,1.0728942826396595e-17,7.444625512977249e-24,1.3234889800848443e-23,1.3234889800848443e-23,0.0,5.293955920339377e-23,2.6469779601696886e-23,2.117582368135751e-22,1.0587911840678754e-22,1.0587911840678754e-22,5.048709793414476e-28,1.4889251025954498e-23
7,1.0244261611258597e-07,1.8630491522240377e-08,1.8630489103958255e-08,3.7870334370919964e-08,6.466315093732222e-08,2.03764335560072e-08,1.1005782388380421e-07,2.0376656940252947e-08,1.1005802150229971e-07,3.787033424464719e-08,1.0244192242650202e-07,2.0376666989544087e-08,1.0244261736390473e-07,1.1005801416327055e-07,6.466321354105789e-08,3.787016476056639e-08,3.7870164628839914e-08,2.0376657780895243e-08,6.46632150932787e-08,1.1005782493746306e-07,1.8630492640675737e-08,1.100580141608016e-07,6.466321420998512e-08,1.0244192302487476e-07,1.8630403723227334e-08,2.037665625125082e-08,3.592991272030637e-07,6.466321381754467e-08,1.8630403590276907e-08,1.0244261578483555e-07,3.787033454206411e-08,3.4211012542133385e-15,3.238315776095842e-14,3.105435019387811e-15,2.892751526004068e-14,6.281529540838034e-14,1.3554488241458479e-14,7.240183572262758e-08,4.479714228948507e-09,6.025036745394536e-14,3.035073987949347e-08,1.0228585801963955e-07,1.5768988914537753e-09,5.312348078019434e-15,8.075683691355829e-15,6.887617388183196e-10,1.1552519402512318e-14,3.035074529601375e-08,1.5770083995605485e-09,8.187185667198692e-08,2.4975912335970295e-08,1.6476229186439633e-07,1.0228587991571104e-07,4.990834408504696e-08,1.39224354753285e-14,4.479446926221999e-09,5.678942430145488e-09,4.6417943394573944e-08,6.887742392744515e-10,1.3814080285137834e-08,1.4155735381051242e-07,7.24018218283887e-08,1.005139977991193e-14,5.678943298472079e-09,8.090694607724449e-09,8.187185633482597e-08,4.641794186633443e-08,4.963083675318166e-24,1.9721522630525295e-30,6.617444900424222e-24,1.5777218104420236e-30,1.6543612251060553e-24,1.5777218104420236e-30,5.71849025758103e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.5777218104420236e-30,3.944304526105059e-31,3.308722450212111e-24,1.5777218104420236e-30,0.0,0.0,2.481541837659083e-23,6.617444900424222e-24,5.7184889248375086e-24,0.0,3.8888341399629e-18,1.6543612251060553e-24,1.9645539548134407e-24,1.6543612251060553e-24,3.308722450212111e-24,0.0,1.3234889800848443e-23,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.3234889800848443e-23,2.481541837659083e-24,0.0,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,1.3234889800848443e-23,0.0,0.0,4.963083675318166e-24,4.963083675318166e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,0.0,3.308722450212111e-24,6.617444900424222e-24,3.308722450212111e-24,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,9.466330862652142e-30,4.963083675318166e-24,4.963083675318166e-24,0.0,3.88899295864051e-18,2.68833699079734e-24,1.6543612251060553e-24,0.0,0.0,2.3988237764037803e-23,0.0,0.0,3.308722450212111e-24,0.0,4.733165431326071e-30,0.0
8,1.0390251305015966e-07,1.8399498365929696e-08,1.839949595077643e-08,3.498276914753478e-08,6.455826891754462e-08,2.0194890969477404e-08,1.092544394641576e-07,2.019511400808745e-08,1.0925463879052638e-07,3.4982769022714895e-08,1.0390182587395577e-07,2.019512412474848e-08,1.0390251432454431e-07,1.0925463143247786e-07,6.455833102829392e-08,3.498261259080069e-08,3.498261245927044e-08,2.01951149501163e-08,6.455833256582031e-08,1.092544404973741e-07,1.839949948563624e-08,1.0925463142545421e-07,6.45583317277643e-08,1.039018263936861e-07,1.839941104662393e-08,2.0195113406827595e-08,3.596458434389026e-07,6.455833130878573e-08,1.8399410916041783e-08,1.0390251271722544e-07,3.4982769319538784e-08,3.581372764999079e-15,3.2020819091320744e-14,3.675108187600339e-15,2.858665184410083e-14,6.060046172526534e-14,1.3403322797420305e-14,7.042980572210751e-08,4.411430945408325e-09,5.804530607125873e-14,3.128542125242926e-08,1.0277383886646601e-07,1.5871576519692815e-09,5.565508054015364e-15,8.651193425970408e-15,4.9628305158906686e-11,1.1479022527558406e-14,3.128542669846786e-08,1.5872704895166128e-09,8.232671505751713e-08,2.5122929705898173e-08,1.6539945862441546e-07,1.0277386082143425e-07,5.164333889397546e-08,1.3773361105553128e-14,4.411170800258451e-09,4.904927704340908e-09,4.63666642763694e-08,4.961589371626503e-11,1.412028632594075e-08,1.4048928956070063e-07,7.042979205989999e-08,9.97834631591618e-15,4.90492856515172e-09,8.888887020146357e-09,8.232671471900592e-08,4.636666274123747e-08,1.1580528575742387e-23,1.9721522630525295e-30,6.617444900424222e-24,1.5777218104420236e-30,1.6543612251060553e-24,1.5777218104420236e-30,1.0168815628715625e-23,0.0,3.308722450212111e-24,0.0,3.944304526105059e-31,2.481541837659083e-24,3.1554436208840472e-30,1.5777218104420236e-30,1.5777218104420236e-30,2.481541837659083e-23,0.0,1.0168814404594553e-23,3.308722450212111e-24,3.880046173135136e-18,1.8611563782443123e-24,2.016252743098005e-24,4.963083675318166e-24,1.6543612251060553e-24,0.0,1.3234889800848443e-23,1.6543612251060553e-24,1.6543612251060553e-24,2.6469779601696886e-23,1.3234889800848443e-23,3.308722450212111e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,4.963083675318166e-24,1.3234889800848443e-23,1.3234889800848443e-23,0.0,0.0,5.790264287871194e-24,3.308722450212111e-24,3.308722450212111e-24,4.963083675318166e-24,0.0,1.3234889800848443e-23,0.0,6.617444900424222e-24,1.6543612251060553e-24,0.0,1.3234889800848443e-23,1.3234889800848443e-23,6.310887241768095e-30,4.1359030627651384e-24,3.308722450212111e-24,1.1832913578315177e-30,3.880152052253543e-18,3.1019272970738538e-24,8.271806125530277e-25,0.0,1.5777218104420236e-30,2.481541837659083e-23,1.3234889800848443e-23,1.6543612251060553e-24,1.6543612251060553e-24,2.6469779601696886e-23,6.310887241768095e-30,4.1359030627651384e-25
