,Y5Z3,Y3Z5,Y0Z3,Y3Z0,Y0Z5,Y5Z0,Y4Z1,Y1Z4,Y2Z3,Y3Z2,Y4Z3,Y3Z4,Y2Z1,Y1Z2,Y1Z0,Y0Z1,Y2Z0,Y0Z2,Y4Z5,Y5Z4,Y2Z5,Y5Z2,Y4Z0,Y0Z4,Y2Z4,Y4Z2,Y1Z3,Y3Z1,standard_x,Y1Z5,Y5Z1,X1X3,X3X4,X1X5,X3,X0X3,X2X3,X4X5,X2X5,X0X4,X0X5,Y1Y3,X0X2,Y0Y5,X0X1,Y0Y3,X3X5,Y0Y4,X5,Y2Y5,Y0Y2,Y3Y5,X0,Y4Y5,X2X4,Y2Y4,Y1Y5,X1X2,X1,X4,X1X4,Y2Y3,Y3Y4,X2,Y0Y1,Y1Y2,Y1Y4,standard_y,X4Y0,X2Y4,Y3,Y5,Y2,X4Y3,X3Y5,X3Y4,X2Y3,X2Y0,X0Y4,X0Y2,Y1,X5Y3,X4Y2,X1Y5,X1Y3,X1Y0,X4Y5,X3Y1,X2Y5,X2Y1,X1Y2,X0Y1,X0Y3,X1Y4,X3Z0,X5Z3,X5Z1,X0Z1,X3Z4,X5Z0,X4Z0,X3Z5,X0Z5,X4Z5,X3Z2,X1Z4,X4Z2,X2Z5,X0Z4,X1Z5,X5Z4,X2Z4,X1Z3,Y4,Y0,X5Z2,X5Y4,X5Y2,X5Y1,X5Y0,X4Z3,X4Z1,X4Y1,X3Z1,X3Y2,X3Y0,X2Z3,X2Z1,X2Z0,X1Z2,X1Z0,X0Z3,X0Z2,X0Y5
0,0.8267851475353858,0.8267252189603713,0.6508796707313746,0.6508176458389725,0.5358295711938699,0.5358173483612574,0.5074135457068452,0.507410676576603,0.4336305749906333,0.43355763585307616,0.4244973467430294,0.42443266193266904,0.3656741895133295,0.3656663338084015,0.32381183197327235,0.323795176303715,0.15084142478703666,0.1508304256947501,0.12379354996640074,0.12378365877818369,0.09070822163539355,0.0906995383224774,0.07243129228817961,0.07242715713629849,0.06985171022645847,0.06985060457686895,0.05799458697798164,0.05798607758782484,0.046400946985787735,0.03749284676358713,0.03749006304501004,0.01972938128974683,0.01581651333275676,0.014937579449204694,0.014789435730716194,0.014752433492971551,0.014604829115669548,0.014282332648591571,0.013369142078560681,0.012963190066382047,0.01265166244471944,0.012313798666559225,0.011558074853665251,0.011459759491516607,0.011348208272316572,0.011159811945094201,0.011074115570637224,0.010349774532324049,0.00995784417116715,0.00923438210235281,0.009086607091296075,0.00885722152879574,0.008437288814934968,0.00830314666922801,0.008109980110017703,0.007835791216530403,0.006348954594269074,0.005910257860040655,0.005008474968928717,0.004631538629985957,0.004490272212381231,0.004480758483383282,0.004184286898801779,0.003576364670054748,0.0029950612770304093,0.0022568811936313745,0.0015652698019550783,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.5612511283791264e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.214306433183765e-17,6.938893903907228e-18,3.469446951953614e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.168404344971009e-19,2.168404344971009e-19,1.6263032587282567e-19,1.6263032587282567e-19,1.6263032587282567e-19,1.3552527156068805e-19,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0001751945913300352,0.00016145703900351097,0.12541362877036916,0.00012124011896696006,0.10245463144813019,0.00010530984710828379,0.5008486100315057,0.5057509019727147,0.34243509179661835,8.299378174951192e-05,0.2991701964256891,8.043492637493951e-05,0.3632998326943032,0.3644682626289201,0.32275052936776094,0.32382537751091434,0.1498614200395362,0.1508440804134028,0.2886990440083377,2.304932141484691e-05,0.3323557416653772,1.685297472915822e-05,0.07149359270914732,0.07243379442858111,0.06939780514258825,0.06894615271332198,0.021157049952983936,1.0199533281495811e-05,0.019765045514473133,0.019314746593988488,6.953832822684252e-06,0.0021671279244055326,0.0020768517440691004,0.0019222407184733103,0.0021745566248978043,0.0020534198634934156,0.0021010934958519186,0.001973767909497672,0.0019743014930886003,0.006194540098401466,0.002046460432413137,0.0006391481267361461,0.004859515001870078,0.001968513093090884,0.005432415750586082,0.0017761427785403182,0.002671704039622374,0.0054205415173980975,0.0019257917597437346,0.0010323627084834995,0.004378361419483788,0.003028018336675058,0.002018964426153941,0.000988805502748899,0.007534369559817849,0.007208031508016084,0.0006741230184306979,0.006099010031858074,0.005924510941025257,0.0043258934358411955,0.004096326834935942,0.0004859176709770971,0.0005123683426815261,0.0033953283268111996,0.0023022316496820066,0.0022030803822342595,0.0013362913395469217,1.389811659854856e-17,0.0,2.7755575615628914e-17,3.3881317890172014e-21,1.6940658945086007e-20,2.7755575615628914e-17,6.776263578034403e-21,6.938893903907228e-18,0.0,3.3881317890172014e-21,0.0,5.551115123125783e-17,0.0,4.163336342344337e-17,1.734723475976807e-17,2.7755575615628914e-17,3.3881317890172014e-21,3.3881317890172014e-21,4.445228907190568e-18,0.0,3.3881317890172014e-21,3.3881317890172014e-21,0.0,6.938893903907228e-18,1.1926223897340549e-18,1.6940658945086007e-21,6.938893903907228e-18,0.0,5.421010862427522e-20,0.0,2.168404344971009e-19,2.710505431213761e-20,5.421010862427522e-20,7.589415207398531e-19,1.0842021724855044e-19,1.0842021724855044e-19,0.0,2.710505431213761e-20,2.168404344971009e-19,1.6263032587282567e-19,0.0,0.0,1.3552527156068805e-19,7.453889935837843e-20,0.0,2.710505431213761e-20,0.0,0.0,1.3552527156068805e-20,0.0,0.0,3.3881317890172014e-21,0.0,2.168404344971009e-19,4.336808689942018e-19,0.0,4.336808689942018e-19,0.0,0.0,0.0,4.336808689942018e-19,0.0,0.0,6.505213034913027e-19,1.0842021724855044e-19,0.0,0.0
2,0.0001212043416863303,0.00013856797365454526,0.13892687949678345,0.00011781924809344191,0.08604834218092207,9.326160029754903e-05,0.0003998101216120413,0.00039425494662125016,0.34247205311339335,7.419311315567083e-05,0.00023703064109945456,6.541854135784308e-05,0.2926648622886181,0.00027907699820905866,0.00024607095519159166,0.2520972541909805,0.14888997789788444,0.1508472510920973,0.00021806771924577731,1.844869819684612e-05,0.3194086762535524,1.750925476594291e-05,4.8950834486880025e-05,0.24824260618843408,0.2884836759739692,4.606115011152871e-05,1.698385357401679e-05,6.477605435576791e-05,0.0046281202908984055,1.3677104376576475e-05,1.833305059361308e-05,3.513756974751764e-05,1.4274738628693378e-05,1.4452735400391526e-05,0.00217787841526016,0.0020450220279535723,0.002089900558423559,3.414379013656723e-05,0.001963846852434257,0.0021411310483916805,0.002044174843387137,9.659017205581489e-05,0.003556616773718627,0.0018776066582246198,0.0023094897005489475,0.0016846020333497738,0.0026608979283356047,0.0021135501090558733,0.0019292358890600303,0.0009188416484338553,0.0024317171088102845,0.003147026411198864,0.0013729109266176496,9.553216942948203e-05,0.0022597680586565723,0.0022894131907707756,9.753003279049414e-05,0.002135774515325777,0.0027642440810199025,0.001694175255546031,0.0024195652945844534,0.0003758179836684692,9.443559176496385e-05,0.002903904332035012,0.0014473647247089344,0.0015103538435669696,0.0024521711434907327,5.5487434308734707e-17,1.3552527156068805e-20,0.0,6.776263578034403e-21,3.3881317890172014e-21,2.7755575615628914e-17,0.0,0.0,4.235164736271502e-22,1.6940658945086007e-20,2.7755575615628914e-17,0.0,5.551115123125783e-17,1.3552527156068805e-20,0.0,0.0,4.235164736271502e-22,0.0,2.2234614865425384e-21,4.235164736271502e-22,4.235164736271502e-22,3.3881317890172014e-21,2.0328790734103208e-20,1.0164395367051604e-20,2.2234614865425384e-21,3.3881317890172014e-21,6.938893903907228e-18,1.6263032587282567e-19,1.0842021724855044e-19,0.0,0.0,2.168404344971009e-19,0.0,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,0.0,1.8634724839594607e-20,3.2526065174565133e-19,2.168404344971009e-19,2.202285662861181e-20,0.0,2.7755575615628914e-17,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,1.0842021724855044e-19,6.938893903907228e-18,6.505213034913027e-19,6.776263578034403e-21,8.470329472543003e-22,2.168404344971009e-19,0.0,2.168404344971009e-19,0.0,3.2526065174565133e-19,5.421010862427522e-20,0.0,8.470329472543003e-22
3,1.7810867659372637e-05,6.980835709891749e-06,0.004641737225838856,5.968484878881523e-06,0.0671939487954882,2.0113402845636137e-05,3.6580214232116175e-06,6.1180133958782225e-06,0.0008718553078518694,9.160679887544654e-06,2.4400175924629067e-06,1.4683220119143542e-07,0.0007444603370435113,3.6458403783380378e-06,5.634588568143032e-06,0.2532532327169139,0.00037901178114962183,0.0021884394747674974,2.1117615890654047e-06,5.21213360262091e-06,0.0007813219817447712,1.7652536755380356e-05,2.3031232529123804e-06,0.24306479966947797,0.000716508644005853,3.0347780081642854e-06,3.7338368153469006e-06,1.0210993408010357e-08,0.0027023801234567803,3.5452556864795267e-06,5.1408211350011775e-06,7.938138292723426e-08,3.4478501198789326e-08,7.959952827713985e-06,0.00013434831459396634,0.00013456011505907057,0.0011469083666003647,1.7293586571191147e-05,0.0001358213318227311,0.00031096218279048926,0.001085573389363118,1.8064172152979317e-07,0.0016915688209711492,0.0009537189796701606,0.0002606666248598825,7.203129651261066e-05,0.0004300512555813694,0.00028931298105404064,0.0011138082453628546,0.00013669884278446557,0.0013315045947416802,0.0004713071566793361,0.0016845213055010394,5.5006184566449995e-05,0.0002117817560233389,0.00026887335447253876,5.6682146068397216e-05,2.9158573642544918e-05,0.00033422414034292146,0.0002397524804858879,0.005389091651944336,0.0011755567882265222,1.6888612553906751e-07,0.0016920387570837523,0.0001823765937662819,0.0002770810540278616,0.005405912735532729,2.786505462406153e-17,0.0,8.470329472543003e-22,2.117582368135751e-22,8.470329472543003e-22,1.0842021724855044e-19,5.293955920339377e-23,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,5.421010862427522e-20,4.235164736271502e-22,5.293955920339377e-23,2.6469779601696886e-23,1.0251869716829087e-22,2.117582368135751e-22,1.3234889800848443e-23,0.0,2.117582368135751e-22,2.117582368135751e-22,4.5546632478701086e-23,2.117582368135751e-22,2.0816681711721685e-17,6.776263578034403e-21,0.0,0.0,1.0842021724855044e-19,1.3552527156068805e-20,5.421010862427522e-20,2.710505431213761e-20,3.3881317890172014e-21,2.710505431213761e-20,0.0,3.3881317890172014e-21,2.710505431213761e-20,6.776263578034403e-21,0.0,1.0842021724855044e-19,3.3881317890172014e-21,0.0,2.168404344971009e-19,6.776263578034403e-21,0.0,2.7755575615628914e-17,2.710505431213761e-20,0.0,0.0,5.293955920339377e-23,2.117582368135751e-22,0.0,2.710505431213761e-20,0.0,1.3552527156068805e-20,3.3881317890172014e-21,4.235164736271502e-22,2.168404344971009e-19,1.0842021724855044e-19,2.710505431213761e-19,0.0,0.0,1.3552527156068805e-20,2.710505431213761e-20,4.235164736271502e-22
4,8.30431793240273e-06,1.8482294773681383e-06,4.534716067429792e-06,1.5606199750012846e-06,3.885777131153456e-06,7.44585916325531e-06,4.531223581240665e-07,5.756686111804756e-07,1.8108948074340653e-05,2.468182743258177e-06,2.9895770430388684e-07,1.5221347384689988e-06,3.6623333324311007e-06,3.7615321007318596e-07,6.184475821925764e-07,1.7599579281979454e-06,2.781186510056781e-06,4.928566341079897e-06,2.3426018263772982e-07,7.762473594723425e-06,1.570311592709412e-05,7.987965552059944e-06,5.163637466798506e-07,1.7067779347458685e-06,3.2218580576698424e-06,3.1429732105045307e-07,3.511732774651572e-07,1.5169694529331218e-06,0.00167313439457316,3.5351274758748803e-07,7.934102287787802e-06,1.6008516455468486e-09,1.4054854827793432e-09,7.710899784770331e-09,4.472658569844674e-05,1.1841470631420652e-08,0.00028693504628404397,2.113612129926742e-06,4.464831569613267e-05,2.5388111096549686e-05,8.889749569865061e-05,1.6202885246917804e-09,0.00028052415191401824,0.0002119595359809873,2.588228250649356e-05,1.4542272658109868e-08,2.3985183132407535e-05,2.5430161316536835e-05,0.00026984110787290196,4.4364544597275415e-05,0.000373560907182169,1.2928911414996561e-05,0.0012931050428679662,1.6585311614197666e-05,1.791031522939675e-05,2.6699664229230415e-05,3.2977424720944915e-09,1.3934297486737629e-09,2.6320905584767506e-05,1.8102587509157837e-05,0.0005038422977710962,0.0002934552408482056,2.1555191650617153e-10,0.0006501735521826171,2.5880806614662124e-05,2.5870934166198066e-09,0.0005171630615942952,0.0,5.293955920339377e-23,5.293955920339377e-23,1.0587911840678754e-22,0.0,2.117582368135751e-22,0.0,0.0,3.308722450212111e-24,1.6940658945086007e-21,8.470329472543003e-22,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,1.6543612251060553e-24,1.4023296322188047e-24,5.293955920339377e-23,8.271806125530277e-25,0.0,6.617444900424222e-24,6.617444900424222e-24,6.656218991637645e-25,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,1.6940658945086007e-21,3.3881317890172014e-21,2.710505431213761e-20,0.0,3.3881317890172014e-21,8.470329472543003e-22,1.2705494208814505e-21,0.0,1.0842021724855044e-19,8.470329472543003e-22,0.0,1.0842021724855044e-19,0.0,1.0587911840678754e-22,2.117582368135751e-22,0.0,1.819797347616661e-23,5.293955920339377e-23,6.617444900424222e-24,0.0,4.235164736271502e-22,1.6940658945086007e-21,0.0,0.0,3.3881317890172014e-21,5.293955920339377e-23,5.421010862427522e-20,0.0,0.0,4.235164736271502e-22,8.470329472543003e-22,0.0,0.0,0.0
5,1.380454706067462e-07,4.192635357668549e-08,6.261631514684885e-08,4.071977221859979e-08,1.5481373488212302e-07,1.337045293939625e-07,6.480988621483271e-08,4.656739334164649e-08,2.5487239075949653e-07,4.292452884709918e-08,4.313647323769267e-08,4.0229881517753854e-08,1.0494350670089418e-07,3.2832601287637455e-08,4.674398940471043e-08,3.7500210826031645e-07,1.024896700296408e-07,8.573998953889819e-09,3.2988281149083984e-08,1.2920889929935273e-07,2.1108871426682063e-07,1.3304912304621437e-07,6.435210347608224e-08,3.4161400011288297e-07,9.253935346929297e-08,3.897547699471299e-08,3.0846203017397526e-08,4.053517925557528e-08,3.6499454221076276e-07,2.9155842716116007e-08,1.3298548239179196e-07,1.002792465330665e-12,1.3458835517439418e-13,9.123399364053522e-13,1.269976887028656e-06,2.509078187772171e-12,5.203007173006522e-06,3.7206222278009204e-08,1.2360170697413479e-06,2.1365791360318126e-06,1.5341067799048474e-06,9.780697469207496e-13,3.636042457994958e-07,3.6647464778873587e-06,1.8898248737695752e-06,4.918013025442141e-12,8.436189181362051e-07,2.1348865914920332e-06,4.940511132384028e-06,1.2318463092467593e-06,4.800544725237069e-07,9.111836822434275e-07,1.8285256398557384e-06,2.8300443689487245e-07,1.7012054258985347e-06,2.5423544012035036e-06,1.6720833194257563e-12,2.4077560966435915e-12,2.218370209805344e-06,1.8355289484796595e-06,2.3468844286289234e-06,5.321741368103638e-06,7.446749867111506e-13,3.693132093882086e-08,1.8898227035994177e-06,4.950876418019913e-12,2.3684457622378196e-06,0.0,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,3.970466940254533e-23,1.3234889800848443e-23,0.0,2.6469779601696886e-23,1.6155871338926322e-27,2.6469779601696886e-23,8.271806125530277e-25,0.0,0.0,3.308722450212111e-24,2.6469779601696886e-23,3.308722450212111e-24,5.2506581851510546e-27,5.2506581851510546e-27,1.055978358515347e-23,4.1359030627651384e-25,4.0389678347315804e-27,0.0,3.6350710512584224e-27,2.4233807008389483e-27,1.0559171429091018e-23,3.2311742677852644e-27,7.940933880509066e-23,2.117582368135751e-22,0.0,8.470329472543003e-22,2.117582368135751e-22,2.117582368135751e-22,8.470329472543003e-22,1.0587911840678754e-22,2.117582368135751e-22,2.117582368135751e-22,2.6469779601696886e-22,1.0587911840678754e-22,0.0,2.117582368135751e-22,5.293955920339377e-23,2.117582368135751e-22,1.0587911840678754e-22,4.235164736271502e-22,2.3161057151484775e-23,1.3234889800848443e-22,0.0,2.6469779601696886e-23,4.235164736271502e-22,4.1359030627651384e-25,3.308722450212111e-24,4.8467614016778965e-27,6.617444900424222e-24,2.117582368135751e-22,1.0587911840678754e-22,6.617444900424221e-23,2.117582368135751e-22,7.940933880509066e-23,6.26040014383395e-27,0.0,1.9852334701272664e-23,1.9852334701272664e-23,1.5881867761018131e-22,1.0587911840678754e-22,2.117582368135751e-22,5.293955920339377e-23,1.3234889800848443e-23
6,1.1107397125824426e-09,2.9321204286664666e-09,3.5887278541539857e-09,2.845853382964789e-09,6.587597919725687e-09,5.84458106433432e-10,1.6398518135206137e-08,4.338476918587049e-10,1.1199042369671966e-08,3.0214271242620477e-09,9.51115840093139e-09,2.8030637190541443e-09,5.199767235068958e-09,3.055832777039904e-10,4.412117647051455e-10,1.5070073146911775e-08,5.039730566674633e-09,6.667927688698856e-10,6.85761588136296e-09,5.499212283264338e-10,8.908570403897029e-09,9.184967559422929e-10,1.6184722980524142e-08,1.3397629895922147e-08,4.467998896466564e-09,8.236766518254547e-09,2.79025949863134e-10,2.822628586865631e-09,3.101082671660078e-08,2.6458903901847956e-10,5.734039899853309e-10,7.415619821418418e-17,2.6531824482096563e-15,3.103539795092846e-16,6.977464889754133e-08,4.209878220736271e-15,9.12553101957434e-09,1.7446972882219868e-10,6.560189541553295e-08,2.887540403197713e-08,7.066362276454079e-09,1.0529354746704409e-16,2.8270142900856885e-08,1.69025292307317e-08,1.0824616514688232e-08,2.633053314663485e-15,8.413339022077407e-09,2.8827477610378262e-08,9.383127267910942e-09,6.56440850374168e-08,3.705612674169913e-08,9.525513129469903e-09,4.779934664449167e-08,1.2882119653419666e-09,1.0757108135240599e-08,1.6094352140400874e-08,8.564698666909786e-16,2.292416277642382e-16,3.052267941316086e-08,1.126629157176999e-08,3.544520376013683e-10,9.717068877546788e-09,4.342546861555392e-16,4.213657378929068e-08,1.0824615384014937e-08,2.6935727219893597e-15,1.586720951238918e-10,3.6964633623463424e-24,0.0,5.169878828456423e-26,0.0,1.0339757656912846e-25,4.1359030627651384e-25,1.4174844390690056e-31,8.271806125530277e-25,2.9582283945787943e-31,0.0,1.0339757656912846e-25,5.169878828456423e-26,1.0339757656912846e-25,7.754818242684634e-26,0.0,5.169878828456423e-26,2.465190328815662e-32,2.2186712959340957e-31,8.788794840377655e-25,3.2311742677852644e-27,0.0,5.169878828456423e-26,9.860761315262648e-31,3.944304526105059e-31,8.788793176374183e-25,1.5777218104420236e-30,2.895132143935597e-24,6.617444900424222e-24,1.6543612251060553e-24,4.1359030627651384e-24,6.617444900424222e-24,1.3234889800848443e-23,4.1359030627651384e-24,1.6543612251060553e-24,9.926167350636332e-24,8.271806125530277e-25,8.271806125530277e-25,1.3234889800848443e-23,1.6543612251060553e-24,4.1359030627651384e-25,0.0,3.308722450212111e-24,8.271806125530277e-25,2.481541837659083e-24,6.617444900424222e-24,2.0679515313825692e-24,0.0,3.308722450212111e-24,2.481541837659083e-24,4.8467614016778965e-27,5.169878828456423e-26,1.6023737137301802e-31,0.0,1.6543612251060553e-24,1.6543612251060553e-24,4.1359030627651384e-25,6.617444900424222e-24,0.0,1.5777218104420236e-30,6.617444900424222e-24,0.0,0.0,2.0679515313825692e-24,6.617444900424222e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0
7,2.396056589889929e-08,2.656513432877868e-09,4.209820792283454e-09,2.5906120262230836e-09,6.703421015638894e-09,1.9405974688551204e-08,1.0554147495514913e-08,5.930725926153444e-10,1.4069727314449072e-08,2.7340180256774223e-09,6.207805995844163e-09,2.5311088604377178e-09,6.549614889808637e-09,4.17864057196506e-10,6.04324106687292e-10,1.3705534502026999e-08,6.280771729653153e-09,8.915193278066768e-10,4.216616655820121e-09,1.843149424270243e-08,1.0762514782352392e-08,2.126816182089204e-08,1.037003147756467e-08,1.1883888105085015e-08,5.428541896515447e-09,5.202150067313013e-09,3.7471373448204145e-10,2.560643254785037e-09,4.149370316225339e-08,3.55159419671614e-10,1.914294023476875e-08,5.4526905937415935e-19,2.367118881404386e-16,1.0360779660191164e-15,9.873760806709273e-09,1.4600715659129993e-16,1.6359495645152144e-08,1.2821467396703374e-10,8.999380295429781e-09,2.539585738891048e-08,5.091787211046541e-09,4.7362689601892713e-17,2.7890029287021944e-08,1.220816811388615e-08,8.124376742586371e-09,1.1439099502203727e-15,6.561965825576291e-09,2.5354668129256498e-08,1.588829931494149e-08,9.026727163454755e-09,3.628082384779569e-08,7.55099064680263e-09,4.276635126351124e-08,9.183292888421496e-10,1.3002123779313481e-08,1.9477458848962475e-08,1.1271691720414717e-15,3.851407787753918e-16,2.7038875013647224e-08,8.227045993089994e-09,5.0494348144283905e-09,1.7025248426721932e-08,7.480515070149563e-16,4.000781141371159e-08,8.124375870563447e-09,2.2819017910112936e-15,4.590652159308477e-09,1.3958672836832342e-24,5.169878828456423e-26,0.0,0.0,1.6543612251060553e-24,4.1359030627651384e-25,0.0,8.271806125530277e-25,1.9721522630525295e-31,0.0,1.0339757656912846e-25,0.0,2.0679515313825692e-25,1.550963648536927e-25,8.271806125530277e-25,1.0339757656912846e-25,1.6023737137301802e-31,1.1093356479670479e-31,5.719178423165039e-25,0.0,1.7256332301709633e-31,0.0,5.9164567891575885e-31,3.944304526105059e-31,5.719178484794797e-25,3.944304526105059e-31,8.271806125530277e-25,1.4889251025954498e-23,8.271806125530277e-25,1.6543612251060553e-24,0.0,1.3234889800848443e-23,1.6543612251060553e-24,2.481541837659083e-24,1.075334796318936e-23,0.0,2.0679515313825692e-25,1.075334796318936e-23,4.963083675318166e-24,4.1359030627651384e-25,6.617444900424222e-24,0.0,3.308722450212111e-24,8.271806125530277e-25,0.0,3.7223127564886245e-24,0.0,0.0,8.271806125530277e-25,1.6155871338926322e-27,2.0679515313825692e-25,9.090389337507753e-32,2.5849394142282115e-26,1.2407709188295415e-24,2.481541837659083e-24,8.271806125530277e-25,1.4889251025954498e-23,3.308722450212111e-24,9.860761315262648e-32,3.308722450212111e-24,0.0,0.0,4.1359030627651384e-24,4.963083675318166e-24,3.308722450212111e-24,3.308722450212111e-24,5.169878828456423e-26
8,1.499950513175219e-08,5.030053284663415e-09,4.549492044973146e-09,4.9061659779656036e-09,6.472467790889047e-09,1.1878276322268249e-08,7.4071608781679654e-09,1.518907657434432e-09,1.1167629472374153e-08,5.190642213972529e-09,4.352464977934015e-09,4.773307235783325e-09,5.413184648594804e-09,1.0705930964229493e-09,1.5437137927105221e-09,1.1802544574315582e-08,5.154789274581131e-09,1.1614601334259044e-09,2.7796420123563834e-09,1.1198362393407495e-08,8.219648421478951e-09,1.2922225086056023e-08,7.238671440567524e-09,9.981336374633353e-09,4.357898132694665e-09,3.527221805943256e-09,9.471814063699753e-10,4.832039534196084e-09,5.2396185206429166e-08,8.959101599685865e-10,1.1671713372134416e-08,1.9513333396974028e-16,8.218000810232271e-16,1.0545072906183645e-15,2.954488207576907e-08,1.710232034294502e-15,2.2130893786738452e-08,1.0231250661643409e-10,2.73682627432714e-08,4.141468752192563e-08,3.986757085141481e-09,2.9129350543310126e-16,2.8098624822915635e-08,9.583235485868474e-09,1.633151674193049e-08,1.1452482442367193e-16,1.2013088748766671e-08,4.135141002332128e-08,2.280190000984903e-08,2.7381971418326088e-08,3.628426904145171e-08,1.3113924288934232e-08,2.8216238367745276e-08,7.115073862919653e-10,1.3479731172586691e-08,2.0218493902038603e-08,9.869724747809963e-16,6.720347046190355e-16,4.424785291822406e-08,1.647832232036326e-08,1.9176183827907e-08,2.297344702508392e-08,3.1398496135840134e-16,3.2460533750030974e-08,1.633151551905416e-08,1.9193234359193448e-15,1.8852385946855247e-08,2.0679515313825692e-25,0.0,0.0,0.0,0.0,4.1359030627651384e-25,1.9721522630525295e-31,8.271806125530277e-25,1.1832913578315177e-30,4.963083675318166e-24,3.101927297073854e-25,0.0,2.0679515313825692e-25,2.0679515313825692e-25,2.481541837659083e-24,0.0,7.395570986446986e-32,6.162975822039155e-32,1.179378626230549e-24,0.0,1.4791141972893971e-31,0.0,2.9582283945787943e-31,7.888609052210118e-31,1.386173742390951e-24,7.888609052210118e-31,1.2407709188295415e-24,4.963083675318166e-24,4.963083675318166e-24,4.963083675318166e-24,3.308722450212111e-24,4.963083675318166e-24,4.963083675318166e-24,4.963083675318166e-24,8.271806125530277e-24,4.1359030627651384e-25,2.481541837659083e-24,6.617444900424222e-24,4.963083675318166e-24,2.481541837659083e-24,9.926167350636332e-24,0.0,4.1359030627651384e-24,4.963083675318166e-24,0.0,3.308722450212111e-24,8.271806125530277e-25,0.0,6.617444900424222e-24,4.0389678347315804e-27,2.0679515313825692e-25,7.395570986446986e-32,1.0339757656912846e-25,3.308722450212111e-24,4.963083675318166e-24,4.1359030627651384e-25,4.963083675318166e-24,1.6543612251060553e-24,1.5777218104420236e-30,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,2.481541837659083e-24,1.6543612251060553e-24,8.271806125530277e-25,1.6543612251060553e-24,0.0
