,Y4Z3,Y3Z4,Y0Z3,Y3Z0,Y1Z2,Y2Z1,Y5Z3,Y3Z5,Y4Z5,Y5Z4,Y2Z5,Y5Z2,Y2Z0,Y0Z2,Y1Z0,Y0Z1,Y1Z3,Y3Z1,Y1Z5,Y5Z1,Y1Z4,Y4Z1,Y2Z3,Y3Z2,Y0Z5,Y5Z0,Y0Z4,Y4Z0,Y2Z4,Y4Z2,standard_x,X2X3,X1X3,X3X5,X0X5,Y2Y3,X2X4,X0X4,Y0Y5,X1X5,Y3Y5,Y1Y3,X1X4,Y0Y4,X0X3,Y1Y5,X3,Y2Y4,X4X5,X0X1,X3X4,X0X2,X2X5,Y0Y1,Y4Y5,Y1Y4,Y0Y3,Y3Y4,Y0Y2,X1X2,Y2Y5,X5,Y1Y2,X4,X0,X2,X1,standard_y,X2Y1,Y3,X5Y0,X2Y3,X0Y3,Y5,Y4,Y2,Y0,X5Y1,X4Y3,X4Y2,X4Y1,X3Y2,X2Y5,X2Y4,X2Y0,X1Y3,X0Y5,X1Y0,X3Y1,X1Y5,X0Y1,Y1,X3Y5,X3Y4,X1Y4,X1Y2,X3Z5,X3Z0,X3Z1,X1Z2,X0Z2,X5Z4,X5Z1,X5Z0,X2Z5,X2Z3,X2Z1,X2Z0,X1Z0,X0Z1,X4Z5,X4Z3,X1Z5,X1Z4,X1Z3,X0Z5,X0Z4,X3Z2,X2Z4,X4Z2,X5Z3,X5Z2,X5Y4,X5Y3,X5Y2,X4Z1,X4Z0,X4Y5,X4Y0,X3Z4,X3Y0,X0Z3,X0Y4,X0Y2
0,0.8936547878437595,0.8935458928082578,0.8096238733299059,0.8095196455603657,0.6930696659959499,0.6930622329486704,0.6886867378336823,0.6886113114545638,0.634666079814159,0.6346582514088097,0.6316966770493231,0.6316760550512837,0.5565982257689188,0.5565907514768573,0.49440644907248765,0.4943945075003411,0.4860871519022002,0.4860128346757603,0.40543038300052564,0.40541279933374486,0.35928187089531033,0.3592707202268794,0.32973752005177115,0.32969064256049563,0.32090261882962245,0.32089645189863647,0.32055077307709556,0.3205485668255636,0.16755540972889912,0.16755200645879165,0.09276573335487905,0.03382204861769172,0.0305567795081656,0.02868643116449216,0.027533265918597,0.02744727669541743,0.02731518176928256,0.0267165234641285,0.026264445238482058,0.0246961545358083,0.024649570875319875,0.024583834520767137,0.024580630725375623,0.02396449773688455,0.023782948981157404,0.02318810993966923,0.02273902084800275,0.02246274872987855,0.021996231502537288,0.021814492746666206,0.02137916386876361,0.021222187828495116,0.020718190567893195,0.020494774410478922,0.019399936380704103,0.019328921797553314,0.018629271025629418,0.01853357038168709,0.01732372804895905,0.01620166284673643,0.015863513752155358,0.015439277401518722,0.01503865626167682,0.014617164883895906,0.014158412940479675,0.013263358305652586,0.012548498975329406,1.1102230246251565e-16,9.71445146547012e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.380176776841438e-17,4.163336342344337e-17,4.163336342344337e-17,3.946495907847236e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,3.903127820947816e-18,3.469446951953614e-18,1.734723475976807e-18,1.3010426069826053e-18,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0002881845411269341,0.00028375460498778794,0.4942576414443134,0.00025860475355918966,0.6908599641817288,0.6885862079408951,0.06324234969279217,0.00021666147616385346,0.0002016493874010737,0.042217230471999254,0.6276175788204026,0.6215606798859414,0.5530046674797149,0.5566413286829115,0.49283156121633664,0.49443984505818606,0.13218000262935425,0.0001525970780937888,0.4041393304182034,0.3989218744916462,0.1185726313380413,0.00011293555599277153,0.1638222683160133,0.00010407901697064728,0.3209326156293143,0.31575893195339755,0.4760066728107677,0.00010065283341272312,0.15584345990736265,5.2468366582555056e-05,0.03259724873003235,0.001025732034249564,0.0010169452418344938,0.0010133107992741268,0.012656899549382605,0.0006818281770346257,0.0009010016692760678,0.0009855675801894955,0.010712664810921032,0.011606632666612344,0.0008916039729521242,0.0007119496532782241,0.0009144351168473787,0.0009053042891660123,0.0009506120805233094,0.011217013282000098,0.0010455087271620679,0.0007715069374799864,0.0008986799982597885,0.01229663570048503,0.0022128683940686395,0.013904738300183711,0.010082420847271269,0.010822729340418528,0.0009234062889147297,0.0007825795509921597,0.0006362630780055727,0.002703452922494863,0.01164636272096153,0.010811898379237257,0.008624951654092272,0.006295114826358573,0.010274664443674864,0.000886509018474002,0.008400572236120313,0.011336815519115672,0.008496763894073858,2.776912814278498e-17,4.163336342344337e-17,1.3552527156068805e-20,0.0,4.0657581468206416e-20,1.3552527156068805e-20,2.7755575615628914e-17,0.0,5.551115123125783e-17,2.7755575615628914e-17,0.0,2.7755575615628914e-17,2.710505431213761e-20,6.776263578034403e-21,1.3552527156068805e-20,0.0,0.0,0.0,2.710505431213761e-20,2.7755575615628914e-17,1.1011428314305904e-18,6.776263578034403e-21,0.0,8.47371760433202e-18,2.7755575615628914e-17,6.776263578034403e-21,0.0,6.776263578034403e-21,5.551115123125783e-17,2.710505431213761e-20,0.0,0.0,4.336808689942018e-19,0.0,4.0657581468206416e-20,0.0,0.0,0.0,2.168404344971009e-19,1.734723475976807e-18,1.734723475976807e-18,0.0,0.0,0.0,2.710505431213761e-20,2.168404344971009e-19,1.6263032587282567e-19,1.0842021724855044e-19,0.0,4.336808689942018e-19,6.776263578034403e-21,2.168404344971009e-19,0.0,5.421010862427522e-20,0.0,6.776263578034403e-21,2.710505431213761e-20,5.551115123125783e-17,0.0,2.710505431213761e-20,6.776263578034403e-21,0.0,0.0,0.0,4.336808689942018e-19,1.3552527156068805e-20,0.0
2,3.948727211844368e-05,4.085579878035076e-05,0.501374632841612,3.697891423426732e-05,0.00014937569220707555,0.00018941611540736154,0.07583983381405991,3.194554248026124e-05,2.8623456081312138e-05,0.02675631190290509,0.00017676443931054334,0.222847897253117,0.00016512993854012834,0.06699135771955575,0.00011816554654338225,0.056766622315047845,3.621356234436193e-05,6.545274902945161e-06,9.994276336536148e-05,0.21307906462974568,2.8118322231494055e-05,8.113520243560132e-06,5.435148375648651e-05,6.250727282983362e-06,0.32093547472011885,0.3106705388409782,0.45806733489010987,1.4683779562860365e-05,4.8252528407111806e-05,7.97471734606143e-06,0.01818640136566623,1.6944109319382904e-05,1.8064942875923132e-05,0.00010240668331984391,0.005641416530374296,4.141135312429944e-05,1.7962653444403494e-05,0.00010486801786227301,0.002604488874015166,0.004813540451966629,9.099747633448861e-05,4.191354515054152e-05,1.7217784310995064e-05,8.998994245909797e-05,9.621771044314917e-05,0.004291246511853471,0.00010792486029899924,4.178615723449842e-05,9.360619676915255e-05,0.004656262617484461,0.0032306973656415776,0.004923340398466754,0.004495510571062809,0.004582237332744574,9.510289288899848e-05,4.230262704972336e-05,5.773774575260815e-05,0.003803820493592858,0.004331469450775131,0.0013647845554786687,0.0035110959711940294,0.003178242709793195,0.0015533509399573335,9.36266637459643e-05,0.005632620237940183,0.005076183173341266,0.00450090676863655,2.778013957109929e-17,0.0,4.235164736271502e-21,6.938893903907228e-18,0.0,8.470329472543003e-22,2.7755575615628914e-17,1.6940658945086007e-21,1.3552527156068805e-20,0.0,0.0,1.3877787807814457e-17,0.0,5.293955920339377e-23,0.0,1.3552527156068805e-20,4.235164736271502e-22,0.0,5.293955920339377e-23,0.0,1.36195287856856e-21,1.0587911840678754e-22,0.0,9.140345768710956e-23,1.6940658945086007e-20,8.470329472543003e-22,0.0,1.0587911840678754e-22,1.0408340855860843e-17,1.6940658945086007e-21,3.3881317890172014e-21,6.776263578034403e-21,3.2526065174565133e-19,4.336808689942018e-19,5.421010862427522e-20,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,3.2526065174565133e-19,4.336808689942018e-19,2.168404344971009e-19,0.0,4.336808689942018e-19,1.6940658945086007e-21,0.0,1.0842021724855044e-19,5.421010862427522e-20,2.710505431213761e-20,1.0842021724855044e-19,2.168404344971009e-19,1.3552527156068805e-20,5.421010862427522e-20,6.776263578034403e-21,1.0842021724855044e-19,2.168404344971009e-19,8.470329472543003e-22,0.0,1.3552527156068805e-20,6.776263578034403e-21,6.776263578034403e-21,0.0,6.352747104407253e-22,3.3881317890172014e-21,8.470329472543003e-22,4.336808689942018e-19,1.6940658945086007e-21,0.0
3,3.424748039457064e-05,3.0404112023987867e-05,0.00030275130654532523,3.0584780208875876e-05,2.0683194858944506e-05,2.3503785406355606e-05,0.21694751825340414,2.4319460505235794e-05,3.5346613400044324e-05,0.2742754034804997,2.269699367646663e-05,0.22297045804589635,1.5059085210657658e-05,3.8327650874794356e-05,1.2204486917956329e-05,2.776399070478382e-05,1.3022880131021222e-05,1.0200161208735608e-06,1.4827662868217502e-05,0.20386178570966362,1.3606622461126064e-05,7.639852188673445e-06,1.5585715899875308e-05,4.7606467279374626e-07,0.0001823772503643279,0.21823073243165314,0.00026532541957141576,3.621911343690883e-05,1.5497615190954155e-05,7.1096980857235335e-06,0.005129363607103548,3.9052798993623007e-07,3.588126416295215e-07,0.0005169588948366452,0.002505716791488613,1.850572008759732e-07,4.780306573745345e-05,0.0005452181897468589,0.002151066527923423,0.0004485013268528768,0.0002888764591485568,1.6750233986475865e-07,5.701320821782319e-05,0.0005444871893209444,0.0006891786357942141,0.0004151337232057825,0.0005430258360978024,0.0004427618219250278,0.0006709268963692992,0.00017013586737949865,0.002042782725485387,0.00015878405188337884,0.00040663808659266226,0.000289633433424778,0.0006886763844044639,0.0004486562526580999,0.0006888975399132018,0.0022393172509898025,0.00028581581722981586,0.000997658412207543,0.0003382438613926084,0.002330216075825625,0.0011523141856130995,0.0008602619908883065,0.0033053760278185236,0.0004710388888861484,0.0004260204415593601,0.0,1.734723475976807e-18,0.0,1.6940658945086007e-21,4.235164736271502e-22,8.470329472543003e-22,0.0,8.470329472543003e-22,0.0,0.0,0.0,2.710505431213761e-20,8.470329472543003e-22,0.0,4.235164736271502e-22,0.0,0.0,8.470329472543003e-22,4.235164736271502e-22,6.776263578034403e-21,4.6528909456107807e-23,8.470329472543003e-22,1.2705494208814505e-21,1.122897681540735e-22,8.470329472543003e-22,8.470329472543003e-22,1.3552527156068805e-20,0.0,8.673617379884035e-18,6.776263578034403e-21,0.0,0.0,2.710505431213761e-20,0.0,0.0,2.168404344971009e-19,1.0842021724855044e-19,0.0,2.710505431213761e-20,0.0,5.421010862427522e-20,1.3552527156068805e-20,0.0,2.710505431213761e-20,2.710505431213761e-20,0.0,1.3552527156068805e-20,4.0657581468206416e-20,2.710505431213761e-20,0.0,0.0,2.710505431213761e-20,5.421010862427522e-20,1.0842021724855044e-19,2.168404344971009e-19,1.6940658945086007e-21,0.0,1.6940658945086007e-21,0.0,0.0,8.470329472543003e-22,8.470329472543003e-22,2.710505431213761e-20,2.541098841762901e-21,0.0,2.6469779601696886e-22,0.0
4,2.5731124021014136e-05,1.5777332525093447e-05,3.599369513003908e-05,1.371876862795163e-05,7.049942783767108e-06,3.973943582273601e-06,1.3094873444685646e-05,1.206210818851732e-05,2.5809694717722256e-05,1.096184662083498e-05,3.221644658476166e-06,5.903230393358479e-06,4.158239019921085e-06,1.3764578430458593e-05,5.717272387368457e-06,1.0407821490652855e-05,4.859053319264759e-06,2.785020591054661e-06,3.433778377530698e-06,6.666142083372019e-06,5.149948701447087e-06,4.713846693904155e-06,3.806370478125151e-06,2.194220791197645e-06,3.20489508875989e-05,1.2251475998737322e-05,3.2708801825810554e-05,2.518248420417331e-05,3.841354555124217e-06,4.000129246280324e-06,0.005445294658285957,1.6716870777737095e-07,1.876327397550947e-07,7.344102275728004e-07,0.00047919370713759505,1.7432162642832244e-07,3.363636274253781e-07,7.101339308102705e-07,0.0007102124149136605,0.00022896734668264999,7.427522185761071e-07,1.9582984385981053e-07,3.1358457137984175e-07,7.161867437899274e-07,0.00019026286609665768,0.00022672137483120358,0.0003977188084824596,3.281413978322967e-07,9.326192808408493e-05,0.00031610386919285146,0.0005797817189414952,0.0003583877411023,0.0001768144641021506,0.0004423209742472987,0.0001534567158141278,2.7920290293814103e-07,0.0001902749940667351,0.0005380758255537026,0.00043575948907520473,0.0006333093981666046,0.00022357501344781713,0.0013820868131856467,0.0006404895660671848,0.0008340790572579097,0.0021646938620662366,0.00037745921769867513,0.00028925689959502857,1.4823076576950256e-21,6.938893903907228e-18,8.470329472543003e-22,8.470329472543003e-22,0.0,0.0,2.541098841762901e-21,8.470329472543003e-22,4.235164736271502e-22,1.6940658945086007e-21,4.235164736271502e-22,0.0,8.470329472543003e-22,4.235164736271502e-22,4.235164736271502e-22,0.0,8.470329472543003e-22,0.0,2.117582368135751e-22,1.0587911840678754e-22,1.9244873938929034e-23,0.0,2.117582368135751e-22,3.9161832125557404e-24,2.117582368135751e-22,4.235164736271502e-22,0.0,0.0,6.938893903907228e-18,1.3552527156068805e-20,4.0657581468206416e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,2.168404344971009e-19,0.0,0.0,1.3552527156068805e-20,1.3552527156068805e-20,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,2.710505431213761e-20,5.421010862427522e-20,1.6263032587282567e-19,0.0,4.235164736271502e-22,8.470329472543003e-22,4.235164736271502e-22,0.0,5.421010862427522e-20,8.470329472543003e-22,1.0587911840678754e-22,1.3552527156068805e-20,4.235164736271502e-22,0.0,6.352747104407253e-22,1.6940658945086007e-21
5,2.5279916863132203e-08,4.4373004579694636e-08,4.727501347299743e-06,4.706583747698087e-08,9.380083459589978e-07,8.841851689524626e-07,2.5171753907208103e-06,2.694386430555147e-08,2.4923529590513874e-08,3.980894080340726e-06,2.9189419822825276e-07,3.090906254114215e-06,1.0244961585863995e-07,6.814453403936618e-07,8.899466813739014e-08,4.481823260751038e-07,5.8453817930159205e-08,1.3324346895688728e-08,7.51422545090861e-09,2.5774289221182583e-06,9.191784266248891e-08,8.16021220046451e-09,1.2078138670226244e-07,1.0603032446101885e-08,4.241471588483945e-06,2.9349225183023232e-06,4.186530606303614e-06,2.462088395240364e-08,1.6668559835998997e-07,7.631882798886321e-09,8.383346316651027e-06,2.7338042847482475e-11,3.367711993544494e-11,1.256706290446713e-10,7.607130501433113e-07,4.619093325000703e-11,1.8486427498671142e-11,1.2565133018685463e-10,1.2437901142218339e-06,1.1478102003946152e-05,6.233425546385127e-11,5.331200586409185e-11,1.3281751088848902e-11,1.3440609901072952e-10,1.4797911991099652e-06,1.132217994659227e-05,7.037662320768382e-06,2.8087572696798838e-11,7.080876714418821e-07,1.5869997992354264e-05,1.030528217344664e-06,1.7913166788510482e-05,8.890281714641877e-06,2.220727765128266e-05,1.163063468415442e-06,2.860828707804594e-11,1.479801415205365e-06,9.605580532950169e-07,2.183890495921225e-05,0.001018782367985198,1.115627892744568e-05,1.1707623571944263e-06,0.0010476507632078446,4.40330190237879e-06,1.677282251315083e-06,2.3261193103890024e-06,1.2380184902277996e-06,2.961306592939839e-22,6.938893903907228e-18,6.617444900424222e-24,0.0,3.877409121342317e-26,7.940933880509066e-23,0.0,2.481541837659083e-23,0.0,2.3822801641527197e-22,2.6469779601696886e-23,8.271806125530277e-25,5.169878828456423e-26,6.462348535570529e-27,2.261821987449685e-26,2.6469779601696886e-23,3.877409121342317e-26,0.0,1.6155871338926322e-26,4.1359030627651384e-25,2.7835051704032028e-24,6.462348535570529e-27,3.970466940254533e-23,2.1795785049149632e-24,3.970466940254533e-23,2.5849394142282115e-26,1.6543612251060553e-24,6.462348535570529e-27,2.7755575615628914e-17,2.117582368135751e-22,1.2705494208814505e-21,4.235164736271502e-22,8.470329472543003e-22,7.411538288475128e-22,2.117582368135751e-22,1.0587911840678754e-22,1.0587911840678754e-22,4.235164736271502e-22,1.2705494208814505e-21,1.2705494208814505e-21,1.2705494208814505e-21,2.117582368135751e-22,6.352747104407253e-22,1.0587911840678754e-21,1.0587911840678754e-21,2.6469779601696886e-22,2.6469779601696886e-22,5.293955920339377e-22,8.470329472543003e-22,1.6940658945086007e-21,8.470329472543003e-22,1.2705494208814505e-21,4.235164736271502e-22,0.0,2.117582368135751e-22,5.293955920339377e-23,5.169878828456423e-26,5.293955920339377e-23,0.0,1.164670302474663e-21,7.940933880509066e-23,2.5849394142282115e-26,8.470329472543003e-22,7.940933880509066e-23,8.470329472543003e-22,5.169878828456423e-26,0.0
6,8.24906140912532e-05,0.0003223041807796773,0.003056533446696322,0.0003131893324388305,0.0023281533877437576,0.005094809089054521,0.010977959294017663,0.0003247347303100238,8.304213551309481e-05,0.011083915043909244,0.004711207217415773,0.009073787600878815,0.0037431033866720635,0.0019096803380622086,0.001304817504244933,0.0018811294705311835,0.0012282030393365444,6.060528254080635e-06,0.00121752047416939,0.00952198846653663,0.0014087039608679673,5.921108131477821e-06,0.003756287672581942,2.7676291633202637e-05,0.0028065953843324967,0.01152442469522794,0.002714574877405186,8.000588253211448e-05,0.003997444676300919,7.127590785112706e-06,0.008993365360672554,9.817259710689742e-07,3.974158984700055e-06,1.2806718270267124e-05,0.00013287783652498881,7.157093509339769e-07,1.677691628121299e-05,3.7290565643484394e-05,0.00011984872461447534,0.006348806519849143,4.823954386934928e-05,3.242861806788357e-06,1.8774494450864814e-05,3.639151769202102e-05,8.19640782609898e-06,0.006438399540585338,2.031453390622037e-06,1.896728872483835e-05,0.0001384675530660157,0.0005714971068251601,0.0003890773283732002,0.004887094021182283,0.0009613008281361825,0.0011051114399544585,0.0001005663624054006,2.4648528915859808e-05,7.520513721484221e-06,0.0003522662697099514,0.004868334929988732,0.00011244613803469538,0.0008284063361730708,0.003993307365186002,9.843989364529298e-06,0.00021746477405183473,0.002446942160962498,0.0030386232986128097,0.0007050036915312113,2.337810934421869e-19,6.938893903907228e-18,1.3552527156068805e-20,5.421010862427522e-20,4.235164736271502e-22,1.3552527156068805e-20,0.0,1.5924219408380846e-19,4.336808689942018e-19,7.589415207398531e-19,1.7957098481791167e-19,2.168404344971009e-19,3.3881317890172014e-21,1.4823076576950256e-21,9.529120656610879e-22,2.710505431213761e-20,3.3881317890172014e-21,1.734723475976807e-18,4.235164736271502e-22,5.421010862427522e-20,1.0104507490702765e-19,8.470329472543003e-22,1.9481757786848908e-19,2.7703933075626e-20,5.421010862427522e-20,8.470329472543003e-22,2.168404344971009e-19,8.470329472543003e-22,2.7755575615628914e-17,1.3552527156068805e-20,2.710505431213761e-20,5.844527336054672e-20,4.70950318673391e-19,2.168404344971009e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,4.336808689942018e-19,2.168404344971009e-19,6.505213034913027e-19,2.168404344971009e-19,5.149960319306146e-19,4.336808689942018e-19,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-19,5.692061405548898e-19,5.149960319306146e-19,2.168404344971009e-19,2.168404344971009e-19,5.378659215064807e-20,4.336808689942018e-19,6.776263578034403e-20,1.0842021724855044e-18,4.336808689942018e-19,1.3552527156068805e-20,4.235164736271502e-21,4.0657581468206416e-20,0.0,1.0842021724855044e-19,0.0,1.6940658945086007e-21,2.202285662861181e-20,1.5246593050577406e-20,0.0,8.470329472543003e-22,3.469446951953614e-18
7,0.0001276576476645453,0.00107736798948245,0.0025931977251770328,0.0010386010160775556,0.0020091325895456266,0.004233857798079705,0.0007584516043681681,0.000987450557381205,0.00013405013741169582,0.0011522654654927563,0.003887548770947119,0.0022019769212767116,0.0028027426700465274,0.0012942116105492702,0.0011568133534513416,0.001311545109353906,0.0010640813211555105,5.6669403964349245e-05,0.0007833270605079084,0.00034041554340964774,0.0011472157478289076,0.00021829111956536018,0.002865370724642163,6.205675472461755e-05,0.0023722945942718406,9.138801853531697e-05,0.002263516313462016,0.00011752449216119759,0.0028509821045193404,0.0002272412860673797,0.009590573658700044,1.1609999743138408e-06,5.935795093155118e-06,0.00014697127848000173,2.0470525523223296e-07,1.6990906526657498e-06,0.00011516051394384701,0.00034084710214284407,2.6865262928824855e-05,0.0038513022818845864,0.00026980466776019654,6.532203368490507e-06,8.157746648545041e-05,0.0003377974067971123,1.3592990581448839e-05,0.003914025083106273,9.592276865254348e-05,0.0001359618721953383,0.0006343946274902697,0.0010401925581883255,0.0002257963959690819,0.006859438980813432,0.0006553717634971241,0.0014005336783270142,0.00046370148262314973,0.0001235374132954537,1.1838181097696237e-05,0.0001785919395100073,0.00677995291884691,0.00024338060395186353,0.0005628333878243551,0.0040442491797059495,9.518666266954782e-05,0.0007804000298776325,0.002258164747290134,0.0032522585784177938,0.000840421645244008,2.72405795836983e-18,1.0408340855860843e-17,2.168404344971009e-19,5.421010862427522e-20,3.3881317890172014e-21,2.710505431213761e-20,1.4907779871675686e-18,3.6591823321385775e-19,4.336808689942018e-19,9.75781955236954e-19,3.2526065174565133e-19,5.421010862427522e-20,0.0,1.0164395367051604e-20,8.470329472543003e-22,2.710505431213761e-20,2.710505431213761e-20,8.673617379884035e-19,0.0,1.0842021724855044e-19,4.579321501930314e-19,2.541098841762901e-21,3.2526065174565133e-19,3.552194791710969e-19,5.421010862427522e-19,2.710505431213761e-20,5.421010862427522e-20,3.3881317890172014e-21,6.938893903907228e-18,1.3552527156068805e-19,1.2874900798265365e-19,1.7618285302889447e-19,3.2187251995663413e-19,1.5178830414797062e-18,1.6263032587282567e-18,4.336808689942018e-19,1.3010426069826053e-18,2.168404344971009e-19,0.0,2.168404344971009e-19,2.168404344971009e-19,8.131516293641283e-20,8.673617379884035e-19,1.0842021724855044e-19,1.0842021724855044e-19,3.2526065174565133e-19,1.8973538018496328e-19,1.0842021724855044e-19,6.505213034913027e-19,4.336808689942018e-19,1.7618285302889447e-19,1.0842021724855044e-18,2.710505431213761e-19,0.0,8.673617379884035e-19,0.0,2.710505431213761e-20,6.776263578034403e-20,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,0.0,1.8295911660692887e-19,3.7269449679189215e-20,1.0842021724855044e-18,0.0,0.0
8,0.0005328625188674751,0.0011285907454415608,0.0006743393043174918,0.0010888581712739259,0.001511445502859521,0.0018699297050290488,0.0013375462962879963,0.0007046940528511105,0.0005249265858000237,0.002864629217190229,0.0014782654114946462,0.005911831611603793,0.0005330815142706388,0.0003623126214983893,0.001288332137486589,0.0003069615357032033,0.001234233156773764,0.00018887900563710786,0.0005325628202457768,0.0025915298529968402,0.0010571124720679982,0.001269935660335683,0.0006526685169505027,0.0001240984994627569,0.0006642863092277717,1.8638601762572464e-05,0.0006589016333645567,0.0005343350278393352,0.00030748316377072555,0.0013162584672524943,3.816440818243342e-05,8.112583712098228e-06,1.1547033498315444e-05,0.00011121861385151568,0.0002054952607515966,1.83988323982508e-05,0.0001395532760747909,0.00033877277722488893,0.00017634654806628492,0.0008010193350832045,4.807377050443129e-05,8.809252206046142e-06,1.6496218211194576e-05,0.00033752110051750374,1.9011308573235604e-06,0.0008234175723184048,0.00283790482304925,0.00016430680101932164,0.0007109575041390577,0.0014545660615337278,7.301340057603605e-05,0.007968374686445474,0.00025959995222727696,0.0018957047834455162,0.00047189102073515047,6.183556314527079e-05,1.5873696893626863e-06,5.2883792568439306e-05,0.007855771280861156,0.0006664267579729444,0.00025014268823217336,0.006065981553980904,0.0007555291018168785,0.004188950144716854,0.0014412989113131377,0.003211483453977518,0.0037300733596878897,3.63207727782644e-18,1.0408340855860843e-17,1.8973538018496328e-19,0.0,5.929230630780102e-21,1.3552527156068805e-20,4.119968255444917e-18,0.0,4.336808689942018e-19,5.149960319306146e-19,5.421010862427522e-19,1.0842021724855044e-19,1.3552527156068805e-20,6.098637220230962e-20,1.5246593050577406e-20,3.5236570605778894e-19,1.3552527156068805e-20,0.0,1.0164395367051604e-20,1.0842021724855044e-19,2.478200027984369e-19,1.5246593050577406e-20,5.421010862427522e-19,9.438130789230046e-20,3.7947076036992655e-19,8.131516293641283e-20,5.421010862427522e-20,2.0328790734103208e-20,3.469446951953614e-18,8.673617379884035e-19,1.5178830414797062e-18,2.168404344971009e-19,4.336808689942018e-19,3.2526065174565133e-19,1.951563910473908e-18,1.734723475976807e-18,2.168404344971009e-18,6.505213034913027e-19,6.505213034913027e-19,1.951563910473908e-18,6.505213034913027e-19,4.336808689942018e-19,2.168404344971009e-19,8.673617379884035e-19,1.3010426069826053e-18,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-19,1.951563910473908e-18,1.5178830414797062e-18,4.336808689942018e-19,6.505213034913027e-19,6.505213034913027e-19,1.5178830414797062e-18,1.3010426069826053e-18,2.168404344971009e-19,1.0842021724855044e-19,4.336808689942018e-19,0.0,1.0842021724855044e-18,3.7947076036992655e-19,2.710505431213761e-19,2.168404344971009e-18,1.3552527156068805e-20,1.734723475976807e-18,1.0842021724855044e-19,4.336808689942018e-19
