,Y3Z4,Y4Z3,Y0Z4,Y4Z0,Y1Z4,Y4Z1,Y2Z3,Y3Z2,Y2Z4,Y4Z2,Y5Z3,Y3Z5,Y5Z4,Y4Z5,Y0Z5,Y5Z0,Y5Z2,Y2Z5,Y0Z2,Y2Z0,Y1Z5,Y5Z1,Y0Z3,Y3Z0,standard_x,Y1Z0,Y0Z1,Y1Z2,Y2Z1,Y1Z3,Y3Z1,X4X5,X2X4,X3X4,Y4Y5,X0X3,X4,Y2Y4,Y0Y3,X0X4,X1X3,X3X5,X2X5,X1X4,Y2Y5,X0X2,X2X3,X1X2,Y3Y5,Y3Y4,Y2Y3,X1X5,X0X5,X3,Y0Y2,X0X1,Y1Y3,Y0Y5,Y0Y4,X2,Y0Y1,X5,Y1Y2,Y1Y5,X0,X1,Y1Y4,X5Y4,X3Y4,X2Y4,X1Y2,Y5,Y4,X1Y5,X1Y4,X5Y0,X2Y0,standard_y,Y0,X5Y2,X4Y2,X3Y5,X0Y5,X1Y3,X5Y3,X0Y1,X3Y1,X1Y0,Y3,Y2,X4Y5,X3Y0,X5Y1,X4Y3,X4Y1,X4Y0,X2Y3,X0Y3,X2Y1,X0Y2,X5Z0,X4Z5,X4Z3,X4Z2,X3Z0,X2Z0,X0Z1,X5Z2,X3Z5,X3Z2,X5Z4,X5Z3,X2Z4,X3Z4,X2Z3,X1Z3,X2Z5,X1Z5,X0Z4,X0Z2,X1Z2,Y1,X5Z1,X4Z1,X4Z0,X3Z1,X3Y2,X2Z1,X2Y5,X1Z4,X1Z0,X0Z5,X0Z3,X0Y4
0,0.8556493354457412,0.8555315329368001,0.7520395508634101,0.7518645534769899,0.7359108395241638,0.7356910176846272,0.7336343416431658,0.7336030097855184,0.6303398501958715,0.6302261492913751,0.6024678160214523,0.602430153707906,0.5732696197230918,0.5731548605952566,0.5112206692435575,0.5112040430208318,0.5041988234974173,0.5041888371934584,0.4131869871711512,0.4131653657418959,0.15433681741644817,0.1543216079032123,0.11048805269793475,0.11047755243266934,0.08396989568066873,0.06687824387567615,0.06687382811905068,0.04966972707627222,0.04966384855568297,0.044803633044467744,0.04479641715598247,0.03139040370220212,0.0313367465331232,0.027487069776628015,0.026627611203739108,0.02637683910114926,0.025655768290065446,0.025282311381305662,0.025153938070219733,0.024487296577286023,0.022181823603849432,0.021529719576762866,0.020858010317271608,0.020568516549999506,0.02044762660390846,0.02036123658955384,0.01934440427764117,0.019326255112979855,0.01847923266258974,0.018478949033720743,0.0178232395450299,0.017579232341898288,0.017228778941627585,0.0164796250471766,0.016325501674628692,0.015798384666620615,0.015330841337539255,0.0143287329997485,0.013946482448979718,0.013633005435755251,0.013156778642681539,0.012312834805203697,0.012044654763679958,0.01016270268814783,0.01014500959665211,0.005743652505815613,0.004168566196866685,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.42861286636753e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.734723475976807e-17,1.734723475976807e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,3.469446951953614e-18,3.469446951953614e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,7.589415207398531e-19,5.421010862427522e-19,5.421010862427522e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00017745911443647574,0.00017358667519765326,0.6429882657924415,0.00015655671137641553,0.6894409494102693,0.00015370819797166175,0.1107265944345508,0.00015041879063367884,0.09319154124924842,0.00012449803321130495,0.03602351792967366,0.00012227713544989615,0.021055205836096463,0.00011348288273931584,0.5112397998410345,0.5030037203435909,0.496111031037452,0.5009869331393353,0.41320291070323656,0.41054183727941873,0.15383802399263025,0.1518465376120415,0.631826998863968,2.1941642580771872e-05,0.02003253403124118,0.06666211965386068,0.0668765360131445,0.049509223447810946,0.049348597963377996,0.6793714017892052,8.892782202079494e-06,0.0009957069163070548,0.0010384972828541028,0.008059234964316755,0.0008709815023200875,0.0010409087203647818,0.0009978048728363571,0.0009629657028839898,0.0008195626734584503,0.0009547343330427315,0.0010125970183429563,0.0009736503409500893,0.00456450563152973,0.0009749841807698198,0.0043178039584660585,0.008956436527289327,0.0009461128008604522,0.008906516929764727,0.0008612049328994137,0.008482424623693259,0.0009157446386924217,0.009301695437564834,0.008071908384454821,0.000995924588749416,0.003514098430237528,0.0125821262240559,0.00048584523434579987,0.0035911452658308135,0.0004827756693930644,0.004248763698804135,0.010127406827500423,0.0050853737387231285,0.0004718001513038815,0.0005862163213560561,0.007943705349535833,0.004748420705763858,0.00012800962025081553,1.3552527156068805e-20,5.551115123125783e-17,1.3552527156068805e-20,1.3877787807814457e-17,2.7755575615628914e-17,1.3552527156068805e-20,2.7755575615628914e-17,6.776263578034403e-21,6.938893903907228e-18,4.163336342344337e-17,5.899669180920927e-17,6.938893903907228e-18,1.3877787807814457e-17,0.0,0.0,1.3877787807814457e-17,2.541098841762901e-21,1.6940658945086007e-21,5.9631119486702744e-18,4.235164736271502e-22,1.8187491443444337e-17,2.541098841762901e-21,4.163336342344337e-17,6.776263578034403e-21,1.6940658945086007e-21,2.7755575615628914e-17,0.0,4.235164736271502e-21,6.776263578034403e-21,4.235164736271502e-21,8.470329472543003e-22,2.0816681711721685e-17,3.469446951953614e-18,4.336808689942018e-19,2.710505431213761e-20,0.0,0.0,0.0,2.168404344971009e-19,0.0,2.168404344971009e-19,2.0328790734103208e-20,6.776263578034403e-21,4.0657581468206416e-20,4.0657581468206416e-20,1.8973538018496328e-19,2.0328790734103208e-20,5.421010862427522e-20,2.710505431213761e-20,0.0,2.710505431213761e-20,5.421010862427522e-20,5.421010862427522e-20,1.6940658945086007e-20,3.469446951953614e-18,0.0,1.0842021724855044e-19,5.421010862427522e-20,0.0,3.3881317890172014e-21,0.0,1.3877787807814457e-17,2.710505431213761e-20,2.168404344971009e-19,5.421010862427522e-20,5.421010862427522e-20,1.3552527156068805e-20
2,4.821836764573194e-05,5.928264967991187e-06,0.5791309642591912,2.822314458328248e-06,0.00014604330728461182,8.475397621969997e-06,0.17066951790908352,4.582742880551286e-05,0.1250168987438399,4.5096138124098205e-06,0.19049983443971696,4.031298718581148e-05,0.15566840816280714,4.3669843323212646e-06,0.5111607023610325,0.4948298475672802,0.4880485643946796,0.4976935358580152,0.4131320172038031,0.4078367272291893,2.3766722925162993e-05,0.15704811783974376,0.5511174571351345,8.503144014267337e-06,0.03108510082792645,1.0106655164887736e-05,0.572198072937198,7.503316395842359e-06,0.12475270918157987,0.0001396808362188576,4.78771185516357e-05,5.3310290681468e-05,5.4361727882859024e-05,0.00306380955954025,2.527281525530328e-05,0.0012964140630621053,5.513299515370274e-05,2.6665216244575716e-05,0.0009973661690932068,5.5124857988535724e-05,5.5833953209591465e-05,0.001129482474080236,0.00819618607467786,0.0011056907731105113,0.00803447000200819,0.0146851860876429,0.0011447206013725098,0.003090525707389339,0.0009639223450777328,0.003118519330920456,0.0011062557975308146,0.0029178868337402324,0.012882131611569873,0.0012479963807881084,0.005759074520457345,0.0034181963768727492,5.551052282439958e-05,0.0038973320784134653,6.113640072544789e-06,0.0076508315183799495,0.003685631808916185,0.008845130589677872,0.0004670808760132347,0.0009290950962645071,0.012722652533663507,0.0031696155621469286,0.001114628790051563,8.470329472543003e-22,6.776263578034403e-21,8.470329472543003e-22,6.776263578034403e-21,4.163336342344337e-17,8.470329472543003e-22,0.0,1.6940658945086007e-21,5.551115123125783e-17,0.0,2.7752611000313523e-17,1.6653345369377348e-16,0.0,8.470329472543003e-22,0.0,2.7755575615628914e-17,3.705769144237564e-22,6.776263578034403e-21,1.5881867761018131e-21,3.1763735522036263e-22,2.2234614865425384e-21,0.0,9.71445146547012e-17,0.0,6.776263578034403e-21,1.7999450129153882e-21,6.776263578034403e-21,1.6940658945086007e-21,0.0,3.3881317890172014e-21,0.0,8.470329472543003e-22,1.3877787807814457e-17,2.168404344971009e-19,1.6940658945086007e-21,3.3881317890172014e-21,1.6940658945086007e-21,5.421010862427522e-20,1.0842021724855044e-18,0.0,4.336808689942018e-19,5.421010862427522e-20,5.421010862427522e-20,0.0,8.673617379884035e-19,8.673617379884035e-19,0.0,4.336808689942018e-19,8.131516293641283e-20,6.505213034913027e-19,1.0842021724855044e-19,0.0,0.0,8.300922883092143e-20,3.8116482626443515e-21,0.0,3.3881317890172014e-21,3.3881317890172014e-21,0.0,0.0,8.673617379884035e-19,1.3877787807814457e-17,2.710505431213761e-20,2.168404344971009e-19,0.0,0.0,8.470329472543003e-22
3,9.739702415409667e-06,1.0758333054519894e-08,0.0038059005190349392,1.762362517499724e-08,7.787311465166774e-06,2.8437251960893865e-08,0.5633225937759667,9.774782259482916e-06,0.5116902015013975,4.136624932529051e-09,0.6551559980245445,8.633400639791538e-06,0.6236264807182719,1.5376039617740452e-09,0.003341009929731468,0.6247675508771945,0.4801886675717515,0.4944818070672833,0.0027019108067066026,0.5126642685062954,3.571956081026317e-06,0.6289659970715468,0.003498775598410599,9.766565610751843e-06,0.015276322429314568,7.83526632898283e-06,0.0036687395781429726,1.1828570509087147e-06,0.5184522634693554,7.477762876967916e-06,9.556917912997295e-06,1.0590874369367482e-07,1.0902241611125163e-07,8.552915773506985e-05,4.977382646435465e-08,3.8452028310574375e-05,1.1118789638043005e-07,5.2978494471825553e-08,3.9006465381142774e-05,1.531996167506836e-05,1.5464274061478596e-05,0.0002520513324590501,0.00838634768629218,3.7694868378442276e-05,0.008181321752904529,0.0010220737633313108,0.00025749790397625136,0.00044423294908528576,0.00016763349494106728,8.65473892562548e-05,0.0002293242829900088,0.00035451800986564114,0.0007605352109082796,0.0003651142894991328,0.0008878865771737975,9.118097883543662e-05,1.545498772329871e-05,0.0008481536712473079,1.5319672142223674e-05,0.006663127421290016,9.10042295725105e-05,0.00794669185208765,0.0002528772736486684,0.00024797567675568393,0.0015129271936940253,0.00048142093615437037,3.7976717502058706e-05,0.0,4.235164736271502e-22,0.0,6.352747104407253e-22,1.1102230246251565e-16,1.6543612251060553e-24,4.235164736271502e-22,0.0,2.168404344971009e-19,4.336808689942018e-19,1.663174586378624e-16,2.168404344971009e-19,2.7755575615628914e-17,0.0,4.235164736271502e-22,0.0,3.970466940254533e-23,8.470329472543003e-22,1.507536666377893e-22,6.617444900424222e-24,3.101927297073854e-23,8.470329472543003e-22,5.551115123125783e-17,1.6543612251060553e-24,2.117582368135751e-22,4.235164736271502e-22,0.0,5.293955920339377e-23,1.3234889800848443e-23,0.0,4.235164736271502e-22,1.2705494208814505e-21,1.0842021724855044e-19,8.673617379884035e-19,0.0,1.3234889800848443e-23,3.308722450212111e-24,2.710505431213761e-20,4.336808689942018e-19,2.168404344971009e-19,4.336808689942018e-19,2.710505431213761e-20,0.0,8.673617379884035e-19,0.0,4.336808689942018e-19,2.710505431213761e-20,0.0,0.0,0.0,6.776263578034403e-21,0.0,5.421010862427522e-20,6.776263578034403e-21,0.0,8.673617379884035e-19,0.0,9.926167350636332e-24,2.710505431213761e-20,4.235164736271502e-22,4.336808689942018e-19,0.0,1.3552527156068805e-20,1.3552527156068805e-20,1.0842021724855044e-19,2.168404344971009e-19,1.3234889800848443e-23
4,1.3399372800041434e-05,2.495557596435478e-07,0.0005397637179990932,2.0656605869273951e-07,5.233166940069401e-06,2.361847371297372e-07,0.10965479028686019,1.1593989660036602e-05,0.06429359154760793,1.3526573810767183e-07,0.0003003883476082893,1.3889470817241082e-05,0.00027374369999294437,2.3104085610920183e-07,0.0005243732401617068,0.0002836385424588818,0.00021385965713141406,0.03961526576657321,0.000206755452735003,0.0834841658271721,4.930666718209466e-06,0.0002852884439216243,0.000524730541037197,1.3415345001840396e-05,0.0012118350902201795,5.1868249233641004e-06,0.0005235129571922627,1.0816463300076272e-06,0.08767413319254365,5.170385995091877e-06,1.3266496197982738e-05,6.6656535700256765e-09,2.0611029384190373e-08,9.689044841625546e-08,7.074823476532312e-09,2.8475207321621756e-07,2.1426640533318627e-08,3.0958909545313165e-09,2.140118222565329e-07,6.20916861041418e-05,5.2943438863168555e-08,0.0007960075962386404,0.0014096853587464296,0.00012439090266824066,0.0013467591095124671,0.0009962296051139686,0.0007525132806498831,0.0005162878282680989,0.0008884873088112223,9.585154964182194e-08,0.00038993845598234687,0.00017520766305483893,0.0004791149155592147,0.0007725696435201439,0.0008527400995800164,0.0001392376630402906,5.6004616159603825e-08,0.0005600685681890362,6.209191458253851e-05,0.000694450889995362,0.00013877022728785707,0.0013504352856989318,7.545914919818293e-06,0.0001867798186495708,0.0010707595442115666,0.0005348397581421585,0.00012515957862592952,0.0,1.3234889800848443e-23,0.0,1.0587911840678754e-22,0.0,0.0,2.117582368135751e-22,1.0587911840678754e-22,0.0,0.0,1.3876940774867202e-17,0.0,0.0,0.0,0.0,4.235164736271502e-22,5.293955920339377e-23,0.0,3.0967574182453974e-23,5.293955920339377e-23,2.2954261998346518e-23,8.470329472543003e-22,1.3877787807814457e-17,1.3234889800848443e-23,2.117582368135751e-22,1.0587911840678754e-22,1.3234889800848443e-23,0.0,1.3234889800848443e-23,8.470329472543003e-22,2.117582368135751e-22,4.235164736271502e-22,0.0,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,5.421010862427522e-20,5.421010862427522e-20,0.0,2.168404344971009e-19,5.421010862427522e-20,0.0,1.0842021724855044e-19,1.0842021724855044e-19,2.710505431213761e-20,0.0,5.421010862427522e-20,8.131516293641283e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,5.421010862427522e-20,3.3881317890172014e-21,0.0,0.0,0.0,2.481541837659083e-24,5.421010862427522e-20,8.470329472543003e-22,5.421010862427522e-20,2.710505431213761e-20,0.0,5.421010862427522e-20,2.168404344971009e-19,1.0842021724855044e-19,1.3234889800848443e-23
5,2.5382340477064408e-06,3.769860954713541e-08,0.00030061221352005744,1.5244278595137184e-08,4.746157873521276e-06,1.3800951639690435e-08,0.0002931359835453568,2.5617066950681224e-06,0.0001247349743926121,3.6362618896270374e-08,7.637693373862753e-05,2.397380648245556e-06,6.264122592066594e-05,3.484814818832646e-08,0.00029444137172921566,7.580946334401731e-05,6.133416192820372e-05,6.689457242632535e-05,0.00029507844046295945,0.000207288017969919,4.641651566335668e-06,7.674535548268402e-05,0.0002992088333991903,2.541382982964715e-06,0.001407684752831662,4.797127326439993e-06,0.00029344255185747106,4.582438076002493e-06,0.00021600804514196843,4.717675906416166e-06,2.5102193588456297e-06,1.1586689784162636e-09,1.0335650838325393e-09,3.495839677877323e-10,1.0720078498504987e-09,2.412000617370584e-08,2.0210643782667565e-09,9.629942390936665e-10,2.422712326151456e-08,1.7485229273067646e-05,2.6634134334779522e-09,0.000226524849465352,0.00011958286180821168,2.1047441493685398e-05,0.00012133279011672419,0.0002445649169801721,0.00011532700528921769,2.1920924071282608e-05,0.00025488867042554466,4.179134683505447e-10,0.00012764009987886266,5.6809631544516774e-05,0.0002713365133859056,7.948879223988217e-07,0.00027931875910382144,9.042129833650701e-05,3.1844154226611884e-09,0.0002913474676835812,1.7485170478750324e-05,0.00042908333687916825,9.005233392242814e-05,0.00018204770917641422,2.343099352849185e-05,6.0129947966388045e-05,0.0008347408528205012,0.0003267051812951839,2.1148209177308668e-05,1.6543612251060553e-24,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,1.3234889800848443e-23,4.235164736271502e-22,0.0,2.117582368135751e-22,0.0,4.235164736271502e-22,8.271806125530277e-25,4.235164736271502e-22,4.235164736271502e-22,3.308722450212111e-24,4.235164736271502e-22,2.3742668519686122e-23,1.6543612251060553e-24,2.3720050299811626e-23,0.0,0.0,3.308722450212111e-24,0.0,1.0587911840678754e-22,0.0,0.0,5.293955920339377e-23,2.117582368135751e-22,2.6469779601696886e-23,1.3234889800848443e-23,4.235164736271502e-22,1.3552527156068805e-20,0.0,4.1359030627651384e-25,0.0,1.5881867761018131e-22,2.710505431213761e-20,1.0842021724855044e-19,0.0,5.293955920339377e-23,0.0,0.0,0.0,2.710505431213761e-20,5.293955920339377e-23,0.0,2.710505431213761e-20,5.421010862427522e-20,0.0,5.421010862427522e-20,5.421010862427522e-20,4.0657581468206416e-20,2.117582368135751e-22,1.3552527156068805e-20,4.1359030627651384e-25,4.1359030627651384e-25,1.5881867761018131e-22,0.0,2.710505431213761e-20,8.470329472543003e-22,2.710505431213761e-20,0.0,0.0,1.0842021724855044e-19,0.0
6,2.9680015076339956e-08,1.1336170572775459e-08,7.743622230118026e-07,1.2770183618336427e-08,6.149911232012785e-07,1.2727591851866192e-08,7.6076089279445515e-06,2.9828217737185506e-08,2.3942370398913722e-06,9.418913312986799e-09,1.092305490129494e-05,2.933010158744734e-08,7.799178482462023e-06,7.443301370146669e-09,7.604869691487721e-07,1.0384616902086937e-05,8.060232740187141e-06,1.0961718525973939e-06,7.610671740293908e-07,5.091945977331738e-06,5.253019039562235e-07,1.0543468003586284e-05,7.609716280285039e-07,2.9541169253220963e-08,6.848403718322749e-08,5.871497873134403e-07,7.527135344127193e-07,5.340145353567402e-07,5.2813191850630304e-06,5.483650194882086e-07,2.8949382815770466e-08,6.512950735410911e-11,6.947998801854377e-11,4.303140271798368e-13,2.903018191091128e-11,1.5036476920523542e-11,9.64481340237196e-07,2.852281298510176e-11,1.4962414021818605e-11,4.582363435519159e-07,3.1319306560664985e-12,5.879121909688522e-06,2.037083117227603e-05,5.549233626148568e-07,2.0479380801918452e-05,6.53784473714517e-06,3.013321243787826e-06,5.081487624579704e-07,6.607476573252795e-06,4.488881179617037e-13,3.3308033196011065e-06,1.3366435535400737e-06,7.416586574807979e-06,1.5392288597218984e-06,7.344028351994623e-06,2.1546903888906075e-06,2.2194551222093256e-12,7.494806750072329e-06,4.582361385557426e-07,7.552871315408319e-06,2.147289040686097e-06,5.660063188101606e-06,5.58082610149568e-07,1.4168529042065708e-06,1.781923878438796e-05,7.178498518020357e-06,5.576083003034908e-07,3.2311742677852644e-27,1.6155871338926322e-27,6.462348535570529e-27,4.1359030627651384e-25,8.470329472543003e-22,0.0,8.271806125530277e-25,8.271806125530277e-25,1.3234889800848443e-23,0.0,9.496033432108758e-22,0.0,0.0,3.2311742677852644e-27,1.3234889800848443e-23,0.0,0.0,2.6469779601696886e-23,3.349863124141197e-24,8.077935669463161e-28,3.3224991170608904e-24,3.308722450212111e-24,0.0,3.2311742677852644e-27,2.5849394142282115e-26,8.271806125530277e-25,1.6155871338926322e-27,4.1359030627651384e-25,8.271806125530277e-25,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,4.235164736271502e-22,1.6940658945086007e-21,1.2705494208814505e-21,0.0,1.0587911840678754e-22,1.2705494208814505e-21,8.470329472543003e-22,4.235164736271502e-22,0.0,4.235164736271502e-22,8.470329472543003e-22,5.293955920339377e-22,8.470329472543003e-22,3.3881317890172014e-21,0.0,4.235164736271502e-22,1.0587911840678754e-22,0.0,2.117582368135751e-22,2.117582368135751e-22,0.0,3.308722450212111e-24,4.235164736271502e-22,5.293955920339377e-23,1.0587911840678754e-21,4.235164736271502e-22,3.3881317890172014e-21,1.6940658945086007e-21,8.271806125530277e-25
7,6.701175938867101e-09,2.575163989061534e-09,2.1513055156000417e-07,2.8871647090333277e-09,6.074925642008821e-08,2.8760638021461963e-09,9.12014013526861e-09,6.732507507183751e-09,2.4375534630877095e-09,2.070738598179308e-09,5.413582736547006e-09,6.6163721925239605e-09,3.088968020072508e-09,1.604290995389639e-09,2.0819469283677447e-07,5.079922026989645e-09,3.3635948073358523e-09,3.1759155745325633e-09,2.0930435206442656e-07,5.312612697708943e-09,5.20609697125973e-08,5.1545968094152594e-09,2.0873806830542122e-07,6.679148533709224e-09,2.0535288438660283e-07,5.7968864049971335e-08,2.0789853661859693e-07,5.2791828460796305e-08,5.587485358293722e-09,5.401773789131616e-08,6.525151750376227e-09,4.733253595796927e-15,1.1521624098592264e-14,2.5263992061931854e-16,3.57514477689582e-15,4.314260142405651e-14,1.0785372487331417e-07,4.976570038439167e-15,3.577628874245166e-14,1.5986463289943703e-08,1.4460303513040453e-14,2.0251582130175556e-07,2.0735769362805523e-08,1.953518456394043e-08,1.794636657162997e-08,8.641699239965514e-08,1.0437147424053617e-07,6.2463972833500605e-09,2.2731459526423763e-07,3.355220394979162e-16,1.1522419826267445e-07,1.6699792329576752e-08,9.68677858036496e-08,1.6983470742740476e-07,9.762450399672303e-08,2.6156111561259236e-08,6.6804742662273866e-15,9.924661420614255e-08,1.598646580929004e-08,9.646879875440247e-08,2.6007038651516006e-08,6.648924910940894e-08,6.810111614336708e-09,1.7212194889382726e-08,9.164094194990846e-08,1.0674155609201137e-08,1.9630912687002858e-08,7.888609052210118e-30,7.888609052210118e-31,1.9721522630525295e-30,6.462348535570529e-27,0.0,2.0679515313825692e-25,2.5849394142282115e-26,3.877409121342317e-26,2.0679515313825692e-25,0.0,1.468245587281624e-23,1.3234889800848443e-23,0.0,3.1554436208840472e-30,0.0,0.0,5.127595883936577e-30,0.0,1.000575394964227e-25,3.944304526105059e-30,1.51165865393429e-25,0.0,4.1359030627651384e-25,3.1554436208840472e-30,5.048709793414476e-29,2.5849394142282115e-26,1.9721522630525295e-30,3.877409121342317e-26,5.169878828456423e-26,1.0339757656912846e-25,5.048709793414476e-29,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,6.617444900424222e-24,3.970466940254533e-23,1.3234889800848443e-23,3.308722450212111e-24,0.0,1.3234889800848443e-23,2.6469779601696886e-23,0.0,1.2407709188295415e-24,1.3234889800848443e-23,0.0,6.617444900424222e-24,6.617444900424222e-24,4.1359030627651384e-25,1.6543612251060553e-24,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,1.6543612251060553e-24,8.271806125530277e-25,4.1359030627651384e-25,0.0,6.617444900424222e-24,1.0339757656912846e-25
8,7.336031297234972e-10,2.8989050331865893e-10,3.8765830738215336e-08,3.2388908574973465e-10,2.8248089432795053e-09,3.225444132048385e-10,1.6908249376166886e-09,7.371458434476782e-10,9.552318220285174e-11,2.2752346453881572e-10,3.728571403529065e-08,7.218719291209972e-10,1.9580949355883995e-08,1.709038169348508e-10,3.737452424702952e-08,3.30734836611478e-08,2.237925387762556e-08,2.3815907674703164e-09,3.761431631361756e-08,1.4597482372474455e-09,2.2573947599445556e-09,3.354841667471272e-08,3.699385644207531e-08,7.318130669105443e-10,1.4666024462795357e-07,2.592578821234308e-09,3.728962901809441e-08,2.3116559880912662e-09,1.3898573178405605e-09,2.34925924764279e-09,7.124970318413251e-10,1.6735116611126468e-15,7.031373062413945e-17,2.0300456835121506e-17,8.841835309119576e-16,2.5243198020952386e-15,7.98290536963053e-09,5.905787219310767e-17,2.5629963246420862e-15,8.128772822567846e-09,3.621697556920924e-16,4.6198578341430206e-08,1.0958950873770538e-08,9.974023526302997e-09,1.3571268246401192e-08,2.6101888437073244e-08,5.28419076744663e-08,2.194892109991787e-09,4.6804516456366985e-08,3.5140645782928644e-17,5.8260366341470425e-08,5.839469096051463e-09,2.9268781040810754e-08,1.241997370815888e-08,2.9269813835202015e-08,9.136549570511153e-09,3.0760673831150593e-16,2.938633653995241e-08,8.128772808003991e-09,6.080284987162894e-08,9.077219773655909e-09,8.848435755464124e-08,2.385325303577092e-09,5.961128503723791e-09,6.631883961876593e-08,3.2257018248385935e-08,1.002332048580766e-08,2.9582283945787943e-31,0.0,4.3140830754274083e-32,1.2924697071141057e-26,0.0,2.5849394142282115e-26,0.0,0.0,1.0339757656912846e-25,0.0,3.334571844354393e-24,3.308722450212111e-24,8.271806125530277e-25,5.9164567891575885e-31,8.271806125530277e-25,5.169878828456423e-26,9.860761315262648e-32,0.0,2.4237751312915588e-27,1.4791141972893971e-31,2.831024573611906e-26,5.169878828456423e-26,2.0679515313825692e-25,1.9721522630525295e-31,1.5777218104420236e-30,6.462348535570529e-27,1.4791141972893971e-31,1.2924697071141057e-26,5.169878828456423e-26,0.0,1.5777218104420236e-30,9.693522803355793e-27,5.169878828456423e-26,6.617444900424222e-24,1.6543612251060553e-24,1.6543612251060553e-24,0.0,8.271806125530277e-25,3.308722450212111e-24,6.617444900424222e-24,1.9852334701272664e-23,8.271806125530277e-25,8.271806125530277e-25,6.617444900424222e-24,6.617444900424222e-24,0.0,8.271806125530277e-25,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,1.6543612251060553e-24,1.0339757656912846e-25,6.617444900424222e-24,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,0.0,0.0,1.6543612251060553e-24,4.963083675318166e-24,0.0,1.3234889800848443e-23,2.5849394142282115e-26
