,Y3Z5,Y5Z3,Y0Z5,Y5Z0,Y2Z1,Y1Z2,Y1Z5,Y5Z1,Y1Z3,Y3Z1,Y0Z3,Y3Z0,Y4Z2,Y2Z4,Y4Z3,Y3Z4,Y4Z1,Y1Z4,Y2Z5,Y5Z2,Y2Z3,Y3Z2,Y4Z5,Y5Z4,Y2Z0,Y0Z2,Y4Z0,Y0Z4,standard_x,Y0Z1,Y1Z0,X2X5,X0X1,X1X5,X4X5,X2X3,X1X3,X3X5,Y0Y1,Y3Y5,Y2Y3,X0X3,X5,X0X2,X3X4,X1X4,Y1Y3,Y4Y5,Y2Y5,Y1Y5,X0X5,X0X4,X3,Y0Y3,X1,Y1Y4,X1X2,Y0Y5,Y3Y4,Y1Y2,X2X4,X0,Y0Y2,Y0Y4,X2,Y2Y4,X4,X4Y5,X4Y3,X2Y3,X0Y1,Y1,X3Y1,Y2,X5Y3,X3Y5,X3Y2,X3Y0,X2Y5,X1Y3,X1Y0,X0Y3,X5Y0,X5Y1,X4Y0,Y4,Y0,X3Y4,X2Y4,X2Y0,X1Y5,X1Y4,X4Y1,standard_y,X2Y1,X1Y2,X3Z1,X2Z4,X0Z5,X3Z4,X2Z5,X5Z4,X4Z1,X3Z0,X2Z1,X2Z0,X1Z5,X1Z4,X1Z2,X0Z1,X4Z2,X4Z0,X2Z3,X4Z5,X0Z4,X0Z3,X0Z2,Y5,Y3,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y2,X4Z3,X4Y2,X3Z5,X3Z2,X1Z3,X1Z0,X0Y5,X0Y4,X0Y2
0,0.9637115576483256,0.9636464138802107,0.9490907559943864,0.9489103671601827,0.8442231583445032,0.8441131999244365,0.8267935107823721,0.8267281644881058,0.742165651819256,0.7421571620644711,0.6836967152039131,0.6836129769194799,0.6032365372154125,0.603199511421119,0.49037938971585004,0.49027981385352803,0.46539331001840134,0.4653041304692319,0.37050332133163966,0.37042578283462746,0.2436267217188033,0.24359220230756176,0.2166109705398428,0.2165523455940134,0.1723411238706724,0.17233781298839498,0.16133845078299197,0.16132544859348533,0.10745577804001885,0.08350264841013506,0.0834933760224951,0.03726222660206023,0.035880796726768624,0.03501365026074206,0.0349787288852666,0.034315305931748544,0.03316474790423886,0.030871236067624604,0.030257361328081,0.029184585618229446,0.02794746938835343,0.0274354680968766,0.0269809418546546,0.026748006667829352,0.026604570933645145,0.0263193296282256,0.02575980511454943,0.024681020164807818,0.02454211510012844,0.024165380166184455,0.023274457155084985,0.022730708828704364,0.022475971039533922,0.021958868611136165,0.02171361118739365,0.021317664021489317,0.020487815417534555,0.01653873358300005,0.016230585068100812,0.015648633165166105,0.014693072719146555,0.014312534974241776,0.01372188402320455,0.013674865672822247,0.013032044752057121,0.012410501915034563,0.008940674232137794,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,6.245004513516506e-17,5.898059818321144e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.0408340855860843e-17,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,1.734723475976807e-18,1.734723475976807e-18,1.5178830414797062e-18,1.3010426069826053e-18,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0011885752003954913,0.001216709490931935,0.2742381473510319,0.0011969444970800118,0.8387227890408012,0.8414864191504772,0.09390065301311029,0.001054723773038481,0.07365864058605748,0.000928305711065972,0.2531038478133875,0.0008577680013604419,0.5954336630572585,0.5992586286051917,0.27299237016984995,0.0006200560910967905,0.4593712926046386,0.46384560990652524,0.1291677742254842,0.00047707823132893786,0.121264311657849,0.00031015569550832677,0.2639562027053801,0.0003029372246479459,0.17121283077705732,0.17236792567448406,0.15925025981929372,0.16135450855273703,0.0464834861012884,0.08351931161771693,0.08323298800849502,0.005260972499192846,0.013965143765319325,0.005210289044048589,0.0056018786732588205,0.005126527100785741,0.00522032732156523,0.002026399429517211,0.0069124884320095545,0.002677956971765265,0.00367289673460206,0.005516102890078879,0.005381090168359082,0.015335522541214716,0.0047353407030902815,0.014486648122568453,0.004528006026838153,0.00342990270158783,0.003360058416600655,0.004305079466937124,0.004971473864444541,0.00959292411570371,0.005107068399849635,0.003982487730654967,0.01190315941306825,0.011907008080091104,0.008218714911004565,0.003381210482118616,0.0028872970456181174,0.007852522219369645,0.012830855084016067,0.002241565643182038,0.005413278556685377,0.0017547014211295345,0.013836789439021616,0.00939154964575251,0.008013813037807783,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-17,0.0,2.0328790734103208e-20,1.1102230246251565e-16,6.938893903907228e-18,6.938893903907228e-18,1.0842021724855044e-19,1.3552527156068805e-20,1.0842021724855044e-19,2.710505431213761e-20,3.3637372401362775e-17,1.0842021724855044e-19,2.710505431213761e-20,2.710505431213761e-20,6.938893903907228e-18,2.7755575615628914e-17,1.3877787807814457e-17,0.0,0.0,1.3877787807814457e-17,0.0,6.938893903907228e-18,3.469446951953614e-18,1.5265566588595902e-16,0.0,2.7755575615628914e-17,0.0,0.0,1.6263032587282567e-19,0.0,4.336808689942018e-19,0.0,8.673617379884035e-19,2.168404344971009e-19,8.673617379884035e-19,8.673617379884035e-19,7.318364664277155e-19,5.421010862427522e-20,4.336808689942018e-19,0.0,4.336808689942018e-19,2.168404344971009e-19,4.336808689942018e-19,0.0,2.710505431213761e-20,0.0,5.421010862427522e-20,0.0,0.0,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-19,5.421010862427522e-20,0.0,2.168404344971009e-19,1.1102230246251565e-16,8.673617379884035e-19,5.421010862427522e-20,3.1170812458958252e-19,4.336808689942018e-19,1.0842021724855044e-19,0.0,5.551115123125783e-17
2,0.00013918572699387683,0.00014014850377375366,0.29159188742871545,0.00013990749372174232,1.5197949019925166e-05,2.7352830145003827e-05,7.0989109709183045e-06,5.2198367890450665e-05,7.239824617190234e-06,5.973972696848154e-05,0.2290266961212345,0.00011107185647676431,0.1387072383479214,2.022687280113864e-06,0.2748350618131207,8.328287564552485e-05,0.12858302109586917,7.999578921952603e-07,8.492979519063478e-06,5.331937918475804e-05,8.876396640985286e-06,5.987109437214658e-05,0.24843803779099455,4.6315975672651916e-05,2.319736006311496e-06,0.08966312218617228,0.15720521112523766,0.16135589375207804,0.005777146112106171,0.08717421757673705,9.220855291530289e-07,0.0009394671570535627,0.0028355163258639415,0.0009832099463737399,0.002003234548821636,0.0009936144612648667,0.0009607612543427832,0.0015282866096637722,0.0007653398954918119,0.00199649378954684,0.0016113898907527645,0.0020451033599555926,0.0018941775214009876,0.002923252797179087,0.0016306027588129232,0.0029375868983549823,0.0016301403245109676,0.0012733428095336196,0.0015829695149623818,0.001601263934162918,0.0016669387910390274,0.0030417389459553084,0.001834167702934128,0.0020191288877525987,0.002813024113555493,0.0028862125008986862,0.0006851713540607995,0.0016982518419471986,0.0009787404650640173,0.0007844103426913906,0.0026902487151985108,0.001720024824577029,0.0005353416892308938,0.0007580361255976127,0.002945384840388656,0.002523327420721971,0.002027057557920109,3.3881317890172014e-21,1.3552527156068805e-20,0.0,2.6469779601696886e-22,7.940933880509066e-23,1.6940658945086007e-21,0.0,6.938893903907228e-18,2.0816681711721685e-17,6.776263578034403e-21,2.117582368135751e-22,0.0,3.3881317890172014e-21,5.293955920339377e-23,0.0,1.6940658945086007e-21,1.6940658945086007e-21,6.938893903907228e-18,1.3877787807814457e-17,1.3877787807814457e-17,3.3881317890172014e-21,0.0,8.470329472543003e-22,0.0,0.0,8.470329472543003e-22,2.776566060165716e-17,6.938893903907228e-18,0.0,2.168404344971009e-19,4.336808689942018e-19,1.6263032587282567e-19,1.3552527156068805e-19,2.710505431213761e-20,5.421010862427522e-20,0.0,4.336808689942018e-19,0.0,4.336808689942018e-19,6.183340514956392e-20,6.098637220230962e-20,9.486769009248164e-20,2.168404344971009e-19,1.0842021724855044e-19,1.6263032587282567e-19,5.421010862427522e-20,1.0842021724855044e-19,0.0,5.421010862427522e-20,2.168404344971009e-19,6.776263578034403e-21,3.3881317890172014e-21,5.421010862427522e-20,1.0842021724855044e-19,0.0,0.0,0.0,3.3881317890172014e-21,2.168404344971009e-19,1.6940658945086007e-21,5.421010862427522e-20,0.0,7.623296525288703e-20,2.168404344971009e-19,3.3881317890172014e-21,1.3877787807814457e-17,8.470329472543003e-22
3,6.218877318458216e-06,1.2497654178369463e-05,0.000540561615997897,1.2521451638803492e-05,1.539463211467529e-05,1.4688429902711888e-05,4.721443554115877e-06,4.608118028716477e-06,2.7878046900607006e-06,7.91132538444683e-06,0.0003501088822800163,6.685729921389515e-06,0.14121597577815365,1.3147887198931615e-05,0.4213439975153192,8.014977637429965e-06,0.12133561328509909,1.0782382473984127e-05,3.843451780838521e-06,4.357027763763121e-06,3.218768647573897e-06,7.533218999127708e-06,0.38822759691978104,4.1656739955334906e-06,3.853500116589221e-06,0.0001587569550823807,0.38797407425963026,0.0002828085658544608,0.0033409933599320867,0.0001500983058724933,4.749266032814709e-06,4.773346379985552e-07,7.852226405301928e-06,4.928907607831619e-07,0.0003108460034225596,0.00017298911063940483,0.0001813373038204497,7.361243476907258e-05,3.1762465619745395e-05,0.00026246516329188124,0.00020694377341672824,0.000329719247714633,0.0003233600892864302,5.562750058500358e-06,4.124910648892716e-05,0.0003168624908670258,0.00020967974926307,0.00010499182403149912,7.355264167260038e-07,7.439449272626471e-07,3.9953354711629245e-05,0.0005968744953893565,9.559724941659503e-05,0.0003296440958458119,0.0003059889098317524,0.0001985426688361764,0.000726563175451347,4.041204887146672e-05,5.419116120683538e-05,0.0008657277411983221,0.0002852354368251813,0.0011207036605440732,3.139698119156249e-05,0.00015232318729731486,0.0003149256768005064,0.00016116875288463072,0.0032601616247232975,8.470329472543003e-22,4.235164736271502e-22,1.6940658945086007e-21,4.6735704609246064e-23,2.117582368135751e-22,4.235164736271502e-22,0.0,4.0657581468206416e-20,2.710505431213761e-20,8.470329472543003e-22,0.0,2.117582368135751e-22,8.470329472543003e-22,7.899574849881414e-23,1.2705494208814505e-21,0.0,2.117582368135751e-22,0.0,0.0,2.710505431213761e-20,2.117582368135751e-22,0.0,0.0,5.293955920339377e-23,2.117582368135751e-22,1.5881867761018131e-22,2.5622746654442585e-20,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,2.710505431213761e-20,1.3552527156068805e-20,0.0,6.776263578034403e-21,0.0,0.0,5.421010862427522e-20,1.3552527156068805e-20,1.3552527156068805e-20,0.0,1.3552527156068805e-20,0.0,0.0,0.0,2.710505431213761e-20,1.0842021724855044e-19,2.710505431213761e-20,0.0,0.0,1.2705494208814505e-21,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,2.117582368135751e-22,3.2526065174565133e-19,0.0,1.3552527156068805e-20,6.776263578034403e-21,0.0,0.0,8.470329472543003e-22,1.3552527156068805e-20,0.0
4,6.9862634831308625e-06,3.3275229020554144e-05,9.739600489379642e-06,3.310104974750919e-05,5.721775271027638e-06,7.435140433673068e-06,1.0105064972076947e-06,1.5405301749942862e-05,2.51742848614137e-06,4.839049944491782e-06,2.408524345920333e-06,6.534964481708163e-06,0.00021223935985497462,1.0873102138629265e-07,0.0006019634339249623,6.137042293068074e-06,0.00016725154816330805,2.6679718320067754e-06,4.1279084513836646e-07,1.4341694101304638e-05,3.151850171135665e-07,4.624441771981519e-06,0.0005299075555852556,3.082584709236308e-05,2.699078075027945e-07,4.5082176503341525e-06,0.0005478889142258058,2.4534573796434697e-06,0.0038377771108757002,4.237726410244726e-06,5.465968232908542e-07,1.6428953650716297e-07,3.141925177586958e-05,1.6941966895094155e-07,1.4728664813116528e-06,1.0436033879873896e-06,1.058659961892752e-06,0.0003812767818029161,5.7121732126959397e-05,0.00036575351158479603,1.1559295488999524e-06,1.541905984048669e-06,0.0007262718038174246,3.296524474723434e-05,2.577215652685369e-05,0.00015648403239539542,1.1548963444599038e-06,8.312599001750707e-07,2.276892485087226e-07,2.401918748348449e-07,5.278392057072086e-05,0.0003247061868605998,0.00022708704797338492,1.5412843446696163e-06,0.00020413301347303,0.0003047118301687904,0.0010163940005374272,5.2743785469405466e-05,3.2777810152002614e-05,0.0010920094813996698,0.00012255539425230696,0.0009571433473504994,5.632458238439765e-05,0.0004523392344812607,0.00015521507643704782,0.00030057249996350217,0.002286623001644469,0.0,8.470329472543003e-22,4.235164736271502e-22,2.1351599561525027e-23,1.3234889800848443e-22,4.235164736271502e-22,4.235164736271502e-22,1.0587911840678754e-22,1.0587911840678754e-22,4.235164736271502e-22,1.3234889800848443e-22,0.0,0.0,2.8175839615087505e-23,2.9116757561866574e-22,5.293955920339377e-23,4.235164736271502e-22,5.293955920339377e-23,0.0,4.235164736271502e-22,4.235164736271502e-22,0.0,0.0,1.0587911840678754e-22,0.0,8.470329472543003e-22,1.402898318889935e-21,3.469446951953614e-18,5.204170427930421e-18,1.3552527156068805e-20,6.776263578034403e-21,2.710505431213761e-20,1.3552527156068805e-20,6.776263578034403e-21,2.710505431213761e-20,2.168404344971009e-19,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,6.776263578034403e-21,1.3552527156068805e-20,6.776263578034403e-21,5.421010862427522e-20,0.0,2.168404344971009e-19,1.3552527156068805e-20,2.168404344971009e-19,2.710505431213761e-20,0.0,0.0,1.6940658945086007e-21,4.235164736271502e-22,2.710505431213761e-20,0.0,5.421010862427522e-20,8.131516293641283e-20,4.235164736271502e-22,5.293955920339377e-22,2.168404344971009e-19,0.0,4.0657581468206416e-20,1.3552527156068805e-20,2.0328790734103208e-20,2.0328790734103208e-20,7.940933880509066e-23,0.0,2.117582368135751e-22
5,3.7884120530350373e-10,5.031325243649658e-08,4.4574041844980907e-08,4.986633532056257e-08,1.8291016628293413e-06,1.86559637650634e-06,9.849953217769649e-07,2.52250331596677e-08,6.931889455554785e-07,2.0159859388846256e-10,3.7059377542934394e-08,1.2060755534808644e-09,1.1505993157418975e-05,1.11590716483811e-06,3.292248255883945e-05,8.62495685303414e-10,8.460430993280719e-06,8.160950332828268e-07,1.0038566955950368e-06,2.322996155611133e-08,9.91102680928422e-07,8.59242722337338e-11,2.772759979427946e-05,4.5599782060379144e-08,9.786978587385163e-07,4.552796761313618e-08,2.9670754273824916e-05,3.013634082296909e-08,1.9836361706730076e-06,4.375186692865542e-08,8.886887475354687e-07,2.3172144323955244e-11,6.416126209145901e-07,2.1762309554128586e-11,2.5165094514449866e-10,1.9016013991135294e-10,2.1702194566886592e-10,3.887608660716036e-06,1.1703189428025188e-06,3.726680883127432e-06,2.3206598095435667e-10,2.2606664396626641e-10,2.2948731878276745e-06,6.739972230652625e-07,8.087569357105539e-08,3.2136703382822263e-06,2.3289163358770817e-10,1.3832158470929983e-10,3.0764580371610244e-11,3.334680911671166e-11,3.1513538519881556e-07,3.304762748363544e-06,1.6035948928324296e-06,2.4121302465389954e-10,2.1902691476848605e-06,6.175625697950048e-06,0.0012831732627262115,3.1513489273562175e-07,1.2200616729786388e-07,0.001416459573294233,2.513870639433211e-06,6.930716788481566e-06,1.1526034092617327e-06,4.624094378474399e-06,2.4303025690357725e-06,6.082963299871381e-06,5.669184253869087e-06,6.462348535570529e-26,0.0,1.6155871338926322e-27,1.4505952978438471e-24,1.852884572118782e-22,0.0,1.0587911840678754e-22,0.0,1.6543612251060553e-24,3.2311742677852644e-27,1.9387045606711586e-26,5.169878828456423e-26,4.8467614016778965e-27,1.6222514308199393e-24,1.9387045606711586e-26,0.0,0.0,2.481541837659083e-24,1.6940658945086007e-21,9.926167350636332e-24,2.117582368135751e-22,1.3234889800848443e-23,0.0,4.52364397489937e-26,1.3234889800848443e-23,2.6469779601696886e-23,1.7865033279614015e-21,3.469446951953614e-18,1.734723475976807e-18,3.1763735522036263e-22,2.117582368135751e-22,6.352747104407253e-22,3.1763735522036263e-22,6.352747104407253e-22,2.117582368135751e-22,0.0,3.1763735522036263e-22,6.352747104407253e-22,6.352747104407253e-22,7.411538288475128e-22,4.235164736271502e-22,8.470329472543003e-22,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,6.352747104407253e-22,2.117582368135751e-22,4.235164736271502e-22,4.235164736271502e-22,0.0,1.6543612251060553e-24,1.4475660719677984e-24,3.1763735522036263e-22,0.0,0.0,2.117582368135751e-22,5.816113682013476e-26,2.5849394142282115e-26,0.0,1.3234889800848443e-23,3.1763735522036263e-22,1.0587911840678754e-22,6.352747104407253e-22,4.235164736271502e-22,4.235164736271502e-22,1.7060600133906196e-24,0.0
6,4.649561455410267e-05,9.112657195276398e-05,0.0002341747466453127,0.0002041486944910399,0.0010979569747538763,0.0016111481903801307,0.0015759895026974855,0.0001646177917932895,0.0015545413663695185,1.328553928262456e-05,0.0001958330632811847,1.334229718085321e-05,0.003938126944998306,0.0010922091121655564,0.003924564127404972,1.4146118822626554e-05,0.003523224342854129,0.0015643935766694443,0.001108952142787617,0.00015529471804033123,0.0010655663434826204,1.3350611569803826e-05,0.0037333961065881046,0.0001281239948436937,0.0011283020583120944,0.00020421639836781536,0.003736086354256456,0.00021641533613866407,0.006259145910794884,0.00020213436493319274,0.0015706402158593862,7.339852377150471e-07,5.180154069790045e-05,2.973854836745753e-07,4.415741335138716e-06,1.0052556814720654e-06,2.044768550214129e-06,5.453668973688036e-05,5.236493171600193e-05,5.47140566025945e-05,4.92690550869281e-07,7.625801549643552e-07,0.0013058829302438123,0.00018260524606420294,0.0002863203134371422,0.0004959706628622497,3.92644536843973e-06,3.864328858047568e-06,1.4945918782773076e-06,2.6200312338412757e-06,0.0002095246277805183,0.00014773272593473916,0.0006845829988383048,7.175570315426178e-07,0.003089589500734737,0.00047305917959127746,9.382603766176543e-06,0.00020972842130996316,0.00028527447632248565,6.282947323248661e-06,1.405050586620377e-05,5.5542964713131866e-05,0.00017654949481079473,0.00014569296553910673,0.0017144833184358087,1.6972733920283318e-05,0.003389996055993323,8.470329472543003e-22,9.317362419797304e-21,1.6940658945086007e-21,2.342989085056451e-21,1.6263032587282567e-19,4.235164736271502e-22,0.0,3.5998900258307764e-21,3.5998900258307764e-21,1.6940658945086007e-21,5.293955920339377e-22,1.2705494208814505e-21,1.5352472168984194e-21,7.425186768582253e-21,7.411538288475128e-22,1.3552527156068805e-20,1.5881867761018131e-22,2.2816950016662715e-20,6.505213034913027e-19,1.3552527156068805e-20,1.5246593050577406e-20,3.3881317890172014e-20,2.202285662861181e-20,1.0587911840678754e-22,1.6263032587282567e-19,3.7947076036992655e-19,4.828087799349512e-19,3.6808663755882876e-17,3.6205576297437814e-17,5.421010862427522e-20,2.168404344971009e-19,1.6940658945086007e-20,5.421010862427522e-20,0.0,0.0,2.168404344971009e-19,5.421010862427522e-20,3.2526065174565133e-19,1.0842021724855044e-19,1.0842021724855044e-19,2.168404344971009e-19,3.2526065174565133e-19,8.131516293641283e-20,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,6.776263578034403e-21,2.0328790734103208e-20,7.792703114739563e-20,1.3552527156068805e-20,3.218725199566341e-20,0.0,1.0842021724855044e-19,0.0,0.0,6.352747104407253e-22,8.470329472543003e-22,2.168404344971009e-19,2.710505431213761e-20,0.0,0.0,0.0,2.168404344971009e-19,1.3552527156068805e-20,2.329340604949326e-20,9.317362419797304e-21
7,1.07517028618933e-05,5.86732661594972e-05,0.0002134129103204999,0.0001709232693492919,0.002476821070598099,0.0007802314379497271,0.0007509550100746186,0.00013612900209060777,0.0007748165724793072,4.4125669150709196e-05,0.00011522358411234453,4.1363667546707124e-05,0.0038589869815382283,0.002459326864017961,0.003819415844502193,4.588556514383944e-05,0.0033601281807530987,0.0010043865160847966,0.002244174851213477,0.00012508157100685853,0.002320947190532379,4.1312804563428223e-05,0.003616742427427648,9.855941832237777e-05,0.002409799317675717,0.0001519546798307101,0.003629173994331187,0.00021571440586581913,3.588061676167414e-05,0.0001499674785570985,0.000760149450527802,7.887661787040367e-06,0.00011259085109933221,5.453583477984699e-07,9.656134626746258e-06,7.555859876236984e-06,8.17480247831699e-07,2.5302483614804313e-05,0.00011347678360270477,2.557324636517903e-05,9.942771454048491e-06,4.465727093602781e-07,0.002557969442064781,0.000375831889966926,0.00016159431822813415,0.0010735557298373359,2.0183701606191173e-06,8.597098493188844e-06,1.12506211931751e-05,1.6590619075335995e-06,0.0001202726809625662,8.94891999984493e-05,0.0023192633223768347,5.319368222395014e-07,0.001315401277616771,0.0010550450479138854,1.1879669625260527e-05,0.00012013703843308726,0.00016280369850941857,1.531459001283319e-05,2.6307641477136055e-05,8.088078007740817e-07,0.00036304854108611297,8.794124329094219e-05,0.00038030568367743714,3.684374050016642e-05,0.003146453994186507,1.2705494208814505e-21,7.157428404298838e-20,5.082197683525802e-21,5.446984333661687e-21,2.710505431213761e-19,1.3234889800848443e-21,6.505213034913027e-19,3.3881317890172014e-21,3.3881317890172014e-21,3.3881317890172014e-21,1.4823076576950256e-21,6.352747104407253e-22,4.235164736271502e-22,3.5220523301895365e-20,1.138200522872966e-21,0.0,1.376428539288238e-21,5.505714157152952e-21,2.168404344971009e-19,1.0842021724855044e-19,7.072725109573408e-20,8.131516293641283e-20,1.164670302474663e-21,8.999725064576941e-22,1.0842021724855044e-19,1.0842021724855044e-19,2.744386749103933e-19,1.4690939437178585e-17,1.4629953064976275e-17,0.0,1.8973538018496328e-19,1.7830043539703022e-19,0.0,1.0842021724855044e-19,2.168404344971009e-19,8.673617379884035e-19,0.0,0.0,5.421010862427522e-20,1.6263032587282567e-19,4.87890977618477e-19,2.168404344971009e-19,8.404155023538761e-19,6.505213034913027e-19,4.336808689942018e-19,2.168404344971009e-19,6.505213034913027e-19,7.115076756936123e-20,1.9227647902672618e-19,8.673617379884035e-19,1.3552527156068805e-20,1.6940658945086007e-20,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,0.0,8.470329472543003e-22,6.505213034913027e-19,4.0657581468206416e-20,0.0,2.168404344971009e-19,0.0,3.2526065174565133e-19,0.0,4.0234064994579266e-21,8.893845946170154e-21
8,2.362519866458511e-05,3.256307515760065e-05,0.00035038702406193546,8.420894732151827e-05,0.002826478424539244,0.0007218988645168017,0.0006934265489189713,6.811117954942471e-05,0.0007173526166828933,3.165491334908325e-05,0.000283562364343132,2.599764425838676e-05,3.5040550137529786e-06,0.0028164190871557537,0.00012561037104764894,3.51137840030649e-05,0.006188428603217975,0.0009843325711851227,0.002457341711827,6.190617026319192e-05,0.002599255645968625,2.9885409407821883e-05,0.001779930898510068,5.2514860062473476e-05,0.0027463559055276353,0.00029383808782380865,0.002600045975104349,0.0003164839763721279,1.9912936272824212e-05,0.0002913433238413188,0.0007120757739453787,5.97327520520008e-06,0.00018063205126688745,2.440986073386576e-07,3.109115115001502e-05,2.7200305430329195e-05,3.8160659204287694e-05,5.135969922900226e-05,0.00018194338933033897,5.0769711733022305e-05,3.0819870473905445e-05,4.576875480352181e-05,0.0018294036896667803,0.0003543572015753933,0.00018786870291581193,0.0010016547864283845,4.208860466719462e-05,1.7443458240123014e-05,8.497606192820951e-06,1.106869140032412e-06,0.00014624590360370838,1.792906042344255e-05,0.0014147865458263211,4.950951620938398e-05,0.0016245764380316112,0.0009972208271547798,0.003012530769019115,0.00014659472705203956,0.00020713006956540766,0.0035470041133873025,5.898282105724407e-05,0.00010816612886057658,0.0003428973075053397,1.8564730364445874e-05,0.0006011665784114427,5.355835893350673e-05,0.000930194026462295,4.235164736271502e-21,2.0328790734103208e-20,0.0,4.585827277448044e-20,8.131516293641283e-19,1.8634724839594607e-20,0.0,1.2197274440461925e-19,1.2536087619363645e-19,6.776263578034403e-21,6.776263578034403e-21,9.529120656610879e-22,1.1858461261560205e-20,8.782569474266458e-20,5.929230630780102e-21,2.710505431213761e-20,1.0058516248644817e-21,4.0657581468206416e-20,3.0357660829594124e-18,2.710505431213761e-20,1.6940658945086007e-20,2.710505431213761e-20,1.2705494208814505e-20,2.117582368135751e-22,5.421010862427522e-19,5.963111948670274e-19,2.2836008257975937e-18,2.200930410145574e-17,2.190088388420719e-17,1.0842021724855044e-19,4.336808689942018e-19,3.3203691532368573e-19,1.0842021724855044e-19,3.5236570605778894e-19,1.0842021724855044e-19,1.3010426069826053e-18,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-19,1.4094628242311558e-18,1.3552527156068805e-18,9.75781955236954e-19,1.2197274440461925e-19,1.4094628242311558e-18,4.336808689942018e-19,5.963111948670274e-19,6.505213034913027e-19,3.049318610115481e-19,3.3881317890172014e-19,1.0842021724855044e-19,1.3552527156068805e-20,2.0328790734103208e-20,2.168404344971009e-19,0.0,2.168404344971009e-19,2.168404344971009e-19,3.3881317890172014e-21,1.164670302474663e-21,1.0842021724855044e-19,8.131516293641283e-20,1.0842021724855044e-19,2.168404344971009e-19,1.4094628242311558e-18,1.3010426069826053e-18,2.710505431213761e-20,1.3552527156068805e-20,3.218725199566341e-20
