,Y1Z4,Y4Z1,Y2Z3,Y3Z2,Y0Z4,Y4Z0,Y2Z4,Y4Z2,Y3Z4,Y4Z3,Y5Z3,Y3Z5,Y5Z4,Y4Z5,Y0Z3,Y3Z0,Y1Z3,Y3Z1,Y5Z1,Y1Z5,Y5Z0,Y0Z5,Y5Z2,Y2Z5,Y1Z2,Y2Z1,Y0Z2,Y2Z0,standard_x,X3X4,Y3Y4,X2X4,X4X5,X4,X1X3,X1X2,X0X2,X0X4,X0X3,Y0Y2,X1X4,X2X5,Y1Y2,X0X1,Y0Y1,Y2Y5,X3X5,X3,Y2Y4,Y0Z1,Y1Z0,X2X3,Y1Y3,Y4Y5,X1X5,X0X5,X2,Y0Y3,Y2Y3,Y0Y5,Y1Y5,Y3Y5,Y0Y4,X1,X0,Y1Y4,X5,X3Y4,standard_y,X0Y4,X1Y4,Y4,Y3,X5Y2,Y5,X5Y3,X2Y3,X1Y2,X5Y1,Y1,X4Y3,X3Y5,X3Y2,X1Y5,X1Y3,X0Y5,X2Y0,X5Y0,Y2,Y0,X4Y0,X4Y1,X3Y1,X4Z1,X4Z0,X3Z1,X3Y0,X2Y1,X4Z2,X3Z0,X5Z1,X5Z0,X4Z5,X3Z4,X1Z0,X1Y0,X0Z1,X0Y1,X2Z4,X2Z5,X1Z5,X0Z4,X5Z4,X5Z3,X1Z4,X1Z3,X0Z5,X0Z3,X5Z2,X5Y4,X4Z3,X4Y5,X4Y2,X3Z5,X3Z2,X2Z3,X2Z1,X2Z0,X2Y5,X2Y4,X1Z2,X0Z2,X0Y3,X0Y2
0,0.7575607157535285,0.7574158323485294,0.7405812919629967,0.7405576216324253,0.6838291679363113,0.683697544951287,0.6620932899227903,0.6620032832620621,0.535577162815803,0.5355214710348872,0.4477310058533439,0.4476763562892736,0.4125504758717876,0.41245722645200833,0.39280488625638865,0.3927701206666671,0.23178057791866652,0.23176034864185363,0.14739202708296661,0.14738690003666774,0.1386822480654623,0.13867759439637986,0.13656996353819784,0.13655765855587182,0.11243253615107773,0.11242631671548026,0.11238797674515813,0.1123816216795479,0.059584653217458684,0.026069229430091056,0.02238376880515866,0.020910376204150337,0.020268949478566032,0.01937069731622164,0.017986101592851696,0.016677267897093284,0.016595375874166388,0.016557700196574654,0.015892779035926417,0.015280523733035817,0.014514391487210523,0.014238424053943302,0.013895498461826455,0.01315815183728271,0.012843712167494378,0.012738384850406497,0.01273299705701677,0.01243975677038066,0.012300815974611804,0.012277043087178925,0.012277028001118434,0.011777845821157085,0.011196886649436324,0.01073411750393875,0.010489994126848246,0.0104578430624273,0.010309288730326372,0.010289090829918697,0.009720621321874843,0.009503256580981702,0.008667636121742067,0.00821531178212083,0.007026553762726659,0.006621893091984689,0.006539976870059057,0.005356024914764534,0.004303040438486271,1.6653345369377348e-16,1.249000902703301e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.431146867680866e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.214306433183765e-17,8.673617379884035e-18,6.938893903907228e-18,6.938893903907228e-18,5.204170427930421e-18,2.6020852139652106e-18,2.6020852139652106e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0001333312913044677,0.00023377197173711045,0.7357056107666307,0.7332821942268335,0.6715850627208713,0.00017296010797059346,0.5467408306645474,0.00017446982066087838,0.3022780972854191,0.00015663442501596974,0.44049074387203535,0.4432577700849536,0.2618013236321802,0.00012032434651037551,0.3927625067188568,0.38889008476037124,5.3640607363874175e-05,0.29733734114860444,0.25821818692072085,3.45812787245995e-05,0.13643602919638192,0.13866014209754804,0.1343582826425374,0.1356491372682269,2.6525489254107782e-05,0.5417356166302321,0.11237367551328833,0.11163345999568389,0.052057098880001984,0.0040481044870137785,0.002647260602995644,0.00410634485291266,0.0041883756359260334,0.004461326879779663,0.00386165824335887,0.0038260843729145443,0.023180210547673167,0.004418193329695671,0.02058438847231013,0.021171562208179937,0.014753272947100875,0.017870651120591288,0.004125485694155218,0.003563453641300364,0.003463663580440767,0.015409692379009259,0.014143632538763341,0.01555631839813764,0.0019091777682733158,0.6670576689690924,2.915701520947043e-06,0.01252579640662962,0.003883680764945879,0.0017931861430964715,0.003672092317339723,0.013972210210483864,0.013803796279747604,0.011497136881909403,0.009115560017693149,0.011718019079174542,0.0028596076031664813,0.007661513004963552,0.0007518064276251156,0.0035213848030997688,0.009830756104108433,0.014844986804174908,0.004883516415128875,0.0,1.6517142471458857e-20,2.710505431213761e-20,0.0,1.3552527156068805e-20,2.7755575615628914e-17,0.0,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,3.3881317890172014e-21,5.082197683525802e-21,2.964615315390051e-21,0.0,2.7755575615628914e-17,0.0,1.0164395367051604e-20,1.0164395367051604e-20,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,8.326672684688674e-17,3.3881317890172014e-21,0.0,0.0,8.673617379884035e-19,0.0,1.6940658945086007e-21,0.0,4.336808689942018e-19,4.336808689942018e-19,1.0842021724855044e-19,0.0,0.0,2.168404344971009e-19,1.6675961149069038e-21,0.0,1.7205356741102976e-21,0.0,8.673617379884035e-19,1.0842021724855044e-19,8.673617379884035e-19,4.336808689942018e-19,0.0,1.3552527156068805e-20,5.421010862427522e-20,8.673617379884035e-19,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,8.673617379884035e-19,8.673617379884035e-19,0.0,1.3010426069826053e-18,2.7755575615628914e-17,5.421010862427522e-20,2.710505431213761e-20,2.168404344971009e-19,0.0,5.551115123125783e-17
2,2.1516167282913923e-05,3.471434475948998e-05,7.509467231274706e-05,7.359175589607934e-05,0.6718334225956579,2.9583744067451524e-05,5.482317626401843e-05,4.466183564485189e-06,2.9817929316663532e-05,5.509362962945804e-06,0.30333279380056877,4.3353799838901725e-05,0.2598837298218063,2.2378601136666786e-05,0.28222882462715937,3.8017903363482175e-05,1.1915344151032293e-05,2.7835007923291675e-05,0.24766810394566102,1.049419407096925e-05,0.13424397839504648,0.1386779791773233,0.29419935655332274,1.2742151948895331e-05,1.1709533583930338e-05,5.242674356109714e-05,0.27407078139413965,1.0509446556431227e-05,0.005297690141392326,0.0002778460383853922,0.0004652798154138954,0.00020548369650696263,0.001593237360022367,0.0017529195786486853,0.0002040682839799206,0.00028651536269233785,0.0005089211818617915,0.0017293908419488625,0.00048658924380271657,0.00035813120705962024,0.00600161050004955,0.0004997053481745099,0.0004816791106527589,0.0018017087134306995,0.001748607121881815,0.0003483486691766435,0.00046112795281246703,0.0005083455196001887,0.00047375323405067146,0.6561446103905595,9.055249816253711e-07,0.002486181852129792,0.00047313283341655866,0.000818453412208996,0.0018315050459519209,0.0072456448351131495,0.0004845263428768583,0.00019982685719395103,0.0026559178366331753,0.0053774268485807485,0.0013806602505430383,0.000179123301275047,0.0002937793320756535,0.00177821264574193,0.005925225503815724,0.0060300330651320184,0.0019107249994901702,1.6940658945086007e-21,4.163667214589358e-17,1.6940658945086007e-21,5.551115123125783e-17,0.0,3.3881317890172014e-21,0.0,1.3877787807814457e-17,0.0,2.7755575615628914e-17,3.705769144237564e-22,8.470329472543003e-22,7.940933880509066e-23,0.0,1.6940658945086007e-21,1.3877787807814457e-17,4.235164736271502e-22,8.470329472543003e-22,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,8.470329472543003e-22,8.326672684688674e-17,8.470329472543003e-22,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,4.764560328305439e-22,2.710505431213761e-20,2.710505431213761e-20,1.0842021724855044e-19,1.6263032587282567e-19,0.0,0.0,0.0,6.243404167185399e-22,8.673617379884035e-19,6.462090041629106e-22,2.710505431213761e-20,1.3552527156068805e-20,1.9481757786848908e-20,8.673617379884035e-19,0.0,0.0,2.0328790734103208e-20,5.929230630780102e-21,2.168404344971009e-19,0.0,2.168404344971009e-19,0.0,4.0657581468206416e-20,0.0,0.0,2.0328790734103208e-20,2.710505431213761e-20,0.0,0.0,1.3552527156068805e-20,0.0,0.0,5.929230630780102e-21,0.0,1.6940658945086007e-21,3.3881317890172014e-21
3,2.3200487631820605e-05,4.333053477801669e-06,4.047185103942777e-05,2.1128344191381923e-05,0.00012479875522111104,4.507278594491095e-06,3.955207958867707e-05,1.4780176015976642e-06,1.5080192983206975e-05,1.5106656643181083e-06,0.3005039500287656,1.9484548131207766e-05,0.12625542208764354,1.824474088176855e-06,4.8065141271166e-05,1.5186935711908283e-05,1.2411533071409778e-05,1.4262045620417322e-05,0.11086488771292458,1.1386496031613595e-05,0.12498665077363666,2.2422522582186366e-05,0.2826752604272339,1.2802073920705676e-05,1.1189451932491427e-05,3.815667179776582e-05,4.4759376373005485e-05,3.9856112626235736e-05,0.00240566629442332,4.893409645195568e-08,8.814619470510148e-08,4.077825585911477e-08,4.6935553317858095e-05,4.9308520780071624e-05,7.799355751470218e-05,0.00024166706902760957,0.00026715828602919705,0.0014111174911695945,0.00011797283771532455,0.00039799699855519357,0.00114717874944767,0.0021085661457580546,0.00046079861803913354,5.030259422945425e-05,5.0224717209877356e-05,0.0012105427281409156,0.0011861264421527508,0.001343785838846416,9.990358571637036e-08,0.00011979605615488161,2.3174038931651016e-05,0.004998334081981043,0.0004518865261336724,9.372583057047461e-06,0.001667373002563553,0.0014125751375774066,0.0021061405676495813,0.00039032810216342606,0.005087253047238829,0.0008719313153077362,0.0010320012093114088,0.0006642920204347337,0.0014111086686002668,0.001697225323013649,0.0014334279303559938,0.0011521041064583176,0.0013573660255104042,2.6469779601696886e-23,4.658681209898652e-21,1.6940658945086007e-21,1.0164395367051604e-20,4.235164736271502e-22,8.470329472543003e-22,3.3881317890172014e-21,0.0,8.470329472543003e-22,2.7755575615628914e-17,4.235164736271502e-22,1.6940658945086007e-21,0.0,0.0,0.0,8.326672684688674e-17,8.470329472543003e-22,2.117582368135751e-22,6.776263578034403e-21,3.3881317890172014e-21,1.3552527156068805e-20,3.3881317890172014e-21,6.776263578034403e-21,0.0,3.3881317890172014e-21,1.3234889800848443e-23,0.0,0.0,1.0842021724855044e-19,0.0,0.0,4.235164736271502e-22,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,4.235164736271502e-21,1.0842021724855044e-19,1.6263032587282567e-19,1.7991178323028352e-23,0.0,1.8404768629304866e-23,0.0,5.421010862427522e-20,1.3552527156068805e-19,0.0,1.0842021724855044e-19,0.0,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,4.235164736271502e-22,2.117582368135751e-22,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,1.3234889800848443e-23,2.710505431213761e-20,0.0,8.470329472543003e-22,0.0
4,1.3151570174479501e-05,4.952279912693456e-07,3.597820787162378e-05,1.1238379401586492e-05,8.980523813128976e-06,2.9417269020806677e-07,3.587133787013394e-05,8.912418568047624e-07,3.0557381344464413e-06,8.93321559147324e-07,0.00022278328283700064,1.1857243771514517e-05,9.719740677996923e-05,8.567109378096023e-07,7.235428958944278e-06,2.887087850823153e-06,4.556078464665521e-06,2.601307655202305e-06,7.843796226494059e-05,4.153653308754402e-06,9.002112039378184e-05,6.663581850112012e-06,0.00020325921679227436,3.3336453976577014e-05,3.912414724298466e-06,3.468882223771214e-05,6.546920778736707e-06,3.545382498828717e-05,0.002354047354048117,7.827789467229207e-09,7.1673298906429915e-09,1.3016860429793588e-08,1.1908465899066912e-08,2.676593249359794e-05,2.4041448012075124e-08,0.00010731411847180372,0.00020077236258758335,0.0006242582340766909,1.0300661205284568e-07,0.0003159587665600935,0.0001429395068019572,0.0003352651343763691,0.0002281755962031217,2.7293237551474654e-05,2.725709387089564e-05,0.00033396916316399256,0.0006059717650145702,0.00032778269736386987,1.960827212819323e-08,9.064612584746062e-06,1.309403381435506e-05,0.00029815602821963436,1.7871318834913942e-07,3.693285463988249e-09,8.372828092721826e-05,5.6466882431921585e-05,0.0015553795471164949,2.8409678232439746e-07,0.0003387459944522971,0.00010176008730676922,0.0002254014095806795,0.0006957935538434253,0.0006242584464724425,0.0008437044380906065,0.00041720899148135814,0.00014335512223301907,0.0008167942524978099,6.617444900424222e-24,1.1117307432712692e-21,1.6940658945086007e-21,2.117582368135751e-22,5.293955920339377e-23,6.352747104407253e-22,8.470329472543003e-22,0.0,2.117582368135751e-22,0.0,2.117582368135751e-22,4.235164736271502e-22,8.470329472543003e-22,6.617444900424222e-24,0.0,2.710505431213761e-20,0.0,0.0,4.235164736271502e-22,1.6940658945086007e-21,4.235164736271502e-22,3.3881317890172014e-21,8.470329472543003e-22,0.0,1.0587911840678754e-22,3.308722450212111e-24,1.6940658945086007e-21,1.6940658945086007e-21,5.421010862427522e-20,1.0587911840678754e-22,3.1763735522036263e-22,8.470329472543003e-22,5.421010862427522e-20,1.0842021724855044e-19,0.0,0.0,0.0,5.421010862427522e-20,4.7675976321171576e-24,0.0,4.796678200527225e-24,2.168404344971009e-19,0.0,6.098637220230962e-20,0.0,0.0,2.710505431213761e-20,5.421010862427522e-20,4.0657581468206416e-20,2.710505431213761e-20,0.0,2.710505431213761e-20,0.0,8.470329472543003e-22,1.3234889800848443e-23,0.0,3.3881317890172014e-21,5.082197683525802e-21,3.2526065174565133e-19,1.0842021724855044e-19,3.2526065174565133e-19,0.0,5.293955920339377e-23,6.776263578034403e-21,2.710505431213761e-20,0.0,1.6940658945086007e-21
5,1.014939620823139e-07,7.602726318429322e-08,1.7041511722074767e-07,4.6025070749184594e-08,2.687047122545654e-07,7.647083930191875e-08,1.2040695308037802e-07,4.7813067899496644e-08,4.686667988435313e-09,4.23557185769201e-08,1.3286879225188689e-05,4.5970877112443146e-08,5.816518091790855e-06,4.615493383998685e-08,7.812965235622265e-08,7.12070189346681e-09,3.1647474465061234e-08,8.17987697548294e-09,4.320750628252937e-06,3.0402286253195104e-08,5.022003444703533e-06,5.986031369416618e-08,1.1758881571519357e-05,1.4864581821124972e-07,3.2247074841461894e-08,1.029429394633094e-07,6.646502883875294e-08,1.118671510204819e-07,2.574426716496114e-06,4.792627289789182e-13,4.634743553129834e-13,1.2706150169772005e-12,2.006521912103404e-10,4.823710097574772e-06,1.2272219318502147e-11,8.568292644029977e-07,8.547160408221204e-08,2.518764598626953e-06,7.404048120118359e-14,1.3300423446953624e-07,3.0421695388113166e-06,3.693153835497159e-06,1.8268486499630813e-06,4.647216726302779e-06,4.6466984727958225e-06,3.738869616139464e-06,1.8867701966790673e-06,3.927994270526256e-06,4.341104628947016e-13,2.5133972302411103e-07,9.530504099285584e-08,4.6658013001164774e-07,8.704855849399924e-11,4.013234794969367e-11,6.652063154526173e-07,2.1440221703854927e-07,9.798776879111828e-07,5.741931610172665e-12,7.648535156942883e-07,3.7387695560240054e-07,1.7878109836935398e-06,2.036413052810198e-06,2.5187653494225745e-06,4.238494634547956e-06,3.7588337038096177e-06,3.0532490096890817e-06,6.6774944087777576e-06,2.4233807008389483e-27,1.282957130069746e-21,1.3234889800848443e-23,2.6469779601696886e-23,6.617444900424222e-24,4.1359030627651384e-24,6.617444900424222e-24,1.2705494208814505e-21,6.617444900424222e-24,3.3881317890172014e-21,9.926167350636332e-24,7.444625512977249e-24,1.6543612251060553e-23,1.6155871338926322e-27,1.3234889800848443e-23,3.3881317890172014e-21,3.308722450212111e-24,6.462348535570529e-27,8.271806125530277e-25,4.1359030627651384e-25,0.0,3.970466940254533e-23,0.0,0.0,1.3234889800848443e-23,4.8467614016778965e-27,8.470329472543003e-22,8.470329472543003e-22,0.0,3.2311742677852644e-27,4.963083675318166e-24,4.235164736271502e-22,0.0,8.470329472543003e-22,8.470329472543003e-22,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,2.6759611437010064e-24,4.235164736271502e-22,2.6748634437513914e-24,0.0,9.926167350636332e-23,4.235164736271502e-22,2.117582368135751e-22,8.470329472543003e-22,1.6940658945086007e-21,2.117582368135751e-22,2.117582368135751e-22,2.117582368135751e-22,0.0,2.117582368135751e-21,1.6155871338926322e-27,3.1763735522036263e-22,0.0,4.0389678347315804e-28,7.940933880509066e-22,1.0587911840678754e-22,6.28657265540301e-23,0.0,0.0,0.0,8.077935669463161e-28,3.1763735522036263e-22,2.117582368135751e-22,8.077935669463161e-28,8.271806125530277e-25
6,3.6790830203469186e-08,1.731134671443981e-09,3.419027438163654e-08,7.196894495742073e-11,2.9437307595416274e-08,1.7413898774009255e-09,2.491496880500102e-08,1.0756598797251832e-09,6.282966954419437e-12,9.39713087972389e-10,2.1396867125479114e-08,7.195161583785055e-11,1.2145224753660549e-08,1.0100589205598154e-09,7.25569525353657e-09,1.1755569053710725e-11,2.442252379649589e-11,1.3494587253207548e-11,7.985809828340222e-09,1.4016558708297506e-09,9.488971273692037e-09,5.399684303528161e-09,3.953351232775757e-08,2.9400755171930527e-08,8.461109651650125e-10,2.1426467500115247e-08,5.961760868384537e-09,2.2970316049077825e-08,6.638534732724882e-08,7.243582179774935e-18,7.71484912136597e-18,5.451411236917441e-15,7.465885922146673e-15,1.0519676030150237e-07,9.67289768712813e-16,1.1061215199669075e-08,3.824549523094289e-09,1.1043170636562802e-08,6.253703480262681e-16,6.006793113259597e-09,2.874096191825442e-08,6.063198869318522e-09,2.356521968201704e-08,1.0129054457914319e-07,1.0127697980300063e-07,6.0476196162236846e-09,7.056281712416655e-08,5.921074103528838e-09,5.180639719188908e-16,2.687173141154877e-08,3.523762418906083e-08,1.317508033143354e-08,3.3169171843092193e-15,4.151238556958289e-15,8.542070331508531e-09,4.770894722310457e-09,5.637521413872565e-08,1.0558063071458704e-15,1.5765909947980495e-08,8.493203711569248e-09,2.2924175675725176e-08,8.044363127585448e-08,1.104317306382169e-08,3.2976648166102405e-08,1.7775878581428377e-08,2.8843941856764808e-08,7.406478342477632e-08,5.146084811402694e-31,1.0124281206895134e-17,6.617444900424222e-24,8.271806125530277e-25,1.0339757656912846e-25,2.5485887037156273e-24,1.809457589959748e-25,1.0124268835536657e-17,1.6543612251060553e-24,1.2392426199297885e-17,1.2924697071141057e-26,1.0856745539758488e-24,1.6543612251060553e-24,3.0814879110195774e-32,8.271806125530277e-25,1.1943667482098067e-17,1.2924697071141057e-26,1.1278738792397416e-26,3.877409121342317e-26,1.2924697071141057e-26,7.237830359838992e-25,4.963083675318166e-24,3.308722450212111e-24,0.0,1.6543612251060553e-24,1.374925393232332e-26,1.3234889800848443e-23,1.3234889800848443e-23,8.271806125530277e-25,2.30874935054902e-27,2.5849394142282115e-26,3.308722450212111e-24,8.271806125530277e-25,1.496866036475959e-20,1.945528800724721e-20,1.9852334701272664e-23,8.271806125530277e-25,6.617444900424222e-24,9.690905079375382e-27,1.6543612251060553e-24,9.696140527336204e-27,6.617444900424222e-24,1.1580528575742387e-23,2.481541837659083e-24,1.6543612251060553e-24,1.7997795767928776e-20,1.1484575624686236e-20,8.271806125530277e-24,5.790264287871194e-24,4.963083675318166e-24,2.481541837659083e-24,2.1950891915319695e-20,2.849050045296206e-26,3.308722450212111e-24,3.640119761051837e-26,3.944304526105059e-31,3.567216391634932e-24,4.342698215903395e-24,6.617444900424222e-24,3.308722450212111e-24,3.308722450212111e-24,1.7448341046040428e-25,7.888609052210118e-31,5.790264287871194e-24,3.308722450212111e-24,5.202611625642437e-27,1.2924697071141057e-26
7,1.4979293998475041e-09,3.5303124203621143e-10,1.2844224430208733e-08,3.5603186568447677e-12,1.0006693993575298e-08,3.552092265592535e-10,9.546108772031495e-09,2.200215633792827e-10,2.4717387569840273e-13,1.9320382429330568e-10,2.1376501513283804e-08,3.906956695222947e-12,7.3883421190479425e-09,2.0419302132121137e-10,2.562731744431064e-09,5.405893630317296e-13,2.949989991149754e-10,6.19683993770653e-13,5.219122907825032e-09,1.667976483122103e-10,6.195999128965552e-09,1.7566632227075992e-09,5.369163458472869e-10,1.0621603530312614e-08,2.366769528655984e-10,7.905917167963862e-09,2.0067858582483967e-09,8.545390118435098e-09,7.108029162445567e-08,9.663116745457631e-18,9.937211653808002e-18,5.557144445814437e-16,6.181033574274795e-16,3.0650699231882146e-08,2.7502013350806687e-16,7.849025658982575e-09,4.270161290843416e-12,1.979983971217019e-08,3.20541651642909e-17,9.498569972603972e-12,1.2996565705551903e-08,1.7154922841835754e-10,1.6770496973128697e-08,2.9602872203543992e-08,2.9595581665222273e-08,1.294193216686456e-10,4.106563376635847e-08,1.2744068615475755e-10,1.5327126523671654e-16,8.975360089539117e-09,1.4661297612659622e-09,1.2738616600302445e-08,1.7182366526149095e-15,4.271094825387054e-15,5.980929087691478e-09,2.3637287505296728e-09,4.0870882899303295e-08,9.847039713503208e-17,1.4663130025334817e-08,4.22246001648391e-09,1.6135124594298825e-08,4.7174037587302025e-08,1.9799839480110216e-08,3.541704409552444e-08,9.051444391951085e-09,1.3045163057227714e-08,5.5062316274458225e-08,4.930380657631324e-32,5.688536028976525e-18,0.0,4.1359030627651384e-25,5.169878828456423e-26,5.014883437798599e-25,3.19482355727268e-25,5.688535548187891e-18,4.1359030627651384e-25,1.937679187583838e-17,7.754818242684634e-26,1.0339757656912846e-25,1.0339757656912846e-25,0.0,4.1359030627651384e-25,1.9364245200307174e-17,1.0339757656912846e-25,4.5404615033225505e-27,5.62224322594636e-25,5.048709793414476e-29,4.652890945610781e-25,8.271806125530277e-25,0.0,0.0,1.2407709188295415e-24,1.905091690537757e-26,3.308722450212111e-24,3.308722450212111e-24,1.9257798636000176e-24,4.930380657631324e-30,9.04728794979874e-26,1.6543612251060553e-24,2.055026834311428e-24,9.766356056291087e-20,9.521510594975391e-20,2.481541837659083e-24,2.0614891828469987e-24,3.308722450212111e-24,1.3016294299296114e-25,0.0,1.3014853395548922e-25,3.308722450212111e-24,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,6.813528064629917e-20,5.801638021293798e-20,0.0,2.481541837659083e-24,0.0,6.203854594147708e-25,3.622073975883683e-20,1.101533813614412e-25,2.481541837659083e-24,2.1035449354261412e-25,1.9721522630525295e-31,1.7933017186208217e-24,1.0792122054402783e-24,1.6543612251060553e-24,0.0,0.0,2.524354896707238e-25,9.860761315262648e-32,2.481541837659083e-24,0.0,2.4405384255275053e-29,2.524354896707238e-29
8,1.75499288143545e-09,1.5360567863816997e-10,1.3195383711508334e-08,5.177324355628297e-12,9.952692170460567e-09,1.5480729438908625e-10,9.885496619864784e-09,9.283143169545552e-11,3.113320367688796e-13,6.112034983615361e-11,2.0743261082584776e-08,5.684865291634972e-12,7.167636249324582e-09,9.023088412327024e-11,2.640477793771669e-09,8.241242549296935e-13,4.4790743286443566e-10,9.433633153395148e-13,4.936556771817166e-09,2.554226672063728e-10,5.9230075603207625e-09,1.6696922588081436e-09,6.965411833030607e-10,1.0521140964661432e-08,3.6138531678830906e-10,7.922159847015329e-09,1.9752927718885508e-09,8.618361824606209e-09,6.939870456604158e-08,1.3934001831244797e-17,1.4310082178173978e-17,5.751227890882965e-16,9.380949419619078e-17,3.02052285891703e-08,2.4957452236135193e-16,7.656246821216837e-09,4.079037385238218e-12,1.9558634492331616e-08,2.7723412589632954e-17,9.447696312734767e-12,1.2839721493135898e-08,1.6595526078724598e-10,1.641183344392333e-08,2.9125032963843348e-08,2.9117860466618726e-08,1.2517876552910567e-10,3.9703602115758376e-08,1.2449512194509565e-10,1.2185140224661654e-16,8.771371325170733e-09,1.7222799838410726e-09,1.2539390393290145e-08,1.667723202322842e-15,6.2342639429400575e-15,5.757661296704802e-09,2.290091176590248e-09,4.018802643099905e-08,9.931797002305695e-17,1.4409128506814294e-08,4.100642410789357e-09,1.5619011604580608e-08,4.5610346414312925e-08,1.9558634263934794e-08,3.4836563257183687e-08,8.996773533926558e-09,1.2887740265254058e-08,5.3666207806558294e-08,3.697785493223493e-32,5.4368822683530806e-18,1.0339757656912846e-25,4.1359030627651384e-25,5.169878828456423e-26,4.839693207967116e-25,2.770731934625864e-25,5.436880322479352e-18,8.271806125530277e-25,1.8888626274256534e-17,1.0339757656912846e-25,1.6802106192483375e-25,1.0339757656912846e-25,3.0814879110195774e-32,8.271806125530277e-25,1.8880956655616943e-17,1.0339757656912846e-25,6.264837486425818e-27,5.428372769879244e-25,2.524354896707238e-29,4.3943970041879595e-25,2.481541837659083e-24,0.0,2.0679515313825692e-25,1.2407709188295415e-24,2.8241590185461545e-26,0.0,0.0,1.8870057723865944e-24,9.269115636346889e-30,1.0339757656912846e-25,8.271806125530277e-25,2.042102137240287e-24,1.4375737301681579e-19,1.4102436827294058e-19,8.271806125530277e-25,2.0356397887047165e-24,4.963083675318166e-24,1.9251582165548e-25,8.271806125530277e-25,1.924987871903079e-25,3.308722450212111e-24,1.6543612251060553e-24,4.1359030627651384e-25,2.481541837659083e-24,9.919094956399004e-20,8.412302752572408e-20,1.6543612251060553e-24,2.481541837659083e-24,4.1359030627651384e-25,2.0679515313825692e-25,5.107499070512268e-20,1.7918344373371106e-25,8.271806125530277e-25,3.1369527212656667e-25,9.860761315262648e-32,1.7335249946667943e-24,1.0319562817739188e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,2.205276437763443e-25,0.0,1.6543612251060553e-24,4.1359030627651384e-25,3.769276012759147e-29,2.524354896707238e-29
