,Y0Z2,Y2Z0,Y2Z4,Y4Z2,Y1Z4,Y4Z1,Y3Z0,Y0Z3,Y3Z4,Y4Z3,Y1Z3,Y3Z1,Y5Z0,Y0Z5,Y1Z2,Y2Z1,Y5Z4,Y4Z5,Y5Z2,Y2Z5,Y0Z4,Y4Z0,Y1Z0,Y0Z1,Y5Z1,Y1Z5,standard_x,X0X4,X2X3,Y0Y4,Y2Y3,X0X1,Y3Z2,Y2Z3,X1X2,X3X4,X2X4,X4X5,Y0Y1,X3X5,X1X4,X4,X2X5,X0X3,X1X3,X0X2,X1X5,Y1Y4,X2,X0X5,Y2Y5,Y1Y2,X0,X3,Y3Y5,Y2Y4,Y3Y4,Y1Y3,X1,Y1Y5,Y4Y5,Y0Y2,Y0Y5,X5,Y0Y3,Y5Z3,Y3Z5,X5Y4,X4Y3,Y4,Y2,X5Y3,X3Y4,X2Y5,X2Y4,X1Y4,X1Y2,X0Y4,X0Y1,Y0,X0Y5,standard_y,Y1,X5Y0,X4Y0,X3Y2,X2Y0,X0Y2,X5Y1,Y5,X3Y1,X3Y0,X4Y1,X2Y1,X1Y0,X4Z1,X3Z0,X2Z5,X2Z4,X2Z1,X1Z0,X0Z1,X4Z5,X4Z2,X4Z0,X3Z4,X1Z4,X2Z3,X2Z0,X1Z5,X1Z3,X0Z3,X0Z2,X3Z5,X5Z4,X5Z2,X0Z5,X0Z4,X3Z2,X1Z2,X5Z3,Y3,X5Z1,X5Z0,X5Y2,X4Z3,X4Y5,X4Y2,X3Z1,X3Y5,X2Y3,X1Y5,X1Y3,X0Y3
0,0.8472873944723904,0.8472649331087674,0.8355969830114816,0.8355520688462035,0.7886215092252478,0.7885162801517949,0.7636370412675502,0.7636324289329801,0.7621426001106868,0.7620768278032852,0.6514959682102399,0.6514652569400341,0.49539969203146794,0.49532611396775905,0.44941414583369066,0.449378332564281,0.4453532774267327,0.4452513930113535,0.4327336327134432,0.4326578915908592,0.25500832138029733,0.25498785400881335,0.13433877917130257,0.13433163499577844,0.0938506601505837,0.09384171158905821,0.09106632470785642,0.036640916525044434,0.03394149625079765,0.03233265798355314,0.031554382823861776,0.02868994182598631,0.02834071910629713,0.028339796600800174,0.026779057773007597,0.025924157089965642,0.025744950853165662,0.02407996951468122,0.022520158914357574,0.02229433967045978,0.021961765716154068,0.02164896215426662,0.020718803418930405,0.020529823638960262,0.02016026019402567,0.020003573487340803,0.018976738219250534,0.01896579223897151,0.01806653144468228,0.017789342230953353,0.01668426339344013,0.01663968839305066,0.016299633319420616,0.015897062449534153,0.015824013316465324,0.015697405148535043,0.014664538890446801,0.014333994110612293,0.012755024466965836,0.012273245091306187,0.011271756250312757,0.010190984140459183,0.009890040931172064,0.006399110872986904,0.00613999886237431,0.002105851198169733,0.0021055511459725784,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.5102810375396984e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,3.469446951953614e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,5.421010862427522e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.2197274440461925e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,5.421010862427522e-20,5.421010862427522e-20,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00017773442945893012,0.00018091592911033226,0.00017971465052634339,0.5738884710361382,0.7860829995090404,0.7783828618151984,0.7282488728693044,0.0001589177691502507,0.7547498785865983,0.7522835979610679,0.6494004179067272,0.6451473120369848,0.06303786783519431,0.0001010364335412241,0.31449353499213584,9.588021141955562e-05,0.43819022474637503,0.4395315976463402,0.06006923292440896,8.919597153850054e-05,5.1444319631209986e-05,0.5703886019559836,0.3126016315689756,2.700882737047354e-05,0.0923413916406726,0.09354034741915487,0.04171360926381083,0.0010927703246975179,0.0011014984256725814,0.0011258697035983164,0.0009727738631377014,0.001035868499747258,0.7256992125513865,2.0509747349813486e-06,0.0007344039950018938,0.019726785563097288,0.0006636267854810366,0.014099898484642277,0.0007686158093858145,0.01643437687713519,0.015121015008549009,0.016018263590925435,0.0007701426694635284,0.0006581365163534833,0.01747335512056395,0.009362479567007666,0.012413766018386554,0.013232966347078799,0.0007613297643941495,0.0009777768842127131,0.0005924072039947222,0.0006005486725631033,0.001010464072919518,0.014710695227702363,0.008436618868658477,0.0008190399227068809,0.001492025057072981,0.006783096217086969,0.010775437197071943,0.006053349788626145,0.000582647604530368,0.009362283253936218,0.0005605249344170593,0.0019810070854247583,0.0005885701562803203,0.0020721065245962933,0.0020852627827176347,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,1.3552527156068805e-20,0.0,5.551115123125783e-17,0.0,1.3552527156068805e-20,8.326672684688674e-17,1.3552527156068805e-20,0.0,8.470329472543003e-21,6.776263578034403e-21,1.6940658945086007e-21,1.1101552619893762e-16,1.3877787807814457e-17,1.6940658945086007e-21,0.0,1.3552527156068805e-20,2.7755575615628914e-17,0.0,5.551115123125783e-17,1.3877787807814457e-17,2.7755575615628914e-17,6.776263578034403e-21,0.0,2.541098841762901e-21,1.9058241313221758e-21,3.469446951953614e-18,8.673617379884035e-19,2.710505431213761e-20,4.0657581468206416e-20,1.0842021724855044e-19,0.0,1.0842021724855044e-19,0.0,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,6.505213034913027e-19,2.710505431213761e-20,1.0842021724855044e-19,4.336808689942018e-19,4.336808689942018e-19,0.0,2.710505431213761e-20,8.809142651444724e-20,5.421010862427522e-20,1.0842021724855044e-19,1.3552527156068805e-20,6.776263578034403e-21,0.0,0.0,1.6305384234645282e-20,5.551115123125783e-17,0.0,5.421010862427522e-20,0.0,1.734723475976807e-18,1.3877787807814457e-17,0.0,8.673617379884035e-19,6.938893903907228e-18,0.0,3.469446951953614e-18,0.0,1.3552527156068805e-20
2,0.00020542920928557726,0.00011827923967972341,7.423452902989753e-05,0.0014786828175181587,0.002048365526112258,0.0019931736953716465,0.7214049816139554,0.00019758957055489225,0.11472586347246852,0.0019255459969392448,0.0016859446866103198,0.10124670765229032,0.06473121590531924,0.00014779034561641019,0.0008187498839930392,7.279718909095241e-05,0.341144930068085,0.0011263276583783346,0.05599025729008776,8.650270766750597e-05,5.661176253559439e-05,0.0014510824550049823,0.0008024803341528716,5.633614962057499e-05,0.33606771891523796,0.00024099580514925158,0.006525832161075472,0.0004915975366795822,0.0059112935936403415,0.0008195496681452741,0.0048722770417192526,0.0003691750054605036,0.7138519727511453,5.018632486894774e-05,0.000495992594459423,0.0026596272565587364,0.00035252687076085224,0.002692320187666677,0.0008342204946160444,0.01054427196785701,0.0025669174272432236,0.0028633082335199917,0.003929975547347418,0.0037207894968396315,0.0027484618792678753,0.00965991735416526,0.00259734628693879,0.0027779921668379054,0.0039211990421534485,0.005606417367633237,0.0033732435486309694,0.0008253604070671462,0.005885429722426377,0.009091419462472178,0.004184348299540836,0.0008092042889310099,0.0021506696411757982,0.0024311487553452934,0.0025985989027532035,0.0009805290285803143,0.0003200936534015862,0.009660329678180542,0.0031931123792819597,0.0017791343269099238,0.002598481520878382,0.0020431537548627593,0.0020695540232764063,0.0,2.168404344971009e-19,2.168404344971009e-19,6.776263578034403e-21,0.0,0.0,6.776263578034403e-21,0.0,0.0,1.6940658945086007e-21,6.776263578034403e-21,1.6675961149069038e-21,3.3881317890172014e-21,0.0,5.56432883710295e-17,8.131516293641283e-20,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.710505431213761e-20,0.0,8.131516293641283e-20,6.776263578034403e-21,1.3877787807814457e-17,0.0,1.641126335305207e-21,2.168404344971009e-19,1.0842021724855044e-18,6.505213034913027e-19,2.168404344971009e-19,8.673617379884035e-19,3.2526065174565133e-19,4.336808689942018e-19,0.0,1.0842021724855044e-19,2.168404344971009e-19,8.673617379884035e-19,8.131516293641283e-20,0.0,4.336808689942018e-19,8.470329472543003e-20,2.710505431213761e-20,1.0842021724855044e-19,0.0,4.2351647362715017e-20,0.0,2.168404344971009e-19,0.0,4.336808689942018e-19,6.505213034913027e-19,3.2526065174565133e-19,1.0164395367051604e-20,5.551115123125783e-17,2.168404344971009e-19,2.168404344971009e-19,1.3552527156068805e-20,4.336808689942018e-19,1.3552527156068805e-20,0.0,0.0,2.7755575615628914e-17,0.0,2.0328790734103208e-20,0.0,0.0
3,1.5429000124676593e-05,2.076722819670135e-05,1.2352716124115562e-05,5.712206627992728e-05,3.506189750021074e-05,2.614813402401692e-05,0.00163653115293683,1.6015878591658785e-05,0.00027884275718903083,5.827396208067918e-05,4.4888471839390294e-05,0.0002005218018890346,0.06439197585104045,9.218789430270224e-06,4.314477445566566e-05,1.1497649651676198e-05,0.33706418421808415,1.67850142292276e-05,0.050150573638980456,1.4486919963474138e-05,2.495778908750594e-06,5.6885849748755933e-05,4.321136110391534e-05,2.315357958537139e-06,0.3238603802895895,2.959457753405632e-06,0.004506026762298663,1.1284427341186147e-07,0.0006215188105361633,2.233012647652874e-07,0.0006209991874595272,7.332426186445738e-08,0.001607984209904986,2.1236847457967518e-05,2.280007523097615e-05,2.9286836957121668e-05,2.352503858050999e-06,0.0005172446310117085,2.446783609960125e-07,0.0024038447503089743,0.003348896126882184,0.0005626498884157215,0.000511985274580928,0.0004692083151126493,0.0001752483226899326,0.002376771857419346,0.0005031820023187702,0.003769311179911713,0.0005171375545622158,0.0005994411261178371,0.00045080573377196407,0.00011042332700563859,0.0006294919533901149,0.0025190045378044963,0.00030468647329803323,0.00010721671287196423,0.0005848436618646733,0.0006023721092429258,0.0005077640592423427,0.00024173162090273116,7.776050750514434e-05,0.0023767740622784826,0.00016165865215766009,0.0019108066641999,0.0004839475823912408,0.06220180591104835,4.577663965431433e-06,5.082197683525802e-21,0.0,3.3881317890172014e-21,1.6940658945086007e-21,1.0842021724855044e-19,8.470329472543003e-22,0.0,2.117582368135751e-22,0.0,0.0,0.0,4.1359030627651384e-25,4.235164736271502e-22,4.235164736271502e-22,3.8116482626443515e-21,1.6940658945086007e-21,4.235164736271502e-22,0.0,0.0,0.0,5.421010862427522e-20,1.6940658945086007e-21,0.0,1.6940658945086007e-21,4.235164736271502e-22,1.3877787807814457e-17,1.0587911840678754e-22,2.0679515313825692e-24,0.0,3.2526065174565133e-19,4.0657581468206416e-20,5.421010862427522e-20,0.0,0.0,0.0,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,2.710505431213761e-20,2.710505431213761e-20,0.0,2.371692252312041e-20,2.710505431213761e-20,6.776263578034403e-21,3.3881317890172014e-21,5.886878983417387e-20,0.0,1.6263032587282567e-19,3.3881317890172014e-21,5.421010862427522e-20,2.168404344971009e-19,2.710505431213761e-20,0.0,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,1.0842021724855044e-19,2.117582368135751e-22,0.0,0.0,0.0,0.0,4.235164736271502e-22,2.117582368135751e-22,8.470329472543003e-22
4,9.892901229985214e-07,6.092716765419701e-06,1.2488450802782396e-07,1.1925131176619063e-05,5.54909424345481e-05,1.2957909798149912e-05,3.509641083275896e-05,9.816824070947683e-07,1.5859973374702538e-05,1.1753994213933197e-05,5.388897398044989e-05,1.4705901195343636e-05,0.00048289432883806825,3.337647275691745e-07,5.328409503069568e-05,3.835134827546835e-07,0.002447539429923611,1.731236229523586e-05,0.000340719613267051,5.49592909908636e-07,2.9518066589299216e-07,1.1750604891398581e-05,5.344424517553696e-05,2.9610228712817466e-07,0.002293537884189957,5.152667236426493e-05,0.0006093253359176572,2.284478039619037e-09,3.0619543229798085e-05,2.2766882226437187e-09,3.0615465205917195e-05,3.7296030708677727e-10,3.425992895342727e-05,5.819861039678016e-06,2.4331142486197964e-07,6.07876123311075e-07,2.466471115161989e-09,0.001604521865306056,9.253337343864544e-09,4.776026421169436e-07,0.0008566087090976572,0.000205126794686072,1.095952035941525e-05,1.4623207276957766e-05,0.0005009940192434626,0.00048379930209999653,0.00021114951140361894,0.0008707100035845001,1.8022283657267086e-05,2.132060931538555e-07,1.4243586786850662e-05,5.148135588750948e-06,3.127162493674085e-05,4.6755134235597514e-05,1.8859836438381762e-06,3.804725763100273e-08,1.2287469834679245e-05,0.0016454068045700684,0.0015239110700697458,0.00020156885514934517,0.0017234519092490504,0.00048379917667999245,5.2961404322864346e-08,0.001122251303196571,1.5131548681377013e-05,0.00046170674566197014,1.4798232578155795e-05,1.3552527156068805e-20,4.235164736271502e-22,8.470329472543003e-22,2.117582368135751e-22,1.0587911840678754e-22,1.0587911840678754e-22,0.0,1.6543612251060553e-24,1.0842021724855044e-19,2.481541837659083e-24,0.0,7.94868869875175e-25,0.0,0.0,4.0234064994579266e-21,3.3881317890172014e-21,1.3234889800848443e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,5.426304818347862e-22,0.0,0.0,3.3881317890172014e-21,0.0,1.0842021724855044e-19,3.308722450212111e-24,6.591595506281939e-25,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,8.470329472543003e-22,0.0,5.421010862427522e-20,2.168404344971009e-19,8.470329472543003e-22,0.0,0.0,0.0,5.421010862427522e-20,3.3881317890172014e-21,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,1.6940658945086007e-21,0.0,0.0,0.0,1.3552527156068805e-20,0.0,4.1359030627651384e-25,5.421010862427522e-20,5.293955920339377e-23,1.0587911840678754e-22,8.470329472543003e-22,1.6940658945086007e-21,2.117582368135751e-22
5,2.5218114227788545e-07,1.031752802207897e-06,1.7672825879726675e-09,1.1903351209699603e-08,1.581579253659288e-06,1.199584386004403e-08,1.7672489224199784e-06,2.5210736995042045e-07,3.165514603205128e-07,1.197128526659814e-08,2.093806532080782e-06,1.296049024178397e-07,1.8831223391387885e-07,1.1287794310294726e-07,2.0520261390349054e-06,6.304233271809495e-08,1.6919269044891694e-06,1.2334857870005849e-08,3.5122933615997607e-07,8.167787899073818e-08,9.730456350115621e-08,1.191755924558877e-08,2.054224773868219e-06,9.560520276744251e-08,1.2768180138260526e-06,1.4146402578599904e-06,2.6507169185597032e-05,1.2019410870320753e-12,1.4446432094107697e-05,1.2094383433067013e-12,1.4443989917785388e-05,3.3017486858843e-11,1.7125923155216881e-06,9.76191809154976e-07,9.789923771953259e-08,8.800141943726253e-14,3.880211461618168e-12,1.7912882706782025e-06,1.3294509416757045e-11,3.670096350378741e-09,1.9520135412565766e-05,4.637004289540211e-07,5.078262541805121e-06,6.882243495507552e-06,1.1871084086795526e-06,9.983865531641787e-06,4.915451331385807e-07,1.969982645479934e-05,8.539186150278962e-06,6.835203587776319e-11,6.601725949105721e-06,2.4378616418948256e-06,1.4873537893747875e-05,1.1843333857391326e-05,1.8404676419829003e-08,3.596476008972529e-12,2.0215406857728906e-11,4.027111270355349e-06,2.206935505528237e-06,4.797591525002101e-07,2.0066009817552697e-06,9.983876443222131e-06,1.8988959437585036e-11,3.540592343775029e-05,7.120651545788773e-06,1.7813130122279542e-07,2.8913112927385683e-07,2.117582368135751e-22,1.2924697071141057e-26,0.0,0.0,0.0,6.462348535570529e-27,6.617444900424222e-24,0.0,1.0587911840678754e-22,1.137373342260413e-24,1.6155871338926322e-27,1.6345197956179365e-27,6.617444900424222e-24,4.52364397489937e-26,4.698385879301197e-22,2.117582368135751e-22,1.0339757656912846e-25,1.6155871338926322e-27,1.9852334701272664e-23,0.0,0.0,4.1359030627651384e-25,0.0,6.617444900424222e-24,2.6469779601696886e-23,1.0587911840678754e-22,0.0,9.781875224740546e-28,0.0,4.235164736271502e-22,4.235164736271502e-22,0.0,0.0,2.117582368135751e-22,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,4.235164736271502e-22,8.470329472543003e-22,0.0,4.235164736271502e-22,2.117582368135751e-22,0.0,8.470329472543003e-22,4.235164736271502e-22,0.0,0.0,2.6469779601696886e-22,0.0,8.470329472543003e-22,0.0,2.6469779601696886e-23,1.0587911840678754e-22,1.2924697071141057e-26,8.470329472543003e-22,5.169878828456423e-26,6.617444900424222e-24,1.2407709188295415e-24,3.308722450212111e-24,5.293955920339377e-23
6,1.2147394805207072e-08,2.460289390334827e-07,1.1185607038011658e-08,7.415019143198221e-10,1.3503803748723246e-07,7.555525378943761e-10,2.393678599942734e-08,1.2142589753741949e-08,6.724302071497169e-09,7.406530900541727e-10,1.7747537138310119e-07,3.2019886965256305e-09,1.4226713142416503e-08,5.4236703784294485e-09,1.7327692803274682e-07,1.125998239067067e-08,4.589094963085153e-08,7.705129988533277e-10,7.354106559189825e-09,2.04306217600675e-08,4.469905294994154e-09,7.354563646666513e-10,1.7347060701284585e-07,4.544239184686882e-09,1.5012469157608833e-07,1.1643368815359871e-07,1.6911063180269932e-07,1.7725720367237044e-15,3.435808639706152e-07,1.784691955195121e-15,3.435227515516333e-07,8.421538782884711e-14,2.3022454931762062e-08,2.3026918763629332e-07,2.276182657850339e-09,7.026641712805913e-16,1.963475106799961e-15,6.392443113890341e-08,9.182246586125994e-14,6.487348429250383e-11,4.6233013866642364e-08,1.4441513043822161e-08,1.1871154753992615e-07,1.5858218194730794e-07,3.6924799860283686e-08,2.0486649946818173e-07,1.510327770913849e-08,4.527144554851783e-08,2.004275601594649e-07,6.807808183123474e-14,1.5528521611005316e-07,5.804398479805729e-08,3.566742682478136e-07,2.542438428074564e-07,3.22505239456722e-10,2.4312366257134702e-14,1.874990548727807e-14,1.2590180008817152e-07,7.632867294876737e-08,1.4776150718872125e-08,7.118464914573891e-08,2.0486644887214646e-07,2.5388764677781342e-14,4.2977167804533306e-08,1.6407755300079255e-07,1.332722680320061e-08,5.540454389745011e-09,3.3087224502121107e-23,0.0,5.169878828456423e-26,6.617444900424222e-24,8.077935669463161e-28,7.888609052210118e-31,4.1359030627651384e-25,3.1554436208840472e-30,1.6543612251060553e-24,2.908056841006738e-26,0.0,2.0214560696288428e-30,8.271806125530277e-25,1.5777218104420236e-30,7.496324301261813e-24,0.0,2.524354896707238e-29,1.5777218104420236e-30,8.271806125530277e-25,0.0,0.0,0.0,0.0,6.203854594147708e-25,0.0,0.0,2.0679515313825692e-25,1.5345809796877495e-30,8.271806125530277e-25,6.617444900424222e-24,0.0,0.0,1.3234889800848443e-23,3.308722450212111e-24,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,0.0,1.3234889800848443e-23,6.617444900424222e-24,9.926167350636332e-24,0.0,6.617444900424222e-24,0.0,2.6469779601696886e-23,3.308722450212111e-24,1.6543612251060553e-24,0.0,2.6469779601696886e-23,1.3234889800848443e-23,6.617444900424222e-24,3.308722450212111e-24,0.0,0.0,0.0,4.1359030627651384e-25,0.0,1.3234889800848443e-23,2.3665827156630354e-30,0.0,0.0,8.271806125530277e-25,5.169878828456423e-26,1.0339757656912846e-25,6.617444900424222e-24
7,2.8627291222978762e-09,2.5026692326091225e-08,1.9891937432965757e-09,6.877158232449712e-10,3.1206091168408554e-08,7.046254983847825e-10,4.7693258928018136e-08,2.861405931484293e-09,1.0715186822999388e-08,6.862349342242586e-10,3.969508587972411e-08,2.1876304562290372e-09,5.644366272025809e-09,1.2791722720174025e-09,3.864645361926349e-08,1.0468779023787119e-09,2.871133352150339e-08,7.062585148492568e-10,2.8932762503104543e-09,2.3421639582904943e-09,1.0295970887048452e-09,6.821156976912324e-10,3.87026571204394e-08,1.0681765756975946e-09,6.490449609811322e-09,2.6056348936753414e-08,4.246017876351561e-08,3.3587003128135936e-16,1.6207615464655092e-08,3.294634772611495e-16,1.6382352435949283e-08,5.032099167068711e-17,4.5560182211139205e-08,2.3176494166718365e-08,5.741037336661878e-10,1.0910822555852146e-15,2.2737821121384203e-17,5.840927669490719e-08,1.2094197882392095e-15,9.386616489460079e-11,5.722504945934917e-09,8.964225298179174e-09,3.0106218310890084e-08,4.1737847061412304e-08,2.300696188449775e-08,8.644929094496384e-08,9.232236043901177e-09,5.469827858179241e-09,5.271543998185412e-08,1.3502426946490625e-15,3.963187732630147e-08,1.4997041367883087e-08,1.749654565449589e-08,8.127047171342884e-08,4.762750640882234e-10,3.826273910787208e-16,8.114701370516282e-15,7.851929097946314e-08,6.257807994962236e-08,9.071486387154522e-09,6.438426194708523e-08,8.644929129529819e-08,5.062296144357301e-15,2.4868820294699106e-09,4.317162065007567e-08,5.2341983812417625e-09,7.388525211863163e-09,3.308722450212111e-24,1.5777218104420236e-30,5.169878828456423e-26,1.6543612251060553e-24,0.0,0.0,2.0679515313825692e-25,0.0,1.6543612251060553e-24,8.885729236409477e-27,1.9721522630525295e-31,6.162975822039155e-33,1.0339757656912846e-25,0.0,2.6366382025127757e-24,4.963083675318166e-24,3.1554436208840472e-30,0.0,1.550963648536927e-25,1.6543612251060553e-24,3.308722450212111e-24,6.462348535570529e-26,8.271806125530277e-25,2.0679515313825692e-25,8.271806125530277e-25,0.0,2.5849394142282115e-26,7.703719777548943e-32,8.271806125530277e-25,1.3234889800848443e-23,0.0,3.308722450212111e-24,0.0,6.617444900424222e-24,0.0,0.0,1.6543612251060553e-24,8.271806125530277e-25,0.0,3.308722450212111e-24,3.308722450212111e-24,1.6543612251060553e-24,3.308722450212111e-24,9.926167350636332e-24,2.0679515313825692e-25,0.0,0.0,0.0,0.0,8.271806125530277e-25,3.308722450212111e-24,3.308722450212111e-24,0.0,4.1359030627651384e-25,1.6543612251060553e-24,0.0,0.0,0.0,1.6543612251060553e-24,3.308722450212111e-24,0.0,0.0,0.0,2.0679515313825692e-25,0.0,1.0339757656912846e-25,1.6543612251060553e-24
8,3.737950851256818e-09,4.062036035877205e-08,2.558461899598717e-09,7.10791091696357e-11,2.8443425680089852e-08,7.541363627481295e-11,3.477616346564398e-09,3.7368771283752624e-09,8.816952849530441e-10,7.085382113938644e-11,3.665542748249938e-08,1.1966196973931317e-10,5.296882582796698e-09,1.6677390301794013e-09,3.555683454086867e-08,3.2679936813337144e-09,2.6146613329977594e-08,6.573515129082641e-11,2.2774215026228154e-09,5.2813272155977605e-09,1.321389366483802e-09,7.02112988354041e-11,3.545844202737947e-08,1.3948165638378086e-09,4.868726611412625e-09,2.2780474060518898e-08,8.364783799994206e-08,6.575079659584967e-17,2.9560747299616555e-08,6.485132107242441e-17,2.983321203584416e-08,5.094804184666075e-16,3.2105446381764257e-09,3.710887288645625e-08,8.595255380578511e-10,5.61868931276184e-17,8.195016065383681e-16,2.0351785088374928e-08,6.542117057919362e-16,1.1131577724332436e-10,6.1559682676969606e-09,6.973491778338512e-10,4.487041258443942e-08,6.667451134973454e-08,2.0663838511575392e-09,6.2868516901470425e-09,6.635637578403919e-10,6.625973821600631e-09,8.323334768393895e-08,1.2135445847329346e-15,5.941911057405052e-08,2.277679016114226e-08,3.204502898609035e-08,1.110370238530601e-08,5.799584273138186e-10,4.835963831051868e-15,6.291267940253448e-16,6.243476005643091e-09,1.7939870882795637e-08,6.957122598894049e-10,2.201384993804319e-08,1.0751038019090798e-08,4.9473581560186036e-15,2.7185968561579534e-09,6.89375520730272e-08,4.6885997623123605e-09,5.942775846224749e-10,8.271806125530277e-24,0.0,6.462348535570529e-27,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-26,2.465190328815662e-32,2.1570415377137042e-32,1.0339757656912846e-25,3.1554436208840472e-30,1.6478988765704848e-24,0.0,0.0,2.465190328815662e-32,5.169878828456423e-25,1.0339757656912846e-25,2.0679515313825692e-25,0.0,0.0,1.2924697071141057e-26,0.0,8.271806125530277e-25,5.169878828456423e-26,7.087422195345028e-32,0.0,1.6543612251060553e-24,0.0,6.617444900424222e-24,0.0,8.271806125530277e-25,0.0,5.169878828456423e-26,0.0,0.0,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,8.271806125530277e-25,8.271806125530277e-25,4.1359030627651384e-25,0.0,8.271806125530277e-25,1.6543612251060553e-24,0.0,0.0,0.0,3.308722450212111e-24,8.271806125530277e-25,0.0,1.0339757656912846e-25,2.0679515313825692e-25,2.0679515313825692e-25,4.1359030627651384e-25,1.0339757656912846e-25,3.308722450212111e-24,7.888609052210118e-31,1.6543612251060553e-24,1.6155871338926322e-27,1.0339757656912846e-25,0.0,2.5849394142282115e-26,0.0
