,Y1Z0,Y0Z1,Y5Z4,Y4Z5,Y3Z4,Y4Z3,Y3Z0,Y0Z3,Y2Z4,Y4Z2,Y2Z0,Y0Z2,Y3Z5,Y5Z3,Y2Z1,Y1Z2,Y0Z4,Y4Z0,Y3Z1,Y1Z3,Y5Z1,Y1Z5,Y1Z4,Y4Z1,Y2Z5,Y5Z2,Y5Z0,Y0Z5,standard_x,Y2Z3,Y3Z2,X0X4,X1X4,X0X5,X1X5,X1X3,X0X3,X3X4,X0X2,X2X4,Y0Y4,X2X5,X4,X3X5,X2X3,Y1Y4,X0,X1X2,Y0Y5,Y2Y3,Y1Y3,Y3Y5,Y2Y5,Y3Y4,Y0Y2,Y1Y2,X1,X4X5,X5,X0X1,X3,Y0Y3,Y4Y5,Y2Y4,X2,Y0Y1,Y1Y5,standard_y,Y0,X3Y0,X2Y0,Y3,X3Y1,Y1,X5Y3,X5Y1,X5Y0,X1Y3,X0Y5,Y5,Y4,Y2,X4Y3,X4Y1,X2Y1,X0Y3,X1Y0,X5Y4,X4Y5,X3Y5,X1Y4,X1Y5,X0Y1,X3Y4,X0Y4,X3Z4,X5Z0,X5Z1,X4Z5,X0Z2,X1Z5,X4Z2,X5Z4,X2Z4,X2Z1,X2Z0,X1Z2,X0Z5,X3Z0,X2Z5,X1Z4,X1Z3,X5Z3,X4Z3,X3Z5,X5Z2,X2Z3,X3Z2,X5Y2,X4Z1,X4Z0,X4Y2,X4Y0,X3Z1,X3Y2,X2Y5,X2Y4,X2Y3,X1Z0,X1Y2,X0Z4,X0Z3,X0Z1,X0Y2
0,0.9122784340726977,0.9122092911430328,0.9067112663935447,0.9066236630576804,0.6216509198069007,0.6215780200713825,0.5657454824837297,0.5656893292952772,0.553368311626196,0.5532884186854126,0.49431050014809164,0.4942480373740616,0.3678172952997748,0.367809699232078,0.35534764881838266,0.35532967743847166,0.35321798835197554,0.3532116251165254,0.17282058409954687,0.1728165290214872,0.1610506662873136,0.16105021336256944,0.12187313392950488,0.12186170125560108,0.1190720858237797,0.1190663986848001,0.11359942100775486,0.11359049137326027,0.0679408688130611,0.03296663345528618,0.03296573970103084,0.029392020356191956,0.02653942568579592,0.025190486936059207,0.01987882568676986,0.018423590872272414,0.0176713441219269,0.017544309543228866,0.01737899605201236,0.01734245288832796,0.01678728930119136,0.016743010916466863,0.016545910761959673,0.01612766729554312,0.015627942054689172,0.015446904911154656,0.015345206363315421,0.014688617603183272,0.014683406940114128,0.014578149389747427,0.013257530146852634,0.013194814823929917,0.01254577154224009,0.011454046751528432,0.011037208687516332,0.010866137059277251,0.010293133515209907,0.010207573673306627,0.010105676588720573,0.00899163385821364,0.00872906384683043,0.008707445950004434,0.007087032466887914,0.006928012545977683,0.006921877737025095,0.006696362741133858,0.006400744363880686,2.3592239273284576e-16,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,9.71445146547012e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.734723475976807e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.0408340855860843e-17,1.0408340855860843e-17,6.938893903907228e-18,6.938893903907228e-18,1.5178830414797062e-18,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,5.421010862427522e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,8.131516293641283e-20,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0005187315109095117,0.0005441717633431573,0.8920446061973164,0.8948298234769645,0.615603085770485,0.6134780659681199,0.39019547355058914,0.00034439461956169257,0.5497974665960288,0.5460761145051857,0.14034588490582234,0.0003069031443739611,0.3642341786327322,0.3618470657406526,0.13486442820050293,0.00021394146069526356,0.00021671140783699114,0.2291038795638271,0.3854455415751066,0.00010482653744019977,0.047412751217428585,9.769511007107886e-05,7.400236053664713e-05,0.22605682548661743,0.11830214266556086,0.11713567211512586,0.04565705674791152,7.471700351154752e-05,0.049053601638002604,0.0327536736344569,0.03264466592463507,0.0026515045804029174,0.002462483249077922,0.002729497373432454,0.002376110790574157,0.0025702510607780024,0.002575825062392041,0.01804677290988621,0.0026281735857398084,0.01593515650743406,0.0015596473675082996,0.015672930718166778,0.019216629493691826,0.016792460942519898,0.012677211158743982,0.00205383427141132,0.002762911050165468,0.0025386654650140696,0.001180380595721737,0.0111925738701361,0.0019201442451897118,0.013368976722526342,0.012291389883668475,0.010924842937374762,0.0017416478769874382,0.0020408366614992875,0.0024392377300672943,0.010849211739547254,0.011833241401996784,0.003121441885256205,0.008471676376166703,0.0010792447371886006,0.006898058408182819,0.004154671965781431,0.004329905585914531,0.003180895232195528,0.0010835145712269584,4.854515227303846e-17,0.0,0.0,5.421010862427522e-20,2.7755575615628914e-17,2.710505431213761e-20,2.710505431213761e-20,0.0,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,6.938893903907228e-18,2.7755575615628914e-17,0.0,5.551115123125783e-17,5.421010862427522e-20,0.0,2.710505431213761e-20,3.537209587733958e-18,2.7755575615628914e-17,0.0,6.938893903907228e-18,1.3552527156068805e-20,6.776263578034403e-21,3.4558944247975454e-18,1.3877787807814457e-17,0.0,4.336808689942018e-19,0.0,0.0,8.673617379884035e-19,3.2526065174565133e-19,1.6263032587282567e-19,0.0,3.2526065174565133e-19,4.336808689942018e-19,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,2.168404344971009e-19,2.710505431213761e-20,5.421010862427522e-20,3.2526065174565133e-19,4.336808689942018e-19,4.336808689942018e-19,1.0842021724855044e-19,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,8.326672684688674e-17,5.551115123125783e-17,3.2526065174565133e-19,4.0657581468206416e-20,0.0,0.0,2.168404344971009e-19,5.421010862427522e-20
2,4.3421098518270205e-05,5.408484774051268e-05,0.005112958277550901,0.005152906010473782,0.25935384993999705,0.0035430173076406546,0.38699675788385196,3.900259173327588e-05,0.4320958971073976,0.003155437048996795,0.14057826486275288,3.900808594328843e-05,0.23131416916045122,0.0020876745638941886,0.1324252784887543,2.8564157801458478e-05,9.201117922379566e-06,0.0013253711714465274,0.3799551137246296,1.463217964158985e-05,0.00027267343800886477,7.009758646497574e-06,6.764881494589939e-06,0.0012992908198460483,0.4129148738565448,0.0006831220163613766,0.00025775545035761,8.54354243942396e-06,0.0056148089156623626,0.03254360073360257,0.03233214519429352,3.665309356967469e-05,9.399640913926253e-05,9.017065066877907e-05,3.63711154798411e-05,0.001779105862797193,0.0016771427817724276,0.002480797357116293,0.001718960623085121,0.0023482725882317743,0.0003636268260255905,0.0024084401646411566,0.0028124731162040414,0.0022433341980939493,0.004223561986094791,0.000360453879943315,0.0018240476938865974,0.001761323904513606,0.0003539201267380958,0.0029943413747773573,0.0010864544806589724,0.0021250833842327782,0.0018629651071261704,0.0017514372442439608,0.0009919194697538894,0.0012066925805921825,0.0016973055099407238,0.0027797073671816915,0.002006253322422505,0.0026951575200460866,0.002320528974204227,0.00048529232405860386,0.0031739342706375664,0.0012088311314976227,0.0019969067066589108,0.002747426513576933,0.0003533127006923653,2.754042924702632e-17,0.0,0.0,3.3881317890172014e-21,0.0,1.6940658945086007e-21,1.6940658945086007e-21,2.168404344971009e-19,6.352747104407253e-22,0.0,5.082197683525802e-21,1.6940658945086007e-21,0.0,2.168404344971009e-19,2.7755575615628914e-17,2.168404344971009e-19,4.235164736271502e-22,0.0,0.0,2.4580896129319796e-18,8.326672684688674e-17,2.7755575615628914e-17,1.3552527156068805e-19,4.235164736271502e-22,1.2705494208814505e-21,2.4750302718770656e-18,0.0,0.0,1.0842021724855044e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,0.0,9.486769009248164e-20,2.168404344971009e-19,4.0657581468206416e-20,0.0,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.3552527156068805e-20,4.336808689942018e-19,0.0,6.776263578034403e-20,8.131516293641283e-20,2.710505431213761e-20,1.0842021724855044e-19,1.0842021724855044e-19,1.6940658945086007e-21,6.776263578034403e-21,2.710505431213761e-20,5.421010862427522e-20,2.168404344971009e-19,2.168404344971009e-19,0.0,8.470329472543003e-22,4.336808689942018e-19,1.3877787807814457e-17,2.710505431213761e-20,0.0,2.7755575615628914e-17,1.6263032587282567e-19,3.3881317890172014e-21,1.3552527156068805e-20,2.168404344971009e-19,2.168404344971009e-19,0.0
3,3.474698095111695e-05,4.251459189940282e-05,0.0008338144181553821,1.0446016245656612e-05,0.23553161397187172,8.299160347284644e-06,0.38375786768076264,3.839479365859323e-05,0.0021563857437933453,1.4036774365419205e-05,0.0006982013492691299,1.2441091937225089e-05,0.1826188912174854,0.0003826029769613243,0.0006450378704882825,2.0471272284690103e-05,1.3425663573659587e-05,4.275582356504452e-06,0.37447652812545534,1.5610665719141317e-05,5.56998015779142e-05,2.2488514891022934e-05,2.236440737573302e-05,4.194996844878775e-06,0.001969261945103578,0.0008081995814519533,5.220371220895407e-05,1.3812595297586957e-05,0.0019985916150765206,0.00016005830228905417,0.22879002644313834,2.3213791934223692e-07,2.3316029432597965e-08,4.07950072012554e-06,2.1179037847422047e-05,0.0015439234946248276,0.001405441425389897,0.00043536276539062524,0.0003438400552354498,0.000613334494743847,7.704329711060366e-07,0.00043560801294411614,0.0004489115246269099,0.0005707095592114606,0.0019141857027697717,7.653836392577442e-07,0.0015531510962645538,0.0002658967598234229,0.00030783956840528504,0.0014475723847779457,0.0010022050247090182,0.0006696170975143835,0.0004330183007845746,0.00012057043031815624,0.0007597036704374519,0.0007585681625873108,0.0014795126950339509,0.0018197303719682716,0.0005058413684304324,0.0033016340352948403,0.0041051452644628415,0.00044231521065565,0.0019309328006597468,0.0006284771869794659,0.001880863034969526,0.003344996729563214,0.000306579802354428,5.561279518492834e-17,6.776263578034403e-21,3.3881317890172014e-21,1.6940658945086007e-21,5.551115123125783e-17,3.3881317890172014e-21,0.0,0.0,1.0587911840678754e-22,2.117582368135751e-22,6.776263578034403e-21,8.470329472543003e-22,0.0,0.0,1.0842021724855044e-19,0.0,2.117582368135751e-22,4.235164736271502e-22,8.470329472543003e-22,4.6546048638399905e-18,0.0,1.0842021724855044e-19,3.3881317890172014e-20,7.940933880509066e-23,4.235164736271502e-22,4.723743928159623e-18,4.235164736271502e-22,0.0,2.168404344971009e-19,5.421010862427522e-20,5.421010862427522e-20,2.0328790734103208e-20,1.0842021724855044e-19,5.421010862427522e-20,3.3881317890172014e-20,1.3552527156068805e-20,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,4.336808689942018e-19,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,2.022291161569642e-20,2.168404344971009e-19,4.0657581468206416e-20,6.776263578034403e-21,6.505213034913027e-19,0.0,2.710505431213761e-20,2.710505431213761e-20,0.0,1.0587911840678754e-22,4.336808689942018e-19,5.421010862427522e-20,2.117582368135751e-22,4.0657581468206416e-20,2.168404344971009e-19,1.0842021724855044e-19,1.6940658945086007e-21,0.0,1.0842021724855044e-19,0.0,0.0
4,3.268974581594548e-07,4.24202190124846e-06,0.00019621724088875924,4.7143040825210555e-05,0.0007224614956596604,1.1584512076868647e-05,0.0011198410939058708,5.095311517008183e-06,2.504896467344986e-05,4.8128655093803474e-05,1.2096655406097657e-05,5.203712079045613e-07,0.00048755272550926945,0.00010535117813153691,1.0325221664882433e-05,1.8390436795566352e-06,3.7824879190785865e-07,9.508228790711475e-06,0.0010855938050845456,5.89172257564491e-07,9.644109544475431e-05,2.0143139066617942e-06,2.042768006291737e-06,9.645152379900947e-06,2.2816161099027178e-05,0.00018394900555130625,9.688645991658266e-05,5.794809226803906e-07,0.006812117643950432,1.2115777597600283e-05,0.0006614747649348298,2.7453114557504636e-08,3.195334134165892e-08,3.424464687041987e-08,1.6758483434669904e-05,7.967139246359473e-05,0.00023286331823094096,4.424815286696065e-06,2.5408415852524085e-07,0.0009661167519129277,2.261379313290394e-08,0.0013384443546278352,0.001395941113918026,0.000546154576255833,9.115746364958541e-05,7.48203402192301e-09,8.02159665419451e-05,4.9142844961160554e-05,2.1312915955032172e-07,0.00018535811670634662,8.003317075003953e-05,0.0012058689197916987,0.0013349554583082222,1.7981571873690796e-06,5.197042488316077e-07,0.00013409988376835582,0.00024306330126578214,0.0008271097727154634,0.0010427511825248106,0.0025531978685877322,0.0030123895747603555,0.0002455227685099572,0.0008666517310294702,0.0009943024364607962,0.001037756504939513,0.0025740475779057193,5.530903666775689e-05,1.0680556069284693e-19,0.0,5.293955920339377e-23,5.293955920339377e-23,1.0842021724855044e-19,2.117582368135751e-22,7.940933880509066e-23,3.3881317890172014e-21,0.0,5.293955920339377e-23,2.117582368135751e-22,0.0,0.0,2.541098841762901e-21,8.470329472543003e-22,0.0,0.0,2.117582368135751e-22,1.0587911840678754e-22,2.7015718805981884e-21,8.470329472543003e-22,0.0,0.0,2.6469779601696886e-23,3.1763735522036263e-22,2.804142276554764e-21,1.6940658945086007e-21,2.6469779601696886e-23,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,2.541098841762901e-21,6.776263578034403e-21,0.0,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,2.0328790734103208e-20,2.541098841762901e-21,2.168404344971009e-19,0.0,0.0,6.776263578034403e-21,0.0,1.0842021724855044e-19,1.0842021724855044e-19,2.710505431213761e-20,0.0,4.336808689942018e-19,0.0,1.0842021724855044e-19,1.0842021724855044e-19,6.776263578034403e-21,0.0,2.168404344971009e-19,8.470329472543003e-22,0.0,2.0328790734103208e-20,8.470329472543003e-22,6.776263578034403e-21,4.235164736271502e-22,0.0,6.776263578034403e-21,0.0,1.0587911840678754e-22
5,1.0217423575700316e-05,1.6880274337649195e-06,2.652998439582438e-05,1.4300143044205547e-06,1.3606445008288538e-05,7.208932536640824e-07,2.1200420267119452e-05,1.6927334591263784e-06,2.9593500741055606e-06,1.417674251787834e-06,2.116204037801608e-06,5.76111106803284e-07,8.775191918246294e-06,1.3536601527901088e-05,1.7141444477161314e-06,4.823051923742413e-06,4.686315315602108e-07,6.559480930957099e-07,2.0469940523171013e-05,9.476215966745364e-06,1.2951004025254663e-05,4.611516227172444e-06,4.475862765957111e-06,6.50745815746776e-07,2.5364278348945895e-06,2.4436895721623576e-05,1.30044544238204e-05,5.205047750323921e-07,7.160727764476191e-06,1.9786111473697586e-06,1.163065697013833e-05,2.5255286018610286e-10,4.762492383230605e-10,3.4096981017434165e-09,2.564006281164507e-06,9.487603869236564e-05,7.654020526400772e-05,9.567963397534713e-10,1.2072843546745572e-09,2.1448486223293977e-05,1.9405106850706287e-10,4.9820339525460595e-06,4.269967921817731e-06,3.196620467752353e-05,1.8999943963273127e-05,4.978191038656898e-10,9.694264937023951e-05,7.643880269376112e-06,1.636672569845613e-09,3.7809500807607654e-05,9.556833856121688e-05,7.068613689877668e-05,4.966053570367183e-06,7.874686266447855e-11,1.2149824558719e-09,2.0744435134362255e-05,8.144828389062387e-05,0.00019534380668213808,2.357298231093337e-05,7.228790920880833e-05,9.828949012439381e-05,8.086297616045789e-05,0.0002053119819729995,2.2139983627057422e-05,0.0002416767453880299,7.268479957098943e-05,8.455967347326034e-06,3.441071348220595e-21,0.0,0.0,2.481541837659083e-24,1.6940658945086007e-21,1.0587911840678754e-22,4.235164736271502e-22,2.117582368135751e-22,3.3087224502121107e-23,1.0339757656912846e-25,1.0587911840678754e-22,1.6543612251060553e-24,1.6940658945086007e-21,5.293955920339377e-23,4.235164736271502e-22,4.963083675318166e-24,1.2407709188295415e-24,3.970466940254533e-23,8.470329472543003e-22,3.81537057540084e-23,0.0,2.6469779601696886e-22,4.235164736271502e-22,1.6543612251060553e-24,2.6469779601696886e-23,1.9748937124703536e-23,4.963083675318166e-24,0.0,0.0,6.776263578034403e-21,6.776263578034403e-21,2.117582368135751e-21,1.0164395367051604e-20,1.6940658945086007e-21,1.4293680984916318e-21,9.634999775017666e-21,2.710505431213761e-20,4.0657581468206416e-20,4.0657581468206416e-20,8.470329472543003e-21,6.776263578034403e-21,0.0,3.3881317890172014e-20,5.082197683525802e-21,6.776263578034403e-21,1.0164395367051604e-20,2.117582368135751e-21,1.0164395367051604e-20,8.893845946170154e-21,2.710505431213761e-20,1.3552527156068805e-20,1.5881867761018131e-22,2.117582368135751e-21,2.964615315390051e-21,6.776263578034403e-21,0.0,0.0,1.5881867761018131e-22,1.5881867761018131e-22,1.6940658945086007e-21,0.0,1.3552527156068805e-20,0.0,1.0164395367051604e-20,6.776263578034403e-21,1.3552527156068805e-20,7.444625512977249e-24
6,4.445858165062604e-07,3.3337788577518104e-08,3.4077677691401575e-07,3.917929779672692e-08,5.123538753569413e-08,1.991012601106532e-08,8.093211558560402e-08,3.318380041377687e-08,1.4571894560749374e-08,3.893878432563852e-08,4.292859495587099e-10,1.154380930630848e-08,2.9782791793635728e-08,1.7798818881222838e-07,6.826637205701996e-10,2.309648135095513e-07,8.847797331838034e-09,1.7739371496484296e-08,7.811927063131441e-08,4.0568595526670025e-07,1.6831315827294257e-07,2.1894692979698618e-07,2.0880368855363064e-07,1.7585301454570725e-08,1.1648143823791513e-08,3.081305776579715e-07,1.6885010426690674e-07,1.0164163518232283e-08,5.215333215138509e-07,2.9390912271775854e-10,4.0522607831292225e-08,6.034097583561969e-14,3.441390960941263e-13,6.444544789091676e-13,1.2502592495221623e-08,1.0254820407546191e-06,6.368742911389963e-07,1.6645019286577202e-13,1.2766216455369185e-14,5.362593991202427e-07,4.457075319701149e-14,5.047615784094134e-07,5.257150503180235e-07,5.452708458995412e-07,5.058761902952746e-08,1.5947559091131334e-13,1.0561777963546274e-06,3.8176892369717815e-08,1.0372153751383228e-12,1.0045871517781282e-07,1.0336081393955027e-06,1.2129931798726114e-06,5.031805028193141e-07,4.0092151588848306e-13,5.314787953940471e-14,1.030311175965792e-07,6.899608194686426e-07,1.8933022767990074e-07,5.953999941163476e-07,7.330184421190077e-07,8.733722169629648e-07,6.734430019544941e-07,2.0296000664828506e-07,5.530169644863754e-07,2.7318467593978483e-07,7.419707679228886e-07,4.143868188870771e-08,7.692779696743157e-23,3.308722450212111e-24,0.0,7.573064690121713e-29,1.3234889800848443e-23,0.0,6.617444900424221e-23,3.308722450212111e-24,0.0,1.5146129380243427e-28,3.308722450212111e-24,2.0194839173657902e-28,1.3234889800848443e-23,6.617444900424222e-24,8.271806125530277e-25,4.0389678347315804e-28,2.524354896707238e-29,3.101927297073854e-25,2.6469779601696886e-23,4.021070158513926e-24,8.271806125530277e-25,8.271806125530277e-25,6.617444900424222e-24,2.524354896707238e-29,0.0,4.147338390447222e-24,0.0,0.0,0.0,5.293955920339377e-23,5.293955920339377e-23,6.617444900424221e-23,7.940933880509066e-23,3.970466940254533e-23,9.26442286059391e-23,1.3234889800848443e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,1.3234889800848443e-23,5.293955920339377e-23,1.5881867761018131e-22,1.3234889800848443e-23,3.970466940254533e-23,0.0,5.293955920339377e-23,5.293955920339377e-23,2.6469779601696886e-23,6.617444900424222e-24,5.293955920339377e-23,5.293955920339377e-23,4.1359030627651384e-24,5.293955920339377e-23,5.293955920339377e-23,1.3234889800848443e-23,0.0,1.5881867761018131e-22,2.0679515313825692e-25,1.6543612251060553e-24,3.970466940254533e-23,6.203854594147708e-25,0.0,6.203854594147708e-25,5.293955920339377e-23,1.0587911840678754e-22,0.0,2.524354896707238e-29
7,6.6043667749061926e-09,1.1722302956087586e-09,4.526666513723548e-08,1.1086338782302819e-09,1.3814124097120292e-08,5.646346736984515e-10,1.9914087287741668e-08,1.163774332168818e-09,1.873639347129889e-09,1.0988569472053107e-09,1.1829914400048792e-10,4.100877516947257e-10,6.334404808413638e-09,2.3185738245008405e-08,1.188615239060287e-10,3.5134412507305686e-09,2.967763204564844e-10,4.951783775411443e-10,1.8992266632566717e-08,5.9050168808253125e-09,2.1740565738221486e-08,3.3043526189039573e-09,3.094198966967132e-09,4.901749081563396e-10,1.3943234900536282e-09,3.9748957100503196e-08,2.1832672900517912e-08,3.551749728815666e-10,3.606966688945114e-08,9.411795992997298e-11,1.0500341051862085e-08,3.419511479024084e-17,1.6456600531340185e-16,1.360960824939844e-15,3.4335541896617645e-10,2.3912212229466295e-08,1.560010262885663e-08,6.904349231499399e-16,2.2316067177471973e-17,1.078714367209774e-08,2.549045089306636e-17,1.1733986798825968e-08,1.2354801869471548e-08,1.264866990574054e-08,3.0465486637670415e-09,2.3315996175357403e-16,2.4858508494098657e-08,1.074956373413434e-09,2.858287844626287e-16,6.037839864196024e-09,2.4099358657063814e-08,2.918291616852466e-08,1.1698756421697569e-08,5.0432628146157085e-16,2.045529382583152e-16,2.8879301315829974e-09,1.714607658437597e-08,2.0205414694098708e-08,1.2304043375250812e-08,3.5419489616825924e-08,4.5776106637440785e-08,1.649290816904894e-08,2.1335407882768565e-08,1.1131968662293322e-08,2.7052179581741908e-08,3.561003020469747e-08,1.1464285754648433e-09,4.652890945610781e-24,0.0,0.0,8.011868568650901e-32,0.0,1.0339757656912846e-25,2.0679515313825692e-25,2.5849394142282115e-25,1.6155871338926322e-27,6.162975822039155e-32,5.169878828456423e-26,0.0,4.963083675318166e-24,1.0339757656912846e-25,0.0,3.944304526105059e-31,2.465190328815662e-32,9.693522803355793e-27,8.271806125530277e-25,7.453915138997132e-25,8.401053096241687e-26,8.401053096241687e-26,5.169878828456423e-26,7.395570986446986e-32,0.0,7.538733463526495e-25,0.0,9.244463733058732e-33,0.0,8.271806125530277e-25,8.271806125530277e-25,6.203854594147708e-25,0.0,8.271806125530277e-25,1.8611563782443123e-24,6.979336418416171e-25,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,8.271806125530277e-25,0.0,6.617444900424222e-24,8.271806125530277e-25,1.6543612251060553e-24,8.271806125530277e-25,8.271806125530277e-25,0.0,3.308722450212111e-24,6.203854594147708e-25,1.6543612251060553e-24,0.0,2.5849394142282115e-26,8.271806125530277e-25,8.271806125530277e-25,3.308722450212111e-24,1.232595164407831e-32,6.617444900424222e-24,2.5849394142282115e-26,1.0339757656912846e-25,3.308722450212111e-24,0.0,8.271806125530277e-25,1.2924697071141057e-26,8.271806125530277e-25,0.0,0.0,9.860761315262648e-32
8,6.3658059847604305e-09,1.8343741622043938e-09,4.3033657651226425e-08,1.1069189214729583e-09,1.3644658690717035e-08,5.650886853166553e-10,1.915081665950431e-08,1.8176862909950993e-09,1.762069555682502e-09,1.091620393973984e-09,1.0491677211805948e-11,6.478764623651701e-10,5.371959098188157e-09,2.1924896866077642e-08,2.9508405308595573e-11,3.4486435181756517e-09,4.4201046734717737e-10,4.902830324734244e-10,1.8161103161375992e-08,5.603536368061444e-09,2.038031118770306e-08,3.2168728707982786e-09,2.9583616732330854e-09,4.84531638529189e-10,1.235370342732469e-09,3.686230757896782e-08,2.0471538671970346e-08,5.520218862715122e-10,5.041890072810401e-08,6.261905872718893e-12,9.746878410143612e-09,4.53034111066571e-17,1.389311090680744e-16,1.5435560131004037e-15,3.08746791453785e-10,2.8071015663291786e-08,1.7255414946901104e-08,4.4040660555819325e-16,5.179912043858281e-17,8.757417521120184e-09,3.361348775067196e-17,8.65262429642874e-09,9.083228769260482e-09,1.0477256581257412e-08,3.0100285557403313e-09,2.0298490450742603e-16,2.9402965320928787e-08,9.88472264356659e-10,3.8292607102589897e-16,5.953784158151342e-09,2.8294571197428387e-08,2.4362170621153306e-08,8.621363762351296e-09,3.2070161759218364e-16,1.6595252971492534e-16,2.64385936240794e-09,1.9210552998041867e-08,1.7770441177181453e-08,1.027601770909496e-08,3.5346864248608036e-08,4.5715816851769904e-08,1.824769861369541e-08,1.8789507495083025e-08,9.052011329881765e-09,2.4551187964281117e-08,3.55354885506193e-08,1.0359343193443183e-09,4.019580789124869e-24,1.0339757656912846e-25,8.271806125530277e-25,2.1031154992708616e-31,0.0,1.0339757656912846e-25,1.0339757656912846e-24,1.809457589959748e-25,1.6155871338926322e-27,2.0954117794933126e-31,1.550963648536927e-25,1.9721522630525295e-31,4.963083675318166e-24,1.550963648536927e-25,1.4217166778255163e-25,3.944304526105059e-31,7.395570986446986e-32,6.462348535570529e-27,4.1359030627651384e-25,1.364060411984723e-24,5.169878828456423e-26,7.754818242684634e-26,1.2924697071141057e-25,1.232595164407831e-32,2.5849394142282115e-26,1.3743597799632885e-24,1.1832913578315177e-30,1.8488927466117464e-32,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.4475660719677984e-24,3.7223127564886245e-24,8.271806125530277e-25,1.0339757656912846e-24,1.4475660719677984e-24,0.0,3.308722450212111e-24,3.308722450212111e-24,4.1359030627651384e-25,2.895132143935597e-24,3.308722450212111e-24,4.1359030627651384e-24,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,3.308722450212111e-24,1.1632227364026952e-24,0.0,3.308722450212111e-24,2.5849394142282115e-26,1.6543612251060553e-24,3.308722450212111e-24,8.271806125530277e-24,0.0,3.308722450212111e-24,0.0,2.5849394142282115e-26,1.6543612251060553e-24,5.169878828456423e-26,1.6543612251060553e-24,1.2924697071141057e-26,1.6543612251060553e-24,0.0,1.6543612251060553e-24,9.860761315262648e-32
