,Y3Z0,Y0Z3,Y4Z5,Y5Z4,Y1Z0,Y0Z1,Y2Z3,Y3Z2,Y4Z0,Y0Z4,Y2Z5,Y5Z2,Y1Z5,Y5Z1,Y3Z5,Y5Z3,Y1Z2,Y2Z1,Y4Z3,Y3Z4,Y5Z0,Y0Z5,Y2Z4,Y4Z2,Y1Z4,Y4Z1,standard_x,Y2Z0,Y0Z2,X0X5,Y0Y5,X0X2,Y1Z3,Y3Z1,X3X5,X1X3,X3X4,Y1Y3,Y0Y2,X1X4,X2X4,Y3Y4,X0X4,Y1Y4,X1X5,X0X3,X2X5,X1X2,Y3Y5,X0,X0X1,Y2Y4,X2X3,X4X5,X5,X3,Y2Y5,X4,Y0Y4,X2,Y1Y5,X1,Y4Y5,Y1Y2,Y2Y3,Y0Y3,Y0Y1,standard_y,X4Y1,X3Y1,X2Y0,X1Y3,X4Y3,Y5,Y0,X5Y4,X5Y3,X5Y1,X4Y2,X4Y0,X1Y0,X0Y1,Y4,Y3,X3Y2,X2Y4,X2Y3,X2Y1,X1Y5,X1Y4,X0Y4,X1Y2,X0Y3,X0Z3,X4Z1,X2Z5,X0Z4,X0Z1,X5Z4,X5Z3,X5Z0,X1Z5,X1Z2,X4Z5,X4Z0,X3Z5,X3Z4,X3Z2,X2Z0,X0Z5,X2Z4,X4Z3,X4Z2,X1Z4,X1Z3,Y2,Y1,X5Z2,X5Z1,X5Y2,X5Y0,X4Y5,X3Z1,X3Z0,X3Y5,X3Y4,X3Y0,X2Z3,X2Z1,X2Y5,X1Z0,X0Z2,X0Y5,X0Y2
0,0.9242107620798267,0.9241784095714252,0.8338792741168275,0.8338117827864269,0.814374166511451,0.8142723470127993,0.7720833921871741,0.7720157052200662,0.7303044331190711,0.7302280795440602,0.6964845046872556,0.696415511883022,0.6513488031845422,0.6512827457183505,0.5457889171861491,0.5457826999151969,0.4274086771604567,0.42740766942492603,0.37875383755317915,0.37872749600939654,0.25726570645363384,0.2572596309737555,0.1886616953647139,0.18865827622341758,0.14726291325222599,0.14725989717526897,0.10021418285619033,0.09600417746152805,0.09599240024167124,0.03962720295278843,0.034215077602561775,0.034167207753157694,0.034139708396397704,0.03413663487151489,0.03266231171121399,0.03183794300815894,0.030357705136355207,0.029881479097172967,0.02757403262667068,0.02679375248548009,0.026673271067714326,0.025619032680496603,0.024893775655972887,0.02463160888084552,0.024137259210395084,0.023110654728824453,0.02307719050310426,0.022367207373494534,0.022273542916475257,0.021266627459496083,0.020932588308609675,0.020127580921356514,0.020098285837836204,0.020079780409182464,0.019692743424671415,0.018933561610063813,0.017639359848887003,0.014298103989557947,0.014055182205928846,0.013090148746528175,0.012974660752340309,0.012932997625872888,0.012441474164285343,0.011721216675401394,0.01110090628344063,0.010381080738286332,0.006955602989853212,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,3.8163916471489756e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,6.938893903907228e-18,2.6020852139652106e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0006499477005952472,0.0006595071151233704,0.8231583958974112,0.8203850603603438,0.7781410969771939,0.0005814910296704039,0.6729262232956283,0.0005423961477719261,0.35184080980661353,0.0005209828046562367,0.6919802885973934,0.6852016429759027,0.6492393130966201,0.6407957158841542,0.00038303834167498956,0.2871338604015761,0.42602472422888027,0.4246439303791716,0.3376755021403879,0.0002656391423998855,0.27691034774380385,0.0001823213045208804,0.1874418302072726,0.1862330934548362,0.14678613557251136,0.1453668887424862,0.04822395930558286,0.6617662722898894,6.64332732182967e-05,0.00022566750542722815,0.00026755720588037316,0.0002716280533441032,0.7671971773621881,2.3929937497309365e-05,0.00024679743436099383,0.0002730330712287951,0.0002834564222238705,0.0002201165119851752,0.0002666049224837889,0.020157923780592144,0.019163586228492138,0.0002287796186456084,0.00017851161024483843,0.0174844024587054,0.020160287794102574,0.01236629763072116,0.01826148704475218,0.019956773804866823,0.0002241486260980352,0.00019549400735845716,0.0001911176178339002,0.008011216528623723,0.00019269192643751225,0.011354511125059488,0.016447092710513485,0.0002614954263262054,0.012310166885072287,0.008589819583232176,0.0001789244526323936,0.011467454762666139,0.0038418796284505593,0.012176581682855722,0.002526576483182774,0.0008135327862046448,0.00017290625439604065,0.012688343409029799,0.00010975088067929334,1.6650634863946134e-16,2.7755575615628914e-17,8.131516293641283e-20,0.0,5.421010862427522e-20,2.710505431213761e-20,0.0,0.0,0.0,2.710505431213761e-20,5.551115123125783e-17,5.551115123125783e-17,0.0,3.3881317890172014e-21,5.082197683525802e-21,8.326672684688674e-17,2.710505431213761e-20,2.710505431213761e-20,6.938893903907228e-17,2.710505431213761e-20,2.7755575615628914e-17,1.3877787807814457e-17,4.163336342344337e-17,1.3552527156068805e-20,2.7755575615628914e-17,5.551115123125783e-17,2.0328790734103208e-20,8.673617379884035e-19,0.0,3.3881317890172014e-21,1.3552527156068805e-20,0.0,0.0,4.336808689942018e-19,8.673617379884035e-19,0.0,6.505213034913027e-19,6.505213034913027e-19,6.776263578034403e-21,0.0,6.776263578034403e-21,0.0,6.776263578034403e-21,2.168404344971009e-19,6.505213034913027e-19,2.168404344971009e-19,1.0842021724855044e-19,0.0,8.326672684688674e-17,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,8.673617379884035e-19,0.0,5.551115123125783e-17,8.673617379884035e-19,6.776263578034403e-21,0.0,2.710505431213761e-20
2,7.98638839081413e-06,2.151452020041683e-05,0.0011236759714636025,0.0010540699565586378,0.7758239157551206,1.748179332710891e-05,0.6693867379652152,2.4283037263631818e-06,0.0004592585476771187,2.0691431142161268e-05,0.5065432722720006,0.0008889384265792783,0.5049224818627505,0.0008307894852906609,7.871651566243078e-06,0.00042591498425945806,0.4245478742184928,0.42181917902275734,0.000427794230220075,9.435263741363147e-06,0.00040572355752286975,1.9921000795819514e-05,0.4813072939785883,0.000239316419192844,0.4819885190354206,0.00018652876368969063,0.04373475513717631,0.650079363882629,1.0306807936680417e-05,0.00028862387179768494,0.00039737353475946465,0.0007682224215283316,0.7568297338369376,2.885116861730604e-07,0.00014347317047694146,0.000977690040605799,0.00029620272145957017,0.0008613299166425222,0.0010654619561148472,0.005808694952217586,0.005903254737255984,0.0004072229423785846,0.0001486599547102066,0.006316969380636959,0.004409544829532659,0.02138355612950274,0.004255626456246558,0.025964489929542277,0.0003948595792311079,0.0004502629748013809,0.0004305181006700967,0.003230122939957127,0.0006359034668852329,0.013366016101968239,0.004863239060558317,0.0009675758214127669,0.0007574266302974564,0.005366571942850855,0.00040973398988659426,0.014707980230757745,0.0037196173241510894,0.01737912510679524,0.01390033916594345,0.0067369157574371265,0.0006752554346323766,0.021610236754704547,0.0004153129510710116,1.942750532657727e-16,2.710505431213761e-20,8.470329472543003e-22,4.235164736271502e-22,1.2705494208814505e-21,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,6.28657265540301e-22,7.014491594449675e-22,1.3552527156068805e-20,4.235164736271502e-22,4.235164736271502e-22,4.0657581468206416e-20,0.0,2.7755575615628914e-17,0.0,4.0657581468206416e-20,0.0,2.7755575615628914e-17,0.0,5.421010862427522e-20,4.336808689942018e-19,1.3010426069826053e-18,0.0,0.0,4.336808689942018e-19,1.0842021724855044e-19,2.168404344971009e-19,1.3010426069826053e-18,4.336808689942018e-19,4.336808689942018e-19,0.0,2.710505431213761e-20,0.0,0.0,8.673617379884035e-19,2.710505431213761e-20,0.0,4.336808689942018e-19,5.421010862427522e-20,0.0,1.734723475976807e-18,5.551115123125783e-17,1.3877787807814457e-16,2.168404344971009e-19,4.336808689942018e-19,0.0,0.0,0.0,1.0842021724855044e-19,1.6263032587282567e-19,1.6940658945086007e-21,2.541098841762901e-21,0.0,1.734723475976807e-18,2.6020852139652106e-18,5.421010862427522e-20,0.0,0.0,1.6940658945086007e-21,1.6940658945086007e-21
3,4.418756688613821e-05,4.891988946044949e-06,0.0001043156394283473,9.20379129395368e-05,0.003036663692433909,5.005684711915724e-06,1.0664876121820022,4.235234761878132e-05,2.8914066380394547e-05,8.214152507703796e-07,0.508465712759611,7.792363121539074e-05,0.0019818893363903016,0.00010363088986800723,1.8270194797929184e-05,0.00010309218218506651,0.0016506182069497858,1.0496264349655222,2.5946865805535012e-05,1.5274564768755766e-05,0.00010290144035780436,1.1232698664563e-06,0.459060484552648,2.228599129960724e-05,0.0018056843973155447,2.791178681143465e-05,0.020250579258826992,1.0524686599447555,2.498893331874377e-06,1.9341619490207756e-06,2.7135058300919066e-06,7.145604102329044e-05,0.0029310045050959478,4.370057364259064e-05,5.5225501680305854e-06,7.333415113092379e-05,0.000463646822669816,7.246660362411137e-05,5.2986500368022986e-05,6.225035254639073e-05,0.00028132986152451826,0.0007074528645432962,9.833399823324667e-07,9.734329864156815e-05,5.06489504361468e-06,0.0001522644844055016,0.0005417798714116915,0.0017240140769597344,0.000684985033495501,7.064985379186312e-05,5.384233508014651e-05,0.0006016574922073217,0.0007412580495771105,0.016241140056669295,0.0005888590938803266,0.0017086395404495212,0.0004215925607098265,0.00024430017188473195,2.8555065082117116e-06,0.016241923247426827,9.348491110175712e-05,0.003062525882923843,0.01660536096631394,0.00016745468699444884,0.000729721397397905,0.0001793045013021711,6.825202466412427e-05,1.1100790290241233e-16,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,4.235164736271502e-22,4.632211430296955e-23,0.0,1.0587911840678754e-22,1.6502253220432902e-22,2.84136540411965e-22,1.0164395367051604e-20,3.3881317890172014e-21,0.0,6.776263578034403e-21,0.0,2.168404344971009e-19,1.0587911840678754e-22,3.1763735522036263e-22,2.117582368135751e-22,3.2526065174565133e-19,4.336808689942018e-19,1.3552527156068805e-20,2.710505431213761e-20,8.673617379884035e-19,0.0,1.3552527156068805e-20,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,3.2526065174565133e-19,1.3552527156068805e-20,1.3552527156068805e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,1.734723475976807e-18,8.470329472543003e-22,8.673617379884035e-19,1.3552527156068805e-20,1.0164395367051604e-20,2.168404344971009e-19,0.0,1.1102230246251565e-16,0.0,0.0,5.421010862427522e-20,0.0,0.0,2.220446049250313e-16,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,0.0,3.469446951953614e-18,1.734723475976807e-18,6.776263578034403e-21,2.168404344971009e-19,0.0,4.235164736271502e-22,1.6940658945086007e-21
4,2.680898518195358e-05,1.2465069137028877e-06,1.277800514345679e-06,6.370725583444959e-07,0.00024269406160425103,1.2624037725200245e-06,0.008562053824136185,2.684182911537291e-05,3.301789778473241e-06,2.13803991275357e-06,0.004139434192849378,3.838108637580602e-06,8.372343628051144e-05,3.3760483571221594e-06,3.1793471226358048e-06,4.210862886058091e-06,0.00023717557932921357,0.008388965427426884,1.5939319066775883e-06,4.533679583885036e-07,3.249527304374479e-06,2.335999392109809e-06,0.003549531828998982,1.625920575093954e-06,7.098486442276656e-05,2.8079548191348796e-06,0.002234238863282688,0.008416417684217352,1.0241768454362377e-06,7.864701872786136e-09,1.4068147769417052e-07,1.019967937340356e-06,0.00023902252509574643,2.630601266941132e-05,1.3462828953153874e-07,9.754624194329325e-07,4.76060116917975e-06,8.527398783412161e-07,8.077549780019453e-07,0.0002382082025328456,0.00012088194242203112,7.301211956369636e-06,1.3284217128272403e-08,0.00040258634681426516,0.00010224833404947757,0.0010936729472421185,0.00026350155243592705,0.0010834017597283162,7.094052209300148e-06,8.497210984054952e-05,0.0009111182482750952,0.00047986247240452344,0.0013988918392466587,0.0047449950926322535,0.0009344607143846645,0.0018747882340604239,0.0004678181831836775,0.0009077386575221675,1.646786214061213e-07,0.00016306047996816103,0.0003891201416340882,0.002188739355308668,0.0047646963332358865,0.0011271862064810051,0.001437929497291486,0.0010812691322815804,0.0009175355277591458,6.670384459627615e-21,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,4.235164736271502e-22,2.117582368135751e-22,2.117582368135751e-22,1.0587911840678754e-22,0.0,0.0,3.1763735522036263e-22,0.0,1.0587911840678754e-22,5.594842868155541e-22,6.170767369645586e-22,2.117582368135751e-22,0.0,6.776263578034403e-21,1.6940658945086007e-21,3.3881317890172014e-21,1.6940658945086007e-21,8.470329472543003e-22,4.235164736271502e-22,2.117582368135751e-22,1.6940658945086007e-21,1.6940658945086007e-21,0.0,5.421010862427522e-20,0.0,3.3881317890172014e-21,6.776263578034403e-21,0.0,0.0,5.421010862427522e-20,0.0,0.0,8.131516293641283e-20,5.421010862427522e-20,8.131516293641283e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,6.776263578034403e-21,5.421010862427522e-20,5.421010862427522e-20,0.0,2.117582368135751e-22,1.1102230246251565e-16,2.168404344971009e-19,2.168404344971009e-19,0.0,4.235164736271502e-22,0.0,2.710505431213761e-20,0.0,8.470329472543003e-22,1.0842021724855044e-19,6.776263578034403e-21,2.117582368135751e-22,4.235164736271502e-22
5,1.639995514564483e-06,8.253631298393405e-08,2.5204002763888044e-06,1.4397633893291517e-06,3.648236723760328e-05,8.213410764932948e-08,2.700922904237635e-05,1.6387923699654643e-06,2.312738483754606e-06,4.243735022606819e-08,2.5714953562872616e-05,1.8294007279989159e-07,1.4647178704747418e-05,4.276518188315694e-07,3.9348689504911745e-07,3.455932045198972e-07,3.552844793385742e-05,8.501575572904664e-06,2.0423812845322188e-06,2.0918711083756474e-07,3.2882043543377176e-07,3.341166871893562e-08,2.0951861584626455e-05,2.0671935925804216e-06,1.2080783931242867e-05,2.244039148083076e-06,6.733183003544105e-05,9.477180074439176e-06,7.849575771129892e-08,3.752670939423299e-11,5.155489266148737e-10,1.5675797091956502e-09,3.5542367813120205e-05,1.6058226940616584e-06,2.2863243603494631e-10,1.3414896124685398e-09,2.4255414040774415e-10,9.355630298784196e-10,1.6652465238320106e-09,2.69376205376926e-05,1.3969660292693431e-05,6.859671595049658e-10,1.151978910067781e-10,4.55290947892778e-05,1.1582636844358588e-05,6.273230670955418e-05,3.033509924263077e-05,6.148262303213793e-05,8.387527652899208e-10,2.1833272876914257e-06,2.344276005886518e-05,5.4423015500872305e-05,3.553268355200985e-05,0.008183375791773997,9.273213919078427e-05,4.799547828740174e-05,5.245564427055662e-05,0.0001212081688092313,5.950011908710675e-10,1.952497938189441e-05,4.3928884214955585e-05,0.00011595465177137576,0.008230392344579045,6.45670961514573e-05,3.638629517258512e-05,6.201406319374704e-05,2.360707096634581e-05,6.815968247436948e-22,1.0587911840678754e-22,4.1359030627651384e-25,8.271806125530277e-25,0.0,4.1359030627651384e-25,5.293955920339377e-23,6.617444900424222e-24,5.551115123125783e-17,0.0,1.0587911840678754e-22,1.0587911840678754e-22,0.0,9.24697451954787e-23,2.040163432679616e-23,0.0,1.0587911840678754e-22,0.0,4.235164736271502e-22,8.470329472543003e-22,0.0,1.0587911840678754e-22,1.0587911840678754e-22,2.0679515313825692e-25,5.293955920339377e-23,0.0,4.235164736271502e-22,6.776263578034403e-21,0.0,5.293955920339377e-23,0.0,2.117582368135751e-22,6.776263578034403e-21,0.0,3.3881317890172014e-21,6.776263578034403e-21,1.3552527156068805e-20,6.776263578034403e-21,4.235164736271502e-22,8.470329472543003e-22,0.0,1.6940658945086007e-21,1.0587911840678754e-22,0.0,0.0,0.0,6.776263578034403e-21,0.0,2.541098841762901e-21,1.6940658945086007e-21,0.0,0.0,2.117582368135751e-22,0.0,0.0,3.3881317890172014e-21,3.3881317890172014e-21,0.0,8.271806125530277e-25,2.117582368135751e-22,3.3881317890172014e-21,1.6940658945086007e-21,2.117582368135751e-22,6.776263578034403e-21,2.117582368135751e-22,0.0,4.1359030627651384e-25
6,0.0006625752462740384,1.447009253502545e-05,0.0018188380168563337,0.0003444909684106399,0.0013777510128674026,1.4685934250583514e-05,0.001970515167407247,0.0006614511036444812,0.0018383615660521918,1.341212089397139e-05,0.00216581851019962,0.0003590889801933587,0.0013078198321109223,0.0003180041891641133,0.000593924052753611,0.0004095443745049977,0.0013071179035764875,0.000640584322683569,0.001710723780681181,0.0005674718724818814,0.00030257332412159284,1.3112539955063636e-05,0.0009765241668335458,0.0016895929731519357,0.0012411089160985548,0.0018051086819892708,0.006017004297346269,0.0005864843216533139,1.3799492232888589e-05,5.622948498119111e-07,4.605465854995132e-07,2.3132093396682485e-07,0.001321800576439241,0.000647975201323499,5.098631539905485e-07,1.1772992248489585e-06,2.9184992201421544e-06,1.0863961267877307e-06,2.456937438613878e-07,5.068202270583715e-05,8.686660359806013e-05,2.8864763775754754e-06,4.489842819204457e-07,4.037227364212811e-05,0.0007986106199495057,8.41259650637984e-05,2.729674809567613e-05,8.196171753654687e-05,4.1119919242367324e-07,2.1983359890374964e-05,0.0005526284941704705,0.00011098218204584449,3.605165519508486e-05,4.2563845975668125e-05,0.0036679999016984615,3.6101930602578354e-05,2.3082710704038982e-05,0.001237230446230175,4.937003946378526e-07,0.00019534609759890356,0.0007475675167773254,0.0009745131423116826,2.2946396817054398e-05,8.535878556601793e-05,3.901934331812125e-05,8.428240065914306e-05,0.0005527090343801571,5.336307567702092e-20,0.0,1.3234889800848443e-23,5.293955920339377e-23,0.0,2.117582368135751e-22,0.0,8.470329472543003e-22,8.673617379884035e-19,0.0,0.0,0.0,3.308722450212111e-24,1.6295458067294645e-22,1.0091603473146938e-21,1.0842021724855044e-19,1.6263032587282567e-19,0.0,1.0842021724855044e-19,5.421010862427522e-20,2.710505431213761e-20,1.3552527156068805e-20,8.470329472543003e-22,0.0,5.421010862427522e-20,0.0,0.0,2.168404344971009e-19,0.0,1.6940658945086007e-21,0.0,2.168404344971009e-19,0.0,2.168404344971009e-19,1.6263032587282567e-19,2.710505431213761e-20,1.0842021724855044e-19,2.168404344971009e-19,0.0,3.3881317890172014e-21,0.0,1.3552527156068805e-19,0.0,2.303929616531697e-19,5.421010862427522e-20,1.0842021724855044e-19,2.710505431213761e-20,2.710505431213761e-20,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-19,0.0,1.0587911840678754e-22,8.673617379884035e-19,3.3881317890172014e-21,3.3881317890172014e-21,2.117582368135751e-22,2.117582368135751e-22,0.0,0.0,1.7618285302889447e-19,0.0,2.710505431213761e-20,0.0,5.293955920339377e-23,5.293955920339377e-23
7,0.0006333022761739662,3.290944603336677e-05,0.0021367607356109603,2.1218564220265966e-05,0.0018337786347518636,3.2766984440119786e-05,0.0018973932628473505,0.0006316179727047914,0.002151137110476931,3.229662987417319e-05,0.0021486264463566737,0.00010607841910101534,0.0017331456372997145,7.346910272941908e-06,0.0005630115300416938,0.00012160994638695996,0.0017235251189002565,0.0005299547044472411,0.0019893563205882776,0.0005348614221508967,1.8056731940291513e-05,2.755855389749467e-05,0.0008605008904227458,0.001984736758787721,0.0016216867545449881,0.0021097898890296393,7.860508806311435e-05,0.0004676445863153752,3.077289873490533e-05,9.354190259460677e-07,1.0525198512445848e-06,2.793455752280405e-06,0.001737051176266847,0.0006173117654407582,2.6902490753848523e-07,2.5584432054189986e-07,6.725152624279328e-06,5.601553144734711e-07,1.5585517643066462e-06,6.658897399043737e-05,0.00013551512549064005,5.4589983020532984e-06,2.1014380075184217e-06,5.3948647716944654e-05,0.00099484786344704,8.154574141918145e-05,4.1024998949877386e-05,7.932222516726866e-05,2.08040569251178e-07,0.0022816838327415086,0.0005689232862024645,0.00016044043568207568,9.917652991834277e-08,2.9974373604134007e-05,0.003531837558999182,0.0019941041166327005,3.2290869421786874e-05,0.0003775111207545995,4.439047085452248e-07,7.156658576388336e-05,0.0009308188333500243,0.0003734777719196587,7.052394759114184e-06,8.222122282342637e-05,2.0334847785368314e-06,8.180993308899825e-05,0.000569819555651514,4.2944570425793027e-19,1.6940658945086007e-21,2.964615315390051e-21,6.352747104407253e-22,1.2705494208814505e-21,6.352747104407253e-22,4.235164736271502e-21,0.0,1.734723475976807e-18,4.235164736271502e-22,2.168404344971009e-19,1.0842021724855044e-19,1.852884572118782e-22,4.9175887416277495e-22,3.825710333057753e-22,0.0,1.0842021724855044e-19,2.710505431213761e-20,0.0,5.421010862427522e-20,1.3552527156068805e-19,5.421010862427522e-20,1.6940658945086007e-21,3.441071348220595e-22,0.0,2.168404344971009e-19,6.505213034913027e-19,5.421010862427522e-20,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,0.0,2.168404344971009e-19,0.0,1.0842021724855044e-19,9.486769009248164e-20,5.421010862427522e-20,0.0,2.168404344971009e-19,1.0842021724855044e-19,0.0,1.1926223897340549e-18,2.168404344971009e-19,1.1519648082658485e-18,1.0842021724855044e-19,6.776263578034403e-20,1.3552527156068805e-19,1.2197274440461925e-19,2.168404344971009e-19,3.2526065174565133e-19,2.168404344971009e-19,0.0,4.0657581468206416e-20,1.6940658945086007e-21,3.469446951953614e-18,0.0,0.0,8.470329472543003e-22,0.0,1.0842021724855044e-19,4.336808689942018e-19,1.2061749168901237e-18,4.0657581468206416e-20,1.3552527156068805e-19,0.0,1.6940658945086007e-21,4.235164736271502e-22
8,0.0009201464832550201,7.556427332176623e-05,0.004192412860299085,0.0022138076796093904,0.0012915975945006842,7.546335616235393e-05,0.0018748737127530452,0.0009168144342439408,0.004220372065781217,7.381082269050872e-05,0.0020705603117981784,0.0015717920997851953,0.0012316942196102852,0.0022303085232312798,0.0008123118932969989,0.0018344038204043999,0.0011990511883839513,0.0004684224283791378,0.003956959685953431,0.0007641287420794441,0.00220488110710477,6.237983920326975e-05,0.0007657655875039137,0.003975092737640944,0.0011605049487194185,0.00415867096167708,0.0001291679694007193,0.00040396123451067525,7.027471967968664e-05,8.103355743717745e-06,6.076674231443832e-06,1.3252517240382444e-06,0.00120500716008519,0.0008938598748731365,6.544363829616859e-06,4.948693282832263e-07,1.6389704183099898e-05,2.3245987655647847e-07,1.3554131419693927e-07,0.00017661187086249292,0.00046308694357184054,1.470427526398972e-05,4.153629031687515e-06,0.0001468607488382402,0.002388965539481466,4.191152852105297e-05,0.00012624631436003334,2.460939513985633e-05,5.606527705919183e-06,0.0023839915935875452,0.0008440025896118143,0.0004346046135883195,5.460452613098978e-06,7.08200715615947e-05,2.30003903735443e-05,0.002095901417405481,9.762506003751646e-05,0.0026077998080572167,6.220593674723314e-07,0.000849475473837588,0.0022396017260553113,0.001174786088872485,2.5178306393524533e-05,3.1763086838543776e-05,2.251447982198036e-06,4.1873398572071625e-05,0.0008449450646469686,4.607859233063394e-19,2.0328790734103208e-20,1.2705494208814505e-21,5.293955920339377e-22,4.235164736271502e-22,2.541098841762901e-21,0.0,2.710505431213761e-20,4.336808689942018e-18,5.082197683525802e-21,4.336808689942018e-19,0.0,6.352747104407253e-22,2.6171994581177796e-21,2.127508535486387e-21,4.336808689942018e-19,1.6263032587282567e-19,1.0842021724855044e-19,4.336808689942018e-19,1.0842021724855044e-19,4.0657581468206416e-20,2.168404344971009e-19,3.3881317890172014e-20,2.117582368135751e-22,5.421010862427522e-20,0.0,4.336808689942018e-19,6.505213034913027e-19,1.0842021724855044e-19,4.336808689942018e-19,4.336808689942018e-19,3.1035287187397564e-18,3.0086610286472748e-18,2.9544509200229996e-18,3.2526065174565133e-19,2.168404344971009e-19,8.673617379884035e-19,6.505213034913027e-19,6.505213034913027e-19,9.75781955236954e-19,6.505213034913027e-19,5.421010862427522e-19,4.336808689942018e-19,2.168404344971009e-19,9.75781955236954e-19,6.505213034913027e-19,3.7947076036992655e-19,2.168404344971009e-19,3.7947076036992655e-19,2.710505431213761e-19,4.377466271410224e-18,2.896852679609707e-18,0.0,1.2705494208814505e-21,3.469446951953614e-18,4.336808689942018e-19,4.336808689942018e-19,8.470329472543003e-21,3.3881317890172014e-21,0.0,4.336808689942018e-19,5.963111948670274e-19,5.421010862427522e-20,2.710505431213761e-19,4.336808689942018e-19,4.658681209898652e-21,1.6940658945086007e-21
9,0.0001749249226159161,0.00019181487504276237,5.336698486955745e-05,0.0004126002657203842,0.0010865599820041151,0.00019228674278433456,0.0018023195566129959,0.0001738252565352709,4.513699374650791e-05,0.00018475448248013072,0.0020362481856093387,0.00018778853761142143,0.001047675181628223,0.0003915783767660093,0.00014829418720481658,0.00011979774794701279,0.0009927496573272569,0.00036493903461279906,0.00016973006215522342,0.0001531966031210107,0.0003314796894218269,0.00015615895370868997,0.000639559634834833,0.00014062103494203967,0.0009850463487552897,3.6709567527405015e-06,0.00012761051853869574,0.00029764411656486595,0.00017755656188317176,2.356884150644296e-06,3.023617497680855e-06,1.1307164846425513e-06,0.0009973775343606823,0.0001693561397437365,2.113756930730174e-06,4.2987845536092803e-07,3.0261609292811234e-06,6.427268502932407e-07,1.1828041826699781e-06,0.0002922272921084227,0.0007311124318401266,3.221515613332266e-06,1.8857709742126028e-05,0.0002477124116388548,0.003481785789045912,2.398807293037832e-05,0.00024348531884004645,5.711298164723781e-06,1.3956925710796413e-06,0.0033175257650814235,0.0002740373302006328,0.0007679089650440027,5.122367265611921e-07,2.0665819716272825e-05,2.6525419591865902e-05,0.0028476631563258492,0.00023475414092710218,0.0033811091110673647,2.3244957965697317e-05,0.0014302546034870682,0.0032652726703705417,0.0015079611449834015,3.7867170977175237e-05,5.224999520980707e-06,2.158790294348798e-06,2.375412079266762e-05,0.00027483156203015176,1.336617990767286e-18,6.776263578034403e-21,5.082197683525802e-21,5.029258124322408e-22,5.929230630780102e-21,2.541098841762901e-21,2.439454888092385e-19,2.710505431213761e-20,8.673617379884035e-19,8.470329472543003e-22,2.168404344971009e-19,4.336808689942018e-19,1.0587911840678754e-21,1.2780354054250554e-20,1.243211101636573e-20,1.0791199748019786e-18,9.486769009248164e-20,0.0,4.336808689942018e-19,1.3552527156068805e-20,4.235164736271502e-21,2.168404344971009e-19,0.0,4.235164736271502e-22,3.3881317890172014e-21,6.776263578034403e-21,0.0,0.0,2.168404344971009e-19,2.168404344971009e-19,6.505213034913027e-19,5.4277871260055566e-18,5.6107462426124854e-18,5.44811591673966e-18,8.673617379884035e-19,8.673617379884035e-19,4.336808689942018e-19,0.0,2.168404344971009e-19,2.168404344971009e-19,4.336808689942018e-19,1.0842021724855044e-19,4.336808689942018e-19,0.0,2.168404344971009e-19,2.168404344971009e-19,8.131516293641283e-19,9.215718466126788e-19,0.0,1.0842021724855044e-19,5.434563389583591e-18,5.4786091028408146e-18,1.6263032587282567e-19,1.1805521702356811e-20,8.673617379884035e-19,0.0,4.336808689942018e-19,4.235164736271502e-22,0.0,6.776263578034403e-21,4.336808689942018e-19,1.0842021724855044e-19,2.168404344971009e-19,1.0299920638612292e-18,2.168404344971009e-19,1.8846483076408183e-20,0.0
