Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.7503981957956729,4.422703924405815e-18,
1,0.7900504661697274,0.1588621144004014,Y5Z1,0.7853981383766919,nan
2,0.8291062110791845,0.3153343203364036,Y7Z3,0.7853981213058334,nan
3,0.8645095579259034,0.45717362698555447,Y0Z2,0.7853981318774136,nan
4,0.8951284239901153,0.579844479312996,Y8Z7,0.7853981195005287,nan
5,0.9103352070828198,0.6407686506793857,Y4Z3,0.7853981308492101,nan
6,0.9225604738054906,0.6897477306249097,Y6Z1,0.7853981955578906,nan
7,0.9589115673245904,0.8353840718163477,X0X2,0.8788033064461744,1.5267419296665035
8,0.9589115676109347,0.8353840729635515,standard_x,-1.2846482760494759e-08,1.5261722599376706
9,0.9634808584253122,0.853690394221699,X0X2,0.3459965020294838,1.5273114783533022
10,0.9634808584253303,0.853690394221771,Y8Z0,-3.597371969958459e-08,-0.09999972671568326
11,0.9634808584253302,0.8536903942217706,standard_x,-2.54779783489794e-15,-0.09999999999999908
12,0.9634808584253303,0.8536903942217714,standard_x,-2.5477978348979404e-15,0.09999999999999878
13,0.9634808584253303,0.8536903942217712,standard_x,-3.126691836387454e-14,1.9246007710874135e-14
14,0.9634808584253304,0.853690394221772,standard_x,-1.14341129607664e-14,0.09999999999999927
15,0.9634808584253304,0.8536903942217716,standard_x,-3.784183306619697e-15,0.09999999999999906
