Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.7469906899938552,1.7529565582392627e-17,
1,0.7848951378314006,0.1498144389889239,Y7Z0,0.7849376381445152,nan
2,0.8221968052951416,0.2972464345263022,Y5Z3,0.78538101462963,nan
3,0.8557071378288774,0.42969346792962587,Y8Z2,0.7848244646423144,nan
4,0.8780769794196536,0.5181085606004568,Y6Z8,0.785399015300147,nan
5,0.8985176225394599,0.5988986434606873,Y4Z1,0.7853980475620427,nan
6,0.9283194491553053,0.7166880900827176,X3X5,0.8926301567253454,1.7240989057286342
7,0.947792579584072,0.793654152826787,X0X7,1.4223060590939198,-0.7190671632761767
8,0.9629153274296613,0.853425660227926,X1X4,1.1382614575831753,2.27342920458651
9,0.9669781205981245,0.8694835403445291,X3X5,1.7403916594775815,-0.7375099974723424
10,0.985244339585889,0.9416793776728904,X0X7,0.7641251845340656,2.592501647358776
11,0.9951068497559284,0.980660196875946,X3X5,0.9542426108237209,-1.7934988529146012
12,0.9996446393980548,0.9985954643252595,X1X4,-0.5331245602516594,0.830741765066528
13,0.9999999772142796,0.9999999099411779,X0X7,0.02206272394896843,-0.1333298204204154
14,0.9999999999999164,0.9999999999996697,Y3Y5,-0.005126985843331118,0.10023202797201117
15,0.9999999999999368,0.9999999999997505,X1,1.4038329307549747e-07,-0.10000006557649457
