,Y5Z3,Y3Z5,Y0Z5,Y5Z0,Y1Z0,Y0Z1,Y3Z2,Y2Z3,Y4Z2,Y2Z4,Y2Z5,Y5Z2,Y1Z4,Y4Z1,Y3Z0,Y0Z3,Y4Z5,Y5Z4,Y4Z0,Y0Z4,Y1Z3,Y3Z1,Y1Z5,Y5Z1,Y2Z1,Y1Z2,Y2Z0,Y0Z2,Y3Z4,Y4Z3,standard_y,Y0,Y2,X4Y5,X5Y4,X2Y5,X2Y0,X1Y3,X3Y2,X1Y4,Y3,X5Y0,X4Y2,X2Y4,X1Y5,X5Y2,X5Y1,X4Y3,X4Y1,X3Y5,X2Y3,X2Y1,X0Y5,X0Y2,standard_x,Y5,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3Y1,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9897544965122043,0.9897544965122042,0.9589804149235308,0.9589804149235306,0.9136429725548911,0.9136429725548909,0.9119047595432644,0.9119047595432643,0.8785568789303244,0.8785568789303243,0.7237390145662357,0.7237390145662356,0.5773872191555337,0.5773872191555336,0.5560701362634135,0.5560701362634135,0.5488988790873057,0.5488988790873055,0.48302248783288215,0.48302248783288215,0.44650040812843694,0.44650040812843683,0.3820970645271843,0.38209706452718417,0.38038975163550337,0.38038975163550326,0.1374780195872312,0.13747801958723116,0.05600704622018776,0.05600704622018768,4.163336342344337e-16,2.220446049250313e-16,1.3877787807814457e-16,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002677804361667451,0.0026778043616674505,0.40291231384136955,0.002594544351033648,0.9136429725548909,0.9136429725548911,0.002467180044278942,0.18816839381568753,0.8785568789303244,0.8785568789303244,0.18816240746373797,0.001958093140009768,0.5773872191555337,0.5773872191555336,0.001504460996667795,0.4029067688529286,0.4928920378493369,0.001485058989591807,0.48302248783288215,0.48302248783288215,0.0644047420521521,0.0012080174877567554,0.06440170943822089,0.0010337727078551413,0.3803897516355034,0.38038975163550326,0.1374780195872311,0.1374780195872311,0.00015152839737634874,0.4928898239322098,2.2193618470778276e-16,1.1102230246251565e-16,5.551115123125783e-17,1.0842021724855044e-19,0.0,1.0842021724855044e-19,0.0,1.0842021724855044e-19,0.0,5.551115123125783e-17,0.0,0.0,0.0,5.551115123125783e-17,3.2526065174565133e-19,0.0,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,3.2526065174565133e-19,8.326672684688674e-17,1.0842021724855044e-19,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,9.918524201776342e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.0842021724855044e-19,4.570252293694283e-18,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0002371541601402439,0.0002371541601402439,0.0002794226082137829,0.0001382265084275213,0.0006336211950267441,0.000633621195026744,0.00021850065661682737,0.1881657657528656,0.8785568789303244,0.8785568789303246,0.1881657187996583,0.0001734144363728758,0.0004004242256375677,0.09436484747921721,2.625392701761291e-05,0.00027942257805201184,0.4928918344748704,0.00013152115310472465,0.09436459247338842,0.0003349812729469379,4.4664416749305345e-05,2.6253869248643796e-05,4.466440025350767e-05,0.00013822643115349412,0.24291176510879225,0.0002638043702489415,0.242911640572682,9.534248024387671e-05,1.3419796580960202e-05,0.49289181711028673,1.3750732865726312e-17,0.0,2.7755575615628914e-17,1.3552527156068805e-20,6.776263578034403e-21,1.3552527156068805e-20,5.421010862427522e-20,0.0,3.3881317890172014e-21,1.3552527156068805e-20,8.470329472543003e-21,0.0,1.3877787807814457e-17,1.3877787807814457e-17,6.617444900424222e-24,1.3552527156068805e-20,6.617444900424222e-24,1.5246593050577406e-20,2.710505431213761e-20,2.7755575615628914e-17,8.470329472543003e-21,1.3552527156068805e-19,1.3234889800848443e-23,2.710505431213761e-20,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,2.491528777766679e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,2.491528827802805e-17,0.0,0.0,0.0,0.0,0.0,0.0
3,2.9862360868964376e-05,2.9862360868964373e-05,8.49078930449881e-06,1.740542614564839e-05,1.925379019970462e-05,1.925379019970462e-05,2.5823703284867734e-05,5.0661607845147014e-05,0.00023654201245575926,0.00023654201245575928,5.066160764470423e-05,5.275186758488431e-06,4.1514555344883296e-06,2.540669137376078e-05,3.3058811820223427e-06,8.49078928996665e-06,0.00013270583711936552,5.2751853667797815e-06,2.540669131036483e-05,7.281882520920721e-06,1.3572133825305945e-06,3.3058811753055637e-06,1.357213374582799e-06,1.7405426136663764e-05,6.540137734166014e-05,4.151454802926686e-06,6.540137731069971e-05,7.281882046974922e-06,2.5823702226396003e-05,0.0001327058370452363,9.105604182983729e-21,1.6940658945086007e-21,1.3552527156068805e-20,4.1359030627651384e-25,1.0339757656912846e-25,4.1359030627651384e-25,0.0,0.0,0.0,3.101927297073854e-25,2.117582368135751e-22,0.0,2.7755575615628914e-17,1.3877787807814457e-17,2.5849394142282115e-26,2.0679515313825692e-25,5.169878828456423e-26,0.0,8.271806125530277e-25,5.551115123125783e-17,1.550963648536927e-25,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,5.082197683525802e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101927297073854e-25,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,1.2296486364172198e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,1.2296486361157859e-17,0.0,0.0,0.0,0.0,0.0,0.0
4,3.385831636675176e-07,3.385831636675176e-07,2.1883533844375743e-07,1.9734488757831348e-07,4.962329821435382e-07,4.962329821435382e-07,2.9279236070552985e-07,2.079236306003447e-09,9.70807603575029e-09,9.708076035750287e-09,2.079236306002389e-09,5.98107171173469e-08,1.069965442943484e-07,1.0427327003455088e-09,3.748249219870558e-08,2.1883533844370926e-07,5.446467389453816e-09,5.981071711734688e-08,1.0427327003437804e-09,1.8767786443017895e-07,3.497981620315653e-08,3.7482492198655e-08,3.4979816203130194e-08,1.9734488757824582e-07,2.6841808666637805e-09,1.0699654429434835e-07,2.6841808666629368e-09,1.8767786443017895e-07,2.9279236070552985e-07,5.446467389453425e-09,2.0679515313825692e-25,0.0,0.0,0.0,0.0,1.9721522630525295e-31,0.0,6.310887241768095e-30,0.0,9.860761315262648e-32,1.3234889800848443e-23,0.0,0.0,1.3877787807814457e-17,6.310887241768095e-30,9.860761315262648e-32,6.310887241768095e-30,9.860761315262648e-32,3.944304526105059e-31,2.7755575615628914e-17,7.395570986446986e-32,1.9721522630525295e-31,0.0,0.0,0.0,1.3234889800848443e-23,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4791141972893971e-31,1.8932661725304283e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-31,1.9679365086939818e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,6.310887241768095e-30,1.967936508695759e-18,0.0,0.0,0.0,0.0,0.0,0.0
5,4.071718600258865e-09,4.071718600258864e-09,2.65386201650641e-09,2.373221517321485e-09,6.017921383328202e-09,6.017921383328202e-09,3.5210495648540146e-09,3.397433848092119e-10,1.5862817529919927e-09,1.5862817529919925e-09,3.397433848092119e-10,7.192691058338237e-10,1.2975695187969825e-09,1.7038060370703147e-10,4.5075531522678963e-10,2.65386201650641e-09,8.899427452299255e-10,7.192691058338237e-10,1.7038060370703142e-10,2.2760087986353496e-09,4.242075627550895e-10,4.507553152267895e-10,4.242075627550895e-10,2.373221517321485e-09,4.38590212400367e-10,1.2975695187969825e-09,4.38590212400367e-10,2.2760087986353496e-09,3.5210495648540146e-09,8.899427452299255e-10,2.5849394142282115e-26,0.0,2.5849394142282115e-26,3.851859888774472e-34,9.62964972193618e-35,3.851859888774472e-34,0.0,1.5407439555097887e-33,1.925929944387236e-34,0.0,0.0,1.5407439555097887e-33,0.0,1.3877787807814457e-17,7.703719777548943e-34,1.925929944387236e-34,7.703719777548943e-34,4.81482486096809e-34,3.851859888774472e-34,2.7755575615628914e-17,4.81482486096809e-34,3.851859888774472e-34,7.703719777548943e-34,7.703719777548943e-34,3.574244119199439e-15,2.0679515313825692e-25,7.31850210889278e-26,0.0,5.277465015728713e-09,1.5331256515458917e-25,1.430357498510348e-25,3.758823486327227e-09,8.491498900004546e-26,1.4008664393792613e-23,4.834241587825296e-24,9.727249791856553e-24,3.762407911663487e-24,2.0679515313825692e-25,9.499214321406779e-24,5.152392244353568e-24,8.691252575702783e-24,4.620833753757685e-24,1.8600370089029236e-09,0.0,3.0814879110195774e-33,0.0,0.0,0.0,2.7755575615628914e-17,4.2738471311584556e-17,3.851859888774472e-34,3.851859888774472e-34,3.851859888774472e-34,0.0,0.0,7.703719777548943e-34,1.5054983810871885e-25,1.4298387690605392e-17,2.6963019221421302e-33,1.1555579666323415e-33,1.1555579666323415e-33,0.0,0.0,4.81482486096809e-35,7.703719777548943e-34,0.0,5.277465015728713e-09,1.6693359343755313e-25,5.486974829284726e-17,9.62964972193618e-35,3.851859888774472e-34,2.8888949165808538e-34,0.0,0.0,1.8824470932955125e-25,3.758823486327227e-09,1.349963111570949e-25,1.2099461573862261e-17,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,9.62964972193618e-35,2.8665356933522284e-17,1.21942136983537e-23,4.731338594667019e-24,1.0658223062514353e-23,4.6045358446673904e-24,1.856110628714099e-15,0.0,0.0,0.0,0.0,0.0,3.851859888774472e-34,1.5407439555097887e-33,2.8665356933522284e-17,1.1049196031570667e-23,4.453203594710053e-24,1.2290892056130451e-23,4.61819231257155e-24,1.8600370089029224e-09,1.84213955935424e-15
6,4.071718600258863e-09,4.0717186002588625e-09,2.6538620165064106e-09,2.373221517321485e-09,6.017921383328204e-09,6.017921383328204e-09,3.521049564854013e-09,2.4375338952405393e-11,1.1380988455421784e-10,1.1380988455421784e-10,2.4375338952405393e-11,7.192691058338235e-10,1.2975695187969833e-09,1.2224181991377335e-11,4.5075531522678947e-10,2.6538620165064106e-09,6.385012051197236e-11,7.192691058338235e-10,1.2224181991377332e-11,2.27600879863535e-09,4.242075627550903e-10,4.5075531522678937e-10,4.242075627550903e-10,2.373221517321485e-09,3.1467235467939985e-11,1.2975695187969833e-09,3.1467235467939985e-11,2.27600879863535e-09,3.521049564854013e-09,6.385012051197236e-11,1.3490152568003479e-25,4.1359030627651384e-25,3.2311742677852644e-27,2.407412430484045e-35,1.8055593228630336e-35,0.0,0.0,0.0,1.2037062152420224e-35,0.0,7.754818242684634e-26,0.0,0.0,1.3877787807814457e-17,0.0,2.407412430484045e-35,0.0,0.0,2.407412430484045e-35,2.7755575615628914e-17,3.611118645726067e-35,2.407412430484045e-35,1.5407439555097887e-33,2.407412430484045e-35,3.584223785217725e-15,2.0679515313825692e-25,5.629963146889549e-27,2.4233807008389483e-27,5.658602170658671e-09,1.1793999384601664e-26,1.1003426516668214e-26,4.030284743804621e-09,6.532323873023197e-27,1.3969799966071212e-23,3.4612991216611787e-25,9.705522678429836e-24,2.6932395872666035e-25,0.0,9.473810546706327e-24,3.688577161345535e-25,8.659118683092437e-24,3.308641365513409e-25,1.9943683993573997e-09,3.851859888774472e-34,6.162975822039155e-33,3.851859888774472e-34,3.0814879110195774e-33,3.0814879110195774e-33,2.7755575615628914e-17,4.5825032627141406e-17,2.407412430484045e-35,2.407412430484045e-35,2.407412430484045e-35,9.62964972193618e-35,9.62964972193618e-35,0.0,1.1581468905924614e-26,1.099943864329549e-18,7.703719777548943e-34,7.703719777548943e-34,7.703719777548943e-34,6.162975822039155e-33,6.162975822039155e-33,6.018531076210112e-36,0.0,0.0,5.658602170658671e-09,1.284183523251163e-26,5.883242728621452e-17,1.8055593228630336e-35,4.81482486096809e-35,1.8055593228630336e-35,9.62964972193618e-35,9.62964972193618e-35,1.4481252660429464e-26,4.030284743804621e-09,1.0384970173558553e-26,9.307852610966278e-19,1.232595164407831e-32,4.930380657631324e-32,1.232595164407831e-32,4.930380657631324e-32,9.860761315262648e-32,6.018531076210112e-36,2.8638822527714395e-17,1.2148757407388386e-23,3.383922264095613e-25,1.0612188520950714e-23,3.294058011436651e-25,1.8528808583046347e-15,4.930380657631324e-32,0.0,4.930380657631324e-32,0.0,0.0,0.0,1.5407439555097887e-33,2.8638822527714395e-17,1.1012568392183973e-23,3.183739178802862e-25,1.2233588786829376e-23,3.30297921656224e-25,1.994368399357399e-09,1.838031115951873e-15
7,4.071718600258845e-09,4.071718600258833e-09,2.6538620165064487e-09,2.3732215173214667e-09,6.0179213833282354e-09,6.017921383328254e-09,3.5210495648539844e-09,5.58340086235165e-09,2.6069225490768278e-08,2.6069225490768304e-08,5.58340086235165e-09,7.192691058338185e-10,1.297569518797027e-09,2.8000639665141733e-09,4.5075531522678296e-10,2.6538620165064483e-09,1.4625471203657804e-08,7.192691058338162e-10,2.8000639665141724e-09,2.2760087986354104e-09,4.2420756275510387e-10,4.5075531522678285e-10,4.2420756275510387e-10,2.3732215173214667e-09,7.207866524054263e-09,1.2975695187970242e-09,7.207866524054263e-09,2.276008798635408e-09,3.521049564853982e-09,1.4625471203657804e-08,5.945360652724886e-25,4.1359030627651384e-25,8.271806125530277e-25,6.162975822039155e-33,0.0,0.0,0.0,0.0,3.0814879110195774e-33,3.0814879110195774e-33,2.3264454728053903e-25,3.0814879110195774e-33,1.3877787807814457e-17,2.7755575615628914e-17,7.703719777548943e-34,6.162975822039155e-33,7.703719777548943e-34,2.311115933264683e-33,6.162975822039155e-33,0.0,6.162975822039155e-33,0.0,0.0,6.162975822039155e-33,5.859105703701219e-15,4.1359030627651384e-25,1.0556829538710818e-23,0.0,4.632216911108416e-08,2.211510756751878e-23,2.063269238340576e-23,3.2992517557849154e-08,1.2248859784793985e-23,9.82334969794851e-24,6.195541721124001e-23,7.387454445454788e-24,4.6663499238038814e-23,0.0,6.76347889913621e-24,6.475839473610346e-23,5.230749980865749e-24,5.956933655758837e-23,1.632619991273959e-08,6.162975822039155e-33,4.930380657631324e-32,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,2.7755575615628914e-17,3.7513061474478795e-16,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,1.232595164407831e-32,2.1716588257329666e-23,2.062521066879392e-15,6.162975822039155e-33,1.8488927466117464e-32,6.162975822039155e-33,4.930380657631324e-32,4.930380657631324e-32,1.5407439555097887e-33,7.703719777548943e-34,0.0,4.632216911108416e-08,2.407992044314322e-23,4.816111053183223e-16,4.930380657631324e-32,9.860761315262648e-32,0.0,9.860761315262648e-32,9.860761315262648e-32,2.715401691242421e-23,3.299251755784917e-08,1.9473015347813172e-23,1.745329259073408e-15,6.162975822039155e-32,0.0,6.162975822039155e-32,0.0,1.4791141972893971e-31,0.0,2.1916834905727853e-17,7.299020490840587e-24,5.1513659841894755e-23,5.7007579814927016e-24,5.2172681602315974e-23,1.5082962814700667e-15,4.930380657631324e-32,0.0,4.930380657631324e-32,0.0,9.860761315262648e-32,1.232595164407831e-32,7.703719777548943e-34,2.1916834905727853e-17,7.10476132901665e-24,4.5385204725983383e-23,6.1198963876768346e-24,5.0234453336500686e-23,1.632619991273959e-08,1.3997008163414624e-15
8,4.071718600258842e-09,4.07171860025883e-09,1.259041217913117e-08,2.373221517321466e-09,2.855013192338148e-08,2.8550131923381433e-08,3.5210495648539807e-09,2.735669878711268e-09,1.2773002815776505e-08,1.2773002815776522e-08,2.735669878711268e-09,7.192691058338173e-10,6.155909753829986e-09,1.3719327772628052e-09,4.507553152267854e-10,1.259041217913117e-08,7.165966051907971e-09,7.192691058338169e-10,1.3719327772627977e-09,1.0797806637992013e-08,2.012519125475058e-09,4.507553152267834e-10,2.012519125475058e-09,2.3732215173214634e-09,3.531600869388662e-09,6.155909753829984e-09,3.5316008693886586e-09,1.0797806637992011e-08,3.5210495648539803e-09,7.165966051907971e-09,1.2407709188295415e-24,1.6543612251060553e-24,0.0,0.0,0.0,3.0814879110195774e-33,0.0,6.162975822039155e-33,0.0,0.0,0.0,1.232595164407831e-32,1.3877787807814457e-17,0.0,0.0,3.0814879110195774e-33,6.162975822039155e-33,2.311115933264683e-33,1.232595164407831e-32,2.7755575615628914e-17,3.851859888774472e-33,1.232595164407831e-32,0.0,0.0,6.493485330844119e-15,2.0679515313825692e-25,5.223170929705599e-24,2.0679515313825692e-25,4.632216911108419e-08,1.133247286620465e-23,1.0934724885646613e-23,3.29925175578492e-08,6.656619419317878e-24,2.8133848914315814e-23,6.130198820130153e-23,1.6486622939574802e-23,5.310674569942273e-23,8.271806125530277e-25,1.8807899441762686e-23,6.869285180853647e-23,2.327178095480589e-23,5.890474801209066e-23,1.6326199912739593e-08,6.162975822039155e-33,4.930380657631324e-32,6.162975822039155e-33,2.465190328815662e-32,2.465190328815662e-32,0.0,4.3675266617590857e-16,2.465190328815662e-32,2.465190328815662e-32,4.930380657631324e-32,0.0,0.0,2.465190328815662e-32,1.1536263227341232e-23,1.0105627190258527e-15,1.232595164407831e-32,6.162975822039155e-33,2.465190328815662e-32,0.0,0.0,7.703719777548943e-34,6.162975822039155e-33,0.0,4.632216911108419e-08,1.2694212797506268e-23,5.43233156749443e-16,0.0,2.465190328815662e-32,0.0,9.860761315262648e-32,9.860761315262648e-32,1.4200411853040744e-23,3.29925175578492e-08,1.0436991479982287e-23,8.551498988144577e-16,0.0,4.930380657631324e-32,0.0,4.930380657631324e-32,9.860761315262648e-32,3.0814879110195774e-33,1.127675250813156e-17,3.2315855647086025e-23,8.452598752321751e-23,3.241344430669269e-23,7.668920726651635e-23,2.5821188261273695e-15,9.860761315262648e-32,0.0,0.0,9.860761315262648e-32,0.0,4.930380657631324e-32,6.162975822039155e-33,1.127675250813156e-17,2.7064628125236766e-23,8.678771417677412e-23,3.9221873735835103e-23,8.182061078368019e-23,1.6326199912739606e-08,3.02563970980179e-15
9,4.071718600258842e-09,4.07171860025883e-09,1.259041217913117e-08,2.373221517321466e-09,2.855013192338148e-08,2.8550131923381433e-08,3.5210495648539807e-09,2.735669878711268e-09,1.2773002815776505e-08,1.2773002815776522e-08,2.735669878711268e-09,7.192691058338173e-10,6.155909753829986e-09,1.3719327772628052e-09,4.507553152267854e-10,1.259041217913117e-08,7.165966051907971e-09,7.192691058338169e-10,1.3719327772627977e-09,1.0797806637992013e-08,2.012519125475058e-09,4.507553152267834e-10,2.012519125475058e-09,2.3732215173214634e-09,3.531600869388662e-09,6.155909753829984e-09,3.5316008693886586e-09,1.0797806637992011e-08,3.5210495648539803e-09,7.165966051907971e-09,1.2407709188295415e-24,1.6543612251060553e-24,0.0,0.0,0.0,3.0814879110195774e-33,0.0,6.162975822039155e-33,0.0,0.0,0.0,1.232595164407831e-32,1.3877787807814457e-17,0.0,0.0,3.0814879110195774e-33,6.162975822039155e-33,2.311115933264683e-33,1.232595164407831e-32,2.7755575615628914e-17,3.851859888774472e-33,1.232595164407831e-32,0.0,0.0,6.493485330844119e-15,2.0679515313825692e-25,5.223170929705599e-24,2.0679515313825692e-25,4.632216911108419e-08,1.133247286620465e-23,1.0934724885646613e-23,3.29925175578492e-08,6.656619419317878e-24,2.8133848914315814e-23,6.130198820130153e-23,1.6486622939574802e-23,5.310674569942273e-23,8.271806125530277e-25,1.8807899441762686e-23,6.869285180853647e-23,2.327178095480589e-23,5.890474801209066e-23,1.6326199912739593e-08,6.162975822039155e-33,4.930380657631324e-32,6.162975822039155e-33,2.465190328815662e-32,2.465190328815662e-32,0.0,4.3675266617590857e-16,2.465190328815662e-32,2.465190328815662e-32,4.930380657631324e-32,0.0,0.0,2.465190328815662e-32,1.1536263227341232e-23,1.0105627190258527e-15,1.232595164407831e-32,6.162975822039155e-33,2.465190328815662e-32,0.0,0.0,7.703719777548943e-34,6.162975822039155e-33,0.0,4.632216911108419e-08,1.2694212797506268e-23,5.43233156749443e-16,0.0,2.465190328815662e-32,0.0,9.860761315262648e-32,9.860761315262648e-32,1.4200411853040744e-23,3.29925175578492e-08,1.0436991479982287e-23,8.551498988144577e-16,0.0,4.930380657631324e-32,0.0,4.930380657631324e-32,9.860761315262648e-32,3.0814879110195774e-33,1.127675250813156e-17,3.2315855647086025e-23,8.452598752321751e-23,3.241344430669269e-23,7.668920726651635e-23,2.5821188261273695e-15,9.860761315262648e-32,0.0,0.0,9.860761315262648e-32,0.0,4.930380657631324e-32,6.162975822039155e-33,1.127675250813156e-17,2.7064628125236766e-23,8.678771417677412e-23,3.9221873735835103e-23,8.182061078368019e-23,1.6326199912739606e-08,3.02563970980179e-15
