,Y1Z5,Y5Z1,Y3Z4,Y4Z3,Y4Z5,Y5Z4,Y0Z5,Y5Z0,Y3Z2,Y2Z3,Y2Z5,Y5Z2,Y5Z3,Y3Z5,Y1Z3,Y3Z1,Y2Z0,Y0Z2,Y4Z2,Y2Z4,Y0Z4,Y4Z0,Y4Z1,Y1Z4,Y3Z0,Y0Z3,Y2Z1,Y1Z2,Y1Z0,Y0Z1,X4Y5,standard_y,X1Y4,X3Y0,Y3,X5Y4,X4Y3,X0Y4,Y1,X3Y1,X0Y2,Y2,Y0,X5Y2,X5Y0,X4Y1,X4Y0,X2Y4,X2Y3,X1Y5,X0Y3,X5Y1,X4Y2,X3Y4,X2Y1,X1Y3,X1Y2,X0Y1,standard_x,Y5,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y2,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9744094813299214,0.9744094813299213,0.828056184116257,0.8280561841162569,0.817688808530353,0.8176888085303529,0.6923807821755754,0.6923807821755753,0.4910757744119296,0.4910757744119296,0.40997825176431146,0.4099782517643114,0.36782384379601485,0.3678238437960148,0.35091893397074614,0.3509189339707461,0.34951125529301497,0.34951125529301486,0.30905556807451295,0.30905556807451295,0.24589320811419357,0.24589320811419355,0.2005443730197577,0.2005443730197577,0.16293583244763649,0.16293583244763643,0.15502066959558727,0.15502066959558725,0.14533616183328074,0.14533616183328066,1.1102230246251565e-16,9.71445146547012e-17,9.020562075079397e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002107540129367338,0.002107540129367338,0.8280561841162568,0.8280561841162568,0.6171449045935975,0.0017685706166982536,0.5470449602906169,0.001497543190205986,0.4910757744119295,0.49107577441192957,0.2549579447695792,0.0008867376953084041,0.0007955623648901787,0.01690573064165292,0.0007589989113085659,0.016904049467481475,0.34951125529301497,0.34951125529301497,0.3090555680745129,0.30905556807451295,0.24589320811419352,0.2458932081141935,0.617142522896865,0.00043375533793153505,0.16293583244763638,0.16293583244763643,0.2549566232097349,0.0003352925934261052,0.0003143460723450773,0.5470430008301077,2.168404344971009e-19,4.1565600787663026e-17,2.710505431213761e-20,5.551115123125783e-17,1.3877787807814457e-17,5.421010862427522e-20,1.3877787807814457e-17,0.0,6.776263578034403e-20,1.3552527156068805e-19,2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17,5.421010862427522e-20,0.0,1.2197274440461925e-19,5.551115123125783e-17,5.551115123125783e-17,6.938893903907228e-18,5.551115123125783e-17,1.9081958235744878e-17,0.0,0.0,0.0,5.421010862427522e-20,0.0,5.421010862427522e-20,6.437450399132683e-20,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,1.6653345369377348e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.792703114739563e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0003371324699309702,0.0003371324699309702,1.1811031675173236e-05,1.1811031675173234e-05,8.802678800741712e-06,0.00015564717874246465,0.5470446290411453,0.00023955436364289095,7.004490320520577e-06,0.18202020636885521,0.2549575914472245,0.00014184691680815565,0.00015564717870074015,2.4112454845099963e-07,5.2027559384866595e-05,2.41123934844851e-07,0.3495112552930149,0.34951125529301497,4.408233612568786e-06,0.18202020628746216,0.08295737568313169,3.5073133024738747e-06,8.802677931454172e-06,5.2027559365457655e-05,2.324045535767132e-06,0.08295737564154376,0.2549575576301684,5.363504997897061e-05,5.0284341591449715e-05,0.5470445789010124,0.0,5.55294683187422e-17,1.550963648536927e-25,0.0,3.1763735522036263e-22,0.0,1.1102230246251565e-16,0.0,6.776263578034403e-21,0.0,2.7755575615628914e-17,5.551115123125783e-17,1.1102230246251565e-16,6.776263578034403e-21,3.3881317890172014e-21,2.5849394142282115e-26,1.6940658945086007e-21,0.0,3.1763735522036263e-22,2.7755575615628914e-17,2.6469779601696886e-23,2.7755575615628914e-17,8.470329472543003e-22,0.0,8.470329472543003e-21,2.0679515313825692e-25,2.0328790734103208e-20,1.5658354763371944e-21,0.0,2.710505431213761e-20,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742996016446446e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0001639100401614032,1.8004646510732645e-07,4.391678021334307e-06,4.391678021334308e-06,1.9689682606980625e-06,8.312377725064051e-08,0.000511273481668349,1.279346257682303e-07,2.6044690283863733e-06,0.18202020634176322,0.09455351744628154,7.575371177659197e-08,8.312377724755972e-08,7.744890539783118e-07,2.9729455596364437e-05,7.744891115872519e-07,0.0945537814469615,0.000326656782286441,1.6391068284000281e-06,0.1820202063305101,7.753280900838324e-05,1.9689662616117073e-06,1.9689681806456486e-06,2.972945559483109e-05,7.744894705501594e-07,7.753280900300942e-05,0.09455352165759823,3.064800378487128e-05,0.00016390994347551473,0.0005112734663672372,0.0,6.932633801031427e-18,2.5849394142282115e-26,4.1359030627651384e-25,1.0587911840678754e-22,3.7865323450608567e-29,0.0,4.1359030627651384e-25,6.776263578034403e-21,5.169878828456423e-26,2.710505431213761e-20,6.938893903907228e-18,0.0,1.6543612251060553e-24,1.3552527156068805e-20,7.754818242684634e-26,2.0679515313825692e-25,4.235164736271502e-22,1.0587911840678754e-22,5.421010862427522e-20,3.877409121342317e-26,2.710505431213761e-20,0.0,5.551115123125783e-17,2.0328790734103208e-20,2.5849394142282115e-26,2.541098841762901e-21,6.959319057177636e-25,0.0,1.3234889800848443e-23,0.0,6.352747104407253e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.211194917878366e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.3380920497820676e-05,4.022590408482327e-09,3.4164619907770585e-10,3.325965905394033e-07,2.3791277677513907e-07,3.549633701188728e-09,5.608951638755096e-05,2.8583099269479564e-09,2.0261206305226644e-10,0.00011718891270905123,6.0875889215933555e-05,3.5496336670612e-09,3.5496337011880706e-09,6.025063302341738e-11,1.8706465038945555e-07,6.02506332092926e-11,6.0875891261571316e-05,4.4341822388347676e-05,3.325964395115991e-07,0.00011718891270894545,4.434181672402806e-05,2.379127738679887e-07,2.3791277637395923e-07,1.870646503927342e-07,6.025063341344266e-11,4.4341816724026816e-05,6.08758893283863e-05,1.8706719881244207e-07,3.3380920260840156e-05,5.608951631793049e-05,0.0,3.40136667881805e-21,2.4233807008389483e-27,0.0,0.0,4.930380657631324e-32,2.710505431213761e-20,3.2311742677852644e-27,0.0,0.0,0.0,3.3881317890172014e-21,0.0,5.048709793414476e-29,0.0,8.077935669463161e-28,0.0,0.0,3.308722450212111e-24,3.3881317890172014e-21,9.367723249499515e-31,3.3881317890172014e-21,9.693522803355793e-27,0.0,8.271806125530277e-25,4.930380657631324e-31,2.0679515313825692e-25,1.2725462835722236e-25,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81482486096809e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.926167350636332e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2085505148009913e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0
5,1.995010915380621e-08,3.611295753645118e-15,1.701956050679582e-12,2.0794452752646424e-09,1.4874676190299971e-09,3.1866973955339097e-15,8.425427980241322e-08,2.5660585479161687e-15,1.7007979133123962e-12,1.561332502713769e-07,8.110622774828337e-08,3.1866973955338553e-15,3.1866973955339097e-15,1.885972605311265e-13,1.117999728363307e-10,1.8859726053112673e-13,8.110622774828951e-08,6.660760691848567e-08,2.0794452740066115e-09,1.5613325027137278e-07,6.660760691847058e-08,1.4874676190299562e-09,1.4874676190299963e-09,1.1179997283633074e-10,1.8859726053112926e-13,6.660760691847058e-08,8.110622774828343e-08,1.1179997283903393e-10,1.9950109153805892e-08,8.425427980241317e-08,0.0,1.3234839313750509e-23,4.622231866529366e-33,0.0,5.048709793414476e-29,3.6734198463196485e-40,0.0,2.465190328815662e-32,0.0,1.504632769052528e-36,0.0,6.617444900424222e-24,6.617444900424222e-24,4.70197740328915e-38,1.6543612251060553e-24,3.0814879110195774e-33,2.465190328815662e-32,0.0,1.2924697071141057e-26,3.308722450212111e-24,1.128474576789396e-36,0.0,0.0,2.6469779601696886e-23,0.0,1.88079096131566e-37,9.860761315262648e-32,1.0655437520341556e-33,2.230940685447311e-15,0.0,1.6681514938426544e-33,0.0,2.5643379774116192e-36,4.351453899513145e-15,7.542334774974804e-29,2.7624594234295556e-22,1.780669089750893e-19,2.5934865885584992e-17,1.8138377058043545e-26,5.090678999510684e-30,1.341447820155686e-22,3.420531909432552e-18,4.8551483120705204e-26,3.4785462210617247e-29,1.5261865988544497e-21,8.194940887086913e-25,9.183549615799121e-41,9.183549615799121e-41,9.183549615799121e-41,0.0,0.0,0.0,1.3129138312147706e-24,0.0,0.0,2.407412430484045e-35,0.0,0.0,4.3687300668539795e-33,2.665581850691623e-19,0.0,0.0,1.1754943508222875e-38,0.0,0.0,0.0,1.2924697071141057e-26,3.073897565232411e-36,4.351453899513145e-15,2.5370963273493915e-22,1.9721522630525295e-31,0.0,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,0.0,0.0,5.50869581941295e-32,2.7279208435291647e-22,1.7806689665435702e-19,2.2157347794444496e-15,0.0,3.009265538105056e-35,1.8055593228630336e-35,1.8055593228630336e-35,0.0,1.569378079540858e-32,2.5934865885585e-17,2.082553990939179e-26,1.0183750368804551e-29,7.847892821946226e-23,2.7025150313215193e-18,7.703719777548943e-34,0.0,0.0,0.0,7.703719777548943e-34,3.308722450212111e-24,3.4205319094326885e-18,9.924103767957475e-26,5.683834838186977e-29,5.68058483395725e-22,9.784902787437688e-25,1.2237087809017287e-17
6,2.153383070250503e-08,1.542390497493458e-15,6.318265072648934e-12,7.725635615072682e-09,5.526297302691569e-09,1.3610438241427187e-15,3.3338590659377046e-08,1.0959679265326573e-15,6.318389757249299e-12,4.524404425694342e-09,2.3502833325915205e-09,1.3610438241427187e-15,1.3610438241427187e-15,6.994262689501367e-13,1.2067511355807374e-10,6.994262689501376e-13,2.3502833325915486e-09,2.6355975590365655e-08,7.725635615208065e-09,4.524404425751389e-09,2.6355975590365645e-08,5.526297302691546e-09,5.526297302691566e-09,1.2067511355807597e-10,6.994262689501382e-13,2.6355975590365645e-08,2.350283332591522e-09,1.2067511355807374e-10,2.1533830702504978e-08,3.333859065937703e-08,1.4693679385278594e-39,1.0338746928878032e-24,0.0,2.407412430484045e-35,1.0097419586828951e-28,7.346839692639297e-40,0.0,4.930380657631324e-32,1.6543612251060553e-24,6.018531076210112e-36,2.465190328815662e-32,2.0679515313825692e-25,0.0,3.6734198463196485e-40,0.0,3.697785493223493e-32,4.930380657631324e-32,1.0097419586828951e-28,1.0339757656912846e-25,1.6543612251060553e-24,1.128474576789396e-36,1.6543612251060553e-24,1.0097419586828951e-28,8.271806125530277e-25,4.930380657631324e-32,7.52316384526264e-37,3.0814879110195774e-33,2.696932464658751e-32,2.1210333286574844e-13,9.860761315262648e-32,5.082665823063413e-31,4.1359030627651384e-25,8.831922861325845e-34,4.16718641135749e-13,3.1027293619915944e-27,2.348363960674238e-19,1.2703049664604463e-16,1.970504009067509e-15,1.3966874319796778e-23,4.449049893962887e-27,1.3951984302419573e-20,7.089371132940666e-16,1.3705110355094456e-23,1.2173833075059593e-26,5.821350114232056e-20,6.720710020303271e-23,5.877471754111438e-39,0.0,0.0,1.1754943508222875e-38,5.877471754111438e-39,0.0,1.0767268843529214e-22,1.232595164407831e-32,0.0,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.331101817399722e-30,1.9015896558467871e-16,2.407412430484045e-35,3.009265538105056e-36,3.009265538105056e-36,2.407412430484045e-35,2.407412430484045e-35,1.4349296274686127e-42,1.0339757656912846e-25,1.0411668672651763e-33,4.167186411357502e-13,2.225744031523777e-19,1.262177448353619e-29,0.0,1.262177448353619e-29,1.262177448353619e-29,1.262177448353619e-29,0.0,9.860761315262648e-32,4.337457488392489e-29,2.335242715045094e-19,1.2703049215729284e-16,2.1378315193526394e-13,0.0,1.925929944387236e-33,9.629649721936179e-33,9.629649721936179e-33,4.930380657631324e-32,1.9559672688818512e-32,1.9705040090675097e-15,1.6036037818292835e-23,8.976802358855765e-27,7.917985299537318e-21,5.601214238690391e-16,0.0,9.860761315262648e-32,9.860761315262648e-32,0.0,9.860761315262648e-32,1.6543612251060553e-24,7.089371132940709e-16,2.801375603688044e-23,1.896391438956967e-26,2.139512011443564e-20,8.024645351333565e-23,9.297611467922152e-16
7,2.153383070250501e-08,1.0537232862537675e-15,6.318184186544766e-12,7.725635615217497e-09,5.526297302748286e-09,9.298316954016437e-16,2.2776105837507468e-08,7.487383557777531e-16,6.31808686330746e-12,3.5315482900165505e-09,1.83452633832764e-09,9.298316954016437e-16,9.298316954016437e-16,6.994531299864693e-13,1.2067511355808445e-10,6.994531299864702e-13,1.8345263383276502e-09,1.8005754821195184e-08,7.725635615111828e-09,3.5315482899595036e-09,1.8005754821195184e-08,5.526297302748276e-09,5.5262973027482826e-09,1.2067511355808667e-10,6.9945312998647e-13,1.8005754821195184e-08,1.8345263383276415e-09,1.2067511355808775e-10,2.1533830702504984e-08,2.277610583750746e-08,0.0,4.1338835788477726e-25,1.232595164407831e-32,1.2037062152420224e-35,2.0194839173657902e-28,5.510129769479473e-40,0.0,2.465190328815662e-32,0.0,9.027796614315168e-36,3.697785493223493e-32,0.0,0.0,9.183549615799121e-40,0.0,1.232595164407831e-32,0.0,2.0194839173657902e-28,5.169878828456423e-26,1.6543612251060553e-24,2.256949153578792e-36,8.271806125530277e-25,2.0194839173657902e-28,0.0,4.930380657631324e-32,7.52316384526264e-37,9.244463733058732e-33,5.6626708244853e-33,4.4715454267634376e-13,0.0,9.460798076437876e-31,4.1359030627651384e-25,1.521074738714747e-33,8.798600795834357e-13,6.783638923826857e-27,5.103952733594149e-19,2.7496460112405525e-16,4.147538870081022e-15,3.023207912625737e-23,9.659785439503093e-27,2.944033219248203e-20,1.5345339560324308e-15,3.056622358077111e-23,2.4646414659233455e-26,1.580875341244677e-19,1.36606188581186e-22,0.0,0.0,0.0,1.1754943508222875e-38,1.1754943508222875e-38,0.0,2.067681550516181e-22,2.465190328815662e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,2.4597688476974268e-30,4.116096963318419e-16,0.0,6.018531076210112e-36,6.018531076210112e-36,0.0,0.0,0.0,5.169878828456423e-26,1.8277688307846527e-33,8.798600795834382e-13,4.840831504591124e-19,5.048709793414476e-29,2.524354896707238e-29,0.0,5.048709793414476e-29,5.048709793414476e-29,1.4693679385278594e-39,0.0,3.2111159096072274e-28,5.076422329010693e-19,2.7496459167226955e-16,4.5104954482354596e-13,0.0,3.851859888774472e-33,1.1555579666323415e-32,1.1555579666323415e-32,1.4791141972893971e-31,7.231436728608769e-33,4.147538870081024e-15,3.471089902958852e-23,1.9494306695341415e-26,1.6758572806228218e-20,1.2124140890556565e-15,0.0,1.9721522630525295e-31,1.9721522630525295e-31,0.0,0.0,1.6543612251060553e-24,1.5345339560324367e-15,5.475892565073868e-23,3.3580920592480614e-26,4.8390072292877154e-20,1.5736032730567006e-22,2.271462238197016e-15
8,3.205774080890085e-08,3.884560700808355e-15,6.317871261495996e-12,7.72563561517992e-09,5.5262973027482875e-09,2.228314773450371e-15,8.888194704473655e-09,3.7073768693053974e-15,6.317901284220522e-12,1.0894284203124508e-09,5.659232061208905e-10,2.228314773450371e-15,2.228314773450371e-15,6.993979444393134e-13,1.7965087429055634e-10,6.993979444393153e-13,5.65923206120891e-10,7.026603045909955e-09,7.725635615212517e-09,1.0894284203694948e-09,7.026603045909955e-09,5.526297302748286e-09,5.526297302748279e-09,1.796508742905572e-10,6.993979444393135e-13,7.026603045909955e-09,5.659232061208914e-10,1.7965087429055634e-10,3.205774080890081e-08,8.888194704473582e-09,5.877471754111438e-39,3.205223899447114e-24,3.697785493223493e-32,0.0,1.0097419586828951e-28,1.4693679385278594e-39,2.0679515313825692e-25,1.232595164407831e-32,3.308722450212111e-24,0.0,1.5407439555097887e-33,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,2.5849394142282115e-25,4.1359030627651384e-25,8.46355932592047e-37,0.0,1.0097419586828951e-28,2.0679515313825692e-25,1.232595164407831e-32,1.2037062152420224e-35,0.0,3.35922433064416e-32,4.4607030612232046e-13,0.0,2.635519709318158e-30,0.0,3.547838354056228e-33,8.793416517679474e-13,1.4806371554746424e-26,5.103762041122354e-19,2.7496460113014254e-16,4.101052414298611e-15,4.50069550384218e-23,1.437985142273358e-26,4.3817936700944116e-20,2.2844840058683687e-15,3.2654799941758453e-23,2.2808348717188355e-26,2.109114604932675e-19,3.753852728689111e-22,0.0,0.0,0.0,0.0,0.0,0.0,4.957941024143707e-22,2.465190328815662e-32,2.465190328815662e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,6.343798846031463e-30,4.116096963291167e-16,0.0,1.8055593228630336e-35,6.018531076210112e-36,0.0,0.0,1.4349296274686127e-42,2.5849394142282115e-25,4.3273742890044914e-33,8.793416517679498e-13,4.840588181061863e-19,2.524354896707238e-29,2.524354896707238e-29,0.0,2.524354896707238e-29,2.524354896707238e-29,0.0,0.0,7.854702382444898e-28,5.076146813366822e-19,2.749645916694582e-16,4.5097701312084707e-13,0.0,7.241496590896007e-32,4.622231866529366e-33,4.622231866529366e-33,0.0,2.973471606552823e-32,4.101052414298618e-15,5.1674642201607715e-23,2.901976306043799e-26,2.4898961285090697e-20,1.8049392677485403e-15,1.9721522630525295e-31,0.0,0.0,0.0,0.0,0.0,2.2844840058683746e-15,4.8200358214493114e-23,2.4023787342666336e-26,5.406478037185882e-20,3.9185225434966962e-22,2.690641597472938e-15
9,3.286154260956976e-08,4.0287368252015325e-15,6.317862854670449e-12,7.725635615176563e-09,5.5262973027474264e-09,2.328905508925513e-15,9.683749305652327e-09,3.8308535465900214e-15,6.317900172277963e-12,1.3541363425363122e-09,7.034305019059294e-10,2.328905508925513e-15,2.328905508925513e-15,6.993958369408485e-13,1.8415536189956273e-10,6.993958369408506e-13,7.0343050190593e-10,7.655532380796842e-09,7.72563561521708e-09,1.3541363425933563e-09,7.65553238079684e-09,5.526297302747424e-09,5.526297302747417e-09,1.841553618995636e-10,6.993958369408486e-13,7.655532380796842e-09,7.034305019059306e-10,1.8415536189956273e-10,3.286154260956971e-08,9.683749305652251e-09,0.0,4.03250548619601e-24,2.465190328815662e-32,0.0,0.0,1.4693679385278594e-39,4.1359030627651384e-25,0.0,3.308722450212111e-24,1.2037062152420224e-35,6.162975822039155e-33,1.0339757656912846e-25,8.271806125530277e-25,7.346839692639297e-40,0.0,4.930380657631324e-32,1.232595164407831e-32,2.0194839173657902e-28,2.0679515313825692e-25,0.0,3.103305086170839e-36,0.0,2.0194839173657902e-28,0.0,1.232595164407831e-32,0.0,0.0,1.6783849694236307e-31,4.4601353859661087e-13,0.0,2.7254116596062537e-30,0.0,3.6911554317726364e-33,8.793159164120691e-13,1.5325028882205527e-26,5.103761310998837e-19,2.749646011304698e-16,4.1808075667386745e-15,4.577184508125585e-23,1.4603671649706776e-26,4.410175814640565e-20,2.3190713767669244e-15,3.317880441502337e-23,2.3323187559101222e-26,2.1251640120884956e-19,3.8755817087398323e-22,0.0,0.0,2.350988701644575e-38,0.0,0.0,7.174648137343064e-43,5.136172337984776e-22,0.0,0.0,4.930380657631324e-32,0.0,0.0,6.567442965331638e-30,4.1160969632886524e-16,0.0,1.2037062152420224e-35,1.2037062152420224e-35,0.0,0.0,1.4349296274686127e-42,0.0,4.4966845086460515e-33,8.793159164120716e-13,4.840583980077677e-19,5.048709793414476e-29,0.0,2.524354896707238e-29,5.048709793414476e-29,5.048709793414476e-29,2.938735877055719e-39,6.162975822039155e-33,8.076791013269555e-28,5.076141099909911e-19,2.749645916692189e-16,4.509748900815036e-13,1.9721522630525295e-31,1.6948183510607676e-32,5.700752635386218e-32,5.700752635386218e-32,1.9721522630525295e-31,1.6798520892292127e-31,4.180807566738681e-15,5.255849129971179e-23,2.961010131340112e-26,2.5350789542740477e-20,1.827567397822632e-15,3.944304526105059e-31,0.0,0.0,3.944304526105059e-31,3.944304526105059e-31,3.308722450212111e-24,2.3190713767669307e-15,4.940927697416191e-23,2.4910222017783495e-26,5.482709218816492e-20,4.0529064730970194e-22,2.722657935521994e-15
