,Y4Z3,Y3Z4,Y1Z4,Y4Z1,Y0Z3,Y3Z0,Y5Z4,Y4Z5,Y1Z0,Y0Z1,Y5Z0,Y0Z5,Y2Z3,Y3Z2,Y1Z3,Y3Z1,Y5Z2,Y2Z5,Y2Z0,Y0Z2,Y1Z2,Y2Z1,Y5Z3,Y3Z5,Y4Z0,Y0Z4,Y2Z4,Y4Z2,Y1Z5,Y5Z1,standard_y,Y4,Y3,X3Y4,X2Y4,X0Y4,Y0,X5Y4,X5Y1,X4Y3,X4Y1,X3Y1,X2Y0,X0Y2,Y5,X1Y0,X3Y5,X2Y3,X1Y5,X0Y5,X0Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y2,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y1,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y4,X1Y3,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9987401105306297,0.9987401105306297,0.9738587963010674,0.9738587963010672,0.8448510885666276,0.8448510885666275,0.6077777858247475,0.6077777858247475,0.5481190538116991,0.5481190538116991,0.5103450263087494,0.5103450263087494,0.4447032857849972,0.4447032857849971,0.4154939280349922,0.41549392803499197,0.34956656460106916,0.34956656460106916,0.34583182333805484,0.34583182333805484,0.3438142790862583,0.34381427908625817,0.3292989650179018,0.32929896501790173,0.28859743540534327,0.28859743540534316,0.22480756642724742,0.22480756642724736,0.10373268907830357,0.10373268907830356,3.7470027081099033e-16,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.003054541053483892,0.0030545410534838923,0.5583668114891119,0.0029784441840606224,0.5562550029022723,0.0025838877470698877,0.278480360904767,0.001858824111120244,0.5481190538116992,0.5481190538116991,0.5103450263087497,0.5103450263087497,0.21989677075997852,0.0013600779909878217,0.5583603136270783,0.001270744257965038,0.34956656460106916,0.34956656460106916,0.345831823338055,0.34583182333805496,0.3438142790862582,0.34381427908625833,0.2784759782916729,0.0010071260750532248,0.0008826447492004992,0.5562497018782757,0.21989363952550398,0.0006875501780147788,0.10373268907830359,0.10373268907830359,9.80118763926896e-17,4.336808689942018e-19,4.336808689942018e-19,5.551115123125783e-17,0.0,2.168404344971009e-19,5.551115123125783e-17,4.336808689942018e-19,5.551115123125783e-17,0.0,5.421010862427522e-20,1.0842021724855044e-19,0.0,0.0,1.3877787807814457e-17,1.0460956160264116e-18,1.0842021724855044e-19,2.168404344971009e-19,5.551115123125783e-17,1.3877787807814457e-17,1.3609602618334964e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,2.7755575615628914e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-19,1.0842021724855044e-19,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0
2,5.445984166252512e-07,0.000277914012410984,0.0006389747065505323,5.310309988454876e-07,1.1043723186089451,0.0004025673093751011,0.17474623703479564,3.3141236276604264e-07,0.0006272496746890789,1.10437224683373,0.5103450263087494,0.5103450263087494,0.5637097598082094,0.00021189888685882265,0.0006389745260557027,0.0002779135711649041,0.34956656460106905,0.3495665646010691,0.3458318233380547,0.34583182333805473,0.0003934499142304996,0.5637098039744066,0.1747461424304505,0.0001569093064106383,1.5736797261537996e-07,1.1043722521601116,0.5637097228338894,1.225842873744341e-07,0.00011870832627785666,0.17474598676695807,1.5265566588595902e-16,0.0,0.0,5.421010862427522e-20,0.0,0.0,1.1102230246251565e-16,5.293955920339377e-23,2.710505431213761e-20,5.421010862427522e-20,0.0,1.3234889800848443e-23,0.0,0.0,4.163336342344337e-17,6.886900752011798e-21,0.0,0.0,2.710505431213761e-20,4.163336342344337e-17,1.2189541765860394e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,5.551115123125783e-17,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.9852334701272664e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0164395367051604e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.970466940254533e-23,4.0657581468206416e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.9392942992809085e-10,2.150835563460402e-08,2.8990170499548784e-05,2.6594571405110093e-10,0.003907337926747424,3.115555354169161e-08,0.6850879638354046,1.65974675024255e-10,2.8990168818172873e-05,0.003907337926625056,0.6850900643169642,0.0018056317987556162,0.2178803395280493,1.639931251547162e-08,2.8990170498351567e-05,2.1508355616703712e-08,0.34956656460106916,0.3495665646010692,0.21787464674475066,0.0012235740627421115,9.008052693388772e-06,0.21788033969037424,0.6850879638178595,1.2143550117506497e-08,1.9392722957985546e-10,0.003907337926634934,0.21788033952914293,6.139145531639255e-11,2.7178322311908316e-06,0.6850879635290543,9.801102767953173e-17,2.5849394142282115e-26,1.6543612251060553e-24,0.0,5.169878828456423e-26,0.0,8.673617379884035e-19,0.0,2.541098841762901e-21,6.617444900424222e-24,4.235164736271502e-22,2.524354896707238e-29,0.0,0.0,5.551115123125783e-17,1.101344806557085e-24,0.0,1.6543612251060553e-24,1.6940658945086007e-21,1.6263032587282567e-19,1.5456616717335882e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,6.462348535570529e-27,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,2.524354896707238e-29,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.4125450792290056e-12,1.3224733217513953e-11,3.4386889969171276e-06,1.7827164189455182e-12,2.8301273664880273e-08,1.168981519435018e-11,0.0004133236441236877,2.412545044003894e-12,3.4386889965640597e-06,2.830127366487691e-08,0.000413323644306314,1.3078387542467343e-08,0.5674446760830736,1.0083361866629542e-11,3.438688996916666e-06,1.3224733217325406e-11,0.00021089766631292694,0.5674446995442232,0.5674446755779057,8.862480041878895e-09,1.1790265798574667e-06,0.5674446760837333,0.0004133236441236599,1.1689810349142061e-11,2.4125450781067783e-12,2.830127366487814e-08,0.5674446760830266,4.115259227398827e-13,3.4386882412690505e-06,0.0004133236441205214,1.0422495913007322e-22,2.0194839173657902e-28,0.0,1.2924697071141057e-26,0.0,0.0,1.6543612251060553e-24,9.860761315262648e-32,1.0339757656912846e-25,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,9.508930857914659e-31,0.0,8.077935669463161e-28,1.0339757656912846e-25,3.3881317890172014e-21,6.22336175524863e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,3.009265538105056e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,7.961504771737433e-12,1.327799701871686e-10,6.40662768601272e-06,7.092936441009672e-12,2.2051123813541952e-08,2.1860861468489476e-10,1.1293957245338902e-07,7.961504677422367e-12,6.406627698101271e-06,2.2051123813526418e-08,1.1293957306510435e-07,3.284857306815465e-09,0.0006967210962297811,2.186086010302956e-10,6.4066276860093695e-06,1.3277997018352455e-10,5.762721969482934e-08,0.0006967210900842722,0.0006967210886268759,3.2848444207750486e-09,6.40662529782029e-06,0.0006967210962309773,1.1293957245332663e-07,2.1860861318807593e-10,7.96150469890074e-12,2.2051123813528254e-08,0.0006967210962293072,7.961496207871372e-12,6.406627660946327e-06,1.1293957245172366e-07,4.235293983242213e-22,0.0,1.2924697071141057e-26,5.169878828456423e-26,1.5777218104420236e-30,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,9.860761315262648e-32,1.6155871338926322e-27,8.077935669463161e-28,0.0,4.988352561892406e-31,1.5407439555097887e-33,1.262177448353619e-29,2.524354896707238e-29,1.3234889800848443e-23,4.78257442614193e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,1.2037062152420224e-35,0.0,6.018531076210112e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.4668175549182845e-15,6.625495447855337e-15,1.7325770695214536e-07,3.0886015817870506e-15,3.24387630385751e-12,1.0908198109187661e-14,4.049707168693099e-09,3.466817554896904e-15,1.7325770695214849e-07,3.243876303857509e-12,4.049707168693093e-09,4.832254213028121e-13,6.669335088027198e-07,1.0908200302787382e-14,1.7325770695214534e-07,6.625495447855205e-15,4.047193741193234e-09,6.669335120138528e-07,6.669335087297054e-07,4.832256960656954e-13,1.7325770688870884e-07,6.669335088038184e-07,4.049707168693099e-09,1.0908198109019358e-14,3.4668175549179796e-15,3.24387630385751e-12,6.669335088025969e-07,3.4668168749137554e-15,1.7325770694988426e-07,4.049707168693082e-09,2.0352611354702105e-28,0.0,1.5777218104420236e-30,0.0,0.0,0.0,2.0194839173657902e-28,7.346839692639297e-40,6.162975822039155e-33,0.0,3.308722450212111e-24,4.70197740328915e-38,0.0,0.0,0.0,3.0446465642983865e-36,2.938735877055719e-39,4.81482486096809e-35,0.0,0.0,2.0160216609246894e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.938735877055719e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8367099231598242e-40,1.2037062152420224e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81482486096809e-35,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,4.70197740328915e-38,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0
7,2.1241503396407586e-15,4.603185675823423e-16,3.526233066029025e-08,1.892414006121969e-15,3.4401018150641313e-16,7.578672704589076e-16,1.860100933767244e-11,2.1241503396407586e-15,3.52623306602902e-08,3.4401018150641264e-16,1.8601009337672403e-11,5.124562491853291e-17,3.491648243829877e-08,7.578674228415346e-16,3.52623306602902e-08,4.603185675823419e-16,1.8601614005683943e-11,3.491648243826831e-08,3.491648243833765e-08,5.124565405066833e-17,3.526233066094196e-08,3.49164824393617e-08,1.8601009337672403e-11,7.578672704589073e-16,2.1241503396407586e-15,3.4401018150641264e-16,3.491648243941229e-08,2.124149923102621e-15,3.526233066029019e-08,1.8601009337672435e-11,3.3087222529968844e-24,1.9721522630525295e-31,0.0,2.465190328815662e-32,0.0,4.3790577010150533e-47,0.0,2.8698592549372254e-42,1.2037062152420224e-35,4.930380657631324e-32,3.308722450212111e-24,0.0,0.0,3.009265538105056e-36,0.0,2.3489161505624347e-41,7.174648137343064e-43,3.009265538105056e-36,1.2037062152420224e-35,0.0,2.8974763297108894e-41,9.440243007683633e-14,1.1371908795574226e-32,1.934333320158966e-32,2.0655476491683034e-22,1.2436547704293803e-14,4.510701855064161e-26,3.947922868801932e-27,6.617444900424222e-24,2.4727197514411582e-26,8.303585845406699e-14,3.7231464343761876e-29,1.2592325607607164e-17,3.308722450212111e-24,5.5935025335942624e-18,9.082629996407382e-37,8.925932184914943e-22,2.5391915905622022e-26,2.9745131470929424e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,1.002299618704796e-17,1.88079096131566e-37,0.0,0.0,0.0,0.0,7.174648137343064e-43,1.2037062152420224e-35,2.1895288505075267e-47,2.1080473889321873e-32,2.1690553394361962e-21,4.70197740328915e-38,4.70197740328915e-38,4.70197740328915e-38,4.70197740328915e-38,4.70197740328915e-38,0.0,0.0,2.0394186013242198e-32,2.0655476491683144e-22,5.188306972052667e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2436547702984084e-14,8.045377256612479e-26,4.4511937288960134e-27,6.9663405513075e-14,0.0,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,0.0,0.0,0.0,2.4764156832208013e-26,8.303585845406699e-14,3.755676144117136e-29,1.2588940406604596e-17,2.4729003420048208e-14,0.0,1.1754943508222875e-38,0.0,0.0,1.1754943508222875e-38,0.0,5.5935025335942624e-18,9.879119205011937e-37,8.925932184914943e-22,3.9736843221229017e-26,2.9987919060821005e-30,2.022492782628438e-22
8,1.2688893769061957e-15,1.9827252669781548e-17,3.526233007224255e-08,1.151148174590071e-15,3.1586814064953536e-17,3.264353497123592e-17,2.0146735534716107e-11,1.2688893769061957e-15,3.5262330072242534e-08,3.158681406495353e-17,2.01467355347161e-11,4.70534327145332e-18,2.6631103125013105e-08,3.2643541534847975e-17,3.5262330072242534e-08,1.9827252669781533e-17,2.0147235040408635e-11,2.6631103124932044e-08,2.6631103125013386e-08,4.705345946370232e-18,3.526233007278583e-08,2.6631103125245268e-08,2.01467355347161e-11,3.264353497123591e-17,1.2688893769061957e-15,3.158681406495353e-17,2.663110312530056e-08,1.268889145598813e-15,3.526233007224252e-08,2.0146735534716107e-11,1.6155963783563652e-27,0.0,3.0814879110195774e-33,1.5407439555097887e-33,0.0,0.0,6.162975822039155e-33,0.0,9.027796614315168e-36,0.0,0.0,4.591774807899561e-41,7.52316384526264e-37,3.76158192263132e-37,1.6155871338926322e-27,1.0035171788643937e-42,4.484155085839415e-44,0.0,0.0,1.0097419586828951e-28,2.266285521273131e-43,9.805331373692209e-14,7.103942128811221e-33,9.06623368746719e-34,2.0408787502397455e-23,1.3532848709979073e-14,6.82730713371219e-26,1.708672607913537e-28,0.0,6.66058733695763e-26,4.238620729631513e-14,1.7005074764433628e-30,1.3826869509856044e-17,0.0,4.764177103782852e-19,4.7215055900536e-38,4.934887304365688e-22,2.3425689831522102e-27,2.868923211312093e-31,0.0,0.0,7.703719777548943e-34,0.0,0.0,0.0,0.0,5.048709793414476e-29,1.090659991573686e-17,9.4039548065783e-38,9.4039548065783e-38,9.4039548065783e-38,9.4039548065783e-38,9.4039548065783e-38,3.587324068671532e-43,0.0,2.7369110631344083e-48,1.2505950082441943e-32,1.2786307058906455e-21,0.0,1.4693679385278594e-39,0.0,1.4693679385278594e-39,1.4693679385278594e-39,5.64237288394698e-37,0.0,9.558778314128501e-34,2.0408787502397478e-23,2.245196246650531e-23,0.0,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,1.353284870861138e-14,4.855469972127486e-26,1.9281658783988874e-28,7.088905931824997e-14,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,9.183549615799121e-41,8.077935669463161e-28,2.5690370369441974e-28,4.238620729631513e-14,1.7105147121853592e-30,1.3823583324401266e-17,2.71533490935923e-14,3.6734198463196485e-40,0.0,0.0,3.6734198463196485e-40,0.0,0.0,4.764177103782852e-19,5.156315304826755e-38,4.934887304365688e-22,3.665967798912757e-27,2.923921016214651e-31,1.8657184937586592e-23
9,5.1663986559508585e-17,3.4624953597066803e-18,2.9418709477336845e-08,6.037786376816427e-17,3.735798956855221e-17,5.700643121575794e-18,1.210477557637406e-11,5.166398655950859e-17,2.9418709477336845e-08,3.735798956855221e-17,1.210477557637406e-11,5.565048938923264e-18,2.4660845576397502e-08,5.700644267900344e-18,2.9418709477336845e-08,3.4624953597066787e-18,1.2104497680602703e-11,2.4660845576425778e-08,2.4660845576396423e-08,5.565052102846721e-18,2.9418709477578977e-08,2.4660845576373044e-08,1.210477557637406e-11,5.700643121575793e-18,5.1663986559508585e-17,3.735798956855221e-17,2.4660845576395245e-08,5.166397668786999e-17,2.9418709477336845e-08,1.2104775576374054e-11,1.6551690213693036e-24,0.0,3.851859888774472e-34,0.0,0.0,8.552847072295026e-50,3.0814879110195774e-33,0.0,2.407412430484045e-35,0.0,0.0,1.7219155529623352e-41,7.52316384526264e-37,0.0,8.077935669463161e-28,7.291193679030633e-42,0.0,2.350988701644575e-38,0.0,1.0097419586828951e-28,1.6969652559058127e-42,9.484965696439101e-14,4.8534729356119816e-34,1.01992818277389e-34,7.027063986399044e-24,8.717335234820764e-15,1.3045285074873724e-25,3.20214044852546e-29,1.6543612251060553e-24,3.690249366789549e-25,4.0315132792004e-15,8.195366840999651e-33,7.132737609111325e-18,0.0,1.005735394070547e-18,1.554357691368164e-39,2.8199633572339393e-23,2.9722055492738118e-27,1.538806047685225e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,7.025986763356293e-18,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,8.96831017167883e-44,0.0,2.1382117680737565e-50,5.409132359810076e-35,5.747960426208998e-23,3.6734198463196485e-40,0.0,0.0,0.0,0.0,2.350988701644575e-38,0.0,1.0753447596344851e-34,7.027063986399044e-24,4.2039041781531274e-24,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,8.717335234172482e-15,1.2954713448651023e-25,3.6331077207925256e-29,8.161522268409694e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.774486966320556e-25,4.0315132792004e-15,2.4317927070989427e-32,7.135518429092096e-18,1.3227408263913984e-14,7.346839692639297e-40,1.4693679385278594e-39,1.4693679385278594e-39,7.346839692639297e-40,1.4693679385278594e-39,3.0814879110195774e-33,1.005735394070547e-18,1.947444867397203e-39,2.8199633572339393e-23,4.6512315849758884e-27,1.1870743440323853e-31,2.3658958473765382e-23
