,Y3Z0,Y0Z3,Y4Z5,Y5Z4,Y0Z1,Y1Z0,Y3Z2,Y2Z3,Y4Z0,Y0Z4,Y5Z2,Y2Z5,Y5Z1,Y1Z5,Y5Z3,Y3Z5,Y1Z2,Y2Z1,Y4Z3,Y3Z4,Y0Z5,Y5Z0,Y4Z2,Y2Z4,Y4Z1,Y1Z4,Y2Z0,Y0Z2,Y1Z3,Y3Z1,standard_y,Y1,X3Y0,X2Y3,X4Y1,X0Y1,Y5,Y2,X5Y2,X3Y2,X3Y1,X2Y0,X1Y4,Y4,Y3,X5Y4,X4Y3,X4Y2,X3Y4,X2Y4,X2Y1,X1Y3,X0Y3,X1Y0,X0Y4,X1Y2,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y1,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9243943144739089,0.9243943144739089,0.8340001398322137,0.8340001398322134,0.8144781454478105,0.8144781454478104,0.7721889738983578,0.7721889738983578,0.7304221233100425,0.7304221233100424,0.6965874841150429,0.6965874841150429,0.651447537546693,0.651447537546693,0.5459276960000488,0.5459276960000485,0.42748379633061134,0.42748379633061123,0.3788296503970776,0.3788296503970776,0.25734001951961666,0.2573400195196166,0.18869807513374803,0.18869807513374798,0.1472911677151443,0.14729116771514428,0.09602294340888379,0.09602294340888373,0.03414632868406531,0.034146328684065225,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.734723475976807e-17,1.3877787807814457e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0008163543967975014,0.0008163543967975016,0.8340001398322137,0.8340001398322134,0.0007192848384298039,0.7803318300792318,0.0006819382747493823,0.6761660679339748,0.35159262063898333,0.0006450529850150328,0.6965874841150428,0.6965874841150428,0.651447537546693,0.651447537546693,0.28858777683112125,0.0004821216097773268,0.42748379633061134,0.42748379633061123,0.3515921880821654,0.0003345533890641898,0.00022726303387786949,0.28858746359391463,0.18869807513374803,0.18869807513374798,0.14729116771514428,0.14729116771514425,0.6761657293715371,8.480012351643729e-05,0.78033149915499,3.015542730982061e-05,1.8049255666452435e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.421010862427522e-20,2.7755575615628914e-17,8.470329472543003e-21,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.710505431213761e-20,0.0,0.0,4.163336342344337e-17,6.938893903907228e-17,2.710505431213761e-20,0.0,0.0,1.1102230246251565e-16,2.710505431213761e-20,4.163336342344337e-17,5.551115123125783e-17,2.710505431213761e-20,1.1102230246251565e-16,5.082197683525802e-21,1.3552527156068805e-20,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,6.453209964665387e-05,6.453209964665387e-05,3.132544697007184e-05,3.132544697007185e-05,5.685883612554765e-05,0.7803318168469506,5.390662299563798e-05,0.676166030723456,1.3205982670990869e-05,3.3025929515740626e-05,2.616416143293637e-05,0.5078894091144017,2.4468683296993616e-05,0.5041563699354472,1.0839492157958055e-05,1.1665138543169773e-05,0.4274837963306114,0.42748379633061134,1.3205982569466952e-05,1.1665138497631282e-05,3.302592946709953e-05,1.0839492084439232e-05,7.08759059338534e-06,0.5078894084899257,5.5323272060229675e-06,0.504156369372021,0.6761660286078597,6.703375448553764e-06,0.7803318147790836,2.383760101836599e-06,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16,0.0,0.0,5.98966471213202e-22,1.6940658945086007e-21,0.0,1.6940658945086007e-21,6.776263578034403e-21,1.6940658945086007e-21,6.776263578034403e-21,8.470329472543003e-22,1.6940658945086007e-21,1.0164395367051604e-20,0.0,1.0339757656912846e-25,1.6940658945086007e-21,5.169878828456423e-26,1.6940658945086007e-21,1.3877787807814457e-16,3.3881317890172014e-21,5.551115123125783e-17,1.1903447844605827e-21,5.169878828456423e-26,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,1.6940658945086007e-21,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2705494208814505e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.2109303057909564e-05,2.554635907771132e-07,1.4359386180576374e-05,1.4359386180576374e-05,2.250873987298353e-07,0.004559154314270347,3.6525011852554006e-05,1.103642530138545,3.5175982635879626e-06,1.3073993541946267e-07,1.1993485630561594e-05,0.507889409009264,1.6184958825707666e-05,0.002945576021882632,1.6184852195455302e-05,7.903839998421664e-06,0.0024976100581274143,1.103638285127075,3.5175982450598262e-06,7.903839991938245e-06,1.3073993537900197e-07,1.618485219253091e-05,3.2489065684353788e-06,0.5078894088780461,3.517451657272152e-06,0.00294557602119093,1.103642529645506,2.653669060500626e-08,0.004559154308723784,4.210852920046208e-05,1.1124168399585452e-16,2.168404344971009e-19,0.0,0.0,0.0,9.490861041251356e-22,1.6940658945086007e-21,1.1102230246251565e-16,0.0,0.0,1.9852334701272664e-23,1.3234889800848443e-23,1.6543612251060553e-24,8.470329472543003e-22,3.3881317890172014e-21,0.0,0.0,3.3881317890172014e-21,5.169878828456423e-26,4.235164736271502e-22,2.168404344971009e-19,0.0,0.0,1.1608517765936919e-21,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0
4,2.249266179922097e-08,2.7082705394185505e-09,1.0586862507834115e-06,1.0586862507834117e-06,2.6628462135570876e-09,0.0005524650782131636,1.950982832034418e-08,0.0039012127577376975,4.988749868121198e-07,1.546689614474329e-09,3.090268963060283e-07,0.0017953019825572378,3.0904001650659137e-07,0.00023060589808269186,3.0903987580027307e-07,4.221834670762964e-09,0.0005524640698823814,0.00390121266573907,4.98874986787046e-07,4.221834670744138e-09,1.5466896144717267e-09,3.090398758179376e-07,4.988748630430435e-07,0.0017953019825547169,4.988748955049135e-07,0.00023060589808239748,0.003901212757697902,2.7082496967888004e-09,0.000552465078208243,2.24926592657221e-08,2.711347087487034e-19,5.421010862427522e-20,0.0,0.0,5.169878828456423e-26,1.946693335124957e-24,2.6469779601696886e-23,2.168404344971009e-19,8.271806125530277e-25,2.541098841762901e-21,8.077935669463161e-28,1.6155871338926322e-27,3.877409121342317e-26,5.293955920339377e-23,4.963083675318166e-24,0.0,0.0,4.1359030627651384e-25,0.0,1.0339757656912846e-25,5.293955920339377e-23,4.0389678347315804e-28,2.117582368135751e-22,5.0992864542073455e-23,1.9721522630525295e-31,2.6469779601696886e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,3.1554436208840472e-30,2.5849394142282115e-26,3.944304526105059e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9721522630525295e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9721522630525295e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.735221584862815e-11,3.5893377693011884e-17,2.2326419185220198e-07,2.2326419185220203e-07,3.529138342949283e-17,1.760357572967078e-09,8.73521503894743e-11,2.058322951836612e-08,1.052070435693166e-07,2.0498674317996857e-17,6.517164456112563e-08,9.472211222461074e-09,6.517164456112577e-08,7.347938493019252e-10,6.51716445611257e-08,8.780156146780413e-12,1.7603575729670775e-09,2.0583229517677652e-08,1.0520704356931651e-07,8.780156146778669e-12,2.0498674317995323e-17,6.517164456112577e-08,1.052070435693165e-07,9.472211222460483e-09,1.052070435693166e-07,7.347938493018836e-10,2.0583229517677652e-08,3.589337769155445e-17,1.7603575729670779e-09,8.735221584862815e-11,2.336138995916895e-23,2.0679515313825692e-25,0.0,6.617444900424222e-24,2.465190328815662e-32,2.207300451468038e-26,6.617444900424222e-24,3.308722450212111e-24,3.944304526105059e-31,0.0,9.027796614315168e-36,6.018531076210112e-36,6.162975822039155e-33,1.3234889800848443e-23,6.462348535570529e-27,1.1102230246251565e-16,1.5407439555097887e-33,0.0,0.0,5.9164567891575885e-31,0.0,1.2037062152420224e-35,1.5407439555097887e-33,2.207300451468038e-26,0.0,1.5407439555097887e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,2.465190328815662e-32,7.346839692639297e-40,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,7.346839692639297e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.851859888774472e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.346839692639297e-40,6.018531076210112e-36,0.0,0.0,0.0,0.0,0.0,0.0
6,2.3919293534754413e-11,1.383033876521246e-17,1.9690771166361679e-10,1.9690771166360836e-10,1.3598379968740367e-17,2.4770929317224798e-09,2.391929494938907e-11,1.6244650704582852e-09,9.278728500196978e-11,7.898493534528098e-18,5.747809037099291e-11,7.475637511793813e-10,5.747809037099291e-11,1.033967574730326e-09,5.747809037099291e-11,2.404220883360197e-12,2.4770929317224798e-09,1.6244650705099079e-09,9.278728500196978e-11,2.404220883360197e-12,7.898493534528098e-18,5.747809037099291e-11,9.278728500196978e-11,7.475637511793813e-10,9.278728500196978e-11,1.033967574730326e-09,1.6244650705099079e-09,1.3830338765256781e-17,2.4770929317224798e-09,2.3919293534754413e-11,0.0,0.0,0.0,0.0,2.407412430484045e-35,1.4354620860609267e-25,0.0,0.0,2.407412430484045e-35,8.271806125530277e-25,1.504632769052528e-36,0.0,1.2037062152420224e-35,0.0,0.0,0.0,0.0,0.0,1.88079096131566e-37,6.018531076210112e-36,0.0,1.504632769052528e-36,0.0,1.952449968906569e-25,8.96831017167883e-44,0.0,2.741656340231138e-15,5.512123395762564e-09,3.816045150935727e-26,4.2411140049782125e-26,5.4415103454776006e-24,6.728835736908021e-24,1.7821263276840362e-16,4.946047650912785e-24,6.745195066809238e-24,1.759859312783313e-27,2.231207041679387e-26,4.275789748672326e-32,2.9016501581360297e-32,6.062982456926608e-26,1.77568262618396e-27,2.711409238343165e-16,0.0,0.0,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,7.52316384526264e-37,2.407412430484045e-35,0.0,1.5705805533105698e-15,0.0,0.0,0.0,0.0,0.0,0.0,1.793662034335766e-43,5.512123395762564e-09,1.248993005394432e-15,2.407412430484045e-35,2.407412430484045e-35,0.0,4.81482486096809e-35,4.81482486096809e-35,0.0,2.9878793204156673e-26,3.687971788189754e-26,5.465797261815137e-19,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,5.2444427044313e-24,3.035007535860418e-24,1.7821263276818235e-16,2.9563655823883767e-17,0.0,0.0,0.0,0.0,0.0,6.018531076210112e-36,4.0971126456252294e-24,5.7299274445032274e-24,1.8884711374920467e-27,6.48319405536751e-26,4.7806983281265353e-17,0.0,0.0,0.0,0.0,2.2958874039497803e-41,1.793662034335766e-43,0.0,4.6315415056212373e-32,2.8873919172337064e-32,6.062982456414176e-26,1.77568224654801e-27,2.711409238343165e-16,3.5746685757792826e-25
7,2.3683155040701385e-11,1.40962665249289e-17,1.298806532346332e-10,1.2988065323462477e-10,1.3859847650323052e-17,2.549895462325247e-09,2.3683156403130916e-11,1.5801158113221203e-09,6.120264709850627e-11,8.050364761737866e-18,3.791264375068017e-11,7.271546336643293e-10,3.7912643750680153e-11,1.0643562028829363e-09,3.7912643750680153e-11,2.3804857133972523e-12,2.549895462325247e-09,1.5801158113727282e-09,6.120264709850627e-11,2.3804857133972523e-12,8.050364761737866e-18,3.7912643750680153e-11,6.120264709850628e-11,7.271546336643293e-10,6.120264709850627e-11,1.0643562028829363e-09,1.5801158113727282e-09,1.4096266524972837e-17,2.549895462325247e-09,2.3683155040701385e-11,2.1810426307550534e-25,0.0,0.0,0.0,1.2037062152420224e-35,2.6114366203295635e-25,6.462348535570529e-27,2.0679515313825692e-25,2.407412430484045e-35,0.0,0.0,0.0,1.8055593228630336e-35,6.462348535570529e-27,1.6155871338926322e-27,0.0,3.76158192263132e-37,0.0,1.88079096131566e-37,6.018531076210112e-36,0.0,1.504632769052528e-36,0.0,1.5244664424355749e-25,8.96831017167883e-44,9.62964972193618e-35,2.742016835274712e-15,5.520261995925012e-09,3.7796050204950185e-26,4.1980332264695e-26,5.294511961048103e-24,6.550575487695941e-24,1.7671379731148495e-16,5.093670229979135e-24,6.944870475264198e-24,1.7963459904026987e-27,2.237377257482607e-26,4.3585914154125356e-32,2.9585733786361624e-32,6.079749478301102e-26,1.8124973611982535e-27,2.688605264003647e-16,0.0,0.0,0.0,0.0,0.0,0.0,3.76158192263132e-37,1.2037062152420224e-35,1.793662034335766e-43,1.5713281483770644e-15,2.465190328815662e-32,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,0.0,3.587324068671532e-43,5.520261995925012e-09,1.2493143778123357e-15,1.2037062152420224e-35,1.2037062152420224e-35,0.0,9.62964972193618e-35,9.62964972193618e-35,0.0,2.9555892195649495e-26,3.6484380065772744e-26,5.419827784653768e-19,0.0,0.0,3.0814879110195774e-33,0.0,0.0,1.2037062152420224e-35,5.101938387169147e-24,2.9512843176710316e-24,1.7671379731127153e-16,2.879900199492373e-17,0.0,0.0,0.0,0.0,0.0,1.2037062152420224e-35,4.216343359700218e-24,5.897611128548546e-24,1.9276242938302294e-27,6.501123224821161e-26,4.928470650617733e-17,3.4438311059246704e-41,3.4438311059246704e-41,0.0,4.591774807899561e-41,0.0,0.0,0.0,4.7196934061933877e-32,2.9418210068684947e-32,6.079749477783212e-26,1.8124969842706728e-27,2.688605264003647e-16,3.6487812450895665e-25
8,2.3683184645335836e-11,1.4096489643719478e-17,1.2982962405179908e-10,1.298296240517906e-10,1.3860067046478139e-17,2.5499324848603346e-09,2.368318600774771e-11,1.5800932943232583e-09,6.117860101472903e-11,8.05049185625372e-18,3.7897748143201325e-11,7.271442715503995e-10,3.7897748143201325e-11,1.064371656522291e-09,3.7897748143201325e-11,2.3804886890865414e-12,2.5499324848603346e-09,1.5800932943738664e-09,6.117860101472903e-11,2.3804886890865414e-12,8.05049185625372e-18,3.7897748143201325e-11,6.117860101472903e-11,7.271442715503995e-10,6.117860101472903e-11,1.064371656522291e-09,1.5800932943738664e-09,1.4096489643763414e-17,2.5499324848603346e-09,2.3683184645335836e-11,1.050131637030211e-25,0.0,3.851859888774472e-34,8.271806125530277e-25,1.2037062152420224e-35,6.290123868074853e-26,0.0,1.0339757656912846e-25,2.407412430484045e-35,0.0,0.0,0.0,1.2037062152420224e-35,0.0,1.6155871338926322e-27,0.0,3.76158192263132e-37,2.407412430484045e-35,0.0,0.0,0.0,1.504632769052528e-36,0.0,6.290123868074853e-26,0.0,1.925929944387236e-34,2.7420165383404332e-15,5.520268194106706e-09,3.7796097214579403e-26,4.1980364798526866e-26,5.294436562369665e-24,6.5504846567148126e-24,1.7671421662534135e-16,5.093744906946352e-24,6.944971252306318e-24,1.796376447026786e-27,2.2373804493052293e-26,4.358659474199019e-32,2.9586201631521834e-32,6.079758121361414e-26,1.8125280826302887e-27,2.688611643638167e-16,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,3.76158192263132e-37,1.2037062152420224e-35,0.0,1.5713283184183723e-15,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,1.793662034335766e-43,5.520268194106706e-09,1.2493143049801308e-15,0.0,0.0,0.0,0.0,0.0,0.0,2.9555900306221626e-26,3.648439253708779e-26,5.419840645016008e-19,1.5407439555097887e-33,1.5407439555097887e-33,0.0,3.0814879110195774e-33,3.0814879110195774e-33,0.0,5.101865151955587e-24,2.9512410842965032e-24,1.7671421662512793e-16,2.879862393801582e-17,0.0,0.0,0.0,0.0,0.0,0.0,4.216403181833549e-24,5.897695427209482e-24,1.9276569649555283e-27,6.501132461436003e-26,4.928547742043689e-17,3.4438311059246704e-41,3.4438311059246704e-41,0.0,4.591774807899561e-41,0.0,0.0,0.0,4.719765808015484e-32,2.941865664810079e-32,6.079758120843514e-26,1.8125277057016964e-27,2.688611643638167e-16,3.6488430767201824e-25
9,2.3683184645335836e-11,1.4096489643719478e-17,1.2982962405179908e-10,1.298296240517906e-10,1.3860067046478139e-17,2.5499324848603346e-09,2.368318600774771e-11,1.5800932943232583e-09,6.117860101472903e-11,8.05049185625372e-18,3.7897748143201325e-11,7.271442715503995e-10,3.7897748143201325e-11,1.064371656522291e-09,3.7897748143201325e-11,2.3804886890865414e-12,2.5499324848603346e-09,1.5800932943738664e-09,6.117860101472903e-11,2.3804886890865414e-12,8.05049185625372e-18,3.7897748143201325e-11,6.117860101472903e-11,7.271442715503995e-10,6.117860101472903e-11,1.064371656522291e-09,1.5800932943738664e-09,1.4096489643763414e-17,2.5499324848603346e-09,2.3683184645335836e-11,1.050131637030211e-25,0.0,3.851859888774472e-34,8.271806125530277e-25,1.2037062152420224e-35,6.290123868074853e-26,0.0,1.0339757656912846e-25,2.407412430484045e-35,0.0,0.0,0.0,1.2037062152420224e-35,0.0,1.6155871338926322e-27,0.0,3.76158192263132e-37,2.407412430484045e-35,0.0,0.0,0.0,1.504632769052528e-36,0.0,6.290123868074853e-26,0.0,1.925929944387236e-34,2.7420165383404332e-15,5.520268194106706e-09,3.7796097214579403e-26,4.1980364798526866e-26,5.294436562369665e-24,6.5504846567148126e-24,1.7671421662534135e-16,5.093744906946352e-24,6.944971252306318e-24,1.796376447026786e-27,2.2373804493052293e-26,4.358659474199019e-32,2.9586201631521834e-32,6.079758121361414e-26,1.8125280826302887e-27,2.688611643638167e-16,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,3.76158192263132e-37,1.2037062152420224e-35,0.0,1.5713283184183723e-15,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,1.793662034335766e-43,5.520268194106706e-09,1.2493143049801308e-15,0.0,0.0,0.0,0.0,0.0,0.0,2.9555900306221626e-26,3.648439253708779e-26,5.419840645016008e-19,1.5407439555097887e-33,1.5407439555097887e-33,0.0,3.0814879110195774e-33,3.0814879110195774e-33,0.0,5.101865151955587e-24,2.9512410842965032e-24,1.7671421662512793e-16,2.879862393801582e-17,0.0,0.0,0.0,0.0,0.0,0.0,4.216403181833549e-24,5.897695427209482e-24,1.9276569649555283e-27,6.501132461436003e-26,4.928547742043689e-17,3.4438311059246704e-41,3.4438311059246704e-41,0.0,4.591774807899561e-41,0.0,0.0,0.0,4.719765808015484e-32,2.941865664810079e-32,6.079758120843514e-26,1.8125277057016964e-27,2.688611643638167e-16,3.6488430767201824e-25
10,2.3930847449114773e-11,1.3675204488090248e-17,1.5136430237391877e-10,1.513643023739273e-10,1.3445847570754565e-17,2.4481247585677113e-09,2.3930848663673226e-11,1.3940384607050578e-09,7.132621950069713e-11,7.809896360071071e-18,4.418380050879094e-11,6.41523563615226e-10,4.418380050879094e-11,1.0218759202923246e-09,4.418380050879094e-11,2.40538234405106e-12,2.4481247585677113e-09,1.39403846075673e-09,7.132621950069713e-11,2.40538234405106e-12,7.809896360071071e-18,4.418380050879094e-11,7.132621950069713e-11,6.41523563615226e-10,7.132621950069713e-11,1.0218759202923246e-09,1.39403846075673e-09,1.3675204488127857e-17,2.4481247585677113e-09,2.3930847449114773e-11,1.0178198943523583e-25,0.0,3.851859888774472e-34,0.0,2.407412430484045e-35,6.822009327485836e-26,0.0,1.0339757656912846e-25,0.0,8.271806125530277e-25,1.504632769052528e-36,3.009265538105056e-36,6.018531076210112e-36,0.0,1.6155871338926322e-27,0.0,3.76158192263132e-37,2.407412430484045e-35,0.0,0.0,1.925929944387236e-34,3.009265538105056e-36,0.0,6.822009327485836e-26,8.96831017167883e-44,1.4444474582904269e-34,2.7506397782807827e-15,5.605626209396721e-09,3.8242402451705906e-26,4.2365290290093856e-26,4.676637101050624e-24,5.79928629657963e-24,1.8132322870740781e-16,4.899338808536959e-24,6.67320292403946e-24,1.769636805704487e-27,1.924423844437662e-26,4.2306098107236485e-32,2.874718386698454e-32,5.229343311727236e-26,1.7855479931655096e-27,2.7587352804695916e-16,0.0,0.0,0.0,0.0,0.0,0.0,3.76158192263132e-37,0.0,1.793662034335766e-43,1.574427382162377e-15,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,5.605626209396721e-09,1.2506183719060742e-15,0.0,0.0,0.0,4.81482486096809e-35,4.81482486096809e-35,9.4039548065783e-38,2.974361698416342e-26,3.6729960246140957e-26,5.561199191752107e-19,0.0,0.0,0.0,0.0,0.0,1.2037062152420224e-35,4.50342829935834e-24,2.6003657169497763e-24,1.8132322870721462e-16,2.5800476080974104e-17,0.0,0.0,0.0,0.0,0.0,0.0,4.043029754488972e-24,5.6590089274254106e-24,1.8989631757036118e-27,5.591777235320673e-26,4.804938014697222e-17,0.0,0.0,0.0,0.0,0.0,1.793662034335766e-43,3.009265538105056e-36,4.5747649932871754e-32,2.849315032970814e-32,5.229343311211709e-26,1.7855476655700217e-27,2.7587352804695916e-16,3.5945290395765793e-25
