,Y4Z0,Y0Z4,Y5Z0,Y0Z5,Y5Z4,Y4Z5,Y4Z2,Y2Z4,Y1Z0,Y0Z1,Y3Z1,Y1Z3,Y3Z0,Y0Z3,Y5Z2,Y2Z5,Y5Z1,Y1Z5,Y1Z2,Y2Z1,Y3Z5,Y5Z3,Y1Z4,Y4Z1,Y4Z3,Y3Z4,Y3Z2,Y2Z3,Y0Z2,Y2Z0,X5Y3,X5Y1,X3Y0,X2Y1,X0Y4,standard_y,Y5,Y3,Y2,X5Y0,X4Y1,X3Y5,X3Y2,X2Y5,X2Y3,X2Y0,X1Y0,X0Y3,X0Y2,X0Y1,X5Y4,X3Y4,X3Y1,X2Y4,X1Y4,X1Y3,X1Y2,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y3,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8419199045509562,0.8419199045509562,0.8345502885760898,0.8345502885760898,0.7361315371336714,0.7361315371336714,0.6829499338332965,0.6829499338332965,0.682004560587978,0.6820045605879779,0.6310379652956766,0.6310379652956766,0.6178163488614024,0.6178163488614024,0.6006683617497799,0.6006683617497799,0.5280186220192247,0.5280186220192247,0.5150177257913495,0.5150177257913493,0.3785728437681991,0.378572843768199,0.36922983406291854,0.3692298340629185,0.28192452285640507,0.281924522856405,0.1078566833027319,0.1078566833027319,0.09160260807956397,0.0916026080795639,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0682799628628896e-05,5.0682799628628896e-05,0.09841875277626251,5.0239155562518695e-05,0.09841874993024304,4.4314437745428504e-05,4.1112954410217736e-05,0.5913473259197133,0.3127747271940906,4.1056043815150734e-05,0.6310379652956766,0.6310379652956766,0.33589182651583455,3.7191972831826994e-05,0.6006683617497799,0.6006683617497798,0.5280186220192247,0.5280186220192247,0.5150177257913495,0.5150177257913493,0.37857284376819905,0.3785728437681991,0.3127747252892914,2.2227294539026038e-05,1.6971595546192694e-05,0.33589182488553615,0.1078566833027319,0.1078566833027319,5.51439229035993e-06,0.5913473245162515,0.0,0.0,0.0,2.7755575615628914e-17,5.551115123125783e-17,2.775896374741793e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,3.3881317890172014e-21,0.0,0.0,1.1102230246251565e-16,0.0,5.551115123125783e-17,3.3881317890172014e-21,2.064642808932357e-21,0.0,3.3881317890172014e-21,2.1705219273391446e-21,0.0,0.0,4.163336342344337e-17,1.6940658945086007e-21,3.3881317890172014e-21,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.7818464282617185e-06,5.7818464282617185e-06,0.0984187514597771,5.731235927700305e-06,0.09841875142273893,5.055349654641079e-06,4.690127426933438e-06,0.5913473257558928,0.0003790630798711569,4.4081272345377595e-07,0.0007647778875598626,0.0007647778875598627,0.0004070795344705563,4.40806167903907e-07,0.6006683617497799,0.60066836174978,0.1494460562731061,0.0006399249942924141,0.0006241687347639073,0.4071611216980483,0.00045880621399524673,0.14944539047668243,0.0003790630798411142,5.995666525233195e-07,5.995633684748565e-07,0.00040707953444484306,0.00013071544178301054,0.4071606642620701,6.290767203404792e-07,0.591347325737628,0.0,0.0,4.1359030627651384e-25,6.776263578034403e-20,1.734723475976807e-18,9.713085624842672e-17,1.3877787807814457e-17,0.0,8.326672684688674e-17,5.293955920339377e-23,4.1359030627651384e-25,5.421010862427522e-20,1.0842021724855044e-19,0.0,1.0842021724855044e-19,2.6469779601696886e-23,1.357093192469811e-25,4.1359030627651384e-25,0.0,3.2311742677852644e-26,2.117582368135751e-22,4.1359030627651384e-25,0.0,2.117582368135751e-22,6.203854594147708e-25,0.0,2.710505431213761e-20,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,4.1359030627651384e-25,0.0,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7.550160948819359e-07,7.550160948819359e-07,0.0004491208785816746,6.662607375376813e-07,0.0004491208785787925,4.769852234295899e-08,4.7685271734700275e-08,0.002698534848250375,8.033731880995759e-07,5.756264069162346e-08,1.6208438182443721e-06,1.6208438182443721e-06,8.627502935169723e-07,5.756264068777835e-08,0.0027410701559478752,0.0027410701559478752,0.0006819759267932899,3.3407045495499776e-08,3.3379150379221215e-08,0.0018580252487079795,6.953471258020509e-07,0.000681975926779643,8.033731880984902e-07,7.829357017690813e-08,7.829357017498184e-08,8.627502935160432e-07,6.953341166598025e-07,0.0018580252486986035,6.662520896274152e-07,0.0026985348482489535,0.0,0.0,1.0097419586828951e-28,7.237830359838992e-25,5.204170427930421e-18,5.43953970814871e-20,5.421010862427522e-20,1.0587911840678754e-22,0.0,0.0,1.0097419586828951e-28,0.0,8.271806125530277e-25,0.0,4.1359030627651384e-25,2.5849394142282115e-26,5.534807289140522e-29,1.0097419586828951e-28,2.0679515313825692e-25,3.6604681931385597e-29,0.0,5.048709793414476e-29,5.204170427930421e-18,1.0339757656912846e-25,2.0194839173657902e-28,8.673617379884035e-18,4.1359030627651384e-25,0.0,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.204170427930421e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.550963648536927e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0
4,2.1197376259673042e-07,2.1197376259673042e-07,9.412412830569595e-11,1.8705510393100642e-07,9.412412830564833e-11,1.3389758920736957e-08,1.3389758920736957e-08,5.655431586634836e-10,3.921315471410599e-07,1.6160939634035222e-08,7.91144145133815e-07,7.91144145133815e-07,4.211138887937643e-07,1.616093963377804e-08,5.744574598019895e-10,5.744574598019893e-10,1.4292452810782316e-10,1.6299467698993997e-08,1.6299467698993997e-08,3.893940701605057e-10,3.3940193320224013e-07,1.4292452810714174e-10,3.921315471410181e-07,2.198123029415803e-08,2.19812302940292e-08,4.211138887937286e-07,3.3940193320224013e-07,3.893940701600375e-10,1.8705510393100642e-07,5.655431586634601e-10,9.860761315262648e-32,1.232595164407831e-32,1.262177448353619e-29,2.465190328815662e-32,3.469446951953614e-18,3.970466940254533e-23,2.5849394142282115e-26,5.293955920339377e-23,2.5849394142282115e-26,1.5407439555097887e-33,1.262177448353619e-29,0.0,4.930380657631324e-32,2.7755575615628914e-17,4.930380657631324e-32,9.244463733058732e-33,1.1064620945741764e-29,1.262177448353619e-29,6.162975822039155e-33,1.1026337485397118e-29,1.232595164407831e-32,1.262177448353619e-29,0.0,1.8488927466117464e-32,1.262177448353619e-29,1.0408340855860843e-17,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.244463733058732e-33,0.0,0.0,0.0,0.0,0.0,0.0
5,2.542634429649311e-09,2.5426344296493106e-09,5.703615635229347e-10,2.243734043639338e-09,5.703615635229347e-10,1.606107360623645e-10,1.606107360623645e-10,3.42700735742759e-09,5.908923844537284e-09,1.9385116830164326e-10,1.1921536376581784e-08,1.1921536376581783e-08,6.34565088399839e-09,1.9385116830164285e-10,3.4810251191492424e-09,3.4810251191492424e-09,8.660760931825766e-10,2.456122544642101e-10,2.4561225446421e-10,2.359601248704171e-09,5.114355604904727e-09,8.660760931825757e-10,5.908923844537284e-09,2.636658059335544e-10,2.636658059335542e-10,6.34565088399839e-09,5.114355604904727e-09,2.3596012487041707e-09,2.243734043639338e-09,3.42700735742759e-09,6.162975822039155e-33,1.5407439555097887e-33,0.0,3.0814879110195774e-33,1.734723475976807e-18,1.0339757656912846e-25,1.0339757656912846e-25,0.0,0.0,1.925929944387236e-34,3.0814879110195774e-33,6.162975822039155e-33,0.0,0.0,0.0,6.7407548053553255e-34,8.665053406947685e-34,0.0,0.0,8.507249144862673e-34,7.703719777548943e-34,0.0,8.673617379884035e-19,3.851859888774472e-34,1.5407439555097887e-33,8.673617379884035e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.851859888774472e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.542634429649311e-09,2.5426344296493114e-09,5.703615502914249e-10,2.243734043639338e-09,5.703615502914249e-10,1.606107360623644e-10,1.606107360623644e-10,3.427007277926297e-09,6.263686243914749e-09,1.9385116830164341e-10,1.263728647939142e-08,1.263728647939142e-08,6.726633680942065e-09,1.938511683016426e-10,3.481025038394821e-09,3.48102503839482e-09,8.66076073090945e-10,2.603584239872419e-10,2.603584239872417e-10,2.3596011939650565e-09,5.4214133896048895e-09,8.66076073090944e-10,6.263686243914749e-09,2.636658059335545e-10,2.636658059335543e-10,6.726633680942065e-09,5.4214133896048895e-09,2.359601193965056e-09,2.243734043639338e-09,3.427007277926297e-09,0.0,0.0,3.0814879110195774e-33,1.5407439555097887e-33,1.734723475976807e-18,2.5849394142282115e-25,0.0,0.0,4.1359030627651384e-25,2.8888949165808538e-34,3.0814879110195774e-33,6.162975822039155e-33,0.0,0.0,0.0,7.703719777548943e-34,2.9708615177740928e-33,3.0814879110195774e-33,0.0,1.6305918101066844e-33,3.851859888774472e-34,1.5407439555097887e-33,6.938893903907228e-18,1.1555579666323415e-33,3.0814879110195774e-33,1.3877787807814457e-17,0.0,1.9572690511285936e-16,2.235067385039834e-26,1.0339757656912846e-25,7.364592989246152e-25,5.525431596969605e-25,3.07489958984614e-10,1.1014364611923268e-26,4.745518524593732e-25,6.602571822113007e-25,5.224014391980563e-25,3.796965034028476e-11,1.9366106645604611e-25,2.0679515313825692e-25,1.358589563295516e-26,2.701264481513146e-10,7.251285964625346e-25,2.188443777377127e-26,6.928413460586145e-25,5.169878828456423e-26,4.81482486096809e-35,9.62964972193618e-35,4.81482486096809e-35,9.62964972193618e-35,0.0,0.0,1.2910556350052838e-18,1.8055593228630336e-35,9.62964972193618e-35,1.8055593228630336e-35,9.62964972193618e-35,9.62964972193618e-35,3.851859888774472e-34,0.0,0.0,1.734723475976807e-18,2.2456740015085408e-26,1.231932228779874e-18,6.162975822039155e-33,0.0,6.162975822039155e-33,1.232595164407831e-32,0.0,8.102436392481978e-25,5.644979363756637e-25,1.0893550185847389e-16,1.925929944387236e-34,1.925929944387236e-34,0.0,1.925929944387236e-34,1.925929944387236e-34,3.07489958984614e-10,1.7799915468345284e-26,8.275510367042728e-25,2.879972585965539e-18,0.0,6.162975822039155e-33,0.0,0.0,6.162975822039155e-33,1.5407439555097887e-33,7.9630728458657385e-25,5.339671836968441e-25,3.796965034028586e-11,8.237570567283968e-25,9.436083177103912e-17,2.407412430484045e-35,2.407412430484045e-35,0.0,0.0,0.0,3.851859888774472e-34,1.634135103790243e-26,2.701264481513146e-10,5.921987806989603e-25,2.3845782990240755e-26,5.439369644264514e-25,2.1664680669029184e-18
7,2.5426344296493106e-09,2.542634429649304e-09,2.5834917406190836e-10,2.2437340436393315e-09,2.5834917406190836e-10,1.606107360623634e-10,1.606107360623634e-10,1.55228643884573e-09,8.897328306371257e-09,1.9385116830164233e-10,1.7950785261322397e-08,1.7950785261322516e-08,9.554927549919933e-09,1.9385116830164067e-10,1.5767541537444436e-09,1.57675415374444e-09,3.9229509430203017e-10,3.6982924835902863e-10,3.698292483590286e-10,1.0687975359925453e-09,7.700911720910905e-09,3.9229509430202913e-10,8.897328306371257e-09,2.636658059335541e-10,2.6366580593355305e-10,9.554927549919933e-09,7.700911720910905e-09,1.0687975359925445e-09,2.2437340436393315e-09,1.55228643884573e-09,3.0814879110195774e-33,7.703719777548943e-34,6.162975822039155e-33,0.0,1.214306433183765e-17,1.2924697071141057e-26,0.0,0.0,1.0339757656912846e-25,2.8888949165808538e-34,6.162975822039155e-33,6.162975822039155e-33,3.0814879110195774e-33,0.0,0.0,2.8888949165808538e-34,4.292244842396878e-34,3.0814879110195774e-33,5.7777898331617076e-34,2.7325051736842893e-33,1.925929944387236e-34,0.0,1.0408340855860843e-17,0.0,6.162975822039155e-33,1.0408340855860843e-17,1.5407439555097887e-33,1.3751678680400491e-14,9.678499197415457e-25,1.0339757656912846e-25,2.3121005299390915e-23,3.911285494362982e-23,2.9396220424280737e-08,4.769543871798877e-25,1.519458043078434e-23,2.154616365334385e-23,3.7111554174712833e-23,3.6299208420388247e-09,6.396493337703539e-24,0.0,5.883092404789858e-25,2.5824246874615482e-08,5.069542752818709e-23,9.47660527041648e-25,4.784887944262007e-23,1.2924697071141057e-26,0.0,6.162975822039155e-33,1.5407439555097887e-33,0.0,0.0,0.0,5.59065059977382e-17,1.5407439555097887e-33,0.0,1.5407439555097887e-33,1.232595164407831e-32,3.0814879110195774e-33,5.7777898331617076e-34,3.0814879110195774e-33,0.0,1.214306433183765e-17,9.724428965769098e-25,1.1777344360958632e-16,3.944304526105059e-31,0.0,3.944304526105059e-31,0.0,0.0,2.596818762448501e-23,4.030883794977629e-23,7.452793593172318e-15,0.0,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,2.9396220424280737e-08,7.707886924023046e-25,2.7421263215724014e-23,1.247112829881614e-16,0.0,0.0,3.944304526105059e-31,0.0,0.0,3.851859888774472e-34,2.5755607355539953e-23,3.822591042334729e-23,3.6299208420389297e-09,2.7055552625926696e-23,6.443156359698848e-15,6.162975822039155e-33,3.0814879110195774e-33,0.0,6.162975822039155e-33,0.0,1.925929944387236e-34,7.076285633106568e-25,2.5824246874615482e-08,4.350017762649197e-23,1.0325925422103358e-24,4.0150128642173154e-23,2.0711561784698774e-16
8,2.5426344296493098e-09,2.542634429649304e-09,2.999989865954364e-10,2.2437340436393307e-09,2.999989865954364e-10,1.6061073606236336e-10,1.6061073606236336e-10,1.8025386001348927e-09,8.897328306371277e-09,1.9385116830164192e-10,1.7950785261322437e-08,1.7950785261322556e-08,9.554927549919956e-09,1.9385116830164026e-10,1.830950882467799e-09,1.8309508824677955e-09,4.555390245171388e-10,3.6982924835903e-10,3.6982924835903e-10,1.2411039394173894e-09,7.700911720910925e-09,4.555390245171377e-10,8.897328306371277e-09,2.636658059335543e-10,2.6366580593355315e-10,9.554927549919956e-09,7.700911720910925e-09,1.2411039394173881e-09,2.2437340436393307e-09,1.8025386001348927e-09,0.0,0.0,0.0,1.5407439555097887e-33,1.214306433183765e-17,3.877409121342317e-26,5.169878828456423e-26,0.0,1.0339757656912846e-25,9.62964972193618e-35,0.0,0.0,3.0814879110195774e-33,5.551115123125783e-17,0.0,5.7777898331617076e-34,3.543613862249182e-33,0.0,7.703719777548943e-34,3.1633370316543563e-34,3.851859888774472e-34,3.0814879110195774e-33,1.0408340855860843e-17,0.0,3.0814879110195774e-33,1.0408340855860843e-17,1.5407439555097887e-33,1.3624477208503292e-14,1.113383989667477e-24,1.0339757656912846e-25,2.6544558263252006e-23,3.8664006199845764e-23,2.905204377112753e-08,5.502299068173578e-25,1.745556065930846e-23,2.4751264033141485e-23,3.668560686617703e-23,3.5874210244230878e-09,7.361692916140961e-24,0.0,6.755119905116701e-25,2.5521891580934056e-08,5.011399396717158e-23,1.0908048443972813e-24,4.7300384020608776e-23,1.2924697071141057e-26,3.0814879110195774e-33,0.0,0.0,1.232595164407831e-32,3.0814879110195774e-33,5.551115123125783e-17,6.493423396968003e-17,3.851859888774472e-33,0.0,3.851859888774472e-33,1.232595164407831e-32,6.162975822039155e-33,3.851859888774472e-34,0.0,0.0,1.214306433183765e-17,1.1183344315623941e-24,1.1639452927751131e-16,3.944304526105059e-31,3.944304526105059e-31,3.944304526105059e-31,0.0,3.944304526105059e-31,2.9830649943200457e-23,3.9846106493842587e-23,7.367398484971901e-15,6.162975822039155e-33,1.232595164407831e-32,0.0,1.232595164407831e-32,1.232595164407831e-32,2.905204377112753e-08,8.869121513520399e-25,3.149809541884179e-23,1.438959351489834e-16,0.0,1.9721522630525295e-31,0.0,0.0,1.9721522630525295e-31,3.851859888774472e-34,2.958648048154062e-23,3.778703547759174e-23,3.587421024423191e-09,3.107845608945482e-23,6.36933375169206e-15,4.622231866529366e-33,4.622231866529366e-33,0.0,4.622231866529366e-33,0.0,3.851859888774472e-34,8.144283570294728e-25,2.5521891580934056e-08,4.300022634374194e-23,1.1873633364327785e-24,3.968857957870337e-23,2.0469066800182137e-16
9,4.604387444483384e-09,4.604387444483384e-09,9.4610759775301e-10,4.063116875483274e-09,9.461075977530098e-10,2.9084560798493237e-10,2.9084560798493227e-10,5.684670752339941e-09,9.92399465847917e-09,3.510398014824462e-10,2.0022133714151297e-08,2.0022133714151403e-08,1.0657474547686391e-08,3.510398014824426e-10,5.774274642305452e-09,5.7742746423054534e-09,1.4366346268691544e-09,4.1250399658009704e-10,4.125039965800959e-10,3.9140727774106665e-09,8.589523073911142e-09,1.4366346268691501e-09,9.92399465847917e-09,4.774652274914309e-10,4.774652274914286e-10,1.0657474547686391e-08,8.589523073911142e-09,3.914072777410663e-09,4.063116875483274e-09,5.684670752339941e-09,0.0,9.244463733058732e-33,1.232595164407831e-32,6.162975822039155e-33,6.938893903907228e-18,1.6285118309637732e-24,0.0,1.6543612251060553e-24,0.0,3.851859888774472e-34,6.162975822039155e-33,1.232595164407831e-32,0.0,2.7755575615628914e-17,1.232595164407831e-32,1.925929944387236e-34,6.678744275586521e-33,0.0,3.0814879110195774e-33,4.2863147029857196e-33,0.0,1.232595164407831e-32,4.336808689942018e-18,1.5407439555097887e-33,0.0,6.071532165918825e-18,6.162975822039155e-33,1.222961695287867e-14,2.9533899917081497e-24,0.0,7.097580828871291e-23,5.668933383917023e-23,6.471179227572572e-09,2.356703874133065e-24,4.923189221631331e-23,6.799155179167815e-23,5.350747012518539e-23,7.990778410181611e-10,2.448741626536224e-23,0.0,1.0654715791393106e-24,5.684857697035408e-09,7.493558727381654e-23,3.265865011180043e-24,7.19847829160072e-23,2.5849394142282115e-26,0.0,0.0,0.0,4.930380657631324e-32,0.0,5.551115123125783e-17,2.9280914924563946e-16,2.6963019221421302e-33,3.0814879110195774e-33,7.703719777548943e-34,0.0,0.0,1.5407439555097887e-33,6.162975822039155e-33,3.0814879110195774e-33,3.469446951953614e-18,2.774501307355907e-24,4.694909707528394e-17,0.0,3.944304526105059e-31,0.0,3.944304526105059e-31,3.944304526105059e-31,8.397578626493246e-23,5.774771684326168e-23,6.280116274863543e-15,4.930380657631324e-32,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,1.232595164407831e-32,6.471179227572572e-09,2.4801129816210284e-24,8.426409713484107e-23,3.4827733705040854e-16,1.4791141972893971e-31,1.9721522630525295e-31,0.0,4.930380657631324e-32,1.9721522630525295e-31,1.5407439555097887e-33,8.219818431291952e-23,5.452182344582461e-23,7.990778410182612e-10,8.438536622027082e-23,5.437927667911441e-15,3.851859888774472e-34,0.0,0.0,3.851859888774472e-34,6.162975822039155e-33,1.5407439555097887e-33,2.3879075881880684e-24,5.684857697035408e-09,5.97938200657298e-23,2.8623117950836375e-24,5.47502926992027e-23,8.256437911707759e-17
