,Y4Z2,Y2Z4,Y3Z0,Y0Z3,Y3Z2,Y2Z3,Y1Z0,Y0Z1,Y1Z2,Y2Z1,Y5Z4,Y4Z5,Y1Z4,Y4Z1,Y5Z3,Y3Z5,Y5Z0,Y0Z5,Y3Z1,Y1Z3,Y0Z4,Y4Z0,Y0Z2,Y2Z0,Y5Z2,Y2Z5,Y1Z5,Y5Z1,Y4Z3,Y3Z4,X5Y0,X0Y2,X5Y1,X0Y1,standard_y,Y4,Y2,Y1,X4Y2,X3Y2,X2Y3,Y5,Y3,X3Y1,X2Y5,X2Y1,X1Y5,X1Y4,X1Y3,X3Y5,X0Y5,X1Y2,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y3,X4Y1,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9852826642769212,0.9852826642769212,0.9706289232878222,0.970628923287822,0.9611529205785536,0.9611529205785534,0.9279915658776743,0.9279915658776743,0.897761595776956,0.8977615957769558,0.5187268184044456,0.5187268184044456,0.50805127015022,0.5080512701502198,0.47255196028268975,0.47255196028268975,0.4647520580133595,0.4647520580133595,0.35577371098914057,0.35577371098914057,0.23810877570847339,0.2381087757084733,0.17302689004804397,0.1730268900480439,0.17169147629264714,0.17169147629264708,0.1615257859809165,0.16152578598091646,0.12275766603831818,0.12275766603831816,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,7.28583859910259e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0025022809919375347,0.0025022809919375347,0.970628923287822,0.970628923287822,0.83839565042592,0.00244099969552798,0.9279915658776741,0.9279915658776741,0.38971196405984954,0.0022800074109218292,0.3470358958059166,0.0013173887096189327,0.38970743040254685,0.001290276468184476,0.4725519602826897,0.47255196028268964,0.4647520580133594,0.4647520580133594,0.3557737109891405,0.35577371098914046,0.06508244366117233,0.000604714855006697,0.06508111777473428,0.00043942912400577757,0.347033669250719,0.00043603762979030434,0.16152578598091644,0.16152578598091652,0.00031176248753724727,0.8383921548830453,0.0,2.168404344971009e-19,2.7755575615628914e-17,2.0346353432868934e-17,2.7972416050126014e-17,0.0,2.168404344971009e-19,5.551115123125783e-17,0.0,0.0,2.168404344971009e-19,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,2.710505431213761e-20,1.0842021724855044e-19,2.7755575615628914e-17,2.710505431213761e-20,1.942890293094024e-16,2.7755575615628914e-17,1.3877787807814457e-17,8.131516293641283e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.131516293641283e-20,1.6263032587282567e-19,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6869561960195025e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.772304965828557e-05,7.772304965828557e-05,0.0019800426986546866,0.001980042698654687,0.0017102915061218828,6.217057176655219e-05,0.5722185951531045,0.0018930642600316918,0.3897103272074584,7.081903662750606e-05,0.3470353426459898,4.0919252644641873e-05,0.38971032283349133,4.007712256646626e-05,0.007800869287049886,0.0009639863765065682,0.0077989190222177915,0.0009480748997639491,0.0007257635971027413,0.5722159240002841,0.00013276434535461318,9.099378485406585e-06,0.00013276434274513024,6.217038560756217e-05,0.3470353404978612,1.3543712501620989e-05,0.1615257859809165,0.16152578598091658,9.09931925447009e-06,0.001710291499242289,1.0842021724855044e-19,0.0,2.7755575615628914e-17,6.421475238156658e-21,8.309054399385785e-17,6.776263578034403e-21,6.776263578034403e-21,5.551115123125783e-17,5.551115123125783e-17,1.3234889800848443e-23,9.926167350636332e-24,2.7755575615628914e-17,1.6263032587282567e-19,2.168404344971009e-19,1.6940658945086007e-21,3.3881317890172014e-21,1.6696713456276768e-17,0.0,3.2526065174565133e-19,2.710505431213761e-20,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,1.6263032587282567e-19,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,5.082197683525802e-21,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0743582871323857e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
3,6.188835630012397e-05,6.188835630012394e-05,2.9343450981589682e-05,4.033324077055083e-08,4.001170385122272e-05,0.00010589528951386419,0.0004982336565933149,3.856150003525686e-08,0.0003393232127453925,0.00010589529210738846,0.3470353424504983,3.258268040613894e-05,0.00033932321033068016,2.466659673363076e-05,0.16932562736682855,2.2552142299580455e-05,0.16932562648337424,1.931217605896902e-08,2.9343426986244095e-05,0.0004982336553203872,2.7043943518797313e-09,2.4666581890347956e-05,2.704394318177297e-09,0.00010589528949695294,0.34703534108849377,1.0784421205960857e-05,0.00014064150959091715,0.16932568475543797,2.4666581879819685e-05,4.001170374917628e-05,0.0,0.0,0.0,2.0909001145253334e-22,1.3859156391697312e-17,1.6940658945086007e-21,6.776263578034403e-21,2.710505431213761e-20,0.0,2.0679515313825692e-25,0.0,1.3877787807814457e-17,0.0,1.6543612251060553e-24,0.0,6.617444900424222e-24,1.2705494208814505e-20,1.8611563782443123e-24,1.6543612251060553e-24,0.0,4.1359030627651384e-25,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,2.0679515313825692e-25,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37942632219741e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9.926977581922332e-07,9.165393328478203e-05,6.776216667858181e-06,1.1591549378729478e-09,1.4447522075794663e-05,0.0001899196177060912,6.200621795994984e-05,1.1082360932001697e-09,5.973191110693102e-05,0.00018991961777698585,0.003103764066897805,5.226306809347809e-07,5.973191025137372e-05,3.9565556540190426e-07,0.0015143903760916721,1.4447360776183162e-05,0.0015143903756703139,4.773015296149054e-10,6.7762165820344326e-06,6.200621795150174e-05,4.77276222844973e-10,3.956555617143168e-07,4.772762224388218e-10,0.00018991961770447376,0.0031037640277164274,9.164872045510779e-05,5.9730921314159755e-05,0.0015143903837422862,3.956555617053111e-07,1.4447522033040706e-05,0.0,0.0,2.6469779601696886e-23,7.288257724901837e-23,6.392451773809798e-20,2.6469779601696886e-23,4.0657581468206416e-20,3.3881317890172014e-21,0.0,5.169878828456423e-26,1.0339757656912846e-25,1.0842021724855044e-19,4.235164736271502e-22,5.169878828456423e-26,0.0,0.0,2.895132143935597e-24,5.6545549686242126e-27,5.169878828456423e-26,6.617444900424222e-24,3.0292258760486853e-28,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,4.0389678347315804e-28,3.2311742677852644e-27,1.9721522630525295e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.673617379884035e-19,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.289550271954298e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.170028386788067e-08,9.88301984448463e-06,1.9156032125491684e-07,8.304060747641498e-13,4.084302525067182e-07,2.0479156014879535e-05,1.5713249134726954e-06,7.939283645335347e-13,1.5137085080712562e-06,2.047915601488442e-05,1.0433219541435383e-07,8.170198772297005e-08,1.5137085078191559e-06,2.1331627912760843e-08,5.090588143368014e-08,4.084302524926601e-07,5.090588143366882e-08,3.41931433372606e-13,1.9156032125335878e-07,1.5713249134725243e-06,3.419314333725844e-13,2.1331627912633166e-08,3.4193143336920114e-13,2.04791560148794e-05,1.0433265100336689e-07,9.883019863379626e-06,1.5137085078191339e-06,5.0905881433843074e-08,2.1331627912632783e-08,4.0843025249266456e-07,0.0,7.703719777548943e-34,2.524354896707238e-29,1.2760886260015745e-24,1.5997672037033597e-21,1.6543612251060553e-24,1.6940658945086007e-21,1.0587911840678754e-22,2.6469779601696886e-23,2.0194839173657902e-28,2.0194839173657902e-28,0.0,1.3234889800848443e-23,5.048709793414476e-29,6.617444900424222e-24,3.2311742677852644e-27,2.1693674893577825e-29,2.3665827156630354e-30,0.0,0.0,6.018531076210112e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,2.3665827156630354e-30,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2760886260015745e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0
6,1.7112146201135678e-08,1.2204400351598039e-09,2.1106583620827446e-08,2.6081484923760805e-16,2.110658363043914e-08,3.162532425670291e-08,2.859859523002374e-16,2.0286434233012646e-16,3.5017399412600483e-16,3.162532425670291e-08,1.497939802646348e-08,1.4979397901082095e-08,8.20367225910588e-17,1.7112146299505432e-08,6.831742251753204e-11,4.684596720582944e-09,6.831742251753438e-11,6.090065122194252e-17,2.1106583620827446e-08,2.859859523002374e-16,6.090065122194243e-17,1.7112146299505432e-08,2.0286434186358687e-16,3.162532425670291e-08,6.831735439861411e-11,1.2204397558938485e-09,8.203671960725684e-17,6.831742251753448e-11,1.7112146299505432e-08,4.684596720582941e-09,0.0,3.6734198463196485e-40,2.8888949165808538e-34,3.333230174070496e-33,3.437969420923521e-24,0.0,3.308722450212111e-24,1.232595164407831e-32,6.203854594147708e-25,1.8488927466117464e-32,1.232595164407831e-32,1.2924697071141057e-25,0.0,3.6734198463196485e-40,0.0,8.271806125530277e-25,0.0,9.244463733058732e-33,3.6734198463196485e-40,0.0,1.2053408870736347e-40,0.0,3.571543172551513e-08,1.3437505571626498e-09,3.398187544971184e-24,2.1987282674759102e-24,3.979334811584447e-16,7.897898757990538e-16,4.5885298502528014e-18,6.526229726326337e-24,1.191524708117794e-23,4.4070003912229626e-24,1.260870487833264e-16,1.0059762698258364e-31,5.845293595190099e-32,1.6228686904536332e-16,4.7571558342098536e-24,5.468133600129735e-17,1.232595164407831e-32,1.5407439555097887e-33,6.162975822039155e-33,0.0,0.0,0.0,0.0,9.860761315262648e-32,0.0,6.736250448907213e-17,1.5407439555097887e-33,6.162975822039155e-33,0.0,0.0,0.0,0.0,9.860761315262648e-32,3.851859888774472e-33,0.0,1.3437505571626547e-09,5.653080301214644e-17,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,5.571985990005378e-24,5.196018785009416e-24,1.4897250808566365e-16,0.0,1.6543612251060553e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,2.481541837659083e-24,0.0,1.1876652721511974e-15,1.026830985842617e-15,8.138151658513498e-17,3.5715431830687264e-08,6.162975822039155e-33,0.0,1.232595164407831e-32,1.5407439555097887e-33,0.0,2.517423089686664e-34,6.473917246852491e-24,9.114111813489292e-24,5.94935737912851e-24,1.260870400445177e-16,1.30251337293459e-16,0.0,0.0,0.0,0.0,0.0,7.346839692639297e-40,0.0,1.7283915008631244e-31,1.4569460327499243e-31,1.6228686904536332e-16,6.990084324704885e-24,5.4681336001297426e-17,4.639687065717182e-24
7,1.8232601057521118e-08,1.9672363904825637e-09,1.216683522628355e-08,1.5034604089612653e-16,1.2166835212690565e-08,3.316366241658613e-08,2.859859530805299e-16,1.169406219655755e-16,3.6941002370965757e-16,3.316366241658613e-08,1.596020663166627e-08,1.596020642406614e-08,3.2200945559647756e-17,1.8232601258259224e-08,7.279064612730662e-11,2.7004235823319072e-09,7.279064612730762e-11,3.510602180497181e-17,1.216683522628355e-08,2.859859530805299e-16,3.5106021804971764e-17,1.8232601258259224e-08,1.16940622928291e-16,3.316366241658613e-08,7.279055762572824e-11,1.9672368351518794e-09,3.2200940808602595e-17,7.279064612730772e-11,1.8232601258259224e-08,2.7004235823319056e-09,0.0,3.6734198463196485e-40,1.5407439555097887e-33,4.263907507730517e-34,2.843433478910549e-25,1.6543612251060553e-24,0.0,1.232595164407831e-32,4.1359030627651384e-25,6.162975822039155e-33,6.162975822039155e-33,2.8434333556510326e-25,1.6543612251060553e-24,1.8367099231598242e-40,1.6543612251060553e-24,1.6543612251060553e-24,3.0814879110195774e-33,0.0,0.0,0.0,1.0331493317774011e-40,8.271806125530277e-25,7.931886769843877e-09,3.2888974344061187e-10,1.731160532094475e-24,1.664121373065645e-24,2.4478062504544065e-16,4.0240964395683374e-16,2.5629541496710128e-17,3.606523217773539e-24,3.6748137193568626e-24,3.9989932982230194e-25,1.0100278672892799e-16,3.669877625491544e-32,1.9635210701499315e-32,1.1488465123108253e-16,5.279085924634875e-25,1.6296676792338284e-17,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,5.551115123125783e-17,0.0,8.271806125530277e-25,4.887166343925997e-17,1.5407439555097887e-33,0.0,3.0814879110195774e-33,0.0,0.0,0.0,2.465190328815662e-32,1.5407439555097887e-33,0.0,3.288897434406135e-10,2.2320793225378628e-17,0.0,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,0.0,0.0,2.4208809590730544e-24,2.7402042458551225e-24,6.108617570205714e-17,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,3.6734198463196485e-40,3.788280635764407e-16,2.760837050151401e-16,8.757397505409983e-18,7.931886696935471e-09,0.0,0.0,0.0,9.244463733058732e-33,3.0814879110195774e-33,1.8847252398888164e-33,8.088687562977259e-25,2.398376866275946e-24,8.91109200971043e-25,1.0100278415881786e-16,3.837309743484658e-17,2.2958874039497803e-41,2.2958874039497803e-41,9.183549615799121e-41,0.0,0.0,1.8367099231598242e-40,0.0,6.2534892085318e-32,6.078930879255598e-32,1.1488465123108253e-16,1.18497729339291e-24,1.6296676792338272e-17,1.539049759476088e-24
8,2.066604092064688e-08,1.0560838805521685e-08,8.930896910997488e-09,9.906584882079489e-17,8.930896878181119e-09,3.996622273961212e-08,2.2351980071443747e-16,7.705438646770134e-17,3.4877258916536985e-16,3.996622273961212e-08,1.8090358152083006e-08,1.8090357858364656e-08,7.039013721113106e-17,2.0666041139376768e-08,8.250576014913473e-11,1.982208520960042e-09,8.250576014913484e-11,2.31320215347254e-17,8.930896910997488e-09,2.235198007144374e-16,2.3132021534725353e-17,2.0666041139376768e-08,7.705438802243362e-17,3.996622273961212e-08,8.250559306191056e-11,1.0560839550979222e-08,7.039014436085744e-17,8.250576014913494e-11,2.0666041139376768e-08,1.98220852096004e-09,3.6734198463196485e-40,1.8367099231598242e-40,1.829633447167874e-33,2.3150896551834393e-33,3.1277766727272084e-24,1.6543612251060553e-24,3.308722450212111e-24,1.232595164407831e-32,4.1359030627651384e-25,6.162975822039155e-33,6.162975822039155e-33,1.809457589959748e-25,1.6543612251060553e-24,1.8367099231598242e-40,0.0,1.6543612251060553e-24,0.0,6.162975822039155e-33,1.8367099231598242e-40,0.0,2.2958874039497803e-41,8.271806125530277e-25,4.742131956606236e-09,1.1885646522972953e-09,3.9281522402524864e-24,4.952796930137234e-24,7.939409106692831e-16,9.517787552887624e-16,3.9883997546668304e-17,8.523357850298884e-24,7.610819538200397e-24,3.550184614024671e-27,3.0472165061187616e-16,5.930766476138893e-32,2.2805173821732504e-32,3.0496284258514266e-16,1.284385904927376e-25,3.2598857000922056e-17,6.162975822039155e-33,2.311115933264683e-33,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,1.309167791764567e-16,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,1.1885646522972937e-09,1.8549577170774093e-16,6.162975822039155e-33,0.0,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.0,5.729298016441711e-24,6.920773166873586e-24,1.3334664501534522e-16,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.6543612251060553e-24,3.6734198463196485e-40,7.276251914688713e-16,4.0033366004095314e-16,2.4788819858866237e-17,4.742131658188673e-09,5.3926038442842604e-33,7.703719777548943e-34,3.0814879110195774e-33,0.0,3.0814879110195774e-33,2.3150896551834393e-33,1.6162824827604923e-24,5.548697580772747e-24,4.779875965217862e-25,3.047216474822717e-16,1.104919237642648e-16,0.0,0.0,0.0,3.6734198463196485e-40,0.0,1.8367099231598242e-40,0.0,1.019364337923701e-31,1.0853937809116662e-31,3.0496284258514266e-16,7.5125650852319985e-25,3.2598857000922056e-17,2.1882296928888364e-24
9,2.2400246767643032e-08,2.8866229807879973e-08,1.1520134754667931e-08,1.2778693286720707e-16,1.1520134721851562e-08,4.312308778468774e-08,2.1701880899871186e-16,9.939392659812944e-17,3.958107379245014e-16,4.312308778468774e-08,1.9608423529355773e-08,1.96084233722297e-08,2.5751428856816414e-16,2.2400246714941032e-08,8.942932076742683e-11,2.556888692504605e-09,8.942932076742784e-11,2.983843694868495e-17,1.1520134754667931e-08,2.1701880899871186e-16,2.9838436948684865e-17,2.2400246714941032e-08,9.939392892233037e-17,4.312308778468774e-08,8.942912252377595e-11,2.8866230615893103e-08,2.5751429631786485e-16,8.942932076742794e-11,2.2400246714941032e-08,2.5568886925046024e-09,0.0,0.0,0.0,3.253438489973892e-33,9.305781829591803e-25,1.6543612251060553e-24,0.0,6.162975822039155e-33,8.271806125530277e-25,0.0,6.162975822039155e-33,1.0339757656912846e-25,8.271806125530277e-25,0.0,0.0,2.481541837659083e-24,1.232595164407831e-32,1.232595164407831e-32,1.8367099231598242e-40,1.232595164407831e-32,8.035605913824231e-41,3.308722450212111e-24,1.1736011682499238e-08,5.848179607276016e-09,1.053443111427212e-23,1.5935631698007418e-23,1.575775494648518e-15,1.4148075381505545e-15,6.81893472490333e-17,1.348413488559019e-23,1.1047485748743163e-23,1.0884649326642169e-24,7.277586649752419e-16,1.348376925583258e-31,2.0440750424789976e-32,6.737045157019135e-16,9.529698898566551e-25,6.967053362576911e-17,0.0,4.622231866529366e-33,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,8.271806125530277e-25,2.5078514877117156e-16,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,2.465190328815662e-32,3.851859888774472e-33,0.0,5.8481796072760195e-09,5.6832954449795905e-16,1.232595164407831e-32,1.232595164407831e-32,0.0,0.0,0.0,1.232595164407831e-32,0.0,1.6998338649915918e-23,2.05811692508364e-23,3.8142915573665007e-16,2.0679515313825692e-25,2.0679515313825692e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.6543612251060553e-24,1.8367099231598242e-40,8.40937652787418e-16,1.5644635101474183e-16,6.386977486194426e-17,1.173601182098459e-08,2.311115933264683e-33,2.311115933264683e-33,1.232595164407831e-32,6.162975822039155e-33,1.232595164407831e-32,2.139165262474872e-33,2.0410414857298193e-24,9.361647583257061e-24,6.591975697063378e-25,7.277586598526783e-16,2.0237011741541695e-16,0.0,0.0,3.6734198463196485e-40,0.0,0.0,0.0,0.0,2.3643551370417763e-31,2.659649371910994e-31,6.737045157019135e-16,4.562321765784933e-25,6.967053362576911e-17,4.676440446841369e-24
