,Y5Z4,Y4Z5,Y5Z3,Y3Z5,Y4Z2,Y2Z4,Y4Z3,Y3Z4,Y2Z0,Y0Z2,Y2Z1,Y1Z2,Y5Z0,Y0Z5,Y1Z3,Y3Z1,Y4Z1,Y1Z4,Y3Z0,Y0Z3,Y5Z2,Y2Z5,Y5Z1,Y1Z5,Y3Z2,Y2Z3,Y4Z0,Y0Z4,Y1Z0,Y0Z1,Y3,X1Y5,X5Y1,Y1,X5Y3,X5Y2,X4Y2,X3Y2,X2Y4,X1Y2,X0Y4,X3Y0,X1Y3,X0Y1,Y5,X4Y1,X4Y0,X2Y5,X2Y0,X0Y5,X0Y3,X0Y2,X3Y1,X2Y1,X1Y4,standard_y,Y0,X1Y0,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y3,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8659455475743625,0.8659455475743623,0.7871742038006491,0.787174203800649,0.691880100354552,0.691880100354552,0.6748205703679084,0.6748205703679083,0.6614305484952444,0.6614305484952443,0.49403467910717525,0.49403467910717513,0.4895153390481155,0.4895153390481155,0.4797725401481432,0.4797725401481431,0.4583311147008101,0.4583311147008101,0.33455970316750006,0.33455970316750006,0.3244381436862491,0.3244381436862491,0.2645303025552477,0.2645303025552477,0.25380093529249415,0.25380093529249415,0.1979396041625205,0.19793960416252043,0.18126486333322137,0.18126486333322128,8.326672684688674e-17,6.938893903907228e-17,6.245004513516506e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00015095909299968607,0.00015095909299968607,0.0001372269932807657,0.1123536436867971,0.00012061450365628882,0.36744196159821646,0.000117640539322159,0.11235362147144418,0.6614305484952442,0.6614305484952443,0.4940346791071751,0.49403467910717525,8.533653391848116e-05,0.29157573789333374,0.4797725401481432,0.4797725401481432,7.990023109718433e-05,0.19380081616516234,0.33455970316750006,0.33455970316750006,5.6558854124914984e-05,0.3674419461550228,4.6115202805224296e-05,0.19380080518111387,0.2538009352924941,0.25380093529249415,3.45065381960694e-05,0.2915757274472949,0.18126486333322134,0.18126486333322134,0.0,3.3881317890172014e-21,5.082197683525802e-21,0.0,6.776263578034403e-21,0.0,6.776263578034403e-21,5.551115123125783e-17,6.776263578034403e-21,2.7755575615628914e-17,0.0,1.3877787807814457e-17,1.3877787807814457e-17,1.4680068824246663e-17,0.0,6.776263578034403e-21,3.3881317890172014e-21,0.0,2.7755575615628914e-17,3.3881317890172014e-21,2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.3877787807814457e-17,6.776263578034403e-21,9.713096212754513e-17,1.3877787807814457e-17,1.2323816651739322e-18,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.868549568453024e-05,1.868549568453024e-05,1.6985756470821802e-05,0.11235363358984422,1.065831805119473e-05,6.105117304341606e-05,1.4561373854005494e-05,0.11235363324947999,0.00010989793117321329,0.00010989793117321329,8.208479225100567e-05,0.3127698182759935,3.5620592009138316e-06,4.844585742554483e-05,0.47977254014814313,0.4797725401481432,9.889933714443497e-06,0.19380081220714723,0.08075877137827712,5.5587724691093465e-05,3.5620589584794746e-06,6.105117300410335e-05,5.708072338577494e-06,0.19380081203885918,0.08075876325700339,4.216950333172013e-05,1.0658317786163776e-05,4.844585739895304e-05,0.3127698089546824,3.0117498382915236e-05,0.0,1.0587911840678754e-22,2.117582368135751e-22,5.551115123125783e-17,0.0,0.0,0.0,2.0328790734103208e-20,0.0,1.0164395367051604e-20,1.0339757656912846e-25,5.082197683525802e-21,3.469446951953614e-18,5.666093117484389e-22,4.235164736271502e-22,0.0,5.169878828456423e-26,1.0339757656912846e-25,2.7755575615628914e-17,1.0339757656912846e-25,6.776263578034403e-21,0.0,0.0,3.3881317890172014e-21,4.235164736271502e-22,5.551919804425674e-17,1.6940658945086007e-21,4.897787675563701e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.2503003111368953e-05,1.2503003111368953e-05,7.546234978598679e-06,0.00027981599913973106,7.131787418718865e-06,9.1442190603864e-06,3.1258156096779736e-06,0.0002798159987601988,1.6460465982046984e-05,1.646046598204699e-05,5.978514800948135e-06,0.0007789512077937802,2.3834762985537015e-06,7.256200180855141e-06,0.0011948704149178932,0.001194870414917893,3.1257648693437295e-06,0.00048265967197963635,0.0002011291903933844,3.814933790659433e-06,2.3834762949144745e-06,9.144219057750039e-06,7.546187885311096e-06,0.00048265967179198226,0.00020112918993963637,5.978457083710246e-06,7.131787414740439e-06,7.256200179071862e-06,0.0007789512072729841,3.8148939798124486e-06,0.0,6.203854594147708e-25,1.6543612251060553e-24,0.0,1.6543612251060553e-24,0.0,6.462348535570529e-27,6.617444900424222e-24,1.2924697071141057e-26,0.0,6.462348535570529e-27,8.271806125530277e-25,0.0,7.6904174895621795e-25,8.470329472543003e-22,4.1359030627651384e-25,1.2924697071141057e-26,2.5849394142282115e-26,2.7755575615628914e-17,0.0,1.6543612251060553e-24,2.7755575615628914e-17,4.163336342344337e-17,4.1359030627651384e-25,8.271806125530277e-25,1.0587911840678754e-21,0.0,2.661099779553816e-25,0.0,0.0,1.4823076576950256e-21,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.2066381259613677e-06,1.2066381259613677e-06,7.282698771422858e-07,9.16862999508874e-09,6.882735714020484e-07,2.8387141318105916e-06,3.0166380762424736e-07,9.168629994972914e-09,5.1099560383574515e-06,5.109956038357453e-06,1.8559527869037894e-06,2.5523613495001333e-08,2.3002420674145058e-07,2.2526011090775204e-06,3.915188826563289e-08,3.915188826563289e-08,3.016638076242422e-07,1.5815135523552722e-08,6.590327690769131e-09,1.1842965134318201e-06,2.3002420670760346e-07,2.838714131802969e-06,7.28269877142281e-07,1.581513552349545e-08,6.590327689336295e-09,1.8559527869037707e-06,6.882735713650466e-07,2.2526011090723645e-06,2.5523613493356772e-08,1.184296513431807e-06,0.0,7.888609052210118e-31,4.733165431326071e-30,8.271806125530277e-25,3.1554436208840472e-30,2.0194839173657902e-28,2.0194839173657902e-28,2.524354896707238e-29,6.058451752097371e-28,5.048709793414476e-29,0.0,1.262177448353619e-29,2.7755575615628914e-17,3.817690865838583e-30,0.0,4.733165431326071e-30,1.0097419586828951e-28,0.0,0.0,4.0389678347315804e-28,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,1.5777218104420236e-30,8.213903482651565e-22,0.0,2.307728117403311e-30,0.0,0.0,7.940933880509066e-23,0.0,0.0,0.0,0.0,0.0,7.411538288475128e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,3.1554436208840472e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.56993450408832e-10,8.56993450408832e-10,5.172408375077027e-10,3.462263223443905e-09,4.88834166667863e-10,1.0910460225898295e-08,2.1425139965090522e-10,3.462263223443905e-09,1.9639868448844413e-08,1.9639868448844413e-08,7.133264612932604e-09,9.638241305349059e-09,1.6337063644851196e-10,8.657763221030598e-09,1.478455810125253e-08,1.4784558101252528e-08,2.1425139965090465e-10,5.9721203851126324e-09,2.488643254707569e-09,4.5517862685375465e-09,1.633706364485117e-10,1.0910460225898295e-08,5.172408375077022e-10,5.9721203851126324e-09,2.4886432547075606e-09,7.133264612932592e-09,4.888341666678626e-10,8.657763221030598e-09,9.638241305349049e-09,4.551786268537538e-09,0.0,7.703719777548943e-34,1.1555579666323415e-33,4.1359030627651384e-25,0.0,7.703719777548943e-34,0.0,0.0,3.851859888774472e-34,2.465190328815662e-32,1.1555579666323415e-33,1.232595164407831e-32,1.3877787807814457e-17,1.856991902688912e-32,0.0,1.1555579666323415e-33,0.0,0.0,2.7755575615628914e-17,1.5407439555097887e-33,4.930380657631324e-32,2.7755575615628914e-17,2.7755575615628914e-17,6.162975822039155e-33,7.703719777548943e-34,2.016252743098005e-24,0.0,1.5484457944963763e-32,2.737773220392581e-15,4.470200709418394e-10,5.169878828456423e-26,3.74157827080593e-26,4.4492574982624745e-26,2.8948550190636577e-24,2.300969679507657e-24,5.624787250652107e-23,1.6543612251060553e-24,3.7329008970368983e-26,3.652326232853712e-26,2.1045406735620298e-10,3.4479852046866813e-23,2.5316336502772882e-24,3.366086352488817e-24,5.076541060500093e-23,4.987746369494763e-10,5.51188853506585e-23,0.0,9.62964972193618e-35,0.0,0.0,0.0,0.0,3.851859888774472e-34,8.799374828703643e-19,0.0,9.62964972193618e-35,0.0,0.0,0.0,0.0,1.5407439555097887e-33,4.470200709418394e-10,8.719260440692838e-19,0.0,0.0,0.0,7.703719777548943e-34,9.62964972193618e-34,0.0,0.0,3.9738574708271076e-26,5.319182693764417e-26,6.5043920796760075e-18,4.930380657631324e-32,4.930380657631324e-32,0.0,9.860761315262648e-32,4.930380657631324e-32,0.0,2.52388501348837e-24,1.936875788990453e-24,5.349646472229635e-23,9.577186440455816e-16,9.62964972193618e-35,9.62964972193618e-35,0.0,3.851859888774472e-34,7.703719777548943e-34,4.9953623698294515e-26,4.769131713978346e-26,2.1045406735620298e-10,4.5037629335071224e-23,9.536795596088004e-18,0.0,0.0,0.0,9.860761315262648e-32,0.0,2.133228472649544e-24,2.708978717359947e-24,6.398021363508418e-23,4.98774636949473e-10,7.247768022734898e-23,1.765765252198175e-15
6,8.569934504088316e-10,8.569934504088317e-10,5.172408375077024e-10,3.462263225368459e-09,4.888341666678628e-10,4.968948626804643e-09,2.1425139965090522e-10,3.4622632253684583e-09,8.94458119446326e-09,8.94458119446326e-09,3.248701216006433e-09,9.638241310706621e-09,1.633706364485118e-10,3.943003299367947e-09,1.4784558109470754e-08,1.4784558109470756e-08,2.1425139965090465e-10,5.972120388432328e-09,2.488643256090916e-09,2.07301907163093e-09,1.6337063644851178e-10,4.968948626804643e-09,5.172408375077019e-10,5.972120388432328e-09,2.488643256090915e-09,3.2487012160064264e-09,4.888341666678627e-10,3.943003299367947e-09,9.638241310706621e-09,2.073019071630926e-09,0.0,3.851859888774472e-34,7.703719777548943e-34,4.1359030627651384e-25,0.0,5.7777898331617076e-34,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,1.925929944387236e-34,0.0,1.3877787807814457e-17,1.2289088141236523e-32,5.169878828456423e-26,3.851859888774472e-34,3.851859888774472e-34,0.0,2.7755575615628914e-17,7.703719777548943e-34,1.232595164407831e-32,2.7755575615628914e-17,1.3877787807814457e-17,0.0,2.311115933264683e-33,3.877409121342317e-26,0.0,1.5372374558612858e-32,2.721671879691065e-15,4.470200709418449e-10,1.2924697071141057e-26,3.741578259767382e-26,4.449257483387419e-26,2.873250687752182e-24,2.2912192370525643e-24,5.589603573173166e-23,4.1359030627651384e-25,3.7329008808001685e-26,3.65232621951687e-26,2.1045406735620492e-10,3.421589023665634e-23,2.5190042033285675e-24,3.341302236126203e-24,5.052277202211419e-23,4.987746369494821e-10,5.475545161969021e-23,0.0,0.0,2.407412430484045e-35,0.0,2.407412430484045e-35,0.0,1.925929944387236e-34,8.799374828703562e-19,9.62964972193618e-35,0.0,4.81482486096809e-35,9.62964972193618e-35,4.81482486096809e-35,0.0,0.0,4.470200709418449e-10,8.719260440692765e-19,3.851859888774472e-34,3.851859888774472e-34,0.0,7.703719777548943e-34,1.925929944387236e-34,7.703719777548943e-34,1.5407439555097887e-33,3.9738574590015173e-26,5.31918267821608e-26,6.504392083291439e-18,0.0,0.0,0.0,9.860761315262648e-32,4.930380657631324e-32,0.0,2.4935854022145535e-24,1.917416519124387e-24,5.300236238903582e-23,9.490915962785088e-16,2.8888949165808538e-34,2.8888949165808538e-34,3.851859888774472e-34,3.851859888774472e-34,3.851859888774472e-34,4.9953623545223517e-26,4.769131701560287e-26,2.1045406735620494e-10,4.464214973610001e-23,9.536795601389036e-18,0.0,0.0,0.0,0.0,0.0,2.111167050569056e-24,2.68220825884583e-24,6.36163434514718e-23,4.987746369494804e-10,7.199414990590863e-23,1.7582909592548158e-15
7,8.569934504088318e-10,8.569934504088317e-10,5.172408375077025e-10,2.0197138292810627e-09,4.888341666678628e-10,5.981675074955834e-09,2.14251399650905e-10,2.0197138292810627e-09,1.0767585339526008e-08,1.0767585339526011e-08,3.91082229849111e-09,5.622475241786549e-09,1.6337063644851186e-10,4.7466307920887164e-09,8.624582976451702e-09,8.624582976451702e-09,2.1425139965090485e-10,3.4838408732959675e-09,1.4517518955939487e-09,2.4955231864928535e-09,1.6337063644851178e-10,5.981675074955834e-09,5.172408375077023e-10,3.4838408732959675e-09,1.4517518955939479e-09,3.910822298491109e-09,4.888341666678628e-10,4.7466307920887164e-09,5.622475241786548e-09,2.4955231864928527e-09,0.0,2.8888949165808538e-34,0.0,0.0,7.703719777548943e-34,0.0,0.0,2.465190328815662e-32,7.703719777548943e-34,6.162975822039155e-33,7.703719777548943e-34,0.0,2.7755575615628914e-17,7.4447583720627935e-34,0.0,3.851859888774472e-34,1.925929944387236e-34,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,3.851859888774472e-34,6.074607623436297e-25,2.0679515313825692e-25,7.949985844046213e-34,2.648947385534274e-15,4.470200709418609e-10,1.2924697071141057e-26,3.059511976126669e-26,3.538480838213489e-26,2.8182300391682574e-24,2.2610262048385965e-24,4.35737362800361e-23,8.271806125530277e-25,3.2539229670446796e-26,3.1562160369836426e-26,2.1045406735621027e-10,3.1059832811486345e-23,2.4822620745283106e-24,3.278203141834125e-24,4.0583947958488197e-23,4.987746369495001e-10,4.2862028118280516e-23,9.62964972193618e-35,9.62964972193618e-35,0.0,0.0,2.407412430484045e-35,2.7755575615628914e-17,5.7777898331617076e-34,8.799374828703438e-19,0.0,0.0,4.81482486096809e-35,9.62964972193618e-35,0.0,0.0,7.703719777548943e-34,4.470200709418609e-10,8.719260440692607e-19,0.0,0.0,5.7777898331617076e-34,7.703719777548943e-34,3.851859888774472e-34,3.851859888774472e-34,7.703719777548943e-34,3.0343597847914014e-26,4.030219752698895e-26,5.7984684560534915e-18,0.0,0.0,0.0,9.860761315262648e-32,9.860761315262648e-32,0.0,2.422547286242111e-24,1.870923181666796e-24,3.8526633526050437e-23,9.25766162283012e-16,9.62964972193618e-35,9.62964972193618e-35,3.851859888774472e-34,3.851859888774472e-34,3.851859888774472e-34,3.816037085477925e-26,3.473001764669523e-26,2.1045406735621027e-10,2.981865451784853e-23,7.035471384391328e-18,4.930380657631324e-32,4.930380657631324e-32,0.0,4.930380657631324e-32,0.0,2.0601499291681006e-24,2.6179467851218835e-24,4.0923972959847356e-23,4.98774636949502e-10,4.9628598994345015e-23,1.7377670266186463e-15
8,8.569934504088322e-10,8.56993450408832e-10,5.172408375077026e-10,9.570806398904763e-11,4.88834166667863e-10,3.4567438045321037e-09,2.14251399650905e-10,9.570806398904763e-11,6.222468363086749e-09,6.222468363086751e-09,2.2600209107872616e-09,2.6643191348018397e-10,1.633706364485119e-10,2.7430253862585687e-09,4.086926214110812e-10,4.086926214110812e-10,2.14251399650905e-10,1.6508856868488073e-10,6.879408424369975e-11,1.4421352223046112e-09,1.633706364485119e-10,3.4567438045321037e-09,5.172408375077026e-10,1.6508856868488073e-10,6.879408424369975e-11,2.2600209107872616e-09,4.88834166667863e-10,2.7430253862585687e-09,2.6643191348018397e-10,1.4421352223046112e-09,0.0,2.407412430484045e-35,1.2037062152420224e-35,0.0,2.407412430484045e-35,3.851859888774472e-34,0.0,0.0,0.0,1.925929944387236e-34,0.0,9.62964972193618e-35,0.0,7.082353463704282e-37,0.0,1.2037062152420224e-35,9.62964972193618e-35,3.851859888774472e-34,0.0,0.0,0.0,0.0,0.0,4.81482486096809e-35,2.407412430484045e-35,6.591595506281939e-25,0.0,4.882121912552666e-35,2.669395979655522e-15,4.470200709418603e-10,3.877409121342317e-26,1.3756534614095508e-26,1.4911829770524488e-26,2.8392454454701295e-24,2.2658471155728423e-24,1.8318416530885546e-23,6.203854594147708e-25,1.6648263276397647e-26,1.5890337228549228e-26,2.104540673562098e-10,1.771005660842284e-23,2.4905869235883823e-24,3.3022185001797925e-24,1.8162092025814414e-23,4.987746369495018e-10,1.8282513458988816e-23,4.81482486096809e-35,0.0,0.0,0.0,0.0,0.0,9.62964972193618e-35,8.799374828703596e-19,4.81482486096809e-35,0.0,2.407412430484045e-35,0.0,0.0,0.0,0.0,4.470200709418603e-10,8.719260440692676e-19,9.62964972193618e-35,9.62964972193618e-35,0.0,0.0,1.925929944387236e-34,2.407412430484045e-35,2.407412430484045e-35,1.148985848993799e-26,1.4924042848643772e-26,3.0875636712096513e-18,4.930380657631324e-32,4.930380657631324e-32,0.0,0.0,2.465190328815662e-32,0.0,2.458253550009609e-24,1.892748444333732e-24,1.3645088998875142e-23,9.339951311246335e-16,0.0,0.0,4.81482486096809e-35,9.62964972193618e-35,0.0,1.4467717525837693e-26,1.134288686034984e-26,2.104540673562098e-10,7.632042910744364e-24,2.3995868197712155e-18,0.0,0.0,0.0,0.0,0.0,2.0857988127901514e-24,2.6477367537423755e-24,8.159857028341121e-24,4.987746369495008e-10,1.4165693580821052e-23,1.7426398625488095e-15
9,8.569934504088324e-10,8.569934504088324e-10,5.172408375077027e-10,1.4356351471410553e-09,4.888341666678633e-10,6.795486128134985e-09,2.142513996509052e-10,1.4356351471410553e-09,1.223252281198154e-08,1.2232522811981544e-08,4.4428923915085006e-09,3.996518196794453e-09,1.63370636448512e-10,5.3924132118218426e-09,6.130449903804386e-09,6.130449903804386e-09,2.1425139965090516e-10,2.4763530022125073e-09,1.0319214613612911e-09,2.83504085122454e-09,1.633706364485119e-10,6.795486128134985e-09,5.172408375077027e-10,2.4763530022125073e-09,1.0319214613612907e-09,4.4428923915085006e-09,4.888341666678632e-10,5.3924132118218426e-09,3.996518196794451e-09,2.835040851224539e-09,4.1359030627651384e-25,9.62964972193618e-35,1.925929944387236e-34,0.0,3.851859888774472e-34,1.1555579666323415e-33,7.703719777548943e-34,1.232595164407831e-32,7.703719777548943e-34,1.232595164407831e-32,0.0,3.0814879110195774e-33,1.3877787807814457e-17,6.142099042368551e-33,0.0,0.0,3.851859888774472e-34,7.703719777548943e-34,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,0.0,3.0814879110195774e-33,0.0,9.693522803355793e-25,2.0679515313825692e-25,3.8319705243585586e-33,2.6806464665536743e-15,4.470200709418597e-10,6.462348535570529e-26,1.403388816935948e-27,2.548582549398181e-28,2.847963388398346e-24,2.2685896983593105e-24,5.945549341976295e-25,4.1359030627651384e-25,5.287954998006925e-27,4.643795224642069e-27,2.1045406735620952e-10,8.317927492947284e-24,2.494677177311565e-24,3.312165445955767e-24,1.59789753218431e-24,4.98774636949502e-10,9.239978702606935e-26,0.0,0.0,2.407412430484045e-35,0.0,4.81482486096809e-35,0.0,1.925929944387236e-34,8.799374828703658e-19,4.81482486096809e-35,9.62964972193618e-35,4.81482486096809e-35,9.62964972193618e-35,9.62964972193618e-35,0.0,3.851859888774472e-34,4.470200709418597e-10,8.719260440692707e-19,0.0,0.0,4.81482486096809e-35,0.0,2.407412430484045e-35,0.0,3.851859888774472e-34,2.6593533133777793e-27,4.165563524030352e-27,1.1696550685773256e-18,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,0.0,0.0,2.4723214648675475e-24,1.9014045356112883e-24,5.478721671561189e-24,9.377140161948264e-16,0.0,0.0,4.81482486096809e-35,9.62964972193618e-35,4.81482486096809e-35,3.310617378004916e-27,6.444757711233975e-27,2.1045406735620955e-10,9.755187906340136e-24,1.1140736361208904e-18,0.0,0.0,0.0,4.930380657631324e-32,0.0,2.0956875189513935e-24,2.65959188965418e-24,1.7589193971459634e-23,4.987746369494999e-10,1.3342436350402005e-23,1.744739895318244e-15
