,Y4Z0,Y0Z4,Y5Z4,Y4Z5,Y5Z3,Y3Z5,Y2Z0,Y0Z2,Y5Z2,Y2Z5,Y4Z1,Y1Z4,Y4Z2,Y2Z4,Y0Z1,Y1Z0,Y3Z2,Y2Z3,Y2Z1,Y1Z2,Y3Z4,Y4Z3,Y0Z5,Y5Z0,Y3Z0,Y0Z3,Y1Z5,Y5Z1,Y3Z1,Y1Z3,standard_y,Y4,Y1,X3Y2,X0Y4,X0Y2,X1Y4,X5Y4,X5Y0,X2Y5,X2Y4,X2Y0,X1Y5,X0Y5,Y5,Y3,X5Y1,X4Y5,X4Y1,X3Y1,X2Y3,X2Y1,X1Y2,X0Y3,X0Y1,X4Y3,X1Y3,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9982826275179507,0.9982826275179505,0.9879089492200086,0.9879089492200086,0.8657723942475675,0.8657723942475675,0.8397997363118733,0.8397997363118732,0.7659427822583291,0.7659427822583291,0.7577369809057047,0.7577369809057046,0.7244493284983917,0.7244493284983917,0.7123429878269185,0.7123429878269184,0.7065646893037225,0.7065646893037225,0.6708867302659983,0.6708867302659982,0.44137775501430254,0.4413777550143025,0.19409547872374752,0.1940954787237474,0.18259188695451747,0.1825918869545174,0.15130025749194376,0.15130025749194373,0.09178661335919239,0.0917866133591923,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.003034573556524572,0.0030345735565245726,0.7938143672531837,0.0030030397113197365,0.8657723942475675,0.8657723942475677,0.11535375490304026,0.0025528182123378627,0.7659427822583291,0.765942782258329,0.0023033643395901624,0.04539728423481749,0.0022021767330251095,0.11534652778375656,0.002165375951106995,0.04539049219413185,0.7065646893037226,0.7065646893037225,0.6708867302659982,0.6708867302659982,0.2587867116679911,0.0013416974580983568,0.0005900102745857618,0.7938089061746464,0.2587838288131226,0.0005550417251733043,0.15130025749194378,0.1513002574919437,0.09178661335919233,0.0917866133591923,1.431146867680866e-17,4.336808689942018e-19,2.0816681711721685e-17,0.0,1.0408340855860843e-17,2.168404344971009e-19,1.0842021724855044e-19,4.336808689942018e-19,2.168404344971009e-19,2.7755575615628914e-17,2.168404344971009e-19,2.168404344971009e-19,8.326672684688674e-17,1.3552527156068805e-19,5.551115123125783e-17,3.469446951953614e-17,2.7755575615628914e-17,2.710505431213761e-20,1.0842021724855044e-19,1.5612511283791264e-17,4.163336342344337e-17,3.469446951953614e-18,1.3877787807814457e-17,1.6263032587282567e-19,6.437450399132683e-20,8.131516293641283e-20,6.938893903907228e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.371692252312041e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00047240078387152687,0.0004724007838715269,0.00012801417192360878,0.00025862592430982547,0.00013961860967217398,0.00013961860967217398,0.11535048892681232,0.00039740454535927187,0.00012351960752951101,0.05937810214218568,0.00035857134430786485,0.045394072836624576,0.0003428191788819721,0.11535031378488483,0.00033709029543216296,0.04539390823838695,0.00011394401140472086,0.059378082994924364,0.6708867302659984,0.6708867302659984,4.173305385542682e-05,0.0002586259155150328,5.44365567518904e-06,0.00012801415058122628,4.1733042588972606e-05,5.4436533573284304e-06,0.05951364532626818,2.439940535690794e-05,1.480194959884959e-05,0.05951364216536887,5.544847079316101e-17,5.421010862427522e-20,0.0,6.776263578034403e-21,1.0408340855860843e-17,5.421010862427522e-20,1.3552527156068805e-20,0.0,3.308722450212111e-24,6.776263578034403e-21,5.421010862427522e-20,0.0,0.0,1.6543612251060553e-24,6.776263578034403e-21,1.6940658945086007e-21,7.199780051661553e-21,4.1359030627651384e-24,2.710505431213761e-20,4.235164736271502e-22,5.082197683525802e-21,3.469446951953614e-18,1.0408340855860843e-17,4.1359030627651384e-25,8.64769342437604e-22,1.6543612251060553e-24,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,1.734723475976807e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00809016508869e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.00023105173724840075,0.00023105173724840075,1.4798176806601423e-05,0.000126494219591256,1.6139626444528815e-05,1.6139626444528815e-05,6.508912606306007e-06,2.949976550902086e-05,1.1458093162187916e-05,3.3505451855965097e-06,7.70440151125734e-06,2.5614613236936572e-06,7.704400965113562e-06,6.508910242147472e-06,2.949976493710011e-05,2.561459101859428e-06,1.146062008943199e-05,3.3505451711588695e-06,3.7856323564383096e-05,3.785632356438309e-05,4.8242555968426106e-06,0.000126494219533775,2.6624973699242324e-06,1.4798176216413517e-05,4.824255285287654e-06,2.6624973547751565e-06,3.358193965910576e-06,1.1458093134965751e-05,1.1460620065738323e-05,3.358193963527159e-06,1.9481757786848908e-20,1.3552527156068805e-20,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,5.169878828456423e-26,1.0339757656912846e-25,8.271806125530277e-25,8.271806125530277e-25,5.169878828456423e-26,2.0679515313825692e-25,0.0,8.470329472543003e-22,6.462348535570529e-27,0.0,4.1359030627651384e-25,3.2311742677852644e-27,3.2311742677852644e-26,6.938893903907228e-18,6.938893903907228e-18,2.0679515313825692e-25,1.6333832088436654e-25,2.0679515313825692e-25,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.0339757656912846e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9148465130671632e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.8512628426622235e-08,1.8512628426622235e-08,1.3661641080070265e-06,1.013513472337624e-08,1.4900064242861783e-06,1.4900064242861783e-06,9.091527628591522e-08,2.3636186387798084e-09,1.0578083993280825e-06,4.679979749289635e-08,6.173020778168632e-10,3.577800460967632e-08,6.173020778083251e-10,9.0915276285915e-08,2.3636186387708682e-09,3.577800460967611e-08,1.058041684805385e-06,4.679979749117756e-08,5.287701499704521e-07,5.287701499704521e-07,4.4537410581064927e-07,1.0135134723336988e-08,2.1332808378104352e-10,1.3661641080070265e-06,4.4537410581064916e-07,2.133280837706999e-10,4.690663432999768e-08,1.057808399327592e-06,1.0580416848049584e-06,4.690663432971395e-08,2.0327963553490655e-22,8.271806125530277e-25,9.926167350636332e-24,1.0097419586828951e-28,1.3877787807814457e-17,0.0,7.888609052210118e-31,0.0,3.944304526105059e-31,7.573064690121713e-29,0.0,7.888609052210118e-31,5.048709793414476e-29,1.5777218104420236e-30,1.0587911840678754e-22,0.0,1.262177448353619e-29,1.5777218104420236e-30,3.944304526105059e-31,9.466330862652142e-30,2.524354896707238e-29,0.0,6.938893903907228e-18,0.0,1.4564732356970792e-31,1.5777218104420236e-30,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.203854594147708e-25,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.565815676709126e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.886140090108066e-09,2.8861400901080665e-09,8.433846591747916e-09,1.5800791745856172e-09,9.19837194484677e-09,9.198371944846942e-09,2.8108561170725665e-09,3.6849086763320847e-10,6.5302504370497604e-09,1.446924020168511e-09,9.62381047912221e-11,1.106159792084787e-09,9.623810479122055e-11,2.8108561170725665e-09,3.684908676332071e-10,1.1061597920847864e-09,6.531690596337061e-09,1.4469240201685088e-09,1.634815260194162e-08,1.634815260194162e-08,2.74946242719242e-09,1.5800791745856172e-09,3.3258093920716814e-11,8.433846591747916e-09,2.74946242719242e-09,3.3258093920716704e-11,1.4502271281980938e-09,6.530250437049758e-09,6.531690596337058e-09,1.4502271281980934e-09,2.5849394142282115e-26,2.0679515313825692e-25,2.0679515313825692e-25,2.465190328815662e-32,0.0,3.0814879110195774e-33,9.244463733058732e-33,3.0814879110195774e-33,7.703719777548943e-34,1.232595164407831e-32,3.0814879110195774e-33,0.0,6.162975822039155e-33,1.5407439555097887e-33,0.0,0.0,1.0785207688568521e-32,0.0,4.622231866529366e-33,3.851859888774472e-33,1.3866695599588098e-32,1.3877787807814457e-17,2.0816681711721685e-17,3.0814879110195774e-33,7.651057630632105e-34,3.0814879110195774e-33,1.232595164407831e-32,4.726081994425829e-14,6.155001716983277e-23,5.15671624188414e-09,8.249911655476573e-23,4.735460994268592e-22,3.5008443251525104e-24,4.929446225752958e-22,0.0,2.8268760555887955e-22,3.121366719434082e-24,3.013285843420329e-22,4.6547123474590187e-10,6.142197083990317e-23,5.6221868146310456e-09,6.12593371503483e-23,3.0505981367365304e-24,3.3520080549529295e-24,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,2.6593680708391155e-14,3.0814879110195774e-33,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,3.0814879110195774e-33,0.0,7.046066337804583e-23,6.751722333102115e-17,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,0.0,0.0,1.5407439555097887e-33,7.703719777548943e-34,5.1567162418843945e-09,9.411916130913581e-23,2.014186204830559e-14,6.162975822039155e-33,0.0,6.162975822039155e-33,0.0,0.0,7.186916822209551e-22,3.843497533256617e-24,5.750626324976439e-22,2.0496666454579042e-16,3.659266894335748e-33,6.162975822039155e-33,4.8148248609680896e-33,1.5407439555097887e-33,1.8488927466117464e-32,5.849259889691703e-34,7.322590658234209e-22,3.529812926125296e-24,5.613903572721539e-22,4.6547123474590197e-10,2.0003741444703233e-16,8.06483164212155e-34,7.703719777548943e-34,1.0953726558702404e-33,0.0,0.0,9.412384730967529e-23,5.6221868146310456e-09,7.047273126370936e-23,3.1508581106509188e-24,3.4645836260879624e-24,5.275588523769933e-17
6,2.886140090108066e-09,2.8861400901080665e-09,8.433846591747916e-09,1.5800791745856172e-09,9.19837194484677e-09,9.198371944846942e-09,2.8108561170725665e-09,3.6849086763320847e-10,6.5302504370497604e-09,1.446924020168511e-09,9.62381047912221e-11,1.106159792084787e-09,9.623810479122055e-11,2.8108561170725665e-09,3.684908676332071e-10,1.1061597920847864e-09,6.531690596337061e-09,1.4469240201685088e-09,1.634815260194162e-08,1.634815260194162e-08,2.74946242719242e-09,1.5800791745856172e-09,3.3258093920716814e-11,8.433846591747916e-09,2.74946242719242e-09,3.3258093920716704e-11,1.4502271281980938e-09,6.530250437049758e-09,6.531690596337058e-09,1.4502271281980934e-09,2.5849394142282115e-26,2.0679515313825692e-25,2.0679515313825692e-25,2.465190328815662e-32,0.0,3.0814879110195774e-33,9.244463733058732e-33,3.0814879110195774e-33,7.703719777548943e-34,1.232595164407831e-32,3.0814879110195774e-33,0.0,6.162975822039155e-33,1.5407439555097887e-33,0.0,0.0,1.0785207688568521e-32,0.0,4.622231866529366e-33,3.851859888774472e-33,1.3866695599588098e-32,1.3877787807814457e-17,2.0816681711721685e-17,3.0814879110195774e-33,7.651057630632105e-34,3.0814879110195774e-33,1.232595164407831e-32,4.726081994425829e-14,6.155001716983277e-23,5.15671624188414e-09,8.249911655476573e-23,4.735460994268592e-22,3.5008443251525104e-24,4.929446225752958e-22,0.0,2.8268760555887955e-22,3.121366719434082e-24,3.013285843420329e-22,4.6547123474590187e-10,6.142197083990317e-23,5.6221868146310456e-09,6.12593371503483e-23,3.0505981367365304e-24,3.3520080549529295e-24,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,2.6593680708391155e-14,3.0814879110195774e-33,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,3.0814879110195774e-33,0.0,7.046066337804583e-23,6.751722333102115e-17,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,0.0,0.0,1.5407439555097887e-33,7.703719777548943e-34,5.1567162418843945e-09,9.411916130913581e-23,2.014186204830559e-14,6.162975822039155e-33,0.0,6.162975822039155e-33,0.0,0.0,7.186916822209551e-22,3.843497533256617e-24,5.750626324976439e-22,2.0496666454579042e-16,3.659266894335748e-33,6.162975822039155e-33,4.8148248609680896e-33,1.5407439555097887e-33,1.8488927466117464e-32,5.849259889691703e-34,7.322590658234209e-22,3.529812926125296e-24,5.613903572721539e-22,4.6547123474590197e-10,2.0003741444703233e-16,8.06483164212155e-34,7.703719777548943e-34,1.0953726558702404e-33,0.0,0.0,9.412384730967529e-23,5.6221868146310456e-09,7.047273126370936e-23,3.1508581106509188e-24,3.4645836260879624e-24,5.275588523769933e-17
7,2.886140090108066e-09,2.8861400901080665e-09,8.433846591747916e-09,1.5800791745856172e-09,9.19837194484677e-09,9.198371944846942e-09,2.8108561170725665e-09,3.6849086763320847e-10,6.5302504370497604e-09,1.446924020168511e-09,9.62381047912221e-11,1.106159792084787e-09,9.623810479122055e-11,2.8108561170725665e-09,3.684908676332071e-10,1.1061597920847864e-09,6.531690596337061e-09,1.4469240201685088e-09,1.634815260194162e-08,1.634815260194162e-08,2.74946242719242e-09,1.5800791745856172e-09,3.3258093920716814e-11,8.433846591747916e-09,2.74946242719242e-09,3.3258093920716704e-11,1.4502271281980938e-09,6.530250437049758e-09,6.531690596337058e-09,1.4502271281980934e-09,2.5849394142282115e-26,2.0679515313825692e-25,2.0679515313825692e-25,2.465190328815662e-32,0.0,3.0814879110195774e-33,9.244463733058732e-33,3.0814879110195774e-33,7.703719777548943e-34,1.232595164407831e-32,3.0814879110195774e-33,0.0,6.162975822039155e-33,1.5407439555097887e-33,0.0,0.0,1.0785207688568521e-32,0.0,4.622231866529366e-33,3.851859888774472e-33,1.3866695599588098e-32,1.3877787807814457e-17,2.0816681711721685e-17,3.0814879110195774e-33,7.651057630632105e-34,3.0814879110195774e-33,1.232595164407831e-32,4.726081994425829e-14,6.155001716983277e-23,5.15671624188414e-09,8.249911655476573e-23,4.735460994268592e-22,3.5008443251525104e-24,4.929446225752958e-22,0.0,2.8268760555887955e-22,3.121366719434082e-24,3.013285843420329e-22,4.6547123474590187e-10,6.142197083990317e-23,5.6221868146310456e-09,6.12593371503483e-23,3.0505981367365304e-24,3.3520080549529295e-24,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,2.6593680708391155e-14,3.0814879110195774e-33,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,3.0814879110195774e-33,0.0,7.046066337804583e-23,6.751722333102115e-17,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,0.0,0.0,1.5407439555097887e-33,7.703719777548943e-34,5.1567162418843945e-09,9.411916130913581e-23,2.014186204830559e-14,6.162975822039155e-33,0.0,6.162975822039155e-33,0.0,0.0,7.186916822209551e-22,3.843497533256617e-24,5.750626324976439e-22,2.0496666454579042e-16,3.659266894335748e-33,6.162975822039155e-33,4.8148248609680896e-33,1.5407439555097887e-33,1.8488927466117464e-32,5.849259889691703e-34,7.322590658234209e-22,3.529812926125296e-24,5.613903572721539e-22,4.6547123474590197e-10,2.0003741444703233e-16,8.06483164212155e-34,7.703719777548943e-34,1.0953726558702404e-33,0.0,0.0,9.412384730967529e-23,5.6221868146310456e-09,7.047273126370936e-23,3.1508581106509188e-24,3.4645836260879624e-24,5.275588523769933e-17
8,1.1989430406730372e-08,1.1989430406730379e-08,1.5223638478226952e-08,6.563870328314139e-09,1.660365617909481e-08,1.6603656179094645e-08,3.2051364686788236e-09,1.5307627055756078e-09,1.1787524321725627e-08,1.6498848575996838e-09,3.997865744024845e-10,1.2613214416288122e-09,3.997865744024779e-10,3.205136468678821e-09,1.5307627055756008e-09,1.2613214416288085e-09,1.1790123902367708e-08,1.6498848575996768e-09,1.8641317064133768e-08,1.8641317064133768e-08,4.962957476840797e-09,6.563870328314136e-09,1.3815878303675972e-10,1.5223638478226952e-08,4.962957476840797e-09,1.3815878303675814e-10,1.6536512944305453e-09,1.178752432172562e-08,1.1790123902367702e-08,1.6536512944305441e-09,3.412120026781239e-24,1.2407709188295415e-24,3.101927297073854e-25,4.930380657631324e-32,1.3877787807814457e-17,0.0,1.232595164407831e-32,1.232595164407831e-32,3.0814879110195774e-33,0.0,2.465190328815662e-32,4.930380657631324e-32,1.232595164407831e-32,2.465190328815662e-32,0.0,8.271806125530277e-25,4.622231866529366e-33,0.0,0.0,1.5407439555097887e-33,1.232595164407831e-32,6.938893903907228e-18,6.938893903907228e-18,0.0,1.8048070064785073e-33,0.0,1.8488927466117464e-32,1.5517447412293923e-14,9.035173548768362e-23,8.355860177734542e-09,1.1695347579560687e-22,1.9661018445608568e-23,5.506608156836986e-24,1.3603553400481547e-23,1.6543612251060553e-24,9.634710105704195e-23,2.854775056019381e-24,8.760007464135308e-23,7.542421129751227e-10,7.998952160656731e-23,9.11010121801682e-09,8.788201149942451e-23,3.013548770776079e-24,4.3288203877993616e-24,0.0,7.888609052210118e-31,3.944304526105059e-31,7.888609052210118e-31,7.888609052210118e-31,7.888609052210118e-31,2.7755575615628914e-17,2.465190328815662e-32,9.162934037878426e-15,2.465190328815662e-32,1.232595164407831e-32,0.0,4.930380657631324e-32,2.465190328815662e-32,0.0,0.0,9.516742611020663e-23,4.544788183665993e-16,3.944304526105059e-31,0.0,3.944304526105059e-31,0.0,0.0,0.0,1.232595164407831e-32,0.0,8.35586017773438e-09,1.2723277922780483e-22,7.026528270886804e-15,2.311115933264683e-33,3.0814879110195774e-33,7.703719777548943e-34,6.162975822039155e-33,0.0,1.675196167486574e-22,9.883674186241914e-24,1.1356209406694052e-22,6.905682933730713e-17,7.703719777548943e-34,9.244463733058732e-33,0.0,3.0814879110195774e-33,0.0,4.1279600018956106e-33,1.7292508466616057e-22,8.947962047626925e-24,1.0813634751607883e-22,7.542421129751227e-10,6.852288674816037e-17,1.1748172660762139e-32,1.232595164407831e-32,3.0814879110195774e-33,4.930380657631324e-32,4.930380657631324e-32,1.2712635528450713e-22,9.11010121801682e-09,9.507031552922184e-23,6.039576226827757e-24,6.975414305413507e-24,3.5511579419017537e-16
9,1.1989430406716843e-08,1.198943040671685e-08,1.522364098413353e-08,6.563870328306732e-09,1.6603658912160978e-08,1.6603658912160812e-08,3.205136660102946e-09,1.5307627055738805e-09,1.1787526262026255e-08,1.6498849561376926e-09,3.997865744020337e-10,1.2613215169601914e-09,3.997865744020275e-10,3.205136660102946e-09,1.5307627055738737e-09,1.2613215169601883e-09,1.1790125843096208e-08,1.649884956137685e-09,1.8641318177471005e-08,1.8641318177471e-08,4.962958293774792e-09,6.563870328306728e-09,1.381587830366036e-10,1.5223640984133527e-08,4.96295829377479e-09,1.3815878303660305e-10,1.653651393193501e-09,1.1787526262026245e-08,1.1790125843096203e-08,1.6536513931934999e-09,5.01478246360273e-24,2.0679515313825692e-24,3.618915179919496e-25,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,4.930380657631324e-32,2.465190328815662e-32,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,5.3926038442842604e-33,1.232595164407831e-32,0.0,0.0,0.0,2.28553717619079e-33,0.0,1.8488927466117464e-32,1.5517447302873115e-14,9.035142734585244e-23,8.35585994155965e-09,1.169529114282984e-22,1.966100837187519e-23,5.507319322772407e-24,1.3603542958566266e-23,3.308722450212111e-24,9.634709428044057e-23,2.8554089502263936e-24,8.760006738767636e-23,7.542420916567854e-10,7.998884308553943e-23,9.110100960523619e-09,8.788163031074467e-23,3.014168285055323e-24,4.329501203745028e-24,0.0,7.888609052210118e-31,3.944304526105059e-31,7.888609052210118e-31,7.888609052210118e-31,1.1832913578315177e-30,2.7755575615628914e-17,2.465190328815662e-32,9.16293392357013e-15,1.232595164407831e-32,1.232595164407831e-32,4.930380657631324e-32,4.930380657631324e-32,1.232595164407831e-32,0.0,0.0,9.516677197646506e-23,4.544788055204327e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,6.162975822039155e-33,8.355859941559488e-09,1.2723190950749985e-22,7.02652819475812e-15,0.0,3.0814879110195774e-33,0.0,0.0,6.162975822039155e-33,1.6751963514511742e-22,9.884455296233226e-24,1.135621091277663e-22,6.905685808967915e-17,1.5407439555097887e-33,6.162975822039155e-33,7.703719777548943e-34,3.0814879110195774e-33,6.162975822039155e-33,4.018497967947039e-33,1.7292510355986552e-22,8.948679390986029e-24,1.081363620458746e-22,7.542420916567852e-10,6.85229161281943e-17,5.7777898331617076e-34,1.8488927466117464e-32,3.0814879110195774e-33,0.0,2.465190328815662e-32,1.2712548140897816e-22,9.110100960523619e-09,9.506965714776844e-23,6.040216380765425e-24,6.976118234298537e-24,3.5511578415257525e-16
