,Y4Z1,Y1Z4,Y5Z1,Y1Z5,Y3Z0,Y0Z3,Y5Z2,Y2Z5,Y0Z2,Y2Z0,Y3Z2,Y2Z3,Y4Z2,Y2Z4,Y1Z0,Y0Z1,Y5Z3,Y3Z5,Y1Z2,Y2Z1,Y3Z1,Y1Z3,Y4Z5,Y5Z4,Y4Z3,Y3Z4,Y4Z0,Y0Z4,Y5Z0,Y0Z5,Y4,X2Y4,X1Y0,X4Y1,X2Y1,standard_y,Y2,X5Y0,X4Y3,X4Y0,X2Y5,X0Y5,X0Y3,X0Y2,Y3,Y0,X5Y3,X5Y2,X5Y1,X4Y2,X3Y2,X3Y1,X2Y3,X1Y2,X0Y1,X1Y4,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8103480522350838,0.8103480522350838,0.6905926530386846,0.6905926530386846,0.6664104711248382,0.666410471124838,0.6613210858720011,0.661321085872001,0.6574725026572554,0.6574725026572552,0.6014570387277332,0.6014570387277332,0.5581900477533481,0.5581900477533479,0.4745706786885481,0.4745706786885481,0.4400547919247698,0.4400547919247698,0.3747544920633644,0.37475449206336436,0.2740481394783314,0.2740481394783314,0.1622673223888887,0.16226732238888864,0.14530279471010304,0.14530279471010304,0.14260035292536782,0.1426003529253678,0.010860443090067978,0.01086044309006793,1.1102230246251565e-16,1.1102230246251565e-16,7.632783294297951e-17,6.938893903907228e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4.15712608721529e-06,4.15712608721529e-06,0.5283253306519311,3.5427748924279314e-06,0.666410471124838,0.6664104711248381,0.6613210858720009,0.6613210858720011,0.6574725026572553,0.6574725026572554,0.6014570387277332,0.6014570387277332,2.8635428970787714e-06,0.18343555569491482,2.434571346425968e-06,0.3319703257650567,0.4400547919247698,0.44005479192476976,1.922509310611358e-06,0.18343555568263853,0.12874534477014035,1.4058806788464842e-06,8.324394896055474e-07,0.5283253306407086,7.45410613092241e-07,0.12874534476462227,7.315469514082071e-07,0.3319703257569355,0.01086044309006795,0.010860443090067947,0.0,0.0,1.1911400820763599e-22,2.7755575615628914e-17,0.0,2.0816671123809844e-16,9.71445146547012e-17,0.0,0.0,2.117582368135751e-22,0.0,5.551115123125783e-17,0.0,1.3877787807814457e-17,8.326672684688674e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.0587911840678754e-22,0.0,2.7755575615628914e-17,2.117582368135751e-22,5.551115123125783e-17,4.235164736271502e-22,1.0587911840678754e-22,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3896634290890865e-22,5.293955920339377e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.420297073097121e-07,2.4202970730971204e-07,0.5283253306498032,2.0626191082236543e-07,6.62408997369345e-05,6.62408997369345e-05,0.6613210858720011,0.6613210858720011,6.535246970954657e-05,0.0560154669008012,5.9784557903463535e-05,0.05601546068151922,1.6671672561970278e-07,0.18343555569000036,5.989082304554968e-08,3.299770039237177e-05,0.429194348888354,4.3741247494872686e-05,1.1192933675465063e-07,0.18343555568995873,1.2797229101149762e-05,5.989082194097105e-08,4.846499283288221e-08,0.5283253306497653,8.071486849119225e-10,1.2797229101147929e-05,8.071482601140204e-10,3.299770039236903e-05,0.42919434666077183,1.0795231362640296e-06,5.293955920339377e-23,0.0,1.0097419586828951e-28,6.938893903907228e-18,3.308722450212111e-24,1.6245827230541464e-21,0.0,0.0,1.6155871338926322e-27,1.6155871338926322e-27,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,2.7755575615628914e-17,3.308722450212111e-24,6.617444900424222e-24,0.0,8.077935669463161e-28,5.082197683525802e-21,8.271806125530277e-25,9.087677628146056e-28,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9852334701272664e-23,2.4233807008389483e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9.800094650688495e-09,9.800094650688497e-09,8.866583840705329e-05,3.819647514472457e-09,7.344101603116854e-08,7.344101603116854e-08,0.00011098576035145948,0.00011098576035145947,7.125915438228026e-08,9.40075704294338e-06,1.7787153659267466e-08,9.40075704294209e-06,4.788165029363354e-09,3.0784947068337947e-05,2.4250565648135152e-09,3.6584416170854015e-08,7.202924897088282e-05,1.7787152042897164e-08,3.819647333033887e-09,3.078494706833793e-05,1.418823583774474e-08,2.4250565648134602e-09,4.788164906662734e-09,8.866583840705327e-05,3.268248156497838e-11,1.418823583774474e-08,3.268248156495729e-11,3.6584416170854015e-08,7.202924897088236e-05,7.12591533450635e-08,8.271806125530277e-25,1.0097419586828951e-28,3.340815519730207e-32,1.3877787807814457e-17,1.262177448353619e-28,6.773575241043605e-21,0.0,8.077935669463161e-28,0.0,0.0,1.1102230246251565e-16,8.077935669463161e-28,1.3877787807814457e-17,4.0389678347315804e-28,1.6543612251060553e-24,0.0,1.2116903504194741e-27,5.551115123125783e-17,2.524354896707238e-29,0.0,0.0,2.465190328815662e-32,4.0389678347315804e-28,0.0,1.2052321538461836e-33,1.3877787807814457e-17,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.860761315262648e-32,0.0,0.0,0.0,0.0,0.0,0.0
4,9.800094650688495e-09,9.800094650688495e-09,1.9323198914429578e-09,3.819647450648266e-09,4.3408169309996276e-08,4.3408169309996276e-08,2.41874431288281e-09,2.41874431288281e-09,4.211855451821054e-08,2.0487337801179778e-10,1.0513304276883694e-08,2.048733780117879e-10,4.788165001727713e-09,6.709051270013808e-10,2.425056564813502e-09,2.162364598248231e-08,1.5697539554429133e-09,1.0513304276883694e-08,3.819647450648266e-09,6.709051270013806e-10,8.386122316085568e-09,2.4250565648134826e-09,4.788165001727713e-09,1.9323198914429578e-09,3.268248156497135e-11,8.386122316085568e-09,3.268248156496391e-11,2.162364598248231e-08,1.5697539554429097e-09,4.211855451821054e-08,0.0,0.0,6.648940706867939e-33,0.0,1.1555579666323415e-33,1.4475660719677984e-24,1.0339757656912846e-25,1.232595164407831e-32,1.232595164407831e-32,2.465190328815662e-32,1.1102230246251565e-16,0.0,0.0,6.162975822039155e-33,1.6543612251060553e-24,0.0,1.232595164407831e-32,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,1.5407439555097887e-33,6.870367016528899e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101927297073854e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.5526620713674418e-08,2.5526620713674425e-08,8.183662298072337e-09,9.949158167140938e-09,1.2172905218614067e-08,1.2172905218614046e-08,1.0243742110033967e-08,1.0243742110034893e-08,1.181125995970387e-08,8.676692440549064e-10,2.9482343653567417e-09,8.676692440549035e-10,1.247188688172584e-08,2.841383053465223e-09,6.316622578216769e-09,6.063895280766996e-09,6.648141603946805e-09,2.948234365356739e-09,9.949158167140934e-09,2.8413830534652164e-09,2.351711065638175e-09,6.316622578216766e-09,1.247188688172584e-08,8.183662298072332e-09,8.512910748592273e-11,2.3517110656381695e-09,8.512910748592108e-11,6.0638952807669914e-09,6.6481416039468045e-09,1.1811259959703868e-08,0.0,0.0,2.8704487929048116e-33,2.7755575615628914e-17,6.162975822039155e-33,4.1359030627651384e-25,4.1359030627651384e-25,0.0,1.232595164407831e-32,4.930380657631324e-32,0.0,0.0,0.0,3.0814879110195774e-33,4.1359030627651384e-25,8.271806125530277e-25,6.162975822039155e-33,0.0,6.162975822039155e-33,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,8.474091755303838e-33,3.054384317367477e-35,0.0,1.433115346161817e-12,8.271806125530277e-25,5.93308848371788e-20,5.995131020835768e-20,2.78651461569841e-23,3.1952068327377985e-08,4.440769121807924e-20,5.64375774192461e-20,5.460381529476297e-20,2.3592866137352783e-08,2.961645068926125e-23,6.651739357480094e-20,4.1359030627651384e-25,5.994729667750057e-20,4.5560102504814643e-23,1.1916010413703675e-08,4.582182964689552e-20,1.2779317729333006e-23,5.048709793414476e-29,1.262177448353619e-29,0.0,0.0,1.262177448353619e-29,0.0,5.722179514468774e-13,0.0,0.0,9.860761315262648e-32,0.0,0.0,0.0,5.602676685947794e-20,1.1033570958776221e-15,3.697785493223493e-32,1.4791141972893971e-31,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,2.465190328815662e-32,0.0,1.3877787807814457e-17,3.265840222208106e-20,4.480969195053642e-23,6.733639830159758e-16,2.524354896707238e-29,0.0,7.573064690121713e-29,0.0,2.524354896707238e-29,0.0,3.195206832737562e-08,3.824296641020773e-20,5.510434718194057e-20,8.569223590791733e-13,2.465190328815662e-32,2.465190328815662e-32,9.860761315262648e-32,0.0,4.930380657631324e-32,0.0,1.232595164407831e-32,3.670079037157162e-20,2.3592866137352783e-08,4.8176701892834195e-23,5.75706322564251e-20,1.0805702950212646e-15,2.465190328815662e-32,0.0,9.860761315262648e-32,2.465190328815662e-32,1.9721522630525295e-31,0.0,5.079996318365972e-20,6.07755516849768e-23,1.1916010413703682e-08,3.696555150928167e-20,5.458390010612513e-23,1.1177442618515837e-15
6,2.5526620713674418e-08,2.5526620713674425e-08,8.183662298072337e-09,9.949158167140938e-09,1.2172905218614067e-08,1.2172905218614046e-08,1.0243742110033967e-08,1.0243742110034893e-08,1.181125995970387e-08,8.676692440549064e-10,2.9482343653567417e-09,8.676692440549035e-10,1.247188688172584e-08,2.841383053465223e-09,6.316622578216769e-09,6.063895280766996e-09,6.648141603946805e-09,2.948234365356739e-09,9.949158167140934e-09,2.8413830534652164e-09,2.351711065638175e-09,6.316622578216766e-09,1.247188688172584e-08,8.183662298072332e-09,8.512910748592273e-11,2.3517110656381695e-09,8.512910748592108e-11,6.0638952807669914e-09,6.6481416039468045e-09,1.1811259959703868e-08,0.0,0.0,2.8704487929048116e-33,2.7755575615628914e-17,6.162975822039155e-33,4.1359030627651384e-25,4.1359030627651384e-25,0.0,1.232595164407831e-32,4.930380657631324e-32,0.0,0.0,0.0,3.0814879110195774e-33,4.1359030627651384e-25,8.271806125530277e-25,6.162975822039155e-33,0.0,6.162975822039155e-33,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,8.474091755303838e-33,3.054384317367477e-35,0.0,1.433115346161817e-12,8.271806125530277e-25,5.93308848371788e-20,5.995131020835768e-20,2.78651461569841e-23,3.1952068327377985e-08,4.440769121807924e-20,5.64375774192461e-20,5.460381529476297e-20,2.3592866137352783e-08,2.961645068926125e-23,6.651739357480094e-20,4.1359030627651384e-25,5.994729667750057e-20,4.5560102504814643e-23,1.1916010413703675e-08,4.582182964689552e-20,1.2779317729333006e-23,5.048709793414476e-29,1.262177448353619e-29,0.0,0.0,1.262177448353619e-29,0.0,5.722179514468774e-13,0.0,0.0,9.860761315262648e-32,0.0,0.0,0.0,5.602676685947794e-20,1.1033570958776221e-15,3.697785493223493e-32,1.4791141972893971e-31,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,2.465190328815662e-32,0.0,1.3877787807814457e-17,3.265840222208106e-20,4.480969195053642e-23,6.733639830159758e-16,2.524354896707238e-29,0.0,7.573064690121713e-29,0.0,2.524354896707238e-29,0.0,3.195206832737562e-08,3.824296641020773e-20,5.510434718194057e-20,8.569223590791733e-13,2.465190328815662e-32,2.465190328815662e-32,9.860761315262648e-32,0.0,4.930380657631324e-32,0.0,1.232595164407831e-32,3.670079037157162e-20,2.3592866137352783e-08,4.8176701892834195e-23,5.75706322564251e-20,1.0805702950212646e-15,2.465190328815662e-32,0.0,9.860761315262648e-32,2.465190328815662e-32,1.9721522630525295e-31,0.0,5.079996318365972e-20,6.07755516849768e-23,1.1916010413703682e-08,3.696555150928167e-20,5.458390010612513e-23,1.1177442618515837e-15
7,2.5526620713674418e-08,2.5526620713674425e-08,8.183662298072337e-09,9.949158167140938e-09,1.2172905218614067e-08,1.2172905218614046e-08,1.0243742110033967e-08,1.0243742110034893e-08,1.181125995970387e-08,8.676692440549064e-10,2.9482343653567417e-09,8.676692440549035e-10,1.247188688172584e-08,2.841383053465223e-09,6.316622578216769e-09,6.063895280766996e-09,6.648141603946805e-09,2.948234365356739e-09,9.949158167140934e-09,2.8413830534652164e-09,2.351711065638175e-09,6.316622578216766e-09,1.247188688172584e-08,8.183662298072332e-09,8.512910748592273e-11,2.3517110656381695e-09,8.512910748592108e-11,6.0638952807669914e-09,6.6481416039468045e-09,1.1811259959703868e-08,0.0,0.0,2.8704487929048116e-33,2.7755575615628914e-17,6.162975822039155e-33,4.1359030627651384e-25,4.1359030627651384e-25,0.0,1.232595164407831e-32,4.930380657631324e-32,0.0,0.0,0.0,3.0814879110195774e-33,4.1359030627651384e-25,8.271806125530277e-25,6.162975822039155e-33,0.0,6.162975822039155e-33,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,8.474091755303838e-33,3.054384317367477e-35,0.0,1.433115346161817e-12,8.271806125530277e-25,5.93308848371788e-20,5.995131020835768e-20,2.78651461569841e-23,3.1952068327377985e-08,4.440769121807924e-20,5.64375774192461e-20,5.460381529476297e-20,2.3592866137352783e-08,2.961645068926125e-23,6.651739357480094e-20,4.1359030627651384e-25,5.994729667750057e-20,4.5560102504814643e-23,1.1916010413703675e-08,4.582182964689552e-20,1.2779317729333006e-23,5.048709793414476e-29,1.262177448353619e-29,0.0,0.0,1.262177448353619e-29,0.0,5.722179514468774e-13,0.0,0.0,9.860761315262648e-32,0.0,0.0,0.0,5.602676685947794e-20,1.1033570958776221e-15,3.697785493223493e-32,1.4791141972893971e-31,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,2.465190328815662e-32,0.0,1.3877787807814457e-17,3.265840222208106e-20,4.480969195053642e-23,6.733639830159758e-16,2.524354896707238e-29,0.0,7.573064690121713e-29,0.0,2.524354896707238e-29,0.0,3.195206832737562e-08,3.824296641020773e-20,5.510434718194057e-20,8.569223590791733e-13,2.465190328815662e-32,2.465190328815662e-32,9.860761315262648e-32,0.0,4.930380657631324e-32,0.0,1.232595164407831e-32,3.670079037157162e-20,2.3592866137352783e-08,4.8176701892834195e-23,5.75706322564251e-20,1.0805702950212646e-15,2.465190328815662e-32,0.0,9.860761315262648e-32,2.465190328815662e-32,1.9721522630525295e-31,0.0,5.079996318365972e-20,6.07755516849768e-23,1.1916010413703682e-08,3.696555150928167e-20,5.458390010612513e-23,1.1177442618515837e-15
8,2.5526620713674418e-08,2.5526620713674425e-08,8.183662298072337e-09,9.949158167140938e-09,1.2172905218614067e-08,1.2172905218614046e-08,1.0243742110033967e-08,1.0243742110034893e-08,1.181125995970387e-08,8.676692440549064e-10,2.9482343653567417e-09,8.676692440549035e-10,1.247188688172584e-08,2.841383053465223e-09,6.316622578216769e-09,6.063895280766996e-09,6.648141603946805e-09,2.948234365356739e-09,9.949158167140934e-09,2.8413830534652164e-09,2.351711065638175e-09,6.316622578216766e-09,1.247188688172584e-08,8.183662298072332e-09,8.512910748592273e-11,2.3517110656381695e-09,8.512910748592108e-11,6.0638952807669914e-09,6.6481416039468045e-09,1.1811259959703868e-08,0.0,0.0,2.8704487929048116e-33,2.7755575615628914e-17,6.162975822039155e-33,4.1359030627651384e-25,4.1359030627651384e-25,0.0,1.232595164407831e-32,4.930380657631324e-32,0.0,0.0,0.0,3.0814879110195774e-33,4.1359030627651384e-25,8.271806125530277e-25,6.162975822039155e-33,0.0,6.162975822039155e-33,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,8.474091755303838e-33,3.054384317367477e-35,0.0,1.433115346161817e-12,8.271806125530277e-25,5.93308848371788e-20,5.995131020835768e-20,2.78651461569841e-23,3.1952068327377985e-08,4.440769121807924e-20,5.64375774192461e-20,5.460381529476297e-20,2.3592866137352783e-08,2.961645068926125e-23,6.651739357480094e-20,4.1359030627651384e-25,5.994729667750057e-20,4.5560102504814643e-23,1.1916010413703675e-08,4.582182964689552e-20,1.2779317729333006e-23,5.048709793414476e-29,1.262177448353619e-29,0.0,0.0,1.262177448353619e-29,0.0,5.722179514468774e-13,0.0,0.0,9.860761315262648e-32,0.0,0.0,0.0,5.602676685947794e-20,1.1033570958776221e-15,3.697785493223493e-32,1.4791141972893971e-31,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,2.465190328815662e-32,0.0,1.3877787807814457e-17,3.265840222208106e-20,4.480969195053642e-23,6.733639830159758e-16,2.524354896707238e-29,0.0,7.573064690121713e-29,0.0,2.524354896707238e-29,0.0,3.195206832737562e-08,3.824296641020773e-20,5.510434718194057e-20,8.569223590791733e-13,2.465190328815662e-32,2.465190328815662e-32,9.860761315262648e-32,0.0,4.930380657631324e-32,0.0,1.232595164407831e-32,3.670079037157162e-20,2.3592866137352783e-08,4.8176701892834195e-23,5.75706322564251e-20,1.0805702950212646e-15,2.465190328815662e-32,0.0,9.860761315262648e-32,2.465190328815662e-32,1.9721522630525295e-31,0.0,5.079996318365972e-20,6.07755516849768e-23,1.1916010413703682e-08,3.696555150928167e-20,5.458390010612513e-23,1.1177442618515837e-15
9,2.5526620713674418e-08,2.5526620713674425e-08,8.183662298072337e-09,9.949158167140938e-09,1.2172905218614067e-08,1.2172905218614046e-08,1.0243742110033967e-08,1.0243742110034893e-08,1.181125995970387e-08,8.676692440549064e-10,2.9482343653567417e-09,8.676692440549035e-10,1.247188688172584e-08,2.841383053465223e-09,6.316622578216769e-09,6.063895280766996e-09,6.648141603946805e-09,2.948234365356739e-09,9.949158167140934e-09,2.8413830534652164e-09,2.351711065638175e-09,6.316622578216766e-09,1.247188688172584e-08,8.183662298072332e-09,8.512910748592273e-11,2.3517110656381695e-09,8.512910748592108e-11,6.0638952807669914e-09,6.6481416039468045e-09,1.1811259959703868e-08,0.0,0.0,2.8704487929048116e-33,2.7755575615628914e-17,6.162975822039155e-33,4.1359030627651384e-25,4.1359030627651384e-25,0.0,1.232595164407831e-32,4.930380657631324e-32,0.0,0.0,0.0,3.0814879110195774e-33,4.1359030627651384e-25,8.271806125530277e-25,6.162975822039155e-33,0.0,6.162975822039155e-33,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,8.474091755303838e-33,3.054384317367477e-35,0.0,1.433115346161817e-12,8.271806125530277e-25,5.93308848371788e-20,5.995131020835768e-20,2.78651461569841e-23,3.1952068327377985e-08,4.440769121807924e-20,5.64375774192461e-20,5.460381529476297e-20,2.3592866137352783e-08,2.961645068926125e-23,6.651739357480094e-20,4.1359030627651384e-25,5.994729667750057e-20,4.5560102504814643e-23,1.1916010413703675e-08,4.582182964689552e-20,1.2779317729333006e-23,5.048709793414476e-29,1.262177448353619e-29,0.0,0.0,1.262177448353619e-29,0.0,5.722179514468774e-13,0.0,0.0,9.860761315262648e-32,0.0,0.0,0.0,5.602676685947794e-20,1.1033570958776221e-15,3.697785493223493e-32,1.4791141972893971e-31,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,2.465190328815662e-32,0.0,1.3877787807814457e-17,3.265840222208106e-20,4.480969195053642e-23,6.733639830159758e-16,2.524354896707238e-29,0.0,7.573064690121713e-29,0.0,2.524354896707238e-29,0.0,3.195206832737562e-08,3.824296641020773e-20,5.510434718194057e-20,8.569223590791733e-13,2.465190328815662e-32,2.465190328815662e-32,9.860761315262648e-32,0.0,4.930380657631324e-32,0.0,1.232595164407831e-32,3.670079037157162e-20,2.3592866137352783e-08,4.8176701892834195e-23,5.75706322564251e-20,1.0805702950212646e-15,2.465190328815662e-32,0.0,9.860761315262648e-32,2.465190328815662e-32,1.9721522630525295e-31,0.0,5.079996318365972e-20,6.07755516849768e-23,1.1916010413703682e-08,3.696555150928167e-20,5.458390010612513e-23,1.1177442618515837e-15
