,Y3Z2,Y2Z3,Y3Z0,Y0Z3,Y2Z1,Y1Z2,Y1Z3,Y3Z1,Y5Z1,Y1Z5,Y3Z5,Y5Z3,Y4Z1,Y1Z4,Y5Z2,Y2Z5,Y4Z0,Y0Z4,Y5Z0,Y0Z5,Y4Z2,Y2Z4,Y2Z0,Y0Z2,Y1Z0,Y0Z1,Y4Z5,Y5Z4,Y4Z3,Y3Z4,standard_y,Y5,Y3,X4Y3,X3Y2,Y4,X2Y1,Y1,X5Y2,X2Y5,X3Y0,X2Y0,X1Y4,X0Y1,Y0,X5Y4,X5Y0,X4Y1,X3Y4,X1Y5,X3Y1,X1Y2,X5Y1,X1Y0,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y2,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.842263936662764,0.842263936662764,0.5972608902461212,0.5972608902461211,0.4640985560689671,0.4640985560689671,0.41756796994001877,0.4175679699400187,0.391677209458306,0.3916772094583059,0.23988709650593898,0.23988709650593895,0.2133291448974307,0.2133291448974307,0.18758620471677123,0.18758620471677123,0.17804542352562103,0.17804542352562103,0.13249671934496132,0.13249671934496132,0.13110224609376742,0.13110224609376742,0.1308521669034325,0.13085216690343246,0.11295717017616301,0.11295717017616301,0.09498516783411161,0.0949851678341116,0.02779642050712894,0.027796420507128924,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.734723475976807e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,3.469446951953614e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.16387129504125e-05,5.16387129504125e-05,3.6617718419868766e-05,0.46640872358861507,2.8453613023611975e-05,0.04653058691373495,0.04653058525671108,2.56008498030382e-05,0.39167720945830603,0.391677209458306,1.4707338611765743e-05,0.052300892141721456,0.2133291448974307,0.2133291448974307,0.052300891338318556,1.1500801301320763e-05,0.17804542352562103,0.17804542352562103,0.13249671934496132,0.13249671934496132,0.10330582563887972,8.037802591922004e-06,8.022470381954963e-06,0.46640872222018304,0.11295717017616302,0.11295717017616302,0.0949851678341116,0.0949851678341116,0.10330582534024199,1.7041824030883357e-06,1.0408340855860843e-16,5.551115123125783e-17,0.0,3.3881317890172014e-21,2.7755575615628914e-17,1.3877787807814457e-17,1.6940658945086007e-21,2.7755575615628914e-17,1.6940658945086007e-21,0.0,8.470329472543003e-22,4.235164736271502e-22,0.0,2.492792948987577e-17,6.938893903907228e-18,0.0,6.938893903907228e-18,3.469446951953614e-18,0.0,1.3877787807814457e-17,1.4823076576950256e-21,8.470329472543003e-22,0.0,6.052991329309929e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9.520816103878597e-08,2.0406377028505568e-05,6.751341063708562e-08,0.0018380122236874214,1.331234172678443e-05,0.15948687933074043,0.15948687901449726,4.720121187214752e-08,0.391677209458306,0.391677209458306,2.711645165024896e-08,0.0801947986565396,0.21332914489743077,0.2133291448974307,0.08019479877789179,5.380778775896692e-06,0.2813504469002409,0.0007016371015288281,0.08019623358914824,0.0005221398690424608,0.2813498665478157,3.76057602060254e-06,2.040616028601891e-05,0.0018380122225069944,0.15948739480943191,0.00044513888596466316,0.0949851678341116,0.0949851678341116,0.281349866555692,3.142062677443305e-09,1.3849842337999965e-17,0.0,6.617444900424222e-24,3.308722450212111e-24,1.0842021724855044e-19,1.3877787807814457e-17,1.6940658945086007e-21,0.0,8.470329472543003e-22,0.0,0.0,8.271806125530277e-25,2.7755575615628914e-17,6.137527536530362e-20,2.710505431213761e-20,0.0,8.131516293641283e-20,6.938893903907228e-18,0.0,1.0408340855860843e-17,0.0,8.470329472543003e-22,0.0,2.5397325914730434e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.5841587379335093e-11,3.7350757998805602e-06,1.8324623448299e-11,2.725582125922685e-06,1.4517577175573382e-06,0.0004616482939698113,0.0004616482939391441,5.451476177746394e-12,0.0011337366561530553,0.0011337366561530553,5.451391674042405e-12,0.00023213234563936228,0.11834437498214047,0.0006174959011030984,0.00023213234565113021,1.4517433839789303e-06,0.2813512491086886,1.0404552909816365e-06,0.0002321323456484957,1.1418726337204508e-07,0.2813512491071485,6.883170162604067e-07,3.7350757997933235e-06,2.725582125864042e-06,0.0004616482939424272,1.1418125438574892e-07,0.11834308336924187,0.00027494110957672607,0.2813512491074124,8.528248665374338e-13,1.405413609454248e-17,1.0842021724855044e-19,2.4233807008389483e-27,1.2116903504194741e-27,3.1763735522036263e-22,1.3877787807814457e-17,4.1359030627651384e-25,6.776263578034403e-20,0.0,0.0,1.0587911840678754e-22,2.0194839173657902e-28,0.0,2.142752352788146e-25,4.632211430296955e-23,0.0,0.0,0.0,8.077935669463161e-28,0.0,1.5777218104420236e-30,4.1359030627651384e-25,0.0,5.564485189008036e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1554436208840472e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1554436208840472e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.940144259585486e-14,1.2084272753905217e-06,1.3117541635155499e-14,2.772575711574681e-12,3.9660476236381913e-07,1.8044327654172006e-06,1.804432765451055e-06,4.0928563112712666e-15,1.3126618769149897e-05,1.3126618769149899e-05,4.09285630276633e-15,4.956477976803339e-07,4.3804676785770265e-05,1.8044336213821852e-06,4.956477976668898e-07,3.966047618388908e-07,0.00010414134145990408,1.0583944770291607e-12,4.956477976803327e-07,1.161532297855146e-13,0.00010414134145989677,1.2084272183712393e-06,1.2084272753905217e-06,2.7725757115702286e-12,1.804432765451056e-06,1.1615322896609608e-13,4.3804676721680716e-05,4.956481998693616e-07,0.00010414134145990406,1.311754064882079e-14,1.0164395428977185e-20,0.0,1.1832913578315177e-30,0.0,4.1359030627651384e-25,1.0164395367051604e-20,8.077935669463161e-28,0.0,1.6155871338926322e-27,0.0,6.462348535570529e-27,7.222237291452134e-35,0.0,4.355312180617157e-33,6.310887241768094e-29,0.0,3.0814879110195774e-33,3.101927297073854e-25,0.0,1.734723475976807e-18,9.027796614315168e-36,0.0,1.734723475976807e-18,9.411183695055561e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.407412430484045e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81482486096809e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,1.925929944387236e-34,0.0,0.0,0.0,0.0,0.0,0.0
5,7.504273655691822e-15,4.674069553483481e-07,5.0737269184836e-15,1.9150827009358473e-12,1.5340254741172375e-07,1.1612539958602955e-07,1.1612539958635557e-07,1.583073716295208e-15,8.44771534433373e-07,8.44771534433373e-07,1.5830737162815835e-15,3.1897729504031966e-08,2.143480402594258e-08,1.1612539958636873e-07,3.18977295039025e-08,1.534025474108829e-07,5.095915345094106e-08,1.915921495804441e-12,3.189772950403189e-08,5.804871181468624e-14,5.095915345094409e-08,4.674069553483429e-07,4.674069553483481e-07,1.915082700935433e-12,1.1612539958635557e-07,5.804871181299026e-14,2.1434804025812697e-08,3.189772950403811e-08,5.095915345094462e-08,5.0737269186702806e-15,7.610066053108924e-23,0.0,0.0,4.81482486096809e-35,0.0,3.308722450212111e-24,2.524354896707238e-29,4.632211430296955e-23,0.0,5.048709793414476e-29,1.5777218104420236e-30,2.1064858766735392e-35,6.310887241768095e-30,1.2572407634991211e-34,4.417621069237666e-29,6.310887241768095e-30,9.62964972193618e-35,9.466330862652142e-30,0.0,1.734723475976807e-18,2.82118644197349e-37,1.0097419586828951e-28,1.734723475976807e-18,5.609258618328239e-35,2.40523884611859e-13,7.8991208792243e-19,1.9652962845287543e-28,3.828562979685141e-26,1.2571705244544779e-20,8.32151559662326e-20,8.007181524582598e-17,2.6469779601696886e-23,2.2742254118910166e-11,8.452952144551897e-19,2.4512069459268333e-28,1.819461947254102e-20,2.2414766750191166e-26,8.228571553294396e-17,1.4489733360346062e-19,3.1135582593870806e-26,2.386049531601799e-26,0.0,1.9721522630525295e-31,1.9721522630525295e-31,0.0,0.0,0.0,4.9411975680720235e-15,0.0,1.262177448353619e-29,0.0,0.0,1.262177448353619e-29,0.0,0.0,2.0679515313825692e-25,7.86166167775646e-19,2.5699744874132864e-13,1.1754943508222875e-38,0.0,2.938735877055719e-39,0.0,1.1754943508222875e-38,7.52316384526264e-37,4.006319995847986e-28,3.425305373032992e-26,1.41535558022838e-22,7.888609052210118e-31,7.888609052210118e-31,3.944304526105059e-31,0.0,0.0,1.5777218104420236e-30,4.1359030627651384e-25,1.9977064590442735e-20,8.776634631262181e-20,8.007181524584552e-17,6.504982026918406e-15,0.0,3.944304526105059e-31,3.944304526105059e-31,0.0,0.0,3.76158192263132e-37,2.2742254119073534e-11,7.262297052808265e-19,4.212784774380232e-28,2.0817609064868906e-20,5.0273999497655604e-15,0.0,7.52316384526264e-37,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,5.0992879180415384e-26,8.228571478948242e-17,1.4489733360346024e-19,3.450416538709387e-26,5.345849344525564e-26,1.5556821920356803e-20
6,5.995915606047109e-17,3.734582160461717e-09,4.053908457794466e-17,1.9150738021043632e-12,1.2256865465455799e-09,1.5282503332836039e-09,1.5282503332836039e-09,1.264876099725196e-17,1.1117484922735706e-08,1.1117484922735701e-08,1.2648760997251939e-17,4.1978512813860154e-10,1.2404242552901483e-09,1.5282503332836055e-09,4.1978512813860154e-10,1.2256865465455784e-09,2.9489875388176503e-09,1.915025261352447e-12,4.197851281386007e-10,5.806505321518846e-14,2.9489875388140835e-09,3.734582160461717e-09,3.734582160461717e-09,1.9150738021043632e-12,1.528250333283605e-09,5.80650532151881e-14,1.2404242552901468e-09,4.197851281386007e-10,2.9489875388140835e-09,4.0539084577858374e-17,4.1357768912426217e-25,0.0,4.622231866529366e-33,1.128474576789396e-36,0.0,1.0339757656912846e-25,0.0,2.0679515313825692e-25,0.0,0.0,7.703719777548943e-34,9.4039548065783e-38,0.0,1.5398960749644675e-37,1.262177448353619e-29,6.162975822039155e-33,0.0,3.0814879110195774e-33,3.76158192263132e-37,0.0,3.4438311059246704e-41,3.0814879110195774e-33,0.0,1.0758392729217324e-37,2.4359449072554146e-13,2.014811367237307e-19,1.3694145518170982e-30,8.260724170311978e-28,8.32777407755702e-23,6.664318802859712e-22,2.097044083074718e-16,1.0339757656912846e-25,5.956092110417018e-11,2.0218465828697723e-19,1.1732686057882576e-30,6.452266475489811e-23,2.274755971215335e-26,2.1550251036578101e-16,1.1490374152390958e-21,7.253352856882979e-28,2.381075202995369e-26,1.9721522630525295e-31,1.9721522630525295e-31,1.9721522630525295e-31,3.944304526105059e-31,1.9721522630525295e-31,0.0,6.66770462252867e-15,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,3.0814879110195774e-33,0.0,9.37482436671659e-20,2.5709337157886176e-13,1.8367099231598242e-40,4.5917748078995606e-40,4.5917748078995606e-40,0.0,3.6734198463196485e-40,0.0,9.839692216601694e-31,7.940279831096023e-28,2.961694750299259e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.825989813122274e-23,6.921942169243644e-22,2.097044083074718e-16,1.361196527907142e-16,3.944304526105059e-31,0.0,0.0,0.0,3.944304526105059e-31,0.0,5.956092110417148e-11,8.187304379975715e-20,1.001921671162138e-30,6.073961403258265e-23,6.695101954767016e-15,0.0,7.52316384526264e-37,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,3.76158192263132e-37,2.554896399254682e-26,2.1550250962419837e-16,1.1490374152390876e-21,7.926086517867669e-28,2.674074868346575e-26,4.53797277917733e-20
7,5.995915606027868e-17,3.734582160461714e-09,4.053908457781622e-17,1.9152873749819225e-12,1.2256865465455776e-09,1.970333568102574e-09,1.970333568102574e-09,1.2648760997211354e-17,1.4333485332258943e-08,1.4333485332258936e-08,1.2648760997211325e-17,5.41218091923826e-10,1.7802597554677488e-09,1.9703335681025764e-09,5.41218091923826e-10,1.2256865465455758e-09,4.232393725255799e-09,1.9152177091829483e-12,5.412180919238251e-10,5.807192411293937e-14,4.232393725252232e-09,3.734582160461714e-09,3.734582160461714e-09,1.9152873749819225e-12,1.9703335681025748e-09,5.807192411293891e-14,1.7802597554677455e-09,5.41218091923826e-10,4.232393725252232e-09,4.053908457769234e-17,3.1016117527117654e-25,0.0,0.0,3.76158192263132e-37,0.0,1.0339757656912846e-25,0.0,6.203854594147708e-25,0.0,0.0,0.0,1.1754943508222875e-37,0.0,1.0476779942555208e-38,3.155443620884047e-29,1.232595164407831e-32,7.52316384526264e-37,0.0,3.76158192263132e-37,1.734723475976807e-18,3.4438311059246704e-41,1.232595164407831e-32,1.734723475976807e-18,3.2679898968040722e-37,2.4336151458842445e-13,2.0609888920113427e-19,1.4254559618453072e-30,1.1997666592427251e-27,8.750714862456179e-23,6.667828714484714e-22,3.027793283524926e-16,2.0679515313825692e-25,8.599635994217773e-11,2.0700237630049636e-19,1.241820761088164e-30,7.018131287418132e-23,2.340847282621931e-26,3.1115085184422553e-16,1.148040917249102e-21,1.067603659014156e-27,2.4572851023392769e-26,3.944304526105059e-31,0.0,0.0,0.0,0.0,0.0,6.784514149834687e-15,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,0.0,0.0,1.232595164407831e-32,6.162975822039155e-33,0.0,9.747333905797211e-20,2.5715834393660545e-13,0.0,0.0,9.183549615799121e-41,7.346839692639297e-40,3.6734198463196485e-40,0.0,1.0833320776687937e-30,1.1677406246764408e-27,4.2762093287524414e-24,1.232595164407831e-32,2.465190328815662e-32,1.232595164407831e-32,0.0,2.465190328815662e-32,7.703719777548943e-34,0.0,6.358464134427675e-23,6.910546005585932e-22,3.027793283524926e-16,1.965348146342988e-16,3.944304526105059e-31,0.0,0.0,0.0,5.9164567891575885e-31,1.8367099231598242e-40,8.599635994217958e-11,8.527691078352729e-20,1.1105716317088359e-30,6.635340805102997e-23,6.8158471792019515e-15,6.018531076210112e-36,1.128474576789396e-36,1.128474576789396e-36,1.128474576789396e-36,0.0,3.009265538105056e-36,0.0,0.0,3.76158192263132e-37,2.712655266394614e-26,3.1115085110267557e-16,1.1480409172490901e-21,1.1638583961475597e-27,2.835536612627054e-26,6.679976611402664e-20
8,5.995915606027866e-17,3.734582160461714e-09,4.0539084577816207e-17,1.9152873749822173e-12,1.2256865465455774e-09,1.9819132798042386e-09,1.9819132798042386e-09,1.2648760997211354e-17,1.4417723671652122e-08,1.4417723671652114e-08,1.2648760997211325e-17,5.443988474941824e-10,1.7802597554677496e-09,1.9819132798042402e-09,5.443988474941824e-10,1.2256865465455758e-09,4.232393725255801e-09,1.9152177091837197e-12,5.443988474941808e-10,5.807192411293947e-14,4.232393725252234e-09,3.734582160461713e-09,3.734582160461714e-09,1.9152873749822173e-12,1.9819132798042386e-09,5.807192411293901e-14,1.780259755467746e-09,5.443988474941824e-10,4.232393725252234e-09,4.053908457769233e-17,9.305466346859473e-25,0.0,0.0,0.0,0.0,3.101927297073854e-25,0.0,6.203854594147708e-25,0.0,6.162975822039155e-33,0.0,1.410593220986745e-37,6.162975822039155e-33,1.997227877521092e-37,3.155443620884047e-29,1.232595164407831e-32,2.256949153578792e-36,9.244463733058732e-33,3.76158192263132e-37,1.734723475976807e-18,3.4438311059246704e-41,6.162975822039155e-33,1.734723475976807e-18,1.3953514657460997e-37,2.433583345818586e-13,2.0617776110818435e-19,1.4259603668302342e-30,1.1997666592427323e-27,8.753841464941702e-23,6.667828714523542e-22,3.027793283524925e-16,0.0,8.599635994217774e-11,2.0708673183018803e-19,1.2424807938955013e-30,7.023041422863352e-23,2.3417001102556537e-26,3.111508518442255e-16,1.148040917252014e-21,1.0676036590141483e-27,2.4582553012949205e-26,1.9721522630525295e-31,3.944304526105059e-31,3.944304526105059e-31,0.0,5.9164567891575885e-31,1.8367099231598242e-40,6.786089860792986e-15,2.524354896707238e-29,1.262177448353619e-29,1.262177448353619e-29,0.0,1.262177448353619e-29,0.0,6.162975822039155e-33,0.0,9.7551892826081e-20,2.571583439366055e-13,7.346839692639297e-40,1.8367099231598242e-40,2.7550648847397363e-40,7.346839692639297e-40,7.346839692639297e-40,9.183549615799121e-41,1.0844845369683515e-30,1.1677406246764485e-27,4.27620932875244e-24,0.0,2.465190328815662e-32,0.0,0.0,0.0,1.5407439555097887e-33,0.0,6.364091404900989e-23,6.9105460056246955e-22,3.027793283524925e-16,1.9653481463429876e-16,3.944304526105059e-31,1.9721522630525295e-31,0.0,0.0,3.944304526105059e-31,9.183549615799121e-41,8.599635994217959e-11,8.534947880858536e-20,1.1117772737929769e-30,6.641192297492757e-23,6.817451474809525e-15,0.0,7.52316384526264e-37,7.52316384526264e-37,7.52316384526264e-37,0.0,0.0,0.0,0.0,7.52316384526264e-37,2.714657278502624e-26,3.111508511026755e-16,1.148040917252002e-21,1.1638583961475674e-27,2.83758917836373e-26,6.679976611404212e-20
9,5.995915606027857e-17,3.7345821604617106e-09,4.05390845778161e-17,1.9152873749822165e-12,1.2256865465455743e-09,1.9819132798042253e-09,1.9819132798042253e-09,1.2648760997211311e-17,1.441772367165208e-08,1.441772367165207e-08,1.2648760997211282e-17,5.443988474941799e-10,1.7802597554665243e-09,1.981913279804228e-09,5.443988474941799e-10,1.2256865465455724e-09,4.232393725254399e-09,1.915217709183719e-12,5.443988474941791e-10,5.807192411293927e-14,4.232393725250832e-09,3.73458216046171e-09,3.73458216046171e-09,1.9152873749822165e-12,1.981913279804226e-09,5.807192411293881e-14,1.780259755466521e-09,5.443988474941799e-10,4.232393725250832e-09,4.053908457769223e-17,8.271490611983067e-25,0.0,3.0814879110195774e-33,0.0,0.0,2.0679515313825692e-25,3.0814879110195774e-33,6.203854594147708e-25,0.0,0.0,0.0,0.0,1.232595164407831e-32,1.1643691620543199e-38,3.155443620884047e-29,0.0,1.504632769052528e-36,9.244463733058732e-33,7.52316384526264e-37,1.734723475976807e-18,6.887662211849341e-41,1.232595164407831e-32,1.734723475976807e-18,3.2761424270617597e-37,2.4323749974984007e-13,2.0617868868403478e-19,1.4405888403950812e-30,1.5209408748944113e-27,8.833560614141526e-23,6.669302564190627e-22,3.8279110172528125e-16,0.0,1.0872156175037842e-10,2.070874427255221e-19,1.265010102209906e-30,7.191780328698234e-23,2.372026893107537e-26,3.9337486469483116e-16,1.1474769585820792e-21,1.3617645932069139e-27,2.4945887413341075e-26,0.0,0.0,0.0,0.0,0.0,9.183549615799121e-41,6.8305268353748824e-15,2.524354896707238e-29,0.0,0.0,0.0,1.262177448353619e-29,0.0,3.0814879110195774e-33,0.0,9.755341780452079e-20,2.571792275009734e-13,7.346839692639297e-40,3.6734198463196485e-40,1.8367099231598242e-40,0.0,1.8367099231598242e-40,0.0,1.1315173587704102e-30,1.488925771424283e-27,5.4062306330463765e-24,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,7.703719777548943e-34,0.0,6.582078785996073e-23,6.904394021947537e-22,3.8279110172528125e-16,2.484706555174049e-16,3.944304526105059e-31,1.9721522630525295e-31,3.944304526105059e-31,3.944304526105059e-31,3.944304526105059e-31,4.591774807899561e-41,1.0872156175038028e-10,8.535090849413759e-20,1.1603735532585253e-30,6.86661280285245e-23,6.862815464049608e-15,0.0,1.504632769052528e-36,3.76158192263132e-37,1.128474576789396e-36,0.0,0.0,0.0,0.0,3.76158192263132e-37,2.798343785338054e-26,3.9337486395337557e-16,1.1474769585820641e-21,1.482926088991542e-27,2.922637563601346e-26,8.520921477929956e-20
