,Y2Z0,Y0Z2,Y2Z4,Y4Z2,Y4Z1,Y1Z4,Y4Z3,Y3Z4,Y4Z5,Y5Z4,Y5Z1,Y1Z5,Y5Z0,Y0Z5,Y1Z0,Y0Z1,Y3Z1,Y1Z3,Y4Z0,Y0Z4,Y2Z1,Y1Z2,Y5Z2,Y2Z5,Y3Z0,Y0Z3,Y2Z3,Y3Z2,Y3Z5,Y5Z3,standard_y,X2Y4,X0Y4,X2Y5,X3Y1,X0Y1,Y0,X5Y4,X3Y4,X3Y0,X0Y5,X1Y0,Y2,Y1,X5Y3,X5Y1,X4Y5,X4Y3,X4Y2,X4Y0,X3Y2,X2Y1,X1Y2,X0Y3,X4Y1,X1Y4,X1Y3,standard_x,Y5,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.950185435933192,0.9501854359331918,0.8471707277144366,0.8471707277144365,0.840763810561524,0.840763810561524,0.7892196963182867,0.7892196963182867,0.6590952084434446,0.6590952084434445,0.48971964591019573,0.4897196459101957,0.4181213218128917,0.41812132181289163,0.37055664109630704,0.370556641096307,0.30138213748191134,0.3013821374819113,0.2969741229173981,0.29697412291739805,0.2373052036883779,0.23730520368837765,0.22742352882594855,0.22742352882594846,0.20004646411996824,0.20004646411996818,0.08318062375973014,0.08318062375973012,0.06040799623449257,0.060407996234492556,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,6.938893903907228e-17,5.898059818321144e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.204170427930421e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0013814013700795083,0.0013814013700795083,0.001231636225624342,0.5501969186396203,0.8407638105615239,0.8407638105615243,0.7892196963182867,0.7892196963182869,0.6590952084434445,0.6590952084434445,0.4897196459101956,0.48971964591019557,0.19069803332838026,0.0006078743632231323,0.13325168819233146,0.0005387237399611018,0.30138213748191134,0.30138213748191134,0.5501957095060751,0.0004317477881286935,0.000344999745423556,0.13325104580326064,0.1906973511158671,0.0003306335399678456,0.11686592826561332,0.0002908321356699001,0.00012092989776559614,0.1168656289509132,0.06040799623449257,0.060407996234492556,4.1579153314819095e-17,0.0,1.0842021724855044e-19,0.0,0.0,1.7893571010747095e-20,5.421010862427522e-20,5.551115123125783e-17,5.551115123125783e-17,0.0,5.421010862427522e-20,3.631653761352813e-20,0.0,1.3877787807814457e-17,2.7755575615628914e-17,1.3877787807814457e-17,5.551115123125783e-17,0.0,1.6263032587282567e-19,0.0,5.421010862427522e-20,8.131516293641283e-20,0.0,0.0,2.0816681711721685e-17,5.551115123125783e-17,2.42861286636753e-17,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00014769393237048888,0.00014769393237048888,9.479564104623796e-05,2.9823120764643967e-05,4.5573164710226576e-05,4.5573164710226576e-05,4.277924282783616e-05,0.48783755927912476,3.572591269604392e-05,0.16937556325267783,0.16937556156499667,2.6544998493683414e-05,0.19069779573429296,6.499150575365649e-05,7.222824958957135e-06,1.1437442752769283e-05,0.48783755767696235,1.6336261884309805e-05,2.9823120015449167e-05,1.1437442600340873e-05,9.479564079860151e-05,7.2228245609245405e-06,0.19069778793590214,3.5350021180749014e-05,0.116865841365087,3.10946135621125e-05,1.2929343005598802e-05,0.11686583794361205,0.06040799623449257,0.06040799623449257,8.325148025383616e-17,4.1359030627651384e-25,0.0,0.0,1.0587911840678754e-21,2.0649223055065205e-25,1.6940658945086007e-21,3.3881317890172014e-21,3.3881317890172014e-21,5.082197683525802e-21,0.0,2.0649223055065205e-25,1.3552527156068805e-20,0.0,0.0,6.352747104407253e-22,0.0,0.0,1.2407709188295415e-24,4.1359030627651384e-25,0.0,5.169878828456423e-25,0.0,0.0,2.7755575615628914e-17,0.0,6.352747104407253e-22,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0
3,0.00014112197740279826,0.00014112197740279826,7.82235034532414e-05,1.034727985357019e-08,1.5811835825583833e-08,5.618275482326637e-06,1.4842470753073289e-08,0.0008807995248818327,1.239528283499323e-08,0.10896766478727982,0.10896766472823603,5.10098416641966e-06,0.1906977954952344,6.20995707754205e-05,1.387964504584826e-06,4.063945371309082e-05,0.000880799524775013,5.618256091242709e-06,1.0347279616251538e-08,4.0639453709324344e-05,7.822350344517404e-05,1.3879644347529179e-06,0.1906977883754147,3.377704696591111e-05,0.00021100338750945985,4.0639484323815565e-05,7.822333568008636e-05,0.00021100338186945858,0.00010906772842077859,0.10896729025178226,1.3881070060485067e-17,2.0194839173657902e-28,2.0194839173657902e-28,1.6940658945086007e-21,5.169878828456423e-25,2.5658860328065806e-26,3.3881317890172014e-21,1.6543612251060553e-24,0.0,1.6543612251060553e-24,3.3881317890172014e-21,6.928345853987097e-26,0.0,1.0587911840678754e-22,5.421010862427522e-20,5.293955920339377e-23,0.0,4.235164736271502e-22,2.0194839173657902e-28,1.0097419586828951e-28,2.6469779601696886e-23,2.5849394142282115e-26,0.0,0.0,1.6263032587282567e-19,1.6263032587282567e-19,3.101927297073854e-25,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.055221910145253e-05,6.180370241886231e-08,2.2263744562956835e-05,5.6684910448550936e-11,3.941038180455657e-11,4.909947461729419e-07,3.6994277309352586e-11,2.512066937418524e-05,5.6684916471156215e-11,0.000167670257809759,0.0001676702578090651,3.244902515354901e-07,0.00029342995544855285,2.719621325591581e-08,3.244895802050045e-07,1.7797877697607424e-08,2.512066937416197e-05,4.909947447945136e-07,5.668491042823728e-11,1.7797877697594824e-08,2.2263744562939298e-05,3.244895803010888e-07,0.00029342995456109054,3.0552160171475985e-05,2.907239527753201e-06,1.7797877708500555e-08,2.2263744524115743e-05,2.907239517502034e-06,2.907228721169039e-06,0.00016767025734098915,2.543745173488217e-20,1.9721522630525295e-31,0.0,0.0,8.077935669463161e-28,1.402293698224062e-31,0.0,6.310887241768095e-30,0.0,7.573064690121713e-29,0.0,1.9441244844919645e-31,0.0,2.6469779601696886e-23,0.0,0.0,3.1554436208840472e-30,1.5881867761018131e-22,0.0,0.0,3.101927297073854e-25,8.077935669463161e-28,0.0,0.0,0.0,0.0,4.0389678347315804e-28,0.0,2.710505431213761e-20,0.0,6.462348535570529e-27,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.6036369893877996e-08,6.705385238422814e-11,3.3547231318451566e-08,1.8542756312862525e-15,1.2891907723500334e-15,2.227763153033703e-08,1.2101552625929302e-15,1.8111131411832873e-08,1.8542756312862513e-15,5.366176954696501e-09,5.366176954696456e-09,1.4722909208153059e-08,9.391033835784414e-09,6.705218345653335e-11,1.4722909208153028e-08,1.340944649576043e-11,1.811113141183284e-08,2.2277631530337004e-08,1.8542756312862513e-15,1.3409446495760408e-11,3.354723131845151e-08,1.4722909208153036e-08,9.391033833769449e-09,4.603636989103614e-08,2.0960162161952704e-09,1.3409446495760411e-11,3.354723131845153e-08,2.0960162161952546e-09,2.0960162161952637e-09,5.366176954696494e-09,6.201431312054482e-24,5.877471754111438e-39,5.739718509874451e-42,0.0,4.930380657631324e-32,5.506865179020639e-35,2.4233807008389483e-27,0.0,0.0,2.407412430484045e-35,3.308722450212111e-24,1.8279372140750673e-35,6.617444900424222e-24,0.0,9.860761315262648e-32,2.465190328815662e-32,2.938735877055719e-39,0.0,2.938735877055719e-39,2.8698592549372254e-42,1.9721522630525295e-31,2.465190328815662e-32,0.0,1.925929944387236e-34,3.308722450212111e-24,1.6543612251060553e-24,1.5407439555097887e-32,5.143255898175241e-13,4.1359030627651384e-25,7.866807421693043e-27,9.860761315262648e-32,4.618576840366488e-20,1.085752308421852e-15,0.0,1.2749360174502654e-18,9.325829002776793e-33,2.6167642244478745e-23,1.949277493661209e-19,4.976506189163846e-16,2.7400837402479536e-23,2.3815630977230138e-23,5.915263168061622e-16,4.101423072430419e-33,5.437776579964732e-27,5.427094440898552e-13,3.9861474264706676e-26,0.0,0.0,5.048709793414476e-29,0.0,0.0,0.0,3.308722450212111e-24,5.15396089429123e-13,5.877471754111438e-39,0.0,5.877471754111438e-39,0.0,2.938735877055719e-39,1.354247194588078e-27,5.945314763884736e-23,3.0814879110195774e-33,0.0,3.0814879110195774e-33,1.232595164407831e-32,1.232595164407831e-32,0.0,2.8610007099478876e-20,1.085752308421853e-15,1.2433511058253074e-16,9.860761315262648e-32,0.0,4.930380657631324e-32,0.0,0.0,9.860761315262648e-32,0.0,1.1749381933820889e-18,2.7755924170245315e-30,3.782247008833601e-23,7.074113231465811e-16,2.465190328815662e-32,3.0814879110195774e-32,6.162975822039155e-33,2.465190328815662e-32,1.232595164407831e-32,0.0,2.0301502394827104e-19,4.976506189163861e-16,3.10880422220695e-23,5.15538763471487e-23,2.397430996742349e-16,0.0,9.62964972193618e-35,9.62964972193618e-35,4.81482486096809e-35,9.62964972193618e-35,0.0,5.915261898788445e-16,4.797300735669346e-33,4.140510811228305e-26,5.427094440898439e-13,5.881507479382108e-26,9.89981257581369e-19
6,2.834707887569979e-09,3.593525686659677e-11,2.0656841849408266e-09,3.181250810154004e-15,2.2117743016573653e-15,3.8220171826338045e-08,2.0761786139550393e-15,1.8111131411832886e-08,3.1812508101540042e-15,2.0736171301669622e-09,2.07361713016691e-09,2.5259063960767097e-08,3.628916600188075e-09,3.5935217155823514e-11,2.525906396076709e-08,7.1862075140866254e-12,1.8111131411832787e-08,3.822017182633799e-08,3.181250810154004e-15,7.186207514086597e-12,2.0656841849408166e-09,2.525906396076709e-08,3.628916600121582e-09,2.834707886981448e-09,2.096016216195257e-09,7.186207514086599e-12,2.0656841849408245e-09,2.096016216195257e-09,2.0960162161952563e-09,2.0736171301669593e-09,2.481541837659083e-24,0.0,1.1479437019748901e-41,0.0,0.0,5.288289182720696e-35,0.0,0.0,0.0,1.8055593228630336e-35,2.0679515313825692e-25,6.430349350363799e-35,0.0,8.271806125530277e-25,0.0,0.0,2.938735877055719e-39,0.0,1.8367099231598242e-40,2.8698592549372254e-42,6.162975822039155e-33,1.5407439555097887e-33,0.0,0.0,0.0,0.0,2.465190328815662e-32,1.069096964449168e-12,0.0,2.8071246430666794e-26,0.0,9.606030949873498e-20,5.871738263358846e-15,1.6543612251060553e-24,2.151103936289724e-18,2.145543022563108e-30,2.759606379165326e-23,6.955617416508845e-19,1.5686889807336793e-15,1.4818346495248816e-22,5.45543771977944e-23,5.392201735514058e-16,1.1529406144546329e-32,7.747631489994884e-27,1.1292169973968646e-12,1.0470800639886512e-25,1.0097419586828951e-28,1.0097419586828951e-28,1.0097419586828951e-28,1.0097419586828951e-28,1.0097419586828951e-28,0.0,2.0679515313825692e-25,1.0719787239610233e-12,7.052966104933725e-38,2.350988701644575e-38,0.0,0.0,0.0,4.8355348220521495e-27,3.21522059590771e-22,1.232595164407831e-32,4.930380657631324e-32,2.465190328815662e-32,4.930380657631324e-32,2.465190328815662e-32,1.232595164407831e-32,5.950095731031507e-20,5.871738263358852e-15,3.919278048866813e-16,0.0,9.860761315262648e-32,9.860761315262648e-32,0.0,0.0,0.0,1.6543612251060553e-24,2.1383108901514934e-18,1.8944763450745526e-30,5.1826003970841127e-23,1.1951343614998005e-15,4.930380657631324e-32,0.0,4.930380657631324e-32,9.860761315262648e-32,4.930380657631324e-32,1.232595164407831e-32,7.244205296844372e-19,1.568688980733694e-15,1.6812383518844593e-22,1.1817942741984655e-22,1.296528428496542e-15,0.0,1.925929944387236e-34,0.0,9.62964972193618e-35,0.0,0.0,5.392200320505811e-16,1.3734496958792138e-32,7.539907450608327e-26,1.129216997396875e-12,1.693578838852751e-25,1.831404549652114e-18
7,6.141847621511405e-09,4.07519094243681e-11,4.4756348807468246e-09,3.044299042514213e-15,2.1165581687411746e-15,3.65748063997517e-08,1.986799829377562e-15,1.8111131411832886e-08,3.044299042514213e-15,1.9074162116667283e-09,1.907416211666684e-09,2.4171669829264545e-08,3.338058050040997e-09,4.075183028074059e-11,2.417166982926454e-08,8.149430277756237e-12,1.8111131411832794e-08,3.657480639975165e-08,3.044299042514213e-15,8.149430277756207e-12,4.475634880746805e-09,2.417166982926454e-08,3.3380580498776188e-09,6.141847620897483e-09,2.0960162161952588e-09,8.149430277756208e-12,4.475634880746821e-09,2.0960162161952588e-09,2.096016216195258e-09,1.9074162116667254e-09,1.4475662691830247e-24,0.0,0.0,0.0,9.860761315262648e-32,1.7878814203315085e-35,0.0,2.938735877055719e-39,0.0,0.0,2.0679515313825692e-25,6.511012914921208e-36,4.1359030627651384e-25,1.6543612251060553e-24,0.0,1.232595164407831e-32,1.4693679385278594e-39,0.0,1.1020259538958945e-39,8.609577764811676e-42,2.465190328815662e-32,6.162975822039155e-33,0.0,0.0,3.308722450212111e-24,3.308722450212111e-24,1.232595164407831e-32,1.0690384850138232e-12,2.0679515313825692e-25,2.8133864216101e-26,1.9721522630525295e-31,9.605958143336918e-20,5.518817022053171e-15,0.0,2.357495246025622e-18,2.0523648568073507e-30,3.2353579672877683e-23,6.89850412879813e-19,1.5140294431200462e-15,1.4115402580661465e-22,6.059572607894267e-23,6.497127207787343e-16,1.2275054024748704e-32,8.643334904653487e-27,1.1292802591604416e-12,1.1357472169840372e-25,1.0097419586828951e-28,1.0097419586828951e-28,1.0097419586828951e-28,1.0097419586828951e-28,1.0097419586828951e-28,0.0,0.0,1.0719742153705602e-12,2.350988701644575e-38,2.350988701644575e-38,4.70197740328915e-38,4.70197740328915e-38,4.70197740328915e-38,4.7022551463282714e-27,3.0354244529042765e-22,2.465190328815662e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,5.949985842739095e-20,5.518817022053177e-15,3.7827143821931717e-16,0.0,1.9721522630525295e-31,0.0,0.0,0.0,1.232595164407831e-32,0.0,2.329757244028247e-18,2.7838560044638603e-30,5.828647364782837e-23,1.3080994580155886e-15,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,7.175284894164609e-19,1.5140294431200596e-15,1.6040835831994627e-22,1.287783166307587e-22,1.2513520748766692e-15,9.62964972193618e-35,1.925929944387236e-34,0.0,1.925929944387236e-34,0.0,0.0,6.497125603084704e-16,1.4650795124459237e-32,8.21393728758929e-26,1.1292802591604513e-12,1.8016355125771906e-25,1.9929179169910386e-18
8,6.141847621511405e-09,4.07519094243681e-11,4.4756348807468246e-09,3.044299042514213e-15,2.1165581687411746e-15,3.65748063997517e-08,1.986799829377562e-15,1.8111131411832886e-08,3.044299042514213e-15,1.9074162116667283e-09,1.907416211666684e-09,2.4171669829264545e-08,3.338058050040997e-09,4.075183028074059e-11,2.417166982926454e-08,8.149430277756237e-12,1.8111131411832794e-08,3.657480639975165e-08,3.044299042514213e-15,8.149430277756207e-12,4.475634880746805e-09,2.417166982926454e-08,3.3380580498776188e-09,6.141847620897483e-09,2.0960162161952588e-09,8.149430277756208e-12,4.475634880746821e-09,2.0960162161952588e-09,2.096016216195258e-09,1.9074162116667254e-09,1.4475662691830247e-24,0.0,0.0,0.0,9.860761315262648e-32,1.7878814203315085e-35,0.0,2.938735877055719e-39,0.0,0.0,2.0679515313825692e-25,6.511012914921208e-36,4.1359030627651384e-25,1.6543612251060553e-24,0.0,1.232595164407831e-32,1.4693679385278594e-39,0.0,1.1020259538958945e-39,8.609577764811676e-42,2.465190328815662e-32,6.162975822039155e-33,0.0,0.0,3.308722450212111e-24,3.308722450212111e-24,1.232595164407831e-32,1.0690384850138232e-12,2.0679515313825692e-25,2.8133864216101e-26,1.9721522630525295e-31,9.605958143336918e-20,5.518817022053171e-15,0.0,2.357495246025622e-18,2.0523648568073507e-30,3.2353579672877683e-23,6.89850412879813e-19,1.5140294431200462e-15,1.4115402580661465e-22,6.059572607894267e-23,6.497127207787343e-16,1.2275054024748704e-32,8.643334904653487e-27,1.1292802591604416e-12,1.1357472169840372e-25,1.0097419586828951e-28,1.0097419586828951e-28,1.0097419586828951e-28,1.0097419586828951e-28,1.0097419586828951e-28,0.0,0.0,1.0719742153705602e-12,2.350988701644575e-38,2.350988701644575e-38,4.70197740328915e-38,4.70197740328915e-38,4.70197740328915e-38,4.7022551463282714e-27,3.0354244529042765e-22,2.465190328815662e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,5.949985842739095e-20,5.518817022053177e-15,3.7827143821931717e-16,0.0,1.9721522630525295e-31,0.0,0.0,0.0,1.232595164407831e-32,0.0,2.329757244028247e-18,2.7838560044638603e-30,5.828647364782837e-23,1.3080994580155886e-15,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,7.175284894164609e-19,1.5140294431200596e-15,1.6040835831994627e-22,1.287783166307587e-22,1.2513520748766692e-15,9.62964972193618e-35,1.925929944387236e-34,0.0,1.925929944387236e-34,0.0,0.0,6.497125603084704e-16,1.4650795124459237e-32,8.21393728758929e-26,1.1292802591604513e-12,1.8016355125771906e-25,1.9929179169910386e-18
9,6.330151066960606e-09,4.095760036873185e-11,4.612853763494593e-09,3.0326023177637947e-15,2.1160596147030128e-15,3.6293752904199116e-08,1.9872983834157236e-15,1.8111131411832886e-08,3.0326023177637947e-15,1.907416211667368e-09,1.907416211667325e-09,2.3985926336199768e-08,3.3380580500441782e-09,4.0957518798630036e-11,2.398592633619976e-08,8.190563982038673e-12,1.8111131411832794e-08,3.629375290419906e-08,3.0326023177637947e-15,8.190563982038643e-12,4.612853763494574e-09,2.398592633619976e-08,3.338058049874941e-09,6.330151066343585e-09,2.0960162161952588e-09,8.190563982038644e-12,4.61285376349459e-09,2.0960162161952588e-09,2.096016216195258e-09,1.9074162116673652e-09,1.0339757656912846e-24,0.0,0.0,0.0,9.860761315262648e-32,5.297559832564883e-35,0.0,0.0,0.0,0.0,0.0,2.221028811327055e-35,8.271806125530277e-25,1.6543612251060553e-24,0.0,6.162975822039155e-33,1.4693679385278594e-39,0.0,7.346839692639297e-40,2.8698592549372254e-42,0.0,1.5407439555097887e-32,3.697785493223493e-32,0.0,3.308722450212111e-24,3.308722450212111e-24,2.465190328815662e-32,1.0678255564476327e-12,2.0679515313825692e-25,2.8118407412138165e-26,0.0,9.59512793091171e-20,5.48924606991027e-15,0.0,2.3689020384271653e-18,2.0467130081936063e-30,3.260721437689465e-23,6.880989461591502e-19,1.5128623578951521e-15,1.4104446948981227e-22,6.078574461931956e-23,6.556849995802741e-16,1.2309463682506172e-32,8.703956201204513e-27,1.1280068524182144e-12,1.1388537842084677e-25,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.0707656106364097e-12,2.350988701644575e-38,1.1754943508222875e-38,2.350988701644575e-38,2.350988701644575e-38,2.350988701644575e-38,4.6791875409767126e-27,3.0289762015015987e-22,3.697785493223493e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,1.232595164407831e-32,5.94327772956493e-20,5.4892460699102755e-15,3.7797984876884826e-16,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,1.232595164407831e-32,0.0,2.3403454102108425e-18,2.8321514705882206e-30,5.861937296062955e-23,1.3136884011629673e-15,4.930380657631324e-32,0.0,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,3.697785493223493e-32,7.15544368213381e-19,1.5128623578951655e-15,1.602854561416826e-22,1.287541043447549e-22,1.2503874737668726e-15,1.925929944387236e-34,1.925929944387236e-34,1.925929944387236e-34,9.62964972193618e-35,0.0,0.0,6.556848384819158e-16,1.4693525684669857e-32,8.250936804828939e-26,1.128006852418224e-12,1.8011819674659617e-25,2.0018378192424536e-18
