,Y5Z1,Y1Z5,Y3Z0,Y0Z3,Y4Z3,Y3Z4,Y4Z1,Y1Z4,Y5Z3,Y3Z5,Y2Z4,Y4Z2,Y2Z1,Y1Z2,Y5Z0,Y0Z5,Y4Z0,Y0Z4,Y0Z1,Y1Z0,Y3Z1,Y1Z3,Y2Z0,Y0Z2,Y2Z5,Y5Z2,Y3Z2,Y2Z3,Y4Z5,Y5Z4,standard_y,Y5,Y3,X3Y5,X0Y5,X4Y3,X2Y3,Y0,X4Y5,X3Y4,X2Y4,X1Y3,X0Y2,Y1,X5Y1,X5Y0,X3Y1,X1Y5,X0Y1,X1Y4,X1Y2,X1Y0,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4Y1,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y2,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y1,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9000376926775522,0.9000376926775521,0.8447123409803767,0.8447123409803766,0.6556721737484312,0.655672173748431,0.6394956144427328,0.6394956144427328,0.623380330913502,0.623380330913502,0.5609154289002591,0.5609154289002589,0.5512591967494214,0.5512591967494214,0.5287265587083823,0.5287265587083823,0.44377102299371884,0.44377102299371884,0.41474399930867895,0.4147439993086789,0.3389030681989279,0.3389030681989278,0.2877001726198135,0.2877001726198135,0.26404199895882374,0.2640419989588237,0.07199025068740816,0.07199025068740816,0.0457393248144133,0.04573932481441326,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.42861286636753e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0004496889424668145,0.00044968894246681456,0.8447123409803766,0.8447123409803766,0.6556721737484311,0.6556721737484312,0.5937562953373559,0.00031951340361691355,0.0003114616688209476,0.2844773050153715,0.560915428900259,0.5609154289002589,0.28721723074747574,0.00027542753734444316,0.00026416947753861604,0.11398261116672309,0.4437710229937188,0.44377102299371884,0.1139824934057446,0.0002072199775197579,0.2844771849062343,0.00016932731104155415,0.2877001726198135,0.2877001726198135,0.2872171289841873,0.00013192421633518838,0.07199025068740816,0.07199025068740815,0.5937562098085215,2.2852896908961466e-05,4.860613864524077e-17,2.710505431213761e-20,8.326672684688674e-17,0.0,2.710505431213761e-20,1.3877787807814457e-16,1.1102230246251565e-16,2.0816681711721685e-17,0.0,1.1102230246251565e-16,0.0,1.3552527156068805e-20,0.0,6.776263578034403e-21,1.3877787807814457e-17,1.3552527156068805e-20,0.0,1.3877787807814457e-17,7.623296525288703e-21,1.3552527156068805e-20,6.776263578034403e-21,2.1175823681357508e-20,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,6.776263578034403e-21,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,1.940831802154897e-05,1.940831802154897e-05,5.870301122862895e-05,5.870301122862896e-05,0.21190115182631078,4.5565725881525706e-05,0.5937562896389541,1.3790016084289687e-05,2.0411040033340495e-06,1.9769655469537808e-05,0.5609154289002594,0.5609154289002591,0.2872171978519877,1.1887295265365556e-05,2.0411039433420872e-06,7.921181146949424e-06,0.21190114917142475,3.083972387038396e-05,7.921181131705239e-06,1.63542586925737e-06,1.9769655453989665e-05,1.6354258300138178e-06,0.21570992210624423,1.9993630546675938e-05,0.2872171976624295,5.693773859173581e-06,5.002939213069826e-06,0.21570992123768,0.5937562894796365,9.863179834703823e-07,5.550246914354847e-17,0.0,6.776263578034403e-21,0.0,2.0679515313825692e-25,3.3881317890172014e-21,8.470329472543003e-21,1.6940658945086007e-21,0.0,0.0,0.0,0.0,1.6940658945086007e-21,2.117582368135751e-22,1.3877787807814457e-17,1.0339757656912846e-25,1.0339757656912846e-25,1.3877787807814457e-17,3.554291694563791e-26,4.235164736271502e-22,2.117582368135751e-22,1.1309109937248425e-26,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0
3,3.966783972563133e-06,2.4733494536897994e-08,9.680465646870384e-06,9.680465646870382e-06,0.0012540923908456749,1.0774124695251546e-05,0.003514021712887245,1.757366543076117e-08,4.3950770447812234e-07,1.0774050195393702e-05,0.2737032612075566,0.003319659986222946,0.2736884076660997,1.5148883699142283e-08,4.395077041268326e-07,6.391808070719259e-06,0.0012540923904183936,6.391874260159101e-06,6.391808070657524e-06,2.084147443032426e-09,1.077405019535582e-05,2.0841474416724288e-09,0.2157099219371327,3.297065169442675e-06,0.27368840766884217,1.2260313572517396e-06,8.250135754856119e-07,0.21570992191351304,0.003514021712843527,3.966707062429719e-06,2.862378417976942e-17,4.235164736271502e-22,0.0,0.0,0.0,4.963083675318166e-24,8.470329472543003e-22,4.235164736271502e-22,0.0,0.0,2.168404344971009e-19,0.0,2.117582368135751e-22,2.0679515313825692e-25,1.6263032587282567e-19,1.1107161545511846e-27,0.0,5.421010862427522e-20,7.888609052210118e-31,1.5881867761018131e-22,0.0,8.085824278515371e-30,0.0,0.0,8.673617379884035e-19,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,1.5881867761018131e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
4,1.2880846546490495e-05,2.2155655065069735e-09,4.979162598539482e-06,4.979162598539482e-06,8.785715131207288e-09,5.117370152973023e-06,2.4617957945460633e-08,2.172059992955953e-10,1.090205416849856e-06,5.117370112840741e-06,5.3096062385799754e-05,2.325633038464327e-08,5.3096058628022184e-05,2.1720594413907264e-10,1.0902054166193267e-06,1.5918316586743507e-06,8.785715130415365e-09,1.591831664032611e-06,1.5918316583664904e-06,1.8669279334435064e-10,5.117370112692713e-06,1.866927933121208e-10,4.184662484671247e-05,1.5918315702574194e-06,5.309605863129554e-05,1.2880846239229494e-05,5.117370040709527e-06,4.1846624845500244e-05,2.461795794357614e-08,1.2880846367156344e-05,6.45534334975797e-21,8.470329472543003e-22,4.235164736271502e-22,6.462348535570529e-27,0.0,6.310887241768095e-30,0.0,1.0587911840678754e-22,2.524354896707238e-29,2.524354896707238e-29,0.0,7.888609052210118e-31,2.5849394142282115e-26,2.5849394142282115e-26,3.3881317890172014e-21,1.6155871338926322e-27,1.9721522630525295e-31,1.6940658945086007e-21,4.2918567364065643e-32,7.754818242684634e-26,6.310887241768095e-30,6.435848523584615e-32,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,3.2311742677852644e-27,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,3.1554436208840472e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1044052673094165e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8.203266110983017e-08,9.960982097220528e-16,4.901671046083339e-07,4.901671046083345e-07,3.100365665500231e-13,5.037727682975075e-07,1.690111890160946e-12,9.765384726255807e-17,6.9430569157829416e-09,5.037727682975081e-07,2.2313001484733437e-08,1.6901522853081888e-12,2.231300148475217e-08,9.765384423439312e-17,6.943056915768711e-09,1.5670577016160059e-07,3.1003656654975213e-13,1.5670577016159937e-07,1.5670577016159937e-07,8.393539154218256e-17,5.037727682975075e-07,8.393539154204214e-17,1.7585556869721797e-08,1.5670577016159775e-07,2.2313001484619385e-08,8.203266111017261e-08,5.037727682975057e-07,1.7585556869716867e-08,1.6901118901609454e-12,8.203266110983017e-08,1.6541592767143188e-24,6.617444900424222e-24,0.0,0.0,3.1554436208840472e-30,7.222237291452134e-35,9.466330862652142e-30,0.0,0.0,0.0,0.0,2.350988701644575e-38,1.5777218104420236e-30,0.0,0.0,0.0,2.350988701644575e-38,0.0,5.794124623401094e-39,3.0292258760486853e-28,7.52316384526264e-37,2.0950822098235742e-39,4.1905016514813746e-13,1.8020999576781136e-27,2.0194839173657902e-28,4.7468413187905455e-22,9.722727541290287e-27,2.3459553218290227e-19,1.347145702569742e-16,9.431523346726232e-19,4.963083675318166e-24,5.987542036737285e-17,1.8894336902787851e-19,3.9891802170316066e-29,2.412203308307712e-27,2.2402016260208055e-21,3.6130805778179834e-26,1.1538475859830205e-08,5.301585838818352e-19,3.2145227216092523e-29,0.0,0.0,0.0,0.0,9.860761315262648e-32,3.009265538105056e-36,0.0,8.077935669463161e-28,2.9802538060908356e-15,0.0,6.018531076210112e-36,3.009265538105056e-36,6.018531076210112e-36,6.018531076210112e-36,0.0,3.0292258760486853e-28,1.2037062152420224e-35,3.257799930960622e-27,4.17257167872317e-20,3.1554436208840472e-30,0.0,1.5777218104420236e-30,0.0,0.0,7.888609052210118e-31,0.0,3.1627517050545655e-21,4.9712594065024773e-26,2.746178299059276e-14,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,8.077935669463161e-28,1.128474576789396e-36,1.5777218104420236e-30,1.8736705395695856e-19,1.3471456915433666e-16,4.0670292837224106e-19,3.7984856363870673e-13,0.0,1.3775324423698682e-40,1.4693679385278594e-39,4.1325973271096045e-40,1.4693679385278594e-39,5.987542036737288e-17,1.8894336902787854e-19,5.0391406981947165e-29,3.462053022682586e-27,2.940038935946721e-23,1.5777218104420236e-30,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,9.62964972193618e-35,0.0,3.3220723827598904e-21,5.60193697784273e-26,1.1538475859837241e-08,4.352983133435489e-19,4.0396055037229396e-29,1.47200306286124e-14
6,3.995428578809359e-08,6.66857793630766e-16,2.959068973172634e-08,1.7361085954181746e-07,4.264637640949553e-13,1.4259186160648883e-08,2.323290321582476e-12,6.537631231643879e-17,3.381639416589588e-09,1.4259186160649071e-08,1.307483953891287e-08,2.323257785739162e-12,1.307483953887748e-08,6.537631028893891e-17,3.381639416589932e-09,2.0214910018395476e-07,4.2646376409447064e-13,2.0214910018395468e-07,2.0214910018395476e-07,5.619222028242537e-17,1.4259186160648965e-08,5.619222028243671e-17,1.030467973719535e-08,2.0214910018395466e-07,1.3074839538908983e-08,3.9954285787995866e-08,1.4259186160648919e-08,1.0304679737194905e-08,2.323290321582476e-12,3.995428578809359e-08,1.654563167334816e-24,0.0,1.6543612251060553e-24,0.0,0.0,0.0,9.860761315262648e-32,0.0,1.504632769052528e-36,0.0,8.271806125530277e-25,5.877471754111438e-39,1.9721522630525295e-31,6.162975822039155e-33,1.0339757656912846e-25,0.0,5.877471754111438e-39,2.0679515313825692e-25,3.0222611916239167e-40,5.048709793414476e-29,0.0,6.422387112163606e-40,4.4133430197133044e-13,7.146910324611717e-28,2.0194839173657902e-28,7.811484666068411e-22,5.409994614438697e-26,2.333546164273062e-19,4.193968131332628e-16,5.039275274071656e-20,0.0,1.8640567770497872e-16,2.0938524216932667e-19,1.7895743668590213e-29,1.2618168923814648e-27,1.133717943546391e-22,1.1361585167010658e-25,2.6133916760538092e-08,2.516901070693842e-20,1.2996091570086556e-29,0.0,0.0,0.0,0.0,9.860761315262648e-32,1.504632769052528e-36,0.0,2.0194839173657902e-28,3.287652298389027e-15,1.2037062152420224e-35,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,4.81482486096809e-35,2.684955009281629e-27,1.705181536102256e-19,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,2.2024425568552654e-21,1.01265261403008e-25,3.3672467031004696e-14,0.0,2.524354896707238e-29,0.0,0.0,0.0,2.0194839173657902e-28,1.88079096131566e-37,7.888609052210118e-31,2.1052494270396427e-19,4.1939681162490255e-16,7.680132011766123e-20,3.8036062336316453e-13,1.4693679385278594e-39,9.642727096589077e-40,1.4693679385278594e-39,1.1479437019748901e-39,2.938735877055719e-39,1.8640567770497875e-16,2.0938524216932667e-19,3.324527690721967e-29,2.934598239198637e-27,4.4580015005745603e-23,0.0,0.0,1.5777218104420236e-30,0.0,0.0,0.0,0.0,1.2281894994962133e-21,1.483452992153064e-25,2.6133916760553127e-08,2.337734275255543e-20,2.9021198659766864e-29,3.058869340197667e-14
7,2.1300266605490316e-15,1.3824281775130318e-14,1.6163469913692658e-07,3.8256289593680745e-08,1.7386628189180914e-07,1.6163469932581651e-07,1.7386628190798741e-07,1.8296186453278354e-15,1.8032537494721244e-16,1.6163469932582281e-07,1.3496491040661495e-07,1.7386631432838798e-07,1.3496494905697648e-07,1.6224065208422249e-15,1.8032564936662033e-16,3.825622951249644e-08,1.738662818913701e-07,3.8256229512488846e-08,3.825622951249644e-08,1.3824281776323151e-14,1.6163469932582276e-07,1.3824281776323814e-14,1.3496494916610323e-07,3.825622945546652e-08,1.3496494895501042e-07,2.1300269835109353e-15,1.6163473669385988e-07,1.3496494395154995e-07,1.7386628190798741e-07,2.1300266605488715e-15,2.3161058334776133e-23,0.0,1.3234889800848443e-23,0.0,0.0,7.888609052210118e-31,0.0,3.308722450212111e-24,0.0,1.5777218104420236e-30,0.0,9.4039548065783e-38,2.524354896707238e-29,1.1832913578315177e-30,1.9721522630525295e-31,0.0,9.4039548065783e-38,1.9721522630525295e-31,3.8483701641769445e-39,0.0,1.232595164407831e-32,9.130590080193431e-39,3.1652596728577576e-07,1.870215256574655e-22,1.3234889800848443e-23,6.971296328198083e-14,8.35937426111777e-14,1.0306112714801482e-15,1.8938318952795934e-12,1.7070497064901514e-07,0.0,3.588014513257176e-14,3.307378251617443e-14,9.504287686097795e-21,1.298703261922673e-20,3.1716960301923966e-14,7.093580574262127e-13,2.6203445283368405e-07,1.42085459051403e-07,3.750650916968988e-22,0.0,0.0,3.944304526105059e-31,0.0,0.0,0.0,1.9721522630525295e-31,0.0,1.1867004479997778e-15,5.048709793414476e-29,5.048709793414476e-29,5.048709793414476e-29,5.048709793414476e-29,5.048709793414476e-29,2.6469779601696886e-23,0.0,1.5777218104420236e-30,1.8702064845151186e-22,5.783558430591196e-13,1.3234889800848443e-23,2.6469779601696886e-23,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.262177448353619e-29,3.308722450212111e-24,6.971296653393875e-14,3.2036815531332095e-14,1.8600955286750237e-07,1.3234889800848443e-23,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,2.465190328815662e-32,0.0,5.048709793414476e-29,1.0306125699278606e-15,1.924701494052679e-12,1.7070503710596318e-07,1.353754303438062e-07,3.009265538105056e-36,9.027796614315168e-36,1.504632769052528e-36,3.009265538105056e-36,0.0,3.588014513257176e-14,3.3073782516168886e-14,7.838718749469815e-21,1.506898167206531e-20,2.880868616242826e-20,0.0,0.0,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,0.0,0.0,3.1716963454399937e-14,6.759236529699687e-13,2.620344601539103e-07,1.4208546928539555e-07,3.486149910832572e-21,4.859595468047555e-09
8,2.570789549814466e-16,5.636547434002454e-16,2.017411315631449e-08,2.2521893538766576e-08,1.0088382716861377e-08,2.017411337026239e-08,1.0088382703462077e-08,7.459808279632316e-17,2.172740629849887e-17,2.0174113370261466e-08,3.4188876453065727e-09,1.00883827510987e-08,3.418887775439066e-09,6.614949051933963e-17,2.1726926582060148e-17,2.252192632345147e-08,1.008838271683685e-08,2.252192632345173e-08,2.252192632345077e-08,5.636553280140156e-16,2.017411337026228e-08,5.636553280140888e-16,3.418888246396759e-09,2.252192637147296e-08,3.4188877250907095e-09,2.5707879487714236e-16,2.017414132403698e-08,3.4188843860524894e-09,1.0088382703462094e-08,2.570788878810807e-16,1.240770869525735e-24,0.0,1.6543612251060553e-24,7.888609052210118e-31,0.0,3.944304526105059e-31,6.310887241768095e-30,0.0,3.944304526105059e-31,3.944304526105059e-31,1.6543612251060553e-24,1.7749370367472766e-30,5.048709793414476e-29,4.930380657631324e-32,2.465190328815662e-31,1.9721522630525295e-31,2.3665827156630354e-30,2.465190328815662e-31,9.663759081420307e-32,4.1359030627651384e-25,7.888609052210118e-31,7.347257816481605e-32,1.3756979844281055e-08,6.570754664847053e-16,8.271806125530277e-25,4.784218243438545e-14,3.532830434856094e-15,7.663309256473618e-16,1.1046269119213569e-13,1.6833806167106264e-07,4.1359030627651384e-25,1.917776570426334e-15,2.338444959671387e-14,1.5229922661455178e-15,1.979479754109753e-15,2.072168086606255e-14,3.9160212957417635e-14,2.413769161438763e-07,1.4011525118410303e-07,3.9498736551134227e-16,6.617444900424222e-24,0.0,0.0,6.617444900424222e-24,6.617444900424222e-24,1.1832913578315177e-30,0.0,0.0,7.644641706577936e-08,1.3234889800848443e-23,0.0,6.617444900424222e-24,0.0,0.0,3.308722450212111e-24,4.1359030627651384e-25,1.9721522630525295e-31,5.856228395238374e-16,8.61254318740338e-08,1.3234889800848443e-23,1.3234889800848443e-23,3.970466940254533e-23,2.6469779601696886e-23,2.6469779601696886e-23,6.310887241768095e-30,0.0,4.747113402126823e-14,7.535010320182866e-16,1.2558679632787565e-07,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,0.0,0.0,7.573064690121713e-29,1.0848993413498712e-15,1.1143474655526887e-13,1.6833806567892524e-07,1.0265435559839035e-07,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,1.6543612251060553e-23,1.9177765695790828e-15,2.3525168415068566e-14,1.041432568615307e-15,2.232501924497679e-15,6.70636239753525e-08,0.0,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,4.930380657631324e-31,0.0,1.9145004748410998e-14,3.536812446036904e-14,2.4137691258472117e-07,1.4011524906222144e-07,1.6039359053291094e-15,1.2362658855381396e-08
9,2.0114749407649334e-15,1.3662462337976627e-15,2.329630667160639e-08,7.32944555901797e-09,2.3895861638698277e-09,2.3296306685159158e-08,2.389586143770699e-09,1.2504057861195517e-15,1.636473397716799e-15,2.3296306685158265e-08,3.725957415591955e-09,2.389586131465603e-09,3.7259574082898215e-09,1.2484046362431975e-15,1.6364731640835246e-15,7.329445598757741e-09,2.389586163864086e-09,7.32944559875714e-09,7.329445598756928e-09,1.3662462393809914e-15,2.3296306685159082e-08,1.3662462393810622e-15,3.725957176243915e-09,7.329445643788285e-09,3.725957458638201e-09,2.011474799115598e-15,2.3296333949501093e-08,3.725958563986131e-09,2.3895861437707297e-09,2.0114749401235753e-15,8.271806618568343e-25,1.9721522630525295e-31,0.0,1.9721522630525295e-31,9.860761315262648e-32,9.860761315262648e-32,1.262177448353619e-29,0.0,0.0,1.9721522630525295e-31,4.1359030627651384e-25,4.930380657631324e-31,0.0,1.4791141972893971e-31,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,4.930380657631324e-32,1.3638932913639394e-31,2.0679515313825692e-25,7.888609052210118e-31,1.0861712100772532e-32,9.2422174810765e-08,1.552953272312725e-16,0.0,4.8053226429514096e-14,1.5823673869517168e-16,8.092300129936264e-17,2.579888697552078e-14,1.6648298762794399e-07,8.271806125530277e-25,1.8365159594638933e-17,2.3360157022595202e-14,1.754850540791835e-15,1.0197606801575542e-15,2.2954392353529972e-14,8.839742980110985e-15,9.75939926069859e-09,1.385711846604949e-07,1.2826128761728703e-16,6.617444900424222e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,3.944304526105059e-31,2.9582283945787943e-31,7.888609052210118e-31,7.62793362916103e-08,1.3234889800848443e-23,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,1.9721522630525295e-31,1.3840766620321995e-16,8.593716829133312e-08,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,1.3234889800848443e-23,1.3234889800848443e-23,6.310887241768095e-30,8.271806125530277e-25,4.762568917019983e-14,2.858880970813926e-16,4.2112197838099205e-08,1.9852334701272664e-23,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,9.860761315262648e-31,7.888609052210118e-31,0.0,4.2734410362808944e-16,2.6536155465232484e-14,1.664829914068252e-07,1.012506264921636e-07,6.617444900424222e-24,6.617444900424222e-24,0.0,6.617444900424222e-24,6.617444900424222e-24,1.836516346263561e-17,2.3393415571661667e-14,1.1999788873666957e-15,7.446160717402758e-16,6.691704952540613e-08,4.1359030627651384e-25,1.2407709188295415e-24,8.271806125530277e-25,8.271806125530277e-25,1.2407709188295415e-24,5.423418723394456e-31,8.271806125530277e-25,2.2442404669806112e-14,7.761032516533772e-15,9.759398724559123e-09,1.3857118216834664e-07,5.208405703904332e-16,6.651445032678259e-09
