,Y3Z2,Y2Z3,Y0Z4,Y4Z0,Y5Z4,Y4Z5,Y5Z2,Y2Z5,Y4Z2,Y2Z4,Y5Z1,Y1Z5,Y3Z0,Y0Z3,Y1Z4,Y4Z1,Y2Z0,Y0Z2,Y2Z1,Y1Z2,Y1Z3,Y3Z1,Y5Z0,Y0Z5,Y1Z0,Y0Z1,Y5Z3,Y3Z5,Y4Z3,Y3Z4,standard_y,Y5,Y2,X3Y5,X0Y2,X1Y4,X5Y3,X4Y2,X3Y4,X2Y5,X2Y3,X2Y0,X1Y2,X0Y3,X0Y1,X2Y1,Y3,Y0,X5Y1,X4Y3,X4Y1,X4Y0,X3Y0,X1Y3,X1Y0,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y2,X3Y1,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0X5,X0X4,X0X3,X0X2,X0X1,X0
6,1.658024108103311e-08,1.6580241081034432e-08,4.5479544527804223e-08,4.54795445278042e-08,1.5675926262565012e-09,1.878431821392389e-08,1.893832164211468e-09,6.772287090853276e-09,4.1473157154585026e-08,6.45693711429487e-09,2.286457040126822e-09,2.2864570401268234e-09,1.0917716650949948e-08,7.886307353346453e-09,7.569787052344041e-10,1.878431821392389e-08,6.456937114294843e-09,7.886307353346447e-09,6.772287090853276e-09,4.2948828318251394e-10,4.2948828318251353e-10,2.2281921019161657e-09,1.5675926262564968e-09,4.629936813851515e-09,7.569787052344014e-10,4.629936813851515e-09,1.893832164211468e-09,2.2281921019161657e-09,4.147315715458502e-08,1.0917716650949935e-08,2.4298430493745188e-24,0.0,8.271806125530277e-25,3.0814879110195774e-33,0.0,6.162975822039155e-33,3.0814879110195774e-33,0.0,4.930380657631324e-32,3.0814879110195774e-33,1.1102230246251565e-16,1.8488927466117464e-32,1.5407439555097887e-33,1.232595164407831e-32,1.8198533341690326e-33,1.5407439555097887e-33,0.0,0.0,2.7755575615628914e-17,2.465190328815662e-32,4.622231866529366e-33,2.7755575615628914e-17,1.232595164407831e-32,0.0,2.3931184191780458e-33,6.475348972034168e-14,7.358156153864384e-24,1.6543612251060553e-24,9.676313332250012e-23,2.449108130774715e-21,3.7460904417514507e-23,1.1229933829222922e-21,2.7475436256965894e-08,7.594403037922953e-09,6.163750587988233e-24,8.010414550065912e-23,6.794517638107357e-23,5.169878828456423e-26,5.260449448308639e-24,2.3443714314565643e-08,1.9363492805666365e-21,2.217085598372892e-21,4.188035119745651e-24,0.0,0.0,0.0,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,0.0,3.0814879110195774e-33,8.302658238608889e-17,1.9721522630525295e-31,9.860761315262648e-32,0.0,1.9721522630525295e-31,4.930380657631324e-32,1.232595164407831e-32,8.554860906522567e-24,1.7469421946294217e-15,0.0,0.0,1.5777218104420236e-30,0.0,3.1554436208840472e-30,0.0,7.703719777548943e-34,1.558792712913181e-22,2.385049800376015e-21,4.566437717563775e-14,0.0,0.0,0.0,0.0,0.0,0.0,8.730177417914217e-23,2.015123587667843e-21,2.7475436256965966e-08,2.1870972218413573e-14,7.703719777548943e-34,1.5407439555097887e-33,3.851859888774472e-34,3.851859888774472e-34,1.5407439555097887e-33,0.0,7.594403037922953e-09,8.732894209269094e-24,1.456819726172486e-22,9.703548129717791e-23,4.4087259439755526e-17,0.0,4.930380657631324e-32,1.8488927466117464e-32,1.8488927466117464e-32,0.0,6.162975822039155e-33,0.0,8.02165951970754e-24,2.344371431456566e-08,2.118199143252638e-21,2.277304712792523e-21,5.46574998565684e-24,9.078036372543791e-16
7,3.7896920993699196e-08,3.789692099370091e-08,1.1121343106938165e-08,1.1121343106938159e-08,1.5292881632947748e-09,4.593424363765094e-09,1.8475559679761008e-09,1.5479197653060823e-08,1.0141640934027536e-08,1.4758412407019853e-08,2.2305869706073836e-09,2.2305869706073844e-09,2.495427197533089e-08,1.9284786343828937e-09,7.384817677700387e-10,4.593424363765094e-09,1.4758412407019853e-08,1.9284786343828833e-09,1.5479197653060823e-08,4.1899364461372487e-10,4.1899364461372317e-10,5.092906649089597e-09,1.5292881632947744e-09,1.1321818721998794e-09,7.384817677700383e-10,1.1321818721998794e-09,1.8475559679760985e-09,5.092906649089597e-09,1.0141640934027526e-08,2.495427197533089e-08,2.4039936552322367e-24,2.0679515313825692e-25,1.6543612251060553e-24,6.162975822039155e-33,2.465190328815662e-32,1.5407439555097887e-33,0.0,2.465190328815662e-32,1.232595164407831e-32,0.0,5.551115123125783e-17,9.244463733058732e-33,0.0,0.0,2.2945649728051052e-34,0.0,0.0,1.0339757656912846e-25,2.7755575615628914e-17,0.0,3.851859888774472e-34,0.0,2.1570415377137042e-32,3.0814879110195774e-33,2.7910937865924395e-34,7.493243380375327e-14,9.31096510828195e-25,8.271806125530277e-25,1.0511603033090055e-22,3.8514693398269784e-22,4.2224239354026714e-23,7.458946077515475e-22,3.115997612555618e-08,8.612835666605033e-09,6.277668515628013e-25,8.656590679599821e-23,7.556471119121279e-23,2.5849394142282115e-26,3.5091818440418696e-25,2.658758796417739e-08,5.213517990945178e-22,4.509591518284638e-22,2.517038530769877e-25,0.0,0.0,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,0.0,3.0814879110195774e-33,7.703719777548943e-34,9.185986354787412e-17,0.0,0.0,1.232595164407831e-32,0.0,3.0814879110195774e-33,0.0,9.461412102343522e-25,8.863778098980545e-17,0.0,0.0,1.5777218104420236e-30,0.0,0.0,0.0,6.162975822039155e-33,1.7023118911918695e-22,2.370942875677107e-22,5.044705650143781e-14,1.5777218104420236e-30,0.0,7.888609052210118e-31,1.5777218104420236e-30,7.888609052210118e-31,2.465190328815662e-32,9.610161265199488e-23,2.1553708345231504e-22,3.115997612555637e-08,2.4470270656671607e-14,1.5407439555097887e-33,0.0,0.0,0.0,4.622231866529366e-33,0.0,8.612835666605033e-09,8.169371564431437e-25,1.5815390363259763e-22,1.070065470929142e-22,4.87777470774738e-17,0.0,0.0,7.703719777548943e-34,7.703719777548943e-34,0.0,1.5407439555097887e-33,0.0,4.011125098366893e-25,2.658758796417739e-08,2.418143942961995e-22,2.652483208181797e-22,1.130291523636966e-25,2.141687459712868e-16
8,3.392799897102599e-09,1.2408268444237914e-08,1.0553709491722392e-08,1.2693646373941818e-08,6.594421982226107e-09,1.1662724537347873e-08,5.518979407064226e-09,6.788784757372368e-09,2.0821085031356864e-08,1.3282964875825525e-08,7.169112489508963e-09,8.773096216526777e-09,4.7611130302222845e-09,1.203306999031922e-08,9.64301767306215e-10,1.1662724537347865e-08,1.3282964875825591e-08,1.2033069990319203e-08,6.788784757372366e-09,9.613376450502199e-10,9.613376450502199e-10,1.1927675960524535e-09,6.594421982236635e-09,6.342404178713307e-09,9.643017673086596e-10,6.342404178713301e-09,5.518979407064225e-09,1.1927675960524522e-09,2.082108503135687e-08,4.761113030222261e-09,5.686866711302065e-25,4.1359030627651384e-25,8.271806125530277e-25,2.465190328815662e-32,0.0,1.6562997521730228e-32,0.0,6.162975822039155e-32,4.930380657631324e-32,0.0,2.7755575615628914e-17,6.162975822039155e-33,6.162975822039155e-33,1.232595164407831e-32,3.967415685437706e-32,3.0814879110195774e-33,0.0,4.1359030627651384e-25,6.938893903907228e-18,4.930380657631324e-32,1.232595164407831e-32,2.7755575615628914e-17,6.162975822039155e-33,1.8488927466117464e-32,3.543711097672514e-32,1.473787621815149e-07,9.608401726433082e-18,0.0,1.178101826343403e-16,1.6744508714677645e-15,2.148779722842542e-17,5.25629368637449e-16,9.366977751034018e-06,0.07182702380786973,1.8881335616865685e-16,1.7566862052777544e-16,2.2272792235976408e-17,2.5849394142282115e-25,3.5932452477846233e-16,0.14141048816236174,4.0249090903743665e-16,1.7241010803135556e-15,2.5278169926788287e-16,0.0,0.0,0.0,4.1359030627651384e-25,4.1359030627651384e-25,2.465190328815662e-32,0.0,0.0,5.207426179049469e-09,3.308722450212111e-24,1.6543612251060553e-24,1.6543612251060553e-24,3.308722450212111e-24,1.6543612251060553e-24,0.0,3.93087684507092e-16,3.7838497879136304e-08,0.0,1.2407709188295415e-24,4.1359030627651384e-25,8.271806125530277e-25,1.2407709188295415e-24,0.0,0.0,5.367570168689202e-17,1.7244601039899701e-15,1.4873267115596356e-08,0.0,4.1359030627651384e-25,0.0,1.6543612251060553e-24,2.0679515313825692e-24,2.465190328815662e-32,1.62549403981526e-16,2.770494754988837e-16,9.366977751016671e-06,1.7361273944698027e-08,2.0679515313825692e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,4.1359030627651384e-25,6.938893903907228e-18,0.07182702380786976,1.5805437811432467e-16,4.0387025605678437e-17,2.752276190523109e-17,1.0989488472488368e-08,0.0,2.481541837659083e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.3234889800848443e-23,0.0,2.7755575615628914e-17,1.1594337040920434e-16,0.14141048816236207,2.7993567236129425e-16,1.8750008847938522e-15,5.076705469338378e-17,6.11088085905464e-08
9,0.00013653578007732876,0.00019225580476076287,0.0007150994235398229,0.0002524893334338909,7.27866240619816e-08,9.0525170544337e-06,7.163312922781459e-08,7.694582171201723e-05,0.00022187854844234385,0.00018581660308793988,1.2483919447295632e-07,2.3468311002980295e-07,0.00013107174781938033,0.0007069460296305016,5.654292965237117e-08,9.052517054442861e-06,0.00018581658351347373,0.0007069460255614059,7.69458217120146e-05,5.74448474509606e-08,5.744484982022681e-08,3.1456545153359804e-05,7.278663503634933e-08,0.00016700336416862731,5.6542884881641153e-08,0.00016700336416860173,7.163312613478475e-08,3.145654515336073e-05,0.00022187854680703523,0.00013107175199464724,5.421010862427522e-20,0.0,6.776263578034403e-21,0.0,0.0,0.0,2.0194839173657902e-28,0.0,0.0,1.6155871338926322e-27,6.938893903907228e-18,0.0,0.0,3.308722450212111e-24,4.6665625368032826e-27,0.0,2.0328790734103208e-20,0.0,1.3877787807814457e-17,1.6543612251060553e-24,0.0,0.0,0.0,0.0,3.3997327880018776e-27,8.907669163621214e-05,3.6912592635116915e-11,2.710505431213761e-20,3.4110392868564064e-11,2.4011369179333585e-08,6.020437007963739e-12,5.515386078687292e-09,0.07913982511372276,0.16519662188408002,2.666388386542207e-11,2.7889713147764794e-11,1.2496061060506956e-11,0.0,1.842757809477556e-10,0.0003365403123710016,1.600093120702086e-08,2.0535290712703853e-08,1.0396083985299297e-10,0.0,1.3234889800848443e-23,1.3234889800848443e-23,1.3234889800848443e-23,0.0,1.2924697071141057e-26,1.6155871338926322e-27,0.0,1.259711954122426e-08,6.776263578034403e-21,0.0,3.3881317890172014e-21,0.0,0.0,0.0,2.5100841733473396e-11,4.843368987088731e-05,1.6940658945086007e-21,1.6940658945086007e-21,3.3881317890172014e-21,3.3881317890172014e-21,0.0,1.3877787807814457e-17,5.048709793414476e-29,5.607882621826438e-12,2.2095974323076054e-08,2.1850555014777212e-05,1.6940658945086007e-21,0.0,6.776263578034403e-21,8.470329472543003e-21,6.776263578034403e-21,1.6543612251060553e-24,7.06417034352828e-12,5.17382661522361e-09,0.07913982426217134,2.9473812801869308e-05,6.617444900424222e-24,9.926167350636332e-24,6.617444900424222e-24,1.3234889800848443e-23,3.308722450212111e-24,1.3877787807814457e-17,0.16519662188408007,2.4629347271426937e-11,2.125568325772984e-12,2.1467013180260853e-11,8.954713626167545e-08,0.0,1.6940658945086007e-21,0.0,6.776263578034403e-21,6.776263578034403e-21,0.0,6.938893903907228e-18,8.003525619445454e-11,0.0003365324669479083,3.058465199995964e-09,3.375266153608062e-08,9.95167157611011e-11,9.206951383777424e-05
10,0.00014534985101348507,0.0005092283354563569,0.0005434061705422885,4.400153739973119e-05,5.9504153807312904e-09,4.4262346405893456e-05,4.894397137153641e-09,0.0005088525272126769,4.4423721470824846e-05,0.0005090825180868407,5.258093635182237e-09,4.875341139689885e-07,0.0001446364281468454,0.0005433592882462248,4.873699926814839e-07,4.4262346405861085e-05,0.0005090825777281362,0.0005433600087905081,0.000508852527213408,4.881934665933123e-07,4.881932065412394e-07,0.00014473571898379053,5.9503501821462365e-09,0.0005436546063825213,4.873700958091119e-07,0.0005436546063826277,4.8951926860384225e-09,0.00014473571898389353,4.442352738680353e-05,0.00014463636040919133,3.3881317890172014e-20,0.0,0.0,1.0339757656912846e-25,0.0,1.9387045606711586e-26,0.0,3.308722450212111e-24,5.293955920339377e-23,6.462348535570529e-27,2.168404344971009e-19,0.0,1.2924697071141057e-26,0.0,6.600637238925332e-27,1.2924697071141057e-26,1.3552527156068805e-20,5.421010862427522e-20,1.3552527156068805e-20,5.293955920339377e-23,1.9387045606711586e-26,0.0,7.496324301261813e-25,2.5849394142282115e-26,2.0796307095290036e-27,0.0013919371878719055,4.161395399644074e-10,6.776263578034403e-21,4.6481616364051236e-10,1.0727562904104474e-06,3.4957760224162214e-10,4.868063049287384e-08,0.000949970729180352,0.00048189904061004033,9.780206325352592e-11,1.3769515681906576e-10,1.0661337311130346e-09,0.0,2.606098605890412e-10,7.700605493714285e-05,2.302665423754155e-07,5.312575323938893e-09,1.554199333771026e-10,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,6.462348535570529e-27,2.5849394142282115e-26,1.2205293709401158e-08,6.776263578034403e-21,1.3552527156068805e-20,0.0,6.776263578034403e-21,6.776263578034403e-21,0.0,4.21090835698948e-10,9.98510582001343e-05,5.421010862427522e-20,5.421010862427522e-20,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,6.462348535570529e-27,4.711543634149157e-11,1.0863868498725915e-06,0.000699877461045307,1.0842021724855044e-19,2.710505431213761e-20,5.421010862427522e-20,5.421010862427522e-20,5.421010862427522e-20,0.0,2.659858397441345e-10,1.0167449663181896e-07,0.0009499230053726064,0.0003869852888749685,2.6469779601696886e-23,2.6469779601696886e-23,5.293955920339377e-23,2.6469779601696886e-23,7.940933880509066e-23,2.710505431213761e-20,0.00048189904061225546,1.851951946187447e-10,2.560990288463433e-10,1.1425290105283266e-09,8.098753002921404e-07,0.0,0.0,2.710505431213761e-20,0.0,2.710505431213761e-20,6.462348535570529e-27,0.0,2.7526177486942074e-10,7.701447300095747e-05,1.3079765110329372e-07,9.132396124083745e-09,2.031910732404982e-10,0.00040410341555776295
11,7.014698387223167e-08,1.269226366842578e-07,3.962212616988733e-07,1.84434851225363e-08,4.839094864039128e-09,1.8443505088376182e-08,4.83903654011555e-09,1.2692263213569772e-07,1.8443489425234788e-08,1.2692251293628521e-07,4.839173426533179e-09,2.998118921923808e-07,7.014698502494267e-08,3.962212818530242e-07,2.998118791672499e-07,1.844350508836909e-08,1.269225129362965e-07,3.9622128185304225e-07,1.2692263213570484e-07,2.998119080600996e-07,2.9981190806008425e-07,7.014692609237967e-08,4.839094864173364e-09,3.962212680784707e-07,2.998118791670304e-07,3.9622126807848187e-07,4.8390365401299846e-09,7.014692609240316e-08,1.8443489425238593e-08,7.014698502493726e-08,1.406207041340147e-23,8.271806125530277e-25,1.3234889800848443e-23,0.0,1.5777218104420236e-30,1.262177448353619e-29,3.155443620884047e-29,3.1554436208840472e-30,1.262177448353619e-29,3.1554436208840472e-30,5.293955920339377e-23,3.1554436208840472e-30,2.524354896707238e-29,6.310887241768095e-30,1.2262877438399627e-30,1.262177448353619e-29,1.3234889800848443e-23,0.0,6.617444900424222e-24,1.262177448353619e-29,6.310887241768095e-30,0.0,0.0,6.310887241768095e-30,1.3111731061388302e-30,5.742505843389121e-07,6.314247910581476e-14,0.0,2.863504006257356e-13,6.791627276053031e-14,3.1342336407110784e-14,1.515188245986374e-15,3.042696215166644e-07,5.181149115931089e-08,4.155458673501104e-14,3.449246310199779e-14,3.74023487271801e-14,1.3234889800848443e-23,1.166169353288855e-13,5.354140810400563e-07,1.9425097361211903e-14,1.978694572117178e-14,9.96176991418625e-15,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.262177448353619e-29,7.888609052210118e-31,1.262177448353619e-29,2.7045805984444823e-08,1.6543612251060553e-24,1.6543612251060553e-24,0.0,1.6543612251060553e-24,1.6543612251060553e-24,0.0,6.315437931583427e-14,1.8145088706065724e-08,0.0,0.0,2.6469779601696886e-23,0.0,0.0,2.6469779601696886e-23,3.944304526105059e-30,3.0047742647570523e-13,6.342463635318971e-14,3.90818475103306e-07,0.0,1.3234889800848443e-23,0.0,2.6469779601696886e-23,2.6469779601696886e-23,3.1554436208840472e-30,6.453325212969136e-14,5.392334198103429e-15,3.042696076889523e-07,1.3357626222068205e-07,2.6469779601696886e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,4.963083675318166e-24,5.181149115724548e-08,4.301446110386688e-14,7.150466011032054e-14,6.330320514428664e-14,5.5445839651805e-07,2.6469779601696886e-23,0.0,0.0,0.0,2.6469779601696886e-23,0.0,2.6469779601696886e-23,1.0948357501361667e-13,5.354140816674301e-07,3.074624344338769e-14,2.540236620118073e-15,5.849738742892112e-14,2.68133683425107e-07
