,Y2Z1,Y1Z2,Y1Z4,Y4Z1,Y5Z2,Y2Z5,Y3Z2,Y2Z3,Y1Z3,Y3Z1,Y1Z0,Y0Z1,Y0Z4,Y4Z0,Y4Z2,Y2Z4,Y5Z3,Y3Z5,Y5Z4,Y4Z5,Y5Z1,Y1Z5,Y5Z0,Y0Z5,Y4Z3,Y3Z4,Y3Z0,Y0Z3,Y2Z0,Y0Z2,Y2,X3Y4,X2Y4,X2Y0,X0Y2,standard_y,Y0,X5Y4,X5Y3,X4Y3,X3Y2,X1Y5,X1Y3,X0Y1,X1Y2,Y5,X5Y1,X4Y5,X3Y5,X3Y1,X2Y1,X1Y4,X1Y0,X0Y5,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4Y1,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9146223207791905,0.9146223207791904,0.8646959554344813,0.8646959554344811,0.8306131699639854,0.8306131699639854,0.8288422184314299,0.8288422184314299,0.7880511194077157,0.7880511194077156,0.6842409524120732,0.6842409524120732,0.6051238577411882,0.6051238577411879,0.567045513075952,0.567045513075952,0.5482162967972464,0.5482162967972464,0.44028181688454704,0.44028181688454704,0.41453267235172464,0.41453267235172464,0.32803603202013143,0.32803603202013143,0.3211950552460766,0.3211950552460766,0.16691480626669292,0.16691480626669286,0.09583730847680422,0.09583730847680416,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.469446951953614e-17,3.469446951953614e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0006514987074139396,0.0006514987074139396,0.000615935435286223,0.2976505862156962,0.4160806027775331,0.0005916577742510346,0.0407912989491148,0.0005903962998608516,0.0005613402100583376,0.04079088874977591,0.00048739472668497255,0.5884036682488092,0.6051238577411882,0.6051238577411882,0.2976502229886421,0.0004039147202302372,0.5482162967972464,0.5482162967972464,0.44028181688454715,0.44028181688454715,0.41608028688903925,0.0002952776179657603,0.3280360320201316,0.3280360320201315,0.3211950552460767,0.3211950552460767,0.16691480626669292,0.16691480626669294,6.82663009377208e-05,0.5884034703460908,0.0,0.0,0.0,5.421010862427522e-20,0.0,2.0789576657409548e-17,5.551115123125783e-17,0.0,0.0,4.85722573273506e-17,0.0,4.0657581468206416e-20,3.3881317890172014e-20,2.371692252312041e-20,2.7755575615628914e-17,0.0,1.3552527156068805e-20,2.7755575615628914e-17,2.7755575615628914e-17,1.3552527156068805e-20,5.551115123125783e-17,5.421010862427522e-20,2.710505431213761e-20,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,4.0657581468206416e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00020963538187664755,0.00020963538187664758,4.1362219015712245e-05,0.0011417407179191111,0.4160805085009186,0.00019038012206921707,0.04079111972369667,0.00018997421233754106,0.00018062471645631284,0.0407910772522594,4.1359607155141744e-05,0.002257024591618215,0.0023211607136201413,0.0023211607136201413,0.0011417405736607062,0.00010800311503069535,0.5482162967972464,0.5482162967972461,0.11224819818503139,0.0016888523617107209,0.4160804757942878,9.501267692086069e-05,0.11224254576540894,0.0012582950423062475,0.001232054122653869,0.15428147695102018,0.15427788598699002,0.000640259156652639,0.00010800199725921242,0.0022570245130196353,1.3552527156068805e-20,0.0,5.293955920339377e-23,5.293955920339377e-23,5.293955920339377e-23,1.142596623869216e-16,0.0,2.168404344971009e-19,3.469446951953614e-18,2.710505431213761e-20,4.0657581468206416e-20,5.082197683525802e-21,0.0,1.9852334701272664e-23,2.7755575615628914e-17,5.551115123125783e-17,1.6940658945086007e-21,1.0842021724855044e-19,5.551115123125783e-17,1.3552527156068805e-20,2.7755575615628914e-17,0.0,2.6469779601696886e-23,1.0842021724855044e-19,0.0,0.0,2.168404344971009e-19,0.0,0.0,5.898059818321144e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0001267344833038365,0.0001267344833038365,2.500471684529686e-05,3.453938432236512e-05,0.00040024941511997386,2.454447296311617e-07,3.923908111992173e-05,2.453383409629334e-07,5.175654543255383e-05,3.923906618817127e-05,2.5004715400280248e-05,6.827841105699236e-05,7.021862604098114e-05,7.021862604098112e-05,3.453938272740927e-05,6.529288326278756e-05,0.0005273576899491282,0.0005273576899491282,0.00010797504438145939,1.381885561126258e-05,0.00040024940362125175,5.1756468334194367e-05,0.0001079750394054594,1.8696530266517712e-05,1.381881472837553e-05,0.00014841017455062715,0.00014841017138939036,1.869650369313124e-05,6.529288264437848e-05,6.827841018798743e-05,1.3552527156068805e-20,3.308722450212111e-24,8.271806125530277e-25,0.0,1.6543612251060553e-24,2.541098841762901e-20,6.776263578034403e-21,6.617444900424222e-24,0.0,2.895132143935597e-24,1.3234889800848443e-23,8.271806125530277e-25,0.0,3.59756811078615e-26,0.0,0.0,4.1359030627651384e-24,0.0,5.551115123125783e-17,8.271806125530277e-25,2.7755575615628914e-17,8.271806125530277e-25,2.0770389624916824e-25,3.308722450212111e-24,0.0,0.0,6.776263578034403e-21,0.0,0.0,4.743384504624082e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.082197683525802e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0
4,3.6596292300480403e-06,3.6596292300480403e-06,7.220449236654859e-07,1.2058160668193807e-06,1.9790983498109056e-07,7.086013370372451e-09,1.9402398631977656e-08,7.086013369621177e-09,1.494539325963417e-06,1.940239862582118e-08,7.220449236146292e-07,2.3836906204483295e-06,2.4514261234996393e-06,2.4514261234996393e-06,1.2058160667729508e-06,1.8854201125588928e-06,2.6076059189231553e-07,2.6076059189231553e-07,5.339001680606634e-08,4.824341243680892e-07,1.9790983497634956e-07,1.4945393259628728e-06,5.339001680306748e-08,6.527205576337406e-07,4.824341243677401e-07,7.338382546550585e-08,7.338382546360071e-08,6.527205576335137e-07,1.8854201125371282e-06,2.383690620423033e-06,2.117582368135751e-22,1.0097419586828951e-28,0.0,0.0,0.0,3.970466940254533e-23,2.117582368135751e-22,5.048709793414476e-29,2.7755575615628914e-17,2.524354896707238e-29,0.0,2.524354896707238e-29,5.048709793414476e-29,8.522773061214258e-29,0.0,1.3234889800848443e-23,2.524354896707238e-29,5.048709793414476e-29,0.0,0.0,2.7755575615628914e-17,1.6155871338926322e-27,3.7077761407870496e-29,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0720034252644759e-08,1.0720034252644504e-08,2.1150629822957864e-09,9.064373652715482e-09,7.843783458030189e-09,2.075683116101306e-11,7.689775165940227e-10,2.0756831161009718e-11,4.377906000614656e-09,7.689775165940214e-10,2.115062982295778e-09,1.7918705058816127e-08,1.8427887119118877e-08,1.8427887119118877e-08,9.064373652715482e-09,5.522900522619114e-09,1.0334754800855865e-08,1.0334754800855868e-08,2.116012732165065e-09,3.626559047013723e-09,7.843783458030187e-09,4.3779060006146525e-09,2.1160127321650575e-09,4.9066380753216464e-09,3.6265590470137192e-09,2.9084296711570036e-09,2.908429671156999e-09,4.906638075321646e-09,5.522900522619109e-09,1.7918705058816127e-08,8.271806125530277e-25,1.232595164407831e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,1.34416849539867e-24,0.0,1.232595164407831e-32,0.0,6.162975822039155e-33,1.232595164407831e-32,0.0,6.162975822039155e-33,1.072879571467256e-33,1.3877787807814457e-17,0.0,6.162975822039155e-33,2.465190328815662e-32,0.0,1.5407439555097887e-33,2.7755575615628914e-17,1.232595164407831e-32,4.736484039957538e-33,2.465190328815662e-32,8.76293010139623e-14,6.32139786144484e-24,0.0,3.1313138114724467e-09,8.325467597765071e-24,1.0339757656912846e-25,1.3661011208271772e-21,1.8318118431346932e-21,1.663884437878034e-21,1.6807523784070763e-21,1.4639331303380175e-21,1.6973280081599984e-21,4.948733786468364e-09,6.203854594147708e-25,2.851538247560064e-24,1.8950126272322503e-09,8.828767454519105e-24,1.410623917667162e-21,6.9116357064158235e-22,0.0,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,0.0,4.930380657631324e-32,2.0127934693314473e-16,6.162975822039155e-33,9.244463733058732e-33,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,2.465190328815662e-32,0.0,1.4360261680456115e-23,3.1357362941988946e-16,1.5407439555097887e-33,6.162975822039155e-33,1.232595164407831e-32,1.232595164407831e-32,6.162975822039155e-33,2.465190328815662e-32,3.1313138114724475e-09,1.2336776803728045e-23,1.3494453077063935e-16,6.656013887802287e-31,3.1554436208840472e-30,9.244463733058732e-31,3.1554436208840472e-30,3.1554436208840472e-30,6.162975822039155e-33,1.232595164407831e-32,1.734467199353283e-21,1.7869361142745353e-21,1.9926033956701514e-21,4.66220553506907e-14,3.944304526105059e-31,1.5777218104420236e-30,3.944304526105059e-31,0.0,1.5777218104420236e-30,1.879161187174391e-21,1.633067261631601e-21,1.6209162839369326e-21,4.948733786468206e-09,4.0536182026197556e-14,2.465190328815662e-32,0.0,1.232595164407831e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,3.0814879110195774e-33,1.7745559114424084e-23,1.8950126272322594e-09,1.5446399423713372e-23,1.6349649641556357e-21,1.784853790773679e-21,4.937138853579352e-16
6,1.0720034252645388e-08,1.0720034252645136e-08,2.115062982295939e-09,7.319887350083897e-10,4.505255849683437e-09,2.0756831161326803e-11,4.416797676080017e-10,2.0756831161326015e-11,4.3779060006145185e-09,4.4167976760800096e-10,2.115062982295939e-09,1.447015618675638e-09,1.488134348605567e-09,1.4881343486055654e-09,7.319887350083897e-10,5.522900522619291e-09,5.936002028961247e-09,5.936002028961248e-09,1.2153801530346358e-09,2.928608716898542e-10,4.505255849683437e-09,4.377906000614517e-09,1.2153801530346358e-09,3.962329815058697e-10,2.928608716898541e-10,1.6705228872628227e-09,1.6705228872628227e-09,3.962329815058696e-10,5.522900522619291e-09,1.447015618675638e-09,8.271806125530277e-25,7.703719777548943e-34,0.0,0.0,0.0,1.137373342260413e-24,0.0,7.703719777548943e-34,0.0,6.7407548053553255e-34,0.0,7.703719777548943e-34,7.703719777548943e-34,4.190637360681455e-35,0.0,0.0,1.5407439555097887e-33,0.0,0.0,4.622231866529366e-33,2.7755575615628914e-17,1.5407439555097887e-33,2.2727595525973518e-34,7.703719777548943e-34,6.953748950083985e-14,2.062408204920526e-24,1.0339757656912846e-25,3.732581915531098e-09,1.9862546774681054e-24,0.0,6.247395758993261e-22,3.780098567447866e-22,7.605496976759414e-22,7.683684431555624e-22,4.0064950537996303e-22,7.7640812912727055e-22,5.8989789424749505e-09,2.0679515313825692e-25,2.571027444026308e-24,2.258888852405275e-09,2.39382636413936e-24,4.037954566668371e-22,4.497713195359293e-22,6.162975822039155e-33,0.0,1.232595164407831e-32,1.232595164407831e-32,6.162975822039155e-33,1.232595164407831e-32,1.5407439555097887e-33,1.3780844498628585e-16,6.162975822039155e-33,9.244463733058732e-33,0.0,0.0,0.0,3.0814879110195774e-33,7.703719777548943e-34,0.0,2.481664150054665e-24,1.718002598614531e-16,3.0814879110195774e-33,9.244463733058732e-33,6.162975822039155e-33,0.0,6.162975822039155e-33,0.0,3.732581915531098e-09,2.5929155352441003e-24,9.239147596735438e-17,4.437342591868191e-31,0.0,1.232595164407831e-30,0.0,0.0,0.0,6.162975822039155e-33,7.932214900692399e-22,1.9639545778996695e-22,9.111305723354989e-22,3.7128792988489546e-14,1.9721522630525295e-31,1.5777218104420236e-30,1.9721522630525295e-31,7.888609052210118e-31,1.5777218104420236e-30,8.59310258080443e-22,3.017948263567133e-22,7.413267482104e-22,5.898978942474823e-09,3.22732049545623e-14,1.232595164407831e-32,2.465190328815662e-32,1.5407439555097887e-32,1.232595164407831e-32,1.232595164407831e-32,0.0,9.62964972193618e-35,2.697478019858883e-24,2.2588888524052744e-09,2.8252237901031132e-24,3.016153618236941e-22,1.9654215301338128e-22,1.9389121888019415e-16
7,1.073907637974311e-08,1.0739076379742859e-08,2.1188199943706558e-09,7.319887350083902e-10,4.510205999330731e-09,2.0793701772727146e-11,4.421650632313335e-10,2.079370177272588e-11,4.385682528237554e-09,4.421650632313328e-10,2.1188199943706558e-09,1.447015618675639e-09,1.488134348605568e-09,1.4881343486055665e-09,7.319887350083902e-10,5.532710917924123e-09,5.942524210903936e-09,5.9425242109039366e-09,1.2167155519190956e-09,2.928608716898544e-10,4.510205999330731e-09,4.385682528237554e-09,1.2167155519190956e-09,3.962329815058699e-10,2.928608716898543e-10,1.6723583742045377e-09,1.6723583742045377e-09,3.962329815058698e-10,5.532710917924123e-09,1.447015618675639e-09,0.0,1.5407439555097887e-33,3.0814879110195774e-33,0.0,1.5407439555097887e-33,1.550963648536927e-25,0.0,7.703719777548943e-34,0.0,4.81482486096809e-34,2.465190328815662e-32,3.851859888774472e-33,7.703719777548943e-34,1.5289361147557788e-34,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,2.7755575615628914e-17,0.0,1.3879355673746454e-34,7.703719777548943e-34,6.951901835813379e-14,2.0644396739536177e-24,0.0,3.732157760373974e-09,1.988211138039389e-24,5.169878828456423e-26,6.252616234327016e-22,3.7790826958260243e-22,7.611830784886317e-22,7.690089657587464e-22,4.0054037665889694e-22,7.770580374846847e-22,5.898308606927911e-09,2.0679515313825692e-25,2.5735598923337162e-24,2.2586321616272014e-09,2.3961842795570304e-24,4.036851569079987e-22,4.496481382591842e-22,0.0,1.232595164407831e-32,0.0,1.232595164407831e-32,0.0,0.0,0.0,1.3794418482095344e-16,3.0814879110195774e-33,3.0814879110195774e-33,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,2.48410859339682e-24,1.717807371911233e-16,1.5407439555097887e-33,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,3.0814879110195774e-33,1.5407439555097887e-33,3.732157760373974e-09,2.5954695565626052e-24,9.248248057649679e-17,3.944304526105059e-31,3.1554436208840472e-30,1.1832913578315177e-30,3.1554436208840472e-30,3.1554436208840472e-30,0.0,6.162975822039155e-33,7.938844555984384e-22,1.9633883145480274e-22,9.1189124867004e-22,3.7119082497909527e-14,7.888609052210118e-31,0.0,0.0,0.0,0.0,8.60027972056261e-22,3.0171157092870394e-22,7.41946545721488e-22,5.898308606927783e-09,3.2264712602545866e-14,6.162975822039155e-33,0.0,9.244463733058732e-33,1.232595164407831e-32,1.232595164407831e-32,0.0,2.8888949165808538e-34,2.7001350406866886e-24,2.258632161627201e-09,2.8280066373148276e-24,3.0153191790925515e-22,1.9648566076566395e-22,1.938691858847313e-16
8,1.073907637974311e-08,1.0739076379742859e-08,2.1188199943706558e-09,7.319887350083902e-10,4.510205999330731e-09,2.0793701772727146e-11,4.421650632313335e-10,2.079370177272588e-11,4.385682528237554e-09,4.421650632313328e-10,2.1188199943706558e-09,1.447015618675639e-09,1.488134348605568e-09,1.4881343486055665e-09,7.319887350083902e-10,5.532710917924123e-09,5.942524210903936e-09,5.9425242109039366e-09,1.2167155519190956e-09,2.928608716898544e-10,4.510205999330731e-09,4.385682528237554e-09,1.2167155519190956e-09,3.962329815058699e-10,2.928608716898543e-10,1.6723583742045377e-09,1.6723583742045377e-09,3.962329815058698e-10,5.532710917924123e-09,1.447015618675639e-09,0.0,1.5407439555097887e-33,3.0814879110195774e-33,0.0,1.5407439555097887e-33,1.550963648536927e-25,0.0,7.703719777548943e-34,0.0,4.81482486096809e-34,2.465190328815662e-32,3.851859888774472e-33,7.703719777548943e-34,1.5289361147557788e-34,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,2.7755575615628914e-17,0.0,1.3879355673746454e-34,7.703719777548943e-34,6.951901835813379e-14,2.0644396739536177e-24,0.0,3.732157760373974e-09,1.988211138039389e-24,5.169878828456423e-26,6.252616234327016e-22,3.7790826958260243e-22,7.611830784886317e-22,7.690089657587464e-22,4.0054037665889694e-22,7.770580374846847e-22,5.898308606927911e-09,2.0679515313825692e-25,2.5735598923337162e-24,2.2586321616272014e-09,2.3961842795570304e-24,4.036851569079987e-22,4.496481382591842e-22,0.0,1.232595164407831e-32,0.0,1.232595164407831e-32,0.0,0.0,0.0,1.3794418482095344e-16,3.0814879110195774e-33,3.0814879110195774e-33,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,2.48410859339682e-24,1.717807371911233e-16,1.5407439555097887e-33,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,3.0814879110195774e-33,1.5407439555097887e-33,3.732157760373974e-09,2.5954695565626052e-24,9.248248057649679e-17,3.944304526105059e-31,3.1554436208840472e-30,1.1832913578315177e-30,3.1554436208840472e-30,3.1554436208840472e-30,0.0,6.162975822039155e-33,7.938844555984384e-22,1.9633883145480274e-22,9.1189124867004e-22,3.7119082497909527e-14,7.888609052210118e-31,0.0,0.0,0.0,0.0,8.60027972056261e-22,3.0171157092870394e-22,7.41946545721488e-22,5.898308606927783e-09,3.2264712602545866e-14,6.162975822039155e-33,0.0,9.244463733058732e-33,1.232595164407831e-32,1.232595164407831e-32,0.0,2.8888949165808538e-34,2.7001350406866886e-24,2.258632161627201e-09,2.8280066373148276e-24,3.0153191790925515e-22,1.9648566076566395e-22,1.938691858847313e-16
9,1.073907637974311e-08,1.0739076379742859e-08,2.1188199943706558e-09,7.319887350083902e-10,4.510205999330731e-09,2.0793701772727146e-11,4.421650632313335e-10,2.079370177272588e-11,4.385682528237554e-09,4.421650632313328e-10,2.1188199943706558e-09,1.447015618675639e-09,1.488134348605568e-09,1.4881343486055665e-09,7.319887350083902e-10,5.532710917924123e-09,5.942524210903936e-09,5.9425242109039366e-09,1.2167155519190956e-09,2.928608716898544e-10,4.510205999330731e-09,4.385682528237554e-09,1.2167155519190956e-09,3.962329815058699e-10,2.928608716898543e-10,1.6723583742045377e-09,1.6723583742045377e-09,3.962329815058698e-10,5.532710917924123e-09,1.447015618675639e-09,0.0,1.5407439555097887e-33,3.0814879110195774e-33,0.0,1.5407439555097887e-33,1.550963648536927e-25,0.0,7.703719777548943e-34,0.0,4.81482486096809e-34,2.465190328815662e-32,3.851859888774472e-33,7.703719777548943e-34,1.5289361147557788e-34,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,2.7755575615628914e-17,0.0,1.3879355673746454e-34,7.703719777548943e-34,6.951901835813379e-14,2.0644396739536177e-24,0.0,3.732157760373974e-09,1.988211138039389e-24,5.169878828456423e-26,6.252616234327016e-22,3.7790826958260243e-22,7.611830784886317e-22,7.690089657587464e-22,4.0054037665889694e-22,7.770580374846847e-22,5.898308606927911e-09,2.0679515313825692e-25,2.5735598923337162e-24,2.2586321616272014e-09,2.3961842795570304e-24,4.036851569079987e-22,4.496481382591842e-22,0.0,1.232595164407831e-32,0.0,1.232595164407831e-32,0.0,0.0,0.0,1.3794418482095344e-16,3.0814879110195774e-33,3.0814879110195774e-33,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,2.48410859339682e-24,1.717807371911233e-16,1.5407439555097887e-33,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,3.0814879110195774e-33,1.5407439555097887e-33,3.732157760373974e-09,2.5954695565626052e-24,9.248248057649679e-17,3.944304526105059e-31,3.1554436208840472e-30,1.1832913578315177e-30,3.1554436208840472e-30,3.1554436208840472e-30,0.0,6.162975822039155e-33,7.938844555984384e-22,1.9633883145480274e-22,9.1189124867004e-22,3.7119082497909527e-14,7.888609052210118e-31,0.0,0.0,0.0,0.0,8.60027972056261e-22,3.0171157092870394e-22,7.41946545721488e-22,5.898308606927783e-09,3.2264712602545866e-14,6.162975822039155e-33,0.0,9.244463733058732e-33,1.232595164407831e-32,1.232595164407831e-32,0.0,2.8888949165808538e-34,2.7001350406866886e-24,2.258632161627201e-09,2.8280066373148276e-24,3.0153191790925515e-22,1.9648566076566395e-22,1.938691858847313e-16
