,Y3Z1,Y1Z3,Y4Z2,Y2Z4,Y1Z2,Y2Z1,Y1Z0,Y0Z1,Y2Z0,Y0Z2,Y5Z3,Y3Z5,Y2Z3,Y3Z2,Y5Z2,Y2Z5,Y5Z1,Y1Z5,Y4Z1,Y1Z4,Y4Z3,Y3Z4,Y5Z0,Y0Z5,Y0Z4,Y4Z0,Y0Z3,Y3Z0,Y5Z4,Y4Z5,X4Y2,Y2,Y1,Y0,X5Y2,X0Y3,standard_y,X2Y1,Y3,X5Y3,X4Y0,X3Y1,X3Y0,X2Y0,X0Y2,X1Y3,X0Y1,Y4,X4Y5,X4Y1,X1Y0,X0Y5,X1Y5,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y1,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3Y2,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y4,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y4,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9336482377098017,0.9336482377098015,0.924136409743439,0.924136409743439,0.8754126344337226,0.8754126344337225,0.8597284451918653,0.8597284451918653,0.515279828513122,0.5152798285131219,0.5027165831969249,0.5027165831969249,0.4567169660631241,0.45671696606312406,0.4459984687779923,0.44599846877799215,0.44166444094247953,0.44166444094247953,0.35141234189347925,0.35141234189347914,0.31335253476480773,0.31335253476480773,0.30912123010948794,0.3091212301094879,0.12061506360762482,0.1206150636076248,0.11361078410798159,0.11361078410798148,0.0030123493773565047,0.003012349377356463,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0009964424702555413,0.0009964424702555413,0.924136409743439,0.9241364097434388,0.0009342901241775592,0.4186959284794723,0.0009175510658889179,0.7461177257873549,0.5152798285131218,0.5152798285131219,0.06105239379062391,0.0005365277132937391,0.4186951698066926,0.00048743430715177794,0.4459984687779922,0.44599846877799215,0.06105185594792715,0.00047136939671871107,0.03805998558881424,0.00037504722645174786,0.03805960699275518,0.0003344276368665206,0.3091212301094879,0.30912123010948783,0.1206150636076248,0.1206150636076248,0.7461171714524176,0.00012125188672975704,0.0030123493773565116,0.0030123493773564457,2.7755575615628914e-17,5.551115123125783e-17,5.421010862427522e-20,0.0,0.0,1.0842021724855044e-19,3.1387652893455353e-17,2.710505431213761e-20,1.0842021724855044e-19,0.0,0.0,0.0,5.421010862427522e-20,5.551115123125783e-17,5.551115123125783e-17,0.0,2.371692252312041e-20,3.469446951953614e-18,0.0,2.710505431213761e-20,1.0164395367051604e-20,1.734723475976807e-17,2.710505431213761e-20,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0408340855860843e-17,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5091040987935024e-05,1.509104098793503e-05,0.0008116210814305513,0.0008116210814305513,8.469690851701841e-06,0.00036771869133042466,1.3896237020389213e-05,0.7461176610987247,0.0004525435501164531,0.39466481142189913,0.06105214231213977,8.125669021717255e-06,0.0003677186911775959,2.3172756561474663e-06,0.4429861205623784,0.0003916973249073243,0.06105214218877563,7.1388515631173404e-06,3.3425954792332626e-05,8.469683204138377e-06,3.342595471606731e-05,2.3172708558250953e-06,0.309121230109488,0.30912123010948794,0.3946645661826937,0.00010592995506930917,0.7461176609715777,1.8363500624716997e-06,0.44298594739687946,2.645590232696776e-06,2.7755575615628914e-17,5.421010862427522e-20,1.2705494208814505e-21,0.0,5.421010862427522e-20,2.541098841762901e-21,2.0867080172083316e-17,4.1359030627651384e-25,1.6940658945086007e-21,0.0,0.0,2.7755575615628914e-17,0.0,1.0842021724855044e-19,5.421010862427522e-20,0.0,1.7691693906792799e-22,3.3881317890172014e-21,6.776263578034403e-21,4.1359030627651384e-25,7.730801530197362e-23,3.469446951953614e-18,8.470329472543003e-22,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.550963648536927e-25,1.0339757656912846e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0164395367051604e-20,0.0,0.0,0.0,0.0,0.0,0.0
3,7.216093473838153e-07,1.3904429692299118e-11,0.0001398866728628467,0.0001398866728628467,7.803715562320686e-12,1.4619959413776876e-05,1.280357337787345e-11,1.2627249361485372e-05,1.4619959434023314e-05,6.67928220712865e-06,0.3701733723197154,4.4237611821167165e-07,1.4619959413824763e-05,1.2615657472874882e-07,0.44298611943514665,6.75108579658691e-05,0.37017337231946945,6.577522367243844e-12,1.2496402080892548e-05,7.803715353004393e-12,1.2496402080924437e-05,1.2615656696540342e-07,0.37017337235499537,5.2315486673388516e-06,6.679282083835969e-06,1.2496402084332254e-05,1.2627249361478995e-05,7.216093472518391e-07,0.44298611429107115,4.559797963331486e-07,6.071532165918825e-18,1.0164395367051604e-20,8.077935669463161e-28,0.0,2.541098841762901e-21,8.077935669463161e-28,5.552126268625788e-17,9.860761315262648e-32,5.293955920339377e-23,5.293955920339377e-23,0.0,8.470329472543003e-22,0.0,4.1359030627651384e-25,1.0339757656912846e-25,4.235164736271502e-22,9.959131777105642e-24,0.0,3.3881317890172014e-21,0.0,1.6510648120414083e-23,0.0,6.058451752097371e-28,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,4.0389678347315804e-28,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,4.336808689942018e-18,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0
4,4.934326637360983e-07,3.802657924385448e-12,0.00014518954620838087,1.1241545409846386e-06,3.353994552236218e-13,1.1748863160600501e-07,3.5015898417523163e-12,5.050298999609466e-06,1.1748863163203147e-07,5.790868507766951e-07,0.002856787483202773,2.1623182389449873e-07,1.1748863160618485e-07,2.1622024670406022e-07,0.0034187148394432616,5.425294346839596e-07,0.0028567874832018856,3.3528232948590274e-13,1.3012534981232074e-05,3.3539941549769116e-13,1.3012534981247612e-05,2.1622024870257718e-07,0.002856787483245742,5.789449867179576e-07,5.790868232994359e-07,1.3012534981805021e-05,5.050298999608273e-06,4.934326637216626e-07,0.00341871479639715,0.000145185194211362,2.710505431213761e-20,3.970466940254533e-23,1.0097419586828951e-28,4.235164736271502e-22,3.3881317890172014e-21,0.0,2.0249382405040076e-21,3.851859888774472e-34,5.293955920339377e-23,0.0,5.169878828456423e-26,4.235164736271502e-22,2.0194839173657902e-28,4.0389678347315804e-28,4.0389678347315804e-28,0.0,6.874611552559129e-24,1.6940658945086007e-21,0.0,0.0,6.874611552559129e-24,4.1359030627651384e-25,1.9721522630525295e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-32,9.62964972193618e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.693522803355793e-27,0.0,0.0,0.0,0.0,0.0,0.0
5,4.56004230815517e-08,1.6271743654498952e-14,4.0985404279477376e-06,2.352531759652049e-08,1.4349599955055667e-15,1.6583947488741275e-09,1.498345983779021e-14,2.3384223235441394e-07,1.658394748874915e-09,2.681037078174609e-08,9.935814428485076e-08,1.9982758213941272e-08,1.6583947488741503e-09,1.9982758213939972e-08,1.1890179612788015e-07,2.3524746561770358e-08,9.935814428485048e-08,1.4349599955049571e-15,3.67329517028292e-07,1.434959995370106e-15,3.673295170282956e-07,1.9982758214087157e-08,9.935814428485377e-08,2.6810370781738108e-08,2.6810370780732243e-08,3.673295170283266e-07,2.3384223235441347e-07,4.560042308154884e-08,1.1890176182466685e-07,4.098540423674918e-06,5.37667398159468e-24,2.0679515313825692e-25,1.5777218104420236e-30,2.6469779601696886e-23,0.0,1.5777218104420236e-30,7.961613553595072e-23,1.1754943508222875e-38,6.617444900424222e-24,7.888609052210118e-31,1.0097419586828951e-28,0.0,1.5777218104420236e-30,7.888609052210118e-31,3.944304526105059e-31,0.0,7.289957918677447e-26,1.0587911840678754e-22,8.271806125530277e-25,3.009265538105056e-36,7.289957918677447e-26,3.944304526105059e-31,4.70197740328915e-38,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,1.88079096131566e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37667398159468e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.504632769052528e-36,1.1754943508222875e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.208810534618833e-29,0.0,0.0,0.0,0.0,0.0,0.0
6,2.91092984781139e-08,5.673910303203291e-16,1.3875204363422288e-08,1.1773150207441024e-08,5.003664312048718e-17,8.299181840127033e-10,5.224689434531197e-16,1.2773457109173314e-08,8.299181840127046e-10,1.464496459039125e-09,1.4386229291620577e-08,1.275611132445707e-08,8.299181840127087e-10,1.2756111324457053e-08,1.7215986785191067e-08,1.177314992753245e-08,1.438622929162056e-08,5.003664312048677e-17,1.2435578486379796e-09,5.0036643120487163e-17,1.2435578486379846e-09,1.2756111324457053e-08,1.438622929162056e-08,1.4644964590391152e-09,1.4644964590391234e-09,1.24355784863798e-09,1.2773457109173307e-08,2.9109298478113893e-08,1.7215986727073497e-08,1.3875204053808293e-08,5.169878828456423e-26,2.0679515313825692e-25,0.0,8.271806125530277e-25,0.0,9.860761315262648e-32,1.137373342260413e-24,3.6734198463196485e-40,0.0,9.860761315262648e-32,1.232595164407831e-32,4.1359030627651384e-25,0.0,0.0,1.232595164407831e-32,0.0,2.528403848562801e-25,3.101927297073854e-25,4.1359030627651384e-25,0.0,2.528403848562801e-25,3.0814879110195774e-33,3.6734198463196485e-40,6.174516964700849e-14,8.271806125530277e-25,5.769240514780569e-16,1.532008373049344e-23,1.1125105164243515e-21,5.925257394722364e-14,2.4616022878994994e-16,2.780332462970532e-23,1.4732237882435256e-30,4.8709426647069573e-29,4.150044632362163e-16,6.587113253651558e-31,5.547044894903132e-24,4.040153467177031e-22,3.0253508874133396e-23,8.549458188274849e-24,7.697204431841907e-16,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,0.0,7.346839692639297e-40,0.0,4.176307745980703e-16,3.1554436208840472e-30,6.310887241768095e-30,1.5777218104420236e-30,6.310887241768095e-30,6.310887241768095e-30,7.395570986446986e-32,5.769228867573732e-16,6.141098816020095e-14,4.930380657631324e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,0.0,0.0,1.232595164407831e-32,3.0814879110195774e-32,4.0338660338363593e-23,2.2497163685172237e-21,9.17517196452323e-16,0.0,0.0,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,4.1359030627651384e-25,3.618915179919496e-25,4.930380657631324e-32,5.92525739356216e-14,2.461604774813064e-16,3.2902921386888094e-23,5.227182732652823e-16,2.7550648847397363e-40,2.7550648847397363e-40,0.0,1.1938614500538858e-39,0.0,9.183549615799121e-41,4.5917748078995606e-40,1.8505241917939932e-30,4.8107245048166066e-29,4.150044632362167e-16,7.7305841574559665e-31,3.169817686385502e-23,6.162975822039155e-33,6.162975822039155e-33,0.0,6.162975822039155e-33,0.0,2.311115933264683e-33,1.957477230236108e-23,1.0705429445965313e-21,3.4239195943126384e-23,1.3252786486618414e-23,7.697204431841909e-16,3.113496036983357e-16
7,9.866369304405154e-09,1.923127595681979e-16,7.739821985655965e-09,1.1767338642929043e-08,1.6959529376821853e-17,8.2950848393824e-10,1.770867692087115e-16,1.2773457026337591e-08,8.295084839382412e-10,1.4644964495418827e-09,1.4386229262374493e-08,4.323584277024897e-09,8.295084839382408e-10,4.323584277024891e-09,1.7215986749585022e-08,1.1767338799066645e-08,1.4386229262374493e-08,1.69595293768217e-17,6.936774498720373e-10,1.6959529376821847e-17,6.936774498720377e-10,4.323584277024891e-09,1.4386229262374493e-08,1.4644964495418722e-09,1.4644964495418821e-09,6.936774498720375e-10,1.2773457026337591e-08,9.866369304405151e-09,1.7215986781987973e-08,7.739822295117128e-09,2.0679515313825692e-25,0.0,0.0,0.0,2.0679515313825692e-25,0.0,5.169878828456423e-26,9.183549615799121e-41,0.0,0.0,0.0,0.0,0.0,0.0,1.8488927466117464e-32,8.271806125530277e-25,8.561369353705227e-26,5.169878828456423e-26,0.0,9.183549615799121e-41,8.561369353705227e-26,0.0,9.183549615799121e-41,8.70578315408526e-14,0.0,6.012209203498459e-16,2.5012472180716174e-23,1.950699647606498e-21,8.381366777008271e-14,2.566539312441736e-16,2.3070439658407743e-23,1.1161558923840093e-30,4.93254548689305e-29,4.326960680703078e-16,4.901448661586146e-31,5.7835151163777665e-24,5.726200536011295e-22,2.3661345922781707e-23,8.909516466851784e-24,8.532426669685449e-16,2.465190328815662e-32,0.0,2.465190328815662e-32,0.0,0.0,0.0,3.6734198463196485e-40,4.930380657631324e-32,4.3543434110031553e-16,1.5777218104420236e-30,1.262177448353619e-29,1.5777218104420236e-30,0.0,0.0,1.232595164407831e-32,6.012192786562256e-16,8.67689447649077e-14,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,9.244463733058732e-33,3.0814879110195774e-33,3.972892511306156e-23,1.2411877444022777e-21,1.0159018242266346e-15,2.465190328815662e-32,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,4.1359030627651384e-25,1.232595164407831e-32,8.381366775799206e-14,2.5665427718966553e-16,2.2759251440149102e-23,5.44731823266356e-16,1.8367099231598242e-40,1.285696946211877e-39,0.0,9.183549615799121e-40,7.346839692639297e-40,6.887662211849341e-41,2.2958874039497803e-40,1.3986801273501754e-30,3.3903535761603656e-29,4.326960680703079e-16,5.046126409966825e-31,2.5084338283767664e-23,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,2.0409242859887991e-23,1.5221191766913512e-21,2.832694034484483e-23,1.3810915664165408e-23,8.53242666968545e-16,3.2462241072052504e-16
8,9.900861170515499e-09,1.9251092471409835e-16,7.739821600635418e-09,1.1767561025434928e-08,1.697700504879913e-17,8.29524160225216e-10,1.772692449438546e-16,1.274207420344085e-08,8.295241602252173e-10,1.4608983607383488e-09,1.4386229310735684e-08,4.338699106543124e-09,8.295241602252168e-10,4.338699106543116e-09,1.721598680745881e-08,1.1767561181572643e-08,1.4386229310735682e-08,1.6977005048798976e-17,6.936774153648735e-10,1.6977005048799124e-17,6.936774153648733e-10,4.338699106543117e-09,1.4386229310735682e-08,1.4608983607383382e-09,1.4608983607383482e-09,6.936774153648737e-10,1.274207420344085e-08,9.900861170515495e-09,1.7215986839862366e-08,7.739821910102434e-09,1.550963648536927e-25,0.0,0.0,0.0,2.0679515313825692e-25,1.232595164407831e-32,1.34416849539867e-24,1.8367099231598242e-40,0.0,2.465190328815662e-32,6.162975822039155e-33,0.0,0.0,6.162975822039155e-33,0.0,8.271806125530277e-25,8.591623556090013e-26,5.169878828456423e-25,0.0,9.183549615799121e-41,8.591623556090013e-26,1.232595164407831e-32,3.6734198463196485e-40,8.709492100793521e-14,8.271806125530277e-25,6.019844951369087e-16,2.5109420993258047e-23,1.958153501878081e-21,8.385409139320204e-14,2.56689837844377e-16,2.318591550701495e-23,1.11817629489296e-30,4.939450346668861e-29,4.321730056869122e-16,4.913781506168192e-31,5.770086743752961e-24,5.714889480970298e-22,2.3720654155662295e-23,8.898914478942486e-24,8.575345495518868e-16,0.0,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,4.930380657631324e-32,4.355072615195706e-16,1.5777218104420236e-30,0.0,1.5777218104420236e-30,6.310887241768095e-30,6.310887241768095e-30,1.232595164407831e-32,6.019828526515367e-16,8.681077181504246e-14,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,0.0,6.162975822039155e-33,3.0814879110195774e-33,0.0,3.991816774194047e-23,1.2461022773494082e-21,1.0210117428355697e-15,1.232595164407831e-32,1.232595164407831e-32,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,5.169878828456423e-26,6.162975822039155e-33,8.385409138109316e-14,2.5669018396199316e-16,2.2872378458159706e-23,5.454236564477619e-16,1.8367099231598242e-39,1.1020259538958945e-39,2.938735877055719e-39,1.1020259538958945e-39,7.346839692639297e-40,2.2958874039497803e-41,1.3775324423698682e-40,1.4016289315238183e-30,3.395276817238383e-29,4.321730056869123e-16,5.058686448304687e-31,2.5147267369069963e-23,0.0,0.0,0.0,0.0,0.0,2.6963019221421302e-33,2.0376786303937306e-23,1.519113584380165e-21,2.839822864953073e-23,1.3794481253103294e-23,8.57534549551887e-16,3.242299926137177e-16
9,6.136783315823225e-09,5.515952973202106e-17,7.193814135214778e-10,1.1767559594885799e-08,4.864366118612938e-18,8.295240704905197e-10,5.079238070469618e-17,5.89030065782974e-09,8.295240704905199e-10,6.753320093643601e-10,1.2686718416585037e-08,2.689226303738252e-09,8.295240704905199e-10,2.6892263037382487e-09,1.51821837519252e-08,1.1767559582087806e-08,1.2686718416585037e-08,4.864366118612903e-18,6.447417843189215e-11,4.864366118612937e-18,6.447417843189215e-11,2.6892263037382487e-09,1.2686718416585037e-08,6.753320093643568e-10,6.753320093643601e-10,6.447417843189215e-11,5.89030065782974e-09,6.136783315823225e-09,1.5182183748913437e-08,7.193811406132496e-10,4.652890945610781e-25,1.0339757656912846e-25,0.0,0.0,1.2924697071141057e-26,6.162975822039155e-33,9.241158405865856e-25,2.2958874039497803e-41,0.0,1.232595164407831e-32,0.0,0.0,0.0,3.0814879110195774e-33,3.0814879110195774e-33,0.0,5.325286275677709e-26,6.462348535570529e-27,0.0,2.8698592549372254e-42,5.325286275677709e-26,3.0814879110195774e-33,9.183549615799121e-41,8.662451949844655e-14,8.271806125530277e-25,5.198790589242053e-16,3.3474636051961376e-23,2.26780711603168e-21,8.39183354213056e-14,2.1381490401639164e-16,2.581232611730237e-23,5.2851584365749005e-31,2.3005137830478916e-29,1.72532559553106e-16,2.416787970421915e-31,2.2225984310163052e-24,2.6422063832948756e-22,1.191875870653668e-23,3.55263764290635e-24,1.0468843487404583e-15,0.0,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,0.0,9.183549615799121e-41,1.232595164407831e-32,3.619925680044646e-16,1.5777218104420236e-30,0.0,1.5777218104420236e-30,0.0,0.0,0.0,5.198776077380794e-16,8.690813453432283e-14,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,1.9721522630525295e-31,1.9721522630525295e-31,0.0,2.8888949165808538e-34,0.0,4.260440398524693e-23,8.794309236407652e-22,1.246079728361338e-15,0.0,0.0,0.0,0.0,0.0,3.877409121342317e-26,2.5849394142282115e-25,6.162975822039155e-33,8.391833541226953e-14,2.138152521837118e-16,2.3507889670132563e-23,4.710326748600255e-16,3.6734198463196485e-40,3.6734198463196485e-40,3.6734198463196485e-40,1.1020259538958945e-39,7.346839692639297e-40,1.793662034335766e-43,4.591774807899561e-41,6.4118115525403575e-31,1.3236085640244964e-29,1.7253255955310603e-16,2.3317433276956884e-31,1.2697336566945847e-23,9.244463733058732e-33,3.0814879110195774e-33,0.0,9.244463733058732e-33,1.232595164407831e-32,0.0,7.405057959335155e-24,7.016440386516739e-22,1.459530083624047e-23,5.507055699551334e-24,1.0468843487404583e-15,1.2943943692321936e-16
