,Y0Z3,Y3Z0,Y2Z0,Y0Z2,Y5Z0,Y0Z5,Y5Z1,Y1Z5,Y4Z2,Y2Z4,Y4Z3,Y3Z4,Y5Z3,Y3Z5,Y2Z1,Y1Z2,Y3Z1,Y1Z3,Y2Z5,Y5Z2,Y2Z3,Y3Z2,Y5Z4,Y4Z5,Y0Z1,Y1Z0,Y0Z4,Y4Z0,Y4Z1,Y1Z4,standard_y,Y3,X4Y5,X3Y5,X2Y5,X1Y2,Y0,X0Y1,Y5,Y2,X4Y3,X4Y2,X2Y3,X0Y5,X0Y2,X2Y1,X2Y0,X5Y1,X4Y0,X3Y1,X1Y3,X4Y1,Y1,X5Y0,X3Y4,X5Y4,X2Y4,X1Y4,X0Y4,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y2,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9457436089181303,0.9457436089181299,0.9326402965973477,0.9326402965973477,0.8469169460230943,0.8469169460230942,0.8283118716249926,0.8283118716249926,0.8065579451696628,0.8065579451696626,0.7612906482611979,0.7612906482611977,0.7286232753289116,0.7286232753289115,0.7143731864040153,0.7143731864040153,0.6798960761851487,0.6798960761851487,0.5360527507784326,0.5360527507784325,0.3782620689642364,0.3782620689642363,0.33890958121625947,0.33890958121625947,0.22418547484732645,0.22418547484732643,0.022758574308230847,0.022758574308230792,0.010574548889467392,0.010574548889467301,2.636779683484747e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,8.673617379884035e-18,6.938893903907228e-18,5.204170427930421e-18,5.204170427930421e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001269670813524062,0.001269670813524062,0.55437856851069,0.0012520794779260144,0.11829432730598213,0.001136994971686393,0.8283118716249926,0.8283118716249926,0.8065579451696628,0.8065579451696627,0.7385320944622604,0.0010220407598754708,0.11829290747994173,0.0009781844656583977,0.7143731864040155,0.7143731864040153,0.0009127676846257637,0.45571080336654274,0.5360527507784326,0.5360527507784326,0.5543773871677513,0.0005078208346303424,0.33890958121625947,0.33890958121625947,0.0003009713748478776,0.4557099886374033,3.055362709734219e-05,0.7385313879023845,0.010574548889467322,0.010574548889467256,8.318541168395033e-17,5.421010862427522e-20,0.0,1.0842021724855044e-19,0.0,2.7755575615628914e-17,2.710505431213761e-20,5.590417451878382e-20,0.0,0.0,0.0,5.551115123125783e-17,5.421010862427522e-20,0.0,5.421010862427522e-20,2.7755575615628914e-17,5.421010862427522e-20,0.0,2.710505431213761e-20,2.710505431213761e-20,5.421010862427522e-20,0.0,5.551115123125783e-17,5.421010862427522e-20,1.6940658945086007e-20,2.7755575615628914e-17,5.551115123125783e-17,8.326672684688674e-17,1.1858461261560205e-20,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,2.371692252312041e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00014410686183791326,0.00014410686183791323,0.5543782320243325,0.00014211025599207512,2.7811051922413745e-06,9.488816761916256e-05,1.9473757714453235e-05,1.9473757714453235e-05,0.8065579451696626,0.8065579451696626,0.7385320742171698,0.00011600100199775059,2.7811047622320536e-06,7.424764720185493e-06,0.1783204357737286,1.6795039195130595e-05,7.424764660871726e-06,1.0713836409989108e-05,0.17832043542815562,1.2602694405847513e-05,0.5543782168061478,5.763735456072342e-05,7.967823832784858e-06,0.3283350323297146,9.488816757405763e-05,1.0713836163239777e-05,3.467818013822825e-06,0.7385320651151909,0.32833503223312965,2.48609503337357e-07,2.779623319709712e-17,3.3881317890172014e-20,0.0,2.0679515313825692e-25,0.0,4.235164736271502e-22,6.776263578034403e-21,5.169878828456423e-26,0.0,2.7755575615628914e-17,6.776263578034403e-21,2.7755575615628914e-17,1.3552527156068805e-20,0.0,1.0164395367051604e-20,8.470329472543003e-22,6.776263578034403e-21,0.0,0.0,5.169878828456423e-26,1.0339757656912846e-25,2.117582368135751e-21,0.0,0.0,0.0,8.470329472543003e-22,0.0,8.470329472543003e-22,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.816113682013476e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.9791267484371265e-05,1.979126748437127e-05,1.6908677263715883e-06,1.9040797500673664e-05,3.298997674014581e-08,1.3031698021279182e-05,2.3100127996099723e-07,2.3100127996099726e-07,2.4600222930016827e-06,2.4600222930016827e-06,2.252541651736073e-06,8.015513925313693e-06,3.298997664393576e-08,1.019698174986497e-06,5.438818742830434e-07,1.9627677891629099e-07,1.0196981749853544e-06,1.270894886555865e-07,5.438818742828953e-07,5.4979683456006085e-08,1.6908677254961126e-06,8.015513925202772e-06,5.4979683454871114e-08,1.0014302182931596e-06,1.3031698021278312e-05,1.2708948860037897e-07,1.904079750058067e-05,2.252541651212452e-06,1.001430218293118e-06,1.9627677891535062e-07,1.6874484496081765e-21,1.6940658945086007e-21,5.048709793414476e-29,0.0,1.0097419586828951e-28,2.524354896707238e-29,0.0,2.784616417283109e-28,0.0,2.117582368135751e-22,1.6155871338926322e-27,5.551115123125783e-17,3.2311742677852644e-27,0.0,3.2311742677852644e-27,2.524354896707238e-29,6.462348535570529e-27,5.551115123125783e-17,0.0,5.048709793414476e-29,0.0,2.524354896707238e-29,6.617444900424222e-24,1.0097419586828951e-28,1.6155871338926322e-27,0.0,5.551115123125783e-17,5.048709793414476e-29,3.2311742677852644e-27,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,3.4567716389292005e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.917060892540531e-09,3.917060892541073e-09,5.334903090419311e-09,3.768528888387818e-09,1.7132000486941567e-09,2.5792160468176018e-09,1.1996110446775334e-08,1.1996110446775336e-08,7.761683738300696e-09,7.761683738300696e-09,7.1070558822756734e-09,1.5864196749965882e-09,1.7132000486941567e-09,2.0181728363662513e-10,1.7160166032592219e-09,1.0192834941929824e-08,2.0181728363662482e-10,6.599874869220662e-09,1.7160166032592213e-09,2.8551458899841604e-09,5.334903090419311e-09,1.5864196749965882e-09,2.8551458899841604e-09,3.1596399197198696e-09,2.5792160468176014e-09,6.599874869220662e-09,3.768528888387818e-09,7.1070558822756734e-09,3.15963991971987e-09,1.0192834941929824e-08,6.203854594147708e-25,2.0679515313825692e-25,0.0,3.0814879110195774e-33,0.0,0.0,4.1359030627651384e-25,8.209652546142856e-34,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,7.703719777548943e-34,3.0814879110195774e-33,3.0814879110195774e-33,0.0,0.0,0.0,3.0814879110195774e-33,6.162975822039155e-33,0.0,1.5407439555097887e-33,7.703719777548943e-34,6.162975822039155e-33,5.551115123125783e-17,0.0,1.5407439555097887e-33,1.3471332837054735e-13,7.8505896692936735e-25,2.0679515313825692e-25,2.3814979931476627e-21,8.50440016762126e-22,2.065333479334845e-24,1.5352660705940846e-08,1.4761513896638747e-21,4.666988769100294e-09,2.648568388482359e-24,1.431952714908019e-21,4.436501597627785e-25,2.2469353766897433e-21,1.408743207527846e-21,1.593212159055872e-08,1.05720196230932e-21,1.9498255952238095e-21,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,6.162975822039155e-33,8.520643593578017e-17,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,0.0,0.0,2.422869959186381e-24,9.989100051657308e-17,0.0,3.1554436208840472e-30,3.1554436208840472e-30,0.0,3.1554436208840472e-30,1.5407439555097887e-33,0.0,2.5533328431174785e-21,8.457755184046226e-22,8.677449434218053e-14,0.0,9.244463733058732e-33,3.0814879110195774e-33,6.162975822039155e-33,3.0814879110195774e-33,2.533420843377563e-24,1.5352660705940846e-08,1.4633558065431836e-21,7.58255643705931e-17,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,6.162975822039155e-33,0.0,3.037853560717054e-33,4.666988769100294e-09,3.012522695609376e-24,2.0762704732430868e-21,2.373585706050306e-24,1.6017214114193218e-16,0.0,1.5777218104420236e-30,3.1554436208840472e-30,1.5777218104420236e-30,3.1554436208840472e-30,0.0,1.4795247291159321e-21,1.4856003072129868e-21,1.5932121590558778e-08,8.680682566515983e-22,1.956151111998133e-21,4.786917201617627e-14
5,3.917060892540531e-09,3.917060892541073e-09,5.334903090419311e-09,3.768528888387818e-09,1.7132000486941567e-09,2.5792160468176018e-09,1.1996110446775334e-08,1.1996110446775336e-08,7.761683738300696e-09,7.761683738300696e-09,7.1070558822756734e-09,1.5864196749965882e-09,1.7132000486941567e-09,2.0181728363662513e-10,1.7160166032592219e-09,1.0192834941929824e-08,2.0181728363662482e-10,6.599874869220662e-09,1.7160166032592213e-09,2.8551458899841604e-09,5.334903090419311e-09,1.5864196749965882e-09,2.8551458899841604e-09,3.1596399197198696e-09,2.5792160468176014e-09,6.599874869220662e-09,3.768528888387818e-09,7.1070558822756734e-09,3.15963991971987e-09,1.0192834941929824e-08,6.203854594147708e-25,2.0679515313825692e-25,0.0,3.0814879110195774e-33,0.0,0.0,4.1359030627651384e-25,8.209652546142856e-34,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,7.703719777548943e-34,3.0814879110195774e-33,3.0814879110195774e-33,0.0,0.0,0.0,3.0814879110195774e-33,6.162975822039155e-33,0.0,1.5407439555097887e-33,7.703719777548943e-34,6.162975822039155e-33,5.551115123125783e-17,0.0,1.5407439555097887e-33,1.3471332837054735e-13,7.8505896692936735e-25,2.0679515313825692e-25,2.3814979931476627e-21,8.50440016762126e-22,2.065333479334845e-24,1.5352660705940846e-08,1.4761513896638747e-21,4.666988769100294e-09,2.648568388482359e-24,1.431952714908019e-21,4.436501597627785e-25,2.2469353766897433e-21,1.408743207527846e-21,1.593212159055872e-08,1.05720196230932e-21,1.9498255952238095e-21,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,6.162975822039155e-33,8.520643593578017e-17,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,0.0,0.0,2.422869959186381e-24,9.989100051657308e-17,0.0,3.1554436208840472e-30,3.1554436208840472e-30,0.0,3.1554436208840472e-30,1.5407439555097887e-33,0.0,2.5533328431174785e-21,8.457755184046226e-22,8.677449434218053e-14,0.0,9.244463733058732e-33,3.0814879110195774e-33,6.162975822039155e-33,3.0814879110195774e-33,2.533420843377563e-24,1.5352660705940846e-08,1.4633558065431836e-21,7.58255643705931e-17,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,6.162975822039155e-33,0.0,3.037853560717054e-33,4.666988769100294e-09,3.012522695609376e-24,2.0762704732430868e-21,2.373585706050306e-24,1.6017214114193218e-16,0.0,1.5777218104420236e-30,3.1554436208840472e-30,1.5777218104420236e-30,3.1554436208840472e-30,0.0,1.4795247291159321e-21,1.4856003072129868e-21,1.5932121590558778e-08,8.680682566515983e-22,1.956151111998133e-21,4.786917201617627e-14
6,3.917060892540531e-09,3.917060892541073e-09,5.334903090419311e-09,3.768528888387818e-09,1.7132000486941567e-09,2.5792160468176018e-09,1.1996110446775334e-08,1.1996110446775336e-08,7.761683738300696e-09,7.761683738300696e-09,7.1070558822756734e-09,1.5864196749965882e-09,1.7132000486941567e-09,2.0181728363662513e-10,1.7160166032592219e-09,1.0192834941929824e-08,2.0181728363662482e-10,6.599874869220662e-09,1.7160166032592213e-09,2.8551458899841604e-09,5.334903090419311e-09,1.5864196749965882e-09,2.8551458899841604e-09,3.1596399197198696e-09,2.5792160468176014e-09,6.599874869220662e-09,3.768528888387818e-09,7.1070558822756734e-09,3.15963991971987e-09,1.0192834941929824e-08,6.203854594147708e-25,2.0679515313825692e-25,0.0,3.0814879110195774e-33,0.0,0.0,4.1359030627651384e-25,8.209652546142856e-34,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,7.703719777548943e-34,3.0814879110195774e-33,3.0814879110195774e-33,0.0,0.0,0.0,3.0814879110195774e-33,6.162975822039155e-33,0.0,1.5407439555097887e-33,7.703719777548943e-34,6.162975822039155e-33,5.551115123125783e-17,0.0,1.5407439555097887e-33,1.3471332837054735e-13,7.8505896692936735e-25,2.0679515313825692e-25,2.3814979931476627e-21,8.50440016762126e-22,2.065333479334845e-24,1.5352660705940846e-08,1.4761513896638747e-21,4.666988769100294e-09,2.648568388482359e-24,1.431952714908019e-21,4.436501597627785e-25,2.2469353766897433e-21,1.408743207527846e-21,1.593212159055872e-08,1.05720196230932e-21,1.9498255952238095e-21,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,6.162975822039155e-33,8.520643593578017e-17,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,0.0,0.0,2.422869959186381e-24,9.989100051657308e-17,0.0,3.1554436208840472e-30,3.1554436208840472e-30,0.0,3.1554436208840472e-30,1.5407439555097887e-33,0.0,2.5533328431174785e-21,8.457755184046226e-22,8.677449434218053e-14,0.0,9.244463733058732e-33,3.0814879110195774e-33,6.162975822039155e-33,3.0814879110195774e-33,2.533420843377563e-24,1.5352660705940846e-08,1.4633558065431836e-21,7.58255643705931e-17,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,6.162975822039155e-33,0.0,3.037853560717054e-33,4.666988769100294e-09,3.012522695609376e-24,2.0762704732430868e-21,2.373585706050306e-24,1.6017214114193218e-16,0.0,1.5777218104420236e-30,3.1554436208840472e-30,1.5777218104420236e-30,3.1554436208840472e-30,0.0,1.4795247291159321e-21,1.4856003072129868e-21,1.5932121590558778e-08,8.680682566515983e-22,1.956151111998133e-21,4.786917201617627e-14
7,3.917060892540531e-09,3.917060892541073e-09,5.334903090419311e-09,3.768528888387818e-09,1.7132000486941567e-09,2.5792160468176018e-09,1.1996110446775334e-08,1.1996110446775336e-08,7.761683738300696e-09,7.761683738300696e-09,7.1070558822756734e-09,1.5864196749965882e-09,1.7132000486941567e-09,2.0181728363662513e-10,1.7160166032592219e-09,1.0192834941929824e-08,2.0181728363662482e-10,6.599874869220662e-09,1.7160166032592213e-09,2.8551458899841604e-09,5.334903090419311e-09,1.5864196749965882e-09,2.8551458899841604e-09,3.1596399197198696e-09,2.5792160468176014e-09,6.599874869220662e-09,3.768528888387818e-09,7.1070558822756734e-09,3.15963991971987e-09,1.0192834941929824e-08,6.203854594147708e-25,2.0679515313825692e-25,0.0,3.0814879110195774e-33,0.0,0.0,4.1359030627651384e-25,8.209652546142856e-34,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,7.703719777548943e-34,3.0814879110195774e-33,3.0814879110195774e-33,0.0,0.0,0.0,3.0814879110195774e-33,6.162975822039155e-33,0.0,1.5407439555097887e-33,7.703719777548943e-34,6.162975822039155e-33,5.551115123125783e-17,0.0,1.5407439555097887e-33,1.3471332837054735e-13,7.8505896692936735e-25,2.0679515313825692e-25,2.3814979931476627e-21,8.50440016762126e-22,2.065333479334845e-24,1.5352660705940846e-08,1.4761513896638747e-21,4.666988769100294e-09,2.648568388482359e-24,1.431952714908019e-21,4.436501597627785e-25,2.2469353766897433e-21,1.408743207527846e-21,1.593212159055872e-08,1.05720196230932e-21,1.9498255952238095e-21,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,6.162975822039155e-33,8.520643593578017e-17,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,0.0,0.0,2.422869959186381e-24,9.989100051657308e-17,0.0,3.1554436208840472e-30,3.1554436208840472e-30,0.0,3.1554436208840472e-30,1.5407439555097887e-33,0.0,2.5533328431174785e-21,8.457755184046226e-22,8.677449434218053e-14,0.0,9.244463733058732e-33,3.0814879110195774e-33,6.162975822039155e-33,3.0814879110195774e-33,2.533420843377563e-24,1.5352660705940846e-08,1.4633558065431836e-21,7.58255643705931e-17,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,6.162975822039155e-33,0.0,3.037853560717054e-33,4.666988769100294e-09,3.012522695609376e-24,2.0762704732430868e-21,2.373585706050306e-24,1.6017214114193218e-16,0.0,1.5777218104420236e-30,3.1554436208840472e-30,1.5777218104420236e-30,3.1554436208840472e-30,0.0,1.4795247291159321e-21,1.4856003072129868e-21,1.5932121590558778e-08,8.680682566515983e-22,1.956151111998133e-21,4.786917201617627e-14
8,3.917060892540531e-09,3.917060892541073e-09,5.334903090419311e-09,3.768528888387818e-09,1.7132000486941567e-09,2.5792160468176018e-09,1.1996110446775334e-08,1.1996110446775336e-08,7.761683738300696e-09,7.761683738300696e-09,7.1070558822756734e-09,1.5864196749965882e-09,1.7132000486941567e-09,2.0181728363662513e-10,1.7160166032592219e-09,1.0192834941929824e-08,2.0181728363662482e-10,6.599874869220662e-09,1.7160166032592213e-09,2.8551458899841604e-09,5.334903090419311e-09,1.5864196749965882e-09,2.8551458899841604e-09,3.1596399197198696e-09,2.5792160468176014e-09,6.599874869220662e-09,3.768528888387818e-09,7.1070558822756734e-09,3.15963991971987e-09,1.0192834941929824e-08,6.203854594147708e-25,2.0679515313825692e-25,0.0,3.0814879110195774e-33,0.0,0.0,4.1359030627651384e-25,8.209652546142856e-34,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,7.703719777548943e-34,3.0814879110195774e-33,3.0814879110195774e-33,0.0,0.0,0.0,3.0814879110195774e-33,6.162975822039155e-33,0.0,1.5407439555097887e-33,7.703719777548943e-34,6.162975822039155e-33,5.551115123125783e-17,0.0,1.5407439555097887e-33,1.3471332837054735e-13,7.8505896692936735e-25,2.0679515313825692e-25,2.3814979931476627e-21,8.50440016762126e-22,2.065333479334845e-24,1.5352660705940846e-08,1.4761513896638747e-21,4.666988769100294e-09,2.648568388482359e-24,1.431952714908019e-21,4.436501597627785e-25,2.2469353766897433e-21,1.408743207527846e-21,1.593212159055872e-08,1.05720196230932e-21,1.9498255952238095e-21,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,6.162975822039155e-33,8.520643593578017e-17,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,0.0,0.0,2.422869959186381e-24,9.989100051657308e-17,0.0,3.1554436208840472e-30,3.1554436208840472e-30,0.0,3.1554436208840472e-30,1.5407439555097887e-33,0.0,2.5533328431174785e-21,8.457755184046226e-22,8.677449434218053e-14,0.0,9.244463733058732e-33,3.0814879110195774e-33,6.162975822039155e-33,3.0814879110195774e-33,2.533420843377563e-24,1.5352660705940846e-08,1.4633558065431836e-21,7.58255643705931e-17,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,6.162975822039155e-33,0.0,3.037853560717054e-33,4.666988769100294e-09,3.012522695609376e-24,2.0762704732430868e-21,2.373585706050306e-24,1.6017214114193218e-16,0.0,1.5777218104420236e-30,3.1554436208840472e-30,1.5777218104420236e-30,3.1554436208840472e-30,0.0,1.4795247291159321e-21,1.4856003072129868e-21,1.5932121590558778e-08,8.680682566515983e-22,1.956151111998133e-21,4.786917201617627e-14
9,3.917060892540531e-09,3.917060892541073e-09,5.334903090419311e-09,3.768528888387818e-09,1.7132000486941567e-09,2.5792160468176018e-09,1.1996110446775334e-08,1.1996110446775336e-08,7.761683738300696e-09,7.761683738300696e-09,7.1070558822756734e-09,1.5864196749965882e-09,1.7132000486941567e-09,2.0181728363662513e-10,1.7160166032592219e-09,1.0192834941929824e-08,2.0181728363662482e-10,6.599874869220662e-09,1.7160166032592213e-09,2.8551458899841604e-09,5.334903090419311e-09,1.5864196749965882e-09,2.8551458899841604e-09,3.1596399197198696e-09,2.5792160468176014e-09,6.599874869220662e-09,3.768528888387818e-09,7.1070558822756734e-09,3.15963991971987e-09,1.0192834941929824e-08,6.203854594147708e-25,2.0679515313825692e-25,0.0,3.0814879110195774e-33,0.0,0.0,4.1359030627651384e-25,8.209652546142856e-34,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,7.703719777548943e-34,3.0814879110195774e-33,3.0814879110195774e-33,0.0,0.0,0.0,3.0814879110195774e-33,6.162975822039155e-33,0.0,1.5407439555097887e-33,7.703719777548943e-34,6.162975822039155e-33,5.551115123125783e-17,0.0,1.5407439555097887e-33,1.3471332837054735e-13,7.8505896692936735e-25,2.0679515313825692e-25,2.3814979931476627e-21,8.50440016762126e-22,2.065333479334845e-24,1.5352660705940846e-08,1.4761513896638747e-21,4.666988769100294e-09,2.648568388482359e-24,1.431952714908019e-21,4.436501597627785e-25,2.2469353766897433e-21,1.408743207527846e-21,1.593212159055872e-08,1.05720196230932e-21,1.9498255952238095e-21,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,6.162975822039155e-33,8.520643593578017e-17,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,0.0,0.0,2.422869959186381e-24,9.989100051657308e-17,0.0,3.1554436208840472e-30,3.1554436208840472e-30,0.0,3.1554436208840472e-30,1.5407439555097887e-33,0.0,2.5533328431174785e-21,8.457755184046226e-22,8.677449434218053e-14,0.0,9.244463733058732e-33,3.0814879110195774e-33,6.162975822039155e-33,3.0814879110195774e-33,2.533420843377563e-24,1.5352660705940846e-08,1.4633558065431836e-21,7.58255643705931e-17,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,9.244463733058732e-33,6.162975822039155e-33,0.0,3.037853560717054e-33,4.666988769100294e-09,3.012522695609376e-24,2.0762704732430868e-21,2.373585706050306e-24,1.6017214114193218e-16,0.0,1.5777218104420236e-30,3.1554436208840472e-30,1.5777218104420236e-30,3.1554436208840472e-30,0.0,1.4795247291159321e-21,1.4856003072129868e-21,1.5932121590558778e-08,8.680682566515983e-22,1.956151111998133e-21,4.786917201617627e-14
