,Y0Z2,Y2Z0,Y3Z0,Y0Z3,Y4Z0,Y0Z4,Y1Z2,Y2Z1,Y4Z5,Y5Z4,Y0Z5,Y5Z0,Y3Z2,Y2Z3,Y4Z1,Y1Z4,Y5Z3,Y3Z5,Y5Z2,Y2Z5,Y4Z3,Y3Z4,Y4Z2,Y2Z4,Y1Z0,Y0Z1,Y5Z1,Y1Z5,Y1Z3,Y3Z1,X4Y2,Y2,X3Y4,X3Y2,X4Y5,standard_y,X5Y4,X5Y2,X5Y0,X4Y1,X4Y0,X3Y5,X3Y0,X2Y0,X1Y2,X0Y1,X5Y1,X1Y0,Y1,Y0,X4Y3,X1Y4,X1Y3,X0Y5,X3Y1,X2Y1,X0Y3,standard_x,Y5,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y4,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9832139165762781,0.983213916576278,0.959247535477346,0.959247535477346,0.9183244400425725,0.9183244400425725,0.8750666236772717,0.8750666236772714,0.8273411578685754,0.8273411578685753,0.7899056321716227,0.7899056321716226,0.7304444585170966,0.7304444585170966,0.6269890530143345,0.6269890530143345,0.5761619836676855,0.5761619836676855,0.5600881671017948,0.5600881671017948,0.5427750652860777,0.5427750652860777,0.4323894557693134,0.4323894557693134,0.32870052053309795,0.32870052053309795,0.24764264575700945,0.2476426457570094,0.0004027746805439075,0.0004027746805437826,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002423706982588967,0.002423706982588967,0.22880529629113364,0.0023646277891016124,0.48593629801486127,0.002263748834397842,0.5463671018446337,0.0021571145915250216,0.8273411578685754,0.8273411578685754,0.0019471854130658924,0.2298191668021808,0.2288001624502462,0.0018006084989786223,0.6269890530143345,0.6269890530143345,0.5761619836676855,0.5761619836676855,0.2298150650763106,0.0013806655688897197,0.5427750652860779,0.5427750652860777,0.48593219410110056,0.0010658772475426262,0.5463634444035108,0.0008102750920886622,0.24764264575700945,0.2476426457570095,0.00040277468054383846,0.0004027746805438312,2.168404344971009e-19,0.0,5.551115123125783e-17,0.0,1.3877787807814457e-17,1.7358076781492926e-16,0.0,2.168404344971009e-19,0.0,2.7755575615628914e-17,1.0842021724855044e-19,1.3877787807814457e-17,5.421010862427522e-20,1.1102230246251565e-16,1.0842021724855044e-19,6.776263578034403e-20,0.0,4.0657581468206416e-20,5.551115123125783e-17,1.0842021724855044e-19,6.938893903907228e-18,5.551115123125783e-17,1.3877787807814457e-17,0.0,2.7755575615628914e-17,5.421010862427522e-20,1.6940658945086007e-20,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0004283228573504133,0.0004283228573504132,0.22880314627149312,0.00041788225163930895,3.4130785789078334e-06,5.594378782259365e-05,0.546366134334282,0.0003812100605029929,5.811024594519081e-06,5.8110245945190796e-06,5.594378780423773e-05,1.6141772204898526e-06,0.2288029859380794,0.0003182075155092112,4.403804613017079e-06,0.3793464072634336,4.046808774925798e-06,0.03338691839499609,1.6141763207512566e-06,5.5630088224263786e-05,3.812307926025031e-06,0.033386918367395935,3.413077678689311e-06,5.5630088213599044e-05,0.5463660201098575,0.00014319360598308024,1.73937618291964e-06,0.37934640724185953,0.0004027746805438111,0.00040277468054383814,2.0679515313825692e-25,5.421010862427522e-20,0.0,2.710505431213761e-20,2.7755575615628914e-17,2.7796021438860306e-17,2.7755575615628914e-17,0.0,1.0339757656912846e-25,4.235164736271502e-22,1.0339757656912846e-25,0.0,1.3552527156068805e-20,0.0,1.3552527156068805e-20,1.2651388314029577e-21,0.0,1.2668076539275706e-21,5.551115123125783e-17,1.3552527156068805e-20,2.117582368135751e-22,0.0,0.0,2.0679515313825692e-25,0.0,0.0,4.433688083284228e-21,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5881867761018131e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
3,8.609095167304634e-05,1.1869685090700201e-07,0.22920585778647068,0.00012617391217728608,2.9071968844110973e-06,1.689147252121737e-05,0.0005014597189204966,1.0564095037018968e-07,2.1611935139146247e-06,2.1611935139146247e-06,1.6891472520450764e-05,1.2472285045639191e-06,0.2292058431730539,8.81816820599532e-08,2.907197023248869e-06,0.00034816753944375424,1.5050593461042193e-06,0.033386918383459654,1.2472284796537436e-06,1.5416212733241157e-08,1.417845515667187e-06,0.033386918379642014,2.9071968680568553e-06,1.5416212732832364e-08,0.0005014597093630352,8.609087899234821e-05,1.2472284992655608e-06,0.00034816753944101543,3.696702190717107e-07,0.22920574697387608,2.524354896707238e-29,0.0,2.117582368135751e-22,0.0,0.0,2.7701894902596672e-17,0.0,5.048709793414476e-29,0.0,5.169878828456423e-26,2.5849394142282115e-26,1.0587911840678754e-22,0.0,0.0,1.0164395367051604e-20,8.298137798043187e-25,1.0339757656912846e-25,1.603150022061988e-24,5.421010862427522e-20,0.0,1.0587911840678754e-22,1.0339757656912846e-25,1.3552527156068805e-20,2.5849394142282115e-26,2.710505431213761e-20,0.0,6.776263578034403e-21,0.0,1.0587911840678754e-22,0.0,4.235164736271502e-22,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,2.524354896707238e-29,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0
4,1.2428079754482227e-09,1.5125669451446073e-11,1.1707701714035157e-05,1.821445511623577e-09,7.4605127247236e-07,2.438451521166203e-10,8.801450449431945e-07,5.236379644244629e-11,1.0825923632023112e-06,1.0825923632023114e-06,2.4384515211384346e-10,1.291533628031592e-07,1.1707701654414185e-05,1.5125669317670718e-11,7.460512723099177e-07,6.106416697578808e-07,1.2915336460172814e-07,1.7053843866102056e-06,1.2915336327890101e-07,7.641463112985705e-12,7.46051269646025e-07,1.705384386561275e-06,7.460512723087584e-07,7.641463112934863e-12,8.801450436047613e-07,1.2428079754449954e-09,1.29153363277894e-07,6.106416697566755e-07,8.801450424582566e-07,1.170770165439907e-05,6.162975822039155e-33,3.2311742677852644e-27,0.0,3.944304526105059e-31,5.551115123125783e-17,7.410472000966759e-22,5.551115123125783e-17,0.0,0.0,1.0097419586828951e-28,9.860761315262648e-32,0.0,2.117582368135751e-22,0.0,1.0587911840678754e-22,1.6427171641965476e-32,5.048709793414476e-29,6.0392351212045556e-33,2.6469779601696886e-23,1.0339757656912846e-25,1.6155871338926322e-27,9.466330862652142e-29,0.0,9.860761315262648e-32,0.0,1.0587911840678754e-22,2.117582368135751e-22,0.0,2.6469779601696886e-23,0.0,1.0587911840678754e-22,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.4928613625116996e-08,1.0661744498523305e-15,1.9497827711859487e-08,4.4928611260762894e-08,1.5821679641690806e-09,1.8933483564604144e-08,3.998616857547768e-08,3.6910064981343186e-15,7.234010969342806e-09,7.234010969342806e-09,1.893348356460413e-08,4.6008326679182455e-09,1.9497832001477745e-08,1.0661745467517225e-15,1.5821679641688763e-09,1.2605167456486946e-08,4.600832667918143e-09,3.85352560610769e-10,4.600832667918153e-09,5.386295861118323e-16,1.5821679641689214e-09,3.853525606107688e-10,1.5821679641688829e-09,5.386295861118323e-16,3.998616857547733e-08,4.492861362511703e-08,4.600832667918148e-09,1.2605167456486946e-08,3.998616857547753e-08,1.9497832001477735e-08,0.0,3.944304526105059e-31,0.0,0.0,0.0,7.134432388839411e-24,0.0,0.0,0.0,3.697785493223493e-32,2.465190328815662e-32,0.0,1.6543612251060553e-24,4.930380657631324e-32,2.0679515313825692e-24,1.065469405689886e-31,2.465190328815662e-32,4.493766772538302e-33,3.308722450212111e-24,3.308722450212111e-24,2.465190328815662e-32,0.0,0.0,0.0,2.465190328815662e-32,4.1359030627651384e-25,1.6543612251060553e-24,1.742490145954701e-08,4.1359030627651384e-25,9.922547217752833e-10,1.0339757656912846e-25,1.7529263110316846e-16,1.3962163037368602e-16,0.0,9.401376242241936e-31,1.2624604953346686e-30,1.1283950093175123e-23,7.350091204832663e-24,6.0406457693732276e-24,4.1009913139842424e-16,1.308931782432785e-15,2.3334380851009644e-23,1.8914454963640302e-23,1.0452379230780855e-15,5.791492616821044e-16,3.863305375124477e-23,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,0.0,7.512348897327925e-17,3.0814879110195774e-33,3.0814879110195774e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,9.922547217752835e-10,5.2914451211200985e-17,6.203854594147708e-25,2.0679515313825692e-25,0.0,0.0,0.0,2.0191731765635802e-16,1.9097911223980805e-16,1.742490071938095e-08,2.938735877055719e-39,2.938735877055719e-39,1.4693679385278594e-39,0.0,0.0,0.0,0.0,0.0,1.1032056350015559e-30,1.2893065081824307e-30,7.336351577985451e-23,7.521367634613969e-23,0.0,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,1.232595164407831e-32,7.674640405286589e-24,7.018515270719854e-24,5.793802151773834e-16,1.3089317824327861e-15,4.2611315282348795e-16,1.232595164407831e-32,1.8488927466117464e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,9.860761315262648e-32,0.0,2.6163457934128333e-23,2.5978083698261536e-23,1.0566971191795378e-15,5.791492616821063e-16,7.918855076831476e-23,1.0382413481191026e-15
6,1.356083492471283e-09,3.787503890339341e-16,2.2452088619384326e-08,1.3560811437517753e-09,1.41175152594256e-09,5.7147009032847e-10,1.6465935306416153e-08,1.3112020195525211e-15,6.454830495837307e-09,6.4548304958373065e-09,5.714700903284698e-10,4.105273704585083e-09,2.2452088731078335e-08,3.7875037034475876e-16,1.4117515259425323e-09,5.190691663125317e-09,4.105273704585079e-09,4.437405531089343e-10,4.1052737045850875e-09,1.9134407228804848e-16,1.4117515259425567e-09,4.437405531089341e-10,1.4117515259425333e-09,1.9134407228804843e-16,1.6465935306416117e-08,1.3560834924712742e-09,4.105273704585087e-09,5.190691663125317e-09,1.6465935306416107e-08,2.2452088731078332e-08,2.204051907791789e-39,0.0,0.0,0.0,0.0,1.8611563782443123e-24,0.0,7.346839692639297e-40,0.0,1.232595164407831e-32,0.0,0.0,8.271806125530277e-25,0.0,4.1359030627651384e-25,3.626804552546035e-32,0.0,3.6339248432532024e-32,1.6543612251060553e-24,2.0679515313825692e-25,0.0,3.0814879110195774e-33,1.232595164407831e-32,7.703719777548943e-34,6.162975822039155e-33,2.0679515313825692e-24,0.0,3.187473777257712e-08,0.0,1.3095750360525638e-09,0.0,2.861183005575049e-16,2.278949398503342e-16,0.0,1.5986244972799965e-31,5.345271324684467e-32,4.207309885034934e-23,3.175529258817594e-24,2.5286665324210243e-24,3.0891696433493874e-16,5.26364283205111e-16,2.8619116561353468e-24,1.113329719933506e-23,1.2220315410441286e-16,4.3625801173416543e-16,4.348941718144879e-23,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,7.401274581219142e-17,1.5407439555097887e-33,6.162975822039155e-33,0.0,0.0,0.0,1.3095750360525638e-09,6.032991862617842e-17,4.1359030627651384e-25,4.1359030627651384e-25,3.308722450212111e-24,3.308722450212111e-24,3.308722450212111e-24,3.2957597433660304e-16,3.117222815399696e-16,3.187473688323137e-08,3.6734198463196485e-40,0.0,2.938735877055719e-39,1.4693679385278594e-39,1.4693679385278594e-39,3.6734198463196485e-40,7.346839692639297e-40,0.0,8.548433413877077e-32,2.3644212887232928e-32,1.2933534050743097e-23,1.5638158208100847e-23,1.232595164407831e-32,6.162975822039155e-33,2.465190328815662e-32,1.232595164407831e-32,1.232595164407831e-32,6.162975822039155e-33,3.5860801785301544e-24,3.2495051582914958e-24,4.3643198300400926e-16,5.263642832051105e-16,2.500948922286843e-16,0.0,4.930380657631324e-32,0.0,0.0,9.860761315262648e-32,0.0,0.0,1.0511288415614403e-25,5.4159118504347635e-24,2.3825673667622416e-16,4.362580117341659e-16,1.0814189453773079e-23,1.2737832929632887e-15
7,3.634944551780645e-09,3.0263204662348874e-16,1.087458881512163e-08,3.6349434606397874e-09,1.4117514816750678e-09,1.5318111833215483e-09,1.3716860069897513e-08,1.0476867855120635e-15,6.454830442425707e-09,6.454830471676336e-09,1.53181118332154e-09,4.1052737095984845e-09,1.0874589102289015e-08,3.0263202603666606e-16,1.4117514816750393e-09,4.324078157973187e-09,4.105273709598476e-09,2.14924119905615e-10,4.105273709598489e-09,1.5288922633043258e-16,1.4117514816750604e-09,2.149241199056096e-10,1.4117514816750418e-09,1.528892263304321e-16,1.3716860069897494e-08,3.634944551780635e-09,4.105273709598486e-09,4.324078157973182e-09,1.3716860069897486e-08,1.0874589102289017e-08,0.0,9.860761315262648e-32,4.930380657631324e-32,0.0,0.0,7.237829373762861e-25,2.7755575615628914e-17,0.0,2.465190328815662e-32,1.8488927466117464e-32,4.930380657631324e-32,7.395570986446986e-32,0.0,1.9721522630525295e-31,8.271806125530277e-25,8.119584424108425e-33,8.011868568650901e-32,2.3342336827125342e-32,0.0,2.0679515313825692e-25,0.0,1.617781153285278e-32,2.465190328815662e-32,4.930380657631324e-32,9.860761315262648e-32,1.6543612251060553e-24,0.0,1.271210729997436e-07,8.271806125530277e-25,1.0418616873596823e-09,1.0339757656912846e-25,4.776072760351572e-16,3.8929937523716004e-16,0.0,3.625181691671194e-18,2.6889032715215793e-17,6.214664749724796e-17,2.786780030013479e-16,1.637855897276256e-16,3.120618833758593e-16,6.516946446805485e-16,2.720899096916674e-16,1.794439085969279e-16,1.153722128547966e-16,4.94885502150644e-16,1.3103529854646808e-16,2.481541837659083e-24,0.0,0.0,0.0,0.0,4.930380657631324e-32,2.2680643070389575e-08,4.1359030627651384e-25,0.0,1.6543612251060553e-24,0.0,0.0,1.0418616873596823e-09,2.2680643080355923e-08,3.9291079096268815e-24,4.756288522179909e-24,0.0,0.0,0.0,6.306814229755838e-16,6.142118839828235e-16,5.2558560934402734e-08,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.232595164407831e-32,1.232595164407831e-32,9.860761315262648e-32,6.654861350512014e-17,6.654861406783962e-17,1.5629451875997756e-16,8.52979564927665e-09,4.1359030627651384e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.6543612251060553e-24,6.162975822039155e-32,3.872191994902406e-16,3.872191992185316e-16,4.430976841087742e-16,7.424818533961687e-16,1.649445296382078e-08,4.1359030627651384e-25,1.0339757656912846e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,9.860761315262648e-32,2.3795195971422507e-16,2.3795196292913436e-16,5.201325042714108e-16,4.4296399352389627e-16,1.5629451995261066e-16,4.176977301497948e-09
8,3.634944551780645e-09,3.0263204662348874e-16,1.087458881512163e-08,3.6349434606397874e-09,1.4117514816750678e-09,1.5318111833215483e-09,1.3716860069897513e-08,1.0476867855120635e-15,6.454830442425707e-09,6.454830471676336e-09,1.53181118332154e-09,4.1052737095984845e-09,1.0874589102289015e-08,3.0263202603666606e-16,1.4117514816750393e-09,4.324078157973187e-09,4.105273709598476e-09,2.14924119905615e-10,4.105273709598489e-09,1.5288922633043258e-16,1.4117514816750604e-09,2.149241199056096e-10,1.4117514816750418e-09,1.528892263304321e-16,1.3716860069897494e-08,3.634944551780635e-09,4.105273709598486e-09,4.324078157973182e-09,1.3716860069897486e-08,1.0874589102289017e-08,0.0,9.860761315262648e-32,4.930380657631324e-32,0.0,0.0,7.237829373762861e-25,2.7755575615628914e-17,0.0,2.465190328815662e-32,1.8488927466117464e-32,4.930380657631324e-32,7.395570986446986e-32,0.0,1.9721522630525295e-31,8.271806125530277e-25,8.119584424108425e-33,8.011868568650901e-32,2.3342336827125342e-32,0.0,2.0679515313825692e-25,0.0,1.617781153285278e-32,2.465190328815662e-32,4.930380657631324e-32,9.860761315262648e-32,1.6543612251060553e-24,0.0,1.271210729997436e-07,8.271806125530277e-25,1.0418616873596823e-09,1.0339757656912846e-25,4.776072760351572e-16,3.8929937523716004e-16,0.0,3.625181691671194e-18,2.6889032715215793e-17,6.214664749724796e-17,2.786780030013479e-16,1.637855897276256e-16,3.120618833758593e-16,6.516946446805485e-16,2.720899096916674e-16,1.794439085969279e-16,1.153722128547966e-16,4.94885502150644e-16,1.3103529854646808e-16,2.481541837659083e-24,0.0,0.0,0.0,0.0,4.930380657631324e-32,2.2680643070389575e-08,4.1359030627651384e-25,0.0,1.6543612251060553e-24,0.0,0.0,1.0418616873596823e-09,2.2680643080355923e-08,3.9291079096268815e-24,4.756288522179909e-24,0.0,0.0,0.0,6.306814229755838e-16,6.142118839828235e-16,5.2558560934402734e-08,0.0,0.0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.232595164407831e-32,1.232595164407831e-32,9.860761315262648e-32,6.654861350512014e-17,6.654861406783962e-17,1.5629451875997756e-16,8.52979564927665e-09,4.1359030627651384e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.6543612251060553e-24,6.162975822039155e-32,3.872191994902406e-16,3.872191992185316e-16,4.430976841087742e-16,7.424818533961687e-16,1.649445296382078e-08,4.1359030627651384e-25,1.0339757656912846e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,0.0,9.860761315262648e-32,2.3795195971422507e-16,2.3795196292913436e-16,5.201325042714108e-16,4.4296399352389627e-16,1.5629451995261066e-16,4.176977301497948e-09
9,3.6351428901033233e-09,3.025572768266471e-16,1.0868785294798323e-08,3.635141799550646e-09,1.4112852731590005e-09,1.5318947657379648e-09,1.3713759135672078e-08,1.0474491059828393e-15,6.452698837135875e-09,6.452698866385015e-09,1.5318947657379564e-09,4.103918008135866e-09,1.0868785581979845e-08,3.0255725625353713e-16,1.411285273158972e-09,4.3231006250816356e-09,4.1039180081358576e-09,2.1480946239504685e-10,4.10391800813587e-09,1.528557189295988e-16,1.4112852731589926e-09,2.1480946239504147e-10,1.4112852731589744e-09,1.5285571892959828e-16,1.371375913567206e-08,3.635142890103314e-09,4.1039180081358675e-09,4.3231006250816314e-09,1.3713759135672049e-08,1.0868785581979845e-08,4.930380657631324e-32,0.0,0.0,1.4791141972893971e-31,0.0,1.5509636485369269e-24,2.7755575615628914e-17,2.465190328815662e-32,4.930380657631324e-32,4.3140830754274083e-32,4.930380657631324e-32,4.930380657631324e-32,1.6543612251060553e-24,9.860761315262648e-32,8.271806125530277e-25,1.4552786009921477e-32,9.244463733058732e-32,4.3242533377563525e-32,0.0,4.1359030627651384e-25,0.0,2.0029671421627253e-32,0.0,2.465190328815662e-32,9.860761315262648e-32,1.6543612251060553e-24,1.6543612251060553e-24,1.2709182051079702e-07,1.2407709188295415e-24,1.0419675001030114e-09,1.0339757656912846e-25,4.773450900735429e-16,3.8908228919499534e-16,8.271806125530277e-25,3.6230761984859316e-18,2.6873415647305326e-17,6.218316618236677e-17,2.785365513330146e-16,1.63698522414209e-16,3.118145621033435e-16,6.516483536719086e-16,2.7204740357668236e-16,1.7943905624281876e-16,1.1531054275271538e-16,4.945876159930165e-16,1.3097687380886348e-16,0.0,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,1.6543612251060553e-24,4.930380657631324e-32,2.2674958265549662e-08,8.271806125530277e-25,0.0,1.6543612251060553e-24,0.0,0.0,1.0419675001030114e-09,2.267495827551483e-08,4.756288522179909e-24,2.274746684520826e-24,6.617444900424222e-24,6.617444900424222e-24,6.617444900424222e-24,6.303197666281566e-16,6.1385670752502e-16,5.254799721579083e-08,1.0339757656912846e-25,1.0339757656912846e-25,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.232595164407831e-32,2.465190328815662e-32,0.0,6.650996227162462e-17,6.650996283414532e-17,1.5625720774637493e-16,8.527657692977495e-09,2.0679515313825692e-25,6.203854594147708e-25,0.0,8.271806125530277e-25,3.308722450212111e-24,9.860761315262648e-32,3.8702122734277085e-16,3.870212270710215e-16,4.42809941107251e-16,7.423922880877212e-16,1.649031870068254e-08,4.1359030627651384e-25,1.0339757656912846e-25,8.271806125530277e-25,4.1359030627651384e-25,8.271806125530277e-25,0.0,4.930380657631324e-32,2.379178353520017e-16,2.379178385654837e-16,5.200231309139751e-16,4.426762889070788e-16,1.5625720885722307e-16,4.175930360281661e-09
