,Y3Z0,Y0Z3,Y5Z4,Y4Z5,Y2Z0,Y0Z2,Y5Z0,Y0Z5,Y4Z2,Y2Z4,Y2Z1,Y1Z2,Y3Z1,Y1Z3,Y1Z0,Y0Z1,Y4Z3,Y3Z4,Y2Z3,Y3Z2,Y5Z3,Y3Z5,Y4Z0,Y0Z4,Y5Z2,Y2Z5,Y1Z4,Y4Z1,Y1Z5,Y5Z1,X4Y2,Y2,X1Y2,Y3,Y1,Y0,X5Y2,X3Y1,X3Y0,X2Y5,X2Y4,X2Y1,X3Y4,Y5,X3Y5,X1Y4,X1Y3,Y4,X0Y5,standard_y,X1Y0,X0Y4,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5Y1,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y3,X4Y1,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y2,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0Y2,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9604947743238768,0.9604947743238768,0.8463278091284241,0.8463278091284241,0.8066907771186791,0.8066907771186791,0.7661074377979527,0.7661074377979527,0.7463951961663844,0.7463951961663844,0.7042198668434128,0.7042198668434125,0.6613830572238304,0.6613830572238304,0.5219839097124932,0.5219839097124932,0.5016026705680336,0.5016026705680336,0.38417110454429754,0.3841711045442975,0.3174350905457497,0.3174350905457497,0.2896253777644655,0.2896253777644655,0.252383767513222,0.252383767513222,0.11016204891721185,0.11016204891721174,0.026936778790526843,0.026936778790526833,1.6653345369377348e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.0408340855860843e-17,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0016656327342335921,0.0016656327342335923,0.8463278091284241,0.8463278091284241,0.422520250222694,0.0013989150182717504,0.448672824554744,0.0013285378124356282,0.7463951961663844,0.7463951961663844,0.7042198668434125,0.7042198668434125,0.0011469310395311287,0.13939993237808299,0.13939815304089834,0.0009051933545108381,0.21197772829079978,0.000869849425537199,0.4225184596159872,0.0006662066097403759,0.4486711953158302,0.0005504769957541886,0.21197653858251214,0.0005022510509844755,0.252383767513222,0.2523837675132221,0.11016204891721186,0.11016204891721183,0.026936778790526812,0.026936778790526875,0.0,5.551115123125783e-17,4.163336342344337e-17,0.0,2.7755575615628914e-17,5.421010862427522e-20,0.0,2.710505431213761e-20,4.163336342344337e-17,2.7755575615628914e-17,6.938893903907228e-18,0.0,1.3552527156068805e-20,1.3877787807814457e-17,1.0842021724855044e-19,2.0816681711721685e-17,0.0,1.3877787807814457e-17,0.0,2.7701365507004638e-17,6.776263578034403e-21,6.776263578034403e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,2.168404344971009e-19,1.3877787807814457e-17,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6263032587282567e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,2.168404344971009e-19,4.743384504624082e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00019354283183215318,0.00019354283183215318,6.0962525371587045e-05,6.0962525371587045e-05,0.42251968037373966,0.00016255082441893955,3.2318682490101575e-05,9.601269036204626e-05,5.376419821343633e-05,0.4940114293079192,0.7042198668434123,0.7042198668434123,0.00013327084461340737,0.13939915810854117,0.139399134084082,0.00010518146142720091,1.5269108860431173e-05,3.7110368615659476e-05,0.4225196561971205,7.741173140054757e-05,3.231868090555694e-05,3.711036818750084e-05,1.526910770335969e-05,9.601268981015336e-05,1.817966001406296e-05,0.4940114267167959,0.08322527019656682,7.935171962525536e-06,0.08322526984089258,1.9403049772610484e-06,3.3881317890172014e-21,1.1102230246251565e-16,1.3877787807814457e-17,0.0,0.0,1.3552527156068805e-20,0.0,1.0164395367051604e-20,2.7755575615628914e-17,0.0,3.3881317890172014e-21,6.938893903907228e-18,1.0339757656912846e-25,8.470329472543003e-22,4.1359030627651384e-25,4.235164736271502e-21,1.3552527156068805e-20,8.470329472543003e-22,2.3264454728053903e-25,1.110104440012541e-16,2.8214910949090016e-21,7.237830359838992e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.6543612251060553e-24,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,2.541098841762901e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,4.8880122258329006e-21,0.0,0.0,0.0,0.0,0.0,0.0
3,6.054576049302706e-05,6.054576049302707e-05,6.013333477437782e-06,6.013333477437782e-06,6.640539572401142e-05,1.794678602718251e-05,3.1879094847458672e-06,3.0035529039459907e-05,4.520567622527395e-06,7.76414128913368e-05,0.00011067886748335556,0.00011067886748335558,1.7474336382334655e-05,2.1908697291710274e-05,2.19086969222027e-05,1.7946784992778334e-05,1.5061423493164317e-06,1.1609189856284208e-05,6.640539535216354e-05,1.74743355683464e-05,3.1879094694501404e-06,1.160918985498099e-05,1.5061423381471359e-06,3.0035529037780075e-05,1.6018473126510837e-06,7.764141288737447e-05,1.3080117556157043e-05,4.520567547362347e-06,1.3080117555613153e-05,1.6018472881400045e-06,5.169878828456423e-26,0.0,0.0,1.6940658945086007e-21,8.470329472543003e-22,0.0,0.0,6.203854594147708e-25,5.551115123125783e-17,2.5849394142282115e-26,1.2924697071141057e-26,2.7755575615628914e-17,0.0,0.0,1.2924697071141057e-26,3.877409121342317e-26,8.271806125530277e-25,4.235164736271502e-22,6.462348535570529e-27,2.964615315390051e-21,4.859268852914795e-25,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,2.5849394142282115e-26,1.2924697071141057e-26,3.877409121342317e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2407709188295415e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,4.1359030627651384e-25,1.8944462677473318e-26,0.0,0.0,0.0,0.0,0.0,0.0
4,2.5554102840211107e-08,2.55541028402111e-08,2.8391039610149293e-07,2.839103961014928e-07,1.225637287269979e-09,7.574667518762327e-09,1.5051229849027692e-07,1.2676874345498556e-08,2.134317257451742e-07,1.4330192570569626e-09,2.042788024452468e-09,2.042788024468105e-09,7.37526422493564e-09,4.0436648064100217e-10,4.0436648064100103e-10,7.574667518762327e-09,7.111022054960144e-08,4.899805189503065e-09,1.2256372872699777e-09,7.37526422493564e-09,1.5051229849027682e-07,4.8998051895018405e-09,7.111022054960135e-08,1.2676874345496975e-08,7.562878494334887e-08,1.4330192570567997e-09,2.4141833132097506e-10,2.134317257451742e-07,2.414183313209527e-10,7.562878494334887e-08,0.0,0.0,5.551115123125783e-17,8.271806125530277e-25,2.5849394142282115e-26,0.0,9.860761315262648e-32,1.5407439555097887e-33,0.0,2.465190328815662e-32,3.0814879110195774e-32,5.551115123125783e-17,0.0,0.0,3.944304526105059e-31,4.930380657631324e-32,3.0814879110195774e-33,0.0,0.0,8.530300066953098e-25,1.7323623916632837e-33,0.0,1.6277340519813537e-12,1.2406544984852714e-08,4.017327410595932e-22,1.3556161515526916e-22,3.7122938752661616e-20,1.1215231534134312e-19,6.207766169210209e-20,1.2290114717312424e-19,3.543128462026776e-19,5.370845249398043e-20,9.93211277354033e-09,2.2474864890178126e-22,4.798346037924327e-22,1.5420169197409194e-08,5.704189817380764e-20,6.563771102888225e-20,5.9164567891575885e-31,5.9164567891575885e-31,3.944304526105059e-31,3.944304526105059e-31,5.9164567891575885e-31,0.0,3.944304526105059e-31,2.465190328815662e-32,1.9721522630525295e-31,6.659611248316879e-15,0.0,1.9721522630525295e-31,0.0,1.5777218104420236e-30,3.944304526105059e-31,0.0,5.9164567891575885e-31,1.232595164407831e-32,0.0,1.2406544984853635e-08,8.0184426078742e-15,6.162975822039155e-33,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,2.465190328815662e-32,6.162975822039155e-33,4.766163585123967e-22,4.2174429176214505e-22,5.635698242057877e-16,1.0097419586828951e-28,5.048709793414476e-29,0.0,0.0,0.0,6.162975822039155e-33,3.0814879110195774e-33,2.8106195671287788e-19,2.4645210334801135e-19,5.982066939496368e-20,7.703639211391341e-13,3.1554436208840472e-30,3.1554436208840472e-30,2.524354896707238e-29,1.262177448353619e-29,5.048709793414476e-29,2.465190328815662e-32,2.887856841514307e-19,3.233892987642804e-19,4.4125509269216837e-20,9.93211277354037e-09,8.414573140747915e-13,1.232595164407831e-32,1.232595164407831e-32,2.465190328815662e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,6.162975822039155e-33,2.465939926869502e-33,3.5775290067452297e-22,5.42148840725803e-22,1.5420169197409194e-08,4.559155499029807e-20,5.835523473101278e-20,6.711930870314192e-16
5,2.5554102840211107e-08,2.5554102840211107e-08,7.860642364604887e-09,7.860642364604895e-09,2.509322195278449e-09,7.574667518762327e-09,4.167242081138101e-09,1.2676874345498133e-08,5.909295638274196e-09,2.933907988443953e-09,4.182324887878886e-09,4.1823248878784606e-09,7.37526422493564e-09,8.278842325184317e-10,8.278842325184292e-10,7.574667518762327e-09,1.968832490405791e-09,4.899805189502594e-09,2.509322195278446e-09,7.37526422493564e-09,4.167242081138098e-09,4.899805189502593e-09,1.968832490405789e-09,1.2676874345498133e-08,2.093938225131985e-09,2.933907988443953e-09,4.942705182566954e-10,5.909295638274196e-09,4.942705182566954e-10,2.093938225131985e-09,3.0814879110195774e-33,4.1359030627651384e-25,0.0,8.271806125530277e-25,0.0,0.0,3.0814879110195774e-33,0.0,0.0,7.703719777548943e-34,3.851859888774472e-34,0.0,1.232595164407831e-32,0.0,6.162975822039155e-33,2.311115933264683e-33,6.162975822039155e-33,0.0,0.0,4.1359030627651384e-25,1.0283998754225983e-33,0.0,2.2553113477897087e-13,7.056712426074648e-09,6.487271566352532e-23,6.09433752778376e-23,1.4025398115848066e-21,1.120653163897472e-21,8.536056173855876e-21,1.084419206482564e-21,2.0418737666358175e-22,7.386742054576147e-21,5.649281386236223e-09,6.224418281898096e-23,7.92379574695034e-23,8.770830215930508e-09,7.846584200360853e-21,9.026590903832774e-21,4.930380657631324e-32,0.0,0.0,0.0,4.930380657631324e-32,2.7755575615628914e-17,0.0,7.703719777548943e-34,0.0,1.7916127187538927e-15,1.9721522630525295e-31,9.860761315262648e-32,0.0,9.860761315262648e-32,1.4791141972893971e-31,0.0,1.232595164407831e-32,3.851859888774472e-34,0.0,7.056712426074643e-09,1.3710895560661578e-15,0.0,1.232595164407831e-32,0.0,4.930380657631324e-32,4.930380657631324e-32,0.0,7.133814109841692e-23,5.496218901616837e-23,3.2055259449479576e-16,0.0,0.0,0.0,6.310887241768095e-30,6.310887241768095e-30,0.0,1.232595164407831e-32,3.064966854455406e-22,5.822037014438216e-22,8.225256252980544e-21,1.0592668818890815e-13,0.0,2.3665827156630354e-30,6.310887241768095e-30,1.5777218104420236e-30,0.0,0.0,7.4692653515579e-22,4.645256775710438e-22,6.067554017993194e-21,5.649281386236212e-09,1.157394241454383e-13,1.232595164407831e-32,1.8488927466117464e-32,0.0,4.930380657631324e-32,0.0,5.551115123125783e-17,0.0,1.7743347949918358e-33,5.11446842802881e-23,7.513137657380591e-23,8.770830215930508e-09,6.268387473514974e-21,8.023711210719211e-21,3.817675753095887e-16
6,2.5554102840211104e-08,2.55541028402111e-08,7.860523561980538e-09,7.860523561980543e-09,2.5092747226180646e-09,7.574667518762327e-09,4.167179099097628e-09,1.2676874345498133e-08,5.909206327528668e-09,2.933852483249046e-09,4.18224576448477e-09,4.182245764484346e-09,7.3752642249356405e-09,8.278685701745996e-10,8.278685701745971e-10,7.574667518762327e-09,1.9688027342540737e-09,4.899805189502593e-09,2.5092747226180617e-09,7.3752642249356405e-09,4.167179099097625e-09,4.899805189502592e-09,1.9688027342540712e-09,1.2676874345498133e-08,2.0939065781819264e-09,2.933852483249045e-09,4.942611673903557e-10,5.909206327528668e-09,4.942611673903557e-10,2.0939065781819264e-09,0.0,4.1359030627651384e-25,0.0,0.0,0.0,8.271806125530277e-25,0.0,3.0814879110195774e-33,0.0,0.0,1.925929944387236e-33,0.0,0.0,2.0679515313825692e-25,1.8488927466117464e-32,7.703719777548943e-34,6.162975822039155e-33,0.0,6.162975822039155e-33,2.0679515313825692e-25,2.5794284795375427e-34,0.0,2.25532247880197e-13,7.056729421028183e-09,6.487285791785732e-23,6.094345725074025e-23,1.402548651170394e-21,1.120664839808754e-21,8.53609876878916e-21,1.084431212244108e-21,2.0420828778691916e-22,7.386778885534724e-21,5.649294991619133e-09,6.224428497306118e-23,7.923812890106976e-23,8.770851339060225e-09,7.846623297613307e-21,9.026635927189871e-21,0.0,9.860761315262648e-32,0.0,1.9721522630525295e-31,9.860761315262648e-32,2.7755575615628914e-17,6.162975822039155e-33,3.851859888774472e-34,0.0,1.7916157007601753e-15,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,1.232595164407831e-32,7.703719777548943e-34,6.162975822039155e-33,7.056729421028177e-09,1.371092462804523e-15,6.162975822039155e-33,0.0,2.465190328815662e-32,4.930380657631324e-32,3.697785493223493e-32,0.0,7.133830497221895e-23,5.496232692055823e-23,3.2055336649400995e-16,6.310887241768095e-30,6.310887241768095e-30,1.262177448353619e-29,6.310887241768095e-30,6.310887241768095e-30,0.0,6.162975822039155e-33,3.0648204437949907e-22,5.821923841796312e-22,8.225297305667882e-21,1.0592721682201753e-13,3.944304526105059e-31,2.7610131682735413e-30,6.310887241768095e-30,3.1554436208840472e-30,6.310887241768095e-30,7.703719777548943e-34,7.469135209405144e-22,4.645094576622195e-22,6.067584294558181e-21,5.649294991619121e-09,1.1574000103338554e-13,1.8488927466117464e-32,1.8488927466117464e-32,0.0,4.930380657631324e-32,2.465190328815662e-32,5.551115123125783e-17,0.0,1.0039517711486692e-33,5.1144805196115886e-23,7.513155774422912e-23,8.770851339060225e-09,6.268418766787283e-21,8.023751258443544e-21,3.8176849473520963e-16
7,2.5554102840211104e-08,2.55541028402111e-08,7.860523561980538e-09,7.860523561980543e-09,2.5092747226180646e-09,7.574667518762327e-09,4.167179099097628e-09,1.2676874345498133e-08,5.909206327528668e-09,2.933852483249046e-09,4.18224576448477e-09,4.182245764484346e-09,7.3752642249356405e-09,8.278685701745996e-10,8.278685701745971e-10,7.574667518762327e-09,1.9688027342540737e-09,4.899805189502593e-09,2.5092747226180617e-09,7.3752642249356405e-09,4.167179099097625e-09,4.899805189502592e-09,1.9688027342540712e-09,1.2676874345498133e-08,2.0939065781819264e-09,2.933852483249045e-09,4.942611673903557e-10,5.909206327528668e-09,4.942611673903557e-10,2.0939065781819264e-09,0.0,4.1359030627651384e-25,0.0,0.0,0.0,8.271806125530277e-25,0.0,3.0814879110195774e-33,0.0,0.0,1.925929944387236e-33,0.0,0.0,2.0679515313825692e-25,1.8488927466117464e-32,7.703719777548943e-34,6.162975822039155e-33,0.0,6.162975822039155e-33,2.0679515313825692e-25,2.5794284795375427e-34,0.0,2.25532247880197e-13,7.056729421028183e-09,6.487285791785732e-23,6.094345725074025e-23,1.402548651170394e-21,1.120664839808754e-21,8.53609876878916e-21,1.084431212244108e-21,2.0420828778691916e-22,7.386778885534724e-21,5.649294991619133e-09,6.224428497306118e-23,7.923812890106976e-23,8.770851339060225e-09,7.846623297613307e-21,9.026635927189871e-21,0.0,9.860761315262648e-32,0.0,1.9721522630525295e-31,9.860761315262648e-32,2.7755575615628914e-17,6.162975822039155e-33,3.851859888774472e-34,0.0,1.7916157007601753e-15,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,1.232595164407831e-32,7.703719777548943e-34,6.162975822039155e-33,7.056729421028177e-09,1.371092462804523e-15,6.162975822039155e-33,0.0,2.465190328815662e-32,4.930380657631324e-32,3.697785493223493e-32,0.0,7.133830497221895e-23,5.496232692055823e-23,3.2055336649400995e-16,6.310887241768095e-30,6.310887241768095e-30,1.262177448353619e-29,6.310887241768095e-30,6.310887241768095e-30,0.0,6.162975822039155e-33,3.0648204437949907e-22,5.821923841796312e-22,8.225297305667882e-21,1.0592721682201753e-13,3.944304526105059e-31,2.7610131682735413e-30,6.310887241768095e-30,3.1554436208840472e-30,6.310887241768095e-30,7.703719777548943e-34,7.469135209405144e-22,4.645094576622195e-22,6.067584294558181e-21,5.649294991619121e-09,1.1574000103338554e-13,1.8488927466117464e-32,1.8488927466117464e-32,0.0,4.930380657631324e-32,2.465190328815662e-32,5.551115123125783e-17,0.0,1.0039517711486692e-33,5.1144805196115886e-23,7.513155774422912e-23,8.770851339060225e-09,6.268418766787283e-21,8.023751258443544e-21,3.8176849473520963e-16
8,2.55541028402111e-08,2.5554102840211094e-08,6.996153828255093e-09,6.996153828255098e-09,7.380098260444107e-09,7.574667518762326e-09,3.7089420033276517e-09,1.267687434549812e-08,5.259410030935946e-09,8.628835819710642e-09,1.2300520310912352e-08,1.2300520310919694e-08,7.375264224935637e-09,2.434867469688792e-09,2.4348674696887853e-09,7.57466751876232e-09,1.7523065324748286e-09,4.899805189502592e-09,7.380098260444101e-09,7.3752642249356356e-09,3.7089420033276484e-09,4.899805189502592e-09,1.7523065324748268e-09,1.267687434549812e-08,1.8636535349643936e-09,8.62883581971064e-09,1.4536853811889425e-09,5.2594100309359454e-09,1.4536853811889425e-09,1.863653534964393e-09,1.232595164407831e-32,8.271806125530277e-25,5.551115123125783e-17,0.0,1.0339757656912846e-25,8.271806125530277e-25,0.0,1.232595164407831e-32,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,1.0339757656912846e-25,7.27218698515445e-33,0.0,6.893965126644354e-13,1.5909986333154877e-08,1.1589923733594442e-22,9.571650152582861e-23,5.0592113506605206e-21,5.815980519084476e-21,2.62897600242323e-20,5.9080144510333125e-21,8.319335069363686e-21,2.273699219209555e-20,1.2736807767799776e-08,1.024562920115019e-22,1.4097274655143429e-22,1.977461747543571e-08,2.4140442307558465e-20,2.779179288256639e-20,0.0,3.944304526105059e-31,3.944304526105059e-31,0.0,3.944304526105059e-31,0.0,1.232595164407831e-32,7.703719777548943e-34,0.0,2.9594329159283713e-15,1.9721522630525295e-31,9.860761315262648e-32,1.9721522630525295e-31,0.0,1.9721522630525295e-31,0.0,0.0,2.311115933264683e-33,0.0,1.5909986333154887e-08,2.4238375512733816e-15,1.232595164407831e-32,1.8488927466117464e-32,4.930380657631324e-32,0.0,0.0,2.465190328815662e-32,1.293467023492725e-22,1.0262299014296246e-22,7.227143589274889e-16,0.0,0.0,0.0,2.524354896707238e-29,1.262177448353619e-29,2.465190328815662e-32,2.465190328815662e-32,5.293493040854008e-21,3.687294338758008e-21,2.5336449502481978e-20,3.262645400947487e-13,4.733165431326071e-30,4.733165431326071e-30,1.262177448353619e-29,0.0,1.262177448353619e-29,3.0814879110195774e-33,4.1432533268869745e-21,5.7188707232635885e-21,1.8686903884207525e-20,1.2736807767799879e-08,3.5616525876113765e-13,4.930380657631324e-32,4.930380657631324e-32,0.0,9.860761315262648e-32,0.0,0.0,2.465190328815662e-32,8.700254113337161e-33,9.36065590483806e-23,1.3841183302869073e-22,1.9774617475435713e-08,1.9312013045478536e-20,2.471605880850637e-20,8.60728982419767e-16
9,1.580452498043512e-08,1.5804524980435113e-08,1.558687123630137e-08,1.5586871236301388e-08,1.3813327359402154e-08,4.684728036328932e-09,8.263226173686993e-09,7.840305665202023e-09,1.1717544945914458e-08,1.615058901682334e-08,2.302287960802618e-08,2.3022879608033527e-08,4.561402464769211e-09,4.557340600172458e-09,4.557340600172454e-09,4.684728036328919e-09,3.903998819738202e-09,3.0303976625977914e-09,1.381332735940215e-08,4.561402464769201e-09,8.26322617368699e-09,3.030397662597789e-09,3.903998819738201e-09,7.840305665202023e-09,4.1520710366960125e-09,1.615058901682334e-08,2.720862424769983e-09,1.1717544945914448e-08,2.720862424769983e-09,4.152071036696011e-09,2.465190328815662e-32,1.6543612251060553e-24,2.7755575615628914e-17,4.1359030627651384e-25,0.0,8.271806125530277e-25,2.465190328815662e-32,1.232595164407831e-32,5.551115123125783e-17,3.697785493223493e-32,1.8488927466117464e-32,2.7755575615628914e-17,3.697785493223493e-32,0.0,0.0,0.0,2.465190328815662e-32,0.0,6.162975822039155e-33,4.1359030627651384e-25,5.726842369752509e-34,0.0,6.89894608606701e-13,1.590998633315518e-08,8.132162720635596e-23,6.245138449908558e-23,5.599350491461613e-21,7.28322811912894e-21,1.6276000326472712e-20,7.49550144881489e-21,1.2874076439075707e-20,1.4071680215251954e-20,1.273680776779966e-08,6.876013732668204e-23,9.870326192311111e-23,1.9774617475435362e-08,1.4935852250610924e-20,1.7202695745278283e-20,0.0,9.860761315262648e-32,0.0,1.9721522630525295e-31,2.9582283945787943e-31,5.551115123125783e-17,1.232595164407831e-32,6.162975822039155e-33,1.232595164407831e-32,3.217846873778411e-15,1.9721522630525295e-31,9.860761315262648e-32,1.9721522630525295e-31,0.0,1.9721522630525295e-31,0.0,3.0814879110195774e-32,6.162975822039155e-33,0.0,1.59099863331552e-08,2.7349784591435187e-15,9.244463733058732e-33,2.7733391199176196e-32,0.0,0.0,2.465190328815662e-32,0.0,9.143563269492107e-23,7.359087696734208e-23,4.46979383733891e-16,2.524354896707238e-29,2.524354896707238e-29,1.262177448353619e-29,2.524354896707238e-29,2.524354896707238e-29,2.465190328815662e-32,0.0,8.963511597176078e-21,6.888835109693705e-21,1.56872417451568e-20,3.2661114053984696e-13,1.5777218104420236e-30,7.888609052210118e-30,1.262177448353619e-29,0.0,0.0,0.0,7.899356336867333e-21,9.914065448733135e-21,1.1568979723384117e-20,1.2736807767799859e-08,3.5635132563562065e-13,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,2.465190328815662e-32,3.126958557985528e-33,6.647874610858808e-23,9.861486712960513e-23,1.9774617475435362e-08,1.1958401809929584e-20,1.5303281736852558e-20,5.323377145776157e-16
