,Y2Z5,Y5Z2,Y0Z5,Y5Z0,Y0Z2,Y2Z0,Y1Z5,Y5Z1,Y4Z3,Y3Z4,Y5Z4,Y4Z5,Y3Z1,Y1Z3,Y1Z4,Y4Z1,Y0Z4,Y4Z0,Y1Z0,Y0Z1,Y1Z2,Y2Z1,Y0Z3,Y3Z0,Y5Z3,Y3Z5,Y2Z4,Y4Z2,Y2Z3,Y3Z2,standard_y,Y4,X5Y3,X4Y3,X4Y2,X4Y0,X1Y5,X1Y2,X0Y4,Y5,Y1,X5Y2,X3Y4,X2Y5,X2Y4,X2Y1,X1Y0,X0Y2,X4Y1,X3Y1,X0Y1,standard_x,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y1,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y2,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y4,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y3,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9969758715015804,0.9969758715015803,0.9369813033782328,0.9369813033782326,0.8901385532025504,0.8901385532025501,0.8581866169652739,0.8581866169652737,0.7468020404306424,0.7468020404306424,0.742442861617192,0.7424428616171919,0.7338401709097778,0.7338401709097777,0.7280324327291229,0.7280324327291227,0.7114047593079196,0.7114047593079195,0.6171414766699523,0.6171414766699523,0.5205598276906143,0.520559827690614,0.45648721979605966,0.45648721979605955,0.2609980320995662,0.2609980320995662,0.16929218901354948,0.16929218901354942,0.03679243409125621,0.03679243409125618,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002977991522616962,0.002977991522616962,0.04684672123343442,0.0027987862676238755,0.04683857014454633,0.002658865817283242,0.33762911157957665,0.002563424595518773,0.7468020404306421,0.7468020404306421,0.002217695143006248,0.573151427844562,0.7338401709097777,0.7338401709097777,0.7280324327291228,0.7280324327291229,0.7114047593079194,0.7114047593079197,0.6171414766699521,0.6171414766699521,0.33762296075986775,0.001554925047025211,0.45648721979605944,0.45648721979605944,0.0007796075604533684,0.22420576214554466,0.000505679944859949,0.5731473604412041,0.00010989990826476147,0.22420443365220516,1.6653345369377348e-16,1.1102230246251565e-16,2.168404344971009e-19,0.0,1.0842021724855044e-19,0.0,2.168404344971009e-19,3.2526065174565133e-19,5.551115123125783e-17,2.168404344971009e-19,5.551115123125783e-17,2.7755575615628914e-17,5.551115123125783e-17,2.7755575615628914e-17,0.0,5.421010862427522e-20,3.360363335853796e-17,1.0842021724855044e-19,5.551115123125783e-17,5.551115123125783e-17,3.2967084789953905e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,3.7947076036992655e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,3.2526065174565133e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0009817424968908742,0.0009817424968908742,0.04684318174802726,0.0009226646206925316,0.046842295892227104,0.000876537608160677,0.3376270416614645,0.0008450738841541607,3.695372507154836e-05,3.695372507154836e-05,0.00047408855406665964,2.836100367493022e-05,3.631233774698897e-05,0.0058077390719597265,0.005807737282240159,3.602495561839742e-05,0.2549175400707213,3.520217469531329e-05,0.6171414766699521,0.6171414766699523,0.3376263731938046,0.0005126058911018055,0.25491753864091193,2.2588185765121406e-05,0.0004740885528569526,1.1094282338485234e-05,0.00013047521409233643,2.8360981801475866e-05,0.00013047521384388928,1.109427519418803e-05,1.109138822452671e-16,0.0,3.308722450212111e-24,6.938893903907228e-18,4.963083675318166e-24,0.0,1.3552527156068805e-19,2.710505431213761e-20,0.0,0.0,1.1102230246251565e-16,0.0,2.0816681711721685e-17,2.7755575615628914e-17,3.308722450212111e-24,0.0,4.3248148274223225e-18,1.0842021724855044e-19,0.0,1.6940658945086007e-21,8.160940154954943e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,1.6543612251060553e-24,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0006305705343341444,0.0006305705343341443,0.00010941008281895417,4.9837799513208524e-05,0.00010940922923066801,0.000233753249656422,0.0007885883264091672,4.983470244105841e-05,1.0763790056012695e-06,1.0763790056012695e-06,0.00030450578803303574,8.260922628555841e-07,3.997555146132101e-07,1.3565016952998533e-05,1.3565016949451931e-05,2.3968557031984423e-08,0.00059540575643877,2.3962897902105492e-08,0.0014414449019449814,0.0014414449019449819,0.0007885876822906052,0.00023375081588149872,0.0005954057564359365,3.9975083485549663e-07,0.00030450578803237655,3.2315150935644946e-07,8.380387494702303e-05,8.260920000125499e-07,8.380387494688763e-05,3.231514235067834e-07,1.287374274540779e-19,1.1580528575742387e-23,5.169878828456423e-26,0.0,5.169878828456423e-26,4.1359030627651384e-25,0.0,0.0,0.0,6.776263578034403e-21,5.421010862427522e-20,0.0,2.7755575615628914e-17,0.0,2.5849394142282115e-26,0.0,9.155708475064731e-19,1.0587911840678754e-22,4.1359030627651384e-25,0.0,9.156035351407313e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.754818242684634e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101927297073854e-25,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0457916288244068e-09,1.0457916288244068e-09,5.728967745570798e-10,8.265277606207972e-11,5.728967745570798e-10,3.8767471548719726e-10,4.129247276346457e-09,8.265277606207959e-11,1.0647075975371959e-07,1.0647075975371958e-07,5.05018212418726e-10,8.171347192661114e-08,3.954191047467601e-08,7.102987033628063e-11,7.102987033609877e-11,2.370589428319403e-09,3.1176956010620424e-09,2.3705894283193873e-09,7.54777121547296e-09,7.547771215472962e-09,4.129247276346457e-09,3.8767471548719716e-10,3.1176956010618968e-09,3.9541910474675995e-08,5.050182124187153e-10,3.1964749784583377e-08,1.3898745042878455e-10,8.171347192661114e-08,1.3898745042878235e-10,3.1964749784583377e-08,3.2053248736429822e-24,0.0,0.0,2.7755575615628914e-17,6.162975822039155e-33,0.0,3.851859888774472e-34,1.1555579666323415e-33,0.0,2.5849394142282115e-26,0.0,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0,1.1555579666323415e-33,1.1631924598285307e-17,0.0,0.0,4.930380657631324e-32,1.163192459828501e-17,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,1.2924697071141057e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.851859888774472e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.311115933264683e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,1.5407439555097887e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.598876247496814e-09,6.598876247496814e-09,1.4746724564530757e-10,5.215335691287203e-10,1.4746724564530752e-10,2.4462019022463304e-09,1.062894310937565e-09,5.215335691287203e-10,3.3642462831178892e-09,3.3642462831178884e-09,3.1866316335209102e-09,2.5819694049863826e-09,1.249439053966755e-09,1.828353693406529e-11,1.828353693406528e-11,7.490551106679268e-11,8.025145252468089e-10,7.490551106679265e-11,1.942843949099309e-09,1.94284394909931e-09,1.062894310937565e-09,2.4462019022463304e-09,8.025145252468089e-10,1.249439053966755e-09,3.1866316335209102e-09,1.0100171249113408e-09,8.770016512425539e-10,2.5819694049863826e-09,8.770016512425539e-10,1.0100171249113408e-09,1.9387045606711586e-25,1.1632227364026952e-25,0.0,0.0,7.703719777548943e-34,7.703719777548943e-34,0.0,7.703719777548943e-34,7.703719777548943e-34,2.0679515313825692e-25,1.0339757656912846e-25,0.0,0.0,0.0,3.851859888774472e-34,0.0,2.0672553653657725e-18,7.703719777548943e-34,0.0,7.703719777548943e-34,2.067255365365773e-18,4.949884316661921e-16,1.6936551173405147e-24,2.3726847803790098e-24,7.294731326621588e-10,0.0,7.932074841977794e-10,1.734426322030045e-24,1.7987962275776535e-24,2.0679515313825692e-25,1.7535167541335273e-25,1.5693966256112355e-24,1.5352972732665346e-24,2.249757767474901e-25,2.4670724011502535e-25,1.2156461510778473e-24,1.3940733743554991e-24,2.0655363292732987e-25,5.864264197689262e-10,0.0,3.851859888774472e-34,3.851859888774472e-34,1.1555579666323415e-33,0.0,0.0,1.925929944387236e-34,0.0,0.0,3.1349534151268525e-17,7.703719777548943e-34,1.5407439555097887e-33,7.703719777548943e-34,0.0,0.0,0.0,1.5606499072127597e-24,2.5062793707024324e-16,1.232595164407831e-32,0.0,1.232595164407831e-32,0.0,0.0,7.703719777548943e-34,7.703719777548943e-34,7.703719777548943e-34,2.217805086043469e-24,7.294731326621594e-10,1.9520776708121414e-16,1.5407439555097887e-33,1.1555579666323415e-33,1.1555579666323415e-33,3.0814879110195774e-33,3.0814879110195774e-33,1.5407439555097887e-33,7.703719777548943e-34,7.932074841977794e-10,2.216349083097564e-24,1.5919980963458773e-24,2.92157320801985e-17,0.0,1.2037062152420224e-35,2.407412430484045e-35,5.7777898331617076e-34,3.851859888774472e-34,7.703719777548943e-34,1.925929944387236e-34,2.2074894700288726e-25,1.7419335449004237e-24,1.3879139089301062e-24,2.3402173363817656e-25,5.989778739973838e-18,1.925929944387236e-34,3.851859888774472e-34,7.703719777548943e-34,9.62964972193618e-35,0.0,0.0,7.703719777548943e-34,2.5638709042620647e-25,1.56408970891945e-24,1.5535665109850887e-24,2.0878978895687145e-25,5.864264197689262e-10,5.4227599767584094e-18
6,2.7888494513733774e-08,2.788849451373377e-08,2.3536817637509548e-09,2.204130754367738e-09,2.3536817637509213e-09,1.0338258480928568e-08,1.6964546571009845e-08,2.2041307543676743e-09,3.364246252872375e-09,3.36424625287238e-09,1.3467498933996534e-08,2.5819693817737507e-09,1.249439042733948e-09,2.918182086487343e-10,2.918182086487337e-10,7.490551039337527e-11,1.2808700636898082e-08,7.490551039336708e-11,3.1009166495233936e-08,3.100916649523394e-08,1.696454657100982e-08,1.0338258480928518e-08,1.2808700636898082e-08,1.2494390427339414e-09,1.3467498933996534e-08,1.0100171158310027e-09,3.706427400951988e-09,2.58196938177375e-09,3.706427400951988e-09,1.0100171158310023e-09,5.816113682013476e-24,2.5849394142282115e-26,3.0814879110195774e-33,5.551115123125783e-17,3.0814879110195774e-33,0.0,9.860761315262648e-32,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,7.703719777548943e-33,7.395570986446986e-32,1.0298065992210688e-17,0.0,6.162975822039155e-33,2.465190328815662e-32,1.0298065992210689e-17,2.8949471554525073e-16,3.624538522434652e-24,1.602341906996193e-23,4.011220205674897e-09,0.0,4.361682076343502e-09,3.9385777587907024e-24,5.402990801019216e-24,8.271806125530277e-25,2.9213684770474336e-23,1.0473525387246596e-22,1.0182555209049132e-22,4.143573022627672e-23,4.605492585784393e-23,8.088400493880732e-23,9.289991192049262e-23,3.0303333941480794e-23,3.224636246072845e-09,6.617444900424222e-24,1.232595164407831e-32,0.0,0.0,2.465190328815662e-32,2.465190328815662e-32,0.0,2.465190328815662e-32,4.930380657631324e-32,2.780777175827106e-16,1.0785207688568521e-32,1.232595164407831e-32,3.8518598887744717e-32,0.0,0.0,1.5407439555097887e-33,2.0026857660467338e-23,1.0404709042135784e-15,3.697785493223493e-32,2.465190328815662e-32,3.697785493223493e-32,0.0,0.0,1.5407439555097887e-33,6.162975822039155e-33,0.0,2.6245727954448952e-23,4.0112202056749e-09,8.102582939621381e-16,0.0,1.0785207688568521e-32,4.622231866529366e-33,0.0,0.0,3.0814879110195774e-33,9.860761315262648e-32,4.361682076343504e-09,2.6220344624531255e-23,2.0671431484674283e-23,2.815398712328354e-16,1.232595164407831e-32,6.162975822039155e-33,1.5407439555097887e-32,2.465190328815662e-32,4.930380657631324e-32,1.8488927466117464e-32,9.244463733058732e-33,3.502155535541198e-23,1.1600604854915335e-22,9.231547515626166e-23,3.851418387979513e-23,5.25690534339678e-16,3.0814879110195774e-32,2.465190328815662e-32,2.465190328815662e-32,1.8488927466117464e-32,0.0,9.860761315262648e-32,2.465190328815662e-32,4.372329604927384e-23,1.0394956424668854e-22,1.0330200089657047e-22,3.367225890153335e-23,3.2246362460728506e-09,4.759263594752417e-16
7,1.9895012484260308e-08,1.9895012484260314e-08,2.353489882966897e-09,1.5723763379731173e-09,2.3534898829668787e-09,7.3750765371108935e-09,1.696316355885113e-08,1.5723763379730722e-09,2.0577201163667856e-08,2.0577201163667836e-08,9.607404920752452e-09,1.5792453754485984e-08,7.642115526509413e-09,2.91794418556337e-10,2.91794418556309e-10,4.5815485543475096e-10,1.2807656424567166e-08,4.581548554347009e-10,3.1006638514063625e-08,3.100663851406364e-08,1.6963163558851117e-08,7.375076537110859e-09,1.2807656424567143e-08,7.64211552650937e-09,9.607404920752446e-09,6.177706329748459e-09,2.644080316979142e-09,1.579245375448598e-08,2.6440803169791406e-09,6.177706329748455e-09,1.6026624368214911e-24,2.5849394142282115e-25,2.465190328815662e-32,2.7755575615628914e-17,3.697785493223493e-32,4.930380657631324e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,3.101927297073854e-25,3.308722450212111e-24,0.0,5.551115123125783e-17,5.551115123125783e-17,1.232595164407831e-32,4.930380657631324e-32,3.160115029882181e-18,4.930380657631324e-32,2.465190328815662e-32,2.465190328815662e-32,3.1601150298821434e-18,1.9754736950697515e-16,3.725572645603166e-24,6.039990960878596e-25,4.771474872117246e-09,8.271806125530277e-25,5.188360488909014e-09,8.88908777823955e-24,2.0558384198566394e-25,8.271806125530277e-25,1.2575932337156977e-23,6.409506801444282e-23,8.31857395758165e-23,2.083831978206306e-23,2.3584709690582167e-23,5.750966586213225e-23,6.129508799023758e-23,9.926559260897198e-24,3.835808066105974e-09,0.0,7.703719777548943e-34,7.703719777548943e-34,7.703719777548943e-34,0.0,0.0,1.232595164407831e-32,4.930380657631324e-32,4.930380657631324e-32,8.24032675103494e-17,1.6948183510607676e-32,1.6948183510607676e-32,3.235562306570556e-32,0.0,0.0,0.0,8.393929264943211e-24,8.827488261373648e-16,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,9.244463733058732e-33,2.465190328815662e-32,4.930380657631324e-32,9.298764633614258e-24,4.771474872117231e-09,6.920157763668829e-16,3.697785493223493e-32,1.232595164407831e-32,6.162975822039155e-33,0.0,0.0,1.232595164407831e-32,9.860761315262648e-32,5.188360488909014e-09,8.684301035469317e-24,5.951991877723033e-24,1.0342677784016432e-16,0.0,1.0785207688568521e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,4.930380657631324e-32,0.0,1.374357364082626e-23,7.901214153336348e-23,6.664445928519463e-23,1.621951555654412e-23,6.2528831341542975e-16,6.162975822039155e-33,0.0,2.465190328815662e-32,1.8488927466117464e-32,0.0,4.930380657631324e-32,0.0,1.958741453626568e-23,7.781883016583064e-23,7.562185748334548e-23,1.365087992099166e-23,3.83580806610598e-09,5.660988742313291e-16
8,9.81718383153365e-09,9.817183831533657e-09,3.230601091840642e-09,7.758883074061002e-10,3.2306010918406387e-09,3.6392277810194195e-09,2.32850861654062e-08,7.758883074060582e-10,1.6792340050348848e-09,1.6792340050348766e-09,4.740769091028525e-09,1.2887673671722417e-09,6.236465377603395e-10,4.005419245706195e-10,4.0054192457061937e-10,3.738842842127616e-11,1.7580882386018953e-08,3.738842842126847e-11,4.2562358547963715e-08,4.2562358547963715e-08,2.32850861654062e-08,3.6392277810193865e-09,1.7580882386018953e-08,6.236465377603331e-10,4.740769091028525e-09,5.041411832212468e-10,1.3047200929207779e-09,1.2887673671722417e-09,1.3047200929207779e-09,5.041411832212468e-10,1.796532892888607e-24,3.877409121342317e-26,7.703719777548943e-34,5.551115123125783e-17,7.703719777548943e-34,6.162975822039155e-33,2.465190328815662e-32,4.930380657631324e-32,0.0,1.0339757656912846e-25,1.6543612251060553e-24,0.0,5.551115123125783e-17,0.0,9.62964972193618e-34,0.0,6.714554080313789e-18,4.930380657631324e-32,3.0814879110195774e-33,3.0814879110195774e-33,6.714554080313786e-18,3.602382573202556e-15,6.457401581500534e-23,7.18124237852412e-23,8.832277767662477e-10,0.0,9.603957314036049e-10,6.417769203610432e-23,6.596082113023603e-23,2.0679515313825692e-25,5.6166891048119445e-24,1.2442309334753673e-22,1.2353739527127397e-22,9.442471786352939e-24,1.1474845704329951e-23,7.083228795493169e-23,9.798669401077365e-23,1.0638236522850893e-23,7.100304038330948e-10,0.0,2.311115933264683e-33,7.703719777548943e-34,0.0,2.465190328815662e-32,2.465190328815662e-32,1.925929944387236e-34,0.0,0.0,1.556706906263295e-16,6.162975822039155e-33,4.3140830754274083e-32,1.4174844390690056e-31,1.9721522630525295e-31,1.9721522630525295e-31,3.851859888774472e-34,2.7420678835499146e-23,1.823419242592697e-15,0.0,4.930380657631324e-32,0.0,9.860761315262648e-32,9.860761315262648e-32,3.851859888774472e-34,1.5407439555097887e-33,6.162975822039155e-33,4.3550112259692794e-23,8.8322777676625e-10,1.4208994501438918e-15,6.162975822039155e-33,3.0814879110195774e-33,3.0814879110195774e-33,1.232595164407831e-32,1.232595164407831e-32,3.851859888774472e-34,0.0,9.60395731403605e-10,4.347243865476219e-23,2.753352532460612e-23,1.4014433818340904e-16,1.5407439555097887e-33,1.5407439555097887e-33,7.703719777548943e-34,3.0814879110195774e-33,3.0814879110195774e-33,0.0,3.0814879110195774e-33,1.2255770930086197e-23,1.4591001798312752e-22,1.1405435469228737e-22,1.1440181241807943e-23,3.5395023166707423e-17,3.0814879110195774e-33,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,1.3166980805407859e-23,1.4243627324086599e-22,1.1743644082220148e-22,1.076215478450915e-23,7.100304038330952e-10,2.685382848952083e-17
9,8.745517562667495e-09,8.745517562667499e-09,3.1227038093261594e-09,6.911905629486773e-10,3.1227038093261565e-09,3.2419613424393594e-09,2.2507398840682522e-08,6.911905629486423e-10,1.2205196755627e-09,1.2205196755626974e-09,4.2232558804660964e-09,9.367163386047457e-10,4.5328576461101723e-10,3.871644186620593e-10,3.8716441866205927e-10,2.71750764870879e-11,1.6993707002945758e-08,2.7175076487082665e-11,4.1140838931589195e-08,4.1140838931589195e-08,2.2507398840682522e-08,3.241961342439332e-09,1.6993707002945758e-08,4.532857646110129e-10,4.2232558804660964e-09,3.6642554375274254e-10,1.162293859706737e-09,9.367163386047457e-10,1.162293859706737e-09,3.6642554375274254e-10,1.2860073585785352e-24,4.52364397489937e-26,0.0,2.7755575615628914e-17,3.851859888774472e-34,0.0,2.465190328815662e-32,2.465190328815662e-32,0.0,0.0,1.6543612251060553e-24,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,4.81482486096809e-34,2.465190328815662e-32,5.914732605328727e-18,2.465190328815662e-32,0.0,6.162975822039155e-33,5.9147326053287375e-18,3.612706964703555e-15,6.377769343042358e-23,7.027009716740534e-23,8.83227776766238e-10,0.0,9.603957314035989e-10,6.338883808282859e-23,6.502758899472728e-23,4.1359030627651384e-25,5.272379221247062e-24,1.196861133113488e-22,1.1890116383491327e-22,8.885785136351743e-24,1.0819403300336696e-23,6.76369077762463e-23,9.400644165618739e-23,1.0157339181101226e-23,7.100304038330928e-10,0.0,2.311115933264683e-33,2.311115933264683e-33,3.0814879110195774e-33,1.232595164407831e-32,1.232595164407831e-32,0.0,3.697785493223493e-32,0.0,1.5626308312843104e-16,1.232595164407831e-32,3.697785493223493e-32,1.232595164407831e-32,1.9721522630525295e-31,1.9721522630525295e-31,0.0,2.5989478638139425e-23,1.834621810919584e-15,4.930380657631324e-32,9.860761315262648e-32,4.930380657631324e-32,1.9721522630525295e-31,1.9721522630525295e-31,9.62964972193618e-35,0.0,0.0,4.161784865745672e-23,8.832277767662397e-10,1.429646366256899e-15,1.232595164407831e-32,0.0,6.162975822039155e-33,1.232595164407831e-32,1.232595164407831e-32,3.851859888774472e-34,4.930380657631324e-32,9.603957314035993e-10,4.1546242099458623e-23,2.6084928298892647e-23,1.4036057915517136e-16,3.0814879110195774e-33,0.0,3.851859888774472e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,6.162975822039155e-33,1.1707302359472589e-23,1.4051894838409772e-22,1.0982405870591733e-22,1.0836291659224728e-23,2.987222946477959e-17,1.5407439555097887e-33,6.162975822039155e-33,0.0,3.0814879110195774e-33,1.5407439555097887e-33,0.0,0.0,1.2480740716544694e-23,1.374247050701734e-22,1.1285584563725745e-22,1.0258966876561508e-23,7.10030403833093e-10,2.1942895778690197e-17
