,Y2Z3,Y3Z2,Y3Z0,Y0Z3,Y3Z1,Y1Z3,Y2Z1,Y1Z2,Y4Z1,Y1Z4,Y5Z4,Y4Z5,Y4Z0,Y0Z4,Y5Z0,Y0Z5,Y5Z3,Y3Z5,Y1Z0,Y0Z1,Y0Z2,Y2Z0,Y4Z3,Y3Z4,Y5Z2,Y2Z5,Y1Z5,Y5Z1,Y2Z4,Y4Z2,X4Y3,X5Y2,X3Y4,X0Y3,X0Y2,standard_y,Y0,X1Y5,Y4,Y1,X4Y0,X3Y2,X3Y0,X2Y4,X2Y3,X2Y0,X1Y3,X0Y1,X5Y1,X5Y0,X4Y5,X4Y1,X1Y4,X3Y5,X3Y1,X2Y5,X2Y1,X0Y5,X1Y0,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9917405840162875,0.9917405840162874,0.9024393199755314,0.9024393199755314,0.8524812187357209,0.8524812187357209,0.6967267022119024,0.6967267022119024,0.686028163611736,0.686028163611736,0.669828820495981,0.669828820495981,0.6255373657823495,0.6255373657823495,0.5266718772682599,0.5266718772682599,0.41020028534293407,0.41020028534293407,0.39748887698145746,0.3974888769814574,0.1895115698338155,0.18951156983381542,0.1733197006715852,0.17331970067158517,0.14061496110044236,0.1406149611004423,0.135506721020501,0.13550672102050088,0.12236895925038421,0.12236895925038407,1.6653345369377348e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0027582827037562468,0.0027582827037562468,0.0025099131845522787,0.7129284831146766,0.0023709670036828577,0.15575721125023714,0.0019377740942833675,0.15575121938642705,0.6860281636117362,0.686028163611736,0.669828820495981,0.669828820495981,0.6255373657823498,0.6255373657823495,0.5266718772682599,0.5266718772682599,0.2695858680982809,0.0011408712826445249,0.3974888769814576,0.3974888769814575,0.7129242597816234,0.000527079857030155,0.050951214707019236,0.0004820461522776526,0.2695837377128778,0.0003910859566944351,0.13550672102050093,0.13550672102050096,0.0003403391866954638,0.050950071073452376,0.0,1.0842021724855044e-19,2.168404344971009e-19,0.0,0.0,2.224782857940255e-16,2.7755575615628914e-17,8.326672684688674e-17,1.6653345369377348e-16,5.551115123125783e-17,0.0,0.0,0.0,2.168404344971009e-19,2.7755575615628914e-17,0.0,2.168404344971009e-19,2.1505422068235388e-17,1.3877787807814457e-17,0.0,4.163336342344337e-17,1.3877787807814457e-17,8.326672684688674e-17,5.421010862427522e-20,5.421010862427522e-20,1.0842021724855044e-19,5.421010862427522e-20,0.0,3.1133920203638387e-18,0.0,2.7755575615628914e-17,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-16,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00017209193457767523,2.3117506509470486e-08,2.1035891028527976e-08,7.74687010352039e-05,1.9871366001298902e-08,0.2417343420800868,0.00014945987214204208,0.24173436857978087,0.6860281636117356,0.6860281636117358,0.6698288204959808,0.6698288204959808,0.574586621846386,6.797261976423092e-05,0.25708655138196146,5.722962242118911e-05,0.2570865466810196,9.561782505866166e-09,0.24173434534632426,4.319224042160988e-05,7.746869830510631e-05,0.00017209193308165911,0.5745866178525367,4.04008807653081e-09,0.25708654723653,3.016432991675184e-05,0.13550672102050082,0.13550672102050082,2.6250248405370713e-05,0.5745866102631079,0.0,1.3552527156068805e-20,3.308722450212111e-24,1.3552527156068805e-20,1.6543612251060553e-24,5.5494212226673966e-17,3.3881317890172014e-21,0.0,5.551115123125783e-17,1.3877787807814457e-17,0.0,0.0,1.3552527156068805e-20,0.0,3.3881317890172014e-21,1.6543612251060553e-24,0.0,1.756432287886844e-21,6.938893903907228e-18,0.0,0.0,3.469446951953614e-17,2.7755575615628914e-17,1.2407709188295415e-24,0.0,3.3881317890172014e-21,6.776263578034403e-21,8.470329472543003e-22,1.3277021347183359e-21,0.0,1.3877787807814457e-17,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.1057956797823448e-05,1.2006608473583205e-11,1.092547361753921e-11,6.261685614824209e-07,8.222338228890473e-12,6.6768481953854e-05,7.91697015128702e-06,6.676848198407457e-05,0.00018948509838568624,0.00018948509838568627,0.5343221046443676,0.00018501074254013012,0.00015870427603551223,2.0029631844569735e-07,0.2570865530125138,4.625789523390408e-07,0.2570865530122067,4.966131568317299e-12,6.676848195391294e-05,2.0029628417138434e-07,6.261685613913096e-07,1.1057956797817166e-05,0.00015870427603544016,8.222337755170613e-12,0.25708655301450023,1.93824224440541e-06,3.742777006312997e-05,0.5343220739249406,7.91696972061427e-06,0.0001587042760267851,0.0,0.0,1.9721522630525295e-31,0.0,4.0389678347315804e-28,2.7105053504344044e-20,0.0,3.3881317890172014e-21,2.710505431213761e-20,0.0,6.462348535570529e-27,1.0587911840678754e-22,0.0,2.0679515313825692e-25,1.0587911840678754e-22,4.0389678347315804e-28,9.860761315262648e-32,1.3818389710603204e-27,3.3881317890172014e-21,1.3234889800848443e-23,6.776263578034403e-21,0.0,1.3877787807814457e-17,4.0389678347315804e-28,9.860761315262648e-32,4.235164736271502e-22,1.550963648536927e-25,5.293955920339377e-23,9.133506664393542e-27,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.7405544835899483e-06,2.8938556022699654e-13,2.633278423722347e-13,4.4615593115115655e-08,3.178709879734042e-13,2.638222428142763e-06,3.3337042582401257e-06,2.638222428279398e-06,3.948839836901829e-09,6.008240053403783e-06,0.00028181083642137743,3.8555949603499144e-09,3.3073723097274312e-09,1.8688087709581198e-08,0.00013559195213987287,1.8688094278688552e-08,0.00013559195213987206,3.178709770471068e-13,2.638222428142775e-06,1.8688087711431098e-08,4.461559311437282e-08,3.7405544835899372e-06,3.307372309727424e-09,3.1787098796270643e-13,0.00013559195214001048,3.3337039767651367e-06,6.00823880637014e-06,0.0002818108363960817,3.3337042580517206e-06,3.3073723097067856e-09,2.82118644197349e-37,0.0,1.88079096131566e-37,0.0,2.524354896707238e-29,6.352746851971763e-22,0.0,0.0,0.0,2.117582368135751e-22,1.232595164407831e-32,3.308722450212111e-24,2.117582368135751e-22,1.5777218104420236e-30,0.0,6.310887241768095e-30,1.925929944387236e-34,2.6978880401795817e-30,0.0,0.0,0.0,0.0,6.776263578034403e-21,6.162975822039155e-33,9.62964972193618e-35,0.0,1.6155871338926322e-27,3.2311742677852644e-27,6.857422149476697e-31,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0
5,6.094224388857476e-07,8.469758999244036e-14,7.707099694486879e-14,8.014905587526538e-08,9.30347319041017e-14,1.292834255923247e-07,5.431371856952911e-07,1.2928342559250242e-07,1.9124518898639233e-10,2.9442772564718175e-07,4.107630947932186e-09,1.9124512238395134e-10,8.104727212217271e-11,3.3571961034155395e-08,1.9763672135484643e-09,3.3571961034155395e-08,1.9763672135484254e-09,9.303473190409418e-14,1.2928342559232655e-07,3.3571961034163375e-08,8.014905587522996e-08,6.094224388857418e-07,8.104727212217209e-11,9.303473190409418e-14,1.976367213548479e-09,5.431371856952173e-07,2.944277256462909e-07,4.1076308871805626e-09,5.431371856952173e-07,8.104727212215864e-11,1.4693679385278594e-39,0.0,0.0,0.0,6.310887241768095e-30,4.9617899434336036e-23,3.308722450212111e-24,0.0,1.2924697071141057e-26,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,4.733165431326071e-30,1.504632769052528e-36,4.509084694525165e-31,6.462348535570529e-27,2.465190328815662e-32,0.0,1.0339757656912846e-25,0.0,2.350988701644575e-38,1.504632769052528e-36,1.9721522630525295e-31,1.262177448353619e-29,4.930380657631324e-32,4.715211559501089e-32,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70197740328915e-38,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,0.0,0.0,0.0,0.0
6,2.735838563302219e-08,2.4259533131012462e-15,2.207508388233437e-15,5.1137296985973116e-08,2.664750156173834e-15,2.2087451385466615e-08,2.4382686999603552e-08,2.2087451385466674e-08,3.267671579615708e-11,5.0301560675529125e-08,1.9783368084038087e-08,3.267666099348681e-11,1.3848736321459941e-11,2.1419832374287258e-08,9.51867405986273e-09,2.141983237428729e-08,9.51867405986265e-09,2.6647501561738263e-15,2.2087451385466747e-08,2.1419832374287404e-08,5.113729698597308e-08,2.7358385633022085e-08,1.3848736321459896e-11,2.664750156173827e-15,9.518674059862652e-09,2.4382686999603446e-08,5.030156067479605e-08,1.9783368082264678e-08,2.4382686999603453e-08,1.384873632145989e-11,5.739718509874451e-42,4.930380657631324e-32,5.739718509874451e-42,0.0,0.0,4.963083675318166e-24,0.0,4.0389678347315804e-28,0.0,1.6543612251060553e-24,0.0,3.308722450212111e-24,0.0,0.0,4.963083675318166e-24,0.0,5.877471754111438e-39,8.832062809173643e-32,0.0,9.860761315262648e-32,0.0,4.1359030627651384e-25,4.1359030627651384e-25,0.0,5.877471754111438e-39,0.0,0.0,0.0,9.93235706244446e-32,1.0329357564087132e-14,1.6543612251060553e-24,7.690019778393097e-16,2.5102012400266874e-30,2.704379682437103e-32,0.0,1.0810321958813918e-22,1.9802073913448237e-25,9.69226316199106e-16,1.6543612251060553e-24,1.0482136006341139e-18,3.0575863929575065e-16,8.611029636992801e-29,7.288042992082453e-22,3.476006759820593e-23,9.289388072942526e-26,1.0785637470735643e-14,8.732899340783237e-22,4.519751808255306e-23,0.0,0.0,3.697785493223493e-32,2.465190328815662e-32,0.0,0.0,0.0,2.7127250681990665e-16,0.0,0.0,9.62964972193618e-35,9.62964972193618e-35,9.62964972193618e-35,0.0,7.690019778647211e-16,1.0890693543632828e-18,9.4039548065783e-38,0.0,9.4039548065783e-38,0.0,0.0,3.933184074170056e-29,3.8399374508415606e-32,1.2859797889361428e-21,0.0,7.888609052210118e-31,7.888609052210118e-31,0.0,0.0,3.2320046292212864e-22,3.1209080776716037e-25,9.692263161991396e-16,1.0261679397939712e-14,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,0.0,1.9721522630525295e-31,1.0482136357493846e-18,3.057586393560908e-16,1.0115185820175003e-28,7.927584333961228e-22,6.883264995724518e-16,0.0,9.860761315262648e-32,4.930380657631324e-32,4.930380657631324e-32,9.860761315262648e-32,1.925929944387236e-34,5.08290330536152e-23,1.1539433442632458e-25,1.07856374707357e-14,1.0991147667796785e-21,1.1545584381531712e-22,8.930086236195129e-16
7,4.707648198133981e-08,1.6711443247298636e-15,1.5206661623977853e-15,2.0471787018809446e-08,1.8356421272675464e-15,1.9116640598182657e-08,4.1956098601373765e-08,1.9116640598182816e-08,2.828226090260275e-11,4.35358901386056e-08,8.360430325850597e-11,2.8282260702157165e-11,1.1985492403788244e-11,8.574998527303657e-09,4.0225815302199135e-11,8.574998527303657e-09,4.0225815302199077e-11,1.8356421272675432e-15,1.911664059818267e-08,8.5749985273037e-09,2.0471787018809393e-08,4.7076481981339784e-08,1.198549240378824e-11,1.8356421272675432e-15,4.022581530219908e-11,4.1956098601373646e-08,4.353589013860292e-08,8.360430193004043e-11,4.1956098601373646e-08,1.1985492403788227e-11,5.739718509874451e-42,3.851859888774472e-34,8.609577764811676e-42,0.0,0.0,3.295797950356196e-24,0.0,1.6155871338926322e-27,0.0,3.308722450212111e-24,4.81482486096809e-35,1.6543612251060553e-24,0.0,0.0,8.271806125530277e-25,9.860761315262648e-32,1.1754943508222875e-38,3.381532892280602e-32,4.0389678347315804e-28,0.0,0.0,1.6155871338926322e-27,1.6155871338926322e-27,0.0,0.0,0.0,1.9721522630525295e-31,1.925929944387236e-34,1.3505912517571174e-32,7.596494371661496e-15,1.2924697071141057e-26,5.674393989503832e-16,1.1284279248658019e-32,9.692184007340056e-33,1.9721522630525295e-31,3.818398856302067e-25,1.3502511471330205e-25,6.0157204325595e-16,0.0,7.734850874793361e-19,1.1016234900049317e-18,2.6787708376225035e-29,4.621246447882126e-22,9.724888702539403e-26,4.3248048194698646e-26,8.07392596488364e-15,3.563207476048012e-22,2.885144864734996e-23,9.62964972193618e-35,9.62964972193618e-35,1.4444474582904269e-34,9.62964972193618e-35,9.62964972193618e-35,3.308722450212111e-24,2.2958874039497803e-41,9.773727891222448e-19,4.81482486096809e-35,4.81482486096809e-35,4.81482486096809e-35,9.62964972193618e-35,9.62964972193618e-35,0.0,5.674393989504625e-16,8.036242993697018e-19,0.0,0.0,0.0,0.0,4.70197740328915e-38,6.478367135734788e-32,1.3365113788033865e-32,4.826818825313619e-22,0.0,0.0,1.5777218104420236e-30,7.888609052210118e-31,7.888609052210118e-31,1.0438558724323171e-24,2.238635601669137e-25,6.01572043255971e-16,7.652482622925114e-15,3.697785493223493e-32,3.697785493223493e-32,2.465190328815662e-32,2.465190328815662e-32,2.465190328815662e-32,5.9164567891575885e-31,7.734850875888367e-19,1.1016235285416648e-18,3.368242342341526e-29,5.194980179163955e-22,5.079097147268406e-16,0.0,0.0,2.465190328815662e-32,2.465190328815662e-32,9.860761315262648e-32,9.62964972193618e-35,1.2129584182621485e-25,4.6787423135001023e-26,8.073925964883649e-15,4.1615377869282113e-22,5.413303569193287e-23,5.656784803970681e-16
8,3.044410780434227e-08,2.460602711704514e-16,2.2390378142519394e-16,4.661052727669925e-09,2.7028100560655726e-16,7.089941067484432e-09,2.7132783400767755e-08,7.089941067484455e-09,1.0488710616970246e-11,1.614650303319392e-08,4.0499781146532485e-09,1.0488714218202912e-11,4.444854684146848e-12,1.9523708525656183e-09,1.9486278302095312e-09,1.9523708525656183e-09,1.9486278302095312e-09,2.7028100560655726e-16,7.089941067484432e-09,1.95237085256562e-09,4.66105272766992e-09,3.044410780434227e-08,4.444854684146848e-12,2.7028100560655726e-16,1.9486278302095312e-09,2.7132783400767742e-08,1.614650303324209e-08,4.04997811483597e-09,2.7132783400767742e-08,4.444854684146848e-12,1.793662034335766e-43,0.0,0.0,0.0,1.232595164407831e-32,8.263727943341781e-25,0.0,4.0389678347315804e-28,8.077935669463161e-28,8.271806125530277e-25,0.0,2.0679515313825692e-25,0.0,0.0,2.0679515313825692e-25,0.0,5.510129769479473e-40,6.158157764568722e-34,4.0389678347315804e-28,1.5407439555097887e-33,1.6543612251060553e-24,1.0339757656912846e-25,0.0,9.183549615799121e-41,9.183549615799121e-41,0.0,2.465190328815662e-32,0.0,5.2489698222153004e-34,6.428132182052244e-15,0.0,4.0987855119921425e-16,8.760913635880704e-32,8.570771320303486e-34,2.465190328815662e-32,7.936116353048417e-24,3.3462650879368635e-26,7.806612071511771e-16,0.0,5.586819719878371e-19,1.0393501881380021e-16,6.659586848518902e-31,1.6827878890803974e-22,6.739388361982622e-24,1.5563828576069457e-26,7.15678538558647e-15,2.6268117906005517e-23,1.7492659467084707e-23,0.0,6.162975822039155e-33,0.0,6.162975822039155e-33,6.162975822039155e-33,1.6543612251060553e-24,1.8367099231598242e-40,9.221231870403152e-17,0.0,4.81482486096809e-35,0.0,4.81482486096809e-35,4.81482486096809e-35,2.407412430484045e-35,4.098785511964416e-16,5.804499799260114e-19,7.346839692639297e-40,1.4693679385278594e-39,2.938735877055719e-39,7.346839692639297e-40,0.0,2.0938310452246456e-31,4.7554092872484274e-34,2.673916142096841e-25,0.0,0.0,0.0,0.0,0.0,4.0277774139611797e-23,3.8382973286658516e-26,7.806612071511779e-16,6.9112443862928246e-15,1.232595164407831e-32,2.465190328815662e-32,1.232595164407831e-32,0.0,0.0,0.0,5.586819681562721e-19,1.0393501880347691e-16,6.678944536401624e-31,1.6123926432939665e-22,3.668784691302231e-16,0.0,0.0,0.0,4.930380657631324e-32,0.0,6.018531076210112e-36,6.3858213688604686e-24,1.0524379307949619e-26,7.15678538558647e-15,2.0872847929296922e-23,1.983001306494851e-23,7.583588049140901e-16
9,3.5296793658512773e-08,2.852822265970609e-16,2.5959401952431116e-16,4.661061024732031e-09,3.1336361039047626e-16,7.089942467411755e-09,3.1457655557947414e-08,7.089942467411787e-09,1.0489166378548093e-11,1.614650622136776e-08,1.6173925822077383e-09,1.0489167816730754e-11,4.445085730399655e-12,1.9523743279483568e-09,7.782007973567252e-10,1.9523743279483568e-09,7.782007973567252e-10,3.1336361039047626e-16,7.089942467411755e-09,1.9523743279483584e-09,4.6610610247320244e-09,3.5296793658512773e-08,4.445085730399655e-12,3.1336361039047626e-16,7.782007973567252e-10,3.145765555794739e-08,1.6146506221386997e-08,1.6173925823904679e-09,3.145765555794739e-08,4.4450857303996524e-12,0.0,0.0,3.587324068671532e-43,0.0,2.465190328815662e-32,3.3087224255602074e-24,0.0,4.0389678347315804e-28,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,2.0679515313825692e-25,6.162975822039155e-33,3.6734198463196485e-40,2.0794384863450876e-34,2.0194839173657902e-28,3.851859888774472e-34,0.0,1.0339757656912846e-25,5.169878828456423e-26,4.591774807899561e-41,3.6734198463196485e-40,6.162975822039155e-33,0.0,0.0,2.1645239816999703e-33,8.435016509143412e-15,0.0,3.559497362180952e-16,3.118359030090383e-31,7.025841850461954e-34,2.465190328815662e-32,8.72211506507783e-24,5.850844765160377e-26,7.208488704374491e-16,3.308722450212111e-24,4.851956290261858e-19,3.604608204854716e-17,1.4957505739774155e-30,1.9746511612227395e-22,2.481721473441992e-24,1.4445511049416492e-26,9.342066191071163e-15,1.295706833994265e-22,1.6101938592858945e-23,3.0814879110195774e-33,0.0,3.0814879110195774e-33,6.162975822039155e-33,3.0814879110195774e-33,0.0,0.0,3.198048976588532e-17,0.0,2.407412430484045e-35,0.0,0.0,0.0,2.407412430484045e-35,3.5594973621713353e-16,5.041010417171739e-19,0.0,0.0,1.1754943508222875e-38,5.877471754111438e-39,5.877471754111438e-39,3.1405663319011133e-31,1.0718338146903667e-33,9.942885609514462e-23,1.5777218104420236e-30,1.5777218104420236e-30,0.0,0.0,0.0,2.3459984664971157e-23,9.788791945057699e-26,7.208488704374509e-16,8.847801159231976e-15,2.465190328815662e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,1.232595164407831e-32,4.930380657631324e-32,4.851956276973465e-19,3.6046082039581744e-17,2.977646982477651e-30,2.234264945200339e-22,3.186072897187461e-16,0.0,0.0,4.930380657631324e-32,4.930380657631324e-32,0.0,0.0,2.361765410983724e-24,9.88634566148021e-27,9.342066191071163e-15,1.013798116239499e-22,1.8397794194477397e-23,6.999154516542839e-16
