,Y4Z3,Y3Z4,Y0Z3,Y3Z0,Y1Z2,Y2Z1,Y5Z3,Y3Z5,Y5Z4,Y4Z5,Y2Z5,Y5Z2,Y0Z2,Y2Z0,Y0Z1,Y1Z0,Y1Z3,Y3Z1,Y5Z1,Y1Z5,Y4Z1,Y1Z4,Y2Z3,Y3Z2,Y5Z0,Y0Z5,Y0Z4,Y4Z0,Y4Z2,Y2Z4,X4Y3,Y3,standard_y,X5Y3,X1Y3,X1Y2,Y4,Y0,X3Y4,X3Y2,X2Y3,X0Y4,X1Y0,X0Y1,Y1,X5Y1,X4Y0,X3Y5,X2Y5,X2Y4,X1Y4,X0Y5,X4Y1,X1Y5,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y2,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y1,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y1,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8937793635045664,0.8937793635045663,0.809742755495277,0.8097427554952767,0.6931668373027555,0.6931668373027554,0.68881358274658,0.68881358274658,0.6347796855441102,0.6347796855441102,0.6317971572750812,0.6317971572750811,0.5566917301473993,0.5566917301473991,0.49448743597943484,0.4944874359794347,0.4861671727703992,0.4861671727703991,0.405500042895381,0.405500042895381,0.35934487033728135,0.35934487033728135,0.3297995475987595,0.32979954759875946,0.32096747907979223,0.32096747907979223,0.320615569452388,0.3206155694523879,0.1675882811446039,0.1675882811446039,1.6653345369377348e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0003779600305104158,0.0003779600305104159,0.48912721471011933,0.00034242276010103853,0.6931668373027555,0.6931668373027555,0.05403395396008624,0.00029128441915470134,0.05403383561351548,0.00026843464854110874,0.6317971572750812,0.6317971572750813,0.5566917301473993,0.5566917301473991,0.49448743597943484,0.49448743597943473,0.12682233456325492,0.0002055896197166158,0.40550004289538116,0.40550004289538105,0.00015195920123271722,0.1268222589634062,0.1622112814387426,0.0001394651209936015,0.32096747907979234,0.32096747907979223,0.489127113641283,0.00013558141456431133,7.086947231164063e-05,0.1622112369657574,1.3877787807814457e-17,4.0657581468206416e-20,5.549759870410176e-17,0.0,0.0,5.551115123125783e-17,2.710505431213761e-20,0.0,1.3877787807814457e-17,0.0,1.3552527156068805e-20,0.0,9.610577784419921e-19,7.516818217925697e-19,5.551115123125783e-17,1.3877787807814457e-17,1.3552527156068805e-20,1.3552527156068805e-20,0.0,1.3552527156068805e-20,1.3552527156068805e-20,2.7755575615628914e-17,6.776263578034403e-21,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0657581468206416e-20,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,6.920223692530918e-05,6.920223692530916e-05,0.4891271870039129,6.269557376511361e-05,0.000155764422130431,0.000155764422130431,0.05403389910518007,5.3332447242564174e-05,0.05403389513779665,4.9148789945374844e-05,0.00014197378439156151,0.22629712461785978,0.06220430665289857,0.00012509652941363348,0.06220428011248191,0.00011111834203697402,2.8498770795771635e-05,1.2107003655111256e-05,0.22629709842793827,9.112161236859119e-05,1.4847048110491565e-05,2.8498770226263534e-05,3.6451172936721184e-05,1.2107002059991674e-05,0.3209674790797923,0.3209674790797923,0.48912718361573854,2.4824151804298974e-05,1.4847047080398825e-05,3.645117260169768e-05,6.938893903907228e-17,3.3881317890172014e-21,4.163166935754886e-17,0.0,4.1359030627651384e-25,1.214306433183765e-17,1.6940658945086007e-21,1.3877787807814457e-17,4.163336342344337e-17,0.0,0.0,1.6940658945086007e-21,7.99237566777147e-23,1.0668465189710116e-21,6.776263578034403e-21,3.3881317890172014e-21,0.0,0.0,6.776263578034403e-21,8.271806125530277e-25,6.203854594147708e-25,0.0,0.0,3.3881317890172014e-21,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.214306433183765e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.541098841762901e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.2515136532599347e-05,3.332051916724148e-08,0.0008351158944708737,3.018759450791178e-08,3.007090268628089e-05,3.0070902686280882e-05,0.2669331139033463,2.5679297513167857e-08,0.26693311414235954,1.3860519519881182e-05,2.7408568632359094e-05,0.2262971147612738,0.00010620508658442198,1.7113326987709557e-05,0.0001062050848955798,1.595002445733717e-05,1.5949985171404758e-05,5.8294593439465596e-09,0.22629711378518214,1.7591367147104075e-05,4.1870368732397825e-06,1.5949985175034954e-05,1.7113281530874124e-05,5.829459315321841e-09,0.26693366048251754,0.0005480068395184116,0.0008351158940108035,1.2515097883742633e-05,4.187036862413e-06,1.711328153026083e-05,8.131516293641283e-20,8.271806125530277e-25,1.3871859404364289e-17,8.271806125530277e-25,1.5146129380243427e-28,0.0,8.470329472543003e-22,0.0,5.421010862427522e-20,2.0194839173657902e-28,0.0,8.271806125530277e-25,6.630501027625148e-27,1.667482486547514e-25,3.3881317890172014e-21,0.0,2.0679515313825692e-25,8.271806125530277e-25,0.0,2.5849394142282115e-26,5.169878828456423e-26,2.710505431213761e-20,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.641473818238168e-05,1.9076992059239014e-11,6.990273471553097e-11,2.5811346925759516e-12,1.285082094255478e-06,1.285082094255478e-06,2.4287529983601025e-05,2.581134560177494e-12,2.4287529992023968e-05,1.6414738185837817e-05,4.399683009860301e-07,2.0590132995919417e-05,8.889815159048037e-12,4.39968293110347e-07,8.889815158789866e-12,7.014323220782102e-08,7.014323220831459e-08,3.337539515385114e-12,2.0590132995757224e-05,7.014323814111211e-08,2.6057793815393535e-06,7.014323207881724e-08,4.3996829311054626e-07,3.3375395153551844e-12,2.4287529983643116e-05,4.5870491727483724e-11,6.990273470061562e-11,1.641473818237196e-05,2.605779381527048e-06,4.3996829301255027e-07,2.6469779601696886e-23,8.077935669463161e-28,1.1911320041406904e-22,4.930380657631324e-32,7.703719777548943e-34,0.0,0.0,0.0,5.293955920339377e-23,3.0814879110195774e-33,1.5407439555097887e-33,9.860761315262648e-32,8.150415910405363e-34,5.75989593067336e-34,1.3234889800848443e-23,3.2311742677852644e-27,0.0,2.465190328815662e-32,6.462348535570529e-27,1.6155871338926322e-27,1.6155871338926322e-27,2.6469779601696886e-23,8.077935669463161e-28,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.851859888774472e-34,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0
5,6.307370528235166e-08,1.8479309324757317e-15,1.456676774793527e-12,2.5002676395293095e-16,4.46487751555913e-09,4.464877515559128e-09,7.277511644984124e-08,2.500267613709404e-16,7.277511644971701e-08,6.307370528231178e-08,1.5286218442929486e-09,6.16962419467761e-08,1.1158697989600545e-13,1.528621844292703e-09,1.1158697989600543e-13,2.437050172698986e-10,2.437050172698995e-10,3.232974307207623e-16,6.16962419467761e-08,2.4370501727008377e-10,1.0012718969807625e-08,2.437050172698929e-10,1.5286218442927034e-09,3.232974307207623e-16,7.27751164498145e-08,1.4584921036758272e-12,1.456676774793525e-12,6.307370528235164e-08,1.0012718969807625e-08,1.5286218442926988e-09,8.271806125530277e-25,7.395570986446986e-32,1.0003715607018888e-23,1.504632769052528e-36,1.8367099231598242e-40,0.0,3.308722450212111e-24,0.0,8.271806125530277e-25,0.0,0.0,1.504632769052528e-36,1.3194381393110914e-37,1.4313357453231281e-37,7.754818242684634e-26,2.465190328815662e-32,0.0,1.504632769052528e-36,0.0,0.0,2.465190328815662e-32,4.1359030627651384e-25,1.232595164407831e-32,2.465190328815662e-32,1.4871012214557232e-13,6.617444900424222e-24,2.4895406453041158e-20,3.0117961631971096e-27,1.9920358834054025e-16,4.265933154525111e-21,1.310948640499394e-23,3.359131305484014e-31,0.0,4.944155305191202e-21,1.0583252370837509e-23,3.9416732391855152e-31,1.0505616135940347e-09,2.260424152163223e-16,2.231094979878682e-27,4.033861864813742e-21,4.815935554421673e-28,4.1932197011248225e-28,1.262177448353619e-29,1.262177448353619e-29,1.262177448353619e-29,1.262177448353619e-29,1.262177448353619e-29,0.0,9.860761315262648e-32,0.0,1.4647472021743096e-13,0.0,9.860761315262648e-32,0.0,0.0,0.0,0.0,2.465190328815662e-32,9.271355190156182e-21,2.062142933307403e-15,4.408103815583578e-39,0.0,0.0,0.0,1.4693679385278594e-39,1.3775324423698682e-40,0.0,2.9658471425740487e-27,1.9920358834054045e-16,4.573735715338782e-23,0.0,0.0,1.232595164407831e-32,0.0,0.0,6.938893903907228e-18,3.76158192263132e-37,3.7179388889131445e-21,1.9825123267174384e-23,5.499048381973679e-31,9.128489015388175e-17,0.0,0.0,0.0,7.703719777548943e-34,0.0,4.751179252854129e-21,1.887289303287329e-23,5.41371656542397e-31,1.0505616135940347e-09,8.195101251651293e-17,3.76158192263132e-37,1.6456920911512025e-37,1.1754943508222875e-37,3.009265538105056e-36,3.009265538105056e-36,0.0,1.504632769052528e-36,2.2604241504061803e-16,2.8306362636003417e-27,4.033861864813836e-21,5.296802934284879e-28,4.59229518934125e-28,2.3046426202869056e-20
6,1.385716960836678e-08,9.326513969947958e-17,3.346307762765691e-13,1.2618859130771965e-17,2.2270789540964497e-08,2.2270789540964484e-08,6.120390350692083e-09,1.2618859000463653e-17,6.120390350698083e-09,1.3857169608367518e-08,7.624759080922699e-09,5.188656539574664e-09,2.570024987848851e-14,7.624759080922692e-09,2.5700249878488258e-14,1.2155995614176312e-09,1.215599561417632e-09,1.631683280669284e-17,5.1886565395746505e-09,1.2155995614176378e-09,2.1997747616919502e-09,1.2155995614176303e-09,7.624759080922692e-09,1.6316832806692797e-17,6.120390350693492e-09,3.345957044040538e-13,3.346307762765691e-13,1.385716960836678e-08,2.199774761691946e-09,7.624759080922692e-09,0.0,3.0814879110195774e-33,8.271758763061084e-25,9.4039548065783e-38,4.591774807899561e-41,0.0,1.2407709188295415e-24,4.733165431326071e-30,3.101927297073854e-25,0.0,1.8367099231598242e-40,9.4039548065783e-38,1.7032126465667462e-37,2.1500231639415886e-37,4.1359030627651384e-25,3.697785493223493e-32,9.4039548065783e-38,9.4039548065783e-38,0.0,0.0,4.930380657631324e-32,0.0,0.0,1.8488927466117464e-32,2.5728617926527976e-13,0.0,1.376792711283535e-20,2.6807370193407623e-28,1.4448907413647277e-16,3.808347999076971e-20,4.5359510521081866e-23,2.670035781610573e-31,0.0,4.422142229514637e-20,3.661860827567362e-23,3.133074486044149e-31,3.3170495277397766e-09,1.6395617941667296e-16,1.7241223302519256e-28,3.3753157952303044e-21,1.935250677228557e-27,1.645366401176039e-27,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,2.6144493308963667e-13,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,7.832401598655027e-21,1.4304588868690298e-15,1.1020259538958945e-39,1.8367099231598242e-40,0.0,0.0,7.346839692639297e-40,1.1479437019748901e-41,0.0,2.989212481888348e-28,1.4448907413647277e-16,7.288448736233729e-24,0.0,0.0,9.860761315262648e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,3.76158192263132e-37,3.328480456729413e-20,6.859596629766403e-23,4.370968152439298e-31,1.4376573518715191e-15,4.930380657631324e-32,0.0,4.930380657631324e-32,0.0,4.930380657631324e-32,4.252169197636e-20,6.530119975353393e-23,4.3031413865063495e-31,3.31704952773978e-09,1.2906569249905933e-15,9.4039548065783e-38,9.4039548065783e-38,2.82118644197349e-37,1.504632769052528e-36,0.0,0.0,0.0,1.6395617934669291e-16,2.8481723300146023e-28,3.3753157952303066e-21,2.0531417535388982e-27,1.7733253795167133e-27,1.9346662684298762e-20
7,3.884319580553862e-08,4.100567228611192e-16,5.248194512636681e-13,5.548105378415981e-17,2.5855287547877485e-08,2.5855287547877458e-08,1.9792966983963017e-09,5.548105321123588e-17,1.9792966984434477e-09,3.884319580553929e-08,8.851968995438162e-09,1.6779796989400352e-09,4.030163033257469e-14,8.85196899543816e-09,4.0301630332574164e-14,1.4112510984720907e-09,1.411251098472092e-09,7.173984840070197e-17,1.6779796989400296e-09,1.4112510984720911e-09,6.166214617511744e-09,1.411251098472077e-09,8.851968995438164e-09,7.17398484007017e-17,1.9792966983997676e-09,5.248016613065249e-13,5.248194512636679e-13,3.884319580553862e-08,6.166214617511734e-09,8.85196899543815e-09,2.0679515313825692e-25,6.162975822039155e-33,1.8611563720813364e-24,1.88079096131566e-37,9.183549615799121e-41,1.3877787807814457e-17,0.0,0.0,0.0,7.346839692639297e-40,0.0,3.76158192263132e-37,4.893328744332281e-37,3.6690940940122163e-37,3.101927297073854e-25,3.0814879110195774e-33,0.0,0.0,1.232595164407831e-32,9.860761315262648e-32,4.930380657631324e-32,0.0,2.465190328815662e-32,3.0814879110195774e-33,2.536329010343222e-13,1.0339757656912846e-25,4.025388800028519e-20,1.1751495580504006e-27,2.406902477393982e-16,4.417078997645289e-20,1.5676960201430713e-22,1.4474206047944763e-30,1.6543612251060553e-24,5.128164572188858e-20,1.2655966914703866e-22,1.6984328810927575e-30,3.5228266424270172e-09,2.731185985953446e-16,7.380311849416908e-28,1.0127345588747942e-20,3.770069441539614e-27,3.1999678706827493e-27,2.524354896707238e-29,0.0,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,5.048709793414476e-29,2.465190328815662e-32,2.0679515313825692e-25,2.6125528749880714e-13,9.860761315262648e-32,9.860761315262648e-32,0.0,3.944304526105059e-31,9.860761315262648e-32,0.0,4.930380657631324e-32,2.3582466337704803e-20,4.258484958496824e-15,1.4693679385278594e-39,7.346839692639297e-40,0.0,2.938735877055719e-39,1.4693679385278594e-39,2.2958874039497803e-40,0.0,1.3320026961609375e-27,2.406902477393983e-16,3.403290420179973e-23,9.860761315262648e-32,9.860761315262648e-32,0.0,0.0,0.0,1.3877787807814457e-17,3.009265538105056e-36,3.8595898152301454e-20,2.3707844752654965e-22,2.3694923504787972e-30,1.772590689513045e-15,0.0,0.0,4.930380657631324e-32,1.232595164407831e-32,0.0,4.930796339898968e-20,2.256912161776816e-22,2.3327236088499684e-30,3.522826642427022e-09,1.5913433375460566e-15,1.88079096131566e-37,5.64237288394698e-37,5.64237288394698e-37,3.009265538105056e-36,3.009265538105056e-36,0.0,0.0,2.731185984853584e-16,1.2687933488273983e-27,1.0127345588747954e-20,3.9895360217861765e-27,3.444854325355068e-27,3.255510389979606e-20
8,3.884319580553793e-08,4.100567228611192e-16,5.248160334925853e-13,5.548105378415982e-17,2.4820611525503495e-08,2.4820611525503472e-08,2.1785198841598933e-09,5.548105321123592e-17,2.1785198842070397e-09,3.884319580553866e-08,8.497731199651987e-09,1.846874267164679e-09,4.0301630332574606e-14,8.497731199651987e-09,4.030163033257422e-14,1.3547756997578276e-09,1.354775699757828e-09,7.173984840070194e-17,1.8468742671646737e-09,1.354775699757828e-09,6.166214617511747e-09,1.3547756997578148e-09,8.497731199651987e-09,7.173984840070167e-17,2.17851988416336e-09,5.247964529135841e-13,5.248160334925851e-13,3.884319580553793e-08,6.1662146175117355e-09,8.497731199651975e-09,2.0679515313825692e-25,6.162975822039155e-33,2.998536037554943e-24,3.76158192263132e-37,2.7550648847397363e-40,1.3877787807814457e-17,3.308722450212111e-24,6.310887241768095e-30,6.203854594147708e-25,0.0,7.346839692639297e-40,0.0,5.148739940204574e-38,4.317575450633109e-38,1.0339757656912846e-25,9.244463733058732e-33,0.0,3.76158192263132e-37,1.232595164407831e-32,9.860761315262648e-32,9.860761315262648e-32,0.0,0.0,3.0814879110195774e-33,2.5363417825045023e-13,2.0679515313825692e-25,4.048958751743685e-20,1.1747868229732476e-27,2.427193800970825e-16,4.302284105251354e-20,1.5386006822847727e-22,1.4319620379614928e-30,0.0,4.9849619612630884e-20,1.2432979384090331e-22,1.6716474439647207e-30,3.55252573325439e-09,2.754211172503376e-16,7.3532655616751425e-28,1.0227344362566573e-20,3.6970430368273906e-27,3.145770156748478e-27,5.048709793414476e-29,0.0,0.0,0.0,0.0,5.048709793414476e-29,0.0,0.0,2.612497943777427e-13,0.0,9.860761315262648e-32,0.0,0.0,9.860761315262648e-32,5.048709793414476e-29,1.4791141972893971e-31,2.382113923324285e-20,4.2943859960187696e-15,2.938735877055719e-39,2.204051907791789e-39,0.0,2.938735877055719e-39,1.4693679385278594e-39,0.0,0.0,1.3347514123189615e-27,2.427193800970826e-16,3.4319817642295105e-23,0.0,0.0,1.9721522630525295e-31,9.860761315262648e-32,9.860761315262648e-32,6.938893903907228e-18,7.52316384526264e-37,3.7568324280404457e-20,2.3116045187079013e-22,2.3173962801476537e-30,1.7486134524196723e-15,4.930380657631324e-32,1.4791141972893971e-31,0.0,4.930380657631324e-32,4.930380657631324e-32,4.798049375030425e-20,2.1998254447763156e-22,2.282030280138083e-30,3.552525733254394e-09,1.5726495188064066e-15,0.0,3.76158192263132e-37,0.0,3.009265538105056e-36,0.0,0.0,0.0,2.75421117140373e-16,1.2713670483119743e-27,1.0227344362566587e-20,3.912760752820454e-27,3.3806399558155476e-27,3.287427222040271e-20
9,3.8843195805528695e-08,4.100567228611188e-16,5.247705394372536e-13,5.5481053784159587e-17,1.1048623729299097e-08,1.1048623729299084e-08,4.8302667718920495e-09,5.548105321123615e-17,4.8302667719392004e-09,3.884319580553032e-08,3.782672094166927e-09,4.094934119877249e-09,4.030163017575163e-14,3.7826720941669245e-09,4.030163017575156e-14,6.030635840233797e-10,6.030635840233799e-10,7.17398484007018e-17,4.094934119877246e-09,6.030635840233816e-10,6.1662146175117405e-09,6.030635840233735e-10,3.782672094166925e-09,7.173984840070172e-17,4.8302667718955146e-09,5.247271249059828e-13,5.247705394372534e-13,3.8843195805528695e-08,6.1662146175117355e-09,3.782672094166919e-09,2.0679515313825692e-25,0.0,3.101895742637645e-25,0.0,9.183549615799121e-41,6.938893903907228e-18,0.0,3.1554436208840472e-30,0.0,7.346839692639297e-40,3.6734198463196485e-40,0.0,4.617062920246459e-38,1.0750532005351847e-38,1.0339757656912846e-25,3.0814879110195774e-33,3.76158192263132e-37,3.76158192263132e-37,1.232595164407831e-32,3.697785493223493e-32,2.465190328815662e-32,0.0,0.0,6.162975822039155e-33,2.5457962662848744e-13,4.1359030627651384e-25,4.0478153181639644e-20,1.1744119935298488e-27,2.427193791529434e-16,2.775334465181986e-20,9.754127158447358e-23,1.0637819861686332e-30,0.0,3.0797849105479635e-20,8.044750420250015e-23,1.1245349281463898e-30,3.552525733255479e-09,2.7542111617872182e-16,7.351785970044039e-28,1.0247041034200858e-20,2.2515842096393397e-27,2.0320214133105197e-27,0.0,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,2.524354896707238e-29,5.048709793414476e-29,1.232595164407831e-32,2.0679515313825692e-25,2.6124979437774214e-13,9.860761315262648e-32,9.860761315262648e-32,3.944304526105059e-31,3.944304526105059e-31,9.860761315262648e-32,1.0097419586828951e-28,2.465190328815662e-32,2.3841932703908115e-20,4.294385996018438e-15,1.4693679385278594e-39,7.346839692639297e-40,0.0,0.0,2.938735877055719e-39,4.591774807899561e-41,0.0,1.3345191689576967e-27,2.427193791529435e-16,3.4319817642302687e-23,4.930380657631324e-32,4.930380657631324e-32,4.930380657631324e-32,0.0,4.930380657631324e-32,6.938893903907228e-18,0.0,2.3897685235893735e-20,1.2578600094106392e-22,1.3580864784875656e-30,1.2305577872769058e-15,0.0,4.930380657631324e-32,0.0,1.232595164407831e-32,0.0,3.031938928019129e-20,1.186720855612554e-22,1.3455175205316609e-30,3.55252573325548e-09,1.1452568041445843e-15,0.0,7.52316384526264e-37,3.76158192263132e-37,3.009265538105056e-36,3.009265538105056e-36,0.0,7.52316384526264e-37,2.754211160689917e-16,1.2711204070534889e-27,1.0247041034200871e-20,2.407870320746041e-27,2.1105719879282675e-27,3.287250504473317e-20
