,Y3Z5,Y5Z3,Y3Z0,Y0Z3,Y5Z0,Y0Z5,Y4Z1,Y1Z4,Y2Z3,Y3Z2,Y3Z4,Y4Z3,Y2Z1,Y1Z2,Y0Z1,Y1Z0,Y2Z0,Y0Z2,Y4Z5,Y5Z4,Y5Z2,Y2Z5,Y4Z0,Y0Z4,Y2Z4,Y4Z2,Y1Z3,Y3Z1,Y5Z1,Y1Z5,Y4,standard_y,X0Y1,Y3,Y0,X2Y3,X1Y3,X0Y4,Y5,X2Y5,X0Y5,X5Y1,X4Y5,X3Y1,X2Y0,X1Y5,X1Y0,X0Y3,X3Y5,X2Y1,X1Y2,X1Y4,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y2,X4Y1,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3Y2,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y4,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8268521246720382,0.826852124672038,0.6509344730398537,0.6509344730398536,0.5358820043066892,0.5358820043066892,0.5074357331894203,0.5074357331894201,0.433645683662386,0.4336456836623859,0.42451918914251396,0.4245191891425139,0.36568891691258554,0.36568891691258554,0.3238327648331624,0.32383276483316237,0.15084917392450192,0.15084917392450192,0.12380196114964559,0.12380196114964555,0.09071301334386506,0.09071301334386506,0.07243628666754279,0.07243628666754276,0.06985542357461895,0.06985542357461891,0.05799892477470681,0.057998924774706806,0.03749565844198492,0.037495658441984867,1.1102230246251565e-16,6.938893903907228e-17,6.245004513516506e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,3.122502256758253e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.9578375255494357e-05,1.9578375255494357e-05,1.5412960793886326e-05,0.11505246888338766,1.26887246944479e-05,0.11505246855068893,0.5074357331894201,0.5074357331894201,0.34293267034395025,1.0267951994481586e-05,1.00518529736946e-05,0.30071722802757367,0.3656889169125856,0.36568891691258554,0.3238327648331623,0.3238327648331623,0.15084917392450198,0.15084917392450187,0.30071722787386346,2.931408386614818e-06,2.1479214515017343e-06,0.3429326701969575,0.07243628666754265,0.07243628666754276,0.06985542357461896,0.06985542357461894,0.020503266343233066,1.373310510757642e-06,8.878299390234963e-07,0.020503266316463188,0.0,3.8116482626443515e-21,7.089340302028023e-18,2.964615315390051e-21,0.0,1.2705494208814505e-21,0.0,0.0,8.470329472543003e-22,4.235164736271502e-22,1.5881867761018131e-22,8.470329472543003e-22,8.470329472543003e-22,8.470329472543003e-22,2.7755575615628914e-17,1.6940658945086007e-21,1.2513298890423037e-18,8.470329472543003e-22,0.0,0.0,6.938893903907228e-18,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,9.134531325442124e-06,9.134531325442124e-06,7.191106072504942e-06,0.1150524687658652,5.920080276774671e-06,0.11505246869344318,0.0003083052983189852,0.0003083052983189852,0.3429326703240563,4.790639055475581e-06,4.0490806447294135e-06,0.00018270828919673276,0.2958335062314439,0.00022218346727780644,0.2513964915354564,0.00019675271297869156,0.15084917392450195,0.15084917392450192,0.00018270828917640348,9.534566887596673e-07,1.0021391217243932e-06,0.34293267029205887,4.401048154371863e-05,0.25139641839459304,0.29583342584139316,4.244241348358593e-05,1.245727336582582e-05,4.049079660849777e-06,9.534563598653962e-07,1.245727336228532e-05,2.710505431213761e-20,2.778903341704546e-17,5.909251530864526e-24,4.235164736271502e-22,2.7755575615628914e-17,8.470329472543003e-22,2.0679515313825692e-25,0.0,0.0,2.117582368135751e-22,1.0587911840678754e-22,1.0339757656912846e-25,2.0679515313825692e-25,2.0679515313825692e-25,0.0,3.101927297073854e-25,4.744376100297033e-21,4.235164736271502e-22,0.0,2.0328790734103208e-20,3.3881317890172014e-21,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,2.117582368135751e-22,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,2.7755575615628914e-17,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
3,1.1082204150275905e-08,2.908024971313951e-06,8.724400051026275e-09,0.035795836956876784,2.1169329559452263e-06,0.03579583696496015,2.763461290886032e-08,2.7634612908860315e-08,0.001163507614456943,5.812103339685678e-09,4.912429047150623e-09,1.2572602389018326e-08,0.0010037087507285586,1.87985876292853e-08,0.2513964781656197,1.763571723087517e-08,0.0005118035628752297,0.03579736738526065,1.2572602388815011e-08,3.4094195184630346e-07,2.9080041087910255e-06,0.0011635076144430614,3.94483204805278e-09,0.2513964781656191,0.0010037087507285562,1.2572486234075491e-08,1.879846657844472e-08,4.9124290471506125e-09,3.409419518463025e-07,1.8798466578329907e-08,1.6543612251060553e-24,2.775557726999014e-17,1.0013606320396646e-24,0.0,2.7755575615628914e-17,2.117582368135751e-22,7.395570986446986e-32,0.0,0.0,6.203854594147708e-25,5.293955920339377e-23,3.1554436208840472e-30,6.310887241768095e-30,0.0,5.421010862427522e-20,0.0,5.952190963272656e-25,0.0,1.0842021724855044e-19,6.462348535570529e-27,8.077935669463161e-28,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,5.421010862427522e-20,0.0,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,6.462348535570529e-27,1.3877787807814457e-17,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0331641719938015e-10,1.6519427776514207e-06,4.962801582938658e-10,0.00031971410394163137,1.3962222285013245e-06,0.0003197141039649286,1.2816538837565513e-09,1.3353004615319448e-11,7.45404155172968e-05,2.1152080069701188e-10,4.962746249765624e-10,6.801915899866822e-10,3.151534057890214e-05,9.083447006836352e-12,0.002245318593581457,8.521552820551349e-12,3.151146801777845e-05,0.00031971416004329103,6.801915899831327e-10,1.3961819888537162e-06,1.651942729009813e-06,7.45404155170098e-05,1.2815857397671792e-09,0.002245318593581457,3.151534057890214e-05,6.801915641944793e-10,9.083446766766657e-12,4.962746249765624e-10,1.3961819888537162e-06,9.083446766748755e-12,1.0339757656912846e-25,3.3880267758534983e-21,3.600374575901111e-26,0.0,0.0,0.0,1.504632769052528e-36,8.077935669463161e-28,0.0,0.0,2.0679515313825692e-25,7.703719777548943e-34,0.0,1.88079096131566e-37,5.293955920339377e-23,1.5407439555097887e-33,1.5693304566371306e-26,2.0194839173657902e-28,0.0,9.860761315262648e-32,4.930380657631324e-32,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9721522630525295e-31,6.776263578034403e-21,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62964972193618e-35,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9.347919583239392e-12,3.837957234609339e-07,1.1502764256236735e-11,1.7928636130478508e-08,3.2438598593374964e-07,1.7928636130549024e-08,1.1753268657454558e-08,1.0030105806631849e-10,7.4362801635680326e-06,4.90255132391937e-12,1.150276425623633e-11,6.2376649739939015e-09,3.1438941570701483e-06,4.1648364377055476e-11,1.2591091727269118e-07,1.003035426513044e-10,3.1438941570689336e-06,1.792863616178893e-08,6.237664973992145e-09,3.2438598593372015e-07,3.837957233484629e-07,7.436280163566488e-06,1.1753268692497932e-08,1.2591091727398306e-07,3.1438941570701457e-06,6.237664971639898e-09,4.1648364366100477e-11,1.1502764256236331e-11,3.243859859337202e-07,4.1648364366096043e-11,8.271806125530277e-25,5.947452838063277e-22,3.515703461752977e-25,8.077935669463161e-28,1.3234889800848443e-23,5.293955920339377e-23,1.410593220986745e-37,0.0,5.293955920339377e-23,0.0,6.310887241768095e-30,0.0,3.944304526105059e-31,4.70197740328915e-38,4.0389678347315804e-28,1.5407439555097887e-33,3.515703461752977e-25,0.0,0.0,1.9721522630525295e-31,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.352747104407253e-22,0.0,0.0,0.0,0.0,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0,2.407412430484045e-35,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2037062152420224e-35,0.0,1.925929944387236e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9.54343888868174e-17,6.137555091441265e-09,1.1743353890354272e-16,8.588439370230128e-10,5.187490995637032e-09,8.588439370230137e-10,2.283006106441981e-09,1.9483144195559946e-11,4.747340718485578e-09,5.0050921446672824e-17,1.1743353890354272e-16,1.2116312180502372e-09,2.007070258001859e-09,8.090391666480526e-12,6.031570221535671e-09,1.9483167314571733e-11,2.007070258001859e-09,8.588439370230137e-10,1.2116312180502372e-09,5.187490995637031e-09,6.137555091441265e-09,4.747340718485578e-09,2.2830061067680587e-09,6.0315702215844155e-09,2.007070258001859e-09,1.2116312180502372e-09,8.090391666480525e-12,1.1743353890354272e-16,5.187490995637031e-09,8.090391666480523e-12,0.0,4.135902939505622e-25,1.9864078424264883e-26,1.232595164407831e-32,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,3.0814879110195774e-33,1.2037062152420224e-35,1.5407439555097887e-33,1.793662034335766e-43,6.162975822039155e-33,6.018531076210112e-36,8.353349814486358e-26,0.0,4.1359030627651384e-25,0.0,6.018531076210112e-36,0.0,8.20614545340888e-15,2.10935258724193e-26,3.5355112406744377e-15,4.273513231314239e-31,1.509649671864077e-22,6.810894600049382e-23,8.5909603319203e-17,0.0,6.846762279246125e-28,5.158457754083955e-17,5.777074777272258e-33,4.360100464588195e-25,0.0,7.543561462839586e-25,9.300316088898094e-20,2.9818925151342627e-30,2.33858245362253e-22,8.139517229961224e-18,0.0,3.0814879110195774e-33,0.0,0.0,0.0,1.5407439555097887e-33,4.1359030627651384e-25,1.5407439555097887e-33,0.0,4.2157786484703026e-17,0.0,0.0,3.851859888774472e-34,7.703719777548943e-34,7.703719777548943e-34,4.591774807899561e-41,1.5407439555097887e-33,0.0,0.0,2.6324004565053177e-25,6.927660752166643e-18,5.877471754111438e-39,5.877471754111438e-39,1.1754943508222875e-38,5.877471754111438e-39,5.877471754111438e-39,4.591774807899561e-41,0.0,0.0,3.5355112406744385e-15,3.5799951633315145e-31,5.56170049024163e-23,3.944304526105059e-31,0.0,0.0,0.0,0.0,0.0,1.3888563740836868e-22,5.701660613349225e-23,8.590960331920329e-17,8.165376844313063e-15,3.009265538105056e-36,3.009265538105056e-36,3.009265538105056e-36,9.027796614315168e-36,3.009265538105056e-36,1.8748425636145434e-27,5.1584577540725665e-17,7.266563245860718e-33,2.387499960092597e-25,1.0334904138231318e-19,1.925929944387236e-34,0.0,1.925929944387236e-34,1.925929944387236e-34,7.703719777548943e-34,1.232595164407831e-32,9.39185703941629e-25,9.300308905363879e-20,2.0719270238315808e-30,3.143016077535916e-22,8.139517228487854e-18,8.420242799441199e-18
7,2.0478387670273145e-18,3.476968501761969e-10,2.51989823413664e-18,1.75594724593446e-10,2.9387504513247926e-10,1.75594724593446e-10,1.3991566724738293e-08,1.1940398849126934e-10,1.798191371161192e-09,1.0739967491743171e-18,2.5198982341366393e-18,7.425568851984157e-09,7.602353892991639e-10,4.958268707456598e-11,1.2331831965908676e-09,1.1940401745975206e-10,7.602353892991641e-10,1.75594724593446e-10,7.425568851984157e-09,2.9387504513247915e-10,3.476968501761969e-10,1.798191371161192e-09,1.3991566725146874e-08,1.2331831984216863e-09,7.602353892991632e-10,7.425568851984157e-09,4.958268707456598e-11,2.5198982341366393e-18,2.9387504513247926e-10,4.958268707456598e-11,0.0,7.754818223425335e-26,3.90694726297378e-28,1.925929944387236e-34,1.0339757656912846e-25,1.0339757656912846e-25,2.2420775429197073e-44,0.0,2.5849394142282115e-26,0.0,1.2037062152420224e-35,6.018531076210112e-36,7.703719777548943e-34,2.2420775429197073e-44,3.851859888774472e-34,3.009265538105056e-36,3.90694726297378e-28,1.0761972206014595e-42,2.0679515313825692e-25,2.407412430484045e-35,0.0,0.0,1.7856316037804357e-14,1.4623036643636568e-25,7.740249806742028e-15,4.268422989142862e-31,4.012815779150086e-23,9.086639617851631e-22,5.1988079150098464e-17,0.0,2.2176759369926466e-27,3.662557007306712e-17,5.3884702793367856e-33,5.810077094416739e-24,0.0,1.311376205344771e-25,1.9793585182304144e-18,1.3340093013702276e-31,1.0399827447587089e-22,1.7323084593665937e-16,0.0,3.0814879110195774e-33,0.0,3.0814879110195774e-33,3.0814879110195774e-33,0.0,2.0679515313825692e-25,0.0,0.0,3.405852766313091e-17,2.465190328815662e-32,2.465190328815662e-32,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,2.8698592549372254e-42,0.0,0.0,1.2924697071141057e-26,1.0615128167042063e-24,1.4743927664447085e-16,0.0,0.0,0.0,0.0,0.0,2.8698592549372254e-42,0.0,0.0,7.740249806742028e-15,9.704581661916613e-31,2.8729671189311176e-23,0.0,0.0,0.0,0.0,0.0,0.0,3.8847596025114715e-23,7.616424183691059e-22,5.198807915009854e-17,1.774671422644787e-14,4.81482486096809e-35,0.0,4.81482486096809e-35,4.81482486096809e-35,0.0,6.106846989424055e-27,3.6625570058213164e-17,8.635621092314967e-33,3.2059577717681774e-24,2.1995483679350848e-18,1.925929944387236e-34,0.0,1.925929944387236e-34,1.925929944387236e-34,3.851859888774472e-34,0.0,1.4896784376734364e-25,1.9793582056498644e-18,1.5891206569260988e-31,1.3974052819526253e-22,1.732308459302482e-16,5.97845726312011e-18
8,2.0478387670273145e-18,3.476968501761969e-10,2.51989823413664e-18,1.75594724593446e-10,2.9387504513247926e-10,1.75594724593446e-10,1.3991566724738293e-08,1.1940398849126934e-10,1.798191371161192e-09,1.0739967491743171e-18,2.5198982341366393e-18,7.425568851984157e-09,7.602353892991639e-10,4.958268707456598e-11,1.2331831965908676e-09,1.1940401745975206e-10,7.602353892991641e-10,1.75594724593446e-10,7.425568851984157e-09,2.9387504513247915e-10,3.476968501761969e-10,1.798191371161192e-09,1.3991566725146874e-08,1.2331831984216863e-09,7.602353892991632e-10,7.425568851984157e-09,4.958268707456598e-11,2.5198982341366393e-18,2.9387504513247926e-10,4.958268707456598e-11,0.0,7.754818223425335e-26,3.90694726297378e-28,1.925929944387236e-34,1.0339757656912846e-25,1.0339757656912846e-25,2.2420775429197073e-44,0.0,2.5849394142282115e-26,0.0,1.2037062152420224e-35,6.018531076210112e-36,7.703719777548943e-34,2.2420775429197073e-44,3.851859888774472e-34,3.009265538105056e-36,3.90694726297378e-28,1.0761972206014595e-42,2.0679515313825692e-25,2.407412430484045e-35,0.0,0.0,1.7856316037804357e-14,1.4623036643636568e-25,7.740249806742028e-15,4.268422989142862e-31,4.012815779150086e-23,9.086639617851631e-22,5.1988079150098464e-17,0.0,2.2176759369926466e-27,3.662557007306712e-17,5.3884702793367856e-33,5.810077094416739e-24,0.0,1.311376205344771e-25,1.9793585182304144e-18,1.3340093013702276e-31,1.0399827447587089e-22,1.7323084593665937e-16,0.0,3.0814879110195774e-33,0.0,3.0814879110195774e-33,3.0814879110195774e-33,0.0,2.0679515313825692e-25,0.0,0.0,3.405852766313091e-17,2.465190328815662e-32,2.465190328815662e-32,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,2.8698592549372254e-42,0.0,0.0,1.2924697071141057e-26,1.0615128167042063e-24,1.4743927664447085e-16,0.0,0.0,0.0,0.0,0.0,2.8698592549372254e-42,0.0,0.0,7.740249806742028e-15,9.704581661916613e-31,2.8729671189311176e-23,0.0,0.0,0.0,0.0,0.0,0.0,3.8847596025114715e-23,7.616424183691059e-22,5.198807915009854e-17,1.774671422644787e-14,4.81482486096809e-35,0.0,4.81482486096809e-35,4.81482486096809e-35,0.0,6.106846989424055e-27,3.6625570058213164e-17,8.635621092314967e-33,3.2059577717681774e-24,2.1995483679350848e-18,1.925929944387236e-34,0.0,1.925929944387236e-34,1.925929944387236e-34,3.851859888774472e-34,0.0,1.4896784376734364e-25,1.9793582056498644e-18,1.5891206569260988e-31,1.3974052819526253e-22,1.732308459302482e-16,5.97845726312011e-18
9,2.0478387670273145e-18,3.476968501761969e-10,2.51989823413664e-18,1.75594724593446e-10,2.9387504513247926e-10,1.75594724593446e-10,1.3991566724738293e-08,1.1940398849126934e-10,1.798191371161192e-09,1.0739967491743171e-18,2.5198982341366393e-18,7.425568851984157e-09,7.602353892991639e-10,4.958268707456598e-11,1.2331831965908676e-09,1.1940401745975206e-10,7.602353892991641e-10,1.75594724593446e-10,7.425568851984157e-09,2.9387504513247915e-10,3.476968501761969e-10,1.798191371161192e-09,1.3991566725146874e-08,1.2331831984216863e-09,7.602353892991632e-10,7.425568851984157e-09,4.958268707456598e-11,2.5198982341366393e-18,2.9387504513247926e-10,4.958268707456598e-11,0.0,7.754818223425335e-26,3.90694726297378e-28,1.925929944387236e-34,1.0339757656912846e-25,1.0339757656912846e-25,2.2420775429197073e-44,0.0,2.5849394142282115e-26,0.0,1.2037062152420224e-35,6.018531076210112e-36,7.703719777548943e-34,2.2420775429197073e-44,3.851859888774472e-34,3.009265538105056e-36,3.90694726297378e-28,1.0761972206014595e-42,2.0679515313825692e-25,2.407412430484045e-35,0.0,0.0,1.7856316037804357e-14,1.4623036643636568e-25,7.740249806742028e-15,4.268422989142862e-31,4.012815779150086e-23,9.086639617851631e-22,5.1988079150098464e-17,0.0,2.2176759369926466e-27,3.662557007306712e-17,5.3884702793367856e-33,5.810077094416739e-24,0.0,1.311376205344771e-25,1.9793585182304144e-18,1.3340093013702276e-31,1.0399827447587089e-22,1.7323084593665937e-16,0.0,3.0814879110195774e-33,0.0,3.0814879110195774e-33,3.0814879110195774e-33,0.0,2.0679515313825692e-25,0.0,0.0,3.405852766313091e-17,2.465190328815662e-32,2.465190328815662e-32,1.232595164407831e-32,2.465190328815662e-32,2.465190328815662e-32,2.8698592549372254e-42,0.0,0.0,1.2924697071141057e-26,1.0615128167042063e-24,1.4743927664447085e-16,0.0,0.0,0.0,0.0,0.0,2.8698592549372254e-42,0.0,0.0,7.740249806742028e-15,9.704581661916613e-31,2.8729671189311176e-23,0.0,0.0,0.0,0.0,0.0,0.0,3.8847596025114715e-23,7.616424183691059e-22,5.198807915009854e-17,1.774671422644787e-14,4.81482486096809e-35,0.0,4.81482486096809e-35,4.81482486096809e-35,0.0,6.106846989424055e-27,3.6625570058213164e-17,8.635621092314967e-33,3.2059577717681774e-24,2.1995483679350848e-18,1.925929944387236e-34,0.0,1.925929944387236e-34,1.925929944387236e-34,3.851859888774472e-34,0.0,1.4896784376734364e-25,1.9793582056498644e-18,1.5891206569260988e-31,1.3974052819526253e-22,1.732308459302482e-16,5.97845726312011e-18
