,Y7Z6,Y6Z7,Y3Z2,Y2Z3,Y1Z0,Y0Z1,Y4Z2,Y2Z4,Y0Z2,Y2Z0,Y8Z3,Y3Z8,Y5Z0,Y0Z5,Y6Z0,Y0Z6,Y8Z1,Y1Z8,Y8Z6,Y6Z8,Y7Z0,Y0Z7,Y3Z1,Y1Z3,Y1Z2,Y2Z1,Y4Z1,Y1Z4,Y4Z6,Y6Z4,Y5Z2,Y2Z5,Y4Z5,Y5Z4,Y5Z8,Y8Z5,Y5Z3,Y3Z5,Y6Z2,Y2Z6,Y1Z6,Y6Z1,Y7Z1,Y1Z7,Y7Z3,Y3Z7,Y5Z6,Y6Z5,Y3Z6,Y6Z3,Y8Z0,Y0Z8,Y7Z2,Y2Z7,Y4Z7,Y7Z4,standard_x,Y7Z8,Y8Z7,Y5Z1,Y1Z5,Y5Z7,Y7Z5,Y4Z0,Y0Z4,X2X6,X0X3,X2X8,X1X2,Y3Z0,Y0Z3,X0X8,X0X2,X2X7,X0X4,X0X6,X1X6,Y0Y3,X3X6,X2X5,Y0Y4,Y1Y2,Y1Y6,X1X3,X1X5,X0X1,X0X7,X5X6,Y1Y5,Y2Y6,Y2Y8,X3X4,X1X7,X2X3,X3X7,X4X6,X6X8,X0X5,Y2Y5,X1X4,Y0Y6,X3X5,X4X8,X7X8,Y2Y7,X1X8,X2X4,Y3Y6,X5X7,X2,X4X7,Y5Y6,Y3Y4,Y0Y8,X0,Y8Z2,Y2Z8,X5X8,Y1Y7,Y0Y2,Y1Y3,X4X5,X3X8,Y0Y1,Y7Y8,Y0Y7,Y5Y7,X6,X1,X6X7,Y4Z3,Y3Z4,Y1Y8,X3,Y3Y5,Y0Y5,Y6Y7,Y6Y8,Y4Y8,Y4Z8,Y8Z4,Y4Y7,Y4Y6,Y1Y4,Y3Y7,X8,Y5Y8,Y2Y4,Y3Y8,Y2Y3,X7,X5,X4,Y4Y5,X6Y0,X7Y3,X6Y1,X5Y1,X4Y3,X3Y0,standard_y,Y8,X8Y1,X2Y0,X1Y0,X3Y7,X2Y4,X5Y8,Y7,X7Y8,X7Y6,X7Y5,X7Y1,X7Y0,X4Y6,X4Y1,X3Y6,X2Y6,X2Y5,X2Y3,X2Y1,X1Y5,X0Y6,X0Y5,X0Y1,X1Y2,X5Y4,X4Y2,X0Y4,X3Y8,Y4,X8Y4,X8Y3,X8Y2,X6Y7,X5Y7,X3Y4,X2Y7,X1Y8,X8Y5,X7Y2,X4Y8,X2Y8,Y2,X8Y7,X6Y4,X6Y2,X4Y7,X3Y2,X0Y8,X5Y2,X0Y2,X8Z6,X8Z0,X1Z0,X8Z1,X8Z7,X6Z8,X6Z7,X4Z8,X3Z8,X3Z7,X3Z2,X0Z7,X2Z5,X7Z1,X3Z6,X0Z5,X5Z1,X7Z6,X6Z0,X4Z7,X4Z6,X4Z1,X2Z6,X1Z6,X1Z2,X0Z6,X0Z1,X0Z4,X5Z6,X4Z2,X4Z0,X1Z5,X7Z4,X8Z5,X8Z3,X7Z3,X6Z5,X6Z4,X6Z2,X6Z1,X3Z0,X2Z4,X2Z0,X7Z5,X2Z1,X8Z4,X4Z3,Y6,Y5,Y3,Y1,Y0,X8Z2,X8Y6,X8Y0,X7Z8,X7Z2,X7Z0,X7Y4,X6Z3,X6Y8,X6Y5,X6Y3,X5Z8,X5Z7,X5Z4,X5Z3,X5Z2,X5Z0,X5Y6,X5Y3,X5Y0,X4Z5,X4Y5,X4Y0,X3Z5,X3Z4,X3Z1,X3Y5,X3Y1,X2Z8,X2Z7,X2Z3,X1Z8,X1Z7,X1Z4,X1Z3,X1Y7,X1Y6,X1Y4,X1Y3,X0Z8,X0Z3,X0Z2,X0Y7,X0Y3
0,0.9984948653613419,0.9983489803911649,0.9945272113814805,0.9943623862126693,0.9557093409774633,0.9556045842165738,0.9492113298038938,0.9489507883695978,0.9474000072346085,0.947383254852484,0.8915710308128235,0.8915100514631122,0.8353195259751598,0.8351053263021702,0.7356898831471047,0.7356118105975766,0.7228152897656357,0.722738064296353,0.6742915415172841,0.6742171456057073,0.6695671003619124,0.6693982255459799,0.6065857050706116,0.6065623839656369,0.6057050912594122,0.6056279879374055,0.5810585361715979,0.5809729972034514,0.5603687357826646,0.5602842858895858,0.5440383617161848,0.5438892345831592,0.5256179413793243,0.5256177426588265,0.5100919868392477,0.5100715841861934,0.4647716632237626,0.464721285469062,0.44466959057885014,0.44461453856032795,0.43049189685392353,0.43049039348156637,0.39342430940176376,0.3933681997683305,0.3799107065559413,0.3798711290542381,0.32505387451787765,0.32500500997224724,0.31834325582511014,0.31832990480587203,0.30803940794236545,0.3079727341435513,0.2681652359295541,0.26809285871762234,0.23605764432233958,0.23605655950590482,0.2359842631496553,0.18179160361479402,0.18178509891968778,0.15833821346352556,0.15831496366048944,0.13665876305846414,0.13665818670123475,0.08484794543826144,0.08482615527411771,0.06224048063651809,0.062157487060402423,0.05882034343529963,0.05862352497283982,0.05652917098955336,0.056520801343315816,0.05577333353871593,0.05531220440072341,0.05502564144881554,0.05483285334287322,0.05419298100848733,0.05400716128551234,0.053520659967568204,0.053130032095660744,0.05026356552171928,0.049463920325638434,0.04939369633866825,0.048464092222036535,0.04756581070456868,0.04719868406706408,0.04651932914527812,0.046322440433516326,0.04582221215648334,0.04555934225645325,0.04550597820366068,0.04530606164416333,0.04510212284077594,0.044888747788686026,0.043625658398176226,0.042539049482347366,0.04163312267170881,0.04150931129779961,0.041054209553782556,0.040965753425139195,0.0409285299782352,0.040926747599351276,0.040823781055117775,0.04055088267382767,0.04020581392424505,0.03999401569909755,0.03992045593880256,0.03814326530053648,0.03784344544765633,0.03782831381205498,0.037232327876129706,0.03706353460054482,0.03695681152393409,0.0367040850732963,0.03642648284629236,0.036054145390083364,0.03591267838417796,0.03590427029464348,0.035383203413091355,0.03506415583073358,0.03376184858769793,0.033545032002607736,0.03237160264169909,0.031910597085619025,0.031859193961936705,0.03175734407705741,0.031532898090677774,0.02971361192936657,0.028982611836875775,0.028749899269882334,0.028279438006607156,0.027437062490071912,0.027434078118122943,0.026275311217880244,0.026187895839036378,0.02618398922826918,0.024514942243706317,0.02403773759509959,0.023971530275589875,0.023875312706699153,0.023851302780178024,0.023850339747826903,0.02372551909127848,0.023325594669029677,0.022150474222401628,0.021867190961862043,0.021629667709841156,0.02124957749940072,0.02118411668612439,0.02026732656283961,0.019511682125299676,0.019245033821761452,0.018963930142783424,0.018938751263261687,0.018376254071675327,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,9.71445146547012e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,6.938893903907228e-17,6.938893903907228e-17,6.245004513516506e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,4.163336342344337e-17,4.163336342344337e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,2.6020852139652106e-18,2.6020852139652106e-18,2.6020852139652106e-18,1.951563910473908e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.4094628242311558e-18,1.3010426069826053e-18,1.3010426069826053e-18,1.3010426069826053e-18,1.0842021724855044e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,7.047314121155779e-19,6.505213034913027e-19,6.505213034913027e-19,6.505213034913027e-19,6.505213034913027e-19,5.421010862427522e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.168404344971009e-19,6.098637220230962e-20,5.759824041329242e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.003096395038337384,0.0030876949868542825,0.994594146238879,0.9944497467617659,0.9557917023615415,0.9557813584227636,0.9492676637082706,0.9490351644389923,0.9475754116392145,0.9474675714676395,0.8916273348843022,0.8915721498803686,0.8353513749494923,0.8352619478016015,0.002272217615003335,0.06623043170690154,0.7228633363467452,0.722803734844151,0.4925251959552861,0.0020869486751142353,0.0020717603481767276,0.06622301524581997,0.6066311450796253,0.6066186725857021,0.6057612908052681,0.6056857946748881,0.5810970207651476,0.5810271061010129,0.32432379289299307,0.001732870601891071,0.5440617522500086,0.5439415951595227,0.5256531257188575,0.5256404658519216,0.5101141359883175,0.5101071056563411,0.4647921055532846,0.46475693245867633,0.0013738181200138627,0.1765397121589617,0.03713331696739389,0.0013279333181116268,0.0012158760772663195,0.037128537337576845,0.0011740625266570238,0.061527167110050546,0.18840340297744113,0.0010048604797946658,0.06152324959562769,0.00098022086729523,0.3080615207156068,0.30803278622357766,0.0008284845999749791,0.17653539220051678,0.3243193843054806,0.0007292383100429719,0.15055615025227154,0.000561548433529048,0.49252035295608154,0.15834555939072725,0.1583303210940157,0.1884005268830401,0.0004221081078537701,0.08485396259753078,0.08484283501330417,0.0015318203431526727,0.046752873350619575,0.05051795671175614,0.04950372891925625,0.05653375074253533,0.05653197652162187,0.04066445904711445,0.04032045767709294,0.0013995043960397745,0.039610857631395054,0.0015110955330815139,0.0015284819828003,0.04094782618705908,0.0015500245271852751,0.04400114926966803,0.035934109185539465,0.04080816056462827,0.0014644311805610808,0.039149407813999115,0.04020964857737498,0.03115821944118458,0.0013717673523295376,0.0014977614870801854,0.039156651291157155,0.00144414115531056,0.03746179150187054,0.03749697702018344,0.0013494174056613963,0.03637406468007841,0.0013190705782352942,0.0014539772873025949,0.001445397176651081,0.02836956794379272,0.03558031838701206,0.032651702996981904,0.0014875513625805118,0.035164438320997804,0.033127997161878885,0.0013831431112187689,0.0015416238115496996,0.031880681602914,0.030959811305821393,0.0010731645826487122,0.0013362793887062552,0.0326332214895861,0.0013659630521565549,0.0010069148352036678,0.028937672928750005,0.022961705252542004,0.024530105025128562,0.0359153108256325,0.03590787365104776,0.029962696226361593,0.0014507546349631856,0.022283408730335477,0.026036737854115276,0.026965974853337845,0.025303807997074983,0.019002427750018383,0.001204726222039854,0.0015023282673306824,0.0011062580578055287,0.0014652104423298253,0.023762799527713888,0.0038054069418848933,0.027439025534149532,0.02743628827203716,0.018062891327645936,0.022293307515455815,0.021373581488080183,0.016930216115914973,0.003801004418179673,0.0008712953994234254,0.017375985410023255,0.023852995569692087,0.02385209235050182,0.0009627977905276406,0.0007571414670822646,0.014639173367990994,0.000988962888376283,0.017919061876050926,0.017019189682464093,0.014991079297490531,0.012999013675170389,0.013489995602326455,0.0012663784801389831,0.016926135287042593,0.015223108453762488,0.014294956832823502,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,4.840962700147777e-17,1.3877787807814457e-17,2.7755575615628914e-17,0.0,0.0,1.6263032587282567e-19,1.3877787807814457e-17,1.3877787807814457e-17,5.421010862427522e-20,1.3552527156068805e-19,2.7755575615628914e-17,1.0842021724855044e-19,0.0,0.0,4.336808689942018e-19,5.551115123125783e-17,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,9.020562075079397e-17,0.0,1.3877787807814457e-17,0.0,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,2.7755575615628914e-17,1.6263032587282567e-19,1.3877787807814457e-17,1.0842021724855044e-19,6.938893903907228e-17,6.245004513516506e-17,2.710505431213761e-20,2.7755575615628914e-17,6.938893903907228e-17,3.469446951953614e-17,2.710505431213761e-20,5.421010862427522e-20,5.421010862427522e-20,1.6263032587282567e-19,6.245004513516506e-17,2.7755575615628914e-17,1.3877787807814457e-17,6.938893903907228e-18,8.673617379884035e-19,3.2526065174565133e-19,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,1.0842021724855044e-19,5.421010862427522e-20,8.673617379884035e-19,1.734723475976807e-18,8.673617379884035e-19,0.0,0.0,3.2526065174565133e-19,2.0328790734103208e-20,8.673617379884035e-19,0.0,6.505213034913027e-19,2.710505431213761e-20,1.3552527156068805e-19,4.336808689942018e-19,4.336808689942018e-19,0.0,1.734723475976807e-18,0.0,0.0,0.0,8.673617379884035e-19,2.168404344971009e-19,0.0,2.168404344971009e-19,1.0842021724855044e-19,8.673617379884035e-19,2.0328790734103208e-20,4.336808689942018e-19,4.336808689942018e-19,1.3552527156068805e-20,6.776263578034403e-21,1.3552527156068805e-20,6.776263578034403e-20,4.0657581468206416e-20,6.505213034913027e-19,1.3010426069826053e-18,1.5178830414797062e-18,1.6940658945086007e-20,2.168404344971009e-18,1.8295911660692887e-19,1.2874900798265365e-19,2.168404344971009e-19,5.551115123125783e-17,5.551115123125783e-17,0.0,2.7755575615628914e-17,5.421010862427522e-20,1.0842021724855044e-19,0.0,1.0842021724855044e-19,2.0328790734103208e-20,0.0,5.421010862427522e-20,2.710505431213761e-20,1.0842021724855044e-19,2.168404344971009e-19,0.0,0.0,0.0,0.0,4.336808689942018e-19,4.336808689942018e-19,0.0,0.0,0.0,0.0,4.336808689942018e-19,0.0,5.551115123125783e-17,0.0,1.6263032587282567e-19,0.0,0.0,5.551115123125783e-17,0.0,1.734723475976807e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,2.710505431213761e-20,4.336808689942018e-19,5.421010862427522e-20,5.551115123125783e-17
2,1.9362059115075697e-05,2.223585842566668e-05,3.848565242651298e-05,3.8979495670291454e-05,0.9558605343517519,0.9557567269104557,0.9218087270046299,3.837343649851438e-05,0.8910064852241167,3.826808251106289e-05,0.8556885575569496,3.4200685239600364e-05,0.835392318415001,0.835237973400272,1.74778135484754e-05,0.06621746232640215,0.7228472530862525,0.7228519212150994,0.49251033360657315,1.4791805610239019e-05,1.4423308578162145e-05,0.06621740682862336,2.2831049331443802e-05,0.0008582750719101677,0.0008582546894513374,2.3093823339908117e-05,0.5810842952740933,0.5810643372145281,0.3243130870364812,1.2701248413454975e-05,0.07926699134741388,2.0870679146257663e-05,0.5256411859829748,0.5256631693513758,0.5101360604145924,0.5100939115803453,0.07926697460138471,1.7371654411380073e-05,4.007040988178198e-06,9.821927559602012e-06,0.03712899017587837,1.0770180816786867e-05,8.926954447235726e-06,0.03712893230577344,1.2990405470412674e-06,5.786502796316407e-07,0.18840912817438973,7.475991845265614e-06,5.62365406935115e-07,4.01730599822556e-06,0.30805280759056053,0.30802134072016096,1.3014224425464674e-06,9.810847441229941e-06,0.3243130387503913,5.447766928249619e-06,0.09076573834349498,4.211566623128179e-06,0.4925102925077509,0.1583518338946402,0.15833977286568207,0.18840908121603692,3.1736505918108306e-06,0.08485166439581789,0.08483953497642097,4.232584695674654e-05,0.00021206627308095426,0.0001990217885734359,0.00013436523535750004,2.092700674071399e-06,0.8910064616580737,0.04203096251005917,0.00012971068440715576,5.9562022674935365e-05,0.04107438279175345,0.0003698822381759339,0.0003756724683072755,0.00018673657158634378,5.957040859954184e-05,0.00013099246884883185,0.03717225038753752,0.00016792439362344725,0.0003258532473271995,0.00020747136473180783,0.03077245148080568,0.02506059267577544,0.0003270719089031634,0.00037374213068141094,0.02983621839170167,0.00014407224538309757,0.00017247609834094484,0.00020960447693342023,0.00032154730710529263,0.024534567715031097,4.238939927005058e-05,0.0003640921843864127,0.00036164996953121727,0.024381655884358,0.0001171966715784649,0.02723681551687157,0.0004071253949510503,0.0002104828286514728,0.03449147060405923,0.0003358151462639501,0.00014408763874139332,0.02622655377147553,0.0001314459212176744,0.00014408734183791251,0.0003237877413652115,0.00013366492420390254,0.0003334124002625224,0.00021506036680225257,0.0001111987598874704,0.007848364831290491,0.025335906918502918,0.8556885472000886,1.1930513427439477e-06,0.02648472642266861,0.00033319750783107496,0.00011087733635684642,0.00016720497255175778,0.023441030830804264,0.00014229880366012815,0.008225983121538855,0.00022633019151399236,0.00041997541069830274,0.00025103309862455753,0.0003789416072803792,0.018158644626400048,0.0044357149573749505,0.9218087099591686,1.015491395104128e-06,0.0081511490485441,0.00020682837932956076,0.00012324672087528127,0.008810003658378954,0.004435719863422644,0.00013288697283745708,0.0017544463203579151,0.023852348050791422,0.023851374764533965,0.00026700448135489745,0.00020531229089246932,0.003911534227355384,0.00014412833839994583,0.018611807302410105,0.008210144293611048,3.2927395674844585e-05,9.934649481041727e-05,0.024534560936901276,0.0003191962985168658,0.01312471555273341,0.015892308545712296,0.006257963782060811,2.541098841762901e-21,1.0587911840678754e-22,0.0,0.0,0.0,1.6940658945086007e-21,4.163675155523239e-17,4.163336342344337e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,2.541098841762901e-21,0.0,1.6940658945086007e-21,0.0,8.470329472543003e-22,8.470329472543003e-22,5.551115123125783e-17,2.117582368135751e-22,3.1763735522036263e-22,1.6940658945086007e-21,5.551115123125783e-17,3.3881317890172014e-21,0.0,0.0,0.0,0.0,1.2705494208814505e-21,5.551115123125783e-17,1.6940658945086007e-21,0.0,0.0,5.551115123125783e-17,4.163336342344337e-17,4.235164736271502e-22,4.235164736271502e-22,0.0,1.6940658945086007e-21,1.6940658945086007e-21,1.0587911840678754e-22,5.551115123125783e-17,2.7755575615628914e-17,2.117582368135751e-22,0.0,0.0,0.0,6.352747104407253e-22,8.470329472543003e-22,0.0,2.117582368135751e-21,1.1102230246251565e-16,4.163336342344337e-17,2.117582368135751e-22,0.0,1.734723475976807e-18,8.673617379884035e-19,0.0,1.734723475976807e-18,1.734723475976807e-18,5.421010862427522e-20,2.710505431213761e-20,1.734723475976807e-18,0.0,6.776263578034403e-21,0.0,8.673617379884035e-19,3.3881317890172014e-21,1.0164395367051604e-20,6.776263578034403e-21,8.673617379884035e-19,0.0,6.776263578034403e-21,2.710505431213761e-20,8.673617379884035e-19,8.673617379884035e-19,2.168404344971009e-19,6.776263578034403e-21,0.0,5.082197683525802e-20,8.673617379884035e-19,4.336808689942018e-19,1.0842021724855044e-19,1.3010426069826053e-18,2.168404344971009e-19,6.505213034913027e-19,4.336808689942018e-19,8.470329472543003e-21,2.168404344971009e-19,0.0,8.470329472543003e-22,3.3881317890172014e-21,6.776263578034403e-21,0.0,1.3552527156068805e-20,6.776263578034403e-21,0.0,1.3552527156068805e-20,4.235164736271502e-21,3.3881317890172014e-21,8.131516293641283e-20,8.673617379884035e-19,8.470329472543003e-22,0.0,3.3881317890172014e-21,5.551115123125783e-17,2.7755575615628914e-17,8.673617379884035e-19,8.470329472543003e-22,4.163336342344337e-17,0.0,4.235164736271502e-22,1.3552527156068805e-20,4.235164736271502e-22,3.3881317890172014e-21,1.6940658945086007e-21,1.6940658945086007e-21,0.0,0.0,1.3010426069826053e-18,4.336808689942018e-19,5.421010862427522e-20,1.0842021724855044e-19,8.673617379884035e-19,1.6940658945086007e-21,0.0,2.7755575615628914e-17,2.168404344971009e-19,5.551115123125783e-17,2.7755575615628914e-17,0.0,1.2705494208814505e-21,1.3552527156068805e-20,1.6940658945086007e-21,1.6940658945086007e-21,2.710505431213761e-20,6.776263578034403e-21,6.776263578034403e-21,0.0,0.0,0.0,3.7269449679189215e-20,8.470329472543003e-22,3.3881317890172014e-21,1.3877787807814457e-17,0.0,0.0,0.0,8.673617379884035e-19,1.6940658945086007e-21,0.0
3,2.750548475385316e-05,2.4325289966002532e-05,6.766856040593363e-05,6.583510699590707e-05,0.00024070743587910142,0.00023957849844065708,0.9218234310279272,6.247933306719142e-05,0.00022252591704406932,2.2618039089918466e-05,0.8557446061229739,6.1022673701253455e-05,0.677041049261834,0.00020922150389579466,4.631959790498838e-06,1.8928384689083443e-05,0.4147940650016523,0.00018226529026939278,0.49254208538224187,1.5941565758743604e-05,5.526724463801055e-06,1.8928519664031478e-05,3.710853341852895e-05,1.356996440033356e-06,1.3639344777396237e-06,2.262749126277635e-05,0.49623357917207245,0.000146599522622981,0.324317168374181,1.2883463514925134e-05,0.07927130819587011,3.666145091383045e-05,0.5256498496082367,0.5256849167739008,0.5101571743536032,0.5101276904957761,0.07927128310577997,3.2382976681399916e-05,1.8700669617765295e-06,9.445156547638688e-06,1.1021207887834329e-05,4.637704361419551e-06,5.513645257782125e-06,1.1053334855846485e-05,3.5431651592112616e-06,6.400828386940952e-06,0.18841633301721095,7.34077876929272e-06,6.376519750369386e-06,1.885870365606075e-06,0.41479401495001134,7.780152550704414e-05,3.5470306720050686e-06,9.42866702409581e-06,0.32431712925277095,5.4864590035263695e-06,0.03987850587187855,4.206361424154473e-06,0.49254206519236254,0.6770410026901006,3.998775146547232e-05,0.1884162715761991,3.1530588527058687e-06,0.49623355014805115,2.182408458091342e-05,5.190816591898128e-05,9.884336329975439e-05,0.00019936080327519244,9.88621365608903e-05,3.710864929417413e-05,0.0002225319968426774,3.2492532590520022e-06,4.210653916664383e-05,7.301582160676781e-05,3.0684830197467576e-06,0.0001007222054944652,0.00010338697429968707,0.00012409243281347234,7.299704298834195e-05,0.0001157228422599966,1.0412749023414549e-05,0.00012409134675102438,0.00017912455631850522,4.207554904645845e-05,7.170358561526428e-05,0.016782644498334345,0.00010344267753810806,0.0003526325303050741,6.969816518626135e-05,0.00017651404712904818,0.00016037610493090435,0.00021279918166655428,0.00010077992054056625,0.024593544635470612,5.194764363406882e-05,0.0003408920326807936,0.00033777725703273254,8.497023467722975e-06,0.00013080519638258614,5.685935482813873e-05,0.000179090268792755,0.00021430055636915586,0.029061688153716715,0.0003153959679594506,0.00017653360430403816,5.6598905058529616e-05,0.00011777452627922844,0.00017649553130490495,0.00030032559686415006,0.00012025056935027887,0.00031237083303223116,0.00022536562085207504,9.413465527161646e-05,0.0001572509723406241,4.461472161488549e-06,0.8557445948785309,4.5683141894925374e-06,0.019416407680153843,0.00017916351002319453,0.00012416040560154405,0.000124146377092368,0.019714286799931993,0.00013115240458425135,0.016782645184623936,9.905007240128765e-05,0.00017912060492338916,0.00026912224406971626,0.00035844918978482853,7.061877845325403e-05,0.004493221593560682,0.9218234086708372,1.9242653756724754e-06,0.00014137470840200849,0.00021117801069861492,0.00013988355907350994,4.9207657213763335e-05,0.004493216178655411,1.5979492321581313e-05,0.0031814481752441334,0.02385274861214365,0.023852961251074632,0.00018358523545245473,0.0001080459028730383,1.4479477905014825e-07,0.00017653758300992977,0.01422647407716698,0.004811727672280735,4.3123968149868604e-07,7.19153668018666e-05,0.024593553147681874,0.0002940646100239758,0.01041753312235632,0.01484725614630358,0.003820076734026139,0.0,1.0587911840678754e-22,4.235164736271502e-22,2.710505431213761e-20,0.0,0.0,4.159651749023781e-17,1.3877787807814457e-17,8.470329472543003e-21,5.293955920339377e-23,0.0,0.0,2.541098841762901e-21,4.163336342344337e-17,0.0,1.7999450129153882e-21,2.7755575615628914e-17,0.0,0.0,1.0587911840678754e-22,0.0,0.0,4.235164736271502e-22,0.0,3.3881317890172014e-21,1.1102230246251565e-16,0.0,1.3552527156068805e-20,2.117582368135751e-22,0.0,0.0,1.0587911840678754e-22,1.3877787807814457e-17,2.541098841762901e-21,0.0,3.3881317890172014e-21,5.551115123125783e-17,2.7755575615628914e-17,8.470329472543003e-22,0.0,0.0,4.235164736271502e-22,1.6940658945086007e-21,0.0,6.776263578034403e-21,1.3877787807814457e-17,1.0587911840678754e-22,0.0,0.0,4.235164736271502e-22,1.2705494208814505e-21,2.117582368135751e-22,0.0,8.470329472543003e-22,1.1102230246251565e-16,1.3552527156068805e-20,8.470329472543003e-22,1.0587911840678754e-22,1.734723475976807e-18,1.734723475976807e-18,1.3552527156068805e-20,1.734723475976807e-18,1.734723475976807e-18,0.0,2.710505431213761e-20,8.673617379884035e-19,1.3552527156068805e-20,1.3552527156068805e-20,0.0,1.6940658945086007e-21,3.3881317890172014e-21,2.0328790734103208e-20,2.710505431213761e-20,5.082197683525802e-21,8.673617379884035e-19,1.3552527156068805e-20,0.0,1.3010426069826053e-18,1.3010426069826053e-18,2.168404344971009e-19,0.0,6.776263578034403e-21,0.0,1.6940658945086007e-21,0.0,2.541098841762901e-21,0.0,0.0,2.168404344971009e-19,1.6940658945086007e-21,1.6940658945086007e-21,4.336808689942018e-19,4.336808689942018e-19,1.2705494208814505e-21,1.3552527156068805e-20,1.3552527156068805e-20,0.0,0.0,1.0164395367051604e-20,0.0,6.776263578034403e-21,1.0164395367051604e-20,6.776263578034403e-21,1.6940658945086007e-19,2.168404344971009e-19,3.3881317890172014e-21,0.0,6.776263578034403e-21,2.710505431213761e-20,0.0,4.336808689942018e-19,0.0,1.3552527156068805e-20,2.710505431213761e-20,1.6940658945086007e-21,2.0328790734103208e-20,6.352747104407253e-22,0.0,4.235164736271502e-22,8.470329472543003e-22,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.421010862427522e-20,8.673617379884035e-19,8.470329472543003e-22,0.0,1.3552527156068805e-20,2.168404344971009e-19,0.0,6.776263578034403e-21,0.0,1.6940658945086007e-21,1.0164395367051604e-20,6.776263578034403e-21,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,0.0,2.117582368135751e-22,1.6940658945086007e-21,3.3881317890172014e-21,0.0,1.0587911840678754e-22,0.0
