,Y2Z7,Y7Z2,Y0Z7,Y7Z0,Y8Z7,Y7Z8,Y0Z4,Y4Z0,Y6Z7,Y7Z6,Y3Z4,Y4Z3,Y3Z6,Y6Z3,Y4Z6,Y6Z4,Y8Z1,Y1Z8,Y1Z6,Y6Z1,Y5Z4,Y4Z5,Y3Z1,Y1Z3,Y8Z2,Y2Z8,Y2Z1,Y1Z2,Y2Z6,Y6Z2,Y0Z6,Y6Z0,Y0Z1,Y1Z0,Y1Z7,Y7Z1,Y4Z7,Y7Z4,Y5Z3,Y3Z5,Y5Z1,Y1Z5,Y2Z0,Y0Z2,Y3Z8,Y8Z3,Y5Z8,Y8Z5,Y5Z6,Y6Z5,Y2Z4,Y4Z2,Y5Z7,Y7Z5,standard_x,Y8Z6,Y6Z8,Y3Z2,Y2Z3,Y3Z0,Y0Z3,Y5Z2,Y2Z5,Y3Z7,Y7Z3,Y8Z4,Y4Z8,Y8Z0,Y0Z8,X4X7,X1X7,X3X7,X6X7,X1X4,X6X8,Y1Y7,X0X6,X2X4,X4X8,X5X7,X4X6,X2X6,X1X6,X0X7,Y1Z4,Y4Z1,Y1Y4,X0X8,X0X1,Y0Y6,X0X3,X0X2,Y6Y8,X7X8,X2X7,Y4Y7,X2X3,Y6Y7,X5X6,X1X2,Y3Y7,X3X6,X7,X3X8,Y2Y6,Y4Y6,X1X3,Y2Y7,X0X4,Y0Y2,Y1Y6,X3X4,X2X8,X0X5,Y0Y8,X1X8,Y1Y2,Y0Y3,X1X5,X2X5,Y2Y8,X6,Y0Y7,Y3Y6,Y2Y4,X5X8,Y5Y6,X4X5,X4,Y2Y3,X3X5,Y7Y8,Y0Y5,Y1Y8,Y4Y8,Y0Y1,X1,Y1Y3,X0,Y3Y5,Y5Y7,Y3Y4,X2,Y0Y4,Y3Y8,X8,Y2Y5,X3,Y1Y5,Y5Y8,Y4Y5,X5,Y5Z0,Y0Z5,X8Y6,X3Y7,X0Y7,Y4,X7Y6,X2Y6,Y8,Y2,Y1,Y0,X8Y2,X8Y0,X7Y8,X7Y1,X6Y8,X6Y7,X6Y5,X6Y2,X6Y1,X5Y6,X4Y6,X4Y3,X4Y2,X4Y1,X4Y0,X3Y0,X2Y3,X2Y1,X1Y8,X1Y7,X0Y8,X3Y4,standard_y,X7Y5,X6Y3,X6Y0,X5Y8,X5Y4,X5Y3,X4Y8,X3Y8,X2Y8,X2Y5,X2Y0,X1Y6,X1Y5,X1Y0,X0Y5,X0Y4,X8Y5,X8Y4,X7Y4,X6Y4,X2Y4,X1Y4,X7Z1,X4Z7,X7Z6,X4Z8,X2Z8,X0Z8,X0Z1,X4Z6,X4Z3,X4Z0,X8Z0,X7Z5,X4Z1,X8Z1,X6Z3,X2Z6,X2Z0,X0Z7,X0Z4,X6Z5,X3Z5,X8Z6,X7Z4,X6Z1,X5Z7,X5Z4,X3Z6,X3Z4,X3Z1,X2Z1,X1Z5,X0Z6,X7Z3,X5Z0,X8Z4,X6Z0,X5Z6,X5Z3,X5Z1,X3Z0,X2Z5,X2Z4,X1Z4,X3Z2,X0Z5,Y7,Y6,Y5,Y3,X8Z7,X8Z5,X8Z3,X8Z2,X8Y7,X8Y3,X8Y1,X7Z8,X7Z2,X7Z0,X7Y3,X7Y2,X7Y0,X6Z8,X6Z7,X6Z4,X6Z2,X5Z8,X5Z2,X5Y7,X5Y2,X5Y1,X5Y0,X4Z5,X4Z2,X4Y7,X4Y5,X3Z8,X3Z7,X3Y6,X3Y5,X3Y2,X3Y1,X2Z7,X2Z3,X2Y7,X1Z8,X1Z7,X1Z6,X1Z3,X1Z2,X1Z0,X1Y3,X1Y2,X0Z3,X0Z2,X0Y6,X0Y3,X0Y2,X0Y1
0,0.9236316857542846,0.9234183986081095,0.8980753571159945,0.897893773409364,0.8862196992201521,0.8859990062745575,0.8663422485854317,0.8662921724604911,0.8092172792622433,0.8091341823486172,0.7740442288535281,0.7739568000740077,0.7459327901868045,0.745817422486695,0.7254642354960745,0.7254339718461607,0.724899255185584,0.7248563879457703,0.7032754640199574,0.703214119770071,0.6741703657507332,0.6740061989981564,0.6165049196909494,0.6164633410657471,0.5902827329374776,0.5902720435675033,0.5541213395723001,0.5540986051759164,0.5061302610774759,0.5060653489810756,0.5026296239135493,0.5025796035146202,0.46286518404231036,0.4628594949312032,0.451876111781396,0.45179029656294434,0.42159997795568915,0.42153909773496134,0.3836157026385463,0.383565612218279,0.37897092290002965,0.378895883288538,0.37320522504958853,0.37319450011184485,0.291100950392837,0.2910985321413967,0.28114648351066124,0.2811074375913315,0.266697377879474,0.2666213103498355,0.23794220143936395,0.23792161006814405,0.20986108131992104,0.209779679932594,0.20078283319851162,0.19942782696901248,0.19939863874853447,0.15711458891954128,0.15711043853478468,0.1385018069862542,0.1384941681870681,0.11093182065731991,0.11091440567958391,0.1016417501111023,0.10161559350564842,0.08768774486472904,0.08767856858980802,0.08079193714660035,0.0807881523516834,0.057556704357442354,0.05399292669838727,0.05338014952321956,0.05079183596311124,0.04842460223480759,0.04650292878986834,0.04597132856587604,0.045366000820559284,0.044595832911286507,0.04436854260095524,0.04400902263640051,0.043743838219286346,0.04338207257159228,0.04134658450871374,0.041132193662756944,0.0408818355765515,0.04087997491855524,0.04060001809849656,0.040539232948295284,0.04032577077719819,0.03982420669323826,0.03973268311196033,0.03909012118642766,0.03844605439314316,0.03843614352425376,0.03828602980924638,0.038026022630519324,0.037708402788744974,0.03702485062433197,0.036624269523280496,0.03655313492092714,0.036332783081622994,0.03561891195899615,0.035374613957519035,0.035301584857911406,0.03524337592693619,0.034014109152245516,0.03333433578550224,0.0331636309567262,0.03263163586033875,0.03233984084950953,0.032284376338243756,0.03198588976403194,0.031786008918087465,0.03141502014294867,0.03140613997988789,0.030979079175365368,0.030458091220158388,0.030140686300254356,0.029363591848569078,0.029255310371953478,0.02898827828182135,0.0285317802514937,0.028264368762402747,0.02774348730012121,0.027018695932220074,0.02671432552012808,0.02654330510631181,0.026179859402065738,0.025751834134438975,0.025269923875148773,0.024797657376208745,0.02464985473128553,0.023987845990085358,0.023901562512983303,0.023467475328302206,0.02296321288201283,0.02271875369231698,0.022199137040943118,0.021899666915617892,0.02152120230888068,0.021354288893306768,0.021018876383885714,0.019984454057622107,0.01939881832826091,0.019310853089696895,0.0187775543364472,0.018559498383631134,0.01822389297567886,0.016296328898021045,0.01501554255037631,0.013022607464716146,0.00952028287737686,0.0064341351488569065,0.006432940193279636,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,5.204170427930421e-18,2.6020852139652106e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,1.3010426069826053e-18,1.3010426069826053e-18,1.0842021724855044e-18,1.0842021724855044e-18,1.0842021724855044e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,7.589415207398531e-19,6.505213034913027e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.2526065174565133e-19,2.710505431213761e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0007655008059004585,0.0007809202159198166,0.5248645103046716,0.0007538706561195383,0.2959299211975276,0.000746683636579858,0.8664109356452148,0.8662877821830407,0.303134619298719,0.0006823405443646291,0.7740281271877529,0.7739514182951787,0.7459168946955514,0.745884718964622,0.7254585686123873,0.7254991750841575,0.7250050591867547,0.7248923937137521,0.7033101183554418,0.7032771047312799,0.674167480200536,0.6740003071782517,0.6164904488478831,0.6164927943455176,0.29592888404878126,0.0004927807563286747,0.00046287531050316253,0.10222600133753254,0.00042309518975749874,0.3031335006747705,0.502666434525237,0.5026231150817697,0.4628988742320861,0.4628807099379497,0.1022250545902855,0.0003879127171099003,0.18366695069337574,0.00035656582536454503,0.38361260820585574,0.383555495038709,0.3789678640227298,0.37891288398799355,0.0003125000033120769,0.5248634434104349,0.29109307447988997,0.2911394259256955,0.28114399700051806,0.2811469000446162,0.2666949911616192,0.2666437821491995,0.00019947427526831454,0.18366619428667014,0.09892705428236837,0.00017748456365251778,0.12192787989219621,0.19945581001830953,0.19941545263120308,0.055473244625223156,0.00013177059633427278,0.13849795256421576,0.13850391448941868,0.09892659419982482,9.3041819662952e-05,0.05547268271782117,8.826933441699627e-05,0.08770001724672927,0.08767736448730266,0.08080327331866961,0.0807938866081491,0.0014264888017266532,0.0014894205006332649,0.001461460568703297,0.0013667236398305677,0.04387954130823234,0.029711390746166334,0.0012336084263533608,0.032502453486650595,0.001183687943218693,0.03393780841530232,0.001458157227496198,0.035669168304631474,0.0012500681770371055,0.029887412122724426,0.0013499708617800078,0.04088363977927736,0.04087943241668303,0.03584390845366049,0.024992167891809677,0.030407946764797425,0.026396575578435826,0.034777351395809404,0.001279405148406384,0.02131006867387569,0.0013651757828245688,0.0057354959741244965,0.0008048204217248999,0.0011583782628910668,0.0011341500224635796,0.02973601634737755,0.0011303897804610984,0.0008413626577256266,0.028813544725999042,0.0014724423791853411,0.02608403441438758,0.0013038952014182018,0.027542884343334018,0.029641617428575913,0.005736844383630707,0.02549408302345242,0.0011461246730090678,0.019931047806801164,0.03145435557261565,0.0012730619830246571,0.02581850459832498,0.015287743777384868,0.01650417077355834,0.0011914222092179625,0.028186246337780066,0.02529014476278959,0.0011776468906385812,0.0011687754966615157,0.021645133222148394,0.0008590401427563605,0.02562990945108616,0.0009166580985240913,0.01683903910232274,0.024027881390200505,0.025157884615201423,0.02519099321283748,0.0008212108421156771,0.025450104927748934,0.0010086140195466565,0.021708404950831484,0.009327555854437324,0.01523316206186695,0.010363274098338697,0.018734098194158617,0.020800252404559554,0.01621980674156774,0.02187591579474385,0.0005430111748985045,0.020368254429504663,0.0011793104670286048,0.012808595251299746,0.016251772267602306,0.008913191009546715,0.0006007078303894881,0.018970110365554724,0.013769665360540154,0.011259078547906663,0.011777695679926101,0.009602794300168601,0.006434085173964512,0.00643340416863137,5.551115123125783e-17,0.0,0.0,4.163336342344337e-17,0.0,2.710505431213761e-20,2.7755575615628914e-17,1.0842021724855044e-19,5.551115123125783e-17,2.7755575615628914e-17,2.710505431213761e-20,2.7755575615628914e-17,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,2.7755575615628914e-17,5.551115123125783e-17,0.0,0.0,1.3877787807814457e-17,5.551115123125783e-17,0.0,0.0,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,1.3866945786089602e-16,2.710505431213761e-20,0.0,4.163336342344337e-17,0.0,0.0,2.7755575615628914e-17,0.0,1.3877787807814457e-17,2.710505431213761e-20,2.710505431213761e-20,2.710505431213761e-20,1.3877787807814457e-17,0.0,0.0,5.551115123125783e-17,4.163336342344337e-17,0.0,5.551115123125783e-17,1.3552527156068805e-20,6.938893903907228e-18,4.0657581468206416e-20,2.7755575615628914e-17,5.421010862427522e-20,8.673617379884035e-19,0.0,1.734723475976807e-18,0.0,1.734723475976807e-18,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.168404344971009e-19,4.336808689942018e-19,0.0,6.505213034913027e-19,0.0,8.673617379884035e-19,0.0,2.710505431213761e-20,8.673617379884035e-19,4.336808689942018e-19,3.2526065174565133e-19,0.0,0.0,0.0,1.734723475976807e-18,0.0,0.0,8.673617379884035e-19,0.0,4.336808689942018e-19,1.3552527156068805e-19,0.0,4.336808689942018e-19,1.3552527156068805e-20,8.131516293641283e-20,5.421010862427522e-20,4.336808689942018e-19,0.0,2.168404344971009e-19,0.0,9.75781955236954e-19,2.0328790734103208e-20,2.710505431213761e-20,0.0,8.673617379884035e-19,1.0503208545953324e-19,0.0,1.3877787807814457e-17,0.0,2.7755575615628914e-17,0.0,5.421010862427522e-20,1.6263032587282567e-19,0.0,2.710505431213761e-20,1.3877787807814457e-17,4.163336342344337e-17,0.0,0.0,5.421010862427522e-20,2.710505431213761e-20,0.0,2.710505431213761e-20,0.0,8.673617379884035e-19,2.168404344971009e-19,0.0,0.0,4.336808689942018e-19,0.0,0.0,0.0,0.0,2.168404344971009e-19,8.673617379884035e-19,5.421010862427522e-20,0.0,1.734723475976807e-18,8.673617379884035e-19,6.938893903907228e-17,0.0,5.421010862427522e-20,5.551115123125783e-17,0.0,1.3552527156068805e-20,2.7755575615628914e-17,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,0.0,8.673617379884035e-19,4.336808689942018e-19,0.0,0.0,2.168404344971009e-19,4.336808689942018e-19,1.3877787807814457e-17,2.7755575615628914e-17,1.0842021724855044e-19,5.551115123125783e-17
2,1.352674789403944e-05,2.3983554081142286e-05,0.0018143975554908887,2.271539456195324e-06,0.2959470029382004,1.9862436735904454e-05,0.002983391803665427,0.0029825099747413635,0.30319975543345484,1.900421459140372e-05,0.6355636149482448,0.0026611976952946237,0.7459784468943227,0.7460073097874933,0.0024977448227652896,0.22289514880181682,0.7250237032340439,0.7249317736023493,0.7033489210353557,0.7033939924162306,0.667748842478102,0.002316673669752582,0.6165440752132029,0.6165284222633074,0.2959453448542616,1.5106966518274954e-05,1.468324605568786e-05,0.1022176602676228,1.397495369053708e-05,0.303197949502382,0.0017341302366435693,0.22288700919307947,0.0015971745428434922,0.4220171469044957,0.10221604794618128,1.9779301322401236e-05,0.0006474244458467362,2.395968676695087e-06,0.38362489750320683,0.3835910686457844,0.3789800697386597,0.37893702960487563,2.8079875266694782e-06,0.0018139352092050123,0.2911205887886711,0.29115011477161046,0.28115352206891986,0.28115724189073765,0.266704076751551,0.2666908765604751,3.2259129745452755e-06,0.0006471542658126773,0.09893219017506116,5.940956068192086e-06,0.05279033269493706,0.1994635339978352,0.1994510229252346,0.055475101245678254,5.133683469873112e-06,0.6355574739095042,0.00047825048128307085,0.09893109277807166,3.654244393481016e-06,0.05547371222041507,5.844740953126478e-06,0.006898085651802332,0.0003025662682480123,0.006896684994543196,0.00027899328122072385,0.000453410147496695,0.0021252537877555623,0.0020753919436933633,0.0019047775114067193,0.0009627199102422979,0.018637648082594604,0.001942695926263084,0.0011888859088981106,0.00031877566337159863,0.00086463009071654,0.0020549145112098047,0.0007845222069944619,0.0020241972912468814,0.019066845136184462,0.0003197649000679744,0.42201376902794674,0.00014745178735648323,0.000678734794638276,0.0011373395559814829,0.000990153810439928,0.0011466880875938964,0.001164688994594773,0.0004525794663714201,0.01632328175558802,0.0018824180199721412,0.0028961737167153036,0.0007064630942449363,0.0018537323600749636,0.0017287137427565704,0.01896707935495763,0.0018030710192918718,0.001446849280895843,0.016208642988087454,0.002066586218467791,0.02052337678465365,0.0020234204594506188,0.001015151057144829,0.02393235366281591,0.0028961576243565776,0.011346313209658551,0.0007086083340158771,0.010790873882781694,0.0008130429019002627,0.0020465884944021523,0.0011363664597538287,0.0005875683677577246,0.013996081244668411,0.0018437113452633733,0.0008514660928323565,0.022044145209625512,0.0018745799640507634,0.0020468493062770522,0.01193873126507777,0.0007068795037048039,0.013172443425534953,0.0007072676404858505,0.014324652344388625,0.014397097877183431,0.0008878815470157949,0.0008906131651187769,0.0013930690689863048,0.02027230951870277,0.0017591778667175137,0.0006529559983958245,0.007254163937494299,0.0005841304364585483,0.0005149555658517259,0.016368877550468584,0.011444137195122588,0.001162641019790338,0.017356274509978495,0.0009837466013849932,0.0005118440406260813,0.0018632243652698167,0.011350187637311632,0.012866223772627394,0.0074433739187166215,0.0010799594698643017,0.014664231927800954,0.006025630702183144,0.008711016383302558,0.0003011340202305755,0.008358182801519856,0.667744249414669,2.2216110187409807e-05,2.7755575615628914e-17,3.3881317890172014e-21,0.0,5.421010862427522e-20,3.3881317890172014e-21,0.0,2.7755575615628914e-17,0.0,0.0,1.0842021724855044e-19,3.3881317890172014e-21,1.6263032587282567e-19,1.4823076576950256e-21,0.0,2.7755575615628914e-17,1.6940658945086007e-21,0.0,0.0,5.551115123125783e-17,4.163336342344337e-17,5.421010862427522e-20,1.0842021724855044e-19,8.470329472543003e-22,2.168404344971009e-19,1.3877787807814457e-17,5.421010862427522e-20,0.0,0.0,1.3877787807814457e-17,3.3881317890172014e-21,1.6263032587282567e-19,1.6263032587282567e-19,1.6432439176733427e-19,0.0,2.7755575615628914e-17,1.0842021724855044e-19,1.3877787807814457e-17,0.0,5.551115123125783e-17,0.0,1.3877787807814457e-17,0.0,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,1.0842021724855044e-19,0.0,1.3877787807814457e-17,2.7755575615628914e-17,2.710505431213761e-20,8.470329472543003e-22,2.710505431213761e-20,1.6940658945086007e-21,2.710505431213761e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-20,0.0,2.710505431213761e-20,0.0,1.4907779871675686e-19,0.0,1.3552527156068805e-20,0.0,6.505213034913027e-19,1.0842021724855044e-19,6.776263578034403e-21,5.421010862427522e-20,2.710505431213761e-20,1.0842021724855044e-19,4.336808689942018e-19,0.0,5.421010862427522e-20,0.0,4.336808689942018e-19,0.0,1.3010426069826053e-18,4.336808689942018e-19,1.3010426069826053e-18,1.0842021724855044e-19,4.336808689942018e-19,5.421010862427522e-20,0.0,0.0,2.439454888092385e-19,2.710505431213761e-19,5.421010862427522e-19,0.0,0.0,1.734723475976807e-18,2.710505431213761e-20,1.0842021724855044e-19,8.673617379884035e-19,8.673617379884035e-19,9.529120656610879e-21,1.6940658945086007e-21,2.7755575615628914e-17,0.0,0.0,0.0,3.2526065174565133e-19,5.421010862427522e-20,4.336808689942018e-19,2.329340604949326e-21,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,7.453889935837843e-20,0.0,0.0,8.470329472543003e-22,8.673617379884035e-19,4.336808689942018e-19,1.0842021724855044e-19,4.336808689942018e-19,8.673617379884035e-19,0.0,1.6940658945086007e-21,0.0,5.551115123125783e-17,5.421010862427522e-20,1.3552527156068805e-20,2.710505431213761e-20,8.470329472543003e-22,5.421010862427522e-20,0.0,1.3010426069826053e-18,2.7755575615628914e-17,0.0,0.0,0.0,2.168404344971009e-19,2.710505431213761e-20,0.0,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,0.0,1.734723475976807e-18,8.673617379884035e-19,2.7755575615628914e-17,3.3881317890172014e-21,2.0328790734103208e-20,1.0842021724855044e-19,0.0,1.0842021724855044e-19,0.0,0.0
3,2.5289959896795446e-05,2.183695501154545e-05,0.00012219768940999426,1.4229997537509522e-05,0.29593830484639727,2.17030665877216e-05,0.00019522012343310105,0.0001890330676059134,6.29452636242327e-06,2.0359562913613217e-05,2.683632190526602e-05,1.2574282344071414e-05,2.6619528366900766e-05,2.410855873388254e-05,1.2949373994914386e-05,1.1477745053320843e-05,0.7250223249475727,0.725001550279921,0.08682112216694181,2.210168222292916e-05,0.6677570673612043,0.00014870269948255859,2.0519409505141674e-05,0.08682070133512948,0.295938130535479,1.4016923999751362e-05,1.2993145804640059e-05,0.10223637271937017,1.0422431608867342e-05,6.237530566897947e-06,8.017496574896436e-05,1.114423781612016e-05,0.00010942203685104478,0.42205610823917283,0.10223624284615301,7.696022321357008e-06,4.501809374361917e-05,1.4267037341097981e-05,0.11691719049831445,1.2814773817415963e-05,0.3789821330007034,0.37897027478529655,4.7250999402837815e-06,0.00012214586788166857,9.614035757933683e-06,0.0916835415382655,0.2811545986644085,0.2811538577226973,0.11691696892227227,7.248367323012082e-06,4.848323343740792e-06,4.4987857630694836e-05,0.09893111826516705,4.635182529317667e-06,0.024123874517564585,0.09168321622052125,5.358238302678921e-06,7.516250476951689e-06,1.0321035990209021e-05,2.66235748592288e-05,8.022214389937937e-05,0.09893101363180556,2.364958630228932e-06,7.47495441597941e-06,2.0352132891901155e-05,0.006897503066900056,2.033368662365106e-05,0.0068970819433466345,1.944217486790824e-05,0.000150588692783652,0.0005275949489120788,0.00017367441622740342,0.00010922147476422246,0.0009402531771819933,0.0006163979675224253,0.0004909515390841182,0.0003895913563451295,0.00010541601163086487,0.0007648056709953732,0.0005036317204726174,0.000575784728525682,0.0001736879641062041,0.0005767325897222469,0.00010537877633118848,0.4220558907624689,1.475864205274827e-05,0.0007264769725483543,0.00100077648674235,0.0008254776785416248,0.0007274290202961529,0.0005758127203621451,0.0001505853124887795,0.0005724110207307862,0.00044526526458136607,0.003809745395665977,0.00023720409463989708,0.00010921802362367735,0.00030012953521871044,0.000622935965197298,0.0004900722388029102,0.0003000876073288068,0.0033655688585732283,0.0005073281068682955,0.00033325279213489395,0.0003001235397512264,0.0007273102063206011,0.0003731109460361349,0.0038097316414599227,0.009863242299914029,0.00023728999386707012,0.0007258079889983366,0.0003896768040986411,0.0005723046805864859,0.0010041146738367407,0.0005431824779394191,0.005602594521599832,0.00045716162708529334,0.0007272984353170115,0.013479566651098247,0.0005141253527781589,0.000644703374420006,0.0006070739599008217,0.00023725154073558712,0.0033655618999905703,0.00023728363554884155,0.01305218233849256,0.0002107768227680054,0.0007635771752588767,0.0007669712462004577,0.00030013991513367695,0.000326796998608355,0.0005473748935893428,0.0007518162701119185,0.0014624127137919565,0.0005387874852050599,0.00040105587246366163,0.009213162783184091,0.0007582509018217137,0.0010019780511681268,0.0001672750445367124,0.00026931594615707695,0.0007274361993912138,0.0005100328487382577,0.009863334629492695,0.000538059016295552,0.0074297158798137235,0.0003020071958609985,0.00034220993360892634,0.002293914725396458,0.006715481860944108,0.0002357151268485429,0.007283300302819052,0.6677564909899015,1.5489892077478916e-06,7.940933880509066e-22,0.0,4.235164736271502e-22,1.6940658945086007e-21,4.235164736271502e-22,0.0,1.3877787807814457e-17,0.0,0.0,6.776263578034403e-21,8.470329472543003e-22,6.776263578034403e-21,2.117582368135751e-22,8.470329472543003e-22,1.7470054537119944e-21,4.235164736271502e-22,0.0,4.235164736271502e-22,0.0,8.470329472543003e-22,4.235164736271502e-22,1.2705494208814505e-21,0.0,2.710505431213761e-20,1.3877787807814457e-17,0.0,4.235164736271502e-22,0.0,1.3877787807814457e-17,1.6940658945086007e-21,3.3881317890172014e-21,4.235164736271502e-22,1.388922275260239e-17,8.470329472543003e-22,0.0,0.0,0.0,1.6940658945086007e-21,1.6940658945086007e-21,6.776263578034403e-21,4.235164736271502e-22,0.0,4.235164736271502e-22,0.0,0.0,0.0,3.3881317890172014e-21,0.0,1.3877787807814457e-17,6.938893903907228e-18,3.3881317890172014e-21,0.0,4.235164736271502e-22,0.0,3.3881317890172014e-21,0.0,0.0,6.776263578034403e-21,0.0,5.421010862427522e-20,0.0,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,1.3552527156068805e-20,1.1519648082658485e-19,0.0,6.776263578034403e-21,0.0,1.3552527156068805e-20,2.710505431213761e-20,6.776263578034403e-21,2.710505431213761e-20,0.0,6.776263578034403e-21,1.3552527156068805e-20,1.0842021724855044e-19,3.8963515573697816e-20,0.0,0.0,0.0,1.3552527156068805e-20,6.776263578034403e-21,1.3552527156068805e-20,2.710505431213761e-20,4.336808689942018e-19,2.710505431213761e-20,6.776263578034403e-21,4.336808689942018e-19,4.743384504624082e-20,3.3881317890172014e-21,1.0842021724855044e-19,3.2526065174565133e-19,0.0,6.776263578034403e-21,0.0,8.470329472543003e-21,4.336808689942018e-19,1.3552527156068805e-20,1.9058241313221758e-21,0.0,2.117582368135751e-21,2.7755575615628914e-17,8.470329472543003e-22,2.168404344971009e-19,2.168404344971009e-19,1.0842021724855044e-19,0.0,0.0,4.235164736271502e-22,1.0408340855860843e-17,0.0,2.710505431213761e-20,3.3881317890172014e-21,0.0,2.7755575615628914e-17,0.0,5.421010862427522e-20,2.710505431213761e-20,3.3881317890172014e-21,0.0,0.0,0.0,1.6940658945086007e-21,8.470329472543003e-22,0.0,0.0,6.776263578034403e-21,2.710505431213761e-20,2.117582368135751e-22,0.0,5.421010862427522e-20,1.3552527156068805e-20,0.0,8.470329472543003e-22,2.117582368135751e-22,0.0,2.710505431213761e-20,3.3881317890172014e-21,2.7755575615628914e-17,8.673617379884035e-19,6.505213034913027e-19,1.0842021724855044e-19,3.2526065174565133e-19,2.168404344971009e-19,0.0,8.470329472543003e-22,1.6940658945086007e-21,0.0,0.0,8.470329472543003e-22,2.541098841762901e-21,2.117582368135751e-22,0.0
