,Y8Z6,Y4Z2,Y2Z4,Y6Z8,Y5Z6,Y6Z5,Y4Z3,Y3Z4,Y0Z2,Y2Z0,Y3Z5,Y5Z3,Y7Z4,Y4Z7,Y0Z5,Y5Z0,Y3Z6,Y6Z3,Y0Z6,Y6Z0,Y0Z7,Y7Z0,Y7Z2,Y2Z7,Y7Z5,Y5Z7,Y3Z2,Y2Z3,Y7Z6,Y6Z7,Y7Z3,Y3Z7,Y1Z7,Y7Z1,Y5Z2,Y2Z5,Y4Z6,Y6Z4,Y1Z2,Y2Z1,Y0Z3,Y3Z0,Y8Z4,Y4Z8,Y1Z0,Y0Z1,Y8Z2,Y2Z8,Y1Z5,Y5Z1,Y2Z6,Y6Z2,Y1Z3,Y3Z1,Y8Z7,Y7Z8,Y1Z6,Y6Z1,Y1Z4,Y4Z1,standard_x,Y0Z4,Y4Z0,Y8Z5,Y5Z8,X2X6,X4X6,X6X7,Y4Z5,Y5Z4,X4X5,X2X5,Y2Y6,X0X4,X0X3,X2X3,X3X6,X0X6,X3X7,X5X7,X2X7,Y3Y7,Y6Y7,Y0Y3,Y2Y7,X5X6,Y4Y5,Y2Y3,X0X7,X0X5,X3X5,Y0Y4,X1X6,X0X2,X4X7,X5X8,X3X8,Y2Y5,X3X4,Y5Y7,X2X8,Y4Y6,Y3Y6,X0X8,X2X4,Y0Y7,Y0Y5,Y5Y6,X7X8,Y0Y6,X4X8,X6,X1X3,X1X5,X1X2,Y3Y5,X1X4,Y4Y7,X0X1,Y0Y2,Y2Y4,X1X7,X6X8,X2,Y3Y8,Y3Y4,X5,X3,X4,Y0Y8,X7,X0,Y8Z3,Y3Z8,Y1Y6,Y1Y3,Y0Y1,Y5Y8,Y1Y2,Y1Y5,Y1Y4,Y1Y7,Y7Y8,X1X8,Y8Z0,Y0Z8,Y4Y8,Y2Y8,Y1Y8,X8,Y6Y8,Y1Z8,Y8Z1,X1,X8Y1,X1Y6,X8Y3,X7Y8,X6Y2,X6Y1,X3Y4,X2Y8,X0Y8,X0Y7,standard_y,X8Y7,X8Y6,X7Y6,X6Y4,X5Y8,X5Y2,X5Y1,X5Y0,X4Y3,X2Y5,X2Y4,X1Y7,X0Y6,X0Y4,Y5,Y0,X8Y5,X8Y4,X7Y5,X7Y4,X7Y2,X7Y0,X6Y8,X6Y7,X4Y8,X4Y7,X4Y5,X4Y2,X3Y2,X2Y7,X2Y0,X1Y8,X1Y4,X1Y2,X0Y2,Y1,X7Y3,X6Y5,X6Y3,X4Y1,X2Y3,X2Y1,X1Y5,X1Y3,X0Y1,X6Z8,X7Z6,X3Z1,X7Z8,X6Z7,X6Z0,X5Z6,X3Z7,X2Z1,X0Z8,X3Z5,X7Z5,X7Z3,X7Z0,X6Z1,X5Z3,X5Z0,X3Z6,X2Z6,X1Z8,X0Z7,X0Z1,X4Z1,X2Z5,X1Z5,X7Z2,X5Z1,X4Z3,X4Z2,X3Z4,X2Z4,X1Z7,X0Z6,X0Z5,X0Z3,X0Z2,X8Z0,X1Z4,X5Z4,X8Z1,X5Z2,X1Z6,X1Z3,X1Z2,X1Z0,X8Z5,X4Z0,X3Z0,X0Z4,X8Z3,X4Z5,Y8,Y7,Y6,Y4,Y3,Y2,X8Z7,X8Z6,X8Z4,X8Z2,X8Y2,X8Y0,X7Z4,X7Z1,X7Y1,X6Z5,X6Z4,X6Z3,X6Z2,X6Y0,X5Z8,X5Z7,X5Y7,X5Y6,X5Y4,X5Y3,X4Z8,X4Z7,X4Z6,X4Y6,X4Y0,X3Z8,X3Z2,X3Y8,X3Y7,X3Y6,X3Y5,X3Y1,X3Y0,X2Z8,X2Z7,X2Z3,X2Z0,X2Y6,X1Y0,X0Y5,X0Y3
0,0.9809208582055526,0.980722138145605,0.9806777622864871,0.9805550961031384,0.9803264109228622,0.9802243494656717,0.908055270334251,0.908030776898656,0.9073060626225913,0.9072624292687104,0.8808781999472053,0.8808745762197455,0.8260856477702572,0.8260849155465366,0.8174974726942135,0.8174697349128307,0.7987886807377181,0.798702232209973,0.7584985270104059,0.7583938252577085,0.6980139004834016,0.6980125348401045,0.6884238787143233,0.6883921179521104,0.5886772383320786,0.5886584158608688,0.5763437549013748,0.5763332217531258,0.5529704994146338,0.5528952491921755,0.5121420544764596,0.512127785915924,0.5042600742237068,0.5041093003013439,0.4831234324354293,0.48311659040211435,0.43739003137782145,0.4373308971084169,0.40718142823510145,0.40704090023079187,0.3958609876833332,0.3958491842457541,0.3723776928435444,0.3722891698369688,0.37054866376382123,0.3704385937827908,0.34650579866882203,0.34640775035172333,0.33900978709723983,0.33889758600506326,0.3176867962548308,0.3176582194501787,0.31446439474064086,0.31436161054132145,0.3025909694900837,0.30251930444496167,0.27591313872731615,0.27579310354456776,0.2550488906478826,0.2549724042987913,0.24185662015562787,0.20596489489271996,0.20596430935310422,0.11391648215216973,0.11388586072682155,0.06821138844034833,0.06339613253555276,0.06104385892410867,0.061020967145398626,0.0610190701078921,0.060210746360393,0.05863218319036356,0.05768660283771393,0.057178015000212065,0.056686634610150596,0.05638080455058719,0.056256295634788185,0.05552658987572737,0.0547042399929374,0.05329600680343244,0.05168855356812456,0.05102553581343992,0.05063997785030187,0.05022428064433484,0.050190891907227884,0.05007057302839379,0.04973178628786193,0.048401501396977395,0.048221613860171646,0.046729977762963476,0.04656387117176093,0.046214071185084915,0.04572307115632035,0.0445768268610353,0.04450829622562874,0.044193866154130776,0.04416169358396925,0.0440791448846211,0.04352240267546287,0.04305699084063169,0.04299619529445023,0.042912958235086285,0.04284695257074067,0.042182184115242535,0.04199394277265956,0.04184491262797241,0.041658641930027676,0.04070604650395057,0.04049173132972626,0.04012195129406665,0.03960921788409778,0.038125120938412776,0.03805700478504412,0.038010601106447814,0.037936904998306945,0.037050836372648346,0.03693696591018006,0.036072562771266636,0.03530216153771065,0.03411291186178536,0.03361690060707858,0.033093764687278426,0.032150419513768944,0.032131446342670775,0.03178323951459362,0.031286185910647316,0.031187795756491957,0.030913662202207474,0.0291162505360565,0.029101238278019657,0.029057138275328333,0.028926792309572964,0.028261677797234118,0.02825419712186633,0.027910840806837936,0.027816235560415348,0.027707334305416532,0.027533099687284714,0.02740605734086602,0.02722147710295853,0.026471155530763485,0.025330658193502928,0.02382500779049628,0.02239389684905977,0.02180918650491854,0.021804063899438536,0.02118065371650292,0.01962040327751434,0.014299058815530608,0.013271555466756133,0.011887283221702422,0.011263295060585085,0.011262594715173185,0.009126858328130961,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,6.938893903907228e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,3.469446951953614e-18,2.6020852139652106e-18,2.168404344971009e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,1.3010426069826053e-18,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,8.673617379884035e-19,6.505213034913027e-19,6.505213034913027e-19,5.421010862427522e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,4.336808689942018e-19,3.7947076036992655e-19,3.2526065174565133e-19,2.439454888092385e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,2.168404344971009e-19,1.6263032587282567e-19,1.0842021724855044e-19,1.0842021724855044e-19,1.0842021724855044e-19,8.131516293641283e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0023394278012288956,0.9807588555091924,0.9806967339235853,0.0023442306549971295,0.8664280969899283,0.0023402303675240784,0.9080887773310476,0.9080236025601229,0.9072982561086513,0.9072794862570608,0.8808710730072131,0.8808915235033952,0.8261166846729513,0.82611494388716,0.8174899448758883,0.8174851190880685,0.7705224565260507,0.0019066524807058952,0.7366836459331298,0.0018104087947614373,0.698006980108558,0.6980382255328478,0.6884491844060943,0.6884041262100437,0.5886985830890603,0.5886687566414568,0.5763380945292429,0.5763429538853695,0.25044682504885585,0.0013216607267168734,0.512160455153668,0.5121226165793109,0.504258366698649,0.504127396144203,0.4831317066189683,0.4831245635220662,0.06509904709792239,0.0010464116708165773,0.40717990905918694,0.40704750926112165,0.39585655251058977,0.39584502535584903,0.0008892787085550467,0.06509670763590805,0.37054723999496375,0.3704344152768503,0.0008275186750950454,0.028723428075615898,0.3390084549798762,0.3389032324583643,0.02872150228590742,0.0007607013170236418,0.3144631393813806,0.31435823680158964,0.0007226754035998411,0.2504443537073794,0.2646485258129776,0.0006584009715694691,0.25504783898397765,0.2549810577575182,0.18249402416817867,0.20596249575506406,0.20597128156788572,0.00027210031736823656,0.8664249520587053,0.00013680054340624385,0.00014197910306387572,0.0001377143993761768,0.06102302505505272,0.06102006185601083,0.05580168686003792,0.05526168082462113,0.0001202270852589674,0.05463282381428008,0.05698957644347458,0.054768037305820624,0.00015980220644727552,0.00016269495518484112,0.05190838032291881,0.04867149222323734,0.04704460791675575,0.04681079954103577,0.00011676684334588739,0.050407796300111496,0.045309681414762104,0.00016002950868439702,0.04229862146004355,0.0435612025869196,0.04542200726415527,0.045039524688544365,0.04474828396555558,0.041207069568430094,0.0001890979634770555,0.04285734090841524,0.0386553482701919,0.00016827475332331898,0.0001534688678537642,0.03732493128150534,0.040590869388436236,0.03661294737486134,0.0001501743455748362,0.00015837471454265348,6.190990866672863e-05,0.00015719839052915182,0.03724242199220681,0.03777171982285579,0.0402847695172032,2.428049184266776e-05,0.00017280381800169523,4.784573716752865e-05,0.00016499227132853015,0.00020818083509309318,0.038272129798629095,0.03642297292228335,0.03635961060968583,0.0353672220373722,0.03427058334924995,0.02989485098140078,0.03558607618572872,0.029320546503024375,0.02876643906181757,0.030272251873039002,0.02069823811307494,0.0305044372887831,0.00023542581461373908,0.02562909098215701,0.029531146005479958,0.031053831030941108,0.026361131086484198,0.0002147938984207305,0.026220106389353043,0.029150570559483342,6.750702568177657e-05,0.7705200620748403,2.2099313570790013e-05,0.02801343298002265,0.027947575932191555,0.00022087822404398089,0.025930911136399774,0.026888746967574217,0.024806734884452456,0.024006951426983378,0.0002297298546983124,0.00020283670290637093,5.209436230068216e-05,0.7366813886760422,0.00022379558211973408,0.00020759475597276138,0.0001056535383129243,0.00022445964632736634,0.020698551639663623,0.26464768844693143,2.6902334033026358e-05,0.009240161326233483,5.421010862427522e-20,0.0,1.0842021724855044e-19,2.710505431213761e-20,5.421010862427522e-20,5.421010862427522e-20,2.7755575615628914e-17,2.710505431213761e-20,2.168404344971009e-19,9.71445146547012e-17,8.332093695551102e-17,5.421010862427522e-20,2.7755575615628914e-17,0.0,5.421010862427522e-20,2.710505431213761e-20,2.7755575615628914e-17,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,2.7755575615628914e-17,2.168404344971009e-19,2.7755575615628914e-17,0.0,0.0,5.421010862427522e-20,0.0,1.1102230246251565e-16,1.3877787807814457e-17,2.0816681711721685e-17,0.0,2.7755575615628914e-17,1.6263032587282567e-19,2.710505431213761e-20,2.7755575615628914e-17,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,2.710505431213761e-20,2.7755575615628914e-17,5.551115123125783e-17,2.7755575615628914e-17,0.0,5.551115123125783e-17,5.421010862427522e-20,5.421010862427522e-20,0.0,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,1.3552527156068805e-20,1.734723475976807e-18,4.336808689942018e-19,1.734723475976807e-18,1.3552527156068805e-20,6.776263578034403e-21,1.734723475976807e-18,0.0,8.673617379884035e-19,0.0,8.673617379884035e-19,4.336808689942018e-19,4.336808689942018e-19,1.0842021724855044e-18,3.3881317890172014e-21,0.0,1.734723475976807e-18,0.0,3.469446951953614e-18,0.0,1.734723475976807e-18,1.734723475976807e-18,0.0,0.0,2.168404344971009e-19,8.673617379884035e-19,1.3010426069826053e-18,4.336808689942018e-19,0.0,8.673617379884035e-19,1.734723475976807e-18,4.336808689942018e-19,3.469446951953614e-18,1.734723475976807e-18,4.336808689942018e-19,8.673617379884035e-19,9.740878893424454e-21,2.168404344971009e-19,2.168404344971009e-19,1.6940658945086007e-21,8.673617379884035e-19,8.673617379884035e-19,1.0842021724855044e-19,4.336808689942018e-19,2.168404344971009e-19,5.082197683525802e-21,4.336808689942018e-19,4.336808689942018e-19,2.168404344971009e-19,2.541098841762901e-21,2.981555974335137e-19,5.421010862427522e-20,0.0,0.0,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,1.3552527156068805e-20,2.371692252312041e-20,0.0,0.0,0.0,1.6263032587282567e-19,1.3010426069826053e-18,4.336808689942018e-19,2.7755575615628914e-17,0.0,0.0,6.776263578034403e-21,0.0,1.0842021724855044e-19,1.734723475976807e-18,1.734723475976807e-18,2.7755575615628914e-17,0.0,2.7755575615628914e-17,5.551115123125783e-17,1.734723475976807e-18,1.734723475976807e-18,1.734723475976807e-18,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,5.551115123125783e-17,3.469446951953614e-18,8.673617379884035e-19,8.673617379884035e-19,2.6020852139652106e-18,0.0,0.0,0.0,5.551115123125783e-17
2,6.834094520984476e-05,0.009474041152019637,0.009480797442054732,0.00013755168834889977,0.8665101665769532,9.981917736089026e-05,0.00877078725601418,0.3317201667765791,0.7013990776213517,0.008778695450170198,0.8810525401576819,0.8809699466250898,0.13769802545156606,0.00797691511024029,0.8175934733782173,0.8175597354600976,0.7706858034181998,7.862580380324459e-05,0.736779993486864,7.43973927154956e-05,0.6980982317324504,0.698187562729235,0.13762338962597737,0.006648168537178846,0.588826441564757,0.5887268075445966,0.3316468221878214,0.005559996315926189,0.25051565451135843,7.823442802487072e-05,0.5122730153227356,0.5122343543639083,0.5042837750076297,0.5042378109666813,0.422155240359225,0.004674685232347625,0.0006002752196807536,2.0741656582132153e-05,0.1521494945648355,0.003933865791260676,0.39591113776719933,0.39593191742031064,1.0927995634388484e-05,0.0006038921624100481,0.3705667321039058,0.3704855466724596,1.248081351116972e-05,0.00030430150903178535,0.33902643126716525,0.33893816865932114,0.00030642866798755424,2.0389889782128393e-05,0.31448009087636286,0.3144276951334135,3.8726030829539396e-05,0.2505113384392931,0.264663252121092,2.75746283280225e-05,0.15211590448069418,0.0024592169983571966,0.07395792214827969,0.7013425254178636,0.0019864479423424355,1.5182486835333031e-05,0.866501573439862,0.0007847816325208428,0.000686902300998933,0.0032883095901661344,0.000588484209278277,0.422126246640783,0.0029444575521502397,0.0025879234947973405,0.0020360069532928578,0.003044491791785447,0.03795545734827388,0.0028901596905669333,0.0034419910126098578,0.0034572789685827403,0.026538304344834056,0.03209574405652785,0.0026503760837282035,0.02138239065068378,0.0018209320850657272,0.027195149885357203,0.0028596042603010957,0.0032236841225801796,0.003233147318252438,0.003441878344790637,0.0264755607800194,0.03573808822877493,0.02975427760305147,0.0031680151072703477,0.0034952216106151042,0.002375744658736063,0.0026648960149051127,0.0032660646689564162,0.0030495942740337463,0.002788701015025279,0.002511279173481976,0.02345487400406953,0.0006936160990436903,0.0020360814253171655,0.0005764963036748666,0.003032741271469272,0.00785989047346716,0.01629727256173876,0.03268855513217477,0.0016767520092434826,0.003202818560948913,0.0017070021589928436,0.0007920058637619385,0.003504217190481674,0.022900672154299875,0.029698454655287823,0.0024165809949278057,0.02226147827951512,0.002773500654768039,0.002603880011116482,0.02622968108272701,0.0024190369360711007,0.007829952901300705,0.014605994477782144,0.01794386776688063,0.002401175763810783,0.002714227943144882,0.0029940363780264143,0.02548208697508368,0.018391650883399925,0.0026709856314559863,0.003750729096241175,0.0129217427825494,0.022419752229110135,3.7898297769240995e-06,0.7706802531534784,0.0007954320876067916,0.015497352162031314,0.018961717192974462,0.004080280404004167,0.0017019013325643513,0.0210642372157464,0.0018365789302537568,0.011775731558623888,0.0025179956733274982,0.0029975413638031996,2.925043119701286e-06,0.7367714547287672,0.0020350830130599924,0.0020379297366725285,0.0015303757948265508,0.00298973396315422,0.01794383480935187,0.2646596923691695,1.5108003605479236e-06,0.006308801827039202,5.082197683525802e-21,1.3552527156068805e-20,0.0,4.235164736271502e-21,0.0,0.0,2.168404344971009e-19,0.0,0.0,5.551115123125783e-17,8.197584863527119e-17,1.6940658945086007e-21,4.163336342344337e-17,2.710505431213761e-20,6.776263578034403e-21,1.0164395367051604e-20,6.505213034913027e-19,5.551115123125783e-17,0.0,4.336808689942018e-19,0.0,1.3877787807814457e-17,2.7755575615628914e-17,2.710505431213761e-20,4.336808689942018e-19,5.551115123125783e-17,0.0,0.0,1.6940658945086007e-21,0.0,5.421010862427522e-20,1.6263032587282567e-19,0.0,1.3877787807814457e-17,0.0,0.0,2.168404344971009e-19,0.0,6.938893903907228e-18,2.168404344971009e-19,2.168404344971009e-19,8.673617379884035e-19,0.0,2.168404344971009e-19,8.673617379884035e-19,6.505213034913027e-19,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,4.336808689942018e-19,4.336808689942018e-19,6.505213034913027e-19,5.551115123125783e-17,0.0,2.7755575615628914e-17,4.336808689942018e-19,0.0,1.3010426069826053e-18,0.0,0.0,0.0,1.734723475976807e-18,4.336808689942018e-19,3.2526065174565133e-19,3.469446951953614e-18,8.673617379884035e-19,0.0,3.2526065174565133e-19,8.673617379884035e-19,1.0842021724855044e-19,8.673617379884035e-19,0.0,0.0,2.168404344971009e-19,4.336808689942018e-19,0.0,0.0,5.421010862427522e-20,0.0,4.336808689942018e-19,0.0,8.673617379884035e-19,1.0842021724855044e-19,1.0842021724855044e-19,4.336808689942018e-19,0.0,4.336808689942018e-19,1.734723475976807e-18,1.734723475976807e-18,0.0,0.0,8.131516293641283e-20,5.421010862427522e-20,4.336808689942018e-19,8.131516293641283e-20,1.3010426069826053e-18,8.673617379884035e-19,0.0,1.0842021724855044e-19,3.2526065174565133e-19,6.776263578034403e-21,1.0842021724855044e-19,1.3010426069826053e-18,0.0,1.6940658945086007e-21,2.0328790734103208e-20,3.3881317890172014e-21,8.326672684688674e-17,1.3552527156068805e-20,4.336808689942018e-19,0.0,8.673617379884035e-19,1.0842021724855044e-19,5.421010862427522e-20,1.3552527156068805e-20,2.710505431213761e-20,0.0,3.3881317890172014e-21,3.2526065174565133e-19,6.505213034913027e-19,0.0,4.336808689942018e-19,5.421010862427522e-20,0.0,0.0,6.776263578034403e-21,1.734723475976807e-18,1.734723475976807e-18,0.0,0.0,4.336808689942018e-19,1.1102230246251565e-16,0.0,0.0,0.0,3.3881317890172014e-21,8.673617379884035e-19,1.734723475976807e-18,4.336808689942018e-19,3.3881317890172014e-21,5.551115123125783e-17,1.3552527156068805e-20,0.0,0.0,5.551115123125783e-17,0.0,2.710505431213761e-19,1.0842021724855044e-19,2.168404344971009e-19,6.776263578034403e-21,5.551115123125783e-17,0.0,5.551115123125783e-17
3,9.196534657968363e-06,0.0010765982715555313,0.0010765995200633532,1.7461129134447688e-06,0.0007917904401936427,3.766005625633497e-06,0.0009356648771131268,0.00031686242092158676,0.70136237074114,0.0009981909132634106,0.0007968237311092809,0.000806157116890537,0.13767215489144596,0.000902642284569602,0.4216186083638993,0.0007418503288997961,0.0007011620537707083,3.7504569995422886e-06,0.7367552168150782,8.828915222149676e-07,0.6980734348628059,0.6982124703807759,0.13767042059489992,0.0007487484823423025,0.07654339641814455,0.0005448746277538297,0.0003172125004075539,0.00010593546569640872,0.25051025561886714,5.16195685045021e-06,0.07653928484414971,0.00047107214568465965,0.504285464135958,0.5042501175361491,0.0003488766996382241,0.00010446756583365505,6.0627594551475734e-05,6.896793264394376e-06,0.15213500462129853,0.00044425188736203254,0.42161435371810396,0.0003653234142410454,4.0477706771423564e-06,6.102441404232727e-05,0.37056594420514805,0.37046618277756327,4.356476057750236e-06,4.20077956061237e-05,0.024544032295227745,0.0003167550664398483,4.224138620701924e-05,7.004020353654093e-06,0.024541264607936167,0.0002906458073443338,3.1852410205595345e-06,0.25050985013301214,0.26466175442980244,4.730163537779037e-07,0.1521338594681958,0.00027606846570531646,0.03751207724466447,0.7013604201780341,0.00022293088114921987,1.4707834434845602e-06,0.0007918075670702519,0.0002688069859070394,0.00023663852914310613,0.0009763614294492541,0.0009355237668761238,0.0003491836713878811,0.0008399540113113591,0.0003852384514790722,0.0006760210338899118,0.0013047777800141217,0.0032672420462947394,0.0008395846792513696,2.5458328503594043e-05,0.001031825615099818,0.0030952123000298854,0.0025725406965863675,0.0013109188957182369,0.002427769800732199,0.0005336084677123669,0.002242358423296934,0.00139592718328003,2.300002110675247e-05,0.0011220622362611565,0.001121867740034224,0.01955907504762986,0.002383949099875279,0.008734183425643156,0.0015030104592859373,0.0010439909848895374,0.0011343311142145635,0.0011140567136830874,2.550085023967261e-05,2.3086028489938807e-05,0.0011225265214499323,0.0003852643441023423,0.0023271206946598256,0.0002368607507487001,0.0006761692766434973,4.8634287689810175e-05,0.0009935868805128396,0.012318884375906742,0.006809237795896331,0.0016996098423033563,4.831468672594721e-05,0.0010491632169648117,0.0005093499567821833,0.0002692295252232935,0.001046767371792383,0.0030545188727743233,0.002620883538435048,0.0012015172880896737,0.008737237314108724,0.0012149887561105992,0.0012869804291112718,0.023557612005412693,0.0010348832450989402,0.012317674457814634,0.009271795710953549,0.00798365009251389,0.0012227649650300592,4.802488289399079e-05,0.0011217246256184001,0.002637070627471278,0.0030488719237042943,0.0011824121708934206,0.0011797864155118172,0.009554557067491348,0.021163983166027668,1.5079143259435178e-06,0.0007011848025761999,0.00022091564106997623,0.0015233617975262694,0.015254579648526589,4.7609405631774275e-05,0.0007847876907929524,0.001485467293020582,0.0008826718639439179,0.006919821344189425,0.0007615612996957553,0.0009815570644750812,2.751798371935617e-07,0.7367543442929845,0.0006762333123582552,0.0006763105049431963,0.0004617564196776063,0.0009788032537270748,0.007983641098728716,0.26466140814867556,1.4219563813110868e-07,0.005538342221412812,0.0,8.470329472543003e-22,1.0587911840678754e-22,5.293955920339377e-23,1.6940658945086007e-21,0.0,1.6940658945086007e-21,4.235164736271502e-22,0.0,2.7755575615628914e-17,8.3267573879834e-17,0.0,2.7755575615628914e-17,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,2.541098841762901e-21,0.0,6.938893903907228e-18,5.551115123125783e-17,1.6940658945086007e-21,0.0,5.421010862427522e-20,0.0,0.0,2.117582368135751e-21,0.0,2.710505431213761e-20,1.3552527156068805e-20,5.551115123125783e-17,1.3877787807814457e-17,1.6940658945086007e-21,0.0,0.0,0.0,3.469446951953614e-17,3.3881317890172014e-21,2.710505431213761e-20,1.0842021724855044e-19,8.470329472543003e-22,2.710505431213761e-20,5.421010862427522e-20,5.421010862427522e-20,2.7755575615628914e-17,0.0,0.0,0.0,5.421010862427522e-20,0.0,2.710505431213761e-20,5.421010862427522e-20,5.421010862427522e-20,5.551115123125783e-17,0.0,0.0,1.6263032587282567e-19,0.0,0.0,0.0,0.0,2.168404344971009e-19,8.131516293641283e-20,0.0,1.0842021724855044e-19,1.6263032587282567e-19,2.710505431213761e-19,2.168404344971009e-19,2.710505431213761e-20,0.0,2.168404344971009e-19,2.168404344971009e-19,0.0,0.0,2.6020852139652106e-18,4.336808689942018e-19,8.131516293641283e-20,1.6940658945086007e-20,5.421010862427522e-20,1.6263032587282567e-19,5.421010862427522e-20,0.0,0.0,0.0,0.0,6.505213034913027e-19,1.734723475976807e-18,4.336808689942018e-19,0.0,8.673617379884035e-19,2.541098841762901e-20,1.6263032587282567e-19,5.421010862427522e-20,2.0328790734103208e-20,5.421010862427522e-20,0.0,1.3552527156068805e-19,1.0842021724855044e-19,6.505213034913027e-19,6.776263578034403e-21,4.0657581468206416e-20,1.0842021724855044e-19,8.673617379884035e-19,3.3881317890172014e-21,5.421010862427522e-20,0.0,5.551115123125783e-17,8.470329472543003e-22,2.710505431213761e-20,0.0,2.710505431213761e-20,5.421010862427522e-20,2.710505431213761e-20,3.3881317890172014e-21,6.776263578034403e-21,4.235164736271502e-22,8.470329472543003e-22,3.2526065174565133e-19,2.168404344971009e-19,0.0,2.710505431213761e-20,2.710505431213761e-20,0.0,1.3552527156068805e-20,0.0,0.0,0.0,5.421010862427522e-20,0.0,1.6940658945086007e-21,2.0816681711721685e-17,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,2.117582368135751e-22,0.0,0.0,6.938893903907228e-18,2.710505431213761e-20,5.421010862427522e-20,0.0,1.6263032587282567e-19,6.776263578034403e-21,0.0,1.6940658945086007e-21,0.0,0.0,5.421010862427522e-20
