Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.7355605984964051,1.8672254975040827e-17,
1,0.8023341786930673,0.25250995054817665,Y1Z5,0.785398151948979,9.993982009534839e-09
2,0.8665205347234932,0.4952360937229992,Y2Z6,0.7853981645090943,-2.4358837875282847e-08
3,0.8940126179354572,0.5991997355087723,Y4Z1,0.7853981729765175,2.1640769939024362e-07
4,0.9370165548334317,0.7618227661670454,Y0Z5,0.7853981569458199,-5.488711164530014e-07
5,0.9555701878049162,0.8319849011060485,Y3Z6,0.7853858004377191,-3.454891550055037e-07
6,0.9555706543901484,0.8319866655376331,standard_x,5.919622023591293e-09,0.009997801754292232
7,0.9555706544312733,0.8319866656931504,Y3Z6,1.2349617473029935e-05,0.01000077553699319
8,0.9555706544312753,0.831986665693158,X0,-1.6326160914380346e-07,0.009999947282208604
9,0.9555706544312756,0.8319866656931596,standard_x,-1.3407957541789047e-09,0.009999996703452824
10,0.9555706544312756,0.8319866656931596,Y2Y6,0.0,0.01
11,0.9555706544312756,0.8319866656931595,Y2Y6,0.0,0.01
12,0.9555706544312756,0.8319866656931595,Y2Y6,0.0,0.01
