,Y3Z0,Y0Z3,Y4Z5,Y5Z4,Y5Z3,Y3Z5,Y2Z4,Y4Z2,Y2Z1,Y1Z2,Y3Z2,Y2Z3,Y5Z2,Y2Z5,Y0Z4,Y4Z0,Y1Z0,Y0Z1,Y0Z2,Y2Z0,Y3Z4,Y4Z3,Y4Z1,Y1Z4,Y5Z0,Y0Z5,Y3Z1,Y1Z3,Y5Z1,Y1Z5,X2Y3,Y2,X0Y2,X4Y3,X1Y3,Y4,Y0,X4Y2,X3Y0,X2Y1,X2Y4,X1Y4,standard_y,Y3,X5Y4,X4Y1,X4Y0,X3Y4,X0Y4,X0Y3,X2Y5,X1Y5,X4Y5,X3Y5,X0Y5,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5Y1,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y2,X3Y1,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9094288740525507,0.9094288740525505,0.8715144852397703,0.87151448523977,0.8450099374486737,0.8450099374486737,0.8425333257485345,0.8425333257485343,0.7499579644093805,0.7499579644093803,0.6282076485972601,0.6282076485972601,0.6111943800752222,0.6111943800752222,0.4843063478158385,0.48430634781583837,0.4451392251568228,0.44513922515682275,0.2940884823388854,0.2940884823388853,0.222472203237136,0.22247220323713598,0.20250559814849733,0.20250559814849733,0.08704596300950762,0.0870459630095076,0.07543823614279802,0.0754382361427979,0.07392384727682055,0.0739238472768205,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0005738000587247722,0.0005738000587247722,0.87151448523977,0.8715144852397698,0.7579639917653284,0.0005331552203422204,0.8425333257485341,0.8425333257485343,0.7499579644093803,0.7499579644093803,0.000396364791069554,0.33411922479555,0.6111943800752221,0.6111943800752221,0.0003055709124113978,0.2618341888609343,0.3697010040297142,0.0002808585924894718,0.00018555380552672077,0.3341190412160709,0.00014036783625887128,0.26183404817939626,0.2025055981484974,0.20250559814849733,0.7579638062432047,5.4921258947979756e-05,4.759741587699961e-05,0.3697009004107831,0.07392384727682055,0.07392384727682053,0.0,1.6653345369377348e-16,2.710505431213761e-20,2.710505431213761e-20,0.0,0.0,0.0,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,2.7755575615628914e-17,1.9431613436371453e-16,2.710505431213761e-20,1.3877787807814457e-17,4.163336342344337e-17,2.710505431213761e-20,2.710505431213761e-20,1.3552527156068805e-20,0.0,2.7755575615628914e-17,8.326672684688674e-17,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,5.551115123125783e-17,1.3877787807814457e-17,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,4.235164736271502e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0
2,1.8255542293857952e-05,1.8255542293857952e-05,0.00018553300413269748,0.00018553300413269748,0.00016135971987501986,1.2496594679041847e-05,0.2313389595230801,0.00017936332861413342,0.7499579644093801,0.7499579644093806,1.2610410363581277e-05,0.3341191663176263,0.00013011456649877722,0.23133892658136468,7.974459575049537e-06,5.574075504109702e-05,0.3697009890292239,8.935561849156736e-06,5.903424534510426e-06,0.33411916613180626,1.2496594193474179e-05,5.574075501078243e-05,4.31105536563089e-05,0.12858175254680365,0.00016135971983504283,7.974459315157406e-06,1.5143195358885379e-06,0.36970098892434033,1.5737332763369846e-05,0.12858174628286578,2.541098841762901e-21,5.551115123125783e-17,0.0,7.237830359838992e-25,1.6940658945086007e-21,6.776263578034403e-21,0.0,1.3552527156068805e-20,2.7755575615628914e-17,2.7755575615628914e-17,3.3881317890172014e-21,0.0,5.551199826420508e-17,8.470329472543003e-22,2.7755575615628914e-17,3.3881317890172014e-21,0.0,1.0339757656912846e-25,1.0339757656912846e-25,2.7755575615628914e-17,0.0,6.776263578034403e-21,1.1102230246251565e-16,1.0339757656912846e-25,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101927297073854e-25,0.0,6.776263578034403e-21,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,9.592012024299772e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2960844255540095e-23,0.0,0.0,0.0,0.0,0.0,0.0
3,2.6224637771891154e-06,2.6224637771891154e-06,1.664868292098374e-05,1.664868292098374e-05,1.4479509049698212e-05,1.7951735474755339e-06,3.246822860267067e-06,1.2226553750109231e-05,1.0525597645579667e-05,1.052559764557967e-05,1.5939869545374217e-06,4.689334704905326e-06,1.0263566349111116e-05,3.246822856544235e-06,1.145555192970775e-06,5.001860238494987e-06,5.188722627410669e-06,4.355756815465031e-07,4.3557568133655657e-07,4.6893347048515085e-06,1.795173546913863e-06,5.001860238438849e-06,1.2226553748143032e-05,1.8046341776598914e-06,1.4479509049624181e-05,1.1455551926701498e-06,1.5939869543375805e-06,5.188722627380292e-06,1.0263566347822094e-05,1.8046341769519866e-06,1.6155871338926322e-27,8.470329472543003e-22,0.0,3.2311742677852644e-27,3.2311742677852644e-27,1.6940658945086007e-21,2.6469779601696886e-23,1.2924697071141057e-26,5.551115123125783e-17,8.326672684688674e-17,3.2311742677852644e-27,1.9387045606711586e-26,1.61465655570351e-21,1.0587911840678754e-22,0.0,9.693522803355793e-27,2.4233807008389483e-27,0.0,3.2311742677852644e-27,5.551115123125783e-17,6.462348535570529e-27,6.462348535570529e-27,2.7755575615628914e-17,0.0,3.2311742677852644e-27,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,3.1332569501249535e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5600327470407046e-29,0.0,0.0,0.0,0.0,0.0,0.0
4,1.3886533174081377e-07,1.3886533174081377e-07,6.925275409274213e-09,6.925275409274214e-09,6.022974215804553e-09,9.505846080873868e-08,1.2551115157755196e-08,5.085822850073188e-09,4.068838797281545e-08,4.068838797281546e-08,8.440518002755657e-08,1.812737634779424e-08,4.269288086350944e-09,1.2551115157755196e-08,6.065971369238356e-08,2.080600602135017e-09,2.005784055748087e-08,2.3064708092715807e-08,2.3064708092715642e-08,1.8127376347793662e-08,9.505846080873867e-08,2.0806006021349513e-09,5.085822850073175e-09,6.976103213746002e-09,6.022974215804467e-09,6.065971369238356e-08,8.440518002755643e-08,2.0057840557480546e-08,4.269288086350937e-09,6.976103213746001e-09,1.9721522630525295e-31,0.0,3.944304526105059e-31,0.0,3.944304526105059e-31,0.0,3.308722450212111e-24,2.465190328815662e-32,0.0,0.0,1.232595164407831e-32,6.162975822039155e-33,1.6543612251060553e-24,0.0,5.551115123125783e-17,1.232595164407831e-32,1.232595164407831e-32,9.860761315262648e-32,0.0,0.0,1.232595164407831e-32,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9721522630525295e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,1.0515334481264374e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4749815742483486e-31,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2016944126958863e-08,1.201694412695886e-08,1.2019552678562937e-09,1.2019552678562937e-09,1.0453512906005286e-09,8.226043160040828e-09,3.0202304240326463e-09,8.8269869496353e-10,9.791026989694213e-09,9.791026989694216e-09,7.304143659917832e-09,4.3620708491124566e-09,7.409803945867082e-10,3.0202304240326463e-09,5.249289949195084e-09,3.611103828003895e-10,4.826607001105258e-09,1.9959431557193983e-09,1.9959431557193983e-09,4.3620708491124566e-09,8.226043160040828e-09,3.611103828003895e-10,8.8269869496353e-10,1.6786906105573437e-09,1.0453512906005286e-09,5.249289949195084e-09,7.304143659917831e-09,4.826607001105257e-09,7.40980394586708e-10,1.6786906105573437e-09,6.162975822039155e-33,8.271806125530277e-25,0.0,0.0,6.162975822039155e-33,0.0,2.0679515313825692e-25,7.703719777548943e-34,0.0,0.0,0.0,0.0,1.0856745539758488e-24,0.0,0.0,3.851859888774472e-34,0.0,0.0,0.0,0.0,7.703719777548943e-34,1.1555579666323415e-33,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7777898331617076e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6700275792781086e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.317520884366498e-33,0.0,0.0,0.0,0.0,0.0,0.0
6,1.7262693583018834e-08,1.7262693583018838e-08,1.9364615206538967e-08,1.9364615206538967e-08,1.6841579748838344e-08,1.1816952876888325e-08,1.6387051672727061e-09,1.4221095433749978e-08,5.312378285195697e-09,5.3123782851956984e-09,1.0492617137550154e-08,2.3667558553052152e-09,1.1937882049764065e-08,1.6387051672727038e-09,7.540759361449053e-09,5.817823505601198e-09,2.6188021185963345e-09,2.8672310316405925e-09,2.8672310316405925e-09,2.3667558553052136e-09,1.181695287688832e-08,5.817823505601195e-09,1.4221095433749978e-08,9.108175839443023e-10,1.6841579748838344e-08,7.54075936144905e-09,1.0492617137550154e-08,2.6188021185963337e-09,1.1937882049764065e-08,9.108175839443019e-10,1.232595164407831e-32,4.1359030627651384e-25,6.162975822039155e-33,7.395570986446986e-32,1.232595164407831e-32,8.271806125530277e-25,0.0,1.232595164407831e-32,0.0,0.0,6.162975822039155e-33,0.0,3.101927297073854e-25,8.271806125530277e-25,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,3.0814879110195774e-33,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.862340546680234e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.829300362956725e-34,0.0,0.0,0.0,0.0,0.0,0.0
7,1.7262693583018834e-08,1.7262693583018838e-08,1.9364615206538967e-08,1.9364615206538967e-08,1.6841579748838344e-08,1.1816952876888325e-08,1.0537402768697624e-09,1.4221095433749978e-08,3.4160305812640763e-09,3.416030581264077e-09,1.0492617137550154e-08,1.5219003516069443e-09,1.1937882049764065e-08,1.053740276869761e-09,7.540759361449053e-09,5.817823505601198e-09,1.6839742283290132e-09,2.8672310316405925e-09,2.8672310316405925e-09,1.521900351606944e-09,1.181695287688832e-08,5.817823505601195e-09,1.4221095433749978e-08,5.856850837180508e-10,1.6841579748838344e-08,7.54075936144905e-09,1.0492617137550154e-08,1.6839742283290128e-09,1.1937882049764065e-08,5.856850837180506e-10,6.162975822039155e-33,4.1359030627651384e-25,0.0,7.395570986446986e-32,6.162975822039155e-33,8.271806125530277e-25,0.0,0.0,0.0,0.0,1.5407439555097887e-33,3.0814879110195774e-33,1.1890721305449773e-24,8.271806125530277e-25,0.0,1.5407439555097887e-33,0.0,0.0,0.0,0.0,6.162975822039155e-33,3.0814879110195774e-33,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.593837855532377e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.544859012257132e-33,0.0,0.0,0.0,0.0,0.0,0.0
8,1.7262693583018844e-08,1.7262693583018844e-08,1.9364615206539708e-08,1.9364615206539708e-08,1.6841579748838993e-08,1.1816952876888331e-08,7.948178112297891e-09,1.4221095433750527e-08,2.5766519599686082e-08,2.576651959968609e-08,1.0492617137550164e-08,1.1479427454053592e-08,1.1937882049764525e-08,7.948178112297878e-09,7.540759361449056e-09,5.817823505601421e-09,1.270192228301117e-08,2.8672310316405974e-09,2.86723103164059e-09,1.1479427454053587e-08,1.1816952876888326e-08,5.8178235056014185e-09,1.4221095433750514e-08,4.417719873948143e-09,1.6841579748838986e-08,7.540759361449053e-09,1.0492617137550154e-08,1.2701922283011163e-08,1.1937882049764515e-08,4.4177198739481405e-09,0.0,0.0,4.930380657631324e-32,0.0,0.0,8.271806125530277e-25,0.0,4.930380657631324e-32,5.551115123125783e-17,2.7755575615628914e-17,1.232595164407831e-32,0.0,1.2407709188295415e-24,0.0,0.0,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,3.697785493223493e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3797600041646764e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.022176258208071e-33,0.0,0.0,0.0,0.0,0.0,0.0
9,1.7262693583018844e-08,1.7262693583018844e-08,1.9364615206539708e-08,1.9364615206539708e-08,1.6841579748838993e-08,1.1816952876888331e-08,7.948178112297891e-09,1.4221095433750527e-08,2.5766519599686082e-08,2.576651959968609e-08,1.0492617137550164e-08,1.1479427454053592e-08,1.1937882049764525e-08,7.948178112297878e-09,7.540759361449056e-09,5.817823505601421e-09,1.270192228301117e-08,2.8672310316405974e-09,2.86723103164059e-09,1.1479427454053587e-08,1.1816952876888326e-08,5.8178235056014185e-09,1.4221095433750514e-08,4.417719873948143e-09,1.6841579748838986e-08,7.540759361449053e-09,1.0492617137550154e-08,1.2701922283011163e-08,1.1937882049764515e-08,4.4177198739481405e-09,0.0,0.0,4.930380657631324e-32,0.0,0.0,8.271806125530277e-25,0.0,4.930380657631324e-32,5.551115123125783e-17,2.7755575615628914e-17,1.232595164407831e-32,0.0,1.2407709188295415e-24,0.0,0.0,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,3.697785493223493e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3797600041646764e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.022176258208071e-33,0.0,0.0,0.0,0.0,0.0,0.0
10,1.7262693583018844e-08,1.7262693583018844e-08,1.9364615206539708e-08,1.9364615206539708e-08,1.6841579748838993e-08,1.1816952876888331e-08,7.948178112297891e-09,1.4221095433750527e-08,2.5766519599686082e-08,2.576651959968609e-08,1.0492617137550164e-08,1.1479427454053592e-08,1.1937882049764525e-08,7.948178112297878e-09,7.540759361449056e-09,5.817823505601421e-09,1.270192228301117e-08,2.8672310316405974e-09,2.86723103164059e-09,1.1479427454053587e-08,1.1816952876888326e-08,5.8178235056014185e-09,1.4221095433750514e-08,4.417719873948143e-09,1.6841579748838986e-08,7.540759361449053e-09,1.0492617137550154e-08,1.2701922283011163e-08,1.1937882049764515e-08,4.4177198739481405e-09,0.0,0.0,4.930380657631324e-32,0.0,0.0,8.271806125530277e-25,0.0,4.930380657631324e-32,5.551115123125783e-17,2.7755575615628914e-17,1.232595164407831e-32,0.0,1.2407709188295415e-24,0.0,0.0,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,3.697785493223493e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3797600041646764e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.022176258208071e-33,0.0,0.0,0.0,0.0,0.0,0.0
11,1.7262693583018844e-08,1.7262693583018844e-08,1.9364615206539708e-08,1.9364615206539708e-08,1.6841579748838993e-08,1.1816952876888331e-08,7.948178112297891e-09,1.4221095433750527e-08,2.5766519599686082e-08,2.576651959968609e-08,1.0492617137550164e-08,1.1479427454053592e-08,1.1937882049764525e-08,7.948178112297878e-09,7.540759361449056e-09,5.817823505601421e-09,1.270192228301117e-08,2.8672310316405974e-09,2.86723103164059e-09,1.1479427454053587e-08,1.1816952876888326e-08,5.8178235056014185e-09,1.4221095433750514e-08,4.417719873948143e-09,1.6841579748838986e-08,7.540759361449053e-09,1.0492617137550154e-08,1.2701922283011163e-08,1.1937882049764515e-08,4.4177198739481405e-09,0.0,0.0,4.930380657631324e-32,0.0,0.0,8.271806125530277e-25,0.0,4.930380657631324e-32,5.551115123125783e-17,2.7755575615628914e-17,1.232595164407831e-32,0.0,1.2407709188295415e-24,0.0,0.0,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,2.465190328815662e-32,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,2.465190328815662e-32,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,3.697785493223493e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3797600041646764e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.022176258208071e-33,0.0,0.0,0.0,0.0,0.0,0.0
