,Y5Z2,Y2Z5,Y2Z1,Y1Z2,Y2Z4,Y4Z2,Y4Z1,Y1Z4,Y5Z0,Y0Z5,Y3Z1,Y1Z3,Y5Z3,Y3Z5,Y4Z0,Y0Z4,Y4Z3,Y3Z4,Y5Z1,Y1Z5,Y2Z0,Y0Z2,Y3Z0,Y0Z3,Y3Z2,Y2Z3,Y1Z0,Y0Z1,Y4Z5,Y5Z4,Y4,X3Y2,X2Y0,X1Y2,Y0,Y2,X5Y2,X4Y5,X4Y3,X4Y2,X2Y5,X2Y4,X2Y3,X1Y5,X1Y4,X5Y1,X2Y1,standard_y,X4Y1,X1Y3,X1Y0,X3Y1,X0Y1,standard_x,Y5,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9959490901086117,0.9959490901086114,0.9668767815631121,0.9668767815631119,0.83833102010331,0.8383310201033097,0.8088051832800124,0.8088051832800123,0.8007815763630795,0.8007815763630792,0.672610489742574,0.672610489742574,0.631038616138965,0.631038616138965,0.5888501276518571,0.588850127651857,0.5725822051460012,0.5725822051460012,0.5702748263081099,0.5702748263081099,0.564914729819344,0.5649147298193439,0.5581404476760522,0.5581404476760521,0.47149733572375285,0.47149733572375285,0.4210446142866463,0.4210446142866462,0.06215243818989166,0.06215243818989162,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002934035256054176,0.002934035256054176,0.00284838913308008,0.39660442989213507,0.002469697290409428,0.7761788516162429,0.808805183280012,0.808805183280012,0.00235907778899792,0.2358692979213922,0.672610489742574,0.6726104897425738,0.0018590202712886151,0.15954332641963187,0.588850127651857,0.588850127651857,0.5725822051460012,0.572582205146001,0.0016800120233512103,0.39659775961269694,0.0016642213446608199,0.23586337165104707,0.5581404476760521,0.5581404476760521,0.15953854210112245,0.0013890165871814188,0.4210446142866461,0.4210446142866463,0.7761749440795593,0.00018309916310981658,0.0,2.168404344971009e-19,2.168404344971009e-19,5.421010862427522e-20,2.7755575615628914e-17,4.336808689942018e-19,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,2.168404344971009e-19,4.336808689942018e-19,2.7755575615628914e-17,2.710505431213761e-19,1.6263032587282567e-19,5.5077470362263625e-17,1.3877787807814457e-17,0.0,2.9333280359008455e-17,1.3877787807814457e-17,2.01914125779704e-18,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2526065174565133e-19,1.1102230246251565e-16,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0006633966502226304,0.0006633966502226302,8.562368233783486e-05,2.3343776715603777e-05,8.562368025494834e-05,4.568543803105405e-05,4.760582072808116e-05,4.760582072808115e-05,0.0005333965567068607,0.23586697186513078,0.10002828558840941,3.958947723932464e-05,0.00042033162966398287,0.15954138501277498,3.465938917332205e-05,0.16780551409455138,3.3701868353176685e-05,0.10002828343146554,0.0003384577521080029,2.334375664431972e-05,0.0003762868435199894,0.2358666688973418,0.5581404476760521,0.5581404476760521,0.15954114042481055,0.0003140619899295473,2.4782450509240574e-05,0.16780551234519464,4.56854262730341e-05,0.0003384577513782951,6.776263578034403e-21,8.131516293641283e-20,6.776263578034403e-21,0.0,1.3877787807814457e-17,2.710505431213761e-20,0.0,0.0,0.0,3.308722450212111e-24,5.551115123125783e-17,3.308722450212111e-24,1.3552527156068805e-20,0.0,2.7755575615628914e-17,0.0,0.0,5.5545032549148e-17,2.0816681711721685e-17,1.6940658945086007e-21,1.1915604628973085e-21,1.6940658945086007e-21,5.482058477903007e-22,0.0,0.0,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0005545526946570747,0.0005545526946570746,7.15753437481143e-05,7.16500868423031e-06,7.157534358408316e-05,1.4022434926623286e-05,1.4611866617241076e-05,1.4611866617241076e-05,9.451451375105819e-05,0.00026923530427849004,0.00011417940274654467,4.544791628017496e-06,9.451399436032079e-05,0.0001821118547929156,2.9390286968985877e-07,0.0001915451550612808,2.9388920009251045e-07,0.00011417940251459433,0.0002829267503235948,7.16500437936194e-06,5.201574907814084e-05,0.000269235062620878,0.0006371012275361327,0.0006371012275361325,0.0001821116597010755,5.2015373121138745e-05,4.544778756131215e-06,0.00019154515487316095,1.4022432404775254e-05,0.0002829267502661289,8.470329472543003e-22,1.3234889800848443e-23,1.3234889800848443e-23,1.0339757656912846e-25,4.0657581468206416e-20,6.776263578034403e-21,2.7755575615628914e-17,8.271806125530277e-25,0.0,0.0,2.7755575615628914e-17,0.0,0.0,1.550963648536927e-25,4.163336342344337e-17,1.0339757656912846e-25,6.203854594147708e-25,5.929230630780102e-21,4.163336342344337e-17,1.2407709188295415e-24,1.3896182973706227e-25,4.1359030627651384e-25,9.96354557712987e-26,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,5.551115123125783e-17,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0
4,4.4020620481782744e-08,4.402062048178275e-08,5.681680154115719e-09,3.69110439131116e-07,5.6816801540811576e-09,7.223757054602039e-07,7.527407074432028e-07,7.527407074432027e-07,7.502582718023492e-09,3.964091891696015e-09,1.6811235564511307e-09,2.3412791976841835e-07,7.502582718023483e-09,2.681327644610172e-09,1.5140268322748466e-08,2.820220326260635e-09,1.514026832274836e-08,1.6811235564420681e-09,2.245884154903048e-08,3.691104391311146e-07,4.129017931459415e-09,3.9640918916959945e-09,9.380377342052448e-09,9.380377342052448e-09,2.6813276446101535e-09,4.129017931459408e-09,2.341279197684182e-07,2.8202203262532838e-09,7.223757054602031e-07,2.2458841549018373e-08,0.0,2.465190328815662e-32,0.0,7.888609052210118e-31,6.203854594147708e-25,0.0,2.7755575615628914e-17,1.5777218104420236e-30,7.888609052210118e-31,3.1554436208840472e-30,0.0,3.1554436208840472e-30,0.0,9.860761315262648e-31,1.3877787807814457e-17,7.888609052210118e-31,3.944304526105059e-31,1.0546552810051103e-23,4.163336342344337e-17,0.0,3.282872280771307e-32,1.9721522630525295e-31,2.2865262077502131e-32,0.0,1.6543612251060553e-24,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,1.5777218104420236e-30,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0
5,6.9197402549356155e-09,6.9197402549356155e-09,8.931212338150133e-10,2.4281837644375555e-10,8.931212338150133e-10,4.752130457083916e-10,4.95188586090234e-10,4.95188586090234e-10,1.179354654289256e-09,4.822368898223871e-09,2.045108482390105e-09,1.540204646938386e-10,1.1793546542892544e-09,3.261869652013483e-09,9.95998753572697e-12,3.430834390083871e-09,9.959987535726867e-12,2.045108482390105e-09,3.530376179280623e-09,2.4281837644375555e-10,6.490533591068915e-10,4.822368898223871e-09,1.1411349984766348e-08,1.1411349984766345e-08,3.261869652013483e-09,6.490533591068898e-10,1.5402046469383844e-10,3.430834390083871e-09,4.752130457083916e-10,3.530376179280623e-09,0.0,0.0,3.0814879110195774e-33,2.407412430484045e-35,0.0,1.0339757656912846e-25,0.0,1.925929944387236e-34,7.703719777548943e-34,0.0,2.7755575615628914e-17,0.0,3.0814879110195774e-33,4.81482486096809e-35,0.0,1.925929944387236e-34,9.62964972193618e-35,3.101927297073854e-25,0.0,3.851859888774472e-34,1.692193912985763e-34,0.0,1.773707099375596e-34,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.925929944387236e-34,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,7.703719777548943e-34,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.9197402549356155e-09,6.9197402549356155e-09,8.931212338150133e-10,2.4281837644375555e-10,8.931212338150133e-10,4.752130457083916e-10,4.95188586090234e-10,4.95188586090234e-10,1.179354654289256e-09,4.822368898223871e-09,2.045108482390105e-09,1.540204646938386e-10,1.1793546542892544e-09,3.261869652013483e-09,9.95998753572697e-12,3.430834390083871e-09,9.959987535726867e-12,2.045108482390105e-09,3.530376179280623e-09,2.4281837644375555e-10,6.490533591068915e-10,4.822368898223871e-09,1.1411349984766348e-08,1.1411349984766345e-08,3.261869652013483e-09,6.490533591068898e-10,1.5402046469383844e-10,3.430834390083871e-09,4.752130457083916e-10,3.530376179280623e-09,0.0,0.0,3.0814879110195774e-33,2.407412430484045e-35,0.0,1.0339757656912846e-25,0.0,1.925929944387236e-34,7.703719777548943e-34,0.0,2.7755575615628914e-17,0.0,3.0814879110195774e-33,4.81482486096809e-35,0.0,1.925929944387236e-34,9.62964972193618e-35,3.101927297073854e-25,0.0,3.851859888774472e-34,1.692193912985763e-34,0.0,1.773707099375596e-34,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.925929944387236e-34,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,7.703719777548943e-34,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6.9197402549356155e-09,6.9197402549356155e-09,8.931212338150133e-10,2.4281837644375555e-10,8.931212338150133e-10,4.752130457083916e-10,4.95188586090234e-10,4.95188586090234e-10,1.179354654289256e-09,4.822368898223871e-09,2.045108482390105e-09,1.540204646938386e-10,1.1793546542892544e-09,3.261869652013483e-09,9.95998753572697e-12,3.430834390083871e-09,9.959987535726867e-12,2.045108482390105e-09,3.530376179280623e-09,2.4281837644375555e-10,6.490533591068915e-10,4.822368898223871e-09,1.1411349984766348e-08,1.1411349984766345e-08,3.261869652013483e-09,6.490533591068898e-10,1.5402046469383844e-10,3.430834390083871e-09,4.752130457083916e-10,3.530376179280623e-09,0.0,0.0,3.0814879110195774e-33,2.407412430484045e-35,0.0,1.0339757656912846e-25,0.0,1.925929944387236e-34,7.703719777548943e-34,0.0,2.7755575615628914e-17,0.0,3.0814879110195774e-33,4.81482486096809e-35,0.0,1.925929944387236e-34,9.62964972193618e-35,3.101927297073854e-25,0.0,3.851859888774472e-34,1.692193912985763e-34,0.0,1.773707099375596e-34,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.925929944387236e-34,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,7.703719777548943e-34,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6.9197402549356155e-09,6.9197402549356155e-09,8.931212338150133e-10,2.4281837644375555e-10,8.931212338150133e-10,4.752130457083916e-10,4.95188586090234e-10,4.95188586090234e-10,1.179354654289256e-09,4.822368898223871e-09,2.045108482390105e-09,1.540204646938386e-10,1.1793546542892544e-09,3.261869652013483e-09,9.95998753572697e-12,3.430834390083871e-09,9.959987535726867e-12,2.045108482390105e-09,3.530376179280623e-09,2.4281837644375555e-10,6.490533591068915e-10,4.822368898223871e-09,1.1411349984766348e-08,1.1411349984766345e-08,3.261869652013483e-09,6.490533591068898e-10,1.5402046469383844e-10,3.430834390083871e-09,4.752130457083916e-10,3.530376179280623e-09,0.0,0.0,3.0814879110195774e-33,2.407412430484045e-35,0.0,1.0339757656912846e-25,0.0,1.925929944387236e-34,7.703719777548943e-34,0.0,2.7755575615628914e-17,0.0,3.0814879110195774e-33,4.81482486096809e-35,0.0,1.925929944387236e-34,9.62964972193618e-35,3.101927297073854e-25,0.0,3.851859888774472e-34,1.692193912985763e-34,0.0,1.773707099375596e-34,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.925929944387236e-34,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,7.703719777548943e-34,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,6.9197402549356155e-09,6.9197402549356155e-09,8.931212338150133e-10,2.4281837644375555e-10,8.931212338150133e-10,4.752130457083916e-10,4.95188586090234e-10,4.95188586090234e-10,1.179354654289256e-09,4.822368898223871e-09,2.045108482390105e-09,1.540204646938386e-10,1.1793546542892544e-09,3.261869652013483e-09,9.95998753572697e-12,3.430834390083871e-09,9.959987535726867e-12,2.045108482390105e-09,3.530376179280623e-09,2.4281837644375555e-10,6.490533591068915e-10,4.822368898223871e-09,1.1411349984766348e-08,1.1411349984766345e-08,3.261869652013483e-09,6.490533591068898e-10,1.5402046469383844e-10,3.430834390083871e-09,4.752130457083916e-10,3.530376179280623e-09,0.0,0.0,3.0814879110195774e-33,2.407412430484045e-35,0.0,1.0339757656912846e-25,0.0,1.925929944387236e-34,7.703719777548943e-34,0.0,2.7755575615628914e-17,0.0,3.0814879110195774e-33,4.81482486096809e-35,0.0,1.925929944387236e-34,9.62964972193618e-35,3.101927297073854e-25,0.0,3.851859888774472e-34,1.692193912985763e-34,0.0,1.773707099375596e-34,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.925929944387236e-34,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,7.703719777548943e-34,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
