,Y5Z2,Y2Z5,Y3Z2,Y2Z3,Y2Z1,Y1Z2,Y5Z0,Y0Z5,Y5Z4,Y4Z5,Y4Z0,Y0Z4,Y2Z0,Y0Z2,Y4Z1,Y1Z4,Y4Z2,Y2Z4,Y3Z1,Y1Z3,Y1Z0,Y0Z1,Y3Z0,Y0Z3,Y5Z1,Y1Z5,Y4Z3,Y3Z4,Y5Z3,Y3Z5,Y2,X4Y2,X3Y2,standard_y,X5Y0,X1Y4,X1Y0,Y1,X5Y1,X4Y5,X4Y0,X2Y5,X2Y4,X2Y3,X2Y0,X1Y5,X0Y4,X2Y1,Y0,X3Y5,X3Y0,X1Y2,X0Y5,X4Y1,X0Y1,standard_x,Y5,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3Y1,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8827730256872424,0.8827730256872423,0.8146899866097304,0.8146899866097304,0.6458107739606781,0.645810773960678,0.5626807809272817,0.5626807809272817,0.4238513957547625,0.4238513957547625,0.3956006670655835,0.3956006670655835,0.3853979112650403,0.3853979112650403,0.3560924582957651,0.3560924582957651,0.29400468375380795,0.29400468375380795,0.25468605515889453,0.25468605515889453,0.2098512445365173,0.20985124453651727,0.19506031439111238,0.19506031439111238,0.17829802601707337,0.17829802601707334,0.07371467624776352,0.07371467624776352,0.008616671770518282,0.00861667177051828,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,6.938893903907228e-17,4.163336342344337e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.000271354944001149,0.0002713549440011491,0.8060733152462991,0.0002504269492406344,0.0001985152936305574,0.46751275636713063,0.0001729620268813476,0.17728288787001062,0.0001302873653964488,0.12984672589093493,0.3956006670655835,0.3956006670655835,0.00011846717739032544,0.17728284307890635,0.3560924582957651,0.3560924582957652,0.1298466919764859,9.037388113890469e-05,0.25468605515889453,0.2546860551588946,0.20985124453651735,0.20985124453651727,0.19506031439111235,0.19506031439111238,5.480689764813867e-05,0.4675127174328696,0.07371467624776351,0.07371467624776354,2.6486723288186062e-06,0.8060732763499345,1.3552527156068805e-20,2.710505431213761e-20,2.710505431213761e-20,1.387439967602544e-17,0.0,2.7755575615628914e-17,2.478251781056381e-17,2.7755575615628914e-17,6.776263578034403e-21,0.0,1.3877787807814457e-17,5.551115123125783e-17,0.0,0.0,0.0,2.0328790734103208e-20,0.0,3.3881317890172014e-21,1.3877787807814457e-17,6.776263578034403e-21,0.0,6.776263578034403e-21,6.776263578034403e-21,1.3877787807814457e-17,2.9886048482087355e-17,0.0,1.0164395367051604e-20,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,1.3046031753765368e-05,3.6976620985646587e-11,2.2623687793403964e-06,3.41248338803935e-11,2.7051008042073408e-11,0.21282669280556926,8.397526715123368e-06,0.3723431840737824,6.3256175432672785e-06,0.20356138827296033,0.3956006670655835,0.3956006670655835,1.6143121820484954e-11,0.37234318398992255,0.3560924582957651,0.3560924582957651,0.20356138820122552,1.2314943301202586e-11,7.14815599421123e-07,0.21282669280272482,0.20985124453651727,0.20985124453651727,5.474667840285417e-07,0.37234318398999255,2.660944690992805e-06,0.2128266927421555,0.20356138820100442,2.068915805198097e-07,1.3046031753712971e-05,2.262368779083062e-06,3.2311742677852644e-27,3.2311742677852644e-27,0.0,1.3877205469432045e-17,2.117582368135751e-22,4.163336342344337e-17,4.218339333194405e-23,0.0,2.117582368135751e-22,2.117582368135751e-22,2.7755575615628914e-17,0.0,1.6155871338926322e-27,8.470329472543003e-22,0.0,4.235164736271502e-22,2.7755575615628914e-17,0.0,1.3877787807814457e-17,8.077935669463161e-28,5.293955920339377e-23,8.077935669463161e-28,0.0,1.3877787807814457e-17,3.93363588176009e-23,0.0,6.352747104407253e-22,0.0,2.7755575615628914e-17,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5881867761018131e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0587911840678754e-22,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0631710871307581e-05,1.46720678307684e-11,1.1015463532259057e-06,1.3540498403119087e-11,1.0733653165028074e-11,0.21282669279813476,1.688495625084136e-06,0.0009701376672932086,1.6884548986906689e-06,0.0005303778310244306,0.0010307348831644692,0.0010307348831644692,1.5190113835905481e-12,0.0009701376671480998,0.0009277965103541796,0.14624192605804068,0.0005303778309003028,1.5189730552397805e-12,3.4804339768214673e-07,0.21282669279746042,0.14624000507340584,0.0005467660093288133,1.6582625715766345e-07,0.0009701376671481431,2.168505729032278e-06,0.21282669275602012,0.0005303778309001661,1.6582501044104778e-07,1.0631710871297459e-05,1.1015463531426931e-06,8.077935669463161e-28,0.0,0.0,1.3985784509397174e-17,0.0,5.421010862427522e-20,1.3552544460589415e-20,1.3877787807814457e-17,0.0,4.1359030627651384e-25,1.3877787807814457e-17,0.0,0.0,4.235164736271502e-22,1.5777218104420236e-30,1.0587911840678754e-22,0.0,1.0097419586828951e-28,0.0,0.0,1.0339757656912846e-25,1.0097419586828951e-27,8.271806125530277e-25,8.131516293641283e-20,1.3552543292680845e-20,0.0,4.235164736271502e-22,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,4.0389678347315804e-28,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,0.0
4,2.2962538545623605e-06,7.076366149943856e-15,2.082129280353916e-07,6.530608068074915e-15,5.176861285576149e-15,0.0013691270736745777,4.5811905893476904e-07,0.0003141437260778486,4.5811858501456174e-07,0.00030197942919070486,0.0002134620127013197,0.00021346201270131972,7.326144157346345e-16,0.00031414372607625285,0.0003019811322568185,0.0009407788292468672,0.00030197942918985875,7.326136228944589e-16,2.0820463958176284e-07,0.0013691270736742463,0.0009407782992319419,0.00031414191179242627,4.582168145940193e-08,0.0003141437260762455,2.2961819908136245e-06,0.0013691270736546335,0.0003019794291898428,4.582166668421873e-08,2.2962538545621923e-06,2.0821292803422253e-07,0.0,0.0,0.0,1.3552527156068805e-19,2.5849394142282115e-26,5.293955920339377e-23,5.293955933297876e-23,1.6263032587282567e-19,1.0339757656912846e-25,1.0339757656912846e-25,1.734723475976807e-18,0.0,9.62964972193618e-35,0.0,0.0,5.169878828456423e-25,1.734723475976807e-18,1.262177448353619e-29,2.710505431213761e-20,5.048709793414476e-29,6.462348535570529e-27,7.573064690121713e-29,1.0339757656912846e-25,5.293955920339377e-23,5.2939559082553704e-23,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.925929944387236e-34,0.0,0.0,0.0,0.0,0.0,0.0
5,5.652518747479629e-07,5.810914342458057e-17,1.3893480092515334e-08,9.615354006418054e-17,9.615748084305297e-17,2.426366869142558e-07,1.1277233755771694e-07,4.571956037491119e-06,1.1277233753300701e-07,4.394945497522165e-06,3.10664061593172e-06,3.1066406159317194e-06,6.0160222520141496e-18,4.571956037489711e-06,4.394945497522197e-06,1.6672478030936576e-07,4.394945497521418e-06,6.016022250635168e-18,1.3893480190531669e-08,2.426366869157307e-07,1.6672478028947086e-07,4.571956037488882e-06,3.0575846306693805e-09,4.571956037489711e-06,5.652518747474073e-07,2.4263668691404173e-07,4.394945497521417e-06,3.057584630460557e-09,5.652518747479627e-07,1.3893480092510607e-08,6.162975822039155e-33,9.4039548065783e-38,0.0,8.337980574596149e-22,5.048709793414476e-29,1.0097419586828951e-28,5.0487097422804713e-29,1.3234889800848443e-23,1.262177448353619e-29,4.0389678347315804e-28,1.734723475976807e-18,0.0,0.0,2.524354896707238e-29,1.1754943508222875e-38,1.262177448353619e-29,0.0,7.888609052210118e-31,8.470329472543003e-22,0.0,0.0,1.1832913578315177e-30,0.0,0.0,5.048709841021997e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0292258760486853e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2116903504194741e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.70197740328915e-38,0.0,0.0,0.0,0.0,0.0,0.0
6,2.4789049653758974e-15,6.154247128255754e-18,1.993283212092169e-08,1.8071421887192967e-17,1.8071418148804846e-17,6.74279659377992e-09,5.161311690949467e-16,1.3179111038059934e-08,4.659272263243143e-16,0.16405317947889905,0.16405317947889891,1.2221550072986355e-08,6.154247128255654e-18,1.317911103805992e-08,0.16405317947889925,5.680587529944433e-09,0.1640531794788992,3.637852869099795e-18,1.9932832116151448e-08,6.742796587853514e-09,6.742796593555357e-09,1.317911103796819e-08,1.993283212092162e-08,1.3179111038059924e-08,2.478904965375897e-15,6.742796593779912e-09,0.1640531794788992,1.96844670337535e-09,2.478904965375897e-15,1.9932832120921672e-08,0.0,0.0,2.465190328815662e-32,2.0679515313825692e-25,0.0,1.0339757656912846e-25,0.0,2.0679515313825692e-25,0.0,0.0,2.0679515313825692e-25,1.5407439555097887e-33,3.851859888774472e-34,2.465190328815662e-32,2.2958874039497803e-41,3.6734198463196485e-40,1.0339757656912846e-25,0.0,0.0,0.0,4.237045877651919e-33,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9721522630525295e-31,5.877471754111438e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.877409121342317e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.860761315262648e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.5103900196140836e-15,5.7292031240929175e-18,3.8572795521181856e-08,1.3436706020681242e-17,1.3436680176022228e-17,2.56353171912301e-13,7.589786112757572e-16,9.162625981103854e-09,1.5103524301693264e-15,2.3020332169555742e-06,2.30203322510839e-06,9.165004232670479e-09,5.729203124092741e-18,9.162625981103837e-09,2.302033216955582e-06,2.159692358861187e-13,2.3020332169555747e-06,1.3436680174032326e-17,3.857279549975531e-08,2.563531716543476e-13,2.563531717808621e-13,9.162625981103807e-09,3.857279552118163e-08,9.162625981103847e-09,1.5103900196140826e-15,2.563531719123009e-13,2.3020332169555747e-06,3.85727954966402e-08,1.5103900196140818e-15,3.8572795521181856e-08,0.0,4.70197740328915e-38,4.930380657631324e-32,3.308747792368691e-24,1.6543612251060553e-24,0.0,6.471124613141112e-32,2.524354896707238e-29,1.7632415262334313e-38,1.9721522630525295e-31,1.3234889800848443e-23,3.0814879110195774e-33,5.877471754111438e-39,0.0,1.793662034335766e-42,5.877471754111438e-39,0.0,3.76158192263132e-37,0.0,0.0,1.5407439555097887e-32,3.76158192263132e-37,0.0,8.271806125530277e-25,6.471124613141112e-32,0.0,9.860761315262648e-32,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9582283945787943e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1832913578315177e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.860761315262648e-32,4.591774807899561e-41,0.0,0.0,0.0,0.0,0.0,0.0
8,2.573091723867467e-16,3.560543723980778e-19,1.5456413824442147e-08,8.350573873705994e-19,8.350593318154862e-19,2.823713617440472e-13,1.2930402556018498e-16,1.006554835500791e-08,2.5730919249873435e-16,8.468578092651489e-09,8.468577995632285e-09,1.0065548238419077e-08,3.560543723980784e-19,1.006554835500791e-08,8.468578092661898e-09,2.8219151169663006e-13,8.468578092651502e-09,8.350593317722983e-19,1.5456413834836208e-08,2.823713617723538e-13,2.823713617503873e-13,1.006554835500787e-08,1.5456413824442134e-08,1.0065548355007913e-08,2.573091723867465e-16,2.823713617440472e-13,8.468578092651502e-09,1.5456413834836194e-08,2.573091723867467e-16,1.5456413824442147e-08,4.81482486096809e-35,3.6734198463196485e-40,6.162975822039155e-33,1.6543359568570367e-24,0.0,0.0,1.1555579666323415e-33,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,3.587324068671532e-43,0.0,2.0679515313825692e-25,0.0,0.0,3.6734198463196485e-40,7.703719777548943e-34,1.1754943508222875e-38,0.0,0.0,7.703719777548943e-34,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.851859888774472e-34,3.6734198463196485e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,1.9721522630525295e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,2.8698592549372254e-42,0.0,0.0,0.0,0.0,0.0,0.0
9,2.5366038060954365e-16,3.0605941426713183e-19,8.959227391652392e-09,7.178032423339717e-19,7.178042111615538e-19,2.825189649509015e-13,1.2747015842406111e-16,1.1543732649896745e-08,2.5366027991599905e-16,7.168976246071505e-09,7.16897702092363e-09,1.1543733228177939e-08,3.060594142671295e-19,1.1543732649896745e-08,7.1689762460819145e-09,2.823667149671134e-13,7.168976246071516e-09,7.178042111243865e-19,8.959227402046452e-09,2.8251896496731447e-13,2.82518964932625e-13,1.1543732649896697e-08,8.959227391652382e-09,1.1543732649896745e-08,2.5366038060954345e-16,2.825189649509015e-13,7.168976246071516e-09,8.959227402046444e-09,2.5366038060954365e-16,8.959227391652392e-09,0.0,3.6734198463196485e-40,6.162975822039155e-33,8.271679907785441e-25,0.0,0.0,1.5407439555097887e-33,1.262177448353619e-29,0.0,0.0,0.0,0.0,1.8367099231598242e-40,0.0,1.1210387714598537e-43,9.183549615799121e-41,0.0,1.1754943508222875e-38,8.271806125530277e-25,1.8367099231598242e-40,3.851859888774472e-33,5.877471754111438e-39,0.0,4.1359030627651384e-25,1.925929944387236e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,9.183549615799121e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,1.9721522630525295e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9721522630525295e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,2.8698592549372254e-42,0.0,0.0,0.0,0.0,0.0,0.0
