,Y0Z4,Y4Z0,Y5Z1,Y1Z5,Y3Z5,Y5Z3,Y0Z5,Y5Z0,Y2Z1,Y1Z2,Y3Z1,Y1Z3,Y4Z2,Y2Z4,Y0Z3,Y3Z0,Y2Z0,Y0Z2,Y3Z2,Y2Z3,Y4Z3,Y3Z4,Y1Z4,Y4Z1,Y0Z1,Y1Z0,Y5Z4,Y4Z5,Y5Z2,Y2Z5,standard_y,Y4,Y2,X4Y3,X2Y3,X5Y4,X1Y5,Y5,Y3,X4Y5,X4Y2,X3Y5,X3Y1,X4Y1,X2Y1,X1Y0,X5Y1,X4Y0,X2Y4,X1Y4,X1Y3,Y1,X3Y0,X2Y0,X0Y4,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3Y2,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y3,X0Y2,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9688489275020788,0.9688489275020786,0.9131247180206459,0.9131247180206459,0.8417777131129891,0.841777713112989,0.8119872598320188,0.8119872598320186,0.7901674894018722,0.7901674894018722,0.6800447423803837,0.6800447423803836,0.5827558773717127,0.5827558773717127,0.5051001481125371,0.505100148112537,0.4898973255114567,0.48989732551145665,0.43348309003980107,0.433483090039801,0.3071740013389854,0.3071740013389854,0.15658716680895068,0.15658716680895063,0.14472055263366848,0.14472055263366845,0.12427536012050527,0.12427536012050519,0.0994754150344728,0.09947541503447278,2.3592239273284576e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,3.469446951953614e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0019226445848708655,0.0019226445848708655,0.913124718020646,0.913124718020646,0.841777713112989,0.8417777131129889,0.0016113584520604362,0.6877121444156747,0.7901674894018722,0.7901674894018722,0.6800447423803837,0.6800447423803835,0.0011564573176740083,0.09285951649165228,0.001002352417409223,0.19792675161393425,0.0928574043859052,0.0009721829826098466,0.433483090039801,0.433483090039801,0.0006095753564079257,0.19792515220706658,0.01186689913701086,0.0003107413960829864,0.0002871925425546232,0.01186630584761947,0.6877103008695451,0.00024661982006276553,0.09947541503447274,0.0994754150344728,2.6075062248276382e-17,1.0842021724855044e-19,5.551115123125783e-17,1.0842021724855044e-19,1.1102230246251565e-16,1.6263032587282567e-19,8.326672684688674e-17,0.0,0.0,1.0842021724855044e-19,1.0842021724855044e-19,5.551115123125783e-17,3.469446951953614e-18,4.0657581468206416e-20,8.673617379884035e-19,6.268043809681823e-20,1.734723475976807e-18,5.204170427930421e-18,5.421010862427522e-20,0.0,1.3877787807814457e-17,2.949029909160572e-17,2.710505431213761e-20,5.421010862427522e-20,2.2551405187698492e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42861286636753e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,1.1858461261560205e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00011796256927234445,0.00011796256927234443,0.0006274856827592735,0.0006274856827592737,0.16173313129912237,0.0005784570854562071,8.1243315616564e-05,0.0004725853577215383,0.6906920978547082,0.0005429913097263284,0.16173277197904254,0.0004673166009615798,7.095366326158112e-05,0.09285855549146643,6.149866044112308e-05,0.1979261490503826,0.0928585475407609,5.964763499917018e-05,0.433483090039801,0.43348309003980096,3.740008724067617e-05,0.1979261430296553,8.154560953140904e-06,3.934139872546871e-06,8.1243288113253e-05,8.154559418417028e-06,0.00047258535295264365,3.934131798347704e-06,6.83580210773102e-05,0.690691887799614,2.770983583647718e-17,3.3881317890172014e-21,0.0,3.3881317890172014e-21,1.3877787807814457e-17,3.308722450212111e-24,2.7755575615628914e-17,5.421010862427522e-20,2.7755575615628914e-17,6.617444900424222e-24,1.3552527156068805e-20,5.421010862427522e-20,1.3552527156068805e-20,1.2407709188295415e-24,5.082197683525802e-21,1.3958672836832342e-24,2.7755575615628914e-17,1.1102230246251565e-16,3.3881317890172014e-21,0.0,6.098637220230962e-20,1.1858461261560205e-20,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,1.6940658945086007e-21,6.776263578034403e-21,5.686866711302065e-25,0.0,0.0,0.0,0.0,0.0,0.0
3,4.245463380077327e-05,4.2454633800773255e-05,5.376609330046363e-05,1.4586451365669208e-08,0.5952160486447426,5.5624823537241976e-05,5.070653764676851e-05,4.544412672923375e-05,0.0001669678284203587,1.2622306052428584e-08,0.5952160462685765,1.0863181518851611e-08,2.4120273877454494e-05,2.2447616533349076e-05,2.2133318427798008e-05,0.19792614706846376,2.2447616284397006e-05,5.070653737500963e-05,0.5952160542088674,0.00010479015593804799,1.3460261316062488e-05,0.19792614628861438,1.8955985875048706e-10,2.4120273089939903e-05,5.070653760210817e-05,1.8955985412946588e-10,4.544412666983504e-05,2.4120273061057377e-05,5.376609134533262e-05,0.00016696782795081445,5.550606952471279e-17,1.6940658945086007e-21,0.0,3.3881317890172014e-21,1.0164395367051604e-20,4.1359030627651384e-25,0.0,3.3881317890172014e-21,5.551115123125783e-17,0.0,8.271806125530277e-25,0.0,1.2924697071141057e-25,1.262177448353619e-29,1.0587911840678754e-21,3.549874073494553e-29,6.776263578034403e-21,0.0,1.2407709188295415e-24,2.524354896707238e-29,3.101927297073854e-25,4.911384887033602e-25,3.3881317890172014e-21,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,8.271806125530277e-25,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.082197683525802e-21,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.481541837659083e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,4.1359030627651384e-25,8.67746995743113e-30,0.0,0.0,0.0,0.0,0.0,0.0
4,2.4327059027779615e-05,2.432705902777961e-05,0.0005990711882683933,6.341818949657727e-09,0.003338383314194209,0.000599071348365207,1.637302750163337e-05,0.0002488733578259625,7.43460495179592e-08,7.648970005194119e-10,0.003338382914489154,7.647363950660547e-10,6.108447361324018e-06,9.995288345340567e-09,1.63723694075099e-05,0.0011101066853997288,9.995288308943211e-09,1.6373025900502206e-05,0.0033383829147698423,4.666009089923758e-08,6.108108654472502e-06,0.0011101066839635737,8.24158162069398e-11,6.108447359900264e-06,1.6373025903657983e-05,8.241581554726376e-11,0.0002488733577191538,6.10844736857462e-06,0.000599071188257008,7.434604324744878e-08,3.78623905137257e-19,8.470329472543003e-22,0.0,6.617444900424222e-24,0.0,4.1359030627651384e-25,4.235164736271502e-22,5.421010862427522e-20,4.336808689942018e-19,0.0,2.0194839173657902e-28,0.0,0.0,1.5777218104420236e-30,1.3234889800848443e-23,4.3231093674089544e-30,4.235164736271502e-22,2.7755575615628914e-17,2.0194839173657902e-28,0.0,1.2116903504194741e-27,1.7771458472818954e-25,1.3234889800848443e-23,2.0194839173657902e-28,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.237830359838992e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,6.859455284505879e-31,0.0,0.0,0.0,0.0,0.0,0.0
5,1.8248946066356235e-06,1.824894606635623e-06,9.076182661225529e-08,1.3494451996475584e-13,1.7997615486932295e-08,9.076182661209047e-08,1.228207858217379e-06,3.7705067992252985e-08,8.49772835798566e-09,1.6275180925564888e-14,1.7997615496106932e-08,1.6274533448621648e-14,4.5821616239701714e-07,7.019221681134996e-10,1.228207858212705e-06,5.984712395194208e-09,7.019221680991145e-10,1.2282078582127066e-06,1.799760995916168e-08,8.497749321181371e-09,4.582161623970163e-07,5.984712395150642e-09,1.7536968402108e-15,4.5821616239491025e-07,1.2282078582173765e-06,1.7536968401318134e-15,3.770506799216193e-08,4.5821616239491004e-07,9.076182661222126e-08,8.497728357985654e-09,1.0753347913885553e-22,1.0587911840678754e-22,1.6543612251060553e-24,3.1554436208840472e-30,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,1.5777218104420236e-30,6.462348535570529e-27,9.62964972193618e-34,7.52316384526264e-36,0.0,2.0034489700794313e-36,0.0,2.7755575615628914e-17,3.944304526105059e-31,2.407412430484045e-35,9.244463733058732e-33,4.930380657631324e-31,0.0,7.888609052210118e-31,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,1.5777218104420236e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,3.879167612107418e-36,0.0,0.0,0.0,0.0,0.0,0.0
6,1.7252065700907424e-08,1.7252065700907418e-08,4.37430166913502e-08,5.839583160579538e-16,1.1075587973563444e-08,4.3743016691311414e-08,1.1611148713623238e-08,1.8172104728608982e-08,7.630014174544729e-11,7.042914563588666e-17,1.107558797569453e-08,7.042634373151561e-17,4.331853089018204e-09,6.302489830782201e-12,1.1611148713623225e-08,3.682945732292227e-09,6.302489830782201e-12,1.1611148713623228e-08,1.1075587975248141e-08,7.630025757795683e-11,4.331853089018201e-09,3.682945732292224e-09,7.58893991371217e-18,4.331853089018202e-09,1.1611148713623231e-08,7.588939913712114e-18,1.8172104728608982e-08,4.331853089018204e-09,4.37430166913502e-08,7.630014174544727e-11,3.302260106683958e-24,0.0,6.462348535570529e-27,1.232595164407831e-32,0.0,1.232595164407831e-32,8.271806125530277e-25,3.308722450212111e-24,0.0,4.930380657631324e-32,9.62964972193618e-35,3.2311742677852644e-27,3.009265538105056e-36,2.7550648847397363e-40,0.0,3.8564546053422504e-40,8.271806125530277e-25,0.0,9.62964972193618e-35,3.6734198463196485e-40,1.2037062152420224e-35,5.007417855406813e-33,4.930380657631324e-32,1.2037062152420224e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,1.4444474582904269e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4444474582904269e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,2.465190328815662e-32,9.62964972193618e-35,5.069538651719262e-40,0.0,0.0,0.0,0.0,0.0,0.0
7,2.833422077179576e-08,2.8334220771795753e-08,1.3063669581070886e-08,3.56199112999708e-16,4.267223371630864e-09,1.3063669581085831e-08,1.9069765717890167e-08,5.427023322525722e-09,4.023892449331924e-11,4.3708142929546994e-16,4.267223370994425e-09,4.3707995164786023e-16,7.11449190509235e-09,3.3237921383191785e-12,1.9069765717890167e-08,1.4189722606026156e-09,3.323792138319164e-12,1.9069765717890167e-08,4.267223370870272e-09,4.0238948029216105e-11,7.11449190509235e-09,1.4189722606026135e-09,4.002237111673325e-18,7.11449190509235e-09,1.9069765717890167e-08,4.0022371116732766e-18,5.427023322525718e-09,7.11449190509235e-09,1.3063669581070886e-08,4.023892449331923e-11,1.2407709203702855e-24,0.0,0.0,3.697785493223493e-32,0.0,6.162975822039155e-33,0.0,0.0,4.1359030627651384e-25,2.465190328815662e-32,0.0,0.0,2.1064858766735392e-35,9.183549615799121e-41,2.0194839173657902e-28,3.536789085943163e-40,0.0,0.0,4.81482486096809e-35,0.0,1.2638915260041235e-34,1.5407439555097887e-33,0.0,2.407412430484045e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,1.925929944387236e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62964972193618e-35,3.721318855264891e-40,0.0,0.0,0.0,0.0,0.0,0.0
8,2.833422077179576e-08,2.8334220771795753e-08,1.3063669581070886e-08,3.56199112999708e-16,4.267223371630864e-09,1.3063669581085831e-08,1.9069765717890167e-08,5.427023322525722e-09,4.023892449331924e-11,4.3708142929546994e-16,4.267223370994425e-09,4.3707995164786023e-16,7.11449190509235e-09,3.3237921383191785e-12,1.9069765717890167e-08,1.4189722606026156e-09,3.323792138319164e-12,1.9069765717890167e-08,4.267223370870272e-09,4.0238948029216105e-11,7.11449190509235e-09,1.4189722606026135e-09,4.002237111673325e-18,7.11449190509235e-09,1.9069765717890167e-08,4.0022371116732766e-18,5.427023322525718e-09,7.11449190509235e-09,1.3063669581070886e-08,4.023892449331923e-11,1.2407709203702855e-24,0.0,0.0,3.697785493223493e-32,0.0,6.162975822039155e-33,0.0,0.0,4.1359030627651384e-25,2.465190328815662e-32,0.0,0.0,2.1064858766735392e-35,9.183549615799121e-41,2.0194839173657902e-28,3.536789085943163e-40,0.0,0.0,4.81482486096809e-35,0.0,1.2638915260041235e-34,1.5407439555097887e-33,0.0,2.407412430484045e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,1.925929944387236e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62964972193618e-35,3.721318855264891e-40,0.0,0.0,0.0,0.0,0.0,0.0
9,2.833422077179576e-08,2.8334220771795753e-08,1.3063669581070886e-08,3.56199112999708e-16,4.267223371630864e-09,1.3063669581085831e-08,1.9069765717890167e-08,5.427023322525722e-09,4.023892449331924e-11,4.3708142929546994e-16,4.267223370994425e-09,4.3707995164786023e-16,7.11449190509235e-09,3.3237921383191785e-12,1.9069765717890167e-08,1.4189722606026156e-09,3.323792138319164e-12,1.9069765717890167e-08,4.267223370870272e-09,4.0238948029216105e-11,7.11449190509235e-09,1.4189722606026135e-09,4.002237111673325e-18,7.11449190509235e-09,1.9069765717890167e-08,4.0022371116732766e-18,5.427023322525718e-09,7.11449190509235e-09,1.3063669581070886e-08,4.023892449331923e-11,1.2407709203702855e-24,0.0,0.0,3.697785493223493e-32,0.0,6.162975822039155e-33,0.0,0.0,4.1359030627651384e-25,2.465190328815662e-32,0.0,0.0,2.1064858766735392e-35,9.183549615799121e-41,2.0194839173657902e-28,3.536789085943163e-40,0.0,0.0,4.81482486096809e-35,0.0,1.2638915260041235e-34,1.5407439555097887e-33,0.0,2.407412430484045e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,3.2311742677852644e-27,1.925929944387236e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62964972193618e-35,3.721318855264891e-40,0.0,0.0,0.0,0.0,0.0,0.0
