,Y0Z5,Y5Z0,Y0Z1,Y1Z0,Y5Z1,Y1Z5,Y3Z1,Y1Z3,Y4Z1,Y1Z4,Y0Z3,Y3Z0,Y3Z2,Y2Z3,Y2Z5,Y5Z2,Y4Z2,Y2Z4,Y5Z3,Y3Z5,Y0Z2,Y2Z0,Y5Z4,Y4Z5,Y1Z2,Y2Z1,Y0Z4,Y4Z0,Y4Z3,Y3Z4,X0Y3,X5Y1,Y0,X5Y3,X2Y4,X3Y1,X1Y5,Y3,Y1,X4Y3,X3Y0,X2Y5,X2Y1,X2Y0,X0Y1,standard_y,Y2,X1Y3,X1Y0,X0Y2,X5Y2,X3Y2,X1Y2,standard_x,Y5,Y4Y5,Y4,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y2,X4Y1,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y4,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y5,X0Y4,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9950607203462697,0.9950607203462696,0.9097692379238722,0.909769237923872,0.7146237169889225,0.7146237169889225,0.673939553464064,0.673939553464064,0.5980255545416808,0.5980255545416808,0.4594338793312195,0.45943387933121943,0.4105259240114544,0.4105259240114544,0.3998964924293077,0.3998964924293076,0.3800892996387989,0.3800892996387989,0.3197648880771329,0.3197648880771329,0.29407904075867863,0.2940790407586785,0.2758331475880621,0.27583314758806193,0.15464399620754732,0.1546439962075473,0.1363587105435613,0.13635871054356113,0.07255160439549672,0.07255160439549668,1.6653345369377348e-16,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.002896340320907638,0.002896340320907638,0.0026480809388228846,0.19514854818548233,0.0020800675209766504,0.19514166701946245,0.673939553464064,0.6739395534640641,0.5980255545416808,0.5980255545416806,0.0013372820796654153,0.13967034582489754,0.4105259240114544,0.4105259240114544,0.10581869743243594,0.0011639855855323953,0.3800892996387988,0.38008929963879884,0.0009307451491262054,0.13966704502501107,0.0008559809123877399,0.10581575765062814,0.0008028722779089915,0.13947501467993229,0.15464399620754732,0.15464399620754732,0.0003969016396475332,0.13947326857496484,0.07255160439549671,0.07255160439549665,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,0.0,2.168404344971009e-19,4.336808689942018e-19,4.163336342344337e-17,0.0,3.5575383784680614e-20,2.7972416050126014e-17,1.3877787807814457e-17,2.0816681711721685e-17,8.470329472543003e-21,5.421010862427522e-20,1.0842021724855044e-19,5.551115123125783e-17,1.0408340855860843e-17,0.0,2.168404344971009e-19,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.336808689942018e-19,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0010983800821542074,0.0010983800821542078,0.0004971083210920213,0.001431423831644549,0.0004358673926835604,0.0014314165726569805,0.004943444159471398,0.004943444159471396,0.5254759019683279,0.004386603990844933,0.0004970676613924639,0.0010244936931634288,0.0030112670653247766,0.25588608811957136,0.10581763083033532,0.00044141863227686504,0.3800892996387988,0.3800892996387989,0.00043583667559755803,0.0010244902111277863,0.0003246139198781196,0.10581720804450093,0.000304473515147095,0.1394745201173592,0.0011343360927847366,0.2558708836154862,0.00015051713792617512,0.13947426900061177,0.5254578617422161,0.0005321765181546382,0.0,1.2705494208814505e-21,5.421010862427522e-20,0.0,0.0,1.734723475976807e-17,0.0,4.336808689942018e-19,0.0,0.0,4.235164736271502e-22,2.710505431213761e-20,5.421010862427522e-20,5.421010862427522e-20,6.617444900424222e-24,3.5236570605778894e-19,5.551115123125783e-17,3.469446951953614e-18,6.617444900424222e-24,0.0,0.0,2.168404344971009e-19,2.710505431213761e-20,0.0,2.710505431213761e-20,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,5.551115123125783e-17,5.421010862427522e-20,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0010662204046317436,0.0010662204046317436,0.0003364301062127702,1.2265332423258783e-08,0.00012753760754495688,1.2265273812699984e-08,0.0003309128254429814,4.2358519116813504e-08,6.002223248727245e-05,3.758716453751762e-08,0.00033642990622959046,7.685275586698855e-05,0.00022589127955707888,0.6359711908337036,0.10581762049261909,0.0004284942529139496,4.34156780286602e-05,0.6359711636252423,0.00012753748449752939,7.685250973272351e-05,0.0003151094877127904,0.10581722210200203,0.00012753760285668858,1.5931468358259586e-05,9.719700581439292e-09,0.6359711628149542,0.0003364301021116638,1.5931441329551016e-05,6.002222089155848e-05,0.0003309128227633475,0.0,0.0,1.0842021724855044e-19,5.293955920339377e-23,1.0164395367051604e-20,2.964615315390051e-21,6.462348535570529e-27,2.710505431213761e-20,4.1359030627651384e-25,0.0,2.6469779601696886e-23,2.710505431213761e-20,1.2407709188295415e-24,2.710505431213761e-20,1.7165613297609217e-27,5.537562554610683e-17,5.551115123125783e-17,2.117582368135751e-21,1.7165613297609217e-27,5.421010862427522e-20,1.0842021724855044e-19,0.0,2.0679515313825692e-25,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,1.3552527156068805e-20,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0006057526319167861,0.0006057526319167861,0.0003701595751854406,3.711221831143956e-12,0.000315898675171508,3.711216106998945e-12,7.706155918234894e-09,9.875809348649161e-12,1.2763393342555008e-06,1.1373071628764522e-11,0.0003701595751334178,1.7897124174291843e-09,5.260459215734484e-09,0.0006039624703484826,0.00010049165696794239,0.00031589875225394555,1.2763392418162932e-06,0.0006039624703325996,0.0003158986751516324,1.789710567339312e-09,0.00037015956967129246,0.00010049153485037563,0.00031589867517086074,1.965812726086586e-07,9.87580224290755e-12,0.0006039624703324825,0.000370159575184908,1.9658116496006655e-07,1.2763393342182303e-06,7.706155918225391e-09,8.077935669463161e-28,7.888609052210118e-31,2.710505431213761e-20,4.0389678347315804e-28,0.0,3.2311742677852644e-27,1.1832913578315177e-30,0.0,6.058451752097371e-28,7.888609052210118e-31,8.077935669463161e-28,2.6469779601696886e-23,1.9721522630525295e-31,0.0,8.907276411134824e-32,1.3552527095484288e-19,1.0842021724855044e-19,9.693522803355793e-27,7.379889509771352e-31,0.0,5.293955920339377e-23,1.6940658945086007e-21,9.860761315262648e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,2.117582368135751e-22,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,7.888609052210118e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2466178765237663e-08,1.246617876523766e-08,7.617757148791906e-09,8.911476406770459e-14,6.501087271336507e-09,8.911476406770454e-14,7.089416132983968e-15,2.3714047258615036e-13,2.734076602247647e-07,2.7309315600237604e-13,7.617757148778453e-09,1.6464773009437314e-15,4.839453614789527e-15,4.956715948489699e-09,8.247339308629752e-10,6.501087271331367e-09,2.734076602246644e-07,4.956715948488093e-09,6.501087271331367e-09,1.646477300943729e-15,7.617757148778453e-09,8.24733930862969e-10,6.501087271335897e-09,4.2110122625418394e-08,2.3714047258615036e-13,4.9567159484880484e-09,7.6177571487914e-09,4.211012262541838e-08,2.734076602246644e-07,7.089416132983567e-15,5.877471754111438e-39,1.88079096131566e-37,8.271806125530277e-25,5.877471754111438e-39,9.860761315262648e-32,6.162975822039155e-33,5.64237288394698e-37,3.944304526105059e-31,6.310887241768095e-30,0.0,1.1754943508222875e-38,0.0,7.052966104933725e-38,3.0814879110195774e-33,1.1513875330808148e-38,2.8537725216622666e-23,0.0,6.162975822039155e-33,3.223712901070985e-38,0.0,0.0,0.0,2.350988701644575e-38,0.0,1.2407709188295415e-24,0.0,2.6469779601696886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9721522630525295e-31,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1754943508222875e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,0.0,0.0,0.0,0.0,0.0,0.0
6,1.4251689998288713e-08,1.425168999828871e-08,8.708836557801864e-09,1.4674579627338196e-17,7.4322278051462155e-09,1.4674579627338264e-17,8.206062473033347e-18,3.9050058664552204e-17,1.61328322522585e-08,4.4970407766113926e-17,8.708836557801864e-09,1.9058121568262773e-18,5.601710835997598e-18,2.0559015768261724e-09,3.4207564172385834e-10,7.4322278051462155e-09,1.61328322522585e-08,2.055901576826173e-09,7.4322278051462155e-09,1.9058121568262843e-18,8.708836557801864e-09,3.420756417238596e-10,7.432227805146214e-09,2.484771435735039e-09,3.9050058664552204e-17,2.0559015768261724e-09,8.70883655780186e-09,2.4847714357350366e-09,1.61328322522585e-08,8.206062473033347e-18,0.0,9.183549615799121e-41,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,7.703719777548943e-34,1.1479437019748901e-41,0.0,1.5407439555097887e-33,1.4349296274686127e-42,0.0,2.22077780626197e-41,1.0339757672320285e-24,2.0679515313825692e-25,3.851859888774472e-34,7.108506849826932e-41,0.0,0.0,4.1359030627651384e-25,1.4349296274686127e-42,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.4251689998288713e-08,1.425168999828871e-08,8.708836557801864e-09,1.4674579627338196e-17,7.4322278051462155e-09,1.4674579627338264e-17,8.206062473033347e-18,3.9050058664552204e-17,1.61328322522585e-08,4.4970407766113926e-17,8.708836557801864e-09,1.9058121568262773e-18,5.601710835997598e-18,2.0559015768261724e-09,3.4207564172385834e-10,7.4322278051462155e-09,1.61328322522585e-08,2.055901576826173e-09,7.4322278051462155e-09,1.9058121568262843e-18,8.708836557801864e-09,3.420756417238596e-10,7.432227805146214e-09,2.484771435735039e-09,3.9050058664552204e-17,2.0559015768261724e-09,8.70883655780186e-09,2.4847714357350366e-09,1.61328322522585e-08,8.206062473033347e-18,0.0,9.183549615799121e-41,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,7.703719777548943e-34,1.1479437019748901e-41,0.0,1.5407439555097887e-33,1.4349296274686127e-42,0.0,2.22077780626197e-41,1.0339757672320285e-24,2.0679515313825692e-25,3.851859888774472e-34,7.108506849826932e-41,0.0,0.0,4.1359030627651384e-25,1.4349296274686127e-42,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.4251689998288713e-08,1.425168999828871e-08,8.708836557801864e-09,1.4674579627338196e-17,7.4322278051462155e-09,1.4674579627338264e-17,8.206062473033347e-18,3.9050058664552204e-17,1.61328322522585e-08,4.4970407766113926e-17,8.708836557801864e-09,1.9058121568262773e-18,5.601710835997598e-18,2.0559015768261724e-09,3.4207564172385834e-10,7.4322278051462155e-09,1.61328322522585e-08,2.055901576826173e-09,7.4322278051462155e-09,1.9058121568262843e-18,8.708836557801864e-09,3.420756417238596e-10,7.432227805146214e-09,2.484771435735039e-09,3.9050058664552204e-17,2.0559015768261724e-09,8.70883655780186e-09,2.4847714357350366e-09,1.61328322522585e-08,8.206062473033347e-18,0.0,9.183549615799121e-41,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,7.703719777548943e-34,1.1479437019748901e-41,0.0,1.5407439555097887e-33,1.4349296274686127e-42,0.0,2.22077780626197e-41,1.0339757672320285e-24,2.0679515313825692e-25,3.851859888774472e-34,7.108506849826932e-41,0.0,0.0,4.1359030627651384e-25,1.4349296274686127e-42,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.4251691819544281e-08,1.4251691819544278e-08,8.708837670723704e-09,1.4674582706662915e-17,7.4322287549273496e-09,1.4674582706662844e-17,8.20606513525417e-18,3.905006964855348e-17,1.6132832348473777e-08,4.4970419625180893e-17,8.708837670723704e-09,1.9058127808869715e-18,5.601712633859751e-18,2.055901988353878e-09,3.4207571019678993e-10,7.4322287549273496e-09,1.6132832348473777e-08,2.055901988353878e-09,7.4322287549273496e-09,1.905812780886977e-18,8.708837670723704e-09,3.420757101967864e-10,7.432228754927348e-09,2.484771450554072e-09,3.905006964855348e-17,2.055901988353878e-09,8.7088376707237e-09,2.484771450554069e-09,1.6132832348473777e-08,8.20606513525417e-18,0.0,4.591774807899561e-41,8.271806125530277e-25,2.2958874039497803e-41,0.0,0.0,4.591774807899561e-41,7.703719777548943e-34,0.0,0.0,0.0,0.0,7.174648137343063e-42,0.0,2.0851321149153278e-41,1.6543612243356834e-24,0.0,0.0,2.3631497302373715e-41,0.0,0.0,0.0,2.152394441202919e-42,0.0,8.271806125530277e-25,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.425169219670919e-08,1.4251692196709186e-08,8.708837901199357e-09,1.4674582744879688e-17,7.4322289516180945e-09,1.4674582744879737e-17,8.206065135254166e-18,3.9050069984482946e-17,1.6132832306459216e-08,4.4970419945692047e-17,8.708837901199357e-09,1.905812780886966e-18,5.601712633859746e-18,2.055901988353878e-09,3.4207571019678993e-10,7.4322289516180945e-09,1.6132832306459216e-08,2.055901988353878e-09,7.4322289516180945e-09,1.9058127808869827e-18,8.708837901199357e-09,3.420757101967864e-10,7.432228951618092e-09,2.484771444083009e-09,3.9050069984482946e-17,2.055901988353878e-09,8.708837901199354e-09,2.4847714440830054e-09,1.6132832306459216e-08,8.206065135254165e-18,0.0,9.183549615799121e-41,0.0,1.1479437019748901e-41,0.0,4.81482486096809e-34,4.591774807899561e-41,0.0,7.703719777548943e-34,0.0,0.0,0.0,2.8698592549372254e-42,0.0,2.2241409225763497e-41,8.271806133233997e-25,0.0,4.81482486096809e-34,6.412341772750363e-42,0.0,0.0,0.0,4.304788882405838e-42,0.0,8.271806125530277e-25,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,2.2958874039497803e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.425169219670919e-08,1.4251692196709186e-08,8.708837901199357e-09,1.4674582744879688e-17,7.4322289516180945e-09,1.4674582744879737e-17,8.206065135254166e-18,3.9050069984482946e-17,1.6132832306459216e-08,4.4970419945692047e-17,8.708837901199357e-09,1.905812780886966e-18,5.601712633859746e-18,2.055901988353878e-09,3.4207571019678993e-10,7.4322289516180945e-09,1.6132832306459216e-08,2.055901988353878e-09,7.4322289516180945e-09,1.9058127808869827e-18,8.708837901199357e-09,3.420757101967864e-10,7.432228951618092e-09,2.484771444083009e-09,3.9050069984482946e-17,2.055901988353878e-09,8.708837901199354e-09,2.4847714440830054e-09,1.6132832306459216e-08,8.206065135254165e-18,0.0,9.183549615799121e-41,0.0,1.1479437019748901e-41,0.0,4.81482486096809e-34,4.591774807899561e-41,0.0,7.703719777548943e-34,0.0,0.0,0.0,2.8698592549372254e-42,0.0,2.2241409225763497e-41,8.271806133233997e-25,0.0,4.81482486096809e-34,6.412341772750363e-42,0.0,0.0,0.0,4.304788882405838e-42,0.0,8.271806125530277e-25,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,2.2958874039497803e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
