,Y3Z2,Y2Z3,Y4Z5,Y5Z4,Y5Z0,Y0Z5,Y4Z1,Y1Z4,Y4Z3,Y3Z4,Y5Z1,Y1Z5,Y4Z2,Y2Z4,Y5Z2,Y2Z5,Y1Z0,Y0Z1,Y3Z1,Y1Z3,Y2Z1,Y1Z2,Y4Z0,Y0Z4,Y5Z3,Y3Z5,Y2Z0,Y0Z2,Y0Z3,Y3Z0,X4Y0,Y5,X5Y4,X4Y5,X4Y2,X3Y0,X2Y4,X2Y1,X0Y5,standard_y,Y2,Y1,Y0,X5Y0,X4Y3,X3Y1,X2Y0,X0Y3,X0Y2,X1Y3,X1Y2,X1Y4,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5Y1,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y1,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3Y2,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y5,X1Y0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y4,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9383768560284352,0.9383768560284351,0.9019993155324171,0.9019993155324169,0.759877436508078,0.759877436508078,0.6843086384273187,0.6843086384273187,0.6132160618037519,0.6132160618037519,0.5386291301983319,0.5386291301983318,0.48927495777210683,0.48927495777210683,0.4216392913626552,0.4216392913626552,0.40397807494366633,0.40397807494366633,0.3830675820321783,0.3830675820321783,0.2511510083752202,0.2511510083752201,0.24843131850096883,0.24843131850096878,0.21669231200675676,0.2166923120067566,0.20007544457494536,0.20007544457494536,0.17880232058661227,0.17880232058661222,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0010979908253392172,0.0010979908253392172,0.9019993155324169,0.901999315532417,0.7598774365080778,0.759877436508078,0.6843086384273187,0.6843086384273187,0.12394143897085211,0.0007175215431685406,0.5386291301983317,0.5386291301983317,0.12394068424702656,0.00057249857693179,0.20494712769529333,0.0004933583672109404,0.4039780749436662,0.40397807494366633,0.0004482257718251573,0.13191674558547864,0.0002938707420148993,0.13191631142332008,0.24843131850096886,0.24843131850096878,0.20494669071752109,0.00025355076585323636,0.00023410743893314677,0.021273246389667044,0.02127298702421984,0.0002092158457364092,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,2.710505431213761e-20,2.710505431213761e-20,5.421010862427522e-20,1.3552527156068805e-20,0.0,5.559246639419424e-17,5.421010862427522e-20,5.551115123125783e-17,0.0,2.7755575615628914e-17,2.710505431213761e-20,0.0,1.0842021724855044e-19,0.0,0.0,4.0657581468206416e-20,6.776263578034403e-21,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421010862427522e-20,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17,3.001192911204901e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.242903688871266e-17,0.0,0.0,0.0,0.0,0.0,0.0
2,4.007497216737569e-05,4.007497216737569e-05,0.0004737522045004358,0.0004737522045004358,0.00039910630140927654,0.511446152273349,0.00035941571177609463,0.1456795825223371,6.509691356021936e-05,1.6934219266503206e-05,0.00028290125440837014,0.1456794138419986,6.509691303216095e-05,2.888498114700232e-06,0.00010764318963132311,2.8884927489118207e-06,0.40397807494366633,0.40397807494366633,1.6359549566403914e-05,0.13191657388599054,1.072582897349324e-05,0.13191657330762707,0.00013048223294638857,0.5114460131968838,0.00010764318932558242,1.693421437788417e-05,8.544560558165866e-06,0.021273124151388496,0.021273123805878202,7.63605578604929e-06,0.0,2.710505431213761e-20,2.7755575615628914e-17,5.551115123125783e-17,4.1359030627651384e-25,1.6940658945086007e-21,1.6543612251060553e-24,8.470329472543003e-22,0.0,8.324131585846911e-17,1.6940658945086007e-21,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,1.6940658945086007e-21,0.0,4.235164736271502e-22,4.235164736271502e-22,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0657581468206416e-20,2.0122950905859553e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,1.7015055106572582e-17,0.0,0.0,0.0,0.0,0.0,0.0
3,3.26597169536896e-05,3.265971695368961e-05,0.00011529029580728114,6.838431681744844e-08,5.76094665104345e-08,0.00021981039885216616,0.00012071298309654455,0.5496575479577157,2.1863380924279282e-05,2.0023923196763242e-05,4.083571290167402e-08,0.5496575352157487,2.1863380806486876e-05,9.31754503857406e-06,1.5537882274062343e-08,9.31754465364545e-06,0.5496575590712599,0.00017362255374194573,1.3332467358856197e-05,0.1319165738090743,8.741179829268789e-06,0.1319165734249434,0.0001152902770647125,0.000219810392109746,1.553788224475092e-08,2.0023922844180706e-05,9.317545079361783e-06,9.142808386918435e-06,9.142808288293273e-06,2.002392214433387e-05,6.617444900424222e-24,0.0,1.3552527156068805e-20,0.0,1.0339757656912846e-25,0.0,8.271806125530277e-25,8.470329472543003e-22,0.0,1.1099265630936175e-16,2.541098841762901e-21,1.1102230246251565e-16,2.710505431213761e-20,1.6940658945086007e-21,2.0679515313825692e-25,8.470329472543003e-22,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.6940658945086007e-21,4.235164736271502e-22,1.0164395367051604e-20,0.0,0.0,6.776263578034403e-21,0.0,0.0,1.6940658945086007e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048709793414476e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0097419586828951e-28,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.617444900424222e-24,5.0806062879039555e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6291214278615256e-21,0.0,0.0,0.0,0.0,0.0,0.0
4,2.198247810513769e-05,2.1982478105137688e-05,9.988730772191127e-05,1.4338052297832016e-10,3.5169357059671734e-11,1.0820599550547484e-09,9.9887308855018e-05,0.00054620297072447,9.253578401460998e-06,4.503864483647816e-06,3.516925514847976e-11,0.0005462029684562611,9.253578378875058e-06,3.879409914286302e-07,3.257807914650622e-11,3.879409286186745e-07,0.0005462029684568427,8.546912013491538e-10,4.5038533310579764e-06,0.00013108747448164652,3.879349273155911e-07,0.00013108747430871687,9.988730772183239e-05,1.0820599491090389e-09,3.257807911866432e-11,4.50386441612486e-06,3.879409286123713e-07,4.500727407670566e-11,4.500727385675797e-11,4.503864416092961e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,6.723324018831009e-21,3.705769144237564e-22,0.0,0.0,1.6543612251060553e-24,1.0339757656912846e-25,4.1359030627651384e-25,0.0,1.5777218104420236e-30,7.888609052210118e-31,1.6543612251060553e-24,4.1359030627651384e-25,3.308722450212111e-24,0.0,0.0,6.776263578034403e-21,0.0,0.0,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,4.930380657631324e-32,3.1554436208840472e-30,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.860761315262648e-32,2.0679515313825692e-25,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,2.750610381631785e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,2.7506098132513397e-23,0.0,0.0,0.0,0.0,0.0,0.0
5,9.377565034565916e-07,9.377565034565916e-07,1.575605080874858e-07,5.000328062876438e-14,1.2265141713229824e-14,2.141078714651605e-10,1.5756050808739763e-07,2.509689740374415e-08,1.4596430497693953e-08,1.9213138797920997e-07,1.2265136286394045e-14,2.5096897409388024e-08,1.4596430497629122e-08,1.654915487302063e-08,1.1361453004584439e-14,1.654915487301396e-08,2.509689738095025e-08,2.1411018123175255e-10,1.921313879791353e-07,6.023198461251059e-09,1.6549154873000282e-08,6.023198461236599e-09,1.5756050808747974e-07,2.1410787146515953e-10,1.1361453004566774e-14,1.921313879792028e-07,1.6549154873000824e-08,4.975353095320285e-12,4.975353095276034e-12,1.921313879791363e-07,0.0,1.5777218104420236e-30,0.0,0.0,6.310887241768095e-30,3.697785493223493e-32,2.524354896707238e-29,7.888609052210118e-31,0.0,1.0740424843840029e-23,9.926167350636332e-24,8.271806125530277e-25,1.2924697071141057e-26,3.2311742677852644e-27,9.466330862652142e-30,1.5777218104420236e-30,1.232595164407831e-32,1.5407439555097887e-33,3.0814879110195774e-33,7.888609052210118e-31,1.9721522630525295e-30,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.52316384526264e-37,1.504632769052528e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.754882479305454e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,4.754882479305454e-25,0.0,0.0,0.0,0.0,0.0,0.0
6,1.3250865506652738e-08,1.3250865506652735e-08,3.673768350573152e-08,7.861101965094718e-16,1.9282240696140636e-16,1.4436209256455899e-11,3.673768350571236e-08,2.509689738012686e-08,3.403384835741098e-09,2.7148915228360682e-09,1.9282232164518527e-16,2.5096897380433698e-08,3.403384835741094e-09,2.338460193693539e-10,1.7861536170959838e-16,2.3384601936934895e-10,2.509689738030442e-08,1.443636499231793e-11,2.7148915228360446e-09,6.023198465992392e-09,2.3384601936934047e-10,6.023198465992389e-09,3.673768350573151e-08,1.4436209256455894e-11,1.786153617095983e-16,2.714891522836063e-09,2.338460193693481e-10,3.3546285765668233e-13,3.354628576566816e-13,2.7148915228360587e-09,1.2037062152420224e-35,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,3.697785493223493e-32,0.0,7.444625512977249e-24,0.0,8.271806125530277e-25,0.0,0.0,1.232595164407831e-32,2.465190328815662e-32,1.2037062152420224e-35,1.504632769052528e-36,0.0,0.0,1.232595164407831e-32,8.077935669463161e-28,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6734198463196485e-40,1.8367099231598242e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8367099231598242e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.009265538105056e-36,7.576399362709152e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.576399362709152e-25,0.0,0.0,0.0,0.0,0.0,0.0
7,1.3250959296646821e-08,1.3250959296646821e-08,1.015665052896511e-08,5.477017676457759e-17,1.3434424445494517e-17,3.638103475259358e-12,1.0156650528945959e-08,2.5096897349620505e-08,9.40913718355675e-10,2.714910738913666e-09,1.34344029399908e-17,2.5096897349705334e-08,9.409137183556742e-10,2.3384767453797047e-10,1.2444564069367903e-17,2.3384767453797026e-10,2.5096897349697122e-08,3.638142722624751e-12,2.7149107389136514e-09,6.0231984587076194e-09,2.338476745379626e-10,6.023198458707616e-09,1.015665052896511e-08,3.638103475259358e-12,1.2444564069367897e-17,2.7149107389136654e-09,2.3384767453797026e-10,8.454079367930606e-14,8.454079367930589e-14,2.7149107389136654e-09,0.0,2.311115933264683e-33,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,4.0389678347315804e-28,1.033975788802444e-25,3.101927297073854e-25,1.6543612251060553e-24,0.0,0.0,0.0,1.232595164407831e-32,0.0,1.410593220986745e-37,7.52316384526264e-37,3.697785493223493e-32,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,1.2037062152420224e-35,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.009265538105056e-36,2.7684316963449254e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7684316963449254e-26,0.0,0.0,0.0,0.0,0.0,0.0
8,1.3250959296646821e-08,1.3250959296646821e-08,1.015665052896511e-08,5.477017676457759e-17,1.3434424445494517e-17,3.638103475259358e-12,1.0156650528945959e-08,2.5096897349620505e-08,9.40913718355675e-10,2.714910738913666e-09,1.34344029399908e-17,2.5096897349705334e-08,9.409137183556742e-10,2.3384767453797047e-10,1.2444564069367903e-17,2.3384767453797026e-10,2.5096897349697122e-08,3.638142722624751e-12,2.7149107389136514e-09,6.0231984587076194e-09,2.338476745379626e-10,6.023198458707616e-09,1.015665052896511e-08,3.638103475259358e-12,1.2444564069367897e-17,2.7149107389136654e-09,2.3384767453797026e-10,8.454079367930606e-14,8.454079367930589e-14,2.7149107389136654e-09,0.0,2.311115933264683e-33,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,4.0389678347315804e-28,1.033975788802444e-25,3.101927297073854e-25,1.6543612251060553e-24,0.0,0.0,0.0,1.232595164407831e-32,0.0,1.410593220986745e-37,7.52316384526264e-37,3.697785493223493e-32,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,1.2037062152420224e-35,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.009265538105056e-36,2.7684316963449254e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7684316963449254e-26,0.0,0.0,0.0,0.0,0.0,0.0
9,1.3250959296646821e-08,1.3250959296646821e-08,1.015665052896511e-08,5.477017676457759e-17,1.3434424445494517e-17,3.638103475259358e-12,1.0156650528945959e-08,2.5096897349620505e-08,9.40913718355675e-10,2.714910738913666e-09,1.34344029399908e-17,2.5096897349705334e-08,9.409137183556742e-10,2.3384767453797047e-10,1.2444564069367903e-17,2.3384767453797026e-10,2.5096897349697122e-08,3.638142722624751e-12,2.7149107389136514e-09,6.0231984587076194e-09,2.338476745379626e-10,6.023198458707616e-09,1.015665052896511e-08,3.638103475259358e-12,1.2444564069367897e-17,2.7149107389136654e-09,2.3384767453797026e-10,8.454079367930606e-14,8.454079367930589e-14,2.7149107389136654e-09,0.0,2.311115933264683e-33,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,4.0389678347315804e-28,1.033975788802444e-25,3.101927297073854e-25,1.6543612251060553e-24,0.0,0.0,0.0,1.232595164407831e-32,0.0,1.410593220986745e-37,7.52316384526264e-37,3.697785493223493e-32,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,1.2037062152420224e-35,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1479437019748901e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.009265538105056e-36,2.7684316963449254e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7684316963449254e-26,0.0,0.0,0.0,0.0,0.0,0.0
