,Y5Z1,Y1Z5,Y4Z0,Y0Z4,Y5Z4,Y4Z5,Y3Z2,Y2Z3,Y2Z0,Y0Z2,Y0Z5,Y5Z0,Y3Z5,Y5Z3,Y2Z1,Y1Z2,Y3Z1,Y1Z3,Y4Z3,Y3Z4,Y3Z0,Y0Z3,Y4Z2,Y2Z4,Y0Z1,Y1Z0,Y5Z2,Y2Z5,Y4Z1,Y1Z4,standard_y,Y5,X1Y2,Y1,X0Y2,X1Y5,X4Y3,X4Y2,X3Y5,X3Y2,X3Y0,X2Y0,X0Y5,X4Y1,X3Y1,X2Y1,Y0,X5Y4,X2Y4,X1Y4,X1Y0,X5Y1,X4Y0,X1Y3,X0Y4,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y3,X5Y2,X5Y0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0Y1,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.8882346432135466,0.8882346432135466,0.8420269922666357,0.8420269922666357,0.8219762915021481,0.821976291502148,0.8150630762603066,0.8150630762603066,0.8060773014660809,0.8060773014660807,0.7962952185492611,0.7962952185492609,0.6726770334924808,0.6726770334924806,0.5743478091211449,0.5743478091211447,0.5578984824846792,0.5578984824846791,0.4378818830210456,0.43788188302104547,0.3720598512660668,0.3720598512660668,0.3681203650383047,0.3681203650383047,0.19453724793318103,0.19453724793318095,0.07083953646328556,0.07083953646328552,0.041591905180849764,0.041591905180849764,2.498001805406602e-16,1.6653345369377348e-16,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,4.163336342344337e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0003212656896087562,0.0003212656896087562,0.8420269922666357,0.8420269922666359,0.00029730069880645044,0.7803843890418196,0.8150630762603066,0.8150630762603066,0.8060773014660809,0.8060773014660807,0.6017579833407365,0.0002880121085953631,0.11477858749986969,0.0002433006331154528,0.5035082772914643,0.00020773592471580907,0.11477850700808326,0.00020178636588488502,0.43788188302104547,0.43788188302104547,0.3720598512660667,0.3720598512660669,0.36812036503830475,0.3681203650383048,0.601757918530512,7.036219943609806e-05,2.5621960038740106e-05,0.503508235089843,0.7803843325559348,1.5043380937862422e-05,3.3881317890172014e-21,2.710505431213761e-20,1.3552527156068805e-20,2.371692252312041e-20,1.1102230246251565e-16,0.0,4.163336342344337e-17,1.6653345369377348e-16,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,3.3881317890172014e-21,1.3552527156068805e-20,1.0164395367051604e-20,5.551115123125783e-17,4.0657581468206416e-20,5.551115123125783e-17,1.3552527156068805e-20,1.5246593050577406e-20,0.0,0.0,6.776263578034403e-21,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,1.6653345369377348e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,2.286988957586611e-20,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0965750458159693e-05,1.0965750458159693e-05,5.0958170582902434e-05,5.095817058290244e-05,3.170471402361261e-07,4.722765545972343e-05,0.8150630762603066,0.8150630762603066,0.43795693710189343,4.878255092576301e-05,3.641746119620907e-05,3.1704710365073684e-07,0.11477855105031703,8.304571933297428e-06,0.5035082726632578,7.090642995219257e-06,0.11477855095653933,6.887566913377135e-06,2.6499933963023285e-05,0.06582203243631021,0.06582203095311125,2.251648645707766e-05,2.2278074846705293e-05,0.43795693495165394,3.6417461191639464e-05,1.888195282641948e-06,8.745534587771487e-07,0.5035082726140903,4.722765545574074e-05,1.888195277303612e-06,5.550352793473254e-17,8.470329472543003e-22,2.117582368135751e-22,0.0,3.3881317890172014e-21,1.3877787807814457e-17,2.541098841762901e-21,3.3881317890172014e-21,8.470329472543003e-22,0.0,3.3881317890172014e-21,3.3881317890172014e-21,1.0339757656912846e-25,1.2924697071141057e-26,1.5881867761018131e-22,3.705769144237564e-22,6.776263578034403e-21,2.5849394142282115e-26,0.0,2.5849394142282115e-26,1.454028420503369e-26,1.3877787807814457e-17,0.0,5.293955920339377e-22,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235164736271502e-22,4.235164736271502e-22,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,1.6155871338926322e-27,0.0,0.0,0.0,0.0,0.0,0.0
3,5.684326985695111e-07,5.684326985695111e-07,8.3399251648345e-07,8.339925164834501e-07,1.6434803249936554e-08,7.729380936120949e-07,7.027374500823254e-06,7.027374500823252e-06,3.7760113261830207e-06,4.2987613084374013e-07,5.960161002406353e-07,1.6434803249428493e-08,9.896066771853956e-07,3.851506076146983e-07,4.341186957534885e-06,1.0526875091896921e-08,9.896066771832232e-07,1.0526875064965063e-08,6.909586566925525e-08,5.675095351772158e-07,5.675095351737904e-07,4.2987613080036845e-07,6.909586563958331e-08,3.7760113261780554e-06,5.960161002404342e-07,9.787856686136531e-08,3.8515060759701287e-07,4.341186957533747e-06,7.729380936119197e-07,9.78785668612912e-08,2.3161057151484775e-23,0.0,1.0097419586828951e-28,2.9778502051908996e-23,4.0389678347315804e-28,6.938893903907228e-18,1.0097419586828951e-28,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,1.8932661725304283e-29,2.0194839173657902e-28,1.5146129380243427e-28,5.293955920339377e-23,0.0,4.0389678347315804e-28,5.048709793414476e-29,1.876597454720205e-29,1.3877787807814457e-17,0.0,1.262177448353619e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0194839173657902e-28,2.0194839173657902e-28,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.247266634686079e-30,0.0,0.0,0.0,0.0,0.0,0.0
4,2.5714661925176498e-08,2.5714661925176498e-08,3.694028829364921e-08,3.694028829364921e-08,7.434748395650467e-10,3.423598587139205e-08,5.378766194641037e-09,5.378766194641036e-09,2.8901664582508316e-09,1.904063632414546e-08,2.6399525337924352e-08,7.434748395650037e-10,7.574468872559723e-10,1.7423377807027807e-08,3.3227529924681082e-09,4.762129878465244e-10,7.574468872559689e-10,4.762129878465241e-10,3.060484532862819e-09,4.343729087700693e-10,4.34372908770064e-10,1.904063632414546e-08,3.0604845328628186e-09,2.8901664582508245e-09,2.6399525337924333e-08,4.427813992570091e-09,1.7423377807027807e-08,3.322752992468106e-09,3.423598587139203e-08,4.427813992570085e-09,1.9645539548134407e-24,0.0,6.162975822039155e-33,1.8611563782443123e-24,0.0,6.938893903907228e-18,6.162975822039155e-33,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,0.0,0.0,2.465190328815662e-32,3.0814879110195774e-33,6.162975822039155e-33,0.0,0.0,2.465190328815662e-32,4.930380657631324e-32,3.10608283442313e-32,6.938893903907228e-18,0.0,1.5407439555097887e-33,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82755509744551e-34,0.0,0.0,0.0,0.0,0.0,0.0
5,2.599801143526174e-10,2.599801143526174e-10,2.2594261694867725e-09,2.259426169486773e-09,7.516671787124134e-12,2.0940194565103403e-09,1.363589564784546e-08,1.363589564784546e-08,7.3269606455243076e-09,1.1646068285246943e-09,1.61470798322898e-09,7.516671787124134e-12,1.9202297217711795e-09,1.761536577016015e-10,8.423625684641817e-09,4.814603722840586e-12,1.9202297217711795e-09,4.814603722840539e-12,1.8719233563882537e-10,1.101193738843117e-09,1.101193738843117e-09,1.164606828524694e-09,1.8719233563882509e-10,7.3269606455243076e-09,1.61470798322898e-09,4.4766040147447535e-11,1.7615365770160148e-10,8.423625684641817e-09,2.0940194565103403e-09,4.4766040147447535e-11,2.859589226989959e-25,2.5849394142282115e-26,0.0,1.6155871338926322e-27,0.0,0.0,3.851859888774472e-34,0.0,3.851859888774472e-34,0.0,0.0,0.0,0.0,6.018531076210112e-36,1.2037062152420224e-34,2.407412430484045e-35,1.0339757656912846e-25,0.0,3.0814879110195774e-33,0.0,1.1824009541052194e-35,0.0,0.0,6.018531076210112e-35,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.925929944387236e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81482486096809e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.851859888774472e-34,1.566985053140847e-35,0.0,0.0,0.0,0.0,0.0,0.0
6,1.3709689247358256e-08,1.3709689247358256e-08,8.634441275409333e-09,8.634441275409333e-09,3.9638121797302564e-10,8.00233628829311e-09,1.2941551834459017e-09,1.2941551834459017e-09,6.953869656378347e-10,4.450567761690274e-09,6.170638123259502e-09,3.9638121797302564e-10,1.8224510600663843e-10,9.289217803785304e-09,7.994692189441715e-10,2.538914218638727e-10,1.8224510600663817e-10,2.538914218638727e-10,7.153591699999174e-10,1.0451206300681602e-10,1.0451206300681597e-10,4.450567761690274e-09,7.153591699999174e-10,6.953869656378347e-10,6.1706381232595015e-09,2.360674780009728e-09,9.289217803785304e-09,7.994692189441714e-10,8.002336288293109e-09,2.360674780009728e-09,1.809457589959748e-25,0.0,0.0,4.1359030627651384e-25,0.0,6.938893903907228e-18,0.0,7.703719777548943e-34,0.0,0.0,7.703719777548943e-34,7.703719777548943e-34,1.232595164407831e-32,1.5407439555097887e-33,1.925929944387236e-34,0.0,4.1359030627651384e-25,6.162975822039155e-33,0.0,6.162975822039155e-33,6.513050207917273e-33,0.0,0.0,9.62964972193618e-35,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,0.0,0.0,0.0,1.550963648536927e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.529418665153695e-33,0.0,0.0,0.0,0.0,0.0,0.0
7,1.3709689247358266e-08,1.3709689247358266e-08,2.0032658564533988e-08,2.0032658564533988e-08,3.9638121797302977e-10,1.8566119737070813e-08,2.3360588048143656e-08,2.3360588048143653e-08,1.255231879924943e-08,1.0325706266852444e-08,1.4316419870803303e-08,3.9638121797302274e-10,3.2896772347466436e-09,9.289217803785312e-09,1.443109089220493e-08,2.5389142186387636e-10,3.2896772347466395e-09,2.53891421863869e-10,1.6596958096674801e-09,1.8865305190549622e-09,1.8865305190549548e-09,1.0325706266852434e-08,1.6596958096674727e-09,1.255231879924942e-08,1.4316419870803303e-08,2.3606747800097314e-09,9.289217803785305e-09,1.443109089220493e-08,1.856611973707081e-08,2.360674780009729e-09,1.4475660719677984e-24,0.0,6.162975822039155e-33,2.0679515313825692e-25,0.0,0.0,2.465190328815662e-32,4.930380657631324e-32,2.465190328815662e-32,5.551115123125783e-17,0.0,0.0,0.0,6.162975822039155e-33,1.232595164407831e-32,9.244463733058732e-33,1.6543612251060553e-24,0.0,4.930380657631324e-32,0.0,5.7491384899751086e-33,1.3877787807814457e-17,2.7755575615628914e-17,1.5407439555097887e-33,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,1.4815774470790777e-32,0.0,0.0,0.0,0.0,0.0,0.0
8,1.3709689247358266e-08,1.3709689247358266e-08,2.0032658564533988e-08,2.0032658564533988e-08,3.9638121797302977e-10,1.8566119737070813e-08,2.3360588048143656e-08,2.3360588048143653e-08,1.255231879924943e-08,1.0325706266852444e-08,1.4316419870803303e-08,3.9638121797302274e-10,3.2896772347466436e-09,9.289217803785312e-09,1.443109089220493e-08,2.5389142186387636e-10,3.2896772347466395e-09,2.53891421863869e-10,1.6596958096674801e-09,1.8865305190549622e-09,1.8865305190549548e-09,1.0325706266852434e-08,1.6596958096674727e-09,1.255231879924942e-08,1.4316419870803303e-08,2.3606747800097314e-09,9.289217803785305e-09,1.443109089220493e-08,1.856611973707081e-08,2.360674780009729e-09,1.4475660719677984e-24,0.0,6.162975822039155e-33,2.0679515313825692e-25,0.0,0.0,2.465190328815662e-32,4.930380657631324e-32,2.465190328815662e-32,5.551115123125783e-17,0.0,0.0,0.0,6.162975822039155e-33,1.232595164407831e-32,9.244463733058732e-33,1.6543612251060553e-24,0.0,4.930380657631324e-32,0.0,5.7491384899751086e-33,1.3877787807814457e-17,2.7755575615628914e-17,1.5407439555097887e-33,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,1.4815774470790777e-32,0.0,0.0,0.0,0.0,0.0,0.0
9,1.3709689247358266e-08,1.3709689247358266e-08,2.0032658564533988e-08,2.0032658564533988e-08,3.9638121797302977e-10,1.8566119737070813e-08,2.3360588048143656e-08,2.3360588048143653e-08,1.255231879924943e-08,1.0325706266852444e-08,1.4316419870803303e-08,3.9638121797302274e-10,3.2896772347466436e-09,9.289217803785312e-09,1.443109089220493e-08,2.5389142186387636e-10,3.2896772347466395e-09,2.53891421863869e-10,1.6596958096674801e-09,1.8865305190549622e-09,1.8865305190549548e-09,1.0325706266852434e-08,1.6596958096674727e-09,1.255231879924942e-08,1.4316419870803303e-08,2.3606747800097314e-09,9.289217803785305e-09,1.443109089220493e-08,1.856611973707081e-08,2.360674780009729e-09,1.4475660719677984e-24,0.0,6.162975822039155e-33,2.0679515313825692e-25,0.0,0.0,2.465190328815662e-32,4.930380657631324e-32,2.465190328815662e-32,5.551115123125783e-17,0.0,0.0,0.0,6.162975822039155e-33,1.232595164407831e-32,9.244463733058732e-33,1.6543612251060553e-24,0.0,4.930380657631324e-32,0.0,5.7491384899751086e-33,1.3877787807814457e-17,2.7755575615628914e-17,1.5407439555097887e-33,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,1.4815774470790777e-32,0.0,0.0,0.0,0.0,0.0,0.0
