,Y0Z3,Y3Z0,Y5Z0,Y0Z5,Y1Z4,Y4Z1,Y2Z0,Y0Z2,Y3Z1,Y1Z3,Y4Z3,Y3Z4,Y2Z1,Y1Z2,Y4Z0,Y0Z4,Y5Z1,Y1Z5,Y4Z2,Y2Z4,Y5Z3,Y3Z5,Y5Z4,Y4Z5,Y0Z1,Y1Z0,Y3Z2,Y2Z3,Y2Z5,Y5Z2,X5Y4,X4Y3,X3Y4,X3Y2,X2Y4,X1Y4,X5Y3,X5Y2,X4Y5,X3Y5,X3Y0,X0Y4,X0Y3,standard_y,X2Y1,X2Y0,Y5,X2Y5,X1Y5,X0Y5,X1Y0,X5Y0,X0Y1,Y0,X5Y1,X4Y0,X3Y1,standard_x,Y4Y5,Y4,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y2,X4Y1,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y3,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1Y3,X1Y2,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9720936675938756,0.9720936675938755,0.9448761164870545,0.9448761164870545,0.9194541565274988,0.9194541565274987,0.7660007358222143,0.7660007358222143,0.6216139516087312,0.6216139516087312,0.43946128473533697,0.43946128473533674,0.42946637785277325,0.4294663778527732,0.4152931888911857,0.4152931888911857,0.2037540871187967,0.20375408711879667,0.17677089786513922,0.1767708978651392,0.12301756950269219,0.12301756950269208,0.09551823505163576,0.09551823505163576,0.07479375687311077,0.07479375687311068,0.03974093247505056,0.03974093247505056,0.034987875506352184,0.03498787550635216,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,3.469446951953614e-17,3.469446951953614e-17,3.469446951953614e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.0408340855860843e-17,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0020291663258208675,0.0020291663258208675,0.8218588149978713,0.0019723519055459444,0.9194541565274988,0.919454156527499,0.7262598899291601,0.001598964123006531,0.0012975684754607968,0.5468203576858179,0.024169000626982018,0.0009173396249912366,0.42946637785277325,0.4294663778527733,0.02416713840724663,0.0008668906941103794,0.20375408711879672,0.20375408711879672,0.17677089786513928,0.17677089786513922,0.8218564884201712,0.0002567891529805535,0.09551823505163581,0.09551823505163581,0.00015612587334737783,0.5468188404499114,8.295595848772053e-05,0.7262581344916834,0.03498787550635223,0.034987875506352135,1.1102230246251565e-16,0.0,0.0,1.0842021724855044e-19,0.0,8.673617379884035e-19,0.0,0.0,1.3877787807814457e-16,5.421010862427522e-20,0.0,0.0,0.0,1.111713802612324e-16,5.551115123125783e-17,5.421010862427522e-20,0.0,2.7755575615628914e-17,8.326672684688674e-17,2.710505431213761e-20,3.049318610115481e-20,4.0657581468206416e-20,1.2874900798265365e-19,4.0657581468206416e-20,5.551115123125783e-17,6.776263578034403e-20,2.710505431213761e-20,0.0,0.0,5.551115123125783e-17,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0
2,0.00012093855944792939,0.0001209385594479294,0.821858547936392,0.0001175524130998035,0.0007289010589385664,0.0007289010589385664,0.7262598036547177,9.529845591494537e-05,2.266170284434587e-05,0.00043349395571716455,1.915935979071313e-05,2.2661661363277805e-05,0.25269553553428015,0.0003404612349327442,1.9159354546706403e-05,4.236167255916744e-05,0.10823588208181636,0.00016152688941540498,0.00014013585531011472,0.2526953450365915,0.8218585396719911,1.5304664703007528e-05,0.10823578804159825,7.572247314648788e-05,4.236165339998887e-05,0.0004334939514446315,4.944185200327842e-06,0.7262597974191043,0.034987875506352156,0.0349878755063521,0.0,0.0,1.3234889800848443e-23,6.776263578034403e-21,0.0,8.326672684688674e-17,3.3881317890172014e-21,0.0,2.710505431213761e-20,6.776263578034403e-21,1.1102230246251565e-16,6.617444900424222e-24,1.1102230246251565e-16,5.551453936304684e-17,2.710505431213761e-20,1.3552527156068805e-20,8.326672684688674e-17,0.0,5.421010862427522e-20,1.6940658945086007e-21,8.271806125530277e-25,0.0,4.963083675318166e-24,1.3552527156068805e-20,5.421010862427522e-20,2.895132143935597e-24,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,1.0164395367051604e-20,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0328790734103208e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4.108009801684992e-11,2.3432484988539975e-06,1.2584869054154712e-05,3.9929900556954567e-11,6.130971189608663e-05,6.13097118960866e-05,0.691271927845065,3.237073376523863e-11,5.026981285363782e-07,5.0048708409134785e-05,7.980750766543531e-06,5.026981220262987e-07,0.25269548038062195,2.8637055701234312e-05,7.980750766350738e-06,1.4389302713428224e-11,1.6573825665009866e-06,5.004870840632773e-05,1.1787181277917364e-05,0.2526954790328666,1.258486905409244e-05,2.3432484984996713e-06,1.6573825563130433e-06,7.980750766908526e-06,1.4389302667385087e-11,5.004870840900969e-05,1.096755409473769e-07,0.6912719278421298,0.6912719277558168,5.357586574306631e-07,1.0339757656912846e-25,6.462348535570529e-27,1.2924697071141057e-26,0.0,0.0,2.7755575615628914e-17,1.6155871338926322e-27,8.470329472543003e-22,0.0,3.2311742677852644e-27,8.470329472543003e-22,1.9721522630525295e-31,1.6940658945086007e-21,2.775266393825714e-17,0.0,0.0,4.235164736271502e-22,0.0,2.5849394142282115e-26,0.0,2.834968878138011e-31,1.0587911840678754e-22,7.395570986446986e-32,1.6155871338926322e-27,2.5849394142282115e-26,8.628166150854817e-32,7.270142102516845e-27,0.0,0.0,6.776263578034403e-21,0.0,0.0,5.293955920339377e-23,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0
4,3.549156646076534e-17,1.459479504098805e-07,6.694526394894363e-07,3.4497841723932237e-17,1.4544299191041132e-05,1.4544299191041132e-05,0.0001645052969330765,2.7967023066533914e-17,3.284771191510798e-08,1.866636211676154e-05,4.689480741409557e-06,3.284771189116869e-08,6.0135155643442016e-05,1.866636197293279e-05,4.689480741409405e-06,1.2431783710274435e-17,9.208473437498562e-08,1.86663621167571e-05,4.6894807669783845e-06,6.013515562539235e-05,6.694526394894221e-07,1.4594795040981162e-07,9.208473434313054e-08,4.689480741408803e-06,1.2431783708035788e-17,1.8666362116761524e-05,1.459479458713642e-07,0.00016450529693307352,0.00016450529693301096,6.694526188474526e-07,8.077935669463161e-28,1.0097419586828951e-28,0.0,1.6155871338926322e-27,0.0,2.7755575615628914e-17,6.310887241768095e-30,1.2924697071141057e-26,8.077935669463161e-28,6.310887241768095e-30,1.2924697071141057e-26,4.70197740328915e-38,1.2924697071141057e-26,3.427836458419747e-21,1.0339757656912846e-25,0.0,2.6469779601696886e-23,6.462348535570529e-27,1.2116903504194741e-27,0.0,1.9101783200862172e-38,1.6155871338926322e-27,1.0285575569695016e-38,0.0,8.077935669463161e-28,2.938735877055719e-39,1.0097419586828951e-28,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101927297073854e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0
5,1.475761332835868e-18,3.77392558380283e-08,1.2035836557461725e-07,8.024581553828576e-19,9.062861460571449e-08,9.062861460571449e-08,4.5045616093761566e-08,1.4756655462810658e-18,8.493769193234466e-09,1.1631406460935086e-07,2.9221150115762665e-08,8.493769193234227e-09,1.6466491870577566e-08,1.1631406460935078e-07,2.9221150115762605e-08,2.8917711155826755e-19,1.6555567164436684e-08,1.1631406460934996e-07,2.9221150115762625e-08,1.646649187057737e-08,1.203583655746171e-07,3.7739255838027726e-08,1.6555567164436465e-08,2.9221150115762496e-08,2.8917711155826553e-19,1.1631406460935086e-07,3.773925583770681e-08,4.5045616093562063e-08,4.504561609376098e-08,1.2035836557461699e-07,1.5777218104420236e-30,0.0,0.0,0.0,3.944304526105059e-31,5.551115123125783e-17,3.944304526105059e-31,0.0,1.1832913578315177e-30,1.9721522630525295e-31,3.944304526105059e-31,5.739718509874451e-42,3.944304526105059e-31,1.1580528575766462e-23,1.9721522630525295e-31,0.0,9.926167350636332e-24,3.944304526105059e-31,3.944304526105059e-31,0.0,2.8698592549372254e-42,2.0194839173657902e-28,1.4349296274686127e-42,2.407412430484045e-35,1.5777218104420236e-30,4.663521289272991e-42,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,1.9721522630525295e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.944304526105059e-31,0.0,0.0,0.0,0.0,0.0,0.0
6,1.2452062398346895e-20,4.227809250952149e-09,9.064633604780562e-09,6.768647229257137e-21,5.683154743727175e-10,5.683154743727175e-10,1.7592218795183006e-08,1.2452378021341133e-20,9.515300493668618e-10,7.293842357876482e-10,1.832404904566311e-10,9.515300493668618e-10,6.43086171079118e-09,7.29384235787648e-10,1.832404904566311e-10,2.439177489539887e-21,1.2468609867580534e-09,7.293842357876482e-10,1.8324049045663114e-10,6.43086171079118e-09,9.064633604780562e-09,4.227809250952149e-09,1.2468609867580534e-09,1.832404904566311e-10,2.439177489539887e-21,7.293842357876482e-10,4.227809250966216e-09,1.759221879518551e-08,1.7592218795183006e-08,9.064633604780559e-09,7.703719777548943e-34,1.925929944387236e-34,1.925929944387236e-34,2.524354896707238e-29,0.0,0.0,3.0814879110195774e-33,0.0,1.925929944387236e-34,3.0814879110195774e-33,2.465190328815662e-32,3.503246160812043e-46,2.465190328815662e-32,5.169878828456423e-26,3.851859888774472e-34,3.0814879110195774e-33,0.0,1.232595164407831e-32,1.925929944387236e-34,0.0,1.970575965456774e-46,0.0,6.56858655152258e-47,0.0,0.0,4.3790577010150533e-47,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524354896707238e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62964972193618e-35,3.851859888774472e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0
7,8.972755691110953e-21,4.943332952365261e-09,5.586318427026161e-09,4.877362288873372e-21,2.445630354902842e-10,2.445630354902842e-10,1.8203364152607284e-08,8.972991022366808e-21,1.1125690798707736e-09,3.138757095077821e-10,7.885382783262376e-11,1.1125690798707736e-09,6.654266803948843e-09,3.138757095077821e-10,7.885382783262376e-11,1.757626274065218e-21,7.68410816140776e-10,3.138757095077821e-10,7.885382783262377e-11,6.654266803948843e-09,5.586318427026161e-09,4.94333295236526e-09,7.68410816140776e-10,7.885382783262376e-11,1.757626274065218e-21,3.138757095077821e-10,4.94333295238228e-09,1.8203364152610705e-08,1.8203364152607284e-08,5.58631842702616e-09,0.0,9.62964972193618e-35,0.0,0.0,0.0,0.0,1.5407439555097887e-33,3.0814879110195774e-33,0.0,3.0814879110195774e-33,0.0,8.758115402030107e-47,6.162975822039155e-33,4.265150033474668e-25,5.7777898331617076e-34,0.0,2.0679515313825692e-25,0.0,0.0,2.524354896707238e-29,1.642146637880645e-47,2.524354896707238e-29,1.642146637880645e-47,1.88079096131566e-37,9.62964972193618e-35,0.0,4.81482486096809e-35,0.0,0.0,2.5849394142282115e-26,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,1.2924697071141057e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81482486096809e-35,3.851859888774472e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,0.0,0.0,0.0,0.0
8,8.814554987512838e-21,4.88771533438241e-09,5.550269182951991e-09,4.791370385416001e-21,9.713153716800693e-11,9.713153716800693e-11,1.8171694614605453e-08,8.814786488201674e-21,1.100051524881042e-09,1.2466000875018113e-10,3.131787064062832e-11,1.100051524881042e-09,6.642689957292627e-09,1.2466000875018107e-10,3.1317870640628314e-11,1.726637600709693e-21,7.634521605571134e-10,1.2466000875018113e-10,3.131787064062832e-11,6.642689957292627e-09,5.550269182951991e-09,4.88771533438241e-09,7.634521605571134e-10,3.131787064062832e-11,1.726637600709693e-21,1.2466000875018113e-10,4.887715334399208e-09,1.81716946146088e-08,1.8171694614605453e-08,5.550269182951989e-09,0.0,0.0,4.81482486096809e-35,0.0,1.925929944387236e-34,0.0,1.5407439555097887e-33,6.162975822039155e-33,0.0,1.5407439555097887e-33,6.162975822039155e-33,0.0,6.162975822039155e-33,8.401053096241687e-25,9.62964972193618e-35,1.5407439555097887e-33,2.0679515313825692e-25,6.162975822039155e-33,2.407412430484045e-35,0.0,2.7369110631344083e-47,0.0,2.1895288505075267e-47,0.0,4.81482486096809e-35,8.210733189403225e-48,3.611118645726067e-35,0.0,0.0,6.462348535570529e-27,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8888949165808538e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,0.0,0.0,0.0,0.0
9,8.814554028564426e-21,4.887715027600799e-09,5.550269042987193e-09,4.791369854699085e-21,9.713118864536827e-11,9.713118864536827e-11,1.8171694710399003e-08,8.814785529261727e-21,1.100051455835372e-09,1.2465956145122497e-10,3.1317758267374164e-11,1.100051455835372e-09,6.642689992310101e-09,1.2465956145122494e-10,3.1317758267374164e-11,1.726637414303437e-21,7.634521413046368e-10,1.2465956145122497e-10,3.131775826737417e-11,6.642689992310101e-09,5.550269042987193e-09,4.887715027600799e-09,7.634521413046368e-10,3.1317758267374164e-11,1.726637414303437e-21,1.2465956145122497e-10,4.8877150276175976e-09,1.8171694710402348e-08,1.8171694710399003e-08,5.5502690429871915e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,2.407412430484045e-35,1.5407439555097887e-33,6.162975822039155e-33,4.3790577010150533e-47,6.162975822039155e-33,8.336429610885982e-25,9.62964972193618e-35,0.0,2.0679515313825692e-25,0.0,0.0,2.524354896707238e-29,3.28429327576129e-47,2.524354896707238e-29,5.473822126268817e-48,0.0,4.81482486096809e-35,1.0947644252537633e-47,3.611118645726067e-35,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,6.462348535570529e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.62964972193618e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,0.0,0.0,0.0,0.0
