,Y4Z2,Y2Z4,Y5Z2,Y2Z5,Y5Z1,Y1Z5,Y0Z4,Y4Z0,Y4Z1,Y1Z4,Y1Z0,Y0Z1,Y2Z3,Y3Z2,Y3Z1,Y1Z3,Y0Z2,Y2Z0,Y2Z1,Y1Z2,Y4Z3,Y3Z4,Y5Z0,Y0Z5,Y4Z5,Y5Z4,Y3Z5,Y5Z3,Y0Z3,Y3Z0,X3Y1,Y4,X5Y0,X0Y5,Y5,Y0,X4Y5,X4Y1,X3Y0,X2Y4,X2Y1,X1Y4,X0Y4,X1Y0,X1Y2,standard_y,Y3,X5Y3,X5Y1,X4Y2,X3Y2,X2Y3,X1Y5,X0Y1,X1Y3,standard_x,Y4Y5,Y3Y5,Y3Y4,Y2Y5,Y2Y4,Y2Y3,Y2,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y1,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y2,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y3,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y5,X3Y4,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y5,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y3,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9934850076016688,0.9934850076016686,0.992571994158628,0.9925719941586278,0.9888112104037214,0.9888112104037213,0.6536357538927619,0.6536357538927617,0.6415781537746728,0.6415781537746728,0.5390815646058105,0.5390815646058105,0.46153301006262504,0.461533010062625,0.39719826263322744,0.39719826263322744,0.2891964436397205,0.28919644363972047,0.2572769749796093,0.2572769749796092,0.24267553557344324,0.24267553557344324,0.2100086955497311,0.2100086955497311,0.15990102222961802,0.15990102222961797,0.07264511287134134,0.07264511287134132,0.030036908551127065,0.03003690855112706,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.85722573273506e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,2.0816681711721685e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0028302669695146896,0.0028302669695146887,0.8326716207939313,0.0028276659521155444,0.9888112104037214,0.9888112104037214,0.3644404837879261,0.0018620952205433252,0.0018277452030949224,0.3843022228034248,0.5390815646058107,0.5390815646058105,0.0013148277263633108,0.21885845924612796,0.39719826263322744,0.39719826263322744,0.364436657854037,0.0008238706531772754,0.0007329376072410718,0.38429857532478806,0.0006913406316023501,0.2188556016269813,0.21000869554973112,0.21000869554973112,0.00045553035843050576,0.8326669441552026,0.07264511287134132,0.07264511287134129,0.030036908551127034,0.03003690855112706,2.7755575615628914e-17,2.168404344971009e-19,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,2.168404344971009e-19,5.421010862427522e-20,0.0,2.7755575615628914e-17,3.7947076036992655e-19,1.6263032587282567e-19,2.168404344971009e-19,4.202180743909827e-17,1.0842021724855044e-19,1.940721888749053e-16,8.326672684688674e-17,2.7755575615628914e-17,0.0,8.326672684688674e-17,1.0842021724855044e-19,1.0842021724855044e-19,2.0816681711721685e-17,3.549729793485561e-18,1.9081958235744878e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.168404344971009e-19,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7.225481942367772e-05,7.225481942367773e-05,0.0022227577026184353,5.3477077822636285e-05,0.002639563293712917,0.002639563293712917,0.3644393110178873,4.7538043357486524e-05,3.5031767020966134e-05,0.0010258654800848407,0.0014390410376414061,0.3290736173038873,3.356667090593084e-05,0.21885747513099257,0.324553408591866,0.001060293353617165,0.36443930852435263,2.103286577378916e-05,5.347675395226854e-05,0.0010258654737389968,1.7649463119461332e-05,0.21885747326855254,0.0005606037212171912,0.329070948342283,3.503155933558823e-05,0.0022227576944820696,0.3245517345693938,0.00019392111596766212,0.030036908551127086,0.03003690855112709,1.0842021724855044e-19,0.0,1.0842021724855044e-19,0.0,0.0,2.7755575615628914e-17,1.3234889800848443e-23,1.3234889800848443e-23,2.7755575615628914e-17,0.0,9.926167350636332e-24,1.9852334701272664e-23,0.0,1.4334407664642344e-20,4.963083675318166e-24,2.774879935205088e-17,0.0,1.0842021724855044e-19,2.7755575615628914e-17,0.0,3.3881317890172014e-21,1.6940658945086007e-21,2.7755575615628914e-17,8.871012292800062e-20,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3234889800848443e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,3.3881317890172014e-21,0.0,0.0,0.0,0.0,0.0,0.0
3,1.5468228503054426e-08,1.1933216318428892e-05,2.1175147076474676e-05,1.2458576569572845e-05,2.008116705913811e-05,2.008116705913811e-05,0.00033488652723369193,1.017688955708281e-08,7.499551456675742e-09,3.1433363427264006e-06,3.1433442599395478e-06,0.00030238798951312735,7.820050720941745e-06,0.24889437038934278,0.3245531497768666,8.066458575323646e-06,0.0003348865271093291,1.1933207142698769e-05,1.2458576565205821e-05,3.1433363437751904e-06,3.778376732038315e-09,0.24889437029256983,2.1175141734933577e-05,0.0003023879893711798,7.49955145410243e-09,2.1175147073727267e-05,0.32455314967997767,1.4753055307733983e-06,2.7601182719265095e-05,0.24889429057311677,2.117582368135751e-22,8.271806125530277e-25,0.0,0.0,1.6940658945086007e-21,0.0,0.0,1.262177448353619e-29,0.0,0.0,1.1309109937248425e-26,6.310887241768095e-30,0.0,1.0600606611087375e-24,1.2924697071141057e-26,2.540271661150348e-21,0.0,0.0,0.0,0.0,8.470329472543003e-22,1.2705494208814505e-21,0.0,1.0913132296942113e-24,2.117582368135751e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.470329472543003e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,4.235164736271502e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6940658945086007e-21,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,0.0,0.0,0.0
4,9.466074360186294e-12,7.967067272858837e-07,2.736941374544536e-05,1.353877281339436e-06,2.404854847769753e-05,4.9027087717366964e-08,3.0696295165617803e-06,6.227939630146946e-12,2.277247226670059e-12,7.674297652862948e-09,7.67429765448699e-09,2.5187452334635928e-06,1.3538767285635307e-06,0.0004701356886940027,0.0006130472561477479,1.9693824117703468e-08,3.069629516556699e-06,7.967067272344131e-07,1.3538772810322175e-06,7.674297652874358e-09,2.2772349141968443e-12,0.000470135688693188,2.7369413744849757e-05,2.518745231377079e-06,2.2772472248357705e-12,2.7369413745429534e-05,0.0006130472558420021,2.4048498772321944e-05,2.51873983743034e-06,0.0004701356886805362,1.0587911840678754e-22,8.077935669463161e-28,6.462348535570529e-27,1.2924697071141057e-26,0.0,4.235164736271502e-22,0.0,3.611118645726067e-35,0.0,0.0,9.860761315262648e-31,0.0,0.0,1.5602195604242207e-30,0.0,1.0884538727560913e-19,1.0842021724855044e-19,3.308722450212111e-24,5.421010862427522e-20,8.470329472543003e-22,1.0339757656912846e-25,0.0,5.421010862427522e-20,9.890716679148336e-30,1.0587911840678754e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888609052210118e-31,6.617444900424222e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0389678347315804e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.077935669463161e-28,0.0,0.0,0.0,0.0,0.0,0.0
5,4.216285249000368e-15,1.5097638814568746e-08,4.065413248323499e-06,2.565607086812461e-08,3.57213620531907e-06,5.1044500116534355e-09,7.214985930713217e-08,2.7739872932943723e-15,1.0143071067314383e-15,5.701415602503009e-10,5.701415602503679e-10,5.920163349925287e-08,2.565607086799497e-08,1.5872146313998963e-07,2.0696952027298518e-07,5.102979013860842e-09,7.214985930713213e-08,1.509763881456821e-08,2.5656070867996163e-08,5.701415602503009e-10,1.014307106730813e-15,1.5872146313998955e-07,4.06541324832345e-06,5.920163349817081e-08,1.014307106713412e-15,4.065413248323498e-06,2.0696951352728435e-07,3.572136202826526e-06,5.9201633499238415e-08,1.587214631399872e-07,1.0587911840678754e-22,0.0,5.048709793414476e-29,5.048709793414476e-29,4.235164736271502e-22,0.0,0.0,1.8367099231598242e-39,0.0,0.0,1.1555579666323415e-33,3.6734198463196485e-40,2.0679515313825692e-25,2.4766642476700354e-32,6.162975822039155e-33,4.499345544405625e-22,2.6469779601696886e-23,0.0,2.6469779601696886e-23,0.0,7.888609052210118e-31,7.888609052210118e-31,0.0,2.3187716823116364e-32,1.5881867761018131e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.169878828456423e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88079096131566e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4039548065783e-38,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4039548065783e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.310887241768095e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1554436208840472e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8.484447783974455e-16,3.972102143770187e-15,1.4704224872575291e-08,6.78283626975041e-15,2.2892733879335107e-08,1.0095421115721589e-08,1.5187572514084386e-08,6.65288504235141e-16,4.060140898879214e-16,1.0095426654666576e-08,1.0095426654666569e-08,1.3458402762078738e-08,6.909701168884212e-15,2.133388416348662e-09,4.807838477983448e-09,4.807833783226195e-09,1.5187572514084372e-08,3.972102143770184e-15,6.9097011801260916e-15,1.0095426654666579e-08,4.060140898879211e-16,2.1333884163486562e-09,1.4704224872575303e-08,1.518757251230858e-08,8.484447770739372e-16,1.470422487257529e-08,2.133388670924179e-09,2.2892733572580326e-08,1.3458402762078735e-08,2.133388416348656e-09,0.0,7.395570986446986e-32,0.0,2.465190328815662e-32,1.6543612251060553e-24,0.0,1.4693679385278594e-39,7.346839692639297e-40,0.0,3.944304526105059e-31,0.0,0.0,8.271806125530277e-25,1.0285575569695016e-38,4.3140830754274083e-32,2.895132069979887e-24,0.0,0.0,1.6543612251060553e-24,3.944304526105059e-31,9.860761315262648e-32,2.465190328815662e-32,0.0,2.0020138162442084e-38,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2407709188295415e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.877471754111438e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.204051907791789e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.877471754111438e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,1.1754943508222875e-38,0.0,0.0,0.0,0.0,0.0,0.0
7,7.524285266707519e-16,1.174120727956409e-15,4.578731391589722e-09,2.0098366477058932e-15,8.988279416684693e-09,5.5546925362209017e-08,1.632705876161046e-08,5.899995625363888e-16,3.600665496557116e-16,5.5546926359779174e-08,5.554692635977912e-08,1.4468153662118404e-08,2.066194279060607e-15,1.1738301467522964e-08,2.645362966692375e-08,2.6453628794630444e-08,1.6327058761610445e-08,1.1741207279564082e-15,2.066194306083342e-15,5.55469263597792e-08,3.6006654965570977e-16,1.1738301467522946e-08,4.578731391589728e-09,1.632705875126233e-08,7.524285270219972e-16,4.578731391589722e-09,1.173830153087236e-08,8.988278522845248e-09,1.4468153662118367e-08,1.1738301467522941e-08,0.0,7.395570986446986e-32,0.0,2.465190328815662e-32,8.271806125530277e-25,1.6543612251060553e-24,1.1020259538958945e-39,1.4693679385278594e-39,9.860761315262648e-32,0.0,0.0,0.0,0.0,9.86076148056654e-32,4.622231866529366e-33,2.481541911614793e-24,0.0,0.0,8.271806125530277e-25,0.0,4.930380657631324e-32,1.232595164407831e-32,0.0,9.860761599952686e-32,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.877471754111438e-39,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,2.938735877055719e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,5.877471754111438e-39,0.0,0.0,0.0,0.0,0.0,0.0
8,7.403964456872076e-16,1.149756652431075e-15,3.616059592694015e-09,1.974683519243485e-15,1.00152009546318e-08,5.529477972530882e-08,1.632705875313428e-08,5.805648831274803e-16,3.5430872719933155e-16,5.529478079906947e-08,5.529478079906942e-08,1.446815364213722e-08,2.0551619457603046e-15,1.1990447074479143e-08,2.6565514552344453e-08,2.5924177312295503e-08,1.6327058753134273e-08,1.1497566524310742e-15,2.0551619726883193e-15,5.5294780799069484e-08,3.5430872719932977e-16,1.1990447074479126e-08,3.6160595926940235e-09,1.632705875313422e-08,7.403964471575271e-16,3.6160595926940156e-09,1.1990447121493293e-08,1.0015200034314835e-08,1.4468153642137184e-08,1.199044707447912e-08,0.0,2.465190328815662e-32,0.0,3.0814879110195774e-33,0.0,8.271806125530277e-25,7.346839692639297e-40,1.4693679385278594e-39,0.0,0.0,1.232595164407831e-32,0.0,4.1359030627651384e-25,1.515285686606855e-39,2.1570415377137042e-32,8.271807851163507e-25,1.6543612251060553e-24,0.0,0.0,0.0,0.0,2.465190328815662e-32,1.0339757656912846e-25,2.8469003808977276e-39,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9721522630525295e-31,0.0,0.0,0.0,0.0,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.938735877055719e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.308722450212111e-24,1.4693679385278594e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.877471754111438e-39,0.0,0.0,0.0,0.0,0.0,0.0
9,7.403959934124088e-16,1.1497546562122092e-15,3.6159899028303155e-09,1.9746805580136465e-15,1.0015269373567924e-08,5.529475175943878e-08,1.6327064526762066e-08,5.80564528458568e-16,3.543085104771047e-16,5.529475283320137e-08,5.5294752833201316e-08,1.446815874291712e-08,2.055160636834531e-15,1.1990475068389861e-08,2.6565526982970762e-08,2.592411855240734e-08,1.632706452676206e-08,1.1497546562122082e-15,2.0551606637625466e-15,5.529475283320138e-08,3.543085104771029e-16,1.1990475068389845e-08,3.6159899028303246e-09,1.6327064539620942e-08,7.4039599341240825e-16,3.6159899028303163e-09,1.1990475115403732e-08,1.0015268453248568e-08,1.4468158742917085e-08,1.199047506838984e-08,5.551115123125783e-17,4.930380657631324e-32,9.860761315262648e-32,1.5407439555097887e-32,8.271806125530277e-25,1.6543612251060553e-24,7.346839692639297e-40,1.4693679385278594e-39,0.0,0.0,1.232595164407831e-32,1.4693679385278594e-39,2.0679515313825692e-25,2.465190181878868e-32,2.0029671421627253e-32,8.271806618568343e-25,0.0,0.0,8.271806125530277e-25,0.0,0.0,0.0,1.0339757656912846e-25,7.395570710940497e-32,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.938735877055719e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.938735877055719e-39,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.877471754111438e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.346839692639297e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.860761315262648e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
