,Y2Z0,Y0Z2,Y0Z1,Y1Z0,Y3Z0,Y0Z3,Y4Z5,Y5Z4,Y0Z5,Y5Z0,Y3Z1,Y1Z3,Y5Z2,Y2Z5,Y2Z3,Y3Z2,Y2Z1,Y1Z2,Y2Z4,Y4Z2,Y5Z1,Y1Z5,Y4Z1,Y1Z4,Y5Z3,Y3Z5,Y0Z4,Y4Z0,Y4Z3,Y3Z4,X3Y1,Y1,X1Y2,X0Y3,Y2,X5Y2,X4Y2,X1Y5,X5Y0,X2Y3,X0Y5,standard_y,Y5,X5Y1,X4Y1,X3Y5,X2Y4,X1Y3,X0Y4,X0Y1,Y4,X3Y4,X2Y5,X1Y4,X1Y0,standard_x,Y4Y5,Y3Y5,Y3Y4,Y3,Y2Y5,Y2Y4,Y2Y3,Y1Y5,Y1Y4,Y1Y3,Y1Y2,Y0Y5,Y0Y4,Y0Y3,Y0Y2,Y0Y1,Y0,X5Z4,X5Z3,X5Z2,X5Z1,X5Z0,X5Y4,X5Y3,X5,X4Z5,X4Z3,X4Z2,X4Z1,X4Z0,X4Y5,X4Y3,X4Y0,X4X5,X4,X3Z5,X3Z4,X3Z2,X3Z1,X3Z0,X3Y2,X3Y0,X3X5,X3X4,X3,X2Z5,X2Z4,X2Z3,X2Z1,X2Z0,X2Y1,X2Y0,X2X5,X2X4,X2X3,X2,X1Z5,X1Z4,X1Z3,X1Z2,X1Z0,X1X5,X1X4,X1X3,X1X2,X1,X0Z5,X0Z4,X0Z3,X0Z2,X0Z1,X0Y2,X0X5,X0X4,X0X3,X0X2,X0X1,X0
0,0.9486057779931771,0.9486057779931771,0.9248652516259452,0.9248652516259451,0.8924333440485794,0.8924333440485792,0.7100082002449102,0.7100082002449101,0.5920272268857354,0.5920272268857352,0.5300880101180065,0.5300880101180065,0.45503295884771644,0.45503295884771644,0.444573573873013,0.44457357387301294,0.4237474082349614,0.4237474082349614,0.22103917315721916,0.2210391731572191,0.19199715753929267,0.19199715753929264,0.13030294124748054,0.13030294124748054,0.08577408627625122,0.08577408627625119,0.08355067683068364,0.08355067683068361,0.024766967489568525,0.024766967489568522,1.3877787807814457e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,4.163336342344337e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,2.0816681711721685e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00134094287210039,0.0013409428721003899,0.0013073834205868233,0.501118266767044,0.44786021435954126,0.0012615378899107491,0.7100082002449101,0.7100082002449102,0.0008368857837459818,0.13699472267221274,0.5300880101180063,0.5300880101180064,0.13699367652961086,0.0006432315898691312,0.0006284462722442965,0.44785887852429995,0.0005990065418384712,0.5011169193362313,0.00031245951751125505,0.13748857980399332,0.1919971575392927,0.19199715753929267,0.13030294124748054,0.13030294124748054,0.08577408627625117,0.08577408627625119,0.00011810668578499236,0.13748827548106846,0.02476696748956855,0.024766967489568515,0.0,5.551115123125783e-17,5.421010862427522e-20,0.0,0.0,0.0,5.421010862427522e-20,4.163336342344337e-17,2.168404344971009e-19,1.0842021724855044e-19,1.0842021724855044e-19,4.163336342344337e-17,1.3877787807814457e-17,0.0,2.7755575615628914e-17,0.0,2.710505431213761e-20,2.7755575615628914e-17,1.3552527156068805e-20,3.049318610115481e-20,2.7755575615628914e-17,2.7755575615628914e-17,8.131516293641283e-20,6.938893903907228e-18,8.470329472543003e-20,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0842021724855044e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0003668459563972531,0.00036684595639725304,0.0003576649917619902,0.5011178750773924,0.4478598034192857,0.0003451228858324059,8.638042977722796e-05,8.638042977722799e-05,0.00019663865734823358,1.6666887347533965e-05,0.5300880101180065,0.5300880101180064,1.6666877821993994e-05,9.049035615653437e-05,0.00017192602204196497,0.4478597034423971,0.00016387210245933135,0.5011177742326656,9.049035422160551e-05,1.6727012360826404e-05,2.3358599208473214e-05,0.061694217256147835,1.5852808548284007e-05,0.06169421487089491,1.0435375864301113e-05,0.061007118969976085,0.0001966386554147192,1.672700958984643e-05,3.0131782918698774e-06,0.06100711815189262,2.7755575615628914e-17,0.0,1.3552527156068805e-20,0.0,0.0,3.308722450212111e-24,0.0,8.470329472543003e-22,0.0,0.0,1.6543612251060553e-24,3.049318610115481e-20,1.6940658945086007e-21,1.6940658945086007e-21,1.6940658945086007e-21,1.6940658945086007e-21,2.481541837659083e-24,4.163336342344337e-17,0.0,1.6010607336395304e-22,1.6940658945086007e-21,1.6940658945086007e-21,1.6543612251060553e-24,1.6940658945086007e-21,4.301839562903369e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,6.776263578034403e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.776263578034403e-21,3.308722450212111e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0657581468206416e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3552527156068805e-20,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
3,0.000285829757195224,0.000285829757195224,9.772256761554198e-06,0.00017162341631046693,0.0001533835310643752,9.772224647783581e-06,1.4481329317485215e-05,1.4481329317485217e-05,0.00015321193715911896,2.7941359107053964e-06,0.00018154514541690456,0.00018154514541690456,2.7941349412449946e-06,7.050598732778161e-05,6.275256918092002e-06,0.00015338351027776475,6.275241573854782e-06,0.00017162339534342058,7.050598728541002e-05,2.804215848364641e-06,2.1665261730647086e-06,2.11291054677996e-05,2.152512057377312e-06,2.1129105444840373e-05,2.1665258408065275e-06,2.0893787524196776e-05,0.00015321193711677832,2.8042155663485703e-06,2.152511871889264e-06,2.0893787516322324e-05,1.734723475976807e-18,6.776263578034403e-21,0.0,0.0,2.710505431213761e-20,2.0679515313825692e-25,2.0679515313825692e-25,1.0339757656912846e-25,2.5849394142282115e-26,1.9852334701272664e-23,0.0,1.0587911840678754e-21,2.117582368135751e-22,0.0,3.101927297073854e-25,0.0,5.169878828456423e-26,3.469446951953614e-18,0.0,2.1458292439858706e-25,0.0,5.169878828456423e-26,2.0679515313825692e-25,5.169878828456423e-26,1.2538349092653929e-24,0.0,0.0,0.0,0.0,2.710505431213761e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.929230630780102e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1359030627651384e-25,6.462348535570529e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6543612251060553e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.791250586892822e-09,4.7912505868928204e-09,1.6380819073534258e-10,7.330565903528386e-08,6.551484055317386e-08,1.6380819073524414e-10,1.2795719128721608e-06,1.2795719128721608e-06,2.56823079238157e-09,2.468901310512518e-07,7.754353879210086e-08,7.754353879210086e-08,2.468901310512518e-07,1.1818638353567478e-09,1.0518951143978956e-10,6.551484055317386e-08,1.051895114397424e-10,7.330565903528386e-08,1.1818638353512024e-09,2.477808258859236e-07,1.9143449109506463e-07,9.024893532724516e-09,1.901962086799237e-07,9.024893532647949e-09,1.9143449109505928e-07,8.9243819741922e-09,2.5682307923760287e-09,2.477808258859236e-07,1.901962086799208e-07,8.924381974165945e-09,0.0,3.308722450212111e-24,0.0,0.0,0.0,3.944304526105059e-31,1.5777218104420236e-30,3.1554436208840472e-30,9.860761315262648e-32,0.0,9.860761315262648e-32,2.967510447533987e-23,0.0,0.0,1.262177448353619e-29,6.310887241768095e-30,1.9721522630525295e-31,1.734723475976807e-18,2.9582283945787943e-31,7.600652432868845e-33,2.6469779601696886e-23,6.310887241768095e-30,1.9721522630525295e-31,4.733165431326071e-30,1.4609984187500047e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262177448353619e-29,1.232595164407831e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.465190328815662e-32,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0
5,9.958350787476927e-09,9.958350787476927e-09,3.404663136732064e-10,1.763525472035452e-09,1.5761005580244822e-09,3.404663136732064e-10,3.2716919997495997e-09,3.2716919997495997e-09,5.337926428580846e-09,6.312646115874938e-10,1.8654767947153687e-09,1.8654767947153683e-09,6.312646115874934e-10,2.4564389697533873e-09,2.186306132570358e-10,1.5761005580244813e-09,2.186306132570358e-10,1.763525472035451e-09,2.4564389697533873e-09,6.335419975909682e-10,4.894720544357769e-10,2.171132466001365e-10,4.863059340870194e-10,2.171132466001365e-10,4.894720544357769e-10,2.146952246357451e-10,5.337926428580846e-09,6.335419975909679e-10,4.863059340870194e-10,2.1469522463574504e-10,0.0,1.0339757656912846e-25,1.5407439555097887e-33,0.0,0.0,0.0,1.5407439555097887e-33,9.62964972193618e-35,2.8888949165808538e-34,1.5407439555097887e-33,0.0,1.2924697071141057e-25,0.0,0.0,0.0,0.0,1.1555579666323415e-33,0.0,7.703719777548943e-34,4.905102827111241e-34,5.169878828456423e-26,3.851859888774472e-34,0.0,1.925929944387236e-34,4.30324971949023e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5849394142282115e-26,0.0,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,6.7407548053553255e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,3.0814879110195774e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5407439555097887e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9.95835078750267e-09,9.95835078750267e-09,3.404663136740876e-10,5.234418831321327e-09,4.678112435459936e-09,3.404663136740868e-10,8.189423083271313e-09,8.189423083271313e-09,5.337926428594645e-09,1.5801282584615498e-09,5.537026268399019e-09,5.537026268399018e-09,1.5801282584615488e-09,2.4564389697597384e-09,2.1863061325760117e-10,4.678112435459936e-09,2.1863061325760075e-10,5.234418831321328e-09,2.4564389697597375e-09,1.5858288187550611e-09,1.2252051053459112e-09,6.44426000391913e-10,1.2172799403027122e-09,6.444260003919128e-10,1.225205105345911e-09,6.37248933825162e-10,5.3379264285946446e-09,1.585828818755061e-09,1.217279940302712e-09,6.37248933825162e-10,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,3.851859888774472e-33,7.703719777548943e-34,6.162975822039155e-33,0.0,3.101927297073854e-25,2.0679515313825692e-25,3.0814879110195774e-33,3.0814879110195774e-33,0.0,1.5407439555097887e-33,1.734723475976807e-18,0.0,7.696196613703681e-34,2.0679515313825692e-25,1.5407439555097887e-33,3.0814879110195774e-33,7.703719777548943e-34,7.598395483715266e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,1.5407439555097887e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0
7,9.958350787502808e-09,9.958350787502808e-09,3.404663136740921e-10,5.234418870661467e-09,4.6781124706190625e-09,3.4046631367409135e-10,8.189423038590904e-09,8.189423038590904e-09,5.337926428594718e-09,1.5801282498405794e-09,5.5370263100134534e-09,5.5370263100134534e-09,1.580128249840578e-09,2.4564389697597723e-09,2.1863061325760323e-10,4.678112470619061e-09,2.1863061325760323e-10,5.234418870661466e-09,2.4564389697597715e-09,1.5858288101029893e-09,1.2252050986613544e-09,6.444260052352025e-10,1.2172799336613934e-09,6.444260052352024e-10,1.2252050986613542e-09,6.372489386145115e-10,5.337926428594718e-09,1.585828810102989e-09,1.2172799336613934e-09,6.372489386145113e-10,0.0,2.0679515313825692e-25,3.0814879110195774e-33,0.0,0.0,0.0,6.162975822039155e-33,7.703719777548943e-34,7.703719777548943e-34,6.162975822039155e-33,0.0,6.203854594147708e-25,0.0,3.0814879110195774e-33,0.0,0.0,7.703719777548943e-34,1.734723475976807e-18,2.311115933264683e-33,1.7559064414843002e-33,1.0339757656912846e-25,0.0,3.0814879110195774e-33,1.5407439555097887e-33,1.0919872321398722e-33,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703719777548943e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0814879110195774e-33,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.244463733058732e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0
8,1.2483383800643404e-08,1.2483383800643404e-08,4.2679473293084516e-10,5.234418870662516e-09,4.6781124706200005e-09,4.2679473293084433e-10,8.189423038724716e-09,8.189423038724716e-09,6.691407616547251e-09,1.5801282498663982e-09,5.5370263100145635e-09,5.537026310014565e-09,1.5801282498663965e-09,3.079292053143058e-09,2.7406645077112193e-10,4.67811247062e-09,2.7406645077112193e-10,5.234418870662515e-09,3.0792920531430575e-09,1.5858288101289012e-09,1.2252050986813743e-09,6.444260052353318e-10,1.2172799336812834e-09,6.444260052353318e-10,1.2252050986813738e-09,6.37248938614639e-10,6.691407616547251e-09,1.5858288101289003e-09,1.2172799336812834e-09,6.37248938614639e-10,0.0,2.0679515313825692e-25,6.162975822039155e-33,0.0,8.271806125530277e-25,6.162975822039155e-33,0.0,7.703719777548943e-34,7.703719777548943e-34,6.162975822039155e-33,1.5407439555097887e-33,9.305781891221561e-25,1.0339757656912846e-25,6.162975822039155e-33,3.0814879110195774e-33,1.5407439555097887e-33,3.0814879110195774e-33,1.734723475976807e-18,3.0814879110195774e-33,6.202848590419047e-34,1.0339757656912846e-25,3.0814879110195774e-33,3.0814879110195774e-33,0.0,1.0848402264868727e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339757656912846e-25,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,6.162975822039155e-33,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,0.0,3.851859888774472e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232595164407831e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0
9,1.2483383800630561e-08,1.248338380063056e-08,4.2679473293040655e-10,5.234418870662521e-09,4.6781124706200055e-09,4.267947329304057e-10,9.580505201849645e-09,9.580505201849645e-09,6.6914076165403674e-09,1.8485339987750845e-09,5.53702631001457e-09,5.53702631001457e-09,1.8485339987750833e-09,3.079292053139891e-09,2.740664507708411e-10,4.678112470620005e-09,2.740664507708407e-10,5.2344188706625195e-09,3.0792920531398885e-09,1.855202874835109e-09,1.4333224411224831e-09,6.444260052353322e-10,1.424051081693394e-09,6.444260052353321e-10,1.4333224411224823e-09,6.372489386146402e-10,6.6914076165403674e-09,1.8552028748351088e-09,1.424051081693394e-09,6.372489386146398e-10,1.734723475976807e-18,2.0679515313825692e-25,6.162975822039155e-33,6.162975822039155e-33,8.271806125530277e-25,0.0,6.162975822039155e-33,7.703719777548943e-34,1.5407439555097887e-33,6.162975822039155e-33,0.0,9.305781891221561e-25,1.0339757656912846e-25,9.244463733058732e-33,0.0,3.0814879110195774e-33,3.0814879110195774e-33,1.734723475976807e-18,3.0814879110195774e-33,3.140168589012626e-33,0.0,0.0,3.0814879110195774e-33,1.5407439555097887e-33,5.3444555956745795e-33,0.0,0.0,0.0,0.0,4.1359030627651384e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0679515313825692e-25,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,6.162975822039155e-33,5.7777898331617076e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162975822039155e-33,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,0.0,0.0,0.0,0.0
