,Gate-Error Probability
Seed 80,0.0
Seed 5,0.0003234077773080618
Seed 95,0.0
Seed 51,0.00031680671721760176
Seed 12,0.037000949753531236
Seed 91,0.0
Seed 78,0.00032069362043403833
Seed 7,0.002764921193825212
Seed 27,0.001542419203558439
Seed 40,0.00032025736146574417
Seed 63,0.0009315006517170666
Seed 93,0.0
Seed 21,0.0009318432613310177
Seed 67,0.00031913500146294816
Seed 94,0.0003198766414908859
Seed 81,0.0
Seed 59,0.00032079409190794453
Seed 17,0.0009301483700674193
Seed 39,0.00032203166272695206
Seed 88,0.00092948802107408
Seed 61,0.0
Seed 65,0.002153867158739017
Seed 6,0.000320656527126573
Seed 34,0.00031997224864198945
Seed 99,0.0
Seed 85,0.00032048833008619065
Seed 31,0.028469951903932613
Seed 38,0.00032032514963027854
Seed 20,0.0
Seed 43,0.0
Seed 53,0.022961629274343698
Seed 8,0.0
Seed 57,0.0
Seed 100,0.00092996896481045
Seed 1,5.0642514617492675e-06
Seed 50,0.0
Seed 19,0.00031909468291397246
Seed 44,0.0003172542047887681
Seed 25,5.0400071720099435e-06
Seed 37,0.0
Seed 70,0.000317312651996705
Seed 64,0.00031968450455068496
Seed 84,5.045651536832267e-06
Seed 32,0.0
Seed 28,0.0
Seed 16,0.0003207880664623285
Seed 55,0.00031844220395311866
Seed 14,0.003376830317771201
Seed 41,0.0
Seed 77,0.0
Seed 87,0.0009282542414834189
Seed 9,0.0003192001402514277
Seed 73,0.000929941389923438
Seed 11,0.00032196803755231657
Seed 30,0.0009303258420781731
Seed 26,0.0
Seed 23,0.0009308740931418437
Seed 82,5.000674049842823e-06
Seed 89,0.0009320568389267966
Seed 4,0.0
Seed 76,5.001876267790373e-06
Seed 68,0.0
Seed 2,0.0
Seed 36,0.002764668187225438
Seed 71,5.001561657398513e-06
Seed 54,0.0
Seed 29,0.0
Seed 72,0.00031881424054089157
Seed 83,0.0
Seed 24,0.0
Seed 52,0.0009286431905666879
Seed 74,0.0
Seed 45,0.0
Seed 62,0.0003192405358735744
Seed 96,0.00032082392989912187
Seed 97,0.0
Seed 10,0.003988785304071599
Seed 47,0.000931396909032562
Seed 35,0.00032140139133705404
Seed 49,0.0009319103465633253
Seed 18,0.00032107146695813587
Seed 66,0.0003205699376653841
Seed 13,0.0003212483063271348
Seed 42,0.0
Seed 22,0.0
Seed 86,0.0
Seed 58,0.0003200413476279059
Seed 98,0.0009308121378230991
Seed 3,0.0
Seed 33,0.0003196568034662769
Seed 75,5.0034025411795575e-06
Seed 69,0.0009318207185914215
Seed 15,0.00032113713817078047
Seed 90,0.0003223973677562065
Seed 79,0.0003191351554115413
Seed 60,0.0009296571715021139
Seed 92,0.0009299580538348416
Seed 56,0.0
Seed 46,0.0009297391398559429
Seed 48,0.0009310974742037714
