Layer,Cut Approximation Ratios,Hamiltonian Approximation Ratios,Best Mixer,Best Mixer Param,Best Hamiltonian Param
0,0.7007066965631962,-1.9285271146946693e-17,
1,0.7896910375799748,0.2973148413110679,Y3Z4,0.7866727398765047,2.729250007738819e-07
2,0.8615523364668838,0.537418104771096,Y1Z4,0.7853981484389403,-5.509280513933157e-07
3,0.9213107649204607,0.7370832084248261,Y0Z4,0.7853981459983692,2.0678727692265672e-07
4,0.9935590752171292,0.9784795559776668,Y5Z0,0.7853981596063984,2.192135180452352e-07
5,0.9999999961459718,0.9999999871229054,Y2Z0,0.785398012753803,0.0009152084179330806
6,0.9999999988371171,0.9999999961145708,Y3Z2,-0.001273140320316259,0.010142787732162265
7,0.9999999999099276,0.9999999996990498,standard_x,-2.072281608059807e-08,0.010173504212000771
8,0.9999999999906413,0.9999999999687307,X3,-2.7746682978110988e-05,0.009999856041267014
9,0.9999999999999508,0.9999999999998358,X2,2.8181340512352944e-05,0.010000231609507002
10,0.9999999999999959,0.9999999999999861,Y2Y3,6.839823712054198e-07,0.010000094079179803
11,0.9999999999999978,0.9999999999999926,X3X5,-8.978636535145333e-08,0.010000000908175564
12,0.9999999999999989,0.9999999999999963,X1,-1.3458494768970896e-08,0.010000000908175564
